"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
185508,282841209,755385,"PPL Corporation, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","PPL Corporation","Operator","Good morning, and welcome to the PPL Corporation Fourth Quarter Earnings Conference Call. [Operator Instructions] Please note this event is being recorded. I would now like to turn the conference over to Joe Bergstein, Vice President Investor Relations. P",41,"Good morning, and welcome to the PPL Corporation Fourth Quarter Earnings Conference Call. [Operator Instructions] Please note this event is being recorded. I would now like to turn the conference over to Joe Bergstein, Vice President Investor Relations. Please go ahead,."
185508,282841209,755385,"PPL Corporation, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","PPL Corporation","Executives","Thank you, Emily. Good morning, everyone, and thank you for joining the PPL conference call on fourth results and our general business outlook. We are providing slides to this presentation on our website at www.pplweb.com.Any statements made in this pre",192,"Thank you, Emily. Good morning, everyone, and thank you for joining the PPL conference call on fourth results and our general business outlook. We are providing slides to this presentation on our website at www.pplweb.com.
Any statements made in this presentation about future operating results or other future events are forward-looking statements under the Safe Harbor provisions of the Private Securities Litigation Reform Act of 1995. Actual results may differ materially from such forward-looking statements. And discussion of factors that could cause actual results or events to differ is contained in the appendix to this presentation and in the company's SEC filings. We will refer to ongoing earnings, non-GAAP measure on this call for reconciliation to the GAAP measure you should refer to the press release, which has been posted on our website has been filed with the SEC. As a reminder, Talen Energy has filed its Form S1 registration statement with the SEC, and as such, we are in a quiet period with respect to future prospects of PPL Energy Supply and Talen. At this time, I'd like to turn the call over to Bill Spence, PPL Chairman, President and CEO."
185508,282841209,755385,"PPL Corporation, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","PPL Corporation","Executives","Thank you, Joe. Good morning, everyone. We're pleased that you're joining us this morning with me on the call today or Vincent Sorgi, PPL's Chief Financial Officer, and the President of our 4 business segments.Moving to Slide 3. Our agenda this morning",2189,"Thank you, Joe. Good morning, everyone. We're pleased that you're joining us this morning with me on the call today or Vincent Sorgi, PPL's Chief Financial Officer, and the President of our 4 business segments.
Moving to Slide 3. Our agenda this morning starts with an overview of our 2014 earnings results, an operational overview and a discussion of our 2015 earnings forecast. After my remarks, Vince will review our segment financials, and we'll talk about the recent movement of the pound sterling, and then, we're going to take your questions.
On a number of fronts, 2014 was another very successful year for PPL. We achieved strong earnings results in our Regulated Utility segment and a competitive Supply segment, also, turned in a solid performance despite the continued challenging market conditions. And we've made significant progress towards the spinoff of our supply business, which is designed to unlock significant value for our shareholders. The continued excellent performance of our utility, operations and our ongoing infrastructure investments in those companies, together with the successful restructuring of our corporate support functions, give us confidence in PPL's ability to achieve compound growth and earnings of 4% to 6% through at least 2017 following the spinoff of supply business.
Turning to Slide 4. Today, we announced 2014 reported earnings of $2.61 per share, an increase of $0.85 from our 2013 results. Adjusting for special items, our 2014 earnings from ongoing operations were $2.45 per share, matching the level that we achieved in 2013, despite significantly lower hedged power prices in our supply business. I'm very pleased, we're able to match our 2013 ongoing earnings per share this year with a solid financial performance of our Regulated Utilities, primarily in Pennsylvania and the U.K., offsetting that $0.10 decline we saw in supply.
For the fourth quarter, reported earnings were $1.04 per share, compared with a loss of $0.16 per share a year ago. Earnings per share from ongoing operations were $0.58 in the fourth quarter of 2014 compared with $0.60 in 2013. For the year, our utility operations in United States and the United Kingdom include our earnings from ongoing operations by combined $116 million or 8.5%. The primary drivers for this impressive performance are returns on additional transmission investments of Pennsylvania, higher returns as a result of power plant environmental projects in Kentucky and higher utility revenues resulting from U.K. price increases. Vince will provide more details on segment results during his remarks.
Let's move to Slide 4 -- 5 rather for a discussion of our 2015 earnings forecast. As we said in our news release this morning, going forward, we're excluding from our forecast any earnings from our supply business and the net cost associated with the supply spinoff. We believe this approach provides our investors with a clearer picture of the financial performance of the ongoing portfolio of PPL. As we previously communicated, we're restricted in providing supply or Talen forecast while in registration with the SEC. We appreciate everyone's patience during this process, and know that Paul and his team are very excited to communicate the full Talen story, which will occur as soon as possible following the spend. We provide an update to PPL Energy Supply's hedge profile in the appendix of today's presentation material, consistent with the prior practice.
Our 2015 forecast range for earnings from our Regulated Utility operations is $2.05 to $2.25 per share, unchanged from what we provided with our June announcement of the Talen transaction. The midpoint of this range is $2.15, which is 5.9% higher than the adjusted ongoing earnings from our utility operations in 2014. Our 2014 adjusted Regulated Utility earnings from ongoing operations were more supply earnings and includes the full impact of dyssynergies related to the spinoff of supply, including indirect O&M, interest and depreciation. Vince will cover this in more detail during his remarks.
As I mentioned earlier, the excellent performance of our prior utility operations and the organic growth from planned and approved infrastructure investments gives us great confident in our ability to achieve compound growth in earnings of 4% to 6% through at least 2017 following this supply spinoff. The slide shows that we're anticipating slight increases in earnings in our U.K. and Kentucky utilities and slightly lower earnings in our Pennsylvania utility. The slide also shows a significant improvement in the Corporate and Other categories that we expect to realize as a result of our ongoing corporate support cost reductions, including the 75 million of dyssynergies we discussed at the time of the announcement. In addition to the Talen spinoff, 2015 is a transitional year for PPL in many other ways. In the U.K., we're moving to the REO regulatory construct, and we are in rate cases in Kentucky and expect to file rate case during the year in Pennsylvania as well.
Growth in earnings in 2015 comes largely from the corporate restructuring efforts, but growth beyond 2015 will be driven by our utility companies.
Now let's turn to Slide 6 for an update on our Regulated operations. We're very pleased to know that WPD was recently named Utility of the Year by the International Addition of Utility Week. This marks back-to-back years that PPL companies were named Utility of the Year. In judging WPD as the winner, a panel of industry experts scrutinized the business performance in terms of customer satisfaction, stakeholder return, sustainability and corporate social responsibility, staff development and stakeholder relationship. We congratulate the employees of WPD for this impressive achievement, and this recognition underscores the value we see in our U.K. business, as a key component of the portfolio going forward. Back in the U.S., progress is continuing on a rate cases Kentucky. As we told you on November, we've requested increases in annual based electro grades of $30 million and $150 million at LG&E and KU, respectively, and an increase in annual-based gas rates of $14 million at LG&E. The increases are principally driven by investments in generation supply and other infrastructure investments needed to maintain and enhance the safe and reliable delivery of electricity and natural gas to our customers and to meet federal environmental regulations. We anticipate that the new rates will go into effect on July 1st of this year. A time line for the rate case consideration is included in today's appendix.
In 2014, we also continue to focus on major capital projects in Pennsylvania and Kentucky, with capital spending for the domestic utilities of approximately $2.3 billion during the year. In Pennsylvania, nearly $350 million was spent on our 2 largest transmission projects, Susquehanna-Roseland and the NorthWestern projects, which are now 95% and 60% complete, respectively. $140 million was spent on this projects improving the reliability of our distribution system, while earning a near real time return. In Kentucky, some key construction achievements were reached as new environmental systems were completed in 2014 for 2 of the units at our KU station, and 1 of the units at our LG&E station. And Gen land fill and as tranport system also became operational during the year. Construction of our new Kentucky combined cycle gas unit 7 is on schedule with commercial operation in the unit estimated to begin by the end of May this year.
Turning to Slide 7. Let's briefly discuss domestic weather normalized for the year and the quarter. In Kentucky, weather-normalized sales for the year were essentially flat with lower residential and commercial sales being offset by continued strong industrial sector growth. Industrial sector growth is driven by solid production levels being be maintained by several of our manufacturing customers, amid improving economic conditions. Fourth quarter sales in Kentucky were lower because of the decline in residential and commercial sales, that was somewhat offset by industrial growth. The residential and commercial downturn is attributable to the continued slow growth or decline in several parts of Kentucky and Virginia.
As you can see, sales increased slightly in Pennsylvania in 2014, with the industrial category showing the strongest growth. The industrial sales growth is occurring, primarily, in this cement, metal and steel sectors. Pennsylvania weather-normalized sales in the fourth quarter showed slightly higher commercial sector use than was the case last year. That increase resulted from a higher customer account this year, as a result of improving economic conditions.
Moving to Slide 8. Looking back on 2014, I'd like to highlight a few key accomplishments at the Supply segment. In November, we completed the sale of the Montana Hydro electro facility to NorthWestern Energy for about $900 million. As a reminder, these cash proceeds remain with PPL following the spin, and we expect they use them to fund utility infrastructure investments and pay down holding company debt in Kentucky this year. Looking an overall portfolio performance, we executed very well in 2015, outperforming our initial margin projections due to expanded spread, fleet optimization and availability to our periods and our strategic hedging program that captured incremental value even when our units were on economic to dispatch.
You can see from the chart and the appendix on Slide 28 that we experienced some cold gas switching this year, as low gas prices enabled our combined cycle gas units to continue to run like baseload units. Further we see market reforms, such as PGM's proposed capacity performance product, the shift in the variable resource requirement curve and a recent increase in the offer cap, as constructive signal supporting the competitive power business in PGM for the future.
Next, I'd like to talk about our significant progress related to the spinoff of our competitive generation business, which will be combined with Riverstone's competitive generation business to form Talen Energy. Last week, we submitted our response to the Federal Energy Regulatory Commission, accepting their proposed mitigation plan to address potential market power issues in mid-Atlantic region. The approval process is moving ahead as expected with the nuclear regulatory commission and the Pennsylvania Public Utility Commission, and we continue to anticipate approvals within our original projected timelines. The Talen Energy transition team headed by Paul Farr, President of PPL Energy Supply, has completed its staffing plan and continues to work towards their targeted synergies. We expect to close the Talen transaction in the second quarter of 2015.
Before we move on to Vince, I'll briefly provide you with an overview of our key objectives for 2015, which you'll see on Slide 9. Our primary objective, obviously, for this year, is the completion of the energy supply spinoff. In the U.K., our folks are focused on executing the new business plan that was accepted as part of the REO 81 process, which began April 1st of this year. In Kentucky, as mentioned earlier, we're moving forward with the efforts on our rate cases, and in Pennsylvania, while we don't have details on our filing, we do expect to file a distribution base case during the year.
In Kentucky, the major focus continues to be the execution of our generation and environmental construction projects, which are on schedule and on budget. In Pennsylvania, we're also focused on executing the large capital expenditure plan to continue to strengthen both our transmission and distribution systems.
And finally, we're very focused on implementing the corporate restructuring currently underway. We're confident that 2015 will be another solid year for PPL, as our employees implement our business plans to provide excellent service to customers and to continue to invest in infrastructure improvements. I'd like to take this opportunity to say that PPL employees have done an excellent job in designing and implementing a transition process that will launch a strong and streamline corporate structure for the new PPL as well as Talen Energy on course to operate safely and efficiently on day 1. 2014 was, obviously, an eventful year for PPL, one in which we began to place new paths in growing value for our shareholders, even while we continue to provide the highest quality of service to our customers.
Our high-level performance during this challenging year further strengthens my confidence that both PPL and Talen Energy will be very successful companies for years to come. PPL has a strong record of strategic and financial execution. As we enter a new phase of our evolution, we're confident that we will continue to provide shareowners with competitive returns and our customers with best-in-class reliability and service at reasonable cost. As a pure play electric utility going forward, we believe our 3 regulatory jurisdictions provide predictable earnings opportunities with timely recovery of investments.
Our Transmission business as grown rapidly, and we continue to identify additional projects that will drive further growth in that part of the business. We expect the Transmission business to be the fastest-growing part of our business before the foreseeable future. Finally, despite the recent decline in the British pound, we're confident in our ability to achieve an earnings growth rate of 4% to 6%, given our current hedge levels and loan track record of successful hedging programs that are help drive our ability to meet or exceed earnings expectations. I look forward to your questions after we hear some additional earnings details from Vince Sorgi. Vince?"
185508,282841209,755385,"PPL Corporation, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","PPL Corporation","Executives","Thank you, Bill, and good morning, everyone. Let's move to Slide 10. Our fourth quarter earnings from ongoing operations decreased slightly over last year, driven primarily by lower earnings at our competitive supply in Kentucky Regulated segment, partial",2454,"Thank you, Bill, and good morning, everyone. Let's move to Slide 10. Our fourth quarter earnings from ongoing operations decreased slightly over last year, driven primarily by lower earnings at our competitive supply in Kentucky Regulated segment, partially offset by higher earnings from the U.K. and Pennsylvania Regulated segments. Full year 2014 earnings from ongoing operations were the same as last year, both at $2.45 per share. Higher earnings in the U.K. and Pennsylvania Regulated segments were offset by lower earnings from the Supply segment and Corporate and Other. The $0.03 reduction in Corporate and Other is, primarily, driven by tax-related items and higher financing and other costs.
Let's move to a more detailed review of 2014 segment earnings drivers starting with the U.K. results on Slide 11. Our U.K. Regulated segment earned a $1.37 per share in 2014, a $0.05 increase compared to 2013. This increase was due to higher utility revenue, due primarily to higher prices, partially offset by lower volumes due to weather and lower O&M due to lower pension expense. These positive drivers were partially offset by higher U.S. income taxes due to an increase in 2014 taxable dividend and from a 2013 positive adjustment related to an IRS ruling on our earnings to profit calculation. We also had higher depreciation from assets placement service and other of $0.03 per share.
One other item of note for the U.K. Regulated segment in an attempt to provide with additional visibility and transparency into the U.K. business, we will provide you unaudited consolidated financial information for PPL Global LLC. PPL is, primarily, the U.K. Regulated segment, exclusive of the after-tax effect of allocated interest from the debt issued at PPL cap funding for the Midlands acquisition. We'll put those amounts, so you can reconcile the PPL Global LLC results to the results of the U.K. Regulated segment presented here today. We hope you'll find this additional disclosure useful. We're still assessing the format in which to provide this information, which we expect to furnish separately in 8-K to be filed at the time we file our 10-K.
Moving to Slide 12. Our Kentucky Regulated segment earned $0.47 per share in 2014, a $0.01 decrease from 2013. This decrease was due to higher O&M, driven predominantly by timing of generation maintenance outages, strong related expenses and higher uncollectible accounts. Higher depreciation from assets placement service, higher financing costs from higher debt balance to fund CapEx and other of $0.03 per share. This decrease in earnings was almost fully offset by higher gross margins from returns on environmental capital investment and higher sales volume due to favorable weather. The other variances of negative $0.03 for both the Kentucky and U.K. Regulated segments is related to the way we compute diluted earnings per share using this converted method of accounting for the debt component of the equity unit. Not to get too technical, but the interest add back to income in 2013, was higher than the add back in 2014. And with no change in the number of shares outstanding, this had the effect of reducing EPS this year compared to last year.
Turning to Slide 13. Our Pennsylvania Regulated segment earned $0.40 per share in 2014, a $0.09 increase over 2013. This increase was due to higher delivery margins in both transmission and distribution from higher returns on additional capital investments and lower O&M. These increases were partially offset by higher depreciation due to asset additions and higher financing costs from higher debt balances to fund CapEx.
Finishing our segment review with supply on Slide 14, this segment earned $0.29 per share in 2014, a year-over-year decrease of $0.10 per share. This decrease was, primarily, due to lower energy margins driven by lower energy and capacity prices, partially offset by favorable baseload asset performance, gains on certain commodity positions and benefits of unusually cold weather in the first quarter of 2014. Lower margins were partially offset by lower financing costs, primarily, due to a repayment of the lower amount debt in December of 2013, when we exited a lease and acquired that plant, and lower income taxes driven by chewing up our state effective tax rate at year end 2014, and a valuation allowance adjustment reported in 2013, related to deferred tax asset for state net operating loss.
Turning to Slide 15. We have prepared a work from our 2014 ongoing earnings of $2.45 to our 2014 adjusted utility earnings from ongoing operations of $2.03, which adjust for the Supply segment and related to synergies from the spin, as Bill described. This adjusted 2014 earnings amount is the starting point from which we are facing our 4% to 6% compound annual growth rate.
Starting from $2.45, we removed the current year supply earnings of $0.29. With that, adjusted for the $0.07 of O&M dyssynergies, previously discussed, this is the $75 million of indirect corporate cost that were allocated to supply, but do not go with supply as part of the spinoff. As we discussed, corporate restructuring effort currently underway is intended to eliminate this dyssynergy. We also adjusted for the $0.05 of interest on the $880 million of debt at PPL cap funding that was previously allocated to supply, but will remain with PPL Corp. This is a permanent dyssynergy. 
Finally, the adjusted the depreciation dyssynergies down from $0.03 previously disclosed to $0.01, since by the time we get to 2017, there is only $0.01 of depreciation dyssynergy remaining, as these assets are generally IT systems that have short useful life, and some of the assets become fully depreciated over this time period.
Turning to Slide 16. We have prepared a walk from our 2014 adjusted regulated utility ongoing earnings of $2.03 to the $2.15 per share midpoint of our 2015 ongoing Regulated Utility forecast. Corporate and Other is forecasted to contribute $0.11 to the improvement in 2015 earnings. As we implement the corporate restructuring, we expect to reduce the O&M dyssynergies of $0.07. And in 2014, we incurred about $0.02 of deferred tax asset adjustment that we do not expect to incur in 2015. 
In the U.K., as discussed previously, utility revenues will decrease by about $0.14, primarily, due to revenue profiling and a lower weighted average cost of capital, partially offset by inflation and other items, as we move into the REO ED1 price control beginning April 1 of this year. Offsetting lower revenues, our lower U.S. income tax is as a result of the decrease in taxable dividends and a higher British pound exchange rate for 2015, as a result of our hedging program. The hedge rate for 2015 is about $1.63 Compared to a realized hedge rate of $1.60 in 2014.
In Kentucky, we anticipate a slight increase in earnings with rate increases effective July 1. Higher margins are expected to be partially offset by increases in O&M, due to higher pension and other labor related cost, higher depreciation on the increase plan service and higher interest expense to fund the capital growth in Kentucky. In Pennsylvania, we expect lower earnings in 2015, due primarily to higher O&M, higher depreciation and higher financing cost. These negative drivers are expected to be partially offset by improved margins driven by increased transmission margins and returns on distribution improvement capital investments.
On Slide 17. We provide update on our free cash flow before dividends. Actual 2014 free cash flow before dividends was in line with the projection we provided last February, which if you recall included the proceeds from the sale of the Montana Hydro facilities. Looking at 2015, we are projecting a decrease in our free cash flow, primarily, driven by the $900 million Montana Hydro sale proceeds that we received in 2014, and the free cash flows of energy supply that are included in 2014 of about $200 million. 2015 cash from operations and capital expenditures exclude the Supply segment, except for $191 million of distributions to be received by court by the end of the first quarter with no additional distribution from supply thereafter.
Moving to Slide 18. Our planned capital expenditures for 2015 through 2019 are detailed on this slide, with Regulatory Utility investment totaling almost $18 billion over that period. This includes previously announced initiatives, such as the U.K. spending for our accepted ED1 business plan, executing on our environmental compliance plan in Kentucky to meet EPA regulations as well as focusing on system reliability and generation capacity replacement with the retirement of some of our in Kentucky, updating and modernizing aging infrastructure in Pennsylvania, including programs that identify areas to strategically improve system performance and reliability. Our revised capital plan reflects incremental investment of approximately $900 million in Pennsylvania through 2018, including $500 million for transmission investment, including line rebuilds, new substations and substation security, and $200 million for distribution improvement, the smart meter replacement program and upgrades to our facility. Most of the increased distribution spend is recoverable to rate mechanisms, including the disk and the smart meter arrival. The revised plan also includes an  increase of over $270 million from 2015 to 2018 in Kentucky environmental spending due to increases in scope to meet the fluid and water guidelines and other projects related to cold combustion residuals, including ash pond closures. This increase partially offset the net reduction of about $600 million of spend from 2015 to 2018 from the deferral of the Green River CCD plan.
And finally, our capital plan is based on identifying projects across the portfolio and does not include unidentified growth projects.
Turning to Slide 19. Our updated investment plan drives a CAGR of about 7% in our projected rate base to 2019, driving value for both our customers and our shareowners.
Turning to Slide 20. As Bill mentioned earlier in the call, we are targeting to achieve compound annual growth in earnings per share of 4% to 6% to at least 2017. At this time, I'll highlight certain key assumptions used for each segment, that supports the 4% to 6% earnings CAGR. For the Pennsylvania Regulated segment, assumptions contributing to this growth include the successful -- excuse me, execution of our capital plans for both transmission and distribution. Earnings growth through 2017 is based on transmission CapEx spend of $2.1 billion and distribution CapEx spend of $1.2 billion, with disk and smart meter CapEx contributing $530 million and $160 million, respectively. The successful distribution base rate case plan for 2015 with new rates effective in early 2016, and we are assuming minimal load growth over the period.
For the Kentucky Regulated segment, key assumptions include the successful execution of our environmental CapEx program of $1.3 billion and the completion of the combined natural gas power plant. Successful completion of the current base rate cases with new rates effective July 1, 2015, and once again, we're assuming minimal load growth over the period.
For the U.K. related segment, of course, executing on the Ofgem accepted ED1 business plan has been built into the growth assumptions and provide 8 years of base revenue certainty, continued opportunity to outperform targets and the ability to true up certain costs, such as the annual change in the cost of debt and inflation, as determined by the U.K. RPI. We've also assumed a budgeted currency rate of $1.60 per pound. And for RPI under the Ofgem methodology, forecasted inflation rate used for the '15, '16 regulatory year is 2.6%, which will be chewed up for the actual realized inflation in the '17, '18 regulatory year. Our long range RPI assumption beyond '15, '16 is 3%. Incentive revenues are soon to be slightly higher for the 2014, '15 regulatory year compared $125 million for the regulatory year ended in March 2014. We assume incentive revenues decline from there, given the type of performance targets under ED1.
For Corporate and Other, we've built into the growth rate achieving the full $75 million in corporate support cost savings. At this point, we fully expect to be achieve this level of savings. We also assume equity issuances of $200 million annually, which is an increase of $100 million per year from our prior disclosure. This increase is to help fund the additional CapEx in the plant, while maintaining our strong credit metrics.
Moving to Slide 21. We know many of you have been focused on the recent movement in the British pound to U.S. dollar exchange rate. We'd like to understand the effect that has on our earnings from WPD. The next couple of slides present information on our hedge levels and provide details that help us budgeted rate of $1.60 per pound. On this slide, we detail our hedging status for 2015 and 2016, including sensitivities for $0.05 and $0.10 downward movement in the exchange rate compared to our budgeted rate of $1.60. First, we are nearly fully hedged at 97% for 2015, at an average rate of $1.63.
For 2016, we are 70% hedged at an average rate of $0.61. Since our third quarter update, we have laid down additional hedges for 2016 using callers to help protect against the further decline, but preserve some upside should the pound strengthen from its current position. You can see from the sensitivity table that there is basically no exposure in 2015, given our 97% hedge levels, and minimal exposure in 2016, even if rates stay at their current level.
Turning to Slide 22. As I just indicated, our business plan uses a $1.60 as the budgeted rate for open positions. While this rate is higher than the current spot rates, we believe it is indicative of a longer-term exchange rate based on historical data. First, the 5-year average rate was a $1.59, and the 10, 15, 20-year averages were all above $1.65.
Over the last 3 years when the exchange rate dip a low at $1.50, it was short lived as seen by the blue line. In the last 20 years, only 20 days went below $1.40. And about 90% of the time, the exchange rate was $1.50 or higher. Similar to the commodity hedge program we use to hedge our supply business, our foreign currency hedging program sets ranges as guidelines that provides flexibility to take advantage of periods of pound strengthening, as we did earlier in 2014 by increasing our hedge levels for 2015 and '16 and does not require us to fully hedge our exposure at lower levels.
As you are aware, we have been very successful with this strategy on the commodity side of our business. And as I detailed, this strategy is positioned us well for 2015 and '16. I know that was a lot, but that concludes my prepared remarks. Now I'll turn the call over to Bill for the question-and-answer period. Bill?"
185508,282841209,755385,"PPL Corporation, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","PPL Corporation","Executives","Thank you, Vince. And Operator, we are ready to take questions, please.",12,"Thank you, Vince. And Operator, we are ready to take questions, please."
185508,282841209,755385,"PPL Corporation, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","PPL Corporation","Operator","[Operator Instructions] Our first question from Neel Mitra from Tudor Pickering.",11,"[Operator Instructions] Our first question from Neel Mitra from Tudor Pickering."
185508,282841209,755385,"PPL Corporation, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","PPL Corporation","Analysts","I had a question on basically around Slide 21. Can you guys disclose the 2017 hedge levels for the currency. And basically, are you using the $1.60 exchange rate for 2017 as well to kind of get to the 4% to 6% earnings growth?",44,"I had a question on basically around Slide 21. Can you guys disclose the 2017 hedge levels for the currency. And basically, are you using the $1.60 exchange rate for 2017 as well to kind of get to the 4% to 6% earnings growth?"
185508,282841209,755385,"PPL Corporation, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","PPL Corporation","Executives","Thanks for the question, Neel. For 2017, we are not hedged at all at the moment. And it is $1.60 in our forecast, as I think Vince commented on one of the slides, that is used for all the years in the business plan for open positions. And of course, 2017",54,"Thanks for the question, Neel. For 2017, we are not hedged at all at the moment. And it is $1.60 in our forecast, as I think Vince commented on one of the slides, that is used for all the years in the business plan for open positions. And of course, 2017 is fully open."
185508,282841209,755385,"PPL Corporation, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","PPL Corporation","Analysts","And when you look at the $1.60 exchange rate, and I guess, where we're at right now the forward curves around $1.50 are a little bit higher. Is the 4% to 6% growth kind of safe through 2017 under the current forward curves or is it more kind of on your po",58,"And when you look at the $1.60 exchange rate, and I guess, where we're at right now the forward curves around $1.50 are a little bit higher. Is the 4% to 6% growth kind of safe through 2017 under the current forward curves or is it more kind of on your point of view at the $1.60 level?"
185508,282841209,755385,"PPL Corporation, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","PPL Corporation","Executives","Well, certainly, for 2015 and 2016, it would have minimal impact as shown on the Slide 21 here. Vince, do you want to comment on 2017?",26,"Well, certainly, for 2015 and 2016, it would have minimal impact as shown on the Slide 21 here. Vince, do you want to comment on 2017?"
