"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
93030,281963845,769614,"Range Resources Corporation, Q4 2014 Earnings Call, Feb 25, 2015",2015-02-25,"Earnings Calls","Range Resources Corporation","Operator","Welcome to the Range Resources' Fourth Quarter and Year End 2014 Earnings Conference Call. This call is being recorded. [Operator Instructions]Statements contained in this conference call that are not historical facts are forward-looking statements. Suc",84,"Welcome to the Range Resources' Fourth Quarter and Year End 2014 Earnings Conference Call. This call is being recorded. [Operator Instructions]
Statements contained in this conference call that are not historical facts are forward-looking statements. Such statements are subject to risks and uncertainties, which could cause actual results to differ materially from those in the forward-looking statements. [Operator Instructions]
At this time, I would like to turn the call over to Mr. Rodney Waller, Senior Vice President of Range Resources. Please go ahead, sir"
93030,281963845,769614,"Range Resources Corporation, Q4 2014 Earnings Call, Feb 25, 2015",2015-02-25,"Earnings Calls","Range Resources Corporation","Executives","Thank you, Adam. Good morning, and welcome. Range reported results for 2014 with record production and reserves and a continuing decrease in unit cost, which will set us up our operation for 2015. The order of our speakers on the call today are Jeff Ven",149,"Thank you, Adam. Good morning, and welcome. Range reported results for 2014 with record production and reserves and a continuing decrease in unit cost, which will set us up our operation for 2015. 
The order of our speakers on the call today are Jeff Ventura, President and CEO; Ray Walker, Executive Vice President and Chief Operating Officer; Roger Manny, Executive Vice President and Chief Financial Officer. 
Range did file our 10-K yesterday with the SEC. It should be available on our website under the Investor tab or you can access it using the SEC's EDGAR system. 
In addition, we posted in our website supplemental tables, which will guide you in the calculation of the non-GAAP measures of cash flow, EBITDAX, cash margins and the reconciliation of reported earnings to our adjusted non-GAAP earnings that are discussed on the call today. 
Now let me turn the call over to Jeff."
93030,281963845,769614,"Range Resources Corporation, Q4 2014 Earnings Call, Feb 25, 2015",2015-02-25,"Earnings Calls","Range Resources Corporation","Executives","Thank you, Rodney. In 2014, Range achieved some key milestones that I believe position the company well for the future. Range recorded record levels of production, reserves, revenue, net income, cash flow and cash flow per share in 2014. Thanks to continu",725,"Thank you, Rodney. In 2014, Range achieved some key milestones that I believe position the company well for the future. Range recorded record levels of production, reserves, revenue, net income, cash flow and cash flow per share in 2014. Thanks to continued cost structure improvements and steady production growth, despite declining realized prices, our cash flow and cash flow per share have increased. 
2015 is setting up to be a challenging year. Fortunately, we did several things in 2014 that will help us in 2015. With the redemption of our fixed rate 8% bonds with the proceeds from an equity offering, coupled with the cash proceeds we received from our Conger for Nora swap, we ended 2014 with less that than 2013. Debt per Mfce approved reserves was $0.30 at year-end 2014 compared to the prior year at $0.38. 
Last fall, we restructured and extended our senior bank facility for 5 years to 2019 and increased our borrowing base from $2 billion to $3 billion. We have no bonds maturing until 2020. 
We have continued with our capital and operating efficiencies. From 2014, we improved our operating efficiency by decreasing our unit cost, $0.35 or $0.10 -- 10% versus the prior year and expect continued improvement this year. Our capital efficiency improved as we continue to drill longer laterals, pump frac more stages per lateral and utilize improved targeting of lateral. We believe this trend will also continue into 2015. 
We currently have hedged approximately 65% of our projected 2015 natural gas production with the $4 floor and approximately 77% of our projected oil production with a $90.57 floor. 
On the natural gas liquids side, the Mariner East project is still projected to be on time with the startup in the third quarter of this year. When fully operational, even with the today's pricing, given Range specific contracts and the combined benefits from propane and ethane, this is projected to be approximately $90 million uplift as compared to selling the ethane as natural gas net of all transportation and processing fees. 
In 2014, we grew production 24%. We grew reserves, 26%, and we ended 2014 by testing our first Utica well in the Washington County at a rate of 59 million cubic feet per day, which we believe is a new record for any well in any horizon in the Appalachian Basin. 
As I previously mentioned, we accomplished a lot in 2014 that will help us into 2015. We also have recently taken additional steps to help drive our performance in 2015 and '16. We cut our 2015 capital budget to $870 million. This is approximately $700 million reduction from 2014. Given the quality of our assets and team, coupled with continuing improved capital efficiencies, we're targeting 20% growth for 2015 even with the reduced capital. 
Importantly, this growth occur sequentially throughout the year, which sets up Range well for 2016. 
We also made a tough decision to close our Oklahoma City office and operate our Mid-continent properties out of Forth Worth. Given that approximately 97% of our capital is currently targeted to Appalachia, we believe this is a right decision for the company, and it will lead to by the capital allocation for Range and improve integration of technology coupled with cost savings. 
Range is advantaged, given our core acreage position in the Marcellus. We have approximately 1.5 [ph] million net acres of stacked pay potential in Southwest and Northeast Pennsylvania that is prospective for Marcellus, Utica and Upper Devonian. Plus our acreage position is further advantaged in that we can selectively drill direct drilling capital towards the dry, wet or super-rich portions of the plant. 
Coupling this with our processing, pipeline takeaway capacity and unique NGL marketing agreements, Range is well positioned for 2015, 2016 and beyond. 
Gas demand is projected to increase in 2015 from coal plant retirements, gas exports for Mexico, and later this year, LNG exports. Given the large capital cuts from a large number of companies in our industry, which is resulting in a rapidly declining rig count and deferred completions. We may see a production response in oil, natural gas and natural gas liquids later this year. The combination of slowing supply growth, coupled with increasing demand, should help bring the markets closer in balance this year. 
I'll now turn the call over to Ray to discuss operations."
93030,281963845,769614,"Range Resources Corporation, Q4 2014 Earnings Call, Feb 25, 2015",2015-02-25,"Earnings Calls","Range Resources Corporation","Executives","Thanks, Jeff. While we're focused on the headwinds that we face in 2015, when we pause to look back at 2014, 2014 was a record year across many aspects of our operations. We set records in production, reserves, cash flow and earnings along with significan",2236,"Thanks, Jeff. While we're focused on the headwinds that we face in 2015, when we pause to look back at 2014, 2014 was a record year across many aspects of our operations. We set records in production, reserves, cash flow and earnings along with significant improvements in cost structure and capital efficiency. 
We continue to see great results in well performance in both Southwest and Northeast Pennsylvania, and like Jeff said, we completed our first Washington County Utica well. While it's only a single well, based on the early results and all the previous data, we have approximately 400,000 net acres in what we believe could be the core of the dry Utica and gives Range another significant growth opportunity to add to our core positions in the Marcellus and Upper Devonian and Southwest Pennsylvania. 
In 2014, we also put together both halves of the Northfield and Virginia, given us control of operations and the early results were outstanding. We have the ability to significantly grow that asset and one of the best gas markets on the East Coast in the future. 
And in the Mid-Continent area, we saw continued confirmation of the geologic modeling in the Chat along the Nemaha Ridge, leading to some of the best well performance to date in that play. 
I'm also really proud of all of our employees for working all of 2014 without a lost time incident, safety, environmental protections and regulatory compliance our a core philosophy at Range, and I want to personally congratulate everyone across the company for a job well done in 2014. We had a great year, adding reserves at record low, drillbit, F&B cost, while decreasing the PUD percentage and the startup of Mariner East early propane was another significant step in our liquids marketing strategy in Appalachia, further positioning Range with unique and advantaged opportunities. 
Recognizing the challenging commodity price environment that Jeff described in his remarks, I know most of you today are primarily focused on our plans for '15. 
As we announced previously, we've set the capital budget at $870 million, which is 46% lower than our 2014 CapEx, and we've targeted year-over-year production growth of 20%. Nearly 95% of that budget is directed towards the Marcellus, with over 90% of those dollars directed to Southwest Pennsylvania. 85% of our total capital is directed to the drillbit for 2015 as we significantly decreased our planned spending on land, exploration and seismic. 
We're able to make these changes and still target 20% growth for several reasons. Let me walk you through just a few of them. Number one, we have an experienced team and great leadership with a proven track record of growing production and reserves consistently, with one of the lowest cost structures and one of the best plays in the industry. This has been our philosophy at Range for many years. Number two, most importantly, and one of my favorites sayings, the rock rules. And this has proven to be the case throughout history across many plays and through multiple commodity price cycles. It simply means that where you find the best reservoir quality, meaning the best rock, the economics are substantially better than noncore acres. And when a company can maintain a low-cost structure in the quorum [ph] play, that company can sustain its growth at attractive economics across the up-and-down cycles of commodity prices. 
Range has what we believe is a core position in the Marcellus, Upper Devonian and Utica, allowing us to focus capital in those areas with the best economics whether they are dry, wet or super-rich and continue to achieve production growth in 2015 and beyond. 
And number three, Range has had a consistent strategy of 20% to 25% growth at a low-cost structure for many years. This has allowed us to implement innovative, attractive and long-term marketing and midstream arrangements that positions us well for what we face going forward. It has allowed us to keep our balance sheet strong and maintain liquidity. This strategy has also allowed our operating teams to achieve continued improvements in well performance and operational efficiencies, while at the same time, lowering our cost structure, and we expect to continue to see those improvements going forward. 
So getting into some details about 2015, let me start with our Southern Marcellus shale division. For 2015, we're planning to turn to sales approximately 101 Marcellus wells, 35 dry, 40 wet, and 26 super-rich with average completed lateral length of over 6,000 feet with 30 stages. Well timing is expected to be similar to prior years and therefore, our production growth profile is also expected to be similar with sequential growth quarter-by-quarter throughout the year, given us momentum as we go into 2016. 
To help investors and forecasting Range's production growth, we've updated our presentation for each area in the Marcellus the specific type curves that are representative of the wells planned to be turned to sales rather than the wells planned to be drilled as we've previously shown. 
The 2015 type curves that you'll find in our updated presentation on the website correspond to how our wells are planned to be produced and support our expectation of 20% growth for 2015. As we've described many times in the past, it's our practice to focus on optimizing our gathering system based on managing our cost structure to provide the best overall project returns. This results in lower initial rates to sales and flatter declines as the gathering system is built out over time and new processing plants and compressors are installed. 
Actual performance as it pertains to the overall project is what matters, and in Southwest Pennsylvania in the current environment, we believe our well performance and returns are some of the best. 
Importantly, Range's EUR projection in each of the Marcellus areas has increased in 2015 compared to the prior year estimates. While total well cost has come down, again, illustrating the quality of our Marcellus acreage and the continued improvements in capital efficiency. 
In the past, we've made substantial enhancements to our completion designs, such as improved lateral targeting, RCS, enhanced proppant placement, greener additives, super frac and substantial reservoir modeling, both historical and predictive just to name a few. These enhancements have led to bigger EURs and lower costs year-after-year. We'll be continuing with that focus on innovation and technology going forward. And I believe we'll continue to see positive changes in 2015 and beyond. 
Illustrating a specific example of this, I'll call your attention to a new slide in our presentation, Slide #35, which follows up on a couple of wells that we talked about several quarters ago. We drilled 2 infill wells on an existing Marcellus pad that has been producing for over 2 years. By applying the new designs of better targeting, the initial sales of those new wells was significantly higher than the existing wells as we previously reported. After almost a year of production, the new wells, on average, have yielded 53% more than the original wells. And we should not forget that on a normalized basis, the new wells were $850,000 less per well. This example illustrates just one aspect of the capital efficiencies, improved well performance and resulting economics that we've demonstrated today and can expect to see in future years. 
I'll call your attention to Slides 8 and Slides 9 -- Slide #8 and Slide #9 in our updated presentation to point out efficiencies that we've achieved over the past several years. Mainly, in the Southwest Pennsylvania area since 2011 as compared to '15, we've seen a 114% increase from lateral length with a 57% reduction in total well cost per foot of lateral. 
For 2015, as compared to '14, we're planning 20% longer laterals with a 37% reduction in total well cost per foot of lateral. Even though our current 2015 plan turns to sales a few less wells as compared to last year, we're actually planning to pump about the same number of frac stages. This illustrates continued efficiency improvements resulting in lower cost, but also results in a consistent activity level, allowing us to continue to capture improved service and supply pricing. 
Looking at pricing and cost to supply chain. On an apples-to-apples basis, assuming no efficiency improvements, we now have a range in place that have reduced our estimated 2015 well cost by 23% to 25% as compared to December 2014 pricing. We've seen reductions in pricing across all services and supplies, and we believe we'll see more improvements if that activity continues to decrease across the industry. 
Let me point out, again, that we've embedded in our 2015 plan, well cost improvements from high grading our program, continued improvements and designs efficiencies in operations, and the reduction in service and supply cost that we currently have in hand. When you add all these together, you achieve the 37% decrease in total well cost per foot of lateral that I described earlier. If we see further reductions in service and supply pricing, our total well cost will decrease further. This, of course, combined with the diversity of our large core position in Southwest Pennsylvania, allows us to grow with good economics in 2015 whether it's dry, wet or super-rich. 
As a further update on the Utica, we're still planning to drill 2 more wells this year. We believe the total well cost for the second well will be around $13 million and will still include some additional science. It's still very early in the program, but I believe as time goes and we drill more wells, we could see the cost come down other 15% to 25%, as operational efficiencies and design improvements kick in. The plays with 11H [ph], which holds the record IP of 59 million a day is now producing at our designed constraints of 20 million a day. And albeit, very early, and with only a few weeks of production, the well is leading initial expectations. 
Just like I discussed earlier, current production facilities for these wells are designed to optimize the long-term flow and project economics. The first well will be produced to sales on an interruptible basis until this summer when new infrastructure is completed. The second well is planned to come online about that same time, and the third well is planned to be drilled later in the year. 
In the Northeast Pennsylvania on Slide 9, you can see that the lateral length has increased 100% since 2011, with a corresponding 63% decrease in total well cost per lateral foot. For 2015, as compared to '14, we're increasing lateral lengths by 18% [ph] with a 20% decrease in total well cost per foot of lateral. 
The team there had a great year, and we saw a 44% increase in our 90-day rates with a 37 -- with a 30% reduction in well cost, totally attributable to operational efficiencies and improved well designs that were implemented in 2014. We're planning a 1- to 2-rig program this year, resulting in about 14 wells to sales, and we expect those improvements that we saw in 2014 will continue. 
We've cut the CapEx in the Mid-Continent division to approximately $26 million, resulting in 8 [ph] Chat Wells, utilizing targets from the geologic model that has been developed over the past couple of years. As Jeff mentioned, we've made the difficult decision to close the Oklahoma City division office, and we're now operating properties, which is approximately 360,000 net acres and 80 million a day of production with our Fort Worth-based operations team. The field offices across Oklahoma and in the Texas Panhandle will now report to Fort Worth. 
In Nora, we have the distinct advantages of an asset where we either own the minerals or it's held by production combined with having a very flat decline and receiving some of the best gas prices in the country. 
Our plan for 2015 is simply to complete our inventory of wells drilled in late 2014 along with minimal maintenance capital, resulting in a total spend of about $15 [ph] million, with about 25 new wells turned the sales. 
In only a few short months, taken over operations, the team has implemented designs resulting in some of the best results we've seen in that field, and you can see some of those results from Slide 45 in the presentation. 
465,000 net acre position has a tremendous inventory of low-risk projects combined with exploration potential for the coming years. Again, this is an asset that we believe we can ramp a significant volumes with attractive economics in the future. 
In summary, our message today is that we have a great team with a proven track record. We have a large and consolidated position in the core of one the best plays in the world, and history has proven over and over, the rock rules. We continually improve our cost structures, setting us up well to continue to deliver economic growth in the current environment. Our plan of growing at 20% to 25% for many years has enabled us to plan and execute innovative and attractive marketing and midstream arrangements that position us well. We have the balance sheet strength and liquidity to support the operational plan. 
And finally, we have a plan for 20% growth in 2015 to create value by achieving growth consistently and sequentially quarter-by-quarter at attractive economics. All positions us [indiscernible]  
Now over to Roger."
93030,281963845,769614,"Range Resources Corporation, Q4 2014 Earnings Call, Feb 25, 2015",2015-02-25,"Earnings Calls","Range Resources Corporation","Executives","Thanks, Ray. The fourth quarter closed out an excellent financial year for Range. Revenue, cash flow and cash flow per share were all sequentially higher than the third quarter of this year and also, significantly higher than the fourth quarter of last ye",897,"Thanks, Ray. The fourth quarter closed out an excellent financial year for Range. Revenue, cash flow and cash flow per share were all sequentially higher than the third quarter of this year and also, significantly higher than the fourth quarter of last year, while total unit costs were lower. For all of 2014, we set record highs for revenue, EBITDAX, cash flow and cash flow per share. And while we understand that everyone is keenly focused on current commodity prices and 2015 budgets, we should not overlook of these record 2014 results as they properly positioned Range for a more challenging 2015. 
So starting with the income statement. The fourth quarter was much like prior quarters, where we offset lower oil, gas and NGL prices with higher production volumes and lower costs. Our net realized price per Mfce was 17% lower than the fourth quarter of last year, the production was 26% higher and unit costs were 11% lower. And that drove our strong quarterly performance. 
Reported net income was $284 million for the quarter, benefiting from a $341 million pretax mark-to-market gain on our hedge book. Fourth quarter earnings calculated using analyst methodology, which eliminates these noncash mark-to-market entries, was $65 million or $0.39 per fully diluted share. 
Cash flow for the fourth quarter was $273 million, 8% higher than last year, and cash flow per fully diluted share was $1.64. 
EBITDAX for the fourth quarter came in at $310 million, 5% higher than last year. Cash flow and cash flow per share for the full year 2014 was just over $1 billion or $6.33. EBITDAX for the full year was $1.2 billion, and 2014 was the first year that cash flow topped the 1 billion mark. As Rodney mentioned earlier, please reference the various reconciliation tables found on the Range website and earnings release for full reconciliations of these non-GAAP measures to GAAP. 
On the expense side, all of our fourth quarter expense items came in at or below guidance, reflecting heightened focus upon cost as oil, gas ang NGL prices waned during quarter. A special mention is the continued decline in our DD&A rate. Our DD&A rate for the fourth quarter was $1.25 per Mfce, down $1 -- down from a $1.36 per Mfce last year and $1.46 per Mfce the year before that. The fourth quarter DD&A rate represents a 48% decline during the past 5 years from the peak rate of $2.41 in Mcfe back in 2009. We expect the DD&A rate to continue falling as we high grade our asset base and become even more capital efficient. 
While there are several non-material positive and negative nonrecurring items, passing through the income statement in the fourth quarter, there is one item that is highly nonrecurring. This item relates to the closing of our Oklahoma City office that Ray and Jeff mentioned and resulting $8 million accrual for severance cost. The office closing will reduce our total company-wide headcount by approximately 8%. 
There are other overhead cost associated with the office closing, besides severance. And the first quarter results will likely include an additional accrual of approximately $8 million to account for these costs. 
When the closure's completed, we expect an annual G&A reduction of approximately $15 million to $18 million or $0.04 per Mfce. And with these savings layered in, beginning in the second quarter of 2015. 
Flipping over to the balance sheet. The first number you may notice is that we ended the year 2014 with less debt than the end of 2013. Aggregate debt and leverage are both down from last year, even though we added 2.1 TCF of proved reserves and grew production by 26%. The steps taken mid-year in 2014 to reduce leverage and interest carry by calling our highest-cost notes has positioned us well for the current more challenging environment. 
Looking forward, our revised interim $70 million capital budget results in a very modest cash flow overspend, which is easily funded by our recently renewed bank facility. 
At year-end 2014, we had over $1 billion in liquidity available under our $2 billion commitment and over $2 billion in available liquidity under our $3 billion borrowing base. 
Another balance sheet number that you may notice is our retained earnings, topping the 1 billion mark for the first time. Considering that for 6 consecutive years, we have seen our realized price per Mfce come down. While cash flow and cash flow per share for the past 6 consecutive years has gone up, we view retained earnings growth as yet another indicator of our improving capital productivity, the quality of our assets, and our relentless focus on growth at low cost. Please reference our fourth quarter earnings release for detailed expense item guidance for the first quarter of 2015. 
The earnings release also contains summary details of our hedged positions on both commodities and basis for 2015, 2016 and 2017. Additionally, detailed hedge volumes and price information may be found on our website. 
To summarize, 2014 brought record high revenue, operating income, cash flow and cash flow per share with record low cash unit cost. The progress we made in 2014 places us on firm ground as we enter 2015. With additional capital efficiencies and cost reductions still to come, we are confident in our ability to continue to deliver consistent growth for many years. 
Jeff, back over to you."
93030,281963845,769614,"Range Resources Corporation, Q4 2014 Earnings Call, Feb 25, 2015",2015-02-25,"Earnings Calls","Range Resources Corporation","Executives","Operator, let's open it up for Q&A.",7,"Operator, let's open it up for Q&A."
93030,281963845,769614,"Range Resources Corporation, Q4 2014 Earnings Call, Feb 25, 2015",2015-02-25,"Earnings Calls","Range Resources Corporation","Operator","[Operator Instructions] Our first question comes from Ronald Mills of Johnson Rice.",12,"[Operator Instructions] Our first question comes from Ronald Mills of Johnson Rice."
93030,281963845,769614,"Range Resources Corporation, Q4 2014 Earnings Call, Feb 25, 2015",2015-02-25,"Earnings Calls","Range Resources Corporation","Analysts","Ray, you talked about Slide 8, 9 and it shows that the cost improvement particularly just for lateral, there's a big decrease is expected much bigger decrease is expected '15 versus '14. Can you talk about how much of that is related to the lower overall",77,"Ray, you talked about Slide 8, 9 and it shows that the cost improvement particularly just for lateral, there's a big decrease is expected much bigger decrease is expected '15 versus '14. Can you talk about how much of that is related to the lower overall service cost environment versus ongoing efficiencies. I'm just looking at the last bar and the well cost per lateral length and the pace of the decline as much greater in '15."
93030,281963845,769614,"Range Resources Corporation, Q4 2014 Earnings Call, Feb 25, 2015",2015-02-25,"Earnings Calls","Range Resources Corporation","Executives","Good question. The difference that when you look at those charge on Page -- Slides #8 and 9, what you've seen from 2011 to 2014 has pretty much been a factor of well design improvements, longer laterals, operational efficiencies and the capital efficiency",261,"Good question. The difference that when you look at those charge on Page -- Slides #8 and 9, what you've seen from 2011 to 2014 has pretty much been a factor of well design improvements, longer laterals, operational efficiencies and the capital efficiency that we've seen during that timeframe. We -- during -- from 2011 [ph] through 2014, we really have never seen service and supply chain cost reductions. So the difference in the slope of that line, if you want to look at it that way, going from '14 to '15, is the service -- or the supply chain side of the -- the pricing reductions that we're seeing. We're seeing discounts across all of the sectors, across all -- from drilling rigs all the way through every piece of it. And I think the jury still out on how much more that we'll see during the year, but I think it will depend on the activity across the industry. But certainly, with all of the capital reductions that we've seen across all of the different plays, we're taking advantage of those every opportunity we get. But that's the big difference. So that what I quoted in my remarks of the 37% reduction that we're seeing from 2014 for the planned average in 2015, is really a combination of well design improvements, operational efficiencies, like we've seen in the past. And we'll continue with all those innovations and then the other is new thing this year is really the difference in well cost from the supply chain side of things."
93030,281963845,769614,"Range Resources Corporation, Q4 2014 Earnings Call, Feb 25, 2015",2015-02-25,"Earnings Calls","Range Resources Corporation","Analysts","Okay, great. And then later in the presentation, you show each of the areas and you have the 2014 actual production versus the unrestricted type curves. just a little more color on what the restrictions are in is it just the buildout of gathering and righ",78,"Okay, great. And then later in the presentation, you show each of the areas and you have the 2014 actual production versus the unrestricted type curves. just a little more color on what the restrictions are in is it just the buildout of gathering and rightsizing the gathering for the long term as opposed to flowing unrestricted? And I assume your guidance is based off of how you're actually flowing them as opposed to the unrestricted type curves?"
