"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
105612,282273180,750797,"Raytheon Company, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Raytheon Company","Operator","Good day, ladies and gentlemen, and welcome to the Raytheon Fourth Quarter 2014 Earnings Conference Call. My name is Taheesha, and I will be your operator for today. [Operator Instructions] As a reminder, this conference is being recorded for replay purpo",65,"Good day, ladies and gentlemen, and welcome to the Raytheon Fourth Quarter 2014 Earnings Conference Call. My name is Taheesha, and I will be your operator for today. [Operator Instructions] As a reminder, this conference is being recorded for replay purposes. I would now like to turn the conference over to your host for today, Mr. Todd Ernst, Vice President of Investor Relations. Please proceed."
105612,282273180,750797,"Raytheon Company, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Raytheon Company","Executives","Thank you. Good morning, everyone. Thank you for joining us today on our fourth quarter conference call. We also announced this morning the audio feed of this call and the slides that we'll reference are available on our website at raytheon.com. Following",196,"Thank you. Good morning, everyone. Thank you for joining us today on our fourth quarter conference call. We also announced this morning the audio feed of this call and the slides that we'll reference are available on our website at raytheon.com. Following this morning's call, an archive of both the audio replay and the printable version of the slides will be available in the Investor Relations section of our website. 
With me today are Tom Kennedy, our Chairman and Chief Executive Officer; Dave Wajsgras, our Chief Financial Officer; and Toby O'Brien, who will formally take over as CFO on March 2 of this year.  We'll start by comments and move on to questions. 
Before I turn the call over to Tom, I would like to caution regarding our forward-looking statements. Any discussed today that are not historical facts, particularly the comments future plans, objectives and expected performance constitutes forward-looking statements. These statements are the company believes are reasonable, but are subject to a number of uncertainties and risks that are summarized at the end of our earnings release and are discussed in detail at our SEC filings. With that, I'll turn the call over to Tom."
105612,282273180,750797,"Raytheon Company, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Raytheon Company","Executives","Thank you, Todd. Good morning, everyone. Raytheon concluded 2014 with a strong fourth quarter, driven by global demand for our advanced technologies and a solid execution across the company. Bookings were better than expected at $7.1 billion, yielding a b",1489,"Thank you, Todd. Good morning, everyone. Raytheon concluded 2014 with a strong fourth quarter, driven by global demand for our advanced technologies and a solid execution across the company. Bookings were better than expected at $7.1 billion, yielding a book-to-bill ratio of 1.16 for Q4. Sales were up nearly 5% in the quarter as both domestic and international sales increased. And cash flow and margins were strong as well. 
These results were made possible by the dedicated efforts of the entire at Raytheon team. And I want to thank everyone on the team for the strong quarter and solid year. 
As I look back on 2014, I'm pleased with our overall performance. We had a book-to-bill ratio of 1.05 for the year. Bookings of $24.1 billion exceeded the high end of our expectations. 
The company capitalized on key domestic and international opportunities in missile defense, electronic warfare, cybersecurity, C4ISR and training. This highlights our continued alignment with our customers' priorities and our strong competitive position. Furthermore, we're especially proud that we delivered better-than-expected bookings performance, even as one of our anticipated large international Patriot awards moved into the first quarter of 2014. 
Operationally, we continue to focus on reducing cost, improving affordability and delivering strong returns, while at the same time, we follow through in our commitment to invest on our future. As we look forward to 2015, we expect to continue to perform well. Dave will walk you through our 2015 guidance in a few minutes. 
Demand from our broad base of customers continues to drive growth in our international business. Over the past few months, I continue to receive feedback from our international customers that investing in national security remains a top priority, given the global threat environment. And you can see this in both our fourth quarter and full year results. 
Full year 2014 international bookings were up 27% over 2013 and were 35% of the total company bookings. I will note that our international book-to-bill ratio for the year was 1.28 and I look for -- at the fourth quarter, it was 2.0. So we finished the year with very solid international bookings. 
We saw strong demand across our international portfolio during the year, including bookings from Qatar for Patriot and an air defense operating sector; Kuwait for Patriot fire units, Canada for the North Warning System, several countries for AMRAAM, South Korea for missiles and in the Australia for the air warfare destroyer, among a host of others. 
At the end of Q4, international backlog increased to 40% of our total backlog. Our domestic bookings in 2014 also improved over 2013. We received key awards in training, SM-3, AMRAAM, Tomahawk and the FAA program. We also closed on key competitive awards, including the family of advanced beyond line of sight terminal. And last summer, we also had successful tested the exoatmospheric [ph] vehicle that allowed us to move forward on this important program that protects the homeland. 
We saw strong bookings in our classified business, which includes both domestic and international. And our overall classify bookings increased by 29% in 2014. 
We feel good about the outlook for 2015 and we expect another year with a book-to-bill ratio above 1. International bookings are expected to continue to be strong, representing approximately 1/3 of our total 2015 bookings, driven by opportunities from a broad base of global customers and across a wide range of our products and solutions, including missiles, tactical radars and Command and Control systems. 
In addition, demand for the proven Patriot systems air and missile defense capabilities continues. New opportunities in Asia and the Middle East as well as competitive awards continue to develop. As I just mentioned, we are close to finalizing a $2 billion Patriot order from an international customer in Q1. We also expect to conclude negotiations on the Patriot upgrade program in South Korea within the next 6 to 9 months. Keep in mind the missile upgrade awarded to us in Q3 of 2014 is a precursor for Korea's expected follow-on hardware upgrade Configuration-3 plus. 
In Europe, is expected to make the final down select for the medium-range integrated air and missile defense competition by the end of this year. Patriot is 1 of 2 systems in the final round of the competition. 
From a domestic perspective, the final agreement on the fiscal year 2015 DoD base budget was reached in December. Modernization accounts came in several billion dollars higher than requested, yielding funding increases for several Raytheon programs. We expect the administration to submit its fiscal year 2016 defense budget request next week. While we won't speculate on what the final funding level for DoD will be in fiscal year 2016, we will point out that even if the Budget Control Act caps are not raised at all, DoD base budget funding will be several billion dollars higher in fiscal year 2016 than fiscal year 2015.  While the domestic market is still constrained, the trajectory of the DoD base budget is finally, starting to trend upwards. 
We see considerable opportunities in the domestic market. The growing sophistication of the threat toward national security is creating demand for new innovative solutions. As a result, we are investing more to develop the discriminating technologies and differentiated capabilities that will enable us to provide our customers what they need in areas such as missile defense, electronic warfare, high-energy lasers, advanced propulsion and undersea sensors. These investments will position us to capture future franchise programs and lay the foundation for growth. 
Another area where we see continually evolving the persuasive threat in cyber. In fact, we see change for certain areas of the industry. Whereas C3ISR expanded to C4ISR, this is now evolving to C5ISR with the latest C stand for cyber. Consistent with this, many of our customers are turning to us to incorporate the latest cyber protection into their networks and systems so that they are more secure. As always, we stand ready to help our global customers with our advanced cyber capabilities. At the end of the last decade, we began adding to our organic cyber capabilities through acquisitions. And we've made a number of cyber-related acquisitions since then, positioning us a technology leader in this growing market. 
Our latest cyber-related acquisition was Blackbird technologies, in which we completed in the fourth quarter. Blackbird not only adds unique cyber and other capabilities but also expands key market channels in the special operations and Intel markets for Raytheon. It is a great fit and we welcome their employees to the Raytheon team. 
One of the key strengths of Raytheon is our ongoing commitment to our core values. And in 2014, we were recognized for our achievements in the area of ethics and integrity, health and safety and sustainability. We were awarded the 2014 corporate leadership award by Transparency International USA for our commitment to shape initiatives that promote high business standards, transparency and anticorruption in the U.S. and internationally. We achieved the best safety record in our history, significantly reducing both lost workdays and recordable injuries. 
We reached the -- received the Energy Star Partner award for an EPA and have been recognized as one of the top green companies in America for our strong greenhouse gas reduction program and sound energy practices. We were also recognized as one of the 100 best corporate citizens by Corporate Responsibility magazine. Our goal is to continue to build on these successes. 
Before wrapping up, I'd like to highlight another significant attribute that we pride ourselves here on Raytheon. That is having a deep bench of management talent as a result of our strong leadership development and succession planning programs. Over recent weeks, we've made announcements that clearly demonstrate this. I'd like to again congratulate David Wajsgras on his new role as President of IIS. Dave has been CFO of Raytheon since 2006. His tenure as CFO has been an integral component of an exceptional period of value creation for the company. His deep industry background and broad experience working with both customers and industry partners will be key in driving the global growth strategy in IIS. Dave will be succeeding who will be retiring after serving more than 10 years with the company, including 6 years as a President of IIS, which he delivered solid operating results and outstanding leadership. 
I'd also like to welcome Toby to his new role as CFO of Raytheon. As many of you know, Toby has been with the company for nearly 30 years and has held a number of business CFO roles in the company. He was CFO at IDS when he led the business. So I had the pleasure of working with Toby before and look forward to doing so again. I'm confident he'll do a great job. 
In summary, we had another great year at Raytheon and we have a solid outlook for 2015. With that, let me turn it over to Dave."
105612,282273180,750797,"Raytheon Company, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Raytheon Company","Executives","Okay. Thanks, Tom. I have a few opening remarks, starting with the fourth quarter and full year results. Then I'll discuss our outlook for 2015 and after that, we'll open up the call for questions. So in my remarks, I'll be referring to the web slides we",1858,"Okay. Thanks, Tom. I have a few opening remarks, starting with the fourth quarter and full year results. Then I'll discuss our outlook for 2015 and after that, we'll open up the call for questions. So in my remarks, I'll be referring to the web slides we issued earlier this morning, which are posted on the Raytheon website. 
Okay, if everyone could please move to Page 3. We delivered solid results in both the quarter and the full year. Fourth quarter operating margin was 14.1% and on an adjusted basis was 13%. For the full year, operating margin was 13.9% and 12.7% on an adjusted basis. Our fourth quarter EPS from continuing operations was $1.86 and on an adjusted basis, was $1.71. For the full year, EPS from continuing operations was $6.97 and our adjusted EPS were $6.12. Our sales for the quarter was $6.1 billion and $22.8 billion for the year. We also generated strong operating cash flow of over $825 million for the quarter and $2.1 billion for the year, after a $600 million pretax discretionary pension contribution, which was not in our prior guidance. 
Additionally, the company repurchased 7.7 million shares of common stock for approximately $750 million in 2014. The company ended the year with a strong balance sheet and net debt of $611 million. 
Also, as previously announced, the company acquired Blackbird technologies in the fourth quarter for approximately $425 million. 
If you turn to Page 4. Let me go through some of the details of our fourth quarter and full year results. We had strong bookings of $7.1 billion in the quarter and $24.1 billion for the full year, resulting in a year end backlog of $33.6 billion. Our book-to-bill ratio in the quarter was 1.16 and 1.05 for the year. And the company ended 2014 with a funded backlog of $23.1 billion. 
For the quarter, international orders represented 50% of our total company bookings and for the full year was 35% of total bookings. At the end of 2014, approximately 40% of our total backlog was international. 
Turning now to Page 5. We had fourth quarter sales of $6.1 billion, up 5% over the same period in 2013 and again, was consistent with our expectations. So looking at the businesses, all had higher sales than the same period last year. Net sales at IDS were $1.6 billion in the quarter. Compared to last year's fourth quarter, the increase was primarily due to higher sales on international Patriot programs. 
IIS net sales of $1.5 billion in the quarter were up from the same period last year, primarily due to higher volume on classified programs. 
Missile Systems had fourth quarter 2014 net sales of $1.7 billion, up 5% compared to the fourth quarter of 2013. The increase was primarily due to higher sales on AMRAAM and evolved Sea Sparrow missile programs. And IIS had net sales of $1.7 billion in Q4, higher than the comparable period last year, primarily due to increased sales on an Electronic Warfare systems program. 
For the year, sales were $22.8 billion, down 3.7%, again, consistent with our expectations. International sales growth partially offset a decline in domestic sales. 
So moving ahead to Page 6, we delivered solid operational performance in the quarter and for the full year. Looking at business margins in the quarter, at IDS, IIS and missiles, margins were essentially in-line with or better than last year. In the fourth quarter 2014, IDS achieved some important program milestones and I did briefly discussed this on the call on October. 
And at SAS, fourth quarter 2013 benefited from the timing of profit adjustments. Said another way, SAS had a tough comparison. Also, you may recall that this business had strong third quarter margins in 2014, driven by the timing of performance that we had previously expected in the fourth quarter. So it's worth noting that IDS, IIS and SAS margins all exceed the guidance range that we provided back in October. 
Missile Systems did come in slightly below our guidance, driven by program mix. 
So on Page 7, you'll see both the fourth quarter and full year EPS. In the fourth quarter, 2014, our EPS was $1.86 and for the full year was $6.97. And on an adjusted basis, was $1.71 in the fourth quarter and $6.12 for the full year. EPS for the quarter was strong and included the extension of the R&D tax credit, which was not in our prior guidance. As I previously mentioned, the company generated strong operating cash flow of $2.1 billion in 2014. Again, this includes the $600 million pretax or $400 million after tax discretionary pension contribution, which was also not in our prior guidance. Excluding the net discretionary cash contribution, our operating cash flow in 2014 would have been $2.5 billion. It's worth noting that on this basis, we exceeded the guidance that we provided you on October due to the timing of collections. 
Moving on to the 2015 guidance on Page 8. We see sales in the range of $22.3 million to $22.8 billion, flat to slightly down from 2014. As for pension, we see the 2015 FAS/CAS adjustment at a positive $197 million, which I'll further discuss in just a minute. We expect net interest expense to be $225 million to $235 million. We see our average diluted shares outstanding to be between $305 million and $307 million on a full year basis. 
As for our effective tax rate, we expect it to be approximately 27.5%. Our 2015 tax rate is higher than 2014, primarily due to the laps of the R&D tax credit, which, again, is not included in our 2015 guidance. If the R&D tax credit is extended, it will favorably impact the affected tax rate by about 110 basis points and our EPS by approximately $0.10. 
As a reminder, we had an $83 million foreign tax credit in the first quarter of 2014, which also impacted the effective tax rate. And for 2015, we are anticipating a non-cash $88 million tax settlement in the second quarter. 
In 2015, we our EPS to be in the range of $6.20 to $6.35 and our adjusted EPS to be in the range of $5.49 to $5.64. Our operating cash flow guidance for 2015 is expected to increase to between $2.3 billion and $2.6 billion. 
Before moving to Page 9, I want to mention that we expect the 2015 book-to-bill ratio to be between 1.0x and 1.05x, driven by continued demand from a broad base of domestic and international customers. And we, again, expect stronger bookings in the second half of this year similar to both 2013 and 2014. 
So if you move to Page 9. Here, we provided our initial 2015 guidance by business. Consistent with our prior comments, we expect 2015 adjusted margins to continue to be solid in the 12.1% to 12.3% range. Our margin for 2015 will be impacted by a change in program mix as well as higher investments in technology, with the objective of returning to top line growth. The investments we've made in GaN and cyber are paying off in significant ways today. We fully expect these new investments in radars, directed energy, EW and advanced propulsion to lay the foundation for growth over the next few years. 
At IDS, we see margins in the 15.1% to 15.3% range. The change from 2014 is driven by mix, most notably, the planned completion of some of our international Patriot programs. And in 2015, we are ramping up on several new programs, including Qatar Patriot and the new international Patriot award expected in Q1. As you know, we typically see lower margins at the exception of longer duration programs, which can improve over time as we retire risks and drive operational improvements. Longer-term, we see IDS margins improving after 2015, as the overall business mix improves and as these new large international programs progress through the production cycle. 
Additionally, you should note that we expect IIS margins of 7.4% to 7.6% to be impacted by approximately 60 basis points due to the Blackbird Technologies acquisition related cost. Excluding this, IIS margins would be in the range of 8% to 8.2%. 
SAS margins are expected to be down, driven by mix from lower volume as a result of completing some international programs as well as some higher business investments in 2015. 
Looking ahead, from a company level perspective, as domestic development programs transition to production and our international programs mature, we do see opportunities that will improve margins in 2016 and beyond. 
If you'd now turn to Page 10. We provided you with our 2015 outlook by quarter. You'll notice the sales ramp throughout the year. In addition, the second quarter EPS is favorably impacted due to the previously mentioned non-cash $88 million tax settlement. 
And finally, on Page 11. As we've done in the past, we provided a summary of the financial impact from pensions in 2014 as well as the projected 2015 through 2017 impact, holding all assumptions constant. 
As I mentioned earlier, we see the 2015 FAS/CAS adjustment at a positive $197 million, which reflects our investment returns in 2014 of over 6% on our U.S. pension assets and the December 31 discount rate of 4.1%. The discount rate is down 100 basis points from last year. 
Further, we reduced our long-term return on asset assumptions from 8.75% to 8% due to a change in the allocation of our planned assets and related investment strategies. 
Taken together, these result in a lower favorable FAS/CAS pension impact in 2015 compared to '14. 
Looking beyond 2015, it's important to keep in mind for each 25 basis point change in the discount rate, a result of $65 million to $75 million change in FAS/CAS takes place. 
Lastly, required pension contributions are decreasing in the near term as CAS recovery is increasing. This has a favorable impact on our pretax net cash flow over the forecast horizon. 
Before concluding, I would also like to take this opportunity to congratulate Toby on his promotion. I've worked with Toby for 9 years and I can tell you that he understands Raytheon, has a strong network and is well-respected across the entire company. He has a deep understanding of finance, the industry and our customers. And he also has a strong commercial background, having been the CFO of Raytheon Aircraft for close to 5 years. His extensive and broad background provides a strong foundation for his and Raytheon's future success. Now on a personal note, I would like to mention that it's been great to work with all of you since joining Raytheon. And I'm looking very forward to my new role. I'm sure I'll see you at future Raytheon events. 
Let me conclude by saying that in 2014, Raytheon, again, delivered solid operating performance with bookings, margins, earnings and operating cash flow, all on or ahead of expectations. Book-to-bill was strong and our international business continues to grow. We have a strong balance sheet, which gives us a substantial flexibility and options to continue to drive shareholder value. With that, we'll open up the call to questions."
105612,282273180,750797,"Raytheon Company, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Raytheon Company","Operator","[Operator Instructions] Your first question will come from the line of Doug Harned from Sanford Bernstein.",16,"[Operator Instructions] Your first question will come from the line of Doug Harned from Sanford Bernstein."
105612,282273180,750797,"Raytheon Company, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Raytheon Company","Analysts","I want to make sure I understand the bookings and backlog trajectory better. You booked $24 billion in '14. That's up from the prior year. And your book-to-bill is above 1. Your backlog declined slightly. Can you connect those 2 so I can understand why --",54,"I want to make sure I understand the bookings and backlog trajectory better. You booked $24 billion in '14. That's up from the prior year. And your book-to-bill is above 1. Your backlog declined slightly. Can you connect those 2 so I can understand why -- how that decline happened despite the good book-to-bill?"
105612,282273180,750797,"Raytheon Company, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Raytheon Company","Executives","Yes, sure. This is Dave. Our book-to-bill in 2014 was 1.05, as you just mentioned. With that said, we did have a little over $1 billion in backlog adjustments, which was in line with the adjustments we've had over a number of years historically. And just",76,"Yes, sure. This is Dave. Our book-to-bill in 2014 was 1.05, as you just mentioned. With that said, we did have a little over $1 billion in backlog adjustments, which was in line with the adjustments we've had over a number of years historically. And just to be clear, backlog adjustments reflect several items, including currency fluctuations, under runs on completed cost type contracts and scope changes, including scope reduction on contracts and finally, contract terminations."
105612,282273180,750797,"Raytheon Company, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Raytheon Company","Analysts","I'm just trying to -- it does. What I'm trying to understand is, you mentioned some of the areas that you're investing in so -- to lead to top line growth. But when you look at your guidance for next year, you've got a lower revenue number. And if we come",94,"I'm just trying to -- it does. What I'm trying to understand is, you mentioned some of the areas that you're investing in so -- to lead to top line growth. But when you look at your guidance for next year, you've got a lower revenue number. And if we come in with a book-to-bill again like this -- what I'm worried about is that you have trajectory of backlog that may continue to decline. And I'm trying to understand a when we should expect to see that growth in the top line."
105612,282273180,750797,"Raytheon Company, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Raytheon Company","Executives","Yes. So Doug, for next year, we see sales essentially in-line with 2014, flat to maybe down 2%. As you look beyond the 2015 time frame, we do expect to return to growth in '16 and beyond. And importantly, again, we do see very strong bookings, both domest",58,"Yes. So Doug, for next year, we see sales essentially in-line with 2014, flat to maybe down 2%. As you look beyond the 2015 time frame, we do expect to return to growth in '16 and beyond. And importantly, again, we do see very strong bookings, both domestically and internationally, again, in 2015 that we saw in '14."
105612,282273180,750797,"Raytheon Company, Q4 2014 Earnings Call, Jan 29, 2015",2015-01-29,"Earnings Calls","Raytheon Company","Executives","And just one last one there, in 2016, we'll have ramped up on 2 major Patriot programs, Qatar and the other one that will be coming in this quarter. And so that will generate significant revenue growth for 2016.",39,"And just one last one there, in 2016, we'll have ramped up on 2 major Patriot programs, Qatar and the other one that will be coming in this quarter. And so that will generate significant revenue growth for 2016."
