"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
252517,284649020,760826,"AGL Resources Inc., Q4 2014 Earnings Call, Feb 12, 2015",2015-02-12,"Earnings Calls","Southern Company Gas","Operator","Good day, ladies and gentlemen, and welcome to the Q4 2014 AGL Resources Inc. Earnings Conference Call. My name is Leanne, and I will be your operator for today. [Operator Instructions] As a reminder, this call is being recorded for replay purposes. I wou",61,"Good day, ladies and gentlemen, and welcome to the Q4 2014 AGL Resources Inc. Earnings Conference Call. My name is Leanne, and I will be your operator for today. [Operator Instructions] As a reminder, this call is being recorded for replay purposes. I would now like to turn the call over to Sarah Stashak, Director of Investor Relations. Please go ahead."
252517,284649020,760826,"AGL Resources Inc., Q4 2014 Earnings Call, Feb 12, 2015",2015-02-12,"Earnings Calls","Southern Company Gas","Executives","Thank you, and thanks to everyone for joining us this morning to review our fourth quarter and year-end 2014 results. Joining me on the call for today's prepared remarks are John Somerhalder, our Chairman, President and CEO; Drew Evans, our Executive Vice",219,"Thank you, and thanks to everyone for joining us this morning to review our fourth quarter and year-end 2014 results. Joining me on the call for today's prepared remarks are John Somerhalder, our Chairman, President and CEO; Drew Evans, our Executive Vice President and CFO. We have several additional members of our management team available to answer your questions following our prepared remarks. Our earnings release, earnings presentation and 10-K are available on our website. To access these materials please go to aglresources.com.
Let me remind you that we will be making some forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements involve matters that are not historical facts, and our forward-looking statements and projections could differ materially from our actual results. The factors that could cause such material differences are included in our earnings release and more fully described in our SEC filings.
We also describe our business using some non-GAAP measures such as operating margin, adjusted net income and earnings per share and economic earnings. A reconciliation of those items to a comparable GAAP measure is available in the appendix of our presentation as well as on our website. 
We'll begin the call with the prepared remarks before taking your questions. Drew, I'll turn it over to you to begin."
252517,284649020,760826,"AGL Resources Inc., Q4 2014 Earnings Call, Feb 12, 2015",2015-02-12,"Earnings Calls","Southern Company Gas","Executives","Thanks, Sarah, and good morning, everyone. 2014 was the strongest year in our company's history with consolidated EBITDA of more than $1 billion and earnings per share of $4.71 from continuing operations. Our performance during the year was driven by exce",1536,"Thanks, Sarah, and good morning, everyone. 2014 was the strongest year in our company's history with consolidated EBITDA of more than $1 billion and earnings per share of $4.71 from continuing operations. Our performance during the year was driven by exceptionally strong results in the wholesale services business, but also reflected good -- very good results in our utilities and our retail segment as well. Building on a strong year, we initiated 2015 earnings per share guidance of $2.70 to $2.90 on a consolidated basis and between $2.65 and $2.75, excluding wholesale. We also are raising our target for medium and long-term growth John will discuss our forward-looking expectations in a few moments. 
Before I walk through some of the year-over-year drivers in each of the segments, I also want to note that we had a number of strategic successes during the year which we've summarized for you on Slide 4. First, we entered into 3 agreements during 2014 to invest in partnerships to construct Interstate Pipelines that will benefit our customers in Georgia, Virginia and New Jersey. We plan to invest approximately $670 million in these projects over the next 4 years and expect to generate returns consistent with FERC regulated pipeline projects, which are historically slightly higher than the state regulated utility returns. We also closed on the sale of Tropical Shipping, which we acquired from the NICOR acquisition in 2011. The sale generated in $225 million in after-tax proceeds, and importantly, allowed us to exit the business that was not quota of operations at a very attractive multiple of cash flow. We deployed $715 million of capital on our regulated utilities, of which approximately $165 million was underwriter based programs. We were successful during the year in obtaining regulatory approval in Illinois to launch what we call our investing in Illinois program, which will support the replacement renewal of infrastructure at Nicor Gas over a 9-year period. This system reliability program will allow us to invest between $200 million and $250 million annually under our writer program that effectively eliminates regulatory drag on collection traditionally associated with base rate recovery. We expect this investment, along with our normal investment and new customer growth, to nearly double our rate base for our largest utility over the next decade. 
As shown on Slide 5 of the presentation, earnings per share from continuing operations for 2014 were $4.71 compared to $2.45 in 2013. The year-over-year increase of 92% was driven primarily by record commercial activity in our Wholesale business combined with hedge gains during the year, net of lower of cost market for low comp inventory adjustments. Excluding wholesale services, our EPS for continuing operations was $2.55 in 2014 compared to $2.47 in 2013. We have strong results and our distribution operations segment in 2014 with $35 million year-over-year improvement in EBIT. The earnings increase in distribution reflects weather that was 4% colder in 2014 that in the prior year in Illinois where we have the most weather exposure. Our retail segments also performed well during the year, operationally, although temporal hedge movements and though, and adjustments recorded mainly during the fourth quarter decreased our reported earnings in the segment and resulted in 2014 EBIT being flat compared to '13. We expect to recapture these accounting losses in 2015. 
Fourth quarter results can be found on Slide 6. I won't spend much time here except to say that the steep decline in natural gas prices at the end of December resulted in mark-to-market hedge movement of that impacted our wholesale and retail segments. We had mark-to-market gains net of low comp of $84 million of wholesale in the fourth quarter and net mark-to-market losses is in low comp [ph] of $16 million at the retail segment. I'll speak to each of these in a few moments. 
Taking a closer look at each segment starting on Slide 7, you can see the $35 million or 6% year-over-year EBIT improvement for the distribution segment. The main drivers of the increase were higher non-weather-related customer usage and customer growth, as well as colder weather compared to the prior year and lower depreciation expense, which was the result of a change in depreciation rates for Nicor Gas that went into effect in August of 2013. We also had increased regulatory infrastructure revenue during the year, largely due to our Georgia programs. In 2014, we added approximately 34,000 net meters, an increase of more than 25% over 2013. Our O&M expenses in the distribution segment were up $12 million in 2014 as compared to 2013. The increase largely reflects how your contractor expense related to pipe in compliance work and weather-related expenses. 
Turning to the retail segment on Slide 8. 2014 EBIT was flat to the prior year at $132 million. However, the strong operational performance and growth in the business during 2014 is masked by about $16 million of hedge losses and low comp inventory adjustment that occurred primarily in the fourth quarter. We offered fixed price contracts to some of our customers and new hedge our price risk associated with these contracts in the forward market. The steep December natural gas price decline caused us to report mark-to-market losses that will reverse when we deliver the commodity to our customers in '15. Excluding the accounting movements EBIT from our retail segment would have be improved year-over-year by about 12% in part due to colder weather during the first quarter of 2014, which added about $5 million to earnings compared to 2013 or $14 compared to number weather. Importantly, we saw growth in customer account in both our retail and our peak and retail services businesses our market share in Georgia remains stable. 
Turning to the wholesale services segment on Slide 9. 2014 was the strongest year ever for this business. EBIT was up over the prior year by $425 million. This record performance is due mainly to improved commercial activity related to our transportation storage positions primarily in the Northeast and Midwest regions during the first quarter of 2014. As you can see, commercial activity was $444 million in 2014 compared to $129 million in 2013. Further, we had pretty much the perfect series of events from an accounting perspective in that much of the hedge losses we recorded in 2013 were realized in '14 as expected. Then at the end of the year, we recorded hedge gains associated with some of our 2015 and 2016 positions. This latter event will have the impact of dampening [ph] our expected 2015 GAAP earnings for wholesale, which we will talk more about in a few minutes. 
On Slide 10, you can see our results on an economic earnings basis. As you know, we focus on economic earnings and evaluating the performance of this business. This allows us to strip out the impacts of mark-to-market accounting and assign the generation of earnings activity to the period in which it was earned. Economic earnings for 2014 were $277 million compared to $69 million in 2013. 
Looking at the midstream segment on Slide 9. We had a couple of one-time items impacting results in both years. In 2014, we recorded a $10 million true-up of retained fuel that is essentially nonrecurring. And in 2013, we had the $8 million write-off related to the Sawgrass Storage Facility. Excluding these items, give you a better look at operating performance for the segment. On this basis, EBIT was lower year-over-year by $5 million due mainly to recontracting capacity at our storage facilities and reduced subscription rates, as well as higher operating costs. While the segment remains challenged, we have seen some modest improvements in market rates and fundamentals in the recent months. 
You can see some of the balance sheet highlights on Slide 12. The combination of the sale of Tropical Shipping and the strong economic earnings generation at Sequent resulted in strong cash flows and a reduction in our short-term debt during 2014 as compared to the prior year. You can see this improvement in our debt-to-capitalization ratio, which was 55% at the end of 2014 compared to 57% at the end of 2013. 
Just to close out the internal controls issue that we discussed last quarter, our previously disclosed material weakness was remediated as of December 31, 2014. On the financing side, we redeemed $200 million of maturing debt in January of this year using commercial paper and expect to refinance this debt with the issuance later this year. With the infrastructure of pipeline investments I mentioned earlier, we expect to be a bit more active in the debt markets over the next 2 years to fund these investments and to refinance existing maturing debt. To provide some protection in the potentially rising interest rate environment, we took advantage of the significant decline in Treasury rates during January of this year to lock in the underlying rate associated with some of our plan debt issuances over the next 2 years. As more fully described in our 10-K filing, we executed 4 [ph] [indiscernible] interest rate swaps for a [indiscernible] amount of $800 million in both 10 and 30-year tranches at very attractive underlying rates. 
I'll now turn the call over to John for his remarks."
252517,284649020,760826,"AGL Resources Inc., Q4 2014 Earnings Call, Feb 12, 2015",2015-02-12,"Earnings Calls","Southern Company Gas","Executives","Thank you, Drew, and good morning everyone. As Drew said, 2014 was an outstanding year for our company. Operationally, all of our segments performed well. Steady improvements in distribution, growth at retail, excluding the accounting movements, and truly",946,"Thank you, Drew, and good morning everyone. As Drew said, 2014 was an outstanding year for our company. Operationally, all of our segments performed well. Steady improvements in distribution, growth at retail, excluding the accounting movements, and truly exceptional performance of wholesale. We know the timing of reported earnings for the wholesale business is hard to predict, but no matter how you evaluate it, 2014 was a record year for Sequent. and his team have done a remarkable job managing our portfolio of assets in some periods of extreme volatility. Through the asset management agreement in place with our utilities, we returned $47 million in 2014 compared to $18 million in 2013 and $15 million in 2012. Our third-party asset management customers also had received significant revenue sharing, which is helping to further bolster Sequent business and competitive position. When we have outsized earnings years like last year, it enables us to deploy surplus cash into investments such as the pipelines that have a stable return more in line with our utilities. We were able to fund our significant capital expenditure plan with no expectation for equity issuance in part because of the strong results at wholesale, as well as other strategic initiatives such as the sale of Tropical Shipping. 
Turning to Slide 13, I'll shift to our forecast. We expect to earn between $2.70 and $2.90 per share on a consolidated basis in 2015. Excluding wholesale, our EPS guidance range is between $2.65 and $2.75. You can see the specific EBIT expectations for each segment on this table and our guidance assumptions on Slide 14. As a reminder, we had weather-related and onetime benefits of $29 million in the distribution segment in 2014. So a normalized 2014 basis is $552 million. In addition, our retail guidance includes the recapture of $16 million of hedge losses and low comp that we referred to earlier. And as Drew mentioned, due to booking hedge gains in 2014 related to some of our 2015 positions at wholesale, our wholesale EBIT expectation is lower than a typical year. That said, we still expect to generate economic earnings at wholesale of approximately $50 million. 
If you turn to Slide 15, you could see the main drivers of our guidance by segment. On a normalized basis, the midpoint of our guidance, excluding wholesale, represents nearly 12% year-over-year growth. If you further normalize for the mark-to-market changes in the retail segment, growth is about 6.5%. 
Slide 16 shows more detail of the year-over-year drivers for the distribution segment. The projected growth rate is 4.7%. The main drivers are increased margin from infrastructure programs, particularly investing in Illinois and in Georgia program and additional new customer margin. These primary factors offset by higher depreciation and pension expenses. 
Turning now to Slide 17, in addition to the 2015 outlook, we are updating our medium and long-term growth projections. As a result of the increased infrastructure spending and rate base investments, our pipeline investments and customer growth expectations, we are raising our target 3-year EPS growth rate to 5% to 8%, and our 5-year EPS growth target is now 6% to 9% or higher. We will provide more detail behind these projections at our Analyst Day that is scheduled for March 25 in New York. 
A few additional items to note on Slide 18. As mentioned, we are officially underway with our investing in the Illinois infrastructure program. We expect to spend approximately $200 million this year and $250 million in each of the next 2 years. Also, on our last call, we indicated that we expect to make a true-up filing in Georgia related to our Pipeline Replacement Program or PRP. Next week, Atlanta Gas Light intends to file a petition for authorization to collect additional revenues necessary to fully recover the revenue requirement associated with the actual cost of investments it made through December 31, 2013 when PRP ended. In the petition, we will request approval to increase the current surcharge collected from customers under the stride surcharge. Our final accounting for PRP program demonstrates that the actual program investments generate a revenue requirement in excess of a rate authorized by the commission due in part to our agreement to charge in 2005. If you have any questions once the filing is made, please don't hesitate to contact us. 
Also listed here is a summary of the pipeline agreements that we haven't announced this year. With the exception of the state pipeline, development of which is still under discussion, each project is in the prefiling process with FERC and environmental reviews are underway. As Drew mentioned, these projects should benefit our utility customers by diversifying our supply portfolio and transporting low-cost shale gas in the Georgia, Virginia and New Jersey. And this should benefit our shareholders, the stable returns in line with or slightly above our utility returns. We expect to see some earnings uplift in 2017 with acceleration 2018 and 2019 as the projects are placed in service. 
Turning to our 2015 priorities on Slide 19. Our business strategy is consistent with prior years and represented of our safety and customer focus data growth culture. Our focus is to capitalize our margin-enhancing opportunities across all business units, while ensuring efficient and safe operations. Several of our specific business objectives are detailed for you on the page. 
I'm grateful to our employees for the continued hard work and dedication as we generated record results and executed on several strategic initiatives during the year. I want to thank you for your time today and for your continued interest in AGL resources. 
Operator, I'll turn the call back over to you to begin the Q&A session."
252517,284649020,760826,"AGL Resources Inc., Q4 2014 Earnings Call, Feb 12, 2015",2015-02-12,"Earnings Calls","Southern Company Gas","Operator","[Operator Instructions] Your first question comes from the line of Mark Barnett from Morning Star.",15,"[Operator Instructions] Your first question comes from the line of Mark Barnett from Morning Star."
252517,284649020,760826,"AGL Resources Inc., Q4 2014 Earnings Call, Feb 12, 2015",2015-02-12,"Earnings Calls","Southern Company Gas","Analysts","A couple of quick questions. You mentioned the Georgia PRP filing, and then I was wondering what kind of a time line, I missed it if you mentioned it a little bit earlier, what kind of timeline do you expect to resolve it?",43,"A couple of quick questions. You mentioned the Georgia PRP filing, and then I was wondering what kind of a time line, I missed it if you mentioned it a little bit earlier, what kind of timeline do you expect to resolve it?"
252517,284649020,760826,"AGL Resources Inc., Q4 2014 Earnings Call, Feb 12, 2015",2015-02-12,"Earnings Calls","Southern Company Gas","Executives","This is Scott Carter. This tough to charge of revenue, which consider that issue, but we would expect to be completed this year as we go to the process.",29,"This is Scott Carter. This tough to charge of revenue, which consider that issue, but we would expect to be completed this year as we go to the process."
252517,284649020,760826,"AGL Resources Inc., Q4 2014 Earnings Call, Feb 12, 2015",2015-02-12,"Earnings Calls","Southern Company Gas","Analysts","Okay, but there's no thing, there's no statutory? Okay. And then I guess with the -- I've just been reading quite a lot of the very difficult to have on signing for a than goes in particular. Just wondering how close you are in the process I know you're n",74,"Okay, but there's no thing, there's no statutory? Okay. And then I guess with the -- I've just been reading quite a lot of the very difficult to have on signing for a than goes in particular. Just wondering how close you are in the process I know you're not the leader in those projects but I'll those are you on the prices to a final route group for those 2 pipes [ph] ?"
252517,284649020,760826,"AGL Resources Inc., Q4 2014 Earnings Call, Feb 12, 2015",2015-02-12,"Earnings Calls","Southern Company Gas","Executives","This is Hank Linginfelter. The process is well underway. We've had town hall meetings for these projects and we think we are really far along that we filed a specific prefilings that were accepted and now we're working with parties to make sure that path",98,"This is Hank Linginfelter. The process is well underway. We've had town hall meetings for these projects and we think we are really far along that we filed a specific prefilings that were accepted and now we're working with parties to make sure that path is the best path. But as far as I am we're very closely involved on pennies Atlanta coast dot that is a fairly simple path but revolver that is all. We have been involved in were up a mistake that the path will be accepted and efficient construction process to go with that."
252517,284649020,760826,"AGL Resources Inc., Q4 2014 Earnings Call, Feb 12, 2015",2015-02-12,"Earnings Calls","Southern Company Gas","Analysts","Okay. And with the Prairie state pipe, obviously, the nonbinding open season -- sorry, the when might you have some binding results there? Or what kind of a timeline might we think about for some more, which are you'll, I guess, comments from you?",44,"Okay. And with the Prairie state pipe, obviously, the nonbinding open season -- sorry, the when might you have some binding results there? Or what kind of a timeline might we think about for some more, which are you'll, I guess, comments from you?"
