"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
275789,283618761,763683,"The Goodyear Tire & Rubber Company, Q4 2014 Earnings Call, Feb 17, 2015",2015-02-17,"Earnings Calls","The Goodyear Tire & Rubber Company","Operator","Good morning. My name is Keith, and I will be your conference operator today. At this time, I would like to welcome everyone to the Goodyear Tire & Rubber Company Fourth Quarter Earnings Conference Call. [Operator Instructions] Thank you. I would now like",56,"Good morning. My name is Keith, and I will be your conference operator today. At this time, I would like to welcome everyone to the Goodyear Tire & Rubber Company Fourth Quarter Earnings Conference Call. [Operator Instructions] Thank you. I would now like to hand the program over to Christina Zamarro, Goodyear's Vice President, Investor Relations."
275789,283618761,763683,"The Goodyear Tire & Rubber Company, Q4 2014 Earnings Call, Feb 17, 2015",2015-02-17,"Earnings Calls","The Goodyear Tire & Rubber Company","Executives","Thank you, Keith, and thank you, all, for joining us for Goodyear's 2014 fourth quarter earnings call. Joining me today are Rich Kramer, Chairman and Chief Executive Officer; and Laura Thompson, Executive Vice President and Chief Financial Officer. Be",233,"Thank you, Keith, and thank you, all, for joining us for Goodyear's 2014 fourth quarter earnings call. 
Joining me today are Rich Kramer, Chairman and Chief Executive Officer; and Laura Thompson, Executive Vice President and Chief Financial Officer. 
Before we get started, there are a few items we need to cover. The supporting slide presentation for today's call can be found on our website at investor.goodyear.com, and a replay of this call will be available later today. Replay instructions were included in our earnings release issued earlier this morning. 
If I could now draw your attention to the Safe Harbor statement on Slide 2. I would like to remind participants on today's call that our presentation includes some forward-looking statements about Goodyear's future performance. Actual results could differ materially from those suggested by our comments today. The most significant factors that could affect future results are outlined in Goodyear's filings with the SEC and in our earnings release. The company disclaims any intention or obligation to update or revise any forward-looking statements, whether as a result of new information, future events or otherwise. Our financial results are presented on a GAAP basis and, in some cases, on non-GAAP basis. The non-GAAP financial measures discussed on the call are reconciled to the U.S. GAAP equivalent as part of the appendix to the slide presentation. 
And with that, I'll turn the call over to Rich."
275789,283618761,763683,"The Goodyear Tire & Rubber Company, Q4 2014 Earnings Call, Feb 17, 2015",2015-02-17,"Earnings Calls","The Goodyear Tire & Rubber Company","Executives","Thank you, Christina, and good morning, everyone. Today, I'll discuss our fourth quarter and full year results and touch on some the highlight that helped us deliver full year record segment operating income in 2014. I'll also address our outlook for 2015",2324,"Thank you, Christina, and good morning, everyone. Today, I'll discuss our fourth quarter and full year results and touch on some the highlight that helped us deliver full year record segment operating income in 2014. I'll also address our outlook for 2015. Laura will follow with a review of each of our businesses and a detailed outlook before we open the call for your questions. 
I'm extremely pleased with what our teams in all our regions accomplished over the past year, particularly in light of ongoing global economic volatility, which increased dramatically in the fourth quarter and was amplified by the strengthening U.S. dollar. In North America, our team delivered record earnings for the year. With steady execution of our strategy, North America continued to win with consumers. For example, our Assurance All-Season tire, launched in 2014, will reach 1 million sold faster than any previous new product. Likewise, our commercial truck business had a strong year, as fleets continued to embrace our outstanding products and business solutions model. Our Europe, Middle East and Africa Tire business had year-over-year segment operating income growth of $140 million. Our product leadership in the region was confirmed by regular wins in podium finishes and the important magazine tests, in addition to setting the pace in European tire labeling. Latin America featured a steady rollout of new high-value added Goodyear products that were a hit with our customers. In Brazil and Mexico, we grew share by delivering a double-digit increase in consumer replacement volume, as we've completely revamped our portfolio to take advantage of the MegaTrend shift to HVA products. In the Asia Pacific region, our volume growth in China and India contributed to record earnings in the fourth quarter. Our products won several awards, and we're expanding our distribution to make the most of the opportunities in this growing market. And 2014 marked the continuation of our operational excellence initiative, which made an important contribution to our earnings growth by delivering cost savings in excess of inflation. In each region, we succeeded through the disciplined execution our strategy, focused on increasing the value of the Goodyear brand. As you read on our press release, our segment operating income of $1.7 billion was a full year record. It represents an 8% improvement over last year's record performance, a significant accomplishment by any measure, but especially gratifying in the midst of challenging global economic conditions in a number of our key markets. 
In addition, we generated $1 billion of free cash flow from operations, marking the second straight year we have reached that level of cash generation. As pleased as I am to report these results, I'll remind you that our strategy is built or the long-term, and our destination is to create sustainable value for our associates, for our customers and for our shareholders alike. We believe in the soundness of our strategy and are committed to it even when economic and industry fluctuations demand that we be flexible in our execution. A great example of our strategy in action is our North America business. North America delivered $229 million in fourth quarter segment operating income, the best performance of any quarter in its history. It was a fitting way to complete a year in which the business reached $803 million of segment operating income, a full year record. North America is clearly on a path of sustainable performance, as it continues to strengthen its earnings and margins as a result of our market back strategy. 
Three weeks ago, our annual North America Dealer Conference had the highest attendance in its history. I came away from that meeting more energized than ever, as our customers were more enthusiastic, more optimistic and more confident than I've ever seen. Many of them, both consumer and commercial truck tire dealers, had very strong years themselves, reflecting the strength of the Goodyear brand in the marketplace and the value of being an aligned Goodyear dealer. I believe we have the best dealer network in industry because they do more than just sell tires. They capture the value of everything Goodyear has to offer. 
As always, new products were one of the main sources of interest and enthusiasm at the conference. This year, we introduced a completely new line of tires for the Kelly brand to complement our lineup of Goodyear passenger and light truck tires. The new Kelly tires are our response to our customers' need for a branded tire as a favorable option to Asian imports of private label tires. Our Kelly lineup reinvigorates a well-known brand that our dealers can sell on its value, not price alone. The number of orders we've taken in advance of the Kelly launch this spring has exceeded our expectation, evidence that these tires will be a hit with our customers. 
Now the biggest news from our dealer conference, which you may have heard about already, was the announcement of our plan to start selling Goodyear consumer replacement tires online in North America at goodyear.com. This is how consumers are shopping for many goods and services already, and it's how we believe they will increasingly shop for tires. This new buying option will allow consumers to purchase tires online and have them installed locally at an authorized Goodyear retailer of their choice. 
Beyond just making industry-leading innovative tires, we are focused on making the tire buying process easier for consumers and creating profitable incremental sales opportunities for our aligned dealers. The program, which will be activated later this year, is a major step for Goodyear and for our network partner dealers. 
As consumers demographics continue to shift and 80 million millennials come into the marketplace, we have to meet their expectations around buying and shopping experiences. By taking the initiative and embracing this digital format to simplify the tire buying process, we believe we will be the industry leader in this space. It's another Goodyear innovation that goes beyond just tires and a tangible example of our focus on our customers and consumers from the market back, rather than from the factory out. 
I'm happy to say that the response from our dealers who are pivotable to the success of this program has been overwhelmingly positive. Our collaboration creates synergies to allow both of our businesses to grow, as consumers buying habits evolve. 
Think about how much our North America business has progressed. We've grown our segment operating income organically from a $300 million loss in 2009 to an $800 million profit in 2014, a $1 billion plus rebound in 5 years. That's a reflection of a sound strategy and winning execution, and we see continued opportunity ahead. 
Now turning to our Asia Pacific business. We delivered a record fourth quarter, as we continue to take advantage of growth opportunities across the region. This was despite ongoing economic headwinds in Australia, where we're still feeling the significant effects of the mining industry slowdown. Our state-of-the-art factory in Pulandian, China is delivering as planned, producing industry-leading product and providing cost efficiencies to help improve our brand strength and support our growth in the region. Innovative products remain a pillar of our strategy, and in China, the Goodyear Wrangler was named All-terrain Tire of the Year, and Goodyear Excellence Run On Flat was cited as the Editor's Choice of the Year by a major Chinese automotive magazine. 
Now even with these successes, a variety of industry and economic headwinds over the course of the year and the quarter changed the playing field in 2014 and will continue to have an impact in 2015. Continued economic and political instability across Europe has affected our business in the region, slowing growth in both Western Europe and emerging markets in the region. In short, Europe continues to model along, not yet setting itself on a course to a stable recovery. 
Venezuela continues to be the most challenging market in Latin America. The economic environment remains difficult, and the political situation continues to be on steady, both clearly affected by the recent decline in oil prices. It's become increasingly difficult to forecast sales, pricing and supply in Venezuela with any degree of certainty. Our Brazil original equipment business continues to weaken, as auto production has yet to rebound from an extremely weak 2014 and the country's economy remains in or near recession. And slower-than-predicted global economic growth and reduced industry sales volumes, particularly outside the U.S., are combining with low material costs to create increasingly competitive environment. But the most significant headwind from 2014 that will carry over and continue to have an impact into the year ahead is unfavorable foreign currency translation due to the continuing strength of the U.S. dollar. The effective translation of our foreign results obscures the progress and growth in our business. At current spot rates, this is a headwind of $180 million in 2015. While foreign currency headwinds will have a negative effect on segment operating income, our underlying business and operations are more robust than ever. Led by our momentum in North America, we remain committed to our target of 2015 segment operating income growth of 10% to 15% above last year's record. 
So while the headwinds I mentioned are significant and will call for flexibility in our operations, we remain committed to our strategy and long-term goals. The environment is more difficult now than when we set our targets in 2013, but we know that the global tire industry is cyclical, and we are prepared to address it. 
In the year ahead, we'll continue to leverage our strengths where the markets are healthy and take a disciplined but flexible approach to be positioned for a recovery in weaker markets. We expect global volume growth of 1% to 2% in a tough market but are confident that our commitment to pursuing profitable volume will continue to deliver strong results. We believe the best way to reach our long-term objectives is through continued disciplined execution of the key how-tos of our strategy roadmap. Taken together, these elements will help us reduce the inherent stress or friction in our business and allow us to make it easier for customers to sell Goodyear tires and for consumers to buy Goodyear tires. We will continue to innovate to meet the needs of our customers and consumers. Investment in our business will be driven from the market back and geared toward providing the high-value products that differentiate Goodyear in the marketplace. 
We've seen the tangible results from our operational excellence initiatives and will continue our journey to become more efficient in our supply chain, reducing cost and building the capabilities necessary to serve our customers better. And as we have done with operational excellence, we are committed to building a global platform of sales and marketing excellence to take full advantage of our brand and our volume proposition and drive profitable growth. We are just getting started in this area as we pivot to growth. 
The value of our brand has never been stronger even as economic conditions remain unpredictable. Our focus will stay on winning in market segments, where consumers are willing to pay for the value of our brand, our products, our services and the total Goodyear experience. 
To meet the increasing demand of our products, we expect our new state-of-the-art manufacturing plant for Latin America and North America to come online in 2017. This vital new facility will provide us with more of the high-value tires consumers are demanding in those regions. We also are optimizing our global manufacturing footprint to ensure our ability to deliver the right tires at the right costs. Growth CapEx is required to drive our earnings. However, because of the current slower volume growth in some markets, we are adjusting our CapEx investments in the near term, which Laura will describe later. As always, we will take a thoughtful approach to investment, with an eye on projects that have the highest potential return. 
In summary, I believe we are better prepared than ever to handle the volatility in our business. We are mindful of external conditions that affect our business, but we remain committed to profitable growth. We've executed our strategy and made investments in our business to gain a competitive advantage. To increase our competitive advantage in the cyclical tire business, we are increasing our focus on speed and efficiency to better drive our business and improve customer service. There are opportunities across our business to further streamline our operations and improve our processes to better serve our customers and consumers. We'll discuss these opportunities in more detail as we move through the year. 
Looking back on the full year. I'm extremely proud of our teams and our achievements. Our results are evidence that we have the right strategy in place and are delivering record profitability through a volatile period of the economic cycle. We're creating sustainable long-term value and will continue to do so through a balance of growth investments and actions to reduce costs. We are planning for the current volatility to stay with us for an extended period of time, but we remain committed to our long-term goals and are confident in our ability to reach them. Our team has worked through the challenging circumstances before and has delivered strong results. That gives me great confidence that we'll be able to do it again. The tire industry does not grow in a straight line, and we won't be distracted by short-term swings in the market. In light of the progress we've made by executing our strategy, I'm pleased with the state of our business as we look ahead to 2015. The power of our brand and the execution of our strategy strengthens our belief that we will continue to increase our earnings and value for shareholders, not only when the times are good, but when they are challenging as well. This is what our strategy was built to do. 
I'll now turn the call over to Laura."
275789,283618761,763683,"The Goodyear Tire & Rubber Company, Q4 2014 Earnings Call, Feb 17, 2015",2015-02-17,"Earnings Calls","The Goodyear Tire & Rubber Company","Executives","Thank you, Rich, and good morning, everyone. Today, I will cover our fourth quarter results and provide more detail on key items in the quarter. I'll also provide specifics regarding our outlook for 2015 before opening the call up for your questions. Tu",2463,"Thank you, Rich, and good morning, everyone. Today, I will cover our fourth quarter results and provide more detail on key items in the quarter. I'll also provide specifics regarding our outlook for 2015 before opening the call up for your questions. 
Turning to Slide 8. I would like to highlight a few key items. In the fourth quarter, both our units sold and our net sales were significantly affected by a year-over-year decline in winter tires sold in EMEA, given the unseasonably warm weather in Europe during the quarter. While our winter tires sales through the third quarter were strong, dealer replenishment in the fourth quarter was severely impacted by very weak sellout, which had double-digit declines in some key markets. Our EPS on a diluted basis for the quarter was $7.68. Our results were influenced by certain significant items, notably the release of our U.S. tax valuation allowance of $2.2 billion, which was originally established in 2002. After significant items, our adjusted EPS was $0.59. More details can be found in the appendix of today's presentation on Slide 26. 
The step chart on Slide 9 walks [ph] fourth quarter 2013 segment operating income to fourth quarter 2014. Lower volumes in EMEA in the quarter and unabsorbed fixed costs due to lower production levels year-over-year reduced income by $53 million for the quarter. Milder winter weather in Europe versus last year drove reduced price/mix of $81 million, partially offset by lower raw material cost of $30 million. Driven by our operational excellence initiative, strong cost savings across all of our business units for the quarter of $105 million more than offset the $77 million negative impact of inflation. For the full year, we achieved more than $500 million in cost savings, including $55 million from the closure of our Amiens, France facility and the exit of the farm tire business. Foreign currency exchange was a headwind of $17 million, reflecting the continued strengthening of the U.S. dollar against almost all other currencies. 
Turning to the balance sheet on Slide 10. Cash and cash equivalents at the end of the year were $2.2 billion, down from $3 billion at the end of 2013. This reduction reflects fully funding the U.S. hourly pension plan in January of 2014, leaving our global unfunded tension obligation at the end of '14 at $714 million. This obligation is primarily related to our international pension plan and is in line with our previous guidance. Our U.S. pension de-risking strategy is working. While our discount rate in the U.S. declined, thereby increasing our liability, our return on assets successfully offset this change. Separately, at the end of 2014, we made an adjustment to our U.S. pension liabilities to reflect future mortality improvements in our actuarial assumptions. The result was an increase of $285 million in our pension liability. Despite this increase and based on current assumptions, we expect no required contribution for our U.S. plans for the foreseeable future. Our total debt balance was up $145 million at year-end, however, on February 3 of 2015, we repaid $200 million on our U.S. term loan. 
Free cash flow from operations is shown on Slide 11. For the full year 2014, we generated nearly $1 billion of free cash flow from operations, with working capital neither a source nor a use of cash in 2014. The walk from net income also reflects the noncash impact of the release of our U.S. tax valuation allowance of $2.2 billion and the Provision for Deferred Income Taxes line. As a final comment on this slide, the Other line of $464 million [ph] includes various noncash items reflected in net income. The most notable of these items is the $200 million in net Venezuela currency losses in 2014. The strength of our cash generation in the first year of our 3-year plan gives us confidence in our ability to deliver on our balanced capital allocation plan. We completed $150 million of share repurchases during the fourth quarter as part of that plan, bringing our full year share repurchases to $233 million and 8.9 million shares. 
Moving now to the business units on Slide 12. North America reported quarterly record segment operating income of $229 million and achieved an operating margin of 10.9%, the third quarter in a row at or above 10%. North America benefited from lower raw material cost and lower conversion cost, primarily driven by reduced pension expense during the quarter. North America's volume was down 1% year-over-year in the fourth quarter. Similar to the third quarter, our volume was impacted by tariff prebuy activity and challenges in fully meeting the strong demand for our premium HVA tires. As for the prebuy activity, the U.S. consumer replacement industry continued to face disruption from the anticipation of a tariff on consumer tires imported from China. These imports in the fourth quarter remained very strong through November until the announcement of the preliminary countervailing duty rate. In December, the level of imports declined by almost half on a year-over-year basis. As a result of the speculative buying during the second half of 2014, channel inventories remained at high levels, which we expect will impact our volumes in the first half of 2015. 
We also continue to see strong demand for our premium tires. Our back orders for these HVA products remain high. As we outlined on our third quarter call, we are leveraging our global footprint for additional supply and are continuing to invest in our North America production facility to enable us to meet the increased demand for our premium branded tires in 2015. Our North America commercial truck replacement business also continued to perform well in the fourth quarter. Our industry-leading, fuel-efficient drive tire and fleet business solutions strategy leverage the robust industry conditions for significant year-over-year growth. To help continue this growth in 2015, we announced our new Fuel Max LHS steer tire at our dealer conference. This new tire will now allow us to offer the #1 fuel-efficient drive-and-steer tire combination in North America. These types of market back innovative products will continue to allow us to be the leader in premium truck tires in North America. Europe, Middle East and Africa generated segment operating income of $30 million in the fourth quarter and a margin of 2.3%. Unseasonably warm temperatures resulted in an 11% decline in the European winter tire industry sell-in in the fourth quarter. This had a direct impact on our volumes and, in turn, our results in EMEA. The overall volume decline impacted EMEA's SOI by approximately $40 million. The combination of warm weather, declining raw material costs, weak sellout and an increased level of imports, mainly in the Eastern countries, drove increased competition in the quarter. Separately, price/mix was negatively impacted by raw material indexed agreements with our OE customers. 
Earlier this year, it finally began to snow across much of Europe. And while we don't anticipate dealers will replenish snow tire inventories during the first quarter, such seasonal weather may benefit sellout and improved inventory levels heading into our normal sell-in season during the third quarter of 2015. 
In commercial truck, we saw the industry stabilize in the fourth quarter after a weak third quarter. Our new products such as the K Max [ph] and Fuel Max, coupled with our service proposition, have enabled us to win new fleet business and gained share in our premium brand. 
In Latin America, our volume increased about 8%. We continue to see strong growth in consumer replacement, which more than offset the continued weakness in the Brazilian OE market. Segment operating income was $20 million for the quarter, $32 million less than the prior year. The decrease in the Latin American results was largely influenced by 3 items: first, $28 million of higher conversion costs due to inflation and lower production volumes; second, $14 million from increased reserves for a value-added tax claim. This item is listed on the fourth quarter adjusted EPS walk on Slide 26; and third, $11 million in foreign currency translation. Partially offsetting these 3 items was a benefit of $15 million from price/mix versus raw material costs and $11 million from higher sales volumes during the quarter. 
On the strength of our new product introductions this year in Brazil and improvement in our distribution networks, we are gaining share on increased volumes in the consumer replacement business. Given the weaker real, imports are now significantly more expensive locally. This may facilitate additional opportunities to grow in Brazil in 2015 even if the OE environment remains challenging. 
In Asia Pacific, our fourth quarter volume of 6 million units was 7% higher than a year ago, given our strong double-digit growth in China. Our Asia Pacific business reported segment operating income of $80 million in fourth quarter, representing a 19% increase over the prior year. The impact of higher volumes and strong cost savings performance, net of general inflation, was offset partially by unfavorable foreign currency exchange. The SOI margin in the region increased 15.7%, up significantly from last year's 12.5%. While we see slower growth for the region in the short term versus our original expectations, we continue to view China and the rest of the region as a key long-term growth opportunity. We are investing in our teams, our products and our capabilities to drive that growth. 
On Slide 13, we have provided our full year modeling assumption for 2015. You'll notice that many of these items are unchanged from the planning assumptions we outlined on our third quarter call. There are a few notable exceptions, namely an improving price/mix versus raw material picture, offset by incremental headwinds and foreign exchange and a deteriorating environment in Venezuela. Our expectation for price/mix versus raw material cost has improved, largely on the heels of further declines in raw materials and the increased likelihood of a tariff on Chinese tires in the U.S. For the full year, we expect raw materials to be down about 10%, helping drive a 2015 price/mix versus raw material benefit of about $200 million year-over-year. This benefit includes the expectation that OCR will have a relatively neutral impact for 2015 compared to 2014. For a detailed explanation of our raw material benefit calculation, see Appendix Slide 21. 
The U.S. dollar has continued to strengthen. As Rich noted, we now see a headwind of approximately $180 million from foreign currency translation in 2015. Given the nature of our business and the size of our operation, we have exposure to several key currencies, notably the euro and the Brazilian real, which are not only a headwind but a source of uncertainty as well. To assist you in modeling, we have provided a sensitivity analysis for some of our key currencies on Slide 22 in the appendix of today's presentation. 
With respect to Venezuela, based on the protracted challenges and significant economic uncertainty, we are assuming our earnings in Venezuela to be 0 in 2015. For reference, in 2014, Venezuela's operating income was $47 million. For now, our plant to continues to operate, and we continue to sell tires, as we evaluate all options regarding the future direction of our business there. While we don't anticipate a benefit of any earnings in Venezuela in 2015, we expect to grow our total segment operating income 10% to 15% off of our reported 2014 segment operating income of $1.7 billion. We expect sales volume growth of 1% to 2% for 2015. However, given the prebuy in 2014 in North America related to the potential tariff on imported tires and our plans to increase supply of premium tires in the U.S., we anticipate that the majority of our volume growth in North America will occur in the second half of 2015. That said, we expect the financial impact of the decrease in our tire production volumes during the fourth quarter, primarily in EMEA, to impact Q1 by about $30 million. Overall, we expect unabsorbed overhead to be neutral for the full year versus 2014. 
We expect our cost savings initiative to exceed the impact of general inflation by approximately $160 million, with potential upside led the our operational excellence program. We expect savings from the Amiens, France closure and the related exit from the European farm tire business to generate approximately $20 million of incremental savings in the first half of 2015, with most of the benefit occurring in the first quarter. Taken together with the $55 million benefit we saw in 2014, this would bring the annualized benefit to approximately $75 million, consistent with our prior outlook. 
Additional financial assumptions for 2015 are listed on Slide 14. With the release of our U.S. tax valuation allowance, we estimate our tax rate to be about 30% of our global pretax operating income for 2015. Our cash tax rate for 2015 will remain much lower at about 15% of global pretax operating income, as we do not expect to pay cash taxes in the U.S. for about the next 5 years. We expect global pension expense of $125 million to $175 million and global pension contribution of $50 million to $75 million, all of which will be directed to our international plans. As was the case in 2014, we expect our working capital to be neither a source nor a use of cash in 2015. We are reducing our planned CapEx spend by about $350 million over the next 2 years, in light of lower than previously expected growth in EMEA and Asia Pacific. We expect capital expenditures for 2015 to be approximately $1.1 billion and our 2016 CapEx spend to be about $1.2 billion to $1.3 billion. We will continue to invest where we see strong demand for our product. This includes investments in our new manufacturing facility to support the Americas, which will come online in early 2017. 
Our earnings growth targets continue to support our balanced capital allocation plan. With capital expenditures lower by about $350 million over the next 2 years, we expect to be able to reallocate additional cash through our shareholder return program, contingent on our performance and our delivering on our financial targets. We remain committed to a balanced capital allocation plan that provides for capital investments for future earnings growth, achieving an investment-grade balance sheet and returning capital to shareholders. So as we look at 2015, the benefit from lower raw material cost, solid economic trends in North America and continued cost savings performance are expected to be partially offset by a more difficult international environment, including a stronger U.S. dollar globally. While the landscape has changed since we first communicated our 3-year targets back in 2013, our plans continue to target 10% to 15% SOI growth in 2015 and 2016. 
Now we'll open the line up for your questions."
275789,283618761,763683,"The Goodyear Tire & Rubber Company, Q4 2014 Earnings Call, Feb 17, 2015",2015-02-17,"Earnings Calls","The Goodyear Tire & Rubber Company","Operator","[Operator Instructions] We will take our first question from Robert Higginbotham from SunTrust.",13,"[Operator Instructions] We will take our first question from Robert Higginbotham from SunTrust."
275789,283618761,763683,"The Goodyear Tire & Rubber Company, Q4 2014 Earnings Call, Feb 17, 2015",2015-02-17,"Earnings Calls","The Goodyear Tire & Rubber Company","Analysts","First question on how you see global product flows post the tariffs on Chinese product coming here. Do you have any sense of where that product being made in China is going to now after you've already seen the big decline in imports in the U.S. in the Dec",81,"First question on how you see global product flows post the tariffs on Chinese product coming here. Do you have any sense of where that product being made in China is going to now after you've already seen the big decline in imports in the U.S. in the December data? And if you can kind of walk through how you've embedded or how you've contemplated that potential offsets in other markets outside of the U.S. into your price raw materials guidance."
275789,283618761,763683,"The Goodyear Tire & Rubber Company, Q4 2014 Earnings Call, Feb 17, 2015",2015-02-17,"Earnings Calls","The Goodyear Tire & Rubber Company","Executives","So Robert, I'll start and Laura can jump in. I will tell you, I think your assumption, to start with, is a good one that, that product will flow somewhere if it doesn't come to the U.S. in this case. So those tires will end up somewhere. And you may recal",371,"So Robert, I'll start and Laura can jump in. I will tell you, I think your assumption, to start with, is a good one that, that product will flow somewhere if it doesn't come to the U.S. in this case. So those tires will end up somewhere. And you may recall, we've talked about it in the past, when we had the 4 21 [ph] action that took place relative to Chinese imports in North America, we kind of had a bit of a perfect storm, particularly in Brazil, where we had a very strong currency. And we saw available tires, if you will, and we saw Chinese imports in Brazil go up dramatically based on their availability and, again, the strength of the currency. So that phenomena did happen last time. I would suggest to you at this time, it's a bit early to tell. I will say, you heard Laura made a comment in her remarks that we are seeing increased flow of Chinese tires in Asian imports into particularly Eastern Europe. So certainly, I would suggest there's probably some corollary there. I think as we get into '15, we'll have to see how the product flows move. But we did see that already in Q4, and I imagine there is some sort of Nexus between those. In terms of -- and by the way, we will watch that very closely around the world. But I will tell you how we build that into our business going forward. That low end of the market, by in large, is not a market where we have played. Our value proposition, as you've heard us talk about, is playing in those targeted market segments, where we can capture the value of the Goodyear brand. Certainly, our North America business has been on the forefront of that, but also, that's true in our Asian businesses, in our Latin America business, increasingly so, and in Europe as well. So while those tires will come in at the low end, and clearly, by definition, they're going to have an impact, remember, that's not the real part of the market that we tend to play in. So that's how I would have you think about it."
275789,283618761,763683,"The Goodyear Tire & Rubber Company, Q4 2014 Earnings Call, Feb 17, 2015",2015-02-17,"Earnings Calls","The Goodyear Tire & Rubber Company","Analysts","And then a separate topic. You got into another strong year of net cost savings above and beyond inflation. And certainly, follow through what you've have accomplished in the past. Could you give us a little bit more color in terms of what is embedded in",68,"And then a separate topic. You got into another strong year of net cost savings above and beyond inflation. And certainly, follow through what you've have accomplished in the past. Could you give us a little bit more color in terms of what is embedded in that number for this year mechanically, what you're changing and then kind of what's the runway to further save beyond this year?"
275789,283618761,763683,"The Goodyear Tire & Rubber Company, Q4 2014 Earnings Call, Feb 17, 2015",2015-02-17,"Earnings Calls","The Goodyear Tire & Rubber Company","Executives","So we were very pleased. I was very pleased that now, multiple years in a row, we're getting cost savings ahead of inflation. And that's been really linked back to something that we did -- we started, frankly, when I took the job a while back, our operati",245,"So we were very pleased. I was very pleased that now, multiple years in a row, we're getting cost savings ahead of inflation. And that's been really linked back to something that we did -- we started, frankly, when I took the job a while back, our operational excellence initiatives in driving efficiencies through our business. And I would say, the result is what you're seeing. And remember, that's a variety programs through material substitutions of to enhanced -- more effective purchasing, let's say, through getting our plans to run more efficiently, by getting more production out of those factories at the same or lower cost; and driving in very specific programs, driving a One Goodyear way system throughout our manufacturing footprint around the globe; and driving it through transportation and warehousing to make sure that we're getting the right tires to the right customers at the right time. All of those programs, I would say, will continue into 2015. And they'll continue beyond that. And I would say, we're really just getting started in terms of driving these programs throughout the world. So you saw in our guidance, I think Laura mentioned, we're forecasting about the same cost outs -- net cost out in 2015 as we did in 2014, about $165 million. That said, you can be pretty sure that our internal goals are to deliver more than that, although we certainly know the global economy is driving a few headwinds as well."
275789,283618761,763683,"The Goodyear Tire & Rubber Company, Q4 2014 Earnings Call, Feb 17, 2015",2015-02-17,"Earnings Calls","The Goodyear Tire & Rubber Company","Operator","And our next question comes from Itay Michaeli from Citi.",10,"And our next question comes from Itay Michaeli from Citi."
