"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Operator","Good day, ladies and gentlemen. Thank you for standing by. Welcome to the Macerich Company Fourth Quarter 2014 Earnings Conference Call. [Operator Instructions] I would like to remind everyone that this conference is being recorded, and would now like to",55,"Good day, ladies and gentlemen. Thank you for standing by. Welcome to the Macerich Company Fourth Quarter 2014 Earnings Conference Call. [Operator Instructions] I would like to remind everyone that this conference is being recorded, and would now like to turn the conference over to Jean Wood, Vice President of Investor Relations. Please go ahead."
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Executives","Thank you, everyone, for joining us today on our fourth quarter of 2014 earnings call. During the course of this call, management will be making forward-looking statements, which are subject to uncertainty and risk associated with our business and indus",164,"Thank you, everyone, for joining us today on our fourth quarter of 2014 earnings call. 
During the course of this call, management will be making forward-looking statements, which are subject to uncertainty and risk associated with our business and industry. For a more detailed description of these risks, please refer to the company’s press release and SEC filings. 
During this call, we will discuss certain non-GAAP financial measures as defined by the SEC’s Regulation G. The reconciliation of each non-GAAP financial measure to the most directly comparable GAAP financial measure is included in the press release and the supplemental 8-K filings for the quarter , which are posted in the Investors section of the company’s website at www.macerich.com. 
Joining us today are Art Coppola, CEO and Chairman; Tom O'Hern, Senior Executive Vice President and Chief Financial Officer; and Robert Perlmutter, Executive Vice President, Leasing; and John Perry, Senior Vice President, Investor Relations. 
With that, I would like to turn the call over to Tom."
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Executives","Thanks, Jean. Welcome. It's been a couple months since we saw most of you at our Investor Day on November 18 in Santa Monica with some great acquisition leading into that Investor Day, and we have met our management team members presenting on a variety of",1134,"Thanks, Jean. Welcome. It's been a couple months since we saw most of you at our Investor Day on November 18 in Santa Monica with some great acquisition leading into that Investor Day, and we have met our management team members presenting on a variety of topics, including development projects status. We'll be updating much of that information for you today, as well as our view on 2015. 
Consistent with past practice, we will be limiting this call to one hour. If we run out of time, and you still have questions, please do not hesitate to call me, Art, John Perry or Jean. 
It was another very strong quarter for us across the board. We continue to see strong operating results. Leasing spreads for good and leasing volumes were very significant. We signed leases on 516,000 square feet of space that compared to 330,000 square feet in the fourth quarter of 2014. The releasing spreads were positive 22%. 
Mall occupancy was at 95.8%, that's up 125 basis points from a year ago. Looking at that stat on a same-center basis, we were up 70 basis points from 95.1% at 12/31/13. 
Temporary occupancy was 5.1% of that occupancy compared to 5.8% at December 31 of last year, it was down about 70 basis points from a year ago, but we still have a lot of progress to make on that front, and that we continue to be in focus for 
us. Average mall store base rents are now over $50 a foot, they increased to $51.15, up 6% from $48.16 a year ago. 
Looking at FFO for the quarter. Reported FFO was $0.99 compared to $0.94 in the fourth quarter of last year. Reflected in FFO was a $9.1 million early extinguishment of debt penalty, $0.06 a share. That was an early payoff of Vintage Faire in Fresno Fashion Fair loans, which were combined $250 million and had an average interest rate of 6.2%. We arranged a new $280 million, 3.49%, 11-year fixed-rate loan to be placed on Vintage Faire, essentially replacing that debt that we paid off. In Fresno, we remain unencumbered for now. 
Excluding the prepayment penalty we came in at $1.05 for the quarter, right in the middle of our guidance range. 
Impacting net income for the quarter but not FFO was a $1.5 billion remeasurement gain that is recorded for accounting purposes as a result of converting our ownership of Queens Lakewood Los Cerritos, Stonewood and Washington Square from an unconsolidated 51% to a consolidated 100%. 
We gained as essentially a value of our 51% interest at the date of our transaction less our book basis. 
Same-center NOI for the quarter increased by 5.8% compared to the fourth quarter of last year. This increase was driven by increased occupancy, positive releasing of spreads, annual CPI increases and leases. We think, however, it's more meaningful to look at a full year same-center NOI. For the year ended December 31, 2014, same-center NOI growth was 4.24%. 
During the fourth quarter, we had stronger occupancy lease term revenue and percentage rents than we had forecast. 
Term fees are included in the same-center NOI as they are a recurring part of our business and unlike straight-line rents, it is a cash revenue. It can cause some quarterly fluctuation as it relates to same center NOI growth, and that's why we feel it's more meaningful to look at a 12-month calculation for that metric or at least a year-to-date calculation. 
For lease terminations for the year, it came in at $11.8 million, that was only slightly higher than our guidance level of $10 million, and, in fact, our average annual lease termination revenues over the past 5 years has averaged $9.6 million. 
We had a $2.6 million gain on landfill during the quarter and offsetting that gain and included in REIT G&A cost were $3 million worth of transaction costs related to the acquisition activity in the fourth quarter, and that is included in REIT G&A and caused the increase to $12.1 million in total. 
Bad debt expense for the quarter was $700,000, that compared to $1.1 million in the fourth quarter of last year and as a result of refinancing activity and the interest rate environment we've been, average interest rate is down to 3.5% compared to 4.2% in the fourth quarter of last year. 
The balance sheet continues to be in great shape. We had the strongest balance sheet in the history of our company. At quarter end, some of the balance sheet metrics included debt-to-market cap at 33%, interest coverage ratio of 3.8x, debt-to-EBITDA on a forward basis 7.2x, average debt maturity, 5.2 years and floating rate debt as a percentage of total REIT debt is 17%. 
We continue to see a great financing environment given our ability to borrow at attractive rates. As I mentioned, we paid off Fresno Fashion Fair and Vintage Faire early and secured a very attractive 3.49% financing on Vintage Fair, that's an 11-year fixed-rate term. 
We also had some other attractive financing opportunities ahead of us this year, including Lakewood Mall, which is very underleveraged and currently carries a 5.43% interest rate; and Washington Square, which has a 6.02% coupon. 
Those should be financed later this year no doubt at substantial savings. 
In this morning's press release, we also gave FFO guidance, the range is $3.80 to $3.90 per share. There seems no asset sales in 2015. It does include dilution of about $0.10 a share from the assets we sold in 2014. It reflects a same-center NOI growth rate of 4.25% to 4.75%. We are seeing the benefit of proving that we did to our portfolio 2013 and '14, and that's reflected in this assumption and our expectation of seeing accelerating same center NOI growth. 
The guidance assumes $10 million of lease termination revenue, just slightly less than actual of $11.8 million this year. There's been no acquisitions factored into that guidance and there's been no gain or loss and early extinguishment of debt factored into the guidance. And you can see that guidance -- those guidance assumptions detailed in our supplement. 
And again, looking at the quarterly split on the FFO guidance, the first quarter is expected to be 21%; second quarter, 24%; third quarter, 25%; and the fourth quarter, 30%. 
Looking at temp sales for a moment. Total portfolio sales per foot for the year were $587, that compared to $562 last year. 
If you look at that calculation of same-center basis, it was $587 compared to $574. The top regions for us were Arizona and Southern California, and if we take a look at total sales for the period of the quarter ended December 31, 2014, total sales were up 2.2%. 
At this point, I'd like to turn it over to Art."
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Executives","Thank you, Tom. First of all, I would like to briefly address the speculation in the market regarding Simon Property Group's Investment and Macerich. As you likely know in November, 2014, Simon announced that it had acquired a stake in our company. At thi",1603,"Thank you, Tom. First of all, I would like to briefly address the speculation in the market regarding Simon Property Group's Investment and Macerich. As you likely know in November, 2014, Simon announced that it had acquired a stake in our company. At this point, there is really nothing more that we can share with you. It's our policy not to comment on market rumors or speculation, and we do not intend to make any further comments or statements during this call regarding Simon. 
With that, I want to remind you that all of the purpose of today's call is to discuss our fourth quarter and full year's earnings results, as well as our outlook for 2015. We would appreciate it if you could please keep your questions during the Q&A session focused on these topics. 
Turning now to the results for 2014. As Tom has outlined for you, it was a terrific year for a company. It was a transformational but it was certainly an evolutionary year where many important benchmarks were reached. 
From an operating viewpoint, we put up some very good numbers with occupancy levels increasing, leasing was extremely strong, the environment is extremely good. Our spreads remained very, very good during the year, up 22% for the trailing 12 months. 
As Tom outlined for you, our balance sheet is in terrific shape, and we see the opportunity over the next 18 months to even further enhance it with some very opportunistic refinancing opportunities coming up available to us. 
Development, we have some significant milestones during the year, some great accomplishments on portfolio management. 
As we look at the development activities during the course of 2014 and our outlook for 2015, again, we have some very good milestones. The Tysons, our office tower, is now over 80% leased. The residential towers leasing up extremely well and the hotel is poised open here later on the end of this quarter, the beginning of next. 
At Scottsdale Fashion Square, as well as Cerritos, we're well underway at the construction to add 2 new junior anchors at each of them, a sporting goods operator Dick's a teach of them and a major theater complex at each of them. 
Speaking of theaters, the theater at Santa Monica, Place, construction there is going along well with an opening that are anticipated here in the later on in the third quarter, early fourth quarter of this year, coupled with the second generation releasing of the center, that theater is already spawning significant renewed interest into the center, particularly into the third level. 
Looking to the third level of the property, for example, we recently signed and are actually under construction on the recycling of some existing restaurant space into new Cheesecake Factory, which we think is terrific here in this market. 
We also have new major tenant such as UNIQLO that has replaced Love Culture, and I'm sure there may be other retailers in Santa Monica Place that Bob may point out to you that we have either recycled or are recycling, all with a view towards really taking the center up to a very significant level improvement in the productivity. 
At Broadway Plaza, we had a terrific first part of our expansion there with the demolition and complete reconstruction of a parking deck that was contiguous to Nordstrom. This was necessary to create the footprint for the expansion of Broadway Plaza. That was done and completed all within 6 or 7 months, which is really terrific. 
At Fashion Outlets at Niagara, our expansion opened up on schedule, on budget, well leased, well over 85% leased. 
At Kings Plaza, our remodel and remerchandising is going tremendously well and we're moving along very well on our entitlements at The Gallery. 
From a portfolio management viewpoint, we further recycled out of our couple of lower productivity centers and into some high productivity properties. With the disposition of the assets that we sold in 2014, we then turn around, during the course of the year, increased our ownership of Fashion Outlets of Chicago to 100% and also to 100% in 5 malls in the Ontario transaction. 
Another key investment that we made during the year, obviously, was The Gallery in Philadelphia, and we're very bullish about that. 
As I look forward to 2015 and beyond, the company is extremely well poised as a result of our portfolio management that we have done over the previous 3 or 4 years, we have our balance sheet is well positioned to finance all of our activities here going forward. The leasing outlook is terrific. As I look at upcoming development activities that we have and new ones that we've announced, we announced a couple of months ago our joint venture to build a 500,000 square-foot outlet center at Candlestick Park in San Francisco. demand for that center from the retailers' viewpoint has been very significant, we're very bullish on that. 
At Green Acres, we moved that project up to our active development pipeline. That is really the expansion of our retail campus. We're adding 335,000 square feet of restaurants, pads, as well as operators such asked Dick's, HomeGoods, Ashley Furniture and others. We're very optimistic about the impact that, that's going to have to the retail campus. This is a center that you may remember that when we bought it a couple of years ago, it's doing $500 a square foot. Today, it's doing over $575 a square foot. Leasing activity in the mall has been very dramatic. The expansion of the retail campus, we think, is going to be even further enhanced the retail destination. We think that it largely caused the campus to exceed $1 billion in sales over the years to come. 
And we anticipate the announcement of a new anchor that will be attached in part of the enclosed mall itself in the very near term. 
A new project that's in our -- that we've talked about that is now in our shadow pipeline is the further densification of Scottsdale Fashion Square. As you think of Scottsdale somewhere in the same context that you think about Tysons Corner, so a huge retail project,and we're blessed that Scottsdale to have excess land that is going to enable us to further densify that property. Again, we talked about the expansion of the property that's currently underway and this densification, we think, will further enhance the retail destination. 
Speaking of the destination, at the Super Bowl this last week, the NFL had their fans, had an activity at Scottsdale Fashion Square on the 7 acres of vacant land that we have outlined as densification opportunities, and we generated over 0.5 million visitors to that project during the course of the 4, 5 days leading up and into the Super Bowl, and it was very dramatic in terms of the traffic increases and the sales increases that we enjoyed. 
At Tysons Corner, we are underway with perfecting the next phase of entitlements, and that's really spun by the confidence that we have, in the leasing activities that we have, particularly in the residential side. 
We anticipate that at The Gallery in Philadelphia that we will be in a position to announce joint REIT with our Penn REIT. The scope of the project, the size of the dollars, as well as the incremental returns over the next quarter or so. 
At Chicago in Northbridge, it was announced during the quarter that we acquired a square block contiguous to across the street from Nordstrom, which is either the #1 or #2 Nordstrom store in the United States in terms of sale volume. 
And that square block was acquired. It's about 65,000 square feet of building area. We see that we will have opportunities to integrate that into the Upper Michigan Avenue with the opportunity to have FAR on that side of about 780,000 square feet, we're in early planning phases on that project. Likely outcome will be that we would do the retail and anything that go vertical above that, we'll most likely be on air rights deal with other folks doing that development. 
Another significant activity that happened somewhat in the development arena that will affect us in this year and next year is that Sears announced that they, along with Macerich through our cooperation -- Sears announced that they are going to bifurcate their stores at Freehold and Danbury, 2 of our great centers where Sears will occupy 1 level of their two-level store, consolidate and rationalize into that, and they have sub-let the other level of their anchors store to Primark. We think it's a great addition to each of those centers, high traffic generator, and we are happy to cooperate with Sears as they make their deal with Primark, and they will be responsible for our capital connection with that edition. 
As I think about 2015 and beyond from an operating viewpoint, I take great confidence in the same center results that we've had in the previous year. The outlook that we have for this year and beyond, you may remember at our Investor Day that the Tom outlined a footprint for you as to how he felt and we feel that we'll able to achieve over the next 5 years range of same-center NOI, but we generally land at the midpoint of our around 4.5%. We're very confident given our outlook for the future, as well as financial modeling, as well as just the retailer environment that, that type of same-center NOI growth is available to us. 
With that, I would like to open it up for Q&A, operator."
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Operator","[Operator Instructions] And we'll take our first question from Craig Schmidt from Bank of America.",15,"[Operator Instructions] And we'll take our first question from Craig Schmidt from Bank of America."
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Analysts","I guess, a couple questions on the development. At Kings Plaza, the teams have been scaled back a little bit. Maybe an explanation.",23,"I guess, a couple questions on the development. At Kings Plaza, the teams have been scaled back a little bit. Maybe an explanation."
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Executives","I'm not sure what you're referring to.",8,"I'm not sure what you're referring to."
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Analysts","I guess, I thought the Kings Plaza was $90 million to $100 million investment, now it's $65 million to $75 million.",21,"I guess, I thought the Kings Plaza was $90 million to $100 million investment, now it's $65 million to $75 million."
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Executives","No, I think that's probably just set up date in terms of our current view, cost there. So actually, as I've been looking at our supplement there, the $65 million to $75 million, I think, is the REIT possible remerchandising, re the of the Sears store, Cra",70,"No, I think that's probably just set up date in terms of our current view, cost there. So actually, as I've been looking at our supplement there, the $65 million to $75 million, I think, is the REIT possible remerchandising, re the of the Sears store, Craig. It's the other cost that we talked about is really the new merchandising and remodeling in the center refurbishment of the parking structure."
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Analysts","Okay, and maybe just a little color on what you want to do at the Westside Pavilion.",17,"Okay, and maybe just a little color on what you want to do at the Westside Pavilion."
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Executives","It's a great center, it's a great location. It's about to bound to get enhanced through the addition of a rail station that connects downtown Los Angeles to Santa Monica. The rail station has 2 stops, near major retail centers 1 across the street from Blo",257,"It's a great center, it's a great location. It's about to bound to get enhanced through the addition of a rail station that connects downtown Los Angeles to Santa Monica. The rail station has 2 stops, near major retail centers 1 across the street from Bloomingdale's in Santa Monica. The other one 1 block away from Westside Pavilion. But it's a center that we've really still needs to be reimagined. We think there are densification opportunities there. We've had a significant number of developers and users in the area, come an d talk to us about that opportunity, particularly as it relates to office and residential. We're going to be debating that and taking that through. But to pave the way for the future there, we are already beginning to de-lease, a short-term lease, the retailers that we have there. The center, at last report was doing around $350 a square foot, which is not on all in keeping with its potential. So we were in early stages of reimagining the center, and we anticipate that over the few years or so we'll be getting some entitlements to make that possible. But this is a situation where we will have some significant positioning of the center for the ultimate repositioning of it. We don't  have anything clear cut to outline today, other than it's not what it should be. It's a great location, and we're convinced that 5 years from now, it will be significantly better and more profitable and productive than where it is today."
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Operator","And we will now go to Paul Morgan with MLB.",10,"And we will now go to Paul Morgan with MLB."
332172,281512431,755845,"The Macerich Company, Q4 2014 Earnings Call, Feb 05, 2015",2015-02-05,"Earnings Calls","The Macerich Company","Analysts","Arguments in the number of the projects that are in your shadow pipeline, and you've got -- on a pro rata basis, I guess, about $600 million in what you provide in your sub. I mean, how should we think of that number as changing over the next year or 2, I",98,"Arguments in the number of the projects that are in your shadow pipeline, and you've got -- on a pro rata basis, I guess, about $600 million in what you provide in your sub. I mean, how should we think of that number as changing over the next year or 2, I mean, as I roll off Tysons out it, and then put some of these projects into it, what's kind of if you look at over the next 2 or 3 years, what's the number we should think of as being in that kind of active pipeline?"
