"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
312949,325043490,938164,"Alliant Energy Corporation, Q4 2015 Earnings Call, Feb 23, 2016",2016-02-23,"Earnings Calls","Alliant Energy Corporation","Operator","Thank you for holding, ladies and gentlemen, and welcome to Alliant Energy's Year-End And Fourth Quarter 2015 Earnings Conference Call. [Operator Instructions] And today's conference is being recorded. I would like to turn the call over to your host, Su",48,"Thank you for holding, ladies and gentlemen, and welcome to Alliant Energy's Year-End And Fourth Quarter 2015 Earnings Conference Call. [Operator Instructions] And today's conference is being recorded. 
I would like to turn the call over to your host, Susan Gille, Manager of Investor Relations at Alliant Energy."
312949,325043490,938164,"Alliant Energy Corporation, Q4 2015 Earnings Call, Feb 23, 2016",2016-02-23,"Earnings Calls","Alliant Energy Corporation","Executives","Good morning. I would like to thank you all of you on the call and on the webcast for joining us today. We appreciate your participation.With me here today are Pat Kampling, Chairman, President and Chief Executive Officer; Tom Hanson, Senior Vice Presid",252,"Good morning. I would like to thank you all of you on the call and on the webcast for joining us today. We appreciate your participation.
With me here today are Pat Kampling, Chairman, President and Chief Executive Officer; Tom Hanson, Senior Vice President and CFO; and Robert Durian, Vice President, Chief Accounting Officer and Controller; as well as other members of the senior management team.
Following prepared remarks by Pat and Tom, we will have time to take questions from the investment community. we issued a news release last night announcing Alliant Energy's year-end and fourth quarter 2015 earnings, a form 2016 earnings guidance and provided updated 2016 through 2019 capital expenditure guidance. This release as well as supplementals slides that will be referenced during today's call are available on the investor page of the website at alliantenergy.com. 
Before we begin, I need to remind you the remarks we make on this call and our answers to your questions include forward-looking statements. These forward-looking statements are to risks that could cause actual results to be materially different. Those risks include, among others, matters discussed in Alliant Energy's press release issued last night and in our filings with the Securities and Exchange Commission. We disclaim any obligation to update these forward-looking statements.
In addition, this presentation contains non-GAAP financial measures. A reconciliation between non-GAAP and GAAP measures are provided in the earnings release which are available on our website at www.alliantenergy.com.
At this point, I will turn the call over to Pat."
312949,325043490,938164,"Alliant Energy Corporation, Q4 2015 Earnings Call, Feb 23, 2016",2016-02-23,"Earnings Calls","Alliant Energy Corporation","Executives","Thank you, Su. Good morning, and thank you for joining us for year-end earnings call. I will begin with an overview of 2015 performance and provide an update on our forecast capital expenditures and rate base. I will also show the progress to date and tra",1705,"Thank you, Su. Good morning, and thank you for joining us for year-end earnings call. I will begin with an overview of 2015 performance and provide an update on our forecast capital expenditures and rate base. I will also show the progress to date and transforming our generation fleet, modernizing our electric system and expanding of our natural gas system. I will then turn the call over to Tom to provide details on our 2015 results and 2016 guidance, as well as review of regulatory calendar.
I'm pleased to report we have noticed a solid year achieving a $3.57 midpoint of our November 2015 guidance range when adding back the negative temperature impact of $0.08 per share to the non-GAAP earnings of $3.49 per share. Our 2015 non-GAAP temperature normalized earnings reflect an increase of over 5% from comparable 2014 earnings as shown on Slide 2.
The temperatures late 2015 did impact our actual year-end results. For the first 10 months of 2015, our financial results were basically temperature neutral. Of the 1 winter, we experienced especially in December resulted in a negative $0.08 per share variance in 2015 earnings. This was quite the opposite for 2014, we experienced a $0.09 positive variance to earnings. Therefore, temperature swings could lead to a significant year-over-year variance of $0.17 per share.
We also issued an updated capital expenditure plan for 2016 to 2019 totaling $5 billion as shown on Slide 3. In addition, we have provided a walk from the previous 2016 to 2019 capital expenditure plans to our current plan on Slide 4.
As you can see, the $260 million increase in our forecasted 2016 to 2019 capital expenditure plan is driven primarily from accelerated investment and our electric and gas distribution systems. The December 2015 extension of bonus depreciation for certain announcement 2019 has given us the opportunity to bring forward some infrastructure projects that will benefit our customers for years to come.
I do want to point out that with this revised capital plan, we expect no material change to the rate base forecast that we provided last November for IPL and WPLs through 2018. We anticipate the increase in forecasted capital expenditures will offset the impact resulted in the extension of bonus depreciation.
During the past few years, we have been executing on a plan for the transition of our generation fleet in an economical manner to serve our customers. We've made significant progress and building a generation portfolio that has lower emissions, greatest fuel diversity and is more cost efficient. The transition included installing emission control, performance upgrade at our largest coal fire facilities less efficient coal units and increasing levels of natural gas and renewable energy generation. Since 2010, Alliant Energy has retired a 1150 megawatts of coal-fired generation or about 1/3 of our 2009 coal capacity.
These retirements have been replaced with highly efficient gas-fired generation, which produces approximately half of the carbon emissions when compares to coal-fired generation.
Natural gas prices in 2015 resulted in significant changes to the capacity factors of our gas units. Riverside had an approximately 50% capacity factor last year, more than double its prior 5-year average. Our facility also experienced significant increase in operating during 2015. 
With lower gas prices, the additional gas generation in our portfolio resulted in savings for our customers in 2015.
Now let me brief you on our construction activities. 2015 was again a very active construction year with over $1 billion deployed. Our investments included approximately $360 million for electric and gas distribution systems. This was one of the largest annual investments in those systems and will be an area of billing investments. These projects have driven by customer expectations to make our electric system more reliable and resilient and to expand natural gas services especially to communities excess before.
In Iowa, Marshalltown natural gas-fired generating facility is progressing well, and is now approximately 75% complete. Forecast capital expenditure for this project are approximately $700 million, excluding AFUDC and transmission. Marshalltown is on time and on budget and is expected to go in service 2017. In Wisconsin, progress continues on the installation of back half at Edgewater Unit 5. This project is approximately 90% complete and is on time and below budget. Capital expenditure forecast for this project are approximately $270 million and is expected to be in service later this year.
and replacement work continues at Columbia and these performance improvement projects are expected to completed next year. This construction of a Columbia Unit 2 SCR will begin. WP&L capital expenditure for this project is approximately $50 million and is expected to go in service in 2018. In 2013, WPL announced that entire several older coal facilities and natural gas peaking units. And after more than 50 years of dependable operation, Nelson Dewey and Edgewater Unit rates were retired in December. The retirement of these units or several other retirements 2019 will result in a reduction of WPL's capacity of approximately 700 megawatts. As a result, WPL propose to construct 700 megawatt highly efficient natural gas generating facility referred to as a Riverside Energy Center expansion. We anticipate the Public Service Commission will issue its decision on the Riverside expansion in the second quarter.
Earlier this month, we announced that we had negotiated options with neighboring utilities and electric cooperative partial Riverside ownership of up to 55 megawatts during the construction facility and up to an additional 250 megawatts during the first 5 years of the facility is operating.
With this agreement, the cooperative have expanded the wholesale electric contract with WP&L by 4 years to 2026. We're pleased that our neighbor utilities realize the benefits of our proposed facilities and want to be involved in this exciting and innovative project. While we now expect the output from the Riverside unit to be close to 700 megawatts, the capital expenditure for Riverside remains at approximately $700 million, excluding AFUDC  and transmission. The targeted in-service base has changed from early 2019 to early 2020. Therefore, the timing of the capital expenditures have been updated and are reflected on Slide 3 based on input from the EPC bidders. The expenditures presented for Riverside do not reflect a possible capital reduction cooperative exercise of 55 megawatts purchase option during construction.
In addition to the Riverside joint ownership option, hub service and will have the options to limit their capital expenditures at Columbia to paying for only the SCR during the time at Riverside is being constructed. Our capital expenditure plan does not reflect this option being executed. However, we expect that any increase in our capital expenditures at Columbia with these largely offset the electric costs exercise purchase option 55 megawatts of Riverside.
Earlier this month, United States Supreme Court effectively delayed implementation of the Clean Power Plan until legal challenges to the EPS rules are resolved. The state will not change our current resource of capital expenditure plan as they were not based on compliance with the Clean Power Plan. As we plan for our future generation needs, we aimed to minimize emissions providing safe, reliable and affordable energy to our customers. We believe that with the transition of our generation fleet and the availability of lower natural gas prices, our carbon emissions will continues to decrease.
We're very fortunate to operate in states that have long history of support renewable energy and a strong commitment to environmental stewardship. We had and we will continue to invest and purchase renewable energy. We currently own 568 megawatts of wind generation and our capital plan include additional investments to customer energy needs. In addition, we currently purchase approximately 470 megawatts of energy from renewable sources. Wind energy provided approximately 8% of our customers energy needs in 2015.
Also we have several solar projects under development from which we anticipate gathering valuable experience on integrate solar in a cost effective manner into our electric system. 
At our Madison headquarters, over 1,300 solar panels have been installed and generating power for the building. Construction is also started on Wisconsin's largest on rock river land, which is adjacent to Riverside. 
In Iowa, we're the only operating solar panels at the Indian Creek Nature Center in Cedar Rapids and are responses to the ARPU we issued for additional solar in our portfolio.
There is a sense of excitement as we worked to transform the company to meet our customers evolving expectations. A major improvement to our customer experience just happened as we went live with our new customer care and billing system. This $110 million investment replaced main frame systems from the 1980s. Our new billing system will make communication with our customers more convenient and timely and allow for us to provide innovative service options. This project was another well executed major initiative. I do want to thank everyone that worked so hard for years to transform our customer experience.
At Alliant Energy, we've already made great progress to transitioning our utilities to a cleaner more modern energy system. These wouldn't have been possible without the hard work and commitment of our employees who keep the customer at the center of everything we do. 
Let me summarize the key messages for today. We had a solid 2015 and we'll work hard to also deliver 2016 financial and operating objectives. We anticipate no material change for the rate base growth for 2018 as the updated capital expenditure plan will offset any impact from the extension of bonus depreciation. Our plan countries to provide 5% to 7% earnings growth and 60% to 70% common dividend payout target. Our targeted 2016 dividend increased by 7% over the 2015 dividend target.
Successful execution on our major construction project includes completing project on time and below budget in a very safe manner. Working with regulators, consumer environmental groups, neighboring utilities and customers in a collaborative manner. Reshaping our organization to be leaner and faster or keeping the focus on serving our customers and being good partners in our communities. And we'll continue to manage the company to strike a balance between capital investment, operational and financial discipline and cost impact to customers. Thank you for your interest in Alliant Energy and I will now turn the call over to Tom."
312949,325043490,938164,"Alliant Energy Corporation, Q4 2015 Earnings Call, Feb 23, 2016",2016-02-23,"Earnings Calls","Alliant Energy Corporation","Executives","Good morning, everyone. We released 2015 earnings last evening with our non-GAAP earnings from continuing operations of $3.49 per share and our GAAP earnings from continuing operations of $3.38 per share. The non-GAAP to GAAP differences are due to a $0.0",1019,"Good morning, everyone. We released 2015 earnings last evening with our non-GAAP earnings from continuing operations of $3.49 per share and our GAAP earnings from continuing operations of $3.38 per share. The non-GAAP to GAAP differences are due to a $0.07 per share charge resulting from the sale of IPL Minnesota electric and gas distribution assets and a $0.04 per share charge resulting from the approximately 2% of employees accepting voluntary separation packages as we continued focusing on matching cost for our customers. Comparison between 2015 and 2014 earnings per share are detailed on slides 5, 6 and 7.
Retail, electric, temperature and normalized sales increased approximately 1% or $0.04 per share at IPL, WP&L between 2015 and 2014. This excludes the impact of the Minnesota sales. The industrial segment continues to be the largest sales growth driver year-over-year. For 2015 results include an adjustment to our ATC earnings to reflect an anticipated decision from expected to lower ATC's current authorized ROE of 12.2%. We reserve $0.06 per share for 2015, reflecting an anticipated all-in ROE of 10.82%. This is the result of the administrative judges initial decision issued in December 2015. 
Now, let's review our 2016 guidance. In November, we issued our consolidated 2016 earnings guidance range of $3.60 to $3.90. The key drivers for the 5% growth in earnings relate to infrastructure investments such as the Edgewater 5 and Lansing emission control equipment and higher AFUDC related to the construction of the Marshalltown generating station. 
The 2016 guidance range assumes normal weather and modest retail electric sales increases of approximately 1% for IPL and WP&L excluding the impacts of Minnesota sale. Also the earnings guidance is based upon the impacts of IPL and WP&L previously announced retail electric base rate settlements. The IPL settlement reflected rate base growth primarily from Lansing in-service in 2015. In 2016 IPL expects the credit customer bills by approximately $10 million. By comparison, the billing credit in 2015 were $24 million. During 2016, IPL also expects to provide tax benefit rider billing credit to electric and gas customers of approximately $62 million compared to $72 million in 2015. As in prior years, the tax benefit riders may have a quarterly timing impact, but are not anticipated to impact full year results.
The WP&L settlement reflected electric rate base growth for the Edgewater 5 scrubber in house projected to be placed in service in 2016. The increase in revenue requirements in 2016 for this and other rate base additions was completely offset by lower energy efficiency, cost recovery amortizations.
Also included in WP&L's rate settlement was an increase in transmission cost, primarily related to the anticipated allocation of SSR cost. As a result of FERC order issued after the settlement, the amount of transmission costs billed to WP&L in 2016 will be lower than what was reflected in the settlement, since the PSCW approved escrow accounting treatment for transmission cost, the difference between the actual transmission cost billed to WP&L and those reflected in the settlement has been accumulated in a regulatory liability. We estimate that this regulatory liability will have a balance approximately $35 million by the end of 2016. This regulatory liability is another mechanism we can use to minimize future rate increases for our Wisconsin, retail electric customers.
Slide 8 has been provided to assist you in modeling the effective tax rates for IPL, WP&L and AEC for 2016 and provide you the actual effective tax rates for 2015. 
Turning to our financing plans. Our current financing forecast incorporates the extension bonus depreciation deductions for certain capital expenditures for property through 2019. As a result of the 5-year extension bonus depreciation, Alliant Energy currently does not expect to make any significant federal income tax payments through 2021. This forecast is built upon the current federal net operating losses and the credit carryforward position as well as future bonus depreciation expected to be taken federal income tax returns over the next 5 years. Cash flows from operations are expected to be strong, given the earnings generated by the business. We believe that with our strong cash flows and financing plan, we'll maintain our targeted liquidity, capitalization ratios as well as high-quality credit ratings. Our 2016 financing plan assumes will be issued approximately $25 million of new common equity through our Shareowner Direct Plan. The 2016 financing plans also anticipates issuing long-term debt up to $300 million at IPL, and approximately $400 million at the parent and Alliant Energy resources. $310 million of proceeds and the parent and Alliant Energy resources are expected to be used to refinance maturity of term loans. We may adjust our financing plans as deem prudent, if market conditions warrant and as our debt and equity needs continue to be reassessed.
As we look beyond 2016, our equity needs will be driven by the proposed Riverside expansion project. Our forecast assumes that capital expenditures for 2017 and 2018 would be financed primarily by a combination of that and new common equity. Before the five-year extension bonus depreciation, we were not expected to make any material federal income tax payments through 2017. Does the extension of bonus depreciation is not expected to change our financial needs for the next 2 years.
We have several current and planned dignitary dockets of note for 2016 and 2017, which we have summarize on Slide 9. During the second quarter of 2016, we anticipate a decision from the PSCW on the Riverside expansion proposals, and we anticipate a W P&L retail electric and gas case for 2017 and 2018 rates. IPL will be filing our five-year mission plan and budget in the first quarter expected decision regarding the application for the approximately $50 million equipment natural gas pipeline in the second quarter. The makes Iowa retail electric and gas bit race cases are expected to be filed in the first quarter of 2017. We very much appreciate your continued support of our company and look forward to meeting with you throughout the coming year. 
At this time, I will turn the call back over to the operator to facilitate the question-and-answer session."
312949,325043490,938164,"Alliant Energy Corporation, Q4 2015 Earnings Call, Feb 23, 2016",2016-02-23,"Earnings Calls","Alliant Energy Corporation","Operator","[Operator Instructions] We'll take our first question from Brian Russo from with Ladenburg Thalmann.",14,"[Operator Instructions] We'll take our first question from Brian Russo from with Ladenburg Thalmann."
312949,325043490,938164,"Alliant Energy Corporation, Q4 2015 Earnings Call, Feb 23, 2016",2016-02-23,"Earnings Calls","Alliant Energy Corporation","Analysts","Would you be able to possibly quantify the amount of equity you might need to help finance through expansion?",19,"Would you be able to possibly quantify the amount of equity you might need to help finance through expansion?"
312949,325043490,938164,"Alliant Energy Corporation, Q4 2015 Earnings Call, Feb 23, 2016",2016-02-23,"Earnings Calls","Alliant Energy Corporation","Executives","Brian, as we said, our objective is to continue to maintain the targeted equity levels at both IPL and the WP&L, so you can assume that with largest project here at WP&L that we will have incremental equity needs, we'll be sharing specifics as we issue gu",76,"Brian, as we said, our objective is to continue to maintain the targeted equity levels at both IPL and the WP&L, so you can assume that with largest project here at WP&L that we will have incremental equity needs, we'll be sharing specifics as we issue guidance in later years, but what's important, our targeted incremental equity is included in our forward-looking guidance. So the dilution is reflected in our 5% to 7% targeted growth rates."
312949,325043490,938164,"Alliant Energy Corporation, Q4 2015 Earnings Call, Feb 23, 2016",2016-02-23,"Earnings Calls","Alliant Energy Corporation","Analysts","Great. It looks like '15 over '14 and '16 over '15, you got a kind of gravitating towards the lower end of the 5% to 7% EPS CAGR. Is that something structural there that has rate base growth? Is it harder to get in the middle or the higher end? Or is it j",61,"Great. It looks like '15 over '14 and '16 over '15, you got a kind of gravitating towards the lower end of the 5% to 7% EPS CAGR. Is that something structural there that has rate base growth? Is it harder to get in the middle or the higher end? Or is it just a function of lumpiness of the CapEx?"
312949,325043490,938164,"Alliant Energy Corporation, Q4 2015 Earnings Call, Feb 23, 2016",2016-02-23,"Earnings Calls","Alliant Energy Corporation","Executives","What really Brian is that our sales forecast has come down a little bit. we were about 2% at Wisconsin, 1% at Iowa. Now we see there is overall 1% and that's really brought us down over to the midpoint of the range, not to the higher end of the range.",51,"What really Brian is that our sales forecast has come down a little bit. we were about 2% at Wisconsin, 1% at Iowa. Now we see there is overall 1% and that's really brought us down over to the midpoint of the range, not to the higher end of the range."
312949,325043490,938164,"Alliant Energy Corporation, Q4 2015 Earnings Call, Feb 23, 2016",2016-02-23,"Earnings Calls","Alliant Energy Corporation","Analysts","Okay. And just to clarify fourth quarter whether versus normal is negative $0.88?",13,"Okay. And just to clarify fourth quarter whether versus normal is negative $0.88?"
