"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
329141,321713567,926868,"Avalonbay Communities Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","AvalonBay Communities, Inc.","Operator","Good afternoon, ladies and gentlemen, and welcome to the AvalonBay Communities Fourth Quarter 2015 Earnings Conference Call. [Operator Instructions] Your host for today's call is Mr. Jason Reilley, Senior Director of Investor Relations. Mr. Reilley, pleas",38,"Good afternoon, ladies and gentlemen, and welcome to the AvalonBay Communities Fourth Quarter 2015 Earnings Conference Call. [Operator Instructions] Your host for today's call is Mr. Jason Reilley, Senior Director of Investor Relations. Mr. Reilley, please go ahead."
329141,321713567,926868,"Avalonbay Communities Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","AvalonBay Communities, Inc.","Executives","Thank you, Greg, and welcome to AvalonBay Communities Fourth Quarter 2015 Earnings Conference Call. Before we begin, please note that forward-looking statements may be made during this discussion. There are a variety of risks and uncertainties associated",144,"Thank you, Greg, and welcome to AvalonBay Communities Fourth Quarter 2015 Earnings Conference Call. Before we begin, please note that forward-looking statements may be made during this discussion. There are a variety of risks and uncertainties associated with forward-looking statements and actual results may differ materially. For discussion of these risks and uncertainties [indiscernible] press release as well as in the company's Form 10-K and Form 10-Q filed with the SEC. 
As always, press release include an attachment with definitions and reconciliations of non-GAAP financial measures and other terms which may be used in today's discussion. Actual results are available on our website at www.avalonbay.com/earnings, and we encourage you to refer to this information during the review of our operating results and financial performance. 
And with that, I'll turn the call over to Tim Naughton, Chairman and CEO of AvalonBay Communities for his remarks."
329141,321713567,926868,"Avalonbay Communities Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","AvalonBay Communities, Inc.","Executives","Thanks, Jason, and welcome to our Q4 call. With me today are Kevin O'Shea, Sean Breslin and Matt Birenbaum. Kevin and I will provide commentary on the slides that we posted last night. And then the 4 of us will be available for Q&A afterward. During our",1322,"Thanks, Jason, and welcome to our Q4 call. With me today are Kevin O'Shea, Sean Breslin and Matt Birenbaum. Kevin and I will provide commentary on the slides that we posted last night. And then the 4 of us will be available for Q&A afterward. 
During our comments, we'll focus on providing a summary of Q4 and the full-year results and then time talking about the outlook for 2016. I'll talk about the economy, apartment markets and operations and turn it over to Kevin, who will talk about development as well as capital and risk management as we move further into the cycle.
So let's start on Slide 4. Highlights for the quarter and year include core FFO growth in Q4 14.4% and 11.4% for the full year, which is about 300 basis point higher than our original outlook at the beginning of the year. And importantly, we continue to generate FFO growth this cycle toward the top of the sector while having the lowest leverage. 
Q4 same-store revenue growth came in at 5.4% or 5.7% when you include redevelopment, as many of our peers do. And for the full year, same-store revenue growth came in at 5.0 or 5.2, including redevelopment. Same-store NOI for the year came in at 5.8%. 
We completed about $500 million this quarter at right around a 7% yield and $1.3 billion for the full year, at an initial yield of 6.7%. We started another 4 communities totaling about $400 million in Q4, bringing our full year levels start to roughly $1.2 billion or roughly in line with completions this year.
And lastly, we raised $400 million in new capital in the quarter, principally $200 million or $300 million unsecured debt offering. And for the year, we raised a total of $1.9 billion in capital to fund new investment and refinance maturing debt.
Turning now to Slide 5. The $1.3 billion of new development that we completed this year that I just referenced is contributing to healthy earnings and NAV accretion. Yields of 6.7% are roughly 250 basis points greater than our initial cost of external capital raised this year. And the cost basis of these completions at 310,000 per unit is more than 30% less than the value of our average stabilized asset on a per unit basis, with rents that are 12% to 13% higher, implying that value creation was around 50% over cost or roughly $650 million in net NAV created or $5 per share in 2015 alone.
Turning to Slide 6. In addition to strong financial results, we excelled another important aspect in our business in 2015, including customer satisfaction, lower rate, #1 nationally among all apartment operators for online reputation, associate engagement, we are ranked #1 on our sector and #2 among of all of DC metro based organizations on glassdoor. Corporate responsibility where our multiyear focus are on sustainability, that puts us towards the top of the sector in the U.S. and globally. And community recognition where a number of our newly developed communities procedures awards from various industry groups. We probably don't talk enough about this with investors, but we know that achievement and survey the needs of these important constituencies and our customers from our associates, the communities as well as the shareholders is critical to building the kind of culture and company that can be enduring and successful.
Shifting now to 2016, let's move to Slide 7. We are projecting a 9% core growth in core FFO per share this year, driven by about 2/3 internal operations from almost 6% thanks to NOI growth that was exactly at the midpoint. And about 1/3 from new investment activity once you net out the cost of new capital issuance, which is probably mostly from stabilizing new development.
The principal difference in growth between 2015 and '16 is that we expect less external growth from new investment activity, which, in turn, is being driven by the impact of fewer deliveries in 2015 that we will be stabilizing in '16 and some might even timing of capital raising activity. 
When looking at the earnings impact of our development platform, it's probably more helpful to view it over a multiyear period. For example, if you look at it over the 2015, '16 timeframe here, new investment activity net of changes in capital cost is projected to deliver approximately $0.70 per share to core FFO or around 10% cumulative growth over the 2-year period.
Moving to Slide 8. Given our outlook for 2016, we announced a dividend increase of 8% this year. The dividend is now up by more than 50% over the last 5 years and, importantly, has grown by 5.5% on a compounded basis over the last 20 years. Dividends are an important component of total return. They represent almost 2/3 of the total return of roughly 1,800% that we've earned over the last 20 years. And that kind of growth really does underscore the accretion and growth embedded in our business model. I think sometimes it just gets a little lost during the market volatility and rapid trading activity we're seeing in the sector today.
Turning to Slide 9. Our outlook is being driven in part by the prospect of stable economy continuing into 2016, and from our perspective, appears to have reached midcycle in terms of GDP and employment growth. An improvement consumer should benefit from stronger labor market in 2016. And then the public sector is expected to actually contribute to overall economic growth this year, although still at a lesser rate than the private sector after having been a drag for a number of years to overall economic growth.
Turning to Slide 10. Job growth in our markets is projected to outperform the U.S. again in 2016 as it did in '15 at just over 2%. The East Coast is expected to improve in '16, while the tech-heavy West Coast market should moderate off the blistering pace of the last couple of years, although still remain at healthy levels around 2.5%. 
On Slide 11, total personal income growth, which combines job and per capita income growth, is expected to accelerate in 2016 as wage growth gains traction, particularly for the younger millennial cohort, most of whom continues to rent. 
Wage growth, as we discussed in the past, become an ever increasing important driver of our business as economic cycle matures and more supply starts to come online in 2016. 
Speaking to that, moving to Slide 12 and supply. We do expect that completions in our markets will increase in 2016 by about 50 basis points to around 2% of stock or roughly in line with job growth, suggesting pretty stable conditions overall. Of course, some submarkets, particularly in urban cores, we'll see higher levels of deliveries that may impact local markets as owners use concessions to stimulate absorption during lease up. This is particularly true in urban and high-rise product where inventories can build quickly and deliveries tend to occur over more considerate concentrated beard of time. But overall, housing demand should continue to favor the apartment sector due to many things that we've been talking about over the last couple of years, including favorable demographics, pent up demand as millennials continue to unbundle and ultimately changing lifestyle trends with the late marriage and family formation. All these factors should help support another healthy year for apartment fundamentals in 2016.
And turning to Slide 13. That is reflected in our outlook for our same-store portfolio this year. We're looking for same-store revenue growth of 4.25% to 5.5%, with modest improvement on the East Coast. On the West Coast, we expect some moderation in Seattle, Northern California after exceptionally strong growth in 2015. 
Overall then, growth is expected to be healthy with performance between the East and West Coast narrowing a bit in 2016. 
And with that, I'll turn it to Kevin, who will discuss development and capital activity."
329141,321713567,926868,"Avalonbay Communities Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","AvalonBay Communities, Inc.","Executives","Thanks, Tim. Turning to development activity on Slide 14, this shows construction in absolute terms and relative to our total enterprise value, both projected for year-end 2016 and historically going back to 2004. As you can see here, ongoing development",891,"Thanks, Tim. Turning to development activity on Slide 14, this shows construction in absolute terms and relative to our total enterprise value, both projected for year-end 2016 and historically going back to 2004. As you can see here, ongoing development activity as a percentage of our total enterprise value has been relatively stable for the past few years at around 10%, which is at the low end of our target range. This reflects our continued disciplined in allocating capital for this activity as we move further into the cycle.
Moving to Slide 15. Profit margins on our development activity has remained remarkably resilient and healthy in the cycle, thanks to the underlying strength of the apartment fundamentals, our sector-leading development and construction capabilities and the decisions we've made about which opportunities to pursue as the cycle matures. Since 2012, our development completions have increased from about $0.5 billion to more than $1 billion. During that time, development yields have been around 7%, while corresponding cap rates for those particular assets have been at or below 5%, resulting in stable profit margins on development in the low 30% range. 
As shown on Slide 16, communities currently in lease-up continue to provide healthy profit margins. For the 12 communities undergoing initial lease-up in 4Q '15, which represent $970 million in total capital cost, the current weighted average monthly rent per home is $115 above initial expectations. 
In terms of yield performance, the weighted average initial projected stabilized yield for these communities is currently 6.7%, or 30 basis points higher than our original projection of 6.4%.
Turning to Slide 17. I'd like to talk about how we manage risk associated with our development activity. The first way we do so is by maintaining a broadly diversified development pipeline, one that is diversified by geographic regions, by product type and by exposure to urban and suburban submarkets. 
As the chart on Slide 17 illustrates, while our development pipeline remains diversified across regions, future development lies a bias towards suburban markets and Midwest products, construction and land costs are more affordable, development economics are more favorable and the production cycle tends to be faster. Going forward, we expect our development pipeline will continue to be an important source of outside growth in NAV and FFO per share.
Moving to Slide 18. Another way we manage development risk is how we source and structure new development opportunities, with the overwhelming majority being controlled through long-term purchase contracts with modest at risk deposits and relatively few being controlled through land we purchased on hold in our balance sheet. At the end of 2015, our development rights pipeline consisted of 32 communities, representing $3.4 billion of projected total capital cost. Of these 32 communities, 25 are controlled to be purchase contracts while we own the remaining 7. 
In addition, of these 7 where we own the land, 2 account for approximately $420 million of the $485 million of land held for development on our balance sheet. We expect to begin construction on these 2 community Development Rights, Columbus Circle and Hollywood in 2016, which would reduce our projected land held for development by year-end 2016, the lowest level in more than a decade.
A third method which we use to manage development risk is substantially much fund the long-term capital, a topic we've talked about a lot in the cycle. On Slide 19, we highlight our funding position against the total projected capital cost the development underway. As you can see, we only need to source about $500 million of long-term capital against the $3.4 billion of development under construction recently completed, taking into account the $2.2 billion of capital already spent to date, $400 million of unrestricted cash on hand and $350 million of projected annual cash flow from operations after dividends. This means that about 85% of the value creation from ongoing development activity has already been locked in for our shareholders.
Turning to Slide 20. We show how being substantially much funded significantly enhances our growth in EBITDA while simultaneously enhancing our already's sector leading credit profile, essentially making us similar to an acquisition REIT from a funding perspective but with lower leverage and stronger built in earnings growth. Specifically, the projected EBITDA for recently completed development and development construction totals about $216 million, as shown on the chart on the left. This represents about 18% growth in annualized core EBITDA from the fourth quarter. 
Even in a worse case, if all the $480 million of unfunded commitments are funded with new debt, our net debt to core EBITDA would still decline from 4.8x to the mid-4s after taking into account the EBITDA from new development. Of course, our actual net debt to core EBITDA will move around a bit as resourced the capital fund incremental development activity. And for the communicate the leverage going to decrease 4.5x [indiscernible] target leverage is 4.5x, affect our target range this metric communities to be roughly between 5 and 6x. Instead, the purpose in showing this slide is 2 much funding strategy, we are optimally positioned to benefit from development activity, that is expected to be accretive both earnings and balance sheet strength. And that our credit profile is actually enhanced by our profitable development capabilities given our funding strategy. 
And with that, I'll turn it back to Tim."
329141,321713567,926868,"Avalonbay Communities Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","AvalonBay Communities, Inc.","Executives","Thanks, Kevin. And just ending here on Slide 21 before opening up the call. In summary, 2015 was a very good year for the company and the industry. We're expecting 2016 to look a lot like 2015, once again benefiting from above trend growth. I think this o",157,"Thanks, Kevin. And just ending here on Slide 21 before opening up the call. In summary, 2015 was a very good year for the company and the industry. We're expecting 2016 to look a lot like 2015, once again benefiting from above trend growth. I think this outlook is not surprising just given our view that we're midcycle with healthy apartment fundamentals continuing and then just a stable level of deliveries and help the accretion coming from our developing pipeline. 
As we move further into the mature portion of the economic expansion, we are highly focused on managing the investment and funding risk of the business. And as Kevin mentioned in his remarks, we're doing this through managing the size and diversity of our pipeline, reducing land inventory, match funding new commitments and maintaining leverage at the low end of our target range. 
And with that, Greg, we'll be happy to open up the call for Q&A."
329141,321713567,926868,"Avalonbay Communities Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","AvalonBay Communities, Inc.","Operator","[Operator Instructions] First from UBS, we have Nick Yulico.",9,"[Operator Instructions] First from UBS, we have Nick Yulico."
329141,321713567,926868,"Avalonbay Communities Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","AvalonBay Communities, Inc.","Analysts","So I guess my first question would be, you have talked a lot about how you've been able to deliver projects at higher yields underwriting for the past few years. You continue to do that. But as far as your guidance goes for this year, I mean, what is your",97,"So I guess my first question would be, you have talked a lot about how you've been able to deliver projects at higher yields underwriting for the past few years. You continue to do that. But as far as your guidance goes for this year, I mean, what is your -- is there assumption for a development pipeline that you're basically delivering at the yield that you give on the development page and so that if you actually beat by 30 basis points the high-end of your range or can you put a little sensitivity around that?"
329141,321713567,926868,"Avalonbay Communities Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","AvalonBay Communities, Inc.","Executives","Nick, this is Tim, and Matt, feel free to jump in. In terms of the attachment that shows the development pipeline with the projected yield of 6 3, that is based upon current rents and rents marked to market once we start leasing and you get up to about 20",218,"Nick, this is Tim, and Matt, feel free to jump in. In terms of the attachment that shows the development pipeline with the projected yield of 6 3, that is based upon current rents and rents marked to market once we start leasing and you get up to about 20%,  25% occupancy. For those communities that have started, construction rent growth and we haven't yet started leasing, we haven't marketed those markets just to be clear. I think you'll probably see over the last few years, we've totally been beating the initial pro forma yields by 30 to 50 or 60 basis points just because of a strong market rent growth and the fact we're able to bring deals in more or less at cost. I think it really is, ultimately -- if you look at the development pipeline today, the shadow pipeline, the builds that haven't yet started, the economics of that look a lot like economics look like on the deals that we've been starting over the last couple of years. I think a lot of it is how you would underwrite those would depend upon how you'd underrated market ultimately in terms of where redoing business and how you might underrates construction costs relative to market rent growth change over the next couple of years."
329141,321713567,926868,"Avalonbay Communities Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","AvalonBay Communities, Inc.","Analysts","And then -- just really back to the guidance though. Should we be assuming that if you are getting the 30 basis points beating on original underwriting, is that already kind of factored into your midpoint of your guidance or does that sort of gets you to",55,"And then -- just really back to the guidance though. Should we be assuming that if you are getting the 30 basis points beating on original underwriting, is that already kind of factored into your midpoint of your guidance or does that sort of gets you to the higher end of your guidance on FFO?"
329141,321713567,926868,"Avalonbay Communities Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","AvalonBay Communities, Inc.","Executives","I'm sorry. In terms of FFO, reflects the budgets for each of those assets, which -- they would have some embedded level of market rent growth decrement out with the markets in which they reside.",36,"I'm sorry. In terms of FFO, reflects the budgets for each of those assets, which -- they would have some embedded level of market rent growth decrement out with the markets in which they reside."
