"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
19609,321967546,926535,"Charter Communications, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Charter Communications, Inc.","Operator","Good morning, my name is Kim and I'll be your conference operator today. At this time, I would like to welcome Charter's Fourth Quarter 2015 Investors Call. [Operator Instructions] Stefan Anninger, you may begin your conference, sir.",37,"Good morning, my name is Kim and I'll be your conference operator today. At this time, I would like to welcome Charter's Fourth Quarter 2015 Investors Call. [Operator Instructions] Stefan Anninger, you may begin your conference, sir."
19609,321967546,926535,"Charter Communications, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Charter Communications, Inc.","Executives","Good morning, and welcome to Charter's Fourth Quarter 2015 Investor Call. The presentation that accompanies this call can be found on our website at ir.charter.com, under the Financial Information section. Before we proceed, I would like to remind you t",245,"Good morning, and welcome to Charter's Fourth Quarter 2015 Investor Call. The presentation that accompanies this call can be found on our website at ir.charter.com, under the Financial Information section. 
Before we proceed, I would like to remind you that there are a number of risk factors and other cautionary statements contained in our SEC filings, including our most recent proxy statement and forms 10-K and 10-Q. We will not review those risk factors and other cautionary statements on this call however, we encourage you to read them carefully. Various remarks that we make on this call concerning expectations, predictions, plans and prospects constitute forward-looking statements. These forward-looking statements are subject to risks and uncertainties that may cause actual results to differ from historical or anticipated results. Any forward-looking statements reflect management's current view only and Charter undertakes no obligation to revise or update such statements or to make additional forward-looking statements in the future. 
During the course of today's call, we will be referring to non-GAAP measures is a defined and reconciled in our earnings materials. These non-GAAP measures as defined by Charter, may not be comparable to measures with similar titles used by other companies. Please also note that all growth rates noted on this call and in the presentation are calculated on a year-over-year basis, unless otherwise specified. Joining in today's call are Tom Rutledge, President and CEO; and Chris Winfrey, our CFO. 
With that, I'll turn the call over to Tom."
19609,321967546,926535,"Charter Communications, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Charter Communications, Inc.","Executives","Thanks, Stefan. Charter Spectrum our advanced and high value products, which continues to attract consumers. Our residential and commercial customer growth continues to accelerate and Charter remains the fastest growing cable company in the United States.",1468,"Thanks, Stefan. Charter Spectrum our advanced and high value products, which continues to attract consumers. Our residential and commercial customer growth continues to accelerate and Charter remains the fastest growing cable company in the United States. By providing highly competitive products at attractive price points and simple packages with quality service, we will continue to add customer relationships inside both Charter's legacy footprint and new Charter's broader footprint. We'll do that by applying the same customer-friendly operating strategy that the Time Warner Cable and Bright House assets as we migrate those footprints to our Spectrum product pricing packaging and customer-friendly operating practices. 
We finished 2015 with 6.7 million residential and small business customers. For the full year, that base of customers grew by 6% with presidential customer growth growing by 5% and SMB growing by 17%. We grew our total video customer base by 11,000 relationships in 2015 compared to a loss of 78,000 last year. This is the first time in over a decade that Charter has added video customers over any 12-month period. 
Driving that growth is an improved video offering with better pictures, more HD than satellite, video-on-demand and interactive guide functionality on every TV outlet, combined with high-quality in-source and U.S.-based customer service, all in an easy-to-understand pricing and packaging structure, which makes our products competitive well beyond the point of sale. 
We also continue to grow our Internet business in 2015. We added nearly 450,000 Residential Internet customers, up 9% compared to last year. Our low-cost, high-speed Internet offering provides great value to consumers whether they purchase inside one of our bundles or on a stand-alone basis. Nearly 1/3 of our total residential customers, close to 2 million customers, are now nonvideo customers and that grew by about 18% year-over-year. As of the end of the fourth quarter, nearly 90% of our Residential Internet customers subscribe to Internet service that provided speeds of 60 megabits or more. 
We continue to be an industry leader in Internet customer growth by offering high speeds at low-price points with no data caps, no usage based billing, no [indiscernible] fees, and that's been our operating practice for the last 4 years and we plan to continue that. 
In commercial, we also continue to drive accelerating customer growth. After we separated our small business and enterprise segments early last year, we launched new pricing and packaging to both marketplaces and are seeing the results we expected. SMB PSU growth accelerated by 30% in 2015 and 47% year-over-year in the fourth quarter. In time, the accelerating commercial unit growth will drive faster revenue growth at it has in residential. Business services remains an area of significant long-term opportunity for Charter and we've demonstrated that we can grow business customers faster with a highly competitive operating strategy. 
For the full year, we grew our revenue by 7.1%. Excluding amortizing, revenue grew by 7.7%, all while taking meaningful lower price increases than in 2014. Our EBITDA growth, excluding transition costs, grew by 8.5% and continue to exceed our revenue growth. That EBITDA growth, combined with declining capital intensity, is driving free cash flow conversion. We generated approximately $550 million of free cash flow in 2015, up from approximately $170 million last year. Excluding M&A-related cost, our free cash flow was even higher, over $1 billion, up $700 million compared to 2014 on the same basis. So as we continue to grow our EBITDA and our capital intensity declines, Charter is becoming a meaningful generator of free cash. 
In 2016, we have 3 key priorities, executing on our core customer growth strategy in both residential and commercial; making the Spectrum product set even better; and finally, closing and integrating Time Warner Cable and Bright House. 
Starting with our core customer growth are strategic, we remain focused on growing our business by increasing long-lasting customer relationships rather than through just price increases. We grow loyal customer relationships by going to market with a simple high-quality products Charter Spectrum, which we offer at very affordable prices and those prices will essentially remain flat in 2016. 
Over the past 4 years, we've hired over 7,000 people to help us support our products with customer service provided by our own people as opposed to contract labor offshore. In the new company, we'll need to hire about 20,000 more people to do the same proportionally. As we train and manage our own employees, we're creating a skilled labor force executing higher-quality service transactions with our customers when we sell and provision, install and some billing question or handle repairs. Today, nearly 90% of our customer calls are handled onshore and in-house and 95% of our service truck rolls are in-house. Those higher-quality customer interactions are reducing service transactions, reducing churn and creating longer relationships supporting greater customer growth and reducing our operating costs. 
We're also making Spectrum products even better. Through the course of 2016, we're rolling out our new cloud-based Spectrum Guide. Our initial Spectrum Guide launches are working and scaling well with positive customer response. Spectrum Guide's more intuitive and feature-rich user interface improves both video search and discovery, fully enables our on-demand offering and allows us to include Internet video in the guide which enhances the value of our service. And because the guide is cloud-based and will work across nearly all of our 10 million set-top boxes, we can launch and refresh the guide without purchasing or installing new set-top boxes.  
By avoiding deployment of new boxes, Spectrum Guide minimizes customers disruption and accelerates the time to put a modern UI on every outlet. 
It turns every TV into a connected smart TV and allow us to integrate third-party video services, including over-the-top providers like YouTube, Netflix, Google and Amazon prime, giving customers the ability to search and view all the content they're interested in without changing consumer owned hardware or devices. We're also designing Spectrum Guide for dynamic ad insertion as a way to enhance targeting, enable programmers to reduce ad loads with less revenue risk. 
Over the course of 2016, we'll also extend our on-demand library with thousands of additional titles and we'll continue to improve our capabilities on additional devices with further live on-demand downloadable content to-go. And in the Internet, we're beginning to roll out our Spectrum WiFi, which provides unlimited Internet access to residential customers when they're outside the home. 
All these product improvements enhancements will be offered to Time Warner Cable and Bright House customers, so they will fully benefit from the collective and product development of these 3 companies. 
Turning to our transactions with Time Warner Cable and Bright House, we've made good progress in working with the regulators and other stakeholders, financing the transactions and planning the integration. We've met the closing conditions for franchise approvals. And at the federal level, we continue to work closely with the FCC and DOJ to make sure they have the information they need and we remain hopeful that the process can be completed in March. 
In January, we received approval for our transactions from the New York State Public Service Commission and at the state level, we're still waiting on New Jersey, Hawaii and California. We will continue to work with state authorities to achieve a faster time line as we have 90,000 employees waiting to become part of the new company and we don't want to delay the significant consumer benefits that our transactions deliver. 
From a balance sheet employee and operational perspective, we're ready to close. In early November, we completed the process of placing our acquisition financing in the debt markets and have additional financing commitments if needed. We're making good progress on integration plans, focusing on organizational structure and systems, all digital new pricing and packaging, Spectrum Guide and roadblocks rollouts. 
Our integration planning and investments, including insourcing of various IT product and service platforms will allow us to project uniform pricing, packaging and services across a national footprint which will accelerate the integration of the 3 companies. Those cloud infrastructure investments include a billing isolation layer, a new provisioning architecture and a unified bill agnostic customer service platform in call centers and in the field. These investments will help to simplify product, standardize service interactions in a consistent way without the time, cost and risk of migrating multiple third-party platforms. 
These transactions brings significant benefit to all of our stakeholders. For consumers, these transactions will mean better products at better prices with high-quality service. And a new company will be a significant contributor to the continued development of our national broadband infrastructure by bringing faster Internet speeds to more homes in more places with proconsumer practices. We look forward to closing shortly so that we can produce the transaction benefits that the communities we serve. 
Now I'll turn the call over to Chris."
19609,321967546,926535,"Charter Communications, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Charter Communications, Inc.","Executives","Thanks, Tom. I mentioned in our last call that we migrated our customer reporting methodology to match the approach used by our peers and advance the closing and do a report last quarter in this quarter. As the results we issued today in our press release",1476,"Thanks, Tom. I mentioned in our last call that we migrated our customer reporting methodology to match the approach used by our peers and advance the closing and do a report last quarter in this quarter. As the results we issued today in our press release and trending schedule, present a residential customer results using the doors methodology, our SMB video customers are now based on relationships instead of EBUs and we separately report enterprise PSUs to reflect our recent organizational changes. 
Our P&L presentation similarly separates SMB revenue from enterprise revenue. And obviously, our new presentation approach does not impact our overall financial results. And the customer PSU revenue and adjusted EBITDA trends that you see under the new methodology used today are very similar to the trends that you would see under the previous methodology. In fact, on Pages 2 and 4 of today's trending schedule, we provided results under the prior presentation methodology as well to provide a transparent transition. 
So starting with Slide 8 in today's presentation. During the fourth quarter, we grew residential PSUs by 191,000 versus 151,000 last year. And in video, we added 29,000 residential customers versus a loss of 3,000 last year. 
In Residential Internet, we added 115,000 customers and we grew residential voice customers by 47,000. 
Over the last year, our residential customer base has grown by 294,000 or by 5%. And over the same period, residential ARPU was up by 2.3%, driven by a larger triple play base and step-ups, loss rate adjustments, partially offset by continued single play Internet growth. 
As Slide 10 shows our customer growth, combined with our ARPU growth, resulted in year-over-year residential revenue growth of 7.2% compared to 8.3% last year, as we had lower rate increases in 2015. 
In commercial, we added 28,000 SMB PSUs versus 19,000 in the prior year. And that improvement is being driven by a greater focus on customer types following the separation of our SMB and enterprise groups, the web launch of new pricing and packaging to the SMB marketplace in early 2015. 
Total commercial revenue grew by approximately 12% continues to reflect the same short-term ARPU pressure that we saw in residential when we initially launched our new pricing and packaging in the middle of 2012. 
Our advertising revenue was down about 19% year-over-year, driven by a $16 million decline in political in the fourth quarter given last year's election cycle. In total, our fourth quarter revenue was up by 6.4% year-over-year, 7.6%, excluding advertising. And for the full year, as Tom mentioned, we grew our revenue by 7.1% and 7.7%, excluding advertising. 
In dollar terms, revenue grew by nearly $650 million. If you exclude advertising, 2015 revenue grew by $678 million, more than the 650 -- $645 million in 2014. So we're pleased with the continued increase in revenue, especially when you consider that we took more modest rate increases than in 2014 and most of our 2015 revenue growth came from customer relationship growth. 
Turning to fourth quarter operating expense and adjusted EBITDA on Slide 11. Total operating expense grew by $89 million or 5.9% year-over-year with transition OpEx accounting for $22 million of our total OpEx this Quarter. These type of cost will eventually become integration cost postclosing. 
Excluding transition, total expenses grew by 5.3%. And on a full year basis, again, excluding transition, our expense base grew by $372 million year-over-year, that compares to $433 million in 2014. So if you step back, we're more burning more dollars of revenue with less dollars of expense growth. 
Back to fourth quarter expenses. Programming expenses grew by $49 million accounting for about half of the year-over-year increase in total operating expense. The 7.9% increase in fourth quarter programming was driven by contractual rate increases, growth in our expanded video customer base over the last year, higher penetration of our peers and the launch of new channels, including the Dodgers. 
Cost-to-service customers, which includes field operations, customer care and network operating costs was flat year-over-year despite residential and SMB customer relationship growth of 5.6%. We continue to get more efficient with lower service transaction volumes. 
Other costs grew by $28 million or about 15% year-over-year, and that's driven by some additional corporate administrative labor expense, which includes the insourcing of IT and software development resources and enterprise, as well as property taxes on previous CapEx and higher casualty claims due to more insource employee base. 
Excluding transition-related expenses, the fourth quarter adjusted EBITDA grew by 8.4% year-over-year, which exceeds our revenue growth. Keep in mind that fourth quarter 2014 also benefited from political advertising. 
Moving to Slide 13. Fourth quarter capital expenditures totaled $548 million with $49 million related to M&A transactions spend for the activities Tom covered. This platform investments began with the Comcast transactions and have provided us a head start to provide a uniform product and service package to TWC and Bright House customers postclosing. Excluding all-digital and transition CapEx in both periods, the fourth quarter CapEx was up by just over $24 million or 5%. That's driven primarily by investments in product development and timing. 
For the full year 2015 and when excluding transition CapEx, our CapEx totaled $1.725 billion as expected. In 2016, excluding the impact of transition CapEx and acquisitions, we expect CapEx as a percentage of revenue to continue to decline year-over-year for Charter on a stand-alone basis. 
Fourth quarter free cash flow totaled $80 million, just below last year's level and the modest decline was driven by the impact of transition OpEx, CapEx and a largest and the most obvious one is being the interest related to our acquisition financing. For the full year, our reported free cash flow grew to approximately $550 million, up from $170 million last year with adjusted EBITDA up, CapEx down, a positive working capital contribution, offset by transaction and transition cost. As Tom mentioned, excluding the impact of our transactions specifically in -- for the full year, $72 million to operating expense, $115 million of CapEx, $260 million of cash interest and $70 million of transaction costs and other expenses, our 2015 full year free cash flow adjusted for the transaction spend was over $1 billion and over $9 per share. 
At of December 31, our leverage ratio was 4.1x on an LTM basis. So we've reached the low end of our leverage range of 4 to 4.5x. In November, we issued $2.5 million of high-yield notes to help finance our proposed transaction with TWC. And that placement, combined with the $19.3 billion of financings that we completed in July and August, totals to $21.8 billion of debt that we have in escrow on the balance sheet to finance our transactions. 
So we've fully placed all the financing for our transactions in the debt markets assuming that TWC shareholders are left $100 cash option. At close, we still expect to be levered at about 4.5x or lower. And that 4.5x leverage is based on the new Charter's 2015 estimated adjusted EBITDA and also includes $500 million of year 1 synergies. 
Similar to Charter today, new Charter will be in a position to mechanically delever through adjusted EBITDA and cash flow growth. Our target leverage for new Charter will remain 4 to 4.5x, but we will look to manage our leverage to the lower end of that range and we're committed to maintaining an investment-grade index rating at a secured level with first lien leverage under 3.5x. To the extent that the $115 cash election were chosen by TWC shareholders, we also have a $4.3 billion high yield bridge in place to cover our needs. 
I should mention this morning, we launched $1.5 billion, 144A offering and proceeds of which we intend to retain until the TWC shareholder election in closing. 
Turning to our tax assets on Slide 15. At the end of the day, we had $8 billion of tax basis in our assets and $11.3 billion in NOLs, for a total of $19.3 billion in tax assets, about $700 million more than we had at the end of 2014. The year-over-year increase in the total tax assets was primarily driven by our previously disclosed partnership liquidation that we executed in the third quarter. 
Some of our tax base has also moved over to the NOL buckets in the course of 2015 given regular depreciation and amortization, utilization of bonus depreciation, and accelerated tax benefits related to new tangible property regulations. The net present value of those tax assets are worth well over $3 billion today. With the combined tax assets, new Charter will be worth over $6 billion in NPV, the reasons we've highlighted previously. We don't expect new Charter to be a significant cash tax payer until 2018. And even then, at a significantly reduced cash tax rate for several years. 
Operator, we're ready for questions now."
19609,321967546,926535,"Charter Communications, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Charter Communications, Inc.","Operator","[Operator Instructions] And your first question comes from the line of John Hodulik with UBS. Marci Ryvicker with Wells Fargo.",20,"[Operator Instructions] And your first question comes from the line of John Hodulik with UBS. 
Marci Ryvicker with Wells Fargo."
19609,321967546,926535,"Charter Communications, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Charter Communications, Inc.","Analysts","Tom, you mentioned pricing being flat in '16 versus '15 but then Chris you said there were modest increases in '15 over '14. So just want to which are that we heard this right, any rate increases across your products in '16? That's the first question. And",80,"Tom, you mentioned pricing being flat in '16 versus '15 but then Chris you said there were modest increases in '15 over '14. So just want to which are that we heard this right, any rate increases across your products in '16? That's the first question. And then, Chris, you gave us CapEx sort of a light guide for '16. Anything on programming cost you can tell us either to be aware where seasonally by quarter or a growth rate?"
19609,321967546,926535,"Charter Communications, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Charter Communications, Inc.","Executives","Marci, there are no material rate increases in 2016 plan.",10,"Marci, there are no material rate increases in 2016 plan."
19609,321967546,926535,"Charter Communications, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Charter Communications, Inc.","Analysts","And that's been consistent, correct?",6,"And that's been consistent, correct?"
19609,321967546,926535,"Charter Communications, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Charter Communications, Inc.","Executives","Yes. Yes. On programming costs, we don't typically give guidance. We're not going to do today. But I think what I would say is that at the back half of last year you saw continued high amount of programming cost increase but at that lower rate than it had",87,"Yes. Yes. On programming costs, we don't typically give guidance. We're not going to do today. But I think what I would say is that at the back half of last year you saw continued high amount of programming cost increase but at that lower rate than it had been. And that's kind of where we are today. So yes, for Charter, on a stand-alone basis, of course, that's not where we intend to be. And we're in that range that you're seeing in the financials today."
19609,321967546,926535,"Charter Communications, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","Charter Communications, Inc.","Analysts","Okay. And then I have one follow-up on the results. I'm assuming this is due to better churn that's kind have been consistent for us what we heard from Time Warner Cable and Comcast. Any comment on churn versus the gross adds?",42,"Okay. And then I have one follow-up on the results. I'm assuming this is due to better churn that's kind have been consistent for us what we heard from Time Warner Cable and Comcast. Any comment on churn versus the gross adds?"
