"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
1683286,322182565,934622,"Cimarex Energy Co., Q4 2015 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","Cimarex Energy Co.","Operator","Good day, and welcome to the Cimarex Energy Fourth Quarter and Full Year Earnings Conference Call. [Operator Instructions] Please note this event is being recorded. I would now like to turn the conference over to Ms. Karen Acierno. Please go ahead.",41,"Good day, and welcome to the Cimarex Energy Fourth Quarter and Full Year Earnings Conference Call. [Operator Instructions] Please note this event is being recorded. I would now like to turn the conference over to Ms. Karen Acierno. Please go ahead."
1683286,322182565,934622,"Cimarex Energy Co., Q4 2015 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","Cimarex Energy Co.","Executives","Thank you, and good morning, everyone, and welcome to our fourth quarter and full year conference call. In addition to last year's results, today, we will be discussing our 2016 capital plans, which were released separately yesterday afternoon. An updated",179,"Thank you, and good morning, everyone, and welcome to our fourth quarter and full year conference call. In addition to last year's results, today, we will be discussing our 2016 capital plans, which were released separately yesterday afternoon. An updated presentation has been posted to our website. We will be referring to this presentation during the call today. 
As a reminder, our discussion will contain forward-looking statements. A number of actions could cause actual results to differ materially from what we discussed. You should read our disclosures on forward-looking statements in our latest 10-K and other filings and news releases for the risk factors associated with our business. 
So today's prepared remarks will begin with an overview from our CEO, Tom Jorden, followed by an update on our drilling activities in the Gulf from John Lambuth, Senior VP of Exploration; and then Joe Albi, our COO, will update you on our operations, including production and well cost. Cimarex CFO, Mark Burford, is also present to help answer any questions. 
So with that, I'll turn the call over to Tom."
1683286,322182565,934622,"Cimarex Energy Co., Q4 2015 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","Cimarex Energy Co.","Executives","Thank you, Karen, and thanks to everyone who's participating in today's conference. We sincerely appreciate your interest and look forward to your questions during the question-and-answer portion of the call. On the call today, John will give a rundown of",1003,"Thank you, Karen, and thanks to everyone who's participating in today's conference. We sincerely appreciate your interest and look forward to your questions during the question-and-answer portion of the call. On the call today, John will give a rundown of our recent results and update you on some of the delineation that we have underway in 2016. Joe will provide an operational overview. 
I'd like to give up the call with some overview remarks in our direction in 2016 and beyond. During 2015, we put a lot of energy into long-range planning, and we developed capabilities for running detailed iterations on current and future years CapEx, cash flow and balance sheet configuration. We scrubbed our assets and developed net asset value models that help us to fully understand our outside and plan accordingly. Today, we're making decisions for 2016 with a close eye on 2017, 2018 and beyond. Cimarex is better positioned for the future by slowing down a bit, preserving our cash and assets and living within our means. Our focus is on preservation of our assets and balance sheet. We don't have any special insight on when or how commodity prices will recover. We do know that we will probably be as surprised by the recovery as we were by the collapse. When prices recover, Cimarex will be ready and will be stronger and healthier as ever. We have never been more bullish on our assets, our inventory and our organizational capability. Our Delaware Basin and Meramec Woodford assets are top tier. We continue to be pleased with our well results and associated returns on investment. On the call today, you'll hear updates on our Wolfcamp spacing pilots and the implications for future development. We continue to be extremely pleased with our Wolfcamp well performance and have room to run in achieving further performance improvements. You will hear an update on the Meramec Woodford spacing pilots that is underway in Cana. We're testing a combined 19 wells per section in the Meramec and Woodford. The Meramec continues to surprise to the upside. We're currently flowing back Woodford spacing pilots that are testing 10 and 12 Woodford wells per section. Results are very encouraging. Furthermore, our improved Woodford results are showing remarkable consistency across the Cana core. In both the Delaware and Woolford Meramec, long horizontal wells are an increasingly important part of our story, and our assets are well configured to allow for them. We have a manageable lease exploration issue, and we will preserve all of our prime acreage. 
In spite of the downturn of activity, we're emphasizing our core strengths and idea generation and innovation. Our teams are hard at work developing new plays and new concepts. During the downturn of 2009, our activity level dropped from 43 operated rigs to 3. At that time, we challenged the organization to be innovative, creative and to find ways to make a living in spite of the downturn. We were not victims. During 2008, we developed plays that were going to carry us on ensuing years and are still among our core programs today. In 2016, our challenge to organization is to do it again. We are built for these times, however difficult they may be. We will make the tough decisions around capital investments and activity level. We will remain disciplined and preserve our assets and the deep inventory that is our future. We will also seek to build new things and to take advantage of this downturn. No one is hanging their head at Cimarex. We are hard at work to control our own destiny. 
I recently heard a CEO describe some advice that one of his board members have given them. The board member was a retired military officer who told the CEO that he had always told his troops that, ""When the map doesn't match the terrain, go with the terrain."" Here at Cimarex, we're going with the terrain. During 2015, we increased our rig count to a high of 12 rigs, with an original plan to keep 12 operated rigs throughout 2016. As the year wore and the commodity outlook continued to worsen, we determined that a 12-rig program was no longer prudent. Although we have the inventory to justify the higher activity level at current prices, we've decided to slow down and preserve our cash on hand. Production growth will have to take a backseat to flexibility and balance sheet preservation. Our focus is on a multiyear outlook. We currently have 11 operated rigs running and will be decreasing our rig count to 4 rigs in the coming months. Our 2016 program is designed to preserve our assets on leasehold and finish up delineation and spacing pilots are underway. We plan to invest between $600 million and $650 million in exploration and development. The range of investment is driven by timing of completions in one of the projects currently underway, the Woodford infill well in the eastern core of Cana. Whatever we do not spend in 2016 will be pushed into early 2017. We will also continue to delineate the Meramec drill spacing test in the Wolfcamp in the Delaware Basin and hold leasehold. In the fourth quarter of 2015, we were impacted by severe weather events and took direct hits at both the Western Delaware Basin and in our core Cana field. Furthermore, a planned outage in Delaware Basin added to our problems. I cannot overstate how pleased we were with the response to these events by our organization. Although they had a significant impact on our production volumes, our teams worked valiantly and safely in an extremely hostile conditions in order to restore our production and find creative workarounds to market interruptions. These extraordinary actions don't always evidence themselves in top line reported production numbers, but they humble us and make us deeply proud to be part of an organization that is so dedicated and focused. 
With that, I will turn the call over to John to provide further details on our program."
1683286,322182565,934622,"Cimarex Energy Co., Q4 2015 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","Cimarex Energy Co.","Executives","Thanks, Tom. I'll start with a quick recap of our drilling activity in the quarter before getting into some of the specifics of our latest results and more color on our 2016 plans. Cimarex invested $191 million during the fourth quarter on exploration and",1038,"Thanks, Tom. I'll start with a quick recap of our drilling activity in the quarter before getting into some of the specifics of our latest results and more color on our 2016 plans. Cimarex invested $191 million during the fourth quarter on exploration and development. This brought the total to $877 million for the full year. About 55% was invested in the Permian region with the rest going toward activities in the Mid-Continent region. Company-wide, we brought 65 gross, 28 net wells on production during the quarter, which brought the total for 2015 to 219 gross, 99 net wells. 
Cimarex continues to push the envelope on well completions. In the Permian, we completed 2 upper Wolfcamp wells in the fourth quarter using a larger stimulation. As you can see on Slide 14 of our presentation, these wells have seen a 34% higher cumulative production in the first 120 days versus the previous upper Wolfcamp wells. In fact, in one of the wells, [indiscernible] 38 unit #1-H had an average 30-day peak production rate of 2,020 barrels of oil equivalent per day, of which 51% was gas, 30 -- excuse me, 51% oil, 30% gas and 19% NGL. A record IP from a 7,500-foot Upper Wolfcamp lateral in Culberson County. 
As discussed previously, we started downspacing pilot in the upper Wolfcamp and Culberson County in the fourth quarter. Drilling on these wells will finish this month with completion scheduled to begin in April. First production is expected by the end of May. This fixed well, 7,500-foot lateral pilot will test 2 different spacing designs. One testing 8 wells per section, while the other will test 6 wells per section. Both will be drilled in a staggered pattern. The larger completion I just discussed will be used on this pilot. 
For the rest of 2016, the vast majority of the capital that we will spend in the Permian will be earmarked for acreage obligations across our Wolfcamp position in both Culberson and Reeves County. Part of this obligation drilling will include 6, 2-mile-long infield wells in Reeves County. These infill wells are located next to a our temper well, the best Wolfcamp well we drilled in rescanning. Similar to our Anaconda pilot, these wells will be drilled using a back staggered pattern, resulting in equivalent of 12 wells per section. We currently have 6 rigs running in the Permian, with one of them drilling a saltwater disposal well in Culberson County. By June, we will be down to 2 rigs for the remainder of the year. 
Now onto the Mid-Continent. You will recall that we began drilling on the Cana Woodford row 4 infill development program in the fourth quarter of 2014. Completion from the 7 sections are now finished and all 57 gross wells are producing. Cimarex operated 2 of these sections. Typical development in the Woodford calls for 8 new wells in addition to the parent well on a section. The [indiscernible] section was infield with 9 additional wells, while the Philip section was infilled with 11 new well. For the [indiscernible] section, the average 30-day peak production [indiscernible] was 9.1 million cubic feet equivalent per day, 61% gas, 8% oil, 31% NGL. And the Philips wells produce an average 30-day peak rate of 9.3 million cubic feet equivalent per day, 54% gas, 13% oil, 33% NGL. As you can see on Slide 20 of our presentation, these increased density infill sections are performing very similar to previously infill Woodford section with only 8 new wells. A very encouraging results for us. 
In the fourth quarter 2015, we commenced drilling another Woodford infill well in the East side of the core. This development covers 6 sections, of which Cimarex again operates 2 sections. The entire infill project consists of 50 gross, 23 net wells. Depending on the timing of completions, something that will be worked out with our partner, production from this Cana development is expected to come on line as early as October or perhaps as late as the first quarter of 2017. 
In our emerging Meramec play, we now have production data on 17 operated 5,000-foot laterals. In addition, our second 10,000-foot lateral in the Meramec has been on production since early October. This well, called the vessels 1H-3526x have a 30-day peak IP rate of 14 million cubic feet equivalent per day, including 791 barrels of oil per day. Page 1 and 2 [ph] of the presentation illustrates the average uplift we've seen from the 2 long laterals versus the 5,000-foot laterals drilled to date. They have outperformed the shorter laterals by 69% within 120 days. While we are very encouraged by the initial uplift in IP that we're seeing in these 10,000-foot laterals, we will be carefully monitoring the decline profile in order to determine the ultimate EURs for these long lateral wells. 
To better understand the multizone potential for this area, we have designed a downspacing pilot with commenced drilling in the fourth quarter 2015. See Slide 23 for an illustration of this design. Due to the commodity price environment, this pilot has been downsized, and will now consist of 8 new wells to be stacked and staggered in both the Meramec and Woodford formations. The spacing of the Meramec will be the equivalent of 10 wells per section made up of 5 upper and 5 lower staggered Meramec wells. The Woodford will be drilled with our standard 9 wells per section development plan. Drilling should be finished by mid-April with first production expected late in the second quarter. Once Drilling is finished on the pilot and infill sections, we will be focused on holding our Meramec acreage. Since late 2014, we've added 12,250 net acres in the Meramec at an average cost of $1,650 per acre. We'll need to drill approximately 40 to 45 wells over the next 3 years in order to HPV our position. In 2016, we will drill 12 operated wells to hold this acreage position, with 10 of the 12 wells being 10,000-foot laterals. We currently have 5 rigs operating in the Mid-Continent region, with plans to go down to 1 rig by July of this year. 
with that, I'll turn the call over to the Joe Albi."
1683286,322182565,934622,"Cimarex Energy Co., Q4 2015 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","Cimarex Energy Co.","Executives","Well, thank you, John, and thank you all for joining us on our call today. I'll touch on the usual items, our fourth quarter production, our Q1 and full year 2016 production outlook and then I'll finish with a few comments on LOE and service cost. Our f",1498,"Well, thank you, John, and thank you all for joining us on our call today. I'll touch on the usual items, our fourth quarter production, our Q1 and full year 2016 production outlook and then I'll finish with a few comments on LOE and service cost. 
Our fourth quarter total company net equivalent production came in at 985.7 million a day, up 4% from the 949.5 million a day that we posted in Q4 '14 and within our guidance of 0.98 to 1.01 Bcfe per day. Late in the quarter, as Tom mentioned, winter weather and facility disruptions negatively impacted our production by approximately 30 million cubic feet a day equivalent, with the majority of that occurring in the Permian. Late December winter storms caused significant downtime in not only the Delaware Basin, but also impacted our Cana production as well, albeit to a lesser degree. When we adjust for the estimated impact of the weather and the facility downtime, we would have exceeded the upper end of our guidance by more than 5 million a day. With Q4 now on the books, our full year 2015 equivalent production came in at 985 million a day. That's up 13% over 2014 average of 869 million a day. During Q4, our Permian equivalent production averaged 520 million a day. That's down 42 million a day from Q3 '15. But as I mentioned, a significant portion of the decrease was a result of not only the -- was a result of the weather and facility downtime, but we also completed fewer Permian wells during the latter half of the year than we did in the first half as we've talked about in our previous call. As expected, with our Cana row 4 wells coming online, we saw a very nice bump in our Q4 Mid-Continent production, with our Mid-Continent volumes coming in at 461 million a day. That's up 14% or 56 million a day from the 405 million a day that we reported just prior in Q3. For 2016, with a number of moving parts, the most sensitive of which is the timing of our 2016 completions, we've issued full year total company equivalent production guidance of 890 million to 930 million equivalents today. With our focus on preserving our assets and protecting our balance sheet and the low price environment we're in, we've opted to slow down and more consistently spread out or completion activity throughout the year. As John mentioned, we also find ourselves needing to coordinate the timing of our Cana Woodford completion activity with the completion timing of our offset operator. As a result, there is considerable variability in the inventory of uncompleted wells that we will have on the books at the end of the year. As we best can project at this time, we anticipate and we've modeled that our Cana infill frac-ing operations will begin in late the third -- late third to fourth quarter and continue into 2017 with first production from the project not hitting our books until early 2017. This program represents a lion's share of our 2016 Mid-Continent activity, consisting of 50 gross and 23 net wells. With our current modeling, we expect to see first production from approximately 50 gross or 16 net Mid-Continent wells during '16, and that's down from 134 gross or 39 net wells that we completed in 2015. With the anticipated Cana infill completion delay, we expect to next year the 57 gross or 24 net wells awaiting completion, hence, moving associated production from those wells into early 2017. 
In the Permian, we also planned for a slower place of completion activity, which will likely only require to utilize just 1 completion crew the majority of the year. We are forecasting approximately 31 net Permian wells to come online in 2016. That's down about half of the 60 net wells that we completed in 2015. As we progress through the year, we project the number of Permian drilled and uncompleted wells to increase to approximately 18 net wells by midyear and then drop off to just 6 net wells by the end of the year, primarily a result of dropping to the 2 [ph] rigs that John mentioned in the Permian in the middle of the year. 
I want to take a moment to make a special point that a quick glance at our 2016 full year guidance could very easily imply a decline in our 2016 exit rate. What's not so easy to see is the forecast of production increase associated with the delayed Cana infill programs back-to-back completion activity in early 2017, which, along with a handful of carryover permit completions, is forecasted to bring our total company production back up to Q4 '15 levels by as early as Q2 '17. It's all about the timing of our completions. 
As far as our Q1 total company production is concerned, incorporating anticipated Permian pipeline and facility curtailments of about 30 million a day for the first quarter, our projected guidance for Q1 comes in at 925 million to 955 million a day. 
Jumping over to CapEx. With our production groups continued focus on trimming operating costs, our Q4 lifting cost came in at $0.85 per Mcfe. That's in line with our guidance of $0.77 to $0.87 and was down 19% from the $1.05 that we posted in Q4 '14. For the year, our 2015 lifting cost came in at $0.83 per Mcfe. That's down a respectable 23% from our 2014 average of $1.08. As we look forward into 2016, our full year lifting cost guidance range of $0.80 and $0.90 per Mcfe takes into account our regional forecasts of production mix as well as a variable nature of work expenses. 
You may have also noted that our Q4 '15 transportation and processing expense came in at $0.58. So it's slightly above our guidance range of $0.45 to $0.55. As I mentioned, our current production modeling forecast a slowdown in our completion activity during the year, which resulted in a onetime accrual of approximately $8 million for anticipated minimum volume agreement shortfalls, which increased our reported cost on a nonrecurring basis by approximately $0.09 per Mcfe. 
We've made great strides cutting our LOE, and we'll continue our efforts to reduce them further. As we mentioned last call, important by-product of our LOE reductions is the additional funding we're providing our drilling program. Our Q4 '15 average monthly LOE came in at $25.7 million a month. And that's $5 million below our Q4 '14 average of $30.7 million a month. But if we average over 12-month time period, has freed up nearly $60 million of the direct to our drawing program. 
A few comments on our drilling and completion cost. Although we continue to push hard for further cost relief, any cost reductions we've seen have been small, single-digit reductions and modest in nature. That said, we continue our focus on operating efficiencies. On the drilling side, we hydrated the rigs, we're bidding out each and every service. We're consolidating our equipment and resources everywhere we can, all the while we're staying focused on reducing drilling days. On the completion side, we're focused on optimizing the cost of water sourcing by more efficient frac-ing our wells, in particular, when we're completing multi-well pads. The bottom line is that while we continue to experience -- experiment with various frac designs, our generic well [indiscernible] has remained relatively flat. Our current Cana core 1 mile lateral Woodford [indiscernible] continues to run in the range of 6.6 million to 7 million. That's unchanged from the last call. While at the Meramec, our current 1-mile lateral AFB is also -- is in the range of $7 million to $7.4 million. That's also unchanged from last quarter. In the Permian, as we've mentioned last call, we've made great progress with our drilling efficiencies, cutting our Wolfcamp 2-mile laterals rig release times down 20% from 35 days in 2014 to 28 days in 2015, with a record of 20.5 days. We're accomplishing similar drill time reductions at our 1-mile lateral Bone Spring and Avalon program as well, cutting average days from spud-to-rig release 35% from 23 days in '14 to just '15 in Q4 '15. We continue to get more done with fewer rigs. 
And with all that, our current 2-mile lateral Wolfcamp AFE is running $10.8 million to $11.6 million. That's flat again to the figures we quoted last call. 
So in closing, we had another great quarter. We fought a significant Q4 downstream weather -- downtime to stay within guidance and provide us with a strong springboard for production into 2016. We posted solid year-over-year production gains over 2014. We've made significant strides cutting our LOE, our drilling group stays focused in cost reductions and efficiencies. And as an organization, we remain vigilant to keep our cost and check, protect our assets and optimize our investment program results. 
So with that, I'll turn the call over to question-and-answer."
1683286,322182565,934622,"Cimarex Energy Co., Q4 2015 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","Cimarex Energy Co.","Operator","[Operator Instructions] And our first question will come from Dan Guffey of Stifel.",13,"[Operator Instructions] And our first question will come from Dan Guffey of Stifel."
1683286,322182565,934622,"Cimarex Energy Co., Q4 2015 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","Cimarex Energy Co.","Analysts","Sorry about that. In the past, you guys have conveyed budgetary snapshot of the current environment, and the company does remain flexible. I guess, key question here is, at what price would you want to bring rigs back, obviously, the extreme volatility in",78,"Sorry about that. In the past, you guys have conveyed budgetary snapshot of the current environment, and the company does remain flexible. I guess, key question here is, at what price would you want to bring rigs back, obviously, the extreme volatility in crude, it may make that decision a little more cumbersome? But just curious when you think you would add rigs back and see if you do have some the lowest cost reduction throughout the U.S."
1683286,322182565,934622,"Cimarex Energy Co., Q4 2015 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","Cimarex Energy Co.","Executives","That's a great question. Mark, I'm going to bounce pass that question to you. [indiscernible] it's hard to make a definitive statement, but I will say this, though, before Mark comments, remain highly flexible. And if we see daylight, we're going to run f",90,"That's a great question. Mark, I'm going to bounce pass that question to you. [indiscernible] it's hard to make a definitive statement, but I will say this, though, before Mark comments, remain highly flexible. And if we see daylight, we're going to run for it. Obviously, in building a company and preserving a balance sheet, you can have all kinds of optimism, but you can't run a company on that optimism to the extent that you're not preserving your balance sheet. But Mark, you know how to answer that."
1683286,322182565,934622,"Cimarex Energy Co., Q4 2015 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","Cimarex Energy Co.","Executives","Then, [indiscernible] the 2 primary concerns we have right now watching returning our investments getting at a rate return [indiscernible] biggest concern for was preserving our balance sheet. So we have cash [indiscernible] that will support our larger p",129,"Then, [indiscernible] the 2 primary concerns we have right now watching returning our investments getting at a rate return [indiscernible] biggest concern for was preserving our balance sheet. So we have cash [indiscernible] that will support our larger program, which we're trying to constrain our investment to make sure preserving very some balance sheet, preserve our cash position and the way to do this. I think [indiscernible] price environment [indiscernible] around $45 to $50, you see us having casual supporting a larger program. But in a low $30 environment we find yourselves in, that's we're where constraining our [indiscernible] to the extent that we are. It probably have to be some clarity [indiscernible] in our $45 to $50 [ph] [indiscernible] to make some upward adjustments in our investment page."
1683286,322182565,934622,"Cimarex Energy Co., Q4 2015 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","Cimarex Energy Co.","Analysts","Okay. I guess, are there any limiting factors in terms of how quickly you could add whether that be personal or infrastructure? And then I guess, what area would your first incremental rigs target should we get to that $40 to $50 environment?",43,"Okay. I guess, are there any limiting factors in terms of how quickly you could add whether that be personal or infrastructure? And then I guess, what area would your first incremental rigs target should we get to that $40 to $50 environment?"
