"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
26524,322182531,921859,"Citrix Systems, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Citrix Systems, Inc.","Operator","Good afternoon. My name is Kyle, and I'll be your conference facilitator today. At this time, I'd like to welcome everyone to the Citrix Systems Fourth Quarter 2015 Financial Results Conference Call. [Operator Instructions] Thank you. I'd now like to intr",55,"Good afternoon. My name is Kyle, and I'll be your conference facilitator today. At this time, I'd like to welcome everyone to the Citrix Systems Fourth Quarter 2015 Financial Results Conference Call. [Operator Instructions] Thank you. I'd now like to introduce Mr. Eduardo Fleites, Vice President of Investor Relations. Sir, you may begin your conference."
26524,322182531,921859,"Citrix Systems, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Citrix Systems, Inc.","Executives","Thank you, Kyle. Good afternoon, everyone, and thank you for joining us for today's Fourth Quarter and Fiscal Year 2015 Earnings Presentation. Participating on the call will be Bob Calderoni, Executive Chairman; President and Chief Executive Officer; and",246,"Thank you, Kyle. Good afternoon, everyone, and thank you for joining us for today's Fourth Quarter and Fiscal Year 2015 Earnings Presentation. Participating on the call will be Bob Calderoni, Executive Chairman; President and Chief Executive Officer; and David Henshall, Chief Operating Officer and Chief Financial Officer. This call is being webcast on Citrix Systems Investor Relations website. The webcast will be posted immediately following the call.
Before we begin, I want to state that we have posted product specification and historical revenue trends related to our product groupings to our Investor Relations website. I'd like to remind you that today's conversation will contain forward-looking statements made under the Safe Harbor provision of the U.S. securities law. These statements are based on current expectations and assumptions that are subject to risks and uncertainties. Obviously, these risks could cause actual results to differ from those anticipated. Additional information concerning these and other factors is highlighted in today's press release and in the company's filings with the SEC. Copies are available from the SEC or on the company's Investor Relations website.
Furthermore, we will discuss various non-GAAP financial measures as defined by SEC's Reg G. A reconciliation of the differences between GAAP and non-GAAP financial measures discussed on today's call can be found at the end of today's press release and on the Investor Relations page of our website. Now I'd like to turn it over to David Henschel, our Chief Operating Officer and Chief Financial Officer. David?"
26524,322182531,921859,"Citrix Systems, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Citrix Systems, Inc.","Executives","Thank you, Eduardo, and welcome to everyone joining us today. We're making great progress on the operational initiatives that we launched last year. At a high level, the most important activity has really been simplifying our strategic focus, driving both",1453,"Thank you, Eduardo, and welcome to everyone joining us today. We're making great progress on the operational initiatives that we launched last year. At a high level, the most important activity has really been simplifying our strategic focus, driving both portfolio optimization and clarity in terms of what's most important to the company, our partners and our customers. 
Our results for Q4 reflect the progress the team has made in absorbing and adjusting to these initiatives cost structure work, work and leadership evolution and changes to our field in general strategy. We'll continue to focus our energy towards our core strategy to secure delivery of apps and data, really setting the company up for even better results of efficiency and growth as we look forward. As you saw from the release today, total revenue was up 6% year-on-year in Q4 with product license up 5%. Adjusted operating margins jump to 32%, adjusted EPS was $1.66 share, up 50%, and we generated $282 million in cash flow from ops. In total, we closed 86 $1-million-plus transactions across products and services. The Americas region booked the majority of these with 60 and EMEA had 23. 
There's a couple of points that are worth noting in that the average value of these large deals increased significantly year-on-year in both the U.S. and EMEA. And at a product level, I think, we saw a really good balance across the portfolio. Roughly 1/3 were made up of virtualization and mobile products, 1/3 from networking, 20% from the full Workspace Suite and the remainder coming from subscription and services. The combination of these large transactions plus strong renewals and other businesses and the ongoing migration to higher value maintenance offerings boosted total deferred revenue by $154 million sequentially. On an annual basis, short-term deferred is up 4%, while multi-year is up 16%. 
From a geo perspective, when you exclude the SaaS businesses, the Americas was really the big driver in the quarter with revenue up 11%. EMEA was flat but results in APAC declined by 13% year-on-year. Since our restructuring last year occurred earlier in the U.S. versus the other geos, the U.S. teams have had much more time to stabilize and adopt to the new structure, really a key contributor in performance in Q4. 
Next, let's take a look at the Q4 results within our 3 primary businesses. Our Workspace Services business grew 4% year-on-year to $352 million, including license growth of 1%, continuing the steady improvement and results we've seen over the past 5 quarters. Really more than any other of our businesses, Workspace Services should benefit the work we're doing to simplify focus and strategy and as we've reviewed before, there's a number of very specific initiatives that we're driving to accelerate growth in this area through innovation, virtualization and the aggregation of our unique assets. We've built the market-leading products that allows the secure delivery of the world's most important applications, including Windows, Web, mobile and customer line of business apps. Plus, we built the integrations in your enterprise file sharing and networking solutions that together creates really a powerful mobility system for our customers, as well as market differentiation. 
In the quarter of the Workspace Suite, which is our comprehensive solution for app and data delivery, contributed nearly 20% of license revenue for this group and this compares to just 9% a year ago. Additionally, we continue to grow our CSP business where partners primarily utilize XenApp to deliver subscription-based offerings to their customers. This quarter's CSP revenue grew over 30% year-on-year and closed the full year at just over $55 million of total recognized revenue. So we're delivering a complete mobility solution, allowing customers of all sizes to bridge between the worlds of Windows and mobility, on-premise or service-based, and we do it really all with the customers-centric experience that only Citrix can provide. 
Next, looking at the Delivery Networking, total revenue increased 13% in the quarter to $220  including license growth of 10%. The strength in this business was driven by NetScaler. Offsetting this was a significant decline by mobile business as we transition away from that product line. But focusing on NetScaler, it's important to remind everybody that the business here is essentially made up of 3 segments: the tax sales, enterprise ADC and strategic service providers. Tax sales, where customers are purchasing networking and Workspace Services together as part of a larger Citrix solution, represented about 20% of the NetScaler mix in Q4. There were over 800 of these transactions and this compares with just 700 a year ago. Enterprise ADC was about 1/3 of the mix growing modestly and of the service provider segment contributed more than 40% of license and similar to what we discussed in Q3, we saw strong demand across the main major service cloud providers. All in, we sold over 2,500 unique customers in the period with 36% being new customers. 
Finally, in our SaaS-based solutions, we delivered revenue of $194 million, up 15% in the quarter. The Communications Cloud remains the largest part of this business contributing over 60% of the mix and growing about 19% year-on-year. In the workflow area, our data platform, ShareFile, was up nearly 30% in subscription-based revenue with the majority of this growth coming across regulated verticals. Our focus on improving retention rates of our active user base has really helped Net New Business increase significantly year-over-year. This has been driven by changes across products, packaging, as well as customer organization. Back in November, we announced the intention to spend our GoTo family of products in the second half of this year. And say that these plans remain well on track and on the coming quarters real provide much more visibility into this business, as well as into the ShareFile business that will remain part of Citrix going forward. 
So turning to operations. We have delivered a rapid increase in margins over the past few quarters, really despite funding incremental investments in our higher growth businesses. As we discussed last year, we built detailed restructuring plans across the company with the intent these would generate permanent expense reductions, allow the company to execute more efficiently with fewer moving parts and prepare for greater scalability in the future. 
In November, we announced headcount actions primarily targeting noncore areas in order to minimize impact on our ability to service customers and drive revenue. Generally speaking, I'd say we broke these notifications down into 2 events: the first one occurred in mid-November and the second one concluded in early January. I would point out that many of these roles have transitioned elements to them so that expense realization will be phased in throughout the year. 
In Q4, we posted 32% adjusted op margin. This is up nearly 600 basis points from last year. This is actually the highest margin of any quarter over the last 10 years. For the full year, we delivered 26% as compared to just 22% in 2014, well ahead of our original guidance the beginning of the year. And currently, I'd say, I think, we're well on our way to achieving the 30%-plus goal that we laid out for fiscal '17. This focus on leverage has also helped increase cash flow from operations, which was $282 million in Q4 and over $1 billion for the full year and this clearly a record for the company. When you translate this, it's about $6.45 a share for all of 2015. 
And finally, remained active with our buyback program last quarter. We repurchased 4.3 million shares and this increases the total for the full year to over 11 million shares. We also announced today that the board has authorized an additional $400 million to fund our ongoing program. So before I wrap up, let me talk about our current outlook and expectations for Q1 '16 and for the full year. Our operational programs are clearly working and say we're very happy with the results so far, and we're confident in our plans for the balance of the year. At the same time, we want to remain mindful of any potential disruptions that can occur really with any restructuring. So with that, we intend to remain conservative across many of our assumptions but we will be increasing our current expectations. For Q1 '16, we expect revenue in a range of $785 million to $790 million, and adjusted EPS between $0.91 and $0.93 a share. For fiscal '16, revenue between $3.31 billion and $3.32 billion, and adjusted EPS of $4.65 to $4.75 per share. And as a reminder, this guidance represents all businesses, including GoTo. So now I'd like to turn it over to Bob to give further color on the quarter. Bob?"
26524,322182531,921859,"Citrix Systems, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Citrix Systems, Inc.","Executives","Thank you, David. I'm very excited to have the opportunity to speak with you today for a host of reasons. First, I want to provide more context around the solid results that David just shared. Next, I want to give you an update on the progress we've been",1416,"Thank you, David. I'm very excited to have the opportunity to speak with you today for a host of reasons. First, I want to provide more context around the solid results that David just shared. Next, I want to give you an update on the progress we've been making to refocus our strategy and execute on the ongoing operating initiatives we outlined in November. And last but certainly not least, I want to share my excitement and introduce you to Citrix's new President and Chief Executive Officer. 
So let's get started. First, needless to say, I'm very pleased with the performance this quarter on both the top line and the bottom line. On the top line, the performance was impressive in and of itself, and even more so when you consider that we were implementing a number of restructuring activities in the sales organization during the fourth quarter. Carlos Sartorius and his team demonstrated is that it's possible to restructure the organization, and keep focus on execution, not only delivering on our expectations, but far exceeding with the beat of more than $25 million with most of that upside coming from product and license revenues. 
After a few consecutive quarters of declining license revenue, we posted solid gains on both Q3 and Q4. As David pointed out, we had good performance once again and our NetScaler's strategic service provider segment. However, it's also important to point out that performance continues to improve in Workspace Services as well where we saw a positive license revenue growth for the first time in a while, which is even more encouraging when you consider the mix shift towards more subscription and term-based licenses. I believe this is a function of improving execution and also, the early benefits of our renewed focus on secure apps and data delivery, which has received excellent feedback from our employees, partners and customers alike. This focus allows us to put all of our energy and resources into what is most important to us and to our customers, which I believe, is a key contributor to our top-line performance this quarter. 
A few weeks ago, I had the opportunity to participate in Citrix Summit, which is our annual kickoff with our sales team and our partners. You could feel the energy in the room as a collective team had just participated in an excellent end of the year. Both our sales team and partners had very positive feedback about the event, and they were particularly appreciative of the focus of the company, our simplified go-to-market strategy and our reenergized partner program. 
On the partner front, they were excited decided not only about the clarity we provided on the portfolio, but also about the innovation we are driving our core products. At the event, we showcased new capabilities for Microsoft technologies, browser-based apps and software-defined win. These innovations lineup for some of the major buying cycles going on in the tech sector that played Citrix trends. Citrix can significantly accelerate and simplify the migration to Windows 10. We'll be ready with similar capabilities to preserve our 2016 when it launches later this year, and our new optimization pack delivers deep integration within the Skype architecture, allowing us to deliver virtualized Skype functionality to Windows, Mac and Lenox desktops, making as a preferred partner for Skype for Business and giving us the lead competitive position. There are also host of other IT buying trends at Citrix is in great position to capitalize on. For example, the massive adoption of Chromebooks, an explosion in the use of browser-based apps is creating new opportunities for us to simplify and secure the delivery of apps for our customers. At Summit, we announced our browser app service that eliminates the headaches of browser version compatibility and mitigate security risks involved with browser-based apps. 
In addition to these market trends, we're also benefiting from our focus on industry verticals, especially in financial services and health care. By focusing on these verticals, we add features to our core products that meet to the needs of specific industry use cases, which gives us a significant competitive advantage. Along with our focus in execution, this is enabled us to be the competition and in several cases, resulted in competitive takeouts versus VMWare, which is reflected in our accidents results this quarter. The competitive wins are definitely turning in our favor, that is true with customers evidence by a number of competitive takeouts, it's true with -- and partners as well. That's on the recruiting front. 
I'm equally pleased with the progress on cost and margin improvement. When we last met, I shared how the recommendations from our strategic and operating reviews were not only focus the business on our core competencies and segments where we have or can built a defensive leadership position but also the streamlined organization to improve execution and reduced to the ongoing cost structure of the business. As you can see in the results this quarter, we are making great strides with adjusted operating margins up nearly 600 basis points year-on-year. A number of our initiatives are already implemented, and we are on track with more than 30 individual projects realizing faster savings, which is reflected in the quarter's results, as well as in the increased EPS guidance for 2016. 
Back in November, we set goals for 2016, which I characterized as conservative. The team did an outstanding job this quarter of performing, while implementing the restructuring. Yet, I believe it's prudent to remain conservative and realize a few more quarters of consistent performance before we raise expectations further. Considering current performance and the recent trends in the business, I would say our 2016 guidance remains very conservative, if not more so today. 
Before introducing Kirill, let me just say a few words of things to the team for the tremendous support they've given me over the past 6 months since I first joined at this exact chair and more recently, as Interim CEO. We have a terrific team here at Citrix. It's a very smart team, they're dedicated and the culture is ingrained with a deep desire to win and a competitive spirit that I'm very accustomed to. They have given me all the support I could ask for and they have shown what they can do when focused on the core mission and freed from distractions. They rapidly embraced the changes in the business and have shown that less can be more, not only more profit, but more revenue as well. And they've shown that they can drive results in the business, while simultaneously implementing difficult restructuring actions. The mission is not complete. Far from it, but I'm encouraged by the progress to date. The wins are clearly shifting in our favor, the team is energized and confident, they are competing more aggressively and winning in the market. The building momentum build the business as evidence not just by my words but by their performance. I'm very proud to been part of the cement think full for the support I received as Interim CEO. I look forward to continuing on as Exec Chair as we build upon our great start. Going forward, my focus first and foremost is on providing Kirill and the team any support they need. And beyond that, I plan to continue to stay involved in the restructuring and operating actions we outlined in November, the spin out of our GoTo business and in capital structure items. 
So finally, let me say how pleased I am to have Kirill join as our new Chief Executive Officer. I and the rest of the search committee conducted a very thorough search. We consider the number of candidates focus on those with the background that includes both leadership experience, as well as technology and products expertise. Most importantly, we look for leaders of shared our company's core values and the relentless focus on customer and partner's success. Kirill has a proven track record of growing businesses and driving operational performance. When you coupled that with his deep product background and the fact that he knows our space, our competitors and our biggest partners, there could not be a better fit between a candidate and an opportunity. So I'm really excited to have Kirill joined and lead this company to our next phase of growth. So with that, let me officially welcome Kirill to Citrix and turn the call over to him so he can introduce himself and say hello. Kirill?"
26524,322182531,921859,"Citrix Systems, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Citrix Systems, Inc.","Executives","Thank you, Bob, and hello, everyone. I'm extremely excited to be part of Citrix. I've known Citrix over the years as a peer and a partner in the industry and I always viewed Citrix as a great company with highly respected brand, differentiated products, s",292,"Thank you, Bob, and hello, everyone. I'm extremely excited to be part of Citrix. I've known Citrix over the years as a peer and a partner in the industry and I always viewed Citrix as a great company with highly respected brand, differentiated products, strong team, large and loyal partner channel and amazing customers around the world. In fact, many of whom I also served in my prior roles. 
Today is only my third day with the companies I wanted to share just a couple of thoughts on why I'm so excited about joining Citrix. With my discussions with many CIOs over the years, it is clear that secure delivery of apps and data is one of the most important priorities in driving digital transformations in their company and helping people in their organizations work better. And this is precisely what Citrix does. Personally, joining Citrix feels a bit like a homecoming for me. Throughout my career, I've been passing about helping people at work to be more productive. I've been fortunate to have an opportunity to build and lead innovative organizations with multi-product portfolios. And I had an opportunity to grow businesses at scale through partner-centric go-to-market model. So it seems like a perfect seat. I'm delighted Bob is staying on as our Executive Chairman, continuing the projects initiated last fall and helping me onboard and immersed in the business. I look forward to working with Bob and the leadership team to execute on Citrix's operating plan and drive greater value for our customers, partners and shareholders. I want to thank you for joining us today, and I look forward to engaging with many of you in the coming weeks and months. And now, I'd like to open up for questions."
26524,322182531,921859,"Citrix Systems, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Citrix Systems, Inc.","Operator","[Operator Instructions] The first question comes from the line of Raimo Lenschow from Barclays.",14,"[Operator Instructions] The first question comes from the line of Raimo Lenschow from Barclays."
26524,322182531,921859,"Citrix Systems, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Citrix Systems, Inc.","Analysts","And Kirill, welcome on board. Let me start with one quick question on Workspace. You could return to license growth again. Can you talk a little bit about the areas of strength there and if I look especially about the geographic performance, it seems to m",51,"And Kirill, welcome on board. Let me start with one quick question on Workspace. You could return to license growth again. Can you talk a little bit about the areas of strength there and if I look especially about the geographic performance, it seems to me almost room for further upside?"
26524,322182531,921859,"Citrix Systems, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Citrix Systems, Inc.","Executives","Sure, it's David. Let me just repeat a few things that I said earlier. And really, what's going on the Workspace Services is the culmination of a lot of these activities we've talked about over the last several quarters, not only to reinstate the focus on",330,"Sure, it's David. Let me just repeat a few things that I said earlier. And really, what's going on the Workspace Services is the culmination of a lot of these activities we've talked about over the last several quarters, not only to reinstate the focus on that app, but all of the other technologies that are around that to create those types of solutions. In terms of the actual drivers, 2 big things I'd call out. First is the holistic Workspace Suite. Everyone knows that's our solution for enterprise mobility, talk about apps and mobility and data in 1 broader, more strategic conversation with customers. That is up to about 20% of the mix right now. That was less than 10% a year ago, growing at close to 200% year-on-year. 
Second piece is actually around our service provider business, is the CSPs. That is all subscription-based, monthly ratable, approaching a $60 million business and growing north of 30%. That's really the big one. We're also the driving lots of innovation forward. So things that Bob called out, whether it's the focus on helping customers win 10 migrations, virtualizing Skype for business, browser servers, new management capabilities, lots of things in that area, really just demonstrated in exhilarating the market leadership we've had for all these years. That's the message we're carrying for the at the partners, that's the message our sales teams are driving and is allowing for the continuous improvement in overall execution. I'd say back to the comment about the geos, yes, in Q4, the Americas was really the big driver. I made a comment in my prepared remarks about that's the place where we initiated our restructuring last year. So they got a lot more time to work through all of the changes, get settled into them new structure in a good report as a setter was, so we are as we roll into '16 you'll see a similar type of performance flow-through in the other geos."
26524,322182531,921859,"Citrix Systems, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Citrix Systems, Inc.","Operator","Your next question comes from the line of Walter Pritchard from Citi.",12,"Your next question comes from the line of Walter Pritchard from Citi."
26524,322182531,921859,"Citrix Systems, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","Citrix Systems, Inc.","Analysts","David, I wanted if you can maybe outline for us to some of the sort of quarter-by-quarter, just trends of the quarter-by-quarter headwinds from a revenue perspective that you expect through 2016? You talked about that, I think in November call, and give k",81,"David, I wanted if you can maybe outline for us to some of the sort of quarter-by-quarter, just trends of the quarter-by-quarter headwinds from a revenue perspective that you expect through 2016? You talked about that, I think in November call, and give kind of an aggregate number from some of the changes you're making to the business model. I wonder if you can give us a little more detail on that in the of the year for 4 quarters here?"
