"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
28209,322068815,925675,"Equity Residential, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Equity Residential","Operator","Good day, and welcome to the Equity Residential Fourth Quarter 2015 Earnings Call. Today's conference is being recorded.At this time, I would like to turn the conference over to Mr. Marty McKenna. Please go ahead.",36,"Good day, and welcome to the Equity Residential Fourth Quarter 2015 Earnings Call. Today's conference is being recorded.
At this time, I would like to turn the conference over to Mr. Marty McKenna. Please go ahead."
28209,322068815,925675,"Equity Residential, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Equity Residential","Executives","Thank you, Angela. Good morning, and thank you for joining us to discuss Equity Residential's Fourth Quarter 2015 Results and Outlook For 2016. Our featured speaker today are, David Neithercut, our President and CEO; David Santee, our Chief Operating Offi",109,"Thank you, Angela. Good morning, and thank you for joining us to discuss Equity Residential's Fourth Quarter 2015 Results and Outlook For 2016. Our featured speaker today are, David Neithercut, our President and CEO; David Santee, our Chief Operating Officer and; Mark Parrell, our Chief Financial Officer.
Please be advised that certain matters discussed during this conference call may constitute forward-looking statements within the meaning of the Federal Securities Law. These forward-looking statements are subject to certain economic risks and uncertainties. The company assumes no obligation to update or supplement these statements that become untrue because of subsequent events.
And now, I'll turn the call over to David Neithercut."
28209,322068815,925675,"Equity Residential, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Equity Residential","Executives","Thank you, Marty. Good morning, everyone. Thanks for joining us today. We've got to lot go over today. We'll start with David Santee providing some color on operations, talk a little bit about how last year ended up, a discussion on our core markets and o",382,"Thank you, Marty. Good morning, everyone. Thanks for joining us today. We've got to lot go over today. We'll start with David Santee providing some color on operations, talk a little bit about how last year ended up, a discussion on our core markets and our overall outlook for 2016. I'll then discuss the acquisition and disposition activity that we are planning this year that will be in addition to the recently completed $5.365 billion sale to Starwood. And finally, Mark Parrell will take you through how our operating outlook and transactional and others assumptions impact our 2016 earnings guidance, our regular and special dividends, our recent debt repayment activities, filing the Starwood sale and liquidity.
Before we get started, I wanted to make a couple general comments, because we all read and listen to the same things the rest of you do, and we know that there is a lot of volatility around the globe and across the financial markets. And there are a lot of questions about how that is currently impacting or might soon impact, the domestic economy, in general; and our business, in particular. Because also been some reports of increasing apartment vacancy and declining rental rates. Like you, we don't have a crystal ball. All we can tell you is what we're seeing real time in our business. And what we're seeing is, some markets are bit behind while we had expected at this point, and others a bit ahead. But in total, portfolio wide, we are where we expected to be 1 month into the year with 30 days forward visibility. And as in recent years, renewals, tell a lot for the story. Renewal increases in November, December and January were all plus 6%. We also achieved plus 6% growth in renewal rents in February.
Portfolio occupancy today is 96.1%, very much inline with our expectations, and quite strong for this time of the year. Overall, the much right way to be thought they would be when we gave our initial guidance for 2016 back in late October.
So with that said, I'll let David go into more detail about our markets, our current outlook for 2016 and why we think this year will be another good year in the apartment business and for Equity Residential."
28209,322068815,925675,"Equity Residential, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Equity Residential","Executives","Thank you, David. Good morning, everyone. During Q4, turnover continued to decline with the quarter-over-quarter reduction of 7% and growth move-outs. For the full year, turnover declined 40 basis points from 54.9% to 54.5%. And in net of intra-property t",1914,"Thank you, David. Good morning, everyone. During Q4, turnover continued to decline with the quarter-over-quarter reduction of 7% and growth move-outs. For the full year, turnover declined 40 basis points from 54.9% to 54.5%. And in net of intra-property transfers turnover degree is 50 basis points to 48.5% from 49%. 
Our continued focus on minimizing Q4 and Q1 lease explorations continues to produce more operational stability, as occupancy once again remained stronger through the historical Q4 seasonal slowdown. Move-outs to buy homes increased only slightly across many markets for the quarter and the full year. With rents continuing to rapid ascent across most markets, it should come as no surprise that affordability, our second largest category for move-outs, increased from 13% to 14.1% for full year. Yet demand for quality apartments in great locations has remained steady thus far.
Similar to 2015, we again start the year from a solid foundation of occupancy, exposure and pricing levels across most of our markets. Today, occupancy, as David mentioned, is 96.1%, and exposure is 20 basis points lower with net effective new-lease rents up 3% year-over-year versus same week last year. While not to reference setting new increase we enjoyed in 2015, we achieved a 6.4% increase on our January offers, and February will deliver in the same range. These early indicators coupled with continued favorable job growth, fewer deliveries on our core markets, but more importantly, the submarkets that we operate in, gives us the confidence to stand by our preliminary revenue guidance range of 4.5% to 5.25%. However, we are mindful of the headwinds from the headline and the potential odds and impact of the U.S. economy in recessionary environment.
Our 2016 revenue guidance, is again led by the West Coast, the San Francisco leading the way, followed by Los Angeles, which continues to show momentum in both new lease and renewal gains. Our 2016 buckets of revenue growth again includes San Francisco, Los Angeles, Seattle and the remainder of the Southern California, all expect to exceed 5% revenue growth for the full year. Boston and New York Metro remained in the 3% to 5% bucket, as concentrated new supply in each submarkets continue to dampen pricing power for new leases. Washington, DC, once again remains in a bucket of their own -- we've projected revenue growth of 1% to 1.3% for full year 2016.
Our total portfolio assumptions based on 75,123 same-store units that drive the midpoint of guidance, our 2.3% embedded growth from 2015, 3.5% average new lease rent growth and 6% average grain on renewals. Occupancy in turnover for 2016 are modeled to be flat.
Expense results of 2% for the quarter were extremely favorable versus our forecast of 4.3%. Even with our optimistic adjustments that were made prior to our last earnings release, we were unable to predict the full impact of our commodities and record high temperatures, which allowed us to deliver full year expense growth of 2.5% versus the guidance of 3.1%. 
The 2 drivers of the 230 basis point pick up were approximately $4 million in Q4, or spread almost evenly between utilities and payroll. With the unseasonably warm weather materially influencing both. The rapid price decline across all relevant commodities combined with record warm temperatures through December, allowed us to be our original forecast of savings, almost 3 folders, through the quarter, resulting in an additional $2 million pick up across heating oil, natural gas and electric. Also the warm temperatures combined with the 7% decline in Q4 move-outs, allowed us to achieve our historical salary forecast, but the need for contract labor and overtime was virtually nonexistent. This in addition to favorable employee bonus and health insurance accruals, allowed us to achieve an additional $1.7 million in payroll savings for Q4, bringing our forecast total of 4.3% down to the 2% for the quarter and 2.5% for the whole year.
Expense guidance for 2016 of 2.5% to 3.5% is once again driven by real estate tax growth of 5.25% with 190 basis points of that 5.25% attributable to our New York portfolio tax abatement Like 2015, we would expect minimal growth across the utility accounts. between 2.5% and 3% and all other will show flat-to-minimal growth as the impact of increased minimum wages and Affordable Care Act cost incurred by our outside vendors were already absorbed into our cost structure over the past 2 years.
So going around the horn and starting with Seattle, I'll give some pretty working highlights, some revenue expectations and expected deliveries that combined influence our thought process for our full year 2016 revenue guidance.
Seattle will see an 8% decline in new deliveries from a little over 9,000 units in 2015 to approximately 7,200. Knowing that Amazon will continue its large capital investment and delivery of almost 4 million square feet of new office space in Downtown and the continued migration of regional and corporate headquarters in the suburbs, Seattle should be able to observe this new inventory with minimal disruption, just as it is done over the past 2 years, and as evidenced by the 3,100 units that have been absorbed over the past 2 quarters.
San Francisco will once again EQR markets, as constraints to new development are all ramp. However, like any market, where there is concentration of new supply, near-term pricing pressure will almost follow. As a result of the new deliveries in the urban core, pricing has appeared to be normal seasonal patterns with net effective new lease rents up only 4% today. As expected, properties closes to the urban core are experiencing the most pressure, while properties further down the peninsula continued to enjoy year-over-year rental rate growth in the mid-teens. With lease up velocity exceeding normalized expectations, San Francisco Metro should experience rapid absorption and deliver another year of high single-digit revenue growth as evidenced by year-to-date billings that exce 9.6%. While headlines are quick to recognize slowdown in tax spending, the large giants continue to buy, lease or build new office space in anticipation of future growth and elevated hiring. But as we all know grow to the sky, but our dashboard tells us the fundamentals remain strong. Renewal offered issued through March remain in double-digit, and if history plays out, we would expect new lease rents to seasonally adjust up from the mid-single digits we see today to higher levels as we move closer to peek 
With embedded revenue growth of 5.5%, renewal rates achieved averaging almost 10% and new lease rents averaging 7%-plus for the full year, we would expect our portfolio to deliver full year revenue growth in the high single digits.
Los Angeles fundamentals appear to be coming on strong. With the anticipation of a breakout year for the L.A. economy and the Pro business city government, the rebranding of Downtown as a world-class city coupled with meaningful additions to infrastructure and transportation cause us to be very optimistic in L.A.'s ability to absorb the 7,600 new deliveries expected in 2016.
Given the concentrated nature of deliveries in the South Park and Hollywood submarkets, we see no major hurdles to strengthening fundamentals and revenue growth as net effective new lease rents are up 7.3% with both occupancy and exposure, significantly, better positioned versus the same week last year.
Orange County and San Diego should continue to see above average growth with 2016 deliveries of 3,600 and 2,400, respectively. These levels are in par or slightly less than 2015. With the concentration of assets delivered during 2015 been Irvine and in close proximity -- the percentage of our assets, we would expect to see better results in 2016, as pressure our new lease pricing subside.
Our Boston portfolio continues to face pricing pressure, as 2015 back loaded deliveries remain in lease up. With only 2,200 deliveries scheduled for 2016, which is a 62% decline, and a lower concentration in the financial District and Downtown, we would anticipate a window of improvement late this year and early into 2017 before an estimated 5,000 units are again delivered in 2017. To-date, 19,000 units have been absorbed in the past 2 years, without the disruption of one might expect. With GE announcing their headquarter relocation and the continued biotech related job growth, Boston should deliver results very similar to what we achieved in 2015.
For New York Metro, we expect to deliver 3% revenue growth, as new supply will impact certain submarkets. After delivering average annual revenue growth of 4.9% for the last 16 quarters, the performance of our Manhattan portfolio will be greatly influenced by almost 2,000 new units on the Upper West Side, which makes up almost 30% of total revenue for our New York Metro area. Most of these projects are luxury with unit mixes that skewed towards agreed by the And off-late, have been more difficult to lease. And as a result, it ends up with a greater economic vacancy loss. While occupancies remain above 95%, we expect Upper West Side new lease rates to be flat or slightly positive until majority of these new deliveries are absorbed. We continue to see strong fundamentals pricing and our other Manhattan submarkets, the financial District, and Chelsea, collectively these neighborhoods to deliver revenue growth inline with our historical averages that I noted earlier.
Another New York Metro hotspot is Jersey City or the Hudson Waterfront, where 1,000 new units were delivered in late 2015 and another 1,500 expected in 2016. All in a 1- to 2-mile radius. Thus far we've not felt the full impact, as year-to-date revenue growth is holding at 3%. Brooklyn will also delivered a number of new buildings, but these are north and further east of Downtown, with the new supply being smaller in unit count and less desirable based on and locations. We would expect moderate impact in Williamsburg and less so in Downtown, Brooklyn, as both EQR communities in this location are delivering an excess of 4.8% revenue growth through February.
Again, as new supply comes online in areas, new lease pricing will be under pressure and we see that in our net effect today. However, occupancy remained strong across the portfolio at 96.1%. Renewal rate growth should average plus 4% for the portfolio that combines will produce full year revenue growth of approximately 3%.
Washington, D.C. will experience declines in deliveries to approximately 11,000 units in 2016, after observing over 28,000 units in the previous 2 years. With positive revenue growth in Q4 and full year, we are cautiously optimistic about near-term performance. Should absorption maintain its velocity, these fee should be against delivered more favorable revenue growth as new lease pricing pressures ease. With job growth in the professional service continuing to improve, an increase in D.C. business activity as a result of the election year. And more of the 2016 deliveries in the suburbs versus Arlington in D.C., we continued to be optimistic about the long-term performance of our portfolio.
In summary, we continue to see favorable fundamentals across all of our markets. At this point, in the apartment rental cycle, it is much too early to be influenced by the negative headlines that we all read each and everyday. We remain focused on what the data tells us and you respond appropriately. Today, our dashboard tell us that not much has changed in that apartment fundamentals at least for the first quarter remain strong, leading us to believe that 2016 will be yet another year of performance above long-term trend."
28209,322068815,925675,"Equity Residential, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Equity Residential","Executives","Thank you, David. We're very pleased to recently close of our sale of 72 noncore assets holding 23,262 apartment units to Starwood, for $5.365 billion or $231,000 per unit. I'm particularly pleased to realize 11.1% unleveraged IRR on these investments, in",831,"Thank you, David. We're very pleased to recently close of our sale of 72 noncore assets holding 23,262 apartment units to Starwood, for $5.365 billion or $231,000 per unit. I'm particularly pleased to realize 11.1% unleveraged IRR on these investments, inclusive of indirect management costs over an extremely long hold period. This sale was resolved of an incredible a lot of folks here in EQR, who works practically around-the-clock to get this deal done, and I thank all of them for their dedication and commitment. And I also thank those who left the company with the sale of this portfolio, some of whom have been with us for more than 20 years, and we're most grateful to all these people for the service to our residents and the company.
answering this call this transaction was Starwood was first announced, we explained that this disposition accomplished several things for us: First, we realized a very good pricing on assets and markets not considered core for us, and on some assets in our core markets that didn't quite fit our long-term strategic vision. The second thing we accomplished is that we can now focus solely on our strategy of owning, building and operating assets in higher density urban locations, the close proximity to public transportation, job centers and other amenities that cities have to offer. As we've discussed with many of you since the original announcement, this sale, and the sale of $700 million of additional assets in 2016, would result in a special dividend of $9.11 per share. And that decision was made due to the challenge we saw trying to recycle $6 billion of capital in today's marketplace, where we continue to see strong institutional demand for core assets in Gateway processes and very competitive pricing as a result of that demand.
We continue to believe and are grateful for the support of so many of you who would agree with us, the returning much of these proceeds to our investors through a special dividend in a balance sheet neutral way is the best capital allocation decision you can make on behalf of our shareholders.
Since our original announcement of the Starwood transaction, demand for multi-family assets in our core markets was continued unabated, and so we've considered the sale of several additional assets that due to either operational challenges or submarket issues or prizing potential that we simply thought too good to pass up, might represent additional timely opportunities to monetize our interest in certain assets and modestly increase the size of this year's special dividend.
Last week, for instance, we sold 1 of 3 assets acquired for the macro family in 2010, when we paid a total of $475 million for the entire portfolio. This particular property, Tower, was sold for $390 million or $1.2 million per door, at the yield in low 3s for a 5-year unleveraged IRR, inclusive of indirect management costs of 14%. This sale was previously contemplated and was accounted for in our original special dividend guidance of $9 to $11 per share. In addition, we've also started work on the potential disposition of another $600 million of possible sales, that if consummated could increase that dividend by another $1-or-so per share, and hence, the new range of 10 to 12 per share noted in last night's press release.
I wanted to be publicly clear, because I'm sure many of you have questions about this. We backed up the truck once with the sale of the Starwood, we have no intention of doing so again. As I said, we're working on a limited number of additional sales this year that could bring our special dividend up to the $10 to $12 per share.
Our guidance also assumes that we will sell an additional $300 million by the end of the year, 100% of which would be redeployed from the new acquisitions. And that level of activities accounted on our guidance towards the back half of the year at a negative is spread of 75 basis points. This additional $300 million of activity would only occur if we can find suitable investments for which we're willing to trade out our current assets. For the guidance provided in press release is for $7.4 billion of these positions comprised of $6.1 billion we announced last October, nearly $400 million for Liver Tower, another $600 million expected to be sold during the year, adding an additional $1 per share special dividend, and $300 million of share that will occur if and only if we can find suitable reinvestment opportunities.
Our acquisition guidance of $600 million is roughly $300 million of 10 31 reinvestments to cover some very large tax gains of certain unaffiliated limited partners as a result of the Starwood transaction, and $300 million of additional possible acquisition in the back-half of the year, and matched up with dispositions in the normal course of managing our portfolio.
I'll now turn the call over to our CFO, Mark Parrell."
28209,322068815,925675,"Equity Residential, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Equity Residential","Executives","Thank you, David. I want to take a few minutes this morning to talk about our guidance for 2016, that includes both the annually dividend and the specially dividends, our recent debt prepayment activity, and then I'll close with the discussion of sources",1175,"Thank you, David. I want to take a few minutes this morning to talk about our guidance for 2016, that includes both the annually dividend and the specially dividends, our recent debt prepayment activity, and then I'll close with the discussion of sources and uses in 2016.
Our range for normalized FFO for 2016 is $3 to $3.20 per share. This range is larger than usual due to some of the uncertainties over transaction timing. And I'm going walk you through some of the bigger highlights at this point. The biggest reconciling item between 2015 and 2016 normalized FFO is of course, the reduction we will experience in net operating income of about $345 million, that's about $0.90 per share from our transaction activity, including Starwood.
The second big item going the other way is the use of approximately $1.7 billion of those disposition proceeds to prepay debt, that creates an $80 million or $0.21 per share benefit or improvement in interest expense. I'll pause here and note, that we're expecting about $10 million decline in capitalized interest, in 2016 versus 2015, and I did include that in the $0.21 per share improvement number that I just give you.
So once you get passed the transaction and debt activity, our normalized FFO is driven by the usual suspects, and that includes an increase of $0.23 per share in same-store NOI, and an increase of $0.12 per share from lease-ups. And the final items are 'just a variety of other individually less material items, that reduced our normalized FFO estimate for 2016 by about $0.02 per share, and they include among other things lower income from unconsidered entities and as to the sales in 2015 as the last Archstone JV operating excess. So this brings our normalized FFO guidance midpoint for 2016 to $3.10 per share.
So now move on to the dividends, for the annual dividend, as you know, it is our intention to pay 65% of the midpoint of our normalized FFO guidance as our annual common share dividend. Given the midpoint I just discussed, of $3.10 per share, we would expect to pay $2.015 per share for the year or $0.50375 per share per quarter in 2016. Also we expect to pay 2 special dividends, which will total between $10 and $12 a share. The first special dividend is anticipated to be paid in the second quarter, and is expected to be about $8 per share. There is less variability in our minds about the size and timing of this first special dividend, given that the Starwood sale and some of these other sales have already occurred. But of course, our Board of Trustees retain discretion on all dividend matters.
The second special dividend has been modeled in our guidance at $3 per share, based on our existing disposition guidance number, as well as numerous assumptions we have to make about the exact timing and amount of the gain per asset, and our 2016 operating income and other tax receivables.  Similarly, the timing of the payment of the second special dividend is less certain in our minds, and we'll like the amount of the dividend ultimately depend on when this sales close, the number of sales that close and certain other tax variables.
Now onto the bond tender and other recent debt repayment activities, consistent with what we said on the earnings call back in October. Over the last 2 weeks, the company has prepared prior to maturity, a total of $1.7 billion in debt, through an unsecured bond tender, and early repayment of a large secured debt 
In mid-March, we also repay using the cash we now have on hand. The $270 million off March 2016, unsecured bonds, that were not tendered. Collectively, the company will incur approximately $112 million is prepayment penalties, and that would be recorded as additional interest expense in the first quarter, and it will impact EPS and FFO, but will not impact normalized funds from operations. These debt repayment activities were funded with the portion of the proceeds from the Starwood sale and our other recent sales, and are intended to maintain and they do in fact actually slightly enhance the company's already strong credit profile, we now expect net debt-to-EBITDA for 2016 to be about 5.8x, and fixed charge coverage to be about 3.6x, and this compares to our already strong 2015 net debt-to-EBITDA ratio of 6.1x, and fixed charge coverage of 3.5x. And I'm computing all these fixed charge coverage ratios using the more stringent rating agency methodology, which does not reduce interest expense by capitalized interest.
Also our near-term maturities are now greatly reduced. And in fact, we currently have only approximately $330 million of debt maturing in 2016, consistent of $60 million in secured debt that matures a little later in 2016, plus the $270 million of unsecured notes due in March 2016 that were not tendered as I discussed previously.
Our 2017 maturities have now been cut in half, and now total about $600 million. The company's liquidity position is excellent. Currently, we have $3.5 billion in cash, and $2.5 billion revolving line of credit is undrawn. We also have no commercial paper outstanding. At the end of 2016, we expect to have about $50 million in cash, and the revolving line of credit and the commercial paper program between the two will have about $300 million balance. And that is certainly a lot of inflows and outflows in 1 year. So I'm take a minute and just give you a little background on that bigger pieces. For the full year 2016, we expect net inflows from buys and sales of about $6.8 billion. To-date, we have sold approximately $5.9 billion, which is inclusive of Starwood and we have not acquired any properties. We have assumed paying about $4.25 billion in special dividends, as I just said, and we expect to pay the first in the second quarter 2016, in the amount of about $3 billion. And the second later in 2016 in the amount of approximately $1.25 billion. We anticipate repaying approximately $2.1 billion in total debt during 2016. As mentioned earlier, we have already retired approximately $1.7 billion. We further expand to spend about $250 million during the year, that's mostly for the prepayment penalties I refer to you previously and about $40 million or $45 million of transaction cost on the dispositions. We expect to spend about $600 million in development activities during 2016, and the final piece of the puzzle is positive cash flow from operations were about $200 million, and that $200 million number is net of our annual dividend and our capital expenditures.
In order to balance our resources and uses, we have included in guidance a $200 million to $250 million borrowing later in 2016, which we have assumed will be a secured loan, and we expect to have the revolver drawn or CP outstanding equal about $300 million.
And I'll now turn the call back over to Angela, our operator, for the Q&A session."
28209,322068815,925675,"Equity Residential, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Equity Residential","Operator","[Operator Instructions] And we will go first to Nick Joseph with Citigroup.",12,"[Operator Instructions] And we will go first to Nick Joseph with Citigroup."
28209,322068815,925675,"Equity Residential, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Equity Residential","Analysts","David, I appreciate your comments on the uncertainty on macro environment. From your comments, it doesn't sound like there has been a large impact the transaction market, so I'm wondering if we were to enter recession? How do you think asset values would",53,"David, I appreciate your comments on the uncertainty on macro environment. From your comments, it doesn't sound like there has been a large impact the transaction market, so I'm wondering if we were to enter recession? How do you think asset values would hold up in the gateway markets versus the secondary markets?"
28209,322068815,925675,"Equity Residential, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Equity Residential","Executives","Nick, good question. I think that history has demonstrated that this gateway asset values hold up better, and recover more quickly, I think the experienced that certainly through the last recession in the markets in which we're focused today, we saw rents",90,"Nick, good question. I think that history has demonstrated that this gateway asset values hold up better, and recover more quickly, I think the experienced that certainly through the last recession in the markets in which we're focused today, we saw rents recover quickly and surpass establish new highs in values perform similarly. So we're quite comfortable and confident that we're in the right markets for the long-term, and I think we're in markers that will perform and should outperform if there is any sort of recession on the horizon."
28209,322068815,925675,"Equity Residential, Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Equity Residential","Analysts","And the asset since the same-store changing considerably in 2016. It looks like it's about 70,000 units. So I'm wondering if you can give where the 2016 same-store What they're revenue expense and NOI growth was in 2015?",39,"And the asset since the same-store changing considerably in 2016. It looks like it's about 70,000 units. So I'm wondering if you can give where the 2016 same-store What they're revenue expense and NOI growth was in 2015?"
