"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
277966,321991716,929250,"HCP, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Healthpeak Properties, Inc.","Operator","Good day, and welcome to the HCP Fourth Quarter and Year-end Earnings Conference Call. [Operator Instructions] Please note this event is being recorded. I would now like to turn the conference over to John Lu, Executive Vice President. Please go ahead.",41,"Good day, and welcome to the HCP Fourth Quarter and Year-end Earnings Conference Call. [Operator Instructions] Please note this event is being recorded. I would now like to turn the conference over to John Lu, Executive Vice President. Please go ahead."
277966,321991716,929250,"HCP, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Healthpeak Properties, Inc.","Executives","Thank you, operator. Today's conference call will contain certain forward-looking statements, including those about our guidance and the financial position and operations of our tenants. These statements are made as of today's date and reflect the compa",217,"Thank you, operator. 
Today's conference call will contain certain forward-looking statements, including those about our guidance and the financial position and operations of our tenants. These statements are made as of today's date and reflect the company's good-faith beliefs and best judgment based on current information. These statements are subject to the risks, uncertainties and assumptions that are described in our press releases and SEC filings, including our annual report on Form 10-K for the year ended 2015. Forward-looking statements are not guarantees of future performance. Actual results and financial condition may differ materially from those indicated in these forward-looking statements. Future events could render the forward-looking statements untrue, and the company expressly disclaims any obligation earlier statements as a result of new information.
Additionally, certain non-GAAP financial measures will be discussed on this call. We have provided reconciliations of these measures to the comparable GAAP measures in our supplemental information package and earnings release, both of which have been furnished to the SEC today and are available on our website at www.hcpi.com.
Also during the call, we will discuss certain operating metrics including occupancy, cash flow coverage and same property performance. These metrics and other related terms are defined in our supplemental information package.
I will now turn the call over to our CEO, Lauralee Martin."
277966,321991716,929250,"HCP, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Healthpeak Properties, Inc.","Executives","Thank you, John, and welcome to HCP's 2015 Fourth Quarter Earnings Conference Call. Joining me this morning are Tim Schoen, Chief Financial Officer; Justin Hutchens, Chief Investment Officer of Senior Housing and Care; and John Lu, EVP of Corporate Financ",644,"Thank you, John, and welcome to HCP's 2015 Fourth Quarter Earnings Conference Call. Joining me this morning are Tim Schoen, Chief Financial Officer; Justin Hutchens, Chief Investment Officer of Senior Housing and Care; and John Lu, EVP of Corporate Finance and Investments.  
2015 was a very active year for us on almost every front, and we are proud of the performance we achieved in our operating portfolio. I will be covering these accomplishments later in the call, but I'd like to start with HCR ManorCare. 
As many of you are aware, the postacute and skilled nursing industry has transformed remarkably over the past 5 years, beginning with the 2011 RUGs-IV cuts. The 3 most impactful trends have been: lower reimbursement rates, accelerated payer mix shift towards managed care and increased regulation and risk management requirements for patient care delivery.
These changes have prompted operators to become more efficient while continuing to provide their quality care. Over the long term, these changes should ultimately benefit patients, payers and quality providers like HCR ManorCare, whose core operations have a high quality and mix and better margins compared to their peers.
We are seeing heightened volatility in the public postacute operators due to these industrywide changes and headwinds. HCR's the same challenges, which resulted in their normalized fixed charge coverage declining 4 basis points to 1.07x for calendar year 2015.
Both we and HCR management were disappointed with HCR's results in the fourth quarter, which is typically a seasonally strong quarter. These results were impacted by core operating performance weakness and $14 million of unfavorable nonroutine items, including short-term disruption related to the sales process of the 50 nonstrategic assets, 33 which have closed to date with 17 still in process, so some disruptions will continue into the first half of this year, as well as legal costs associated with the Department of Justice defense. 
For 2016, HCR anticipates normalized EBITDAR of $577 million before the temporary impact of the pending asset sales and Department of Justice defense costs. After adjusting for these items, HCP estimates 2016 EBITDAR to be $555 million, supporting their ability to meet the master lease obligations.  
Furthermore, we have applied sensitivities to key assumptions in their forecast to produce a potential range of outcomes. Our forecast for HCR's 2016 EBITDAR ranges from $505 million to $555 million, resulting in a fixed charge coverage range of 1.06x to 1.16x. Our range includes the contractual -- current contractual rent and the 3% increase that goes into effect in April.
With the declining trend of operating performance in the second half of 2015, the DS investment has been placed on cash basis effective January 1. In addition, given the lower growth outlook over the next few years, the carrying value of our HCR real estate portfolio was reduced by over $800 million to $5.2 billion as of year-end. Tim will cover the financial details shortly.
Our other objectives outlined in the April 2015 lease amendment are proceeding on track. We have received fee ownership in 7 of HCR's 9 recently built postacute facilities, with the remaining to close by April. And we have sold 33 of 50 properties, generating proceeds of $280 million.  The remaining facilities are all under contract and scheduled to close over the next 2 quarters, which will bring total proceeds to $350 million.
Resolving the HCR ManorCare portfolio issue is our highest priority. Our goals in resolving the HCR ManorCare challenges are: reduce our concentration to HCR as an operator, improve the coverage and credit quality of our lease and ensure HCR's high quality care and service delivery continues. We have engaged Capital as our financial adviser to pursue discussions with HCR ManorCare's management team to jointly explore all solutions to achieve our goals.
Now let me turn the call over to Tim to discuss our financial results and 2016 guidance."
277966,321991716,929250,"HCP, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Healthpeak Properties, Inc.","Executives","Thank you, Lauralee. Let me start with our fourth quarter results. For the quarter, we reported a NAREIT FFO loss of $0.99 per share, reflecting noncash impairments of $836 million related to our HCR ManorCare investments. The impairments reduced the ca",1413,"Thank you, Lauralee. 
Let me start with our fourth quarter results. For the quarter, we reported a NAREIT FFO loss of $0.99 per share, reflecting noncash impairments of $836 million related to our HCR ManorCare investments. The impairments reduced the carrying value o f our HCR ManorCare DSO real estate portfolio from $6 billion to $5.2 billion at year-end, which approximates the fair value of the assets based on market level coverage and cap rate assumptions. In addition, the carrying value of our 9% equity investment in OpCo was reduced by $19 million.
Excluding the effect of impairments and other items totaling $1.79 per share for the quarter, we reported FFO as adjusted of $0.80 and FAD of $0.67 per share, representing growth rates of 1% and 2% respectively compared to the fourth quarter of 2014. The results benefited from accretive acquisitions closed in 2015.
Fourth quarter same-store cash NOI performance declined 30 basis points compared to prior year due to the HCR ManorCare lease amendment in April 2015. Excluding the HCR ManorCare portfolio, we achieved solid same-store cash and NOI growth of 3.5%, led by a 7.8% increase in life science and a 6.6% increase in RIDEA, which Justin will cover in a few minutes.  Also benefiting the quarter was a $0.01 per share gain from monetizing our senior housing development project in Olney, Maryland.
Turning to our full year 2015 results. We reported a full year 2015 NAREIT FFO loss of $0.02 per share that was primarily impacted by noncash impairments related to HCR ManorCare. Excluding the effects of impairments and other items, 2015 FFO as adjusted was $3.16 and FAD was $2.72 per share, representing year-over-year growth rates of 4% and 6% respectively.  The earnings performance, despite the amended HCR ManorCare lease, was driven by same-store cash NOI growth of 3.7% from 75% of our portfolio and accretive acquisitions totaling $4 billion since 2014. 
In addition, the results included a $0.04 of onetime gains from monetizing 3 senior housing development loans. Absent these gains on a recurring basis, FFO as adjusted per share increased 3% and FAD increased 4% in 2015.  
Overall, same-store cash NOI for the year increased 50 basis points, consistent with our last guidance. Our 2015 cash dividend of $2.26 per share resulted in a FAD payout ratio of 83%.
Moving on to financing activities and balance sheet. In the fourth quarter, we raised $600 million of senior unsecured loans at a 4% coupon. Proceeds were used to refinance a $500 million bond maturity last week, representing 36% of our 2016 total maturities, and to pay down on the revolver. During 2015, we successfully raised $2.3 billion of debt at an attractive blended rate of 3.5%.
We continued to deliver on the capital recycling front, generating $430 million of additional proceeds during the quarter, bringing our total for the year to $560 million. Proceeds for the quarter included $208 million from the sale of HCR ManorCare's nonstrategic assets, $110 million from creation of a new institutional JV on our Memorial Hermann MOB portfolio and $45 million from monetizing our interest on MOB Ventures 3 and 4.  
We improved our liquidity and financial leverage with these proceeds, although the benefit to financial leverage is offset by our fourth quarter noncash impairments.  Leverage ended the year at 45%.
Fixed charge coverage and net debt to adjusted EBITDA for 2015 were 3.9x and 5.6x respectively.  Secured debt ratio improved to 4.4% as we continued to refinance higher-rate mortgage maturities with lower cost on secured notes. 
At year-end, we had $1.6 billion of liquidity.
Next, our full year 2016 guidance and dividend. The majority of our portfolio continues to generate organic growth, complemented by recent accretive investments, but our earnings continues to be moderated by the HCR ManorCare lease restructure as we enter 2016. Before providing our 2016 guidance, I would like to discuss a few important assumptions reflected in our projections that impact year-over-year comparison.
First, beginning January 2016, income from our HCR ManorCare investments will be recognized on a cash basis, resulting in a reduction to our FFO run rate totaling $150 million or $0.32 per share, $90 million of which was previously recognized in revenue, with the remaining $60 million in equity income from unconsolidated joint ventures.  There is no impact to our cash performance metrics including same-store and FAD. 
Our 2016 guidance reflects contractual rent of $456 million from our HCR ManorCare real estate portfolio, inclusive of a scheduled 3% increase in April.  In addition, our guidance reflects $130 million of proceeds in the first half of 2016, bringing total proceeds from HCR ManorCare's nonstrategic asset sales to $350 million.
Second, you will recall that as part of our 2014 Brookdale transaction, Brookdale agreed to pay $55 million of lease restructure payments and installments over a 3-year period as consideration to convert 49 assets from a triple-net lease to RIDEA. Starting in July 2016, the payments stepped down and will be phased out by the third quarter of 2017. Also as part of this transaction, we have a rent reduction of $6.5 million this year in exchange for canceling 49 purchase options on Brookdale's triple-net portfolio.
Third, we entered into a purchase and sale agreement with Genentech, who exercised their purchase option on our life science campus in South San Francisco. The first tranche of the transaction will close in November for a price of $310 million and the second tranche closing in 2018 for $270 million.  Proceeds will be reinvested to fund our development at the Cove in South San Francisco, including the recently commenced Phase 2.
Lastly, in 2016, we will continue to reflect our Four Seasons unsecured note on nonaccrual status, and we'll record interest payments received as a reduction to our investment.
Our guidance does not include the impact of any future acquisitions or dispositions other than what I just mentioned. 
With these assumptions, we expect full year 2016 FFO to range from $2.74 to $2.80 per share, which reflects placing our HCR ManorCare portfolio on a cash basis; FAD to range from $2.62 to $2.68 per share; same-store cash NOI growth to increase between 1.5% and 2.5%; the remaining 75% of our portfolio, excluding HCR ManorCare, to increase between 2.3% and 3.3%.
The midpoint of our same-store growth rates by asset class include: senior housing at 1.75%, which is impacted by the Brookdale triple-net portfolio I just mentioned and reflects RIDEA growth of 3.5%. Postacute SNF is forecasted to decline by 60 basis points due to the HCR ManorCare lease amendment in April 2015. In our operating office platform, life science is projected to grow 6.7% and MOB at 2.4%. And finally, our hospital segment is projected to grow 2.2%.
Allow me to quickly run through a few other assumptions. G&A is forecasted to be $87 million including stock-based compensation of $20 million; amortization of below-market lease intangibles and deferred revenue of $4 million; amortization of deferred financing costs of $21 million; straight-line rents of $16 million; other depreciation and amortization of $12 million; lease restructure payments of $17 million related to the 2014 Brookdale transaction, reflecting a step down in the installments payments starting in the second half of 2016; our 49% share of FFO contribution attrition from the CCRC joint venture to range from $28 million to $30 million; and FAD contribution to range from $45 million to $49 million inclusive of nonrefundable interest fees; leasing cost and generation tenant capital expenditures of $90 million, representing 5% of cash NOI; in addition, total development, redevelopment and first-generation capital investment of $410 million, including $150 million in 2016 for the completion of Phase 1 and commencement of Phase 2 life science development at the Cove South San Francisco.
I'll conclude with a few words on our 2016 dividend. Last month, we increased our quarterly dividend from $0.565 to $0.575 per share, marking the 31st consecutive year of dividend increases and continuing HCP's representation in the S&P 500 Dividend Aristocrat Index. The annualized dividend of $2.30 represents an increase of $0.04 per share over 2015. 
After taking into account the increase in the dividend and based on the midpoint of our guidance, our projected 2016 payout ratio is in the mid-80% range. As a result, we expect to retain $165 million in cash flow after dividends and recurring capital expenditures to continue growing our portfolio.
With that summary of our financial results, I will now turn the call over to Justin. Justin?"
277966,321991716,929250,"HCP, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Healthpeak Properties, Inc.","Executives","Thank you, Tim. Let me start by highlighting our senior housing portfolio performance. Our total senior housing same-store cash NOI grew 3.7% in 2015, driven largely by rent steps and in part to our Brookdale RIDEA portfolio. We are encouraged by Brookd",604,"Thank you, Tim. 
Let me start by highlighting our senior housing portfolio performance. Our total senior housing same-store cash NOI grew 3.7% in 2015, driven largely by rent steps and in part to our Brookdale RIDEA portfolio. We are encouraged by Brookdale's indication that their merger integration is in their rearview mirror and by the recent additions to their senior management team. These factors, along with a significant program max CapEx investment, have contributed to the recent improvement in growth in our RIDEA properties, and we expect them to have a positive impact on the triple-net portfolio.  We are in regular communication with Brookdale management regarding ways to work together to create value through asset repositioning, operating and market analytics and identifying opportunities to call the portfolio.
Our same-store RIDEA platform reported a very strong fourth quarter, with year-over-year same-store growth of 6.6% driven by improved occupancy rate and expense management. We are encouraged by this performance and are particularly pleased to see positive momentum, where fourth quarter occupancy grew 60 basis points on a year-over-year basis and 70 basis points on a sequential basis, outperforming the average by 90 basis points year-over-year and 60 basis points sequentially. The entire Brookdale RIDEA portfolio has performed consistent with the solid results.
Our triple-net senior housing portfolio has a trailing 12-month cash flow coverage of 1.07x, down 2 basis points from the prior quarter. The triple-net portfolio is largely represented by the leases with Brookdale, where the coverage in 2016 is expected to improve by 2 basis points due to a contractual rent reduction that was committed in conjunction with the 2014 transaction with Brookdale that Tim mentioned earlier.  We remain actively engaged with our operators through our asset management platform, continuously reviewing local market dynamics, operating trends and the physical condition of our properties. 
We continue to monitor new supply in our senior housing markets and have included a new presentation of this information, which is featured on Page 27 of the supplemental. We measure new supply using a 5-mile radius based on a recent study showing that the average time a consumer is willing to travel to a local business is approximately 15 minutes. Our internal research indicates that a 5-mile analysis is generally consistent with that of a 15-minute drive time. 21.2% of our RIDEA NOI or 2.7% of our total portfolio income has new construction or expansions of similar care types within a 5-mile radius. The large majority of this new supply will open in 2016.  We are mindful of the potential pressure on pricing and occupancy that new supply could cause in these markets. However, we like our market position relative to the new higher-cost competitors.
Moving on to investments. During the fourth quarter, we expanded our relationship with Brookdale and MBK with $57 million of investments in 4 senior housing communities, all stabilized with occupancy above 90%. Our priority pipeline includes $400 million of senior housing communities with new and existing operator relationships. We plan to fund these investments from the capital recycling and the assumption of in-place debt. We are primarily focused on acquiring private pay communities that offer both assisted living and memory care services and located in targeted markets with favorable supply-demand characteristics.
I would like to emphasize that we remain conservative and selective as we advanced capital and the senior housing assets. As part of our underwriting and due diligence process, we carefully scrutinize operators' track record, financial alignment and local market industry fundamentals, including potential impact from wage pressures and new supply.
And now Lauralee will cover our medical office, life science and international portfolios."
277966,321991716,929250,"HCP, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Healthpeak Properties, Inc.","Executives","Thank you, Justin. As I opened, 2015 was a very active year for us on almost every front, and we are proud of the performance we've achieved despite operator challenges. In 2015, we sourced over $2 billion of accretive investments at a blended 6.8% cash",768,"Thank you, Justin. 
As I opened, 2015 was a very active year for us on almost every front, and we are proud of the performance we've achieved despite operator challenges. In 2015, we sourced over $2 billion of accretive investments at a blended 6.8% cash yield across 4 of our property sectors, bringing our 2-year investment total to $4 billion at a blended 7.3%. These investments are performing at or above our underwriting, including our CCRC and Chartwell portfolios managed by Brookdale; our international investment with HC-One and Maria Mallaband; our medical office acquisitions of on-campus MOBs in Philadelphia and Houston; and our premier life science development, the Cove. We accomplished also 90% of our 2015 growth through our existing partners, but we also added new high-quality relationships, including Thomas Jefferson University Hospital in Philadelphia, MBK Senior Living and several companies within our life science portfolio. 
We remain selective and disciplined in allocating capital, with 3/4 of our 2015 investments concentrated in private pay senior housing and on-campus medical office buildings. And more than half of our investments were completed through joint venture partnerships, emphasizing our focus on mutual alignment. 
One common theme we have seen over the past year is strong increases in occupancy across our operating portfolio, supported by the location of our properties and their competitive position in their markets. We delivered occupancy growth in our RIDEA, life science and medical operations portfolios. 
Justin already covered RIDEA portfolio growth, so I will focus my comments on our office platform.
Our life science portfolio has had strong leasing momentum this year, driving occupancy to a new all-time high of over 98%, a 300 basis point improvement over prior year. We have now preleased half of our state-of-the-art development at The Cove with Cytomix Therapeutics and Dinali Therapeutics as lead tenants. Cytomix will lease 76,000 square feet beginning in the fourth quarter. They've recently had a successful IPO based on their cancer fighting research. Dinali will lease 38,000 square feet beginning in the third quarter. Led by former Genentech neuroscience leadership, Dinali is a private company focused on neurodegenerative diseases and seeded with over 200 million, the largest first round venture financing in biotech history. We are very pleased to welcome both Cytomix and Dinali as our first 2 clients at the Cove, and we look forward to continue to build more relationships with innovative and growing companies like them. 
In response to our Phase 1 leasing success and continued strong demand from life science users in South San Francisco, where direct vacancy is still below 1%, we recently commenced the $185 million development of Phase 2, which will add 2 Class A buildings totaling up to 200 to 3,000 square feet and is expected to be delivered by the third quarter of 2017. We acquired Edgewater Science and Technology Park in South San Francisco for $83 million. The 6-building campus was recently renovated and is 100% occupied. 
Our medical office portfolio also had a solid year of leasing with year-end occupancy close to 92%, representing 110 basis points of growth over the prior year driven by our strong retention rates of 83% and recent acquisitions. We have expanded our MOB platform by over 20% over the past 2 years, primarily with on-campus buildings while adding 11 new health system partners and expanding 2 existing relationships. We are partners with top-notch health systems in every regional area where we have a strong presence. For example, HCA, our largest relationship, has significant market share in 7 of our top 12 markets where we have at least 500,000 square feet of office space.
We won the Trust Memorial at Hermann, a leading hospital system in Houston with a 24% market share, who selected us as their partner to execute the monetization of their on-campus MOB portfolio. And they continued to select HCP as a capital partner. In January, we broke ground on a 170,000 square foot development on the campus of Memorial Hermann's Hospital. The development is 100% preleased and represents our third on-campus development project underway with them. 
In total, we have 6 MOBs under development or redevelopment, totaling 760,000 square feet, of which 5 are expected to be completed during the first half of the year.  Our MOB portfolio remains in great shape, with 40% of this year's lease expirations already addressed or in negotiations. We achieved solid growth in our non-HCR ManorCare portfolio, which represents 3/4 of HCP's business.
In conclusion, I would like to reiterate that solving the HCR ManorCare lease issue is our highest priority.
Operator, could you now open the line for questions?"
277966,321991716,929250,"HCP, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Healthpeak Properties, Inc.","Operator","[Operator Instructions] First question comes from Nick Yulico with UBS.",10,"[Operator Instructions] First question comes from Nick Yulico with UBS."
277966,321991716,929250,"HCP, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Healthpeak Properties, Inc.","Analysts","It's Ross Nussbaum here. I was hoping you can help us bridge the normalized EBITDAR forecast for HCR ManorCare from the $110 million in the fourth quarter, or I guess maybe $121 million, if you adjust for the losses on those 11 properties, on up to that $",95,"It's Ross Nussbaum here. I was hoping you can help us bridge the normalized EBITDAR forecast for HCR ManorCare from the $110 million in the fourth quarter, or I guess maybe $121 million, if you adjust for the losses on those 11 properties, on up to that $505 million to $555 million run rate? Because it would imply some pretty healthy EBITDAR growth at ManorCare. And it seemed perhaps optimistic, given the joint replacement bundling model that's going on and the bundled payments initiative because there are some additional sensitivities coming from the industry."
277966,321991716,929250,"HCP, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Healthpeak Properties, Inc.","Executives","Yes, Ross, going from the fourth quarter, there are some items, I'll start, that affected the fourth quarter. Both legal expenses and disruption are distractions from the asset sales, that probably in the $10 million to $50 million range across the fourth",97,"Yes, Ross, going from the fourth quarter, there are some items, I'll start, that affected the fourth quarter. Both legal expenses and disruption are distractions from the asset sales, that probably in the $10 million to $50 million range across the fourth quarter. Then if you look at the first quarter, there's generally some seasonality and pickup in census, which we expect to happen. And HCR ManorCare has indicated that they've got a pickup in census here in January. So it's really census pickup and some of the onetime items that they experienced in the fourth quarter."
277966,321991716,929250,"HCP, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Healthpeak Properties, Inc.","Analysts","A couple there, one on if we look at the EBITDAR that's out facility, it's $100 million plus, yes. How should we think about at that business at HCR ManorCare, what that business could be worth, and specifically, how it's viewed as sort of an asset in rel",66,"A couple there, one on if we look at the EBITDAR that's out facility, it's $100 million plus, yes. How should we think about at that business at HCR ManorCare, what that business could be worth, and specifically, how it's viewed as sort of an asset in relation to the term loan, providing some sort of support for the term loan that's outstanding at HCR ManorCare?"
