"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
285827,321233745,920878,"Lockheed Martin Corporation, Q4 2015 Earnings Call, Jan 26, 2016",2016-01-26,"Earnings Calls","Lockheed Martin Corporation","Operator","Good day, and welcome, everyone, to the Lockheed Martin Fourth Quarter and Full Year 2015 Earnings Results Conference Call. Today's call is being recorded. At this time, for opening remarks and introductions, I would like to turn the call over to Mr. Jerr",53,"Good day, and welcome, everyone, to the Lockheed Martin Fourth Quarter and Full Year 2015 Earnings Results Conference Call. Today's call is being recorded. At this time, for opening remarks and introductions, I would like to turn the call over to Mr. Jerry Kircher, Vice President of Investor Relations. Please go ahead, sir."
285827,321233745,920878,"Lockheed Martin Corporation, Q4 2015 Earnings Call, Jan 26, 2016",2016-01-26,"Earnings Calls","Lockheed Martin Corporation","Executives","Thank you, Karen, and good morning, everyone. I'd like to welcome you to our fourth quarter 2015 earnings conference call. Joining me today on the call are Marillyn Hewson, our Chairman, President and Chief Executive Officer; and Bruce Tanner, our Executi",156,"Thank you, Karen, and good morning, everyone. I'd like to welcome you to our fourth quarter 2015 earnings conference call. Joining me today on the call are Marillyn Hewson, our Chairman, President and Chief Executive Officer; and Bruce Tanner, our Executive Vice President and Chief Financial Officer. 
Statements made in today's call that are not historical fact are considered forward-looking statements and are made pursuant to the safe harbor provisions of several federal securities laws. Actual results may differ. Please see today's press release and our SEC filings for description of some of the factors that may cause actual results to vary materially from anticipated results. We have posted charts on our website today that we plan to address during the call to supplement our comments. Please access our website at www.lockheedmartin.com and click on the Investor Relations link to view and follow the charts. With that, I'd like to turn the call over to Marillyn."
285827,321233745,920878,"Lockheed Martin Corporation, Q4 2015 Earnings Call, Jan 26, 2016",2016-01-26,"Earnings Calls","Lockheed Martin Corporation","Executives",".Thanks, Jerry. Good morning, everyone, and thank you for joining us on the call. As today's release illustrates, we completed another quarter of solid operational accomplishments while exceeding all of our full year financial goals, and I couldn't be m",1529,".
Thanks, Jerry. Good morning, everyone, and thank you for joining us on the call. As today's release illustrates, we completed another quarter of solid operational accomplishments while exceeding all of our full year financial goals, and I couldn't be more proud of our team. They remain focused on mission success for our customers and financial results for stockholders while also supporting extensive portfolio reshaping actions. 
We have a number of significant events to discuss today. In addition to reviewing our financial and operational results, I want to provide an update on the FY '16 DoD budget and a discussion of 2 completed strategic actions: the closure of our acquisition of Sikorsky Aircraft and our decision to separate and combine our Information Systems & Global Solutions business with Leidos in a Reverse Morris Trust transaction. Financially, 2015 was an exceptional year with achievement of multiple, new high watermarks for the corporation. I was especially pleased to see the broad-based domestic and international customer support for our portfolio of products. This support resulted in our achieving a record level of backlog of nearly $100 billion. Excluding the acquired Sikorsky backlog, the rest of our portfolio achieved $84 billion, significantly surpassing the $80 billion goal we outlined at the beginning of 2015. Our backlog has us positioned to deliver expanding sales levels and financial results as we move forward in 2016 and beyond. 
A second area where we achieved another high watermark was the generation of over $5 billion in cash from operations, achieving a record annual level for the corporation in this critically important area. This cash flow is only achieved through the daily efforts and focus of our team in executing on contracts for our customers. The robust cash generation also enabled us to expand our cash return to stockholders to a record annual level of $5 billion, achieved through our industry-leading dividend payout level and ongoing share repurchase activity. For 2015, share repurchases reduced the year-end outstanding share count to approximately 305 million shares. We are well on our way to achieve or exceed our goal to reduce the outstanding shares to below 300 million by the end of 2017. Overall, the corporation continue to excel in the attributes we most value: providing critical solutions to customer and returning value to stockholders. 
Looking beyond 2015, our 2016 guidance outlined today results in increased sales, earnings per share and growing cash from operations. The guidance includes the Sikorsky financials from the recently completed acquisition and also reflects the realignment of our information technology and Technical Services businesses. The guidance also assumes continuation of the results for the full year of 2016 from the Information Systems and Global Solutions business identified in our strategic review. We will adjust our financial outlook later this year when the disposition of IS&GS is completed. Bruce will provide a detailed review of the guidance and assumptions in his comments and web charts. 
I'd like to briefly discuss the defense budget. Since we spoke last quarter, significant uncertainty was removed with the successful completion of a bipartisan agreement of the FY '16-based DoD budget. The new budget reflects an annual increase of approximately $25 billion, above the previously planned budget level and is also the first increase in annual DoD budget since 2012. The budget is a recognition of increasing global security requirements and the need to allocate additional fiscal resources to respond to the threat environment. A key element in the increased DoD budget is a double-digit annual percentage increase in the investment accounts that fund new equipment procurement and research development -- research and development activities. This strong funding increase will be used to address the acute need to replace aging equipment while ensuring development of key new technologies to respond to evolving security requirements facing domestic and international customers. As part of the budget, we were pleased to see 11 additional F-35 aircraft added in the FY '16 omnibus. This marks the first time in the history of the F-35 program that aircraft were added to the baseline request, demonstrating strong support for our largest program. We believe our portfolio of products and new technologies will line up very well with essential recapitalization actions in the areas of missile defense, tactical missiles and Rotary aircraft. 
I'd like to now turn to the 2 strategic actions we announced back in July. First, we were proud to welcome the Sikorsky team to Lockheed Martin with the successful closure of their acquisition on November 6. Together, we will build upon a legacy of innovation and performance that has shaped the history of aviation for more than a century. This action advances our commitment to provide customers with affordable mission-ready solutions in rotary aircraft. Their inclusion will enable us to move forward with our goal to expand our business into the strategically important areas of helicopter production and sustainment. Since the transaction closure, the combined team at Mission Systems and Training have hit the ground running. We are already seeing accelerated customer interest in both military and search and rescue opportunities emerging in the Middle East, Asia and Eastern Europe. It is increasingly clear that we will be better together as we leverage our combined scale and serve as a technology leader at the forefront of vertical lift. I am enthusiastic about the opportunities for long-term value creation of this business as we move forward in providing essential products and solutions to customers around the world. 
Turning to our second strategic item. As announced earlier today, we completed the review of our Information Systems & Global Solutions businesses. That review culminated in our decision to separate and combine our IS&GS business with Leidos in a Reverse Morris Trust transaction. We are excited about this path forward and believe this is the best fit strategically and will be beneficial to the shareholders of both corporations. This transaction is an important milestone in the portfolio-shaping strategy we announced last July and allows us to focus on our core business in aerospace and defense. The combination of a proven IT and technical services businesses with Leidos will create a more more diversified competitor positioned for growth and future success while unlocking value for our stockholders. This agreement aligns the IS&GS business with an industry leader in government IT and technical services and will create an enterprise capable of providing unparalleled solutions in industries ranging from national security to health and life sciences. The complementary portfolios of both companies will create a diversified and balanced business mix with expanded domain expertise, increased advantages of scale efficiencies and synergy opportunities. These benefits will be the foundation to create value for stockholders, customers and employees. One of the important goals in our strategic evaluation of the business was to ensure that the final decision provides a good cultural fit and home for IS&GS employees. It is my belief that employee morale and opportunities for their growth are key elements in the future success of every enterprise. Over the last few months, during our many interactions with Leidos, we have come to know their management and culture, and we are confident that this combination fully satisfies our employee goal. Bruce will speak more about the financial aspects of the transaction and the projected time line for closure in his remarks. 
I'd like to end my remarks with a few key operational highlights in the fourth quarter that enabled the corporation to finish the year on a very strong note. Starting with the F-35 Joint Strike Fighter, we we achieved our full year delivery goal of 45 aircraft to domestic and international customers. This delivery level reflects our continuing ramp-up in production on the program and is a 25% increase above prior year delivery. For 2016, we are expecting additional production expansion with planned deliveries increasing to 53 aircraft. The team also continued to retire key tests on the F-35 development program as we look forward to completing remaining tests in 2016 as the development phase winds down. 
Switching to the C-130J air lifter. Multiple highlights were achieved in the quarter with delivery of the 25th -- 2500 aircraft and receipt of the multiyear 2 contract that extends the production line into late 2019. This contract was a portion of the $26 billion in total new contract awards we secured in the quarter and enabled achievement of a strong book-to-bill ratio for the full year of 2015. We also made progress on growing our international sales content, which grew 6% above prior year levels and expanding the international sales content to 21% of total corporate sales. 
I'll close by stating that 2015 was an exceptional year for our corporation, and we implemented bold strategic actions to better position the business for operational and financial success. We secured record new business awards and cash generation, both essential components of future corporate success and value creation. 
Looking forward, I am enthusiastic about the future contributions we can provide to customers and stockholders with our enhanced corporate posture. I'll now turn the call over to Bruce to review our financial performance in more detail, outline our 2016 financial guidance, and then we'll open up the line for questions."
285827,321233745,920878,"Lockheed Martin Corporation, Q4 2015 Earnings Call, Jan 26, 2016",2016-01-26,"Earnings Calls","Lockheed Martin Corporation","Executives","Thanks, Marillyn, and good morning, everyone. As I highlight our key financial accomplishments, please follow along with the web charts that we included with our next release today. Let's begin with Chart 3 and a review of our results for the year. Sales",1636,"Thanks, Marillyn, and good morning, everyone. As I highlight our key financial accomplishments, please follow along with the web charts that we included with our next release today. Let's begin with Chart 3 and a review of our results for the year. Sales for the year were $46.1 billion, ahead of our expectations from when we spoke in the third quarter. Our segment operating margin was also better than expected, ending the year at 11.9%, and this enabled us to achieve earnings per share of $11.46 for the year. Cash from operations for the year was our highest ever at $5.1 billion. We returned $5 billion of cash to our stockholders in the year, led by repurchasing 15.2 million shares for $3.1 billion. And we grew our backlog significantly to almost $100 billion with the integration of Sikorsky into the corporation. We'll cover all these items in more detail in the coming charge an exceptional year in 2015. 
On Chart 4, we compare our sales and earnings per share for 2015 with our results in 2014. Sales were about a $0.5 billion higher this year than last year including the addition of about $400 million of sales from Sikorsky for the short period after the close in early November. Even without the Sikorsky sales, we were slightly higher than last year's results and better than we had expected when we spoke in October as we had higher volume in several business areas as we closed the year. Earnings per share were $0.25 higher than last year at $11.46 for the full year and were also higher than the guidance we provided in October, driven by the increased sales volume and improve performance. 
On Chart 5, we'll discuss our share repurchase activity. We repurchased 15.2 million shares in 2015, nearly 4 million shares more than in 2014, and that brought our shares outstanding at year-end to 305 million shares. This positions us well to achieve our goal of reducing share count below 300 million shares by the end of 2017. At the end of 2015, we have around 4 million unexercised options, which is a significantly lower level than we had several years ago. And the announced transaction with Leidos creates the potential to reduce share count by up to 15 million shares upon closure later this year. 
If you'll turn to Chart 6, we'll review our cash return to stockholders in 2015. Our cash from operations, as we said earlier, was $5.1 billion. And with about $900 million in capital expenditures on the year, we had $4.2 billion of free cash flow. With $1.9 billion in dividends along with the $3.1 billion in share repurchases, we returned $5 billion to our stockholders in 2015, the highest amount in our history, and this represents 120% of our free cash flow for the year. 
Chart 7 shows our backlog levels of the last 5 years. 2015 represents the fifth consecutive year that we've ended the year with more than $80 billion in backlog. Without the addition of Sikorsky's backlog, 2015 would have still represented the highest backlog level in our history at more than $84 billion. And with Sikorsky, our backlog is nearly $100 billion. 
On Chart 8, we discuss our outlook for 2016. We are expecting sales to be in the range of $49.5 billion to $51 billion, and this range includes the realigned IS&GS business area for the entire year as it is our practice not to incorporate adjustments such as our RMT transaction until they've been consummated. I'll provide more color on the sales ranges by business area in a couple of charts. 
Our outlook for segment operating profit is a range of $4.9 billion to $5,050,000,000, and I'll also show you the range by business area in a couple of charts. Our FAS/CAS adjustment is higher than we provided in the October call, and I'll discuss the reasons behind the increase in the next chart. We expect our earnings per share will be between $11.45 and $11.75 for the full year. And our outlook from cash from operations is strong again this year at $5.3 billion, up from the $5 billion [ph] we projected in the October call. 
Chart 9 provides a reconciliation of the expected 2016 FAS/CAS adjustment that we discussed in October compared with our current guidance. We had an actuarial update to the mortality our longevity assumptions that reduced our longevity estimates and results in a lower FAS expense and increased the FAS/CAS benefit by $125 million. Our prior assessment assumes a discount rate of 4.25 -- our prior assumes -- excuse me, discount rate of 4.25% increased at year end to 4.375%, which resulted in a $60 million improvement in the FAS/CAS benefit. The actual return on our pension assets was a negative 2% rather than the 0 return we expected in October, which resulted in a $40 million reduction in the benefit. And with some minor adjustments, which improved $20 million, we increased the FAS/CAS benefit for 2016 by $165 million to $975 million in total. 
Chart 10 provides our sales and segment operating profit outlook by business area for the year. In Aeronautics we adjusted since we spoke in October to incorporate the addition of Sikorsky, the realignment of the IS&GS business or in the case of MST, both. Overall, sales, excluding Sikorsky, will be roughly comparable to our 2000 -- to our level in 2015, although 2015 finished stronger than we had expected. And our segment operating profit and margin, before the incorporation of Sikorsky, is right in line with where we expected it to be when we spoke in October. I want to draw your attention to MST and the incorporation of Sikorsky into that business area as we made some significant adjustments to account for purchase accounting and integration, which we'll discuss more in the next page. 
Chart 11 captures the adjustments made to Sikorsky outlook for both sales and profit. Beginning with purchase accounting, the largest impact to profit is the incorporation of the noncash intangible amortization associated with the acquisition, which lowers profit by approximately $230 million based on current projections, which can change as we finalize our purchase accounting analysis. And we impacted both sales and profit by what are called customer inventory rights. Essentially, this recognizes the portion of government contracts that were partially completed by Sikorsky before our purchase and for which Lockheed Martin can only recognize the sales and profit that has occurred since our ownership. This adjustment reduced the sales by $400 million and profit by $30 million and is weighted much more heavily in the first part of the year, as you would imagine. You will notice the similar reduction in 2015 describing our earnings release. Costs to integrate Sikorsky into the corporation, along with the remaining cost to complete the restructuring actions announced by Sikorsky last year before our purchase amount to another $115 million reduction in profit this year. All told, these adjustments reduced sales by around $400 million and profit by $375 million in 2016. 
If you'll turn to Chart 12, we'll discuss the impacts of the transaction with Leidos that was announced this morning. Stockholders of Lockheed Martin will receive $5 billion of value for our contributed assets in a very tax efficient structure. Just to put some sizing to the tax benefits, we would agree to sell the business for almost $7.7 billion to have created the same after-tax value as the transaction we announced. At current valuations, we would receive the $5 billion in the form of $3.2 billion in equity from Leidos for 50.5% ownership in the newly formed company and $1.8 billion from a special cash payment to Lockheed Martin. The $1.8 billion special cash payment is fixed -- is a fixed amount through closing, while the equity amount will vary with changes in the value of Leidos' shares until closing. Because of it is structured as a stock split off, an additional benefit we would anticipate is a reduction in our share count of up to 15 million shares. In addition, Lockheed Martin stockholders who choose to participate in the split will also benefit from the synergies created by the new company, which are expected to be $120 million a year at steady-state. And because this is anticipated to be a stock split off, we expect to have a significant book gain of more than $1.5 billion at closure. 
On Chart 13, we showed the expected high level impact by some of our future financial measures after the IS&GS transaction is complete compared to what those results would have otherwise been had we retained the IS&GS business. We expect our sales growth rate will be higher under the new structure. GAAP earnings per share should be neutral to slightly positive as the share count reduction from the transaction more than offsets the lost operating profit from IS&GS. Cash from operations is also expected to be higher as the increase in cash generation from Sikorsky offset the loss cash generated by IS&GS. Return and invested capital should be higher at the transaction as a result of using the proceeds to reduce our invested capital base, and we expect shares outstanding to be lower because of a stock split-off arrangement. And at the end of the day, we think the organization better positions the company for long-term growth. 
Finally, on Chart 14, we have our summary. 2015 really was an exceptional performance year, particularly given the strategic actions we undertook. We finished the year strong, and we settled a very solid foundation for 2016. We continue to make cash deployment actions with our stockholders in mind, and we believe that our portfolio shaping actions have us well positioned for future value creation. With that, we're ready for your questions. Karen?"
285827,321233745,920878,"Lockheed Martin Corporation, Q4 2015 Earnings Call, Jan 26, 2016",2016-01-26,"Earnings Calls","Lockheed Martin Corporation","Operator","[Operator Instructions] Our first question for today comes from the line of Rob Stallard of RBC Capital Markets.",18,"[Operator Instructions] Our first question for today comes from the line of Rob Stallard of RBC Capital Markets."
285827,321233745,920878,"Lockheed Martin Corporation, Q4 2015 Earnings Call, Jan 26, 2016",2016-01-26,"Earnings Calls","Lockheed Martin Corporation","Analysts","I think we'd start with the F-35. Marillyn, you mentioned what your expectation was for 2016 deliveries of these aircraft. I'm was wondering what the cadence might be for the futures beyond that given what we're seeing in the FY '16 budget and the export",63,"I think we'd start with the F-35. Marillyn, you mentioned what your expectation was for 2016 deliveries of these aircraft. I'm was wondering what the cadence might be for the futures beyond that given what we're seeing in the FY '16 budget and the export markets and when you might expect this program to move on to a fixed price contract basis?"
285827,321233745,920878,"Lockheed Martin Corporation, Q4 2015 Earnings Call, Jan 26, 2016",2016-01-26,"Earnings Calls","Lockheed Martin Corporation","Executives","Thanks for the question, Rob. Well, as we're looking at deliveries for 2016, 53 deliveries, as I mentioned in my opening remarks, it will grow to roughly 59 or 60 in 2017. And then by 2018, we'll be up to roughly 100 aircraft. And then beyond that, if you",122,"Thanks for the question, Rob. Well, as we're looking at deliveries for 2016, 53 deliveries, as I mentioned in my opening remarks, it will grow to roughly 59 or 60 in 2017. And then by 2018, we'll be up to roughly 100 aircraft. And then beyond that, if you -- so if you look at over those 3 years, it's about 250 to 260 aircraft going forward. And so we really see that the program is getting much more stable as we continue to ramp up. LRIP 11 is going to be the last LRIP where we'll be a fixed price incentive config, and then we move into the production lot on and on, and that will likely be from fixed price."
285827,321233745,920878,"Lockheed Martin Corporation, Q4 2015 Earnings Call, Jan 26, 2016",2016-01-26,"Earnings Calls","Lockheed Martin Corporation","Operator","And our next question comes from the line of Howard Rubel from Jefferies.",13,"And our next question comes from the line of Howard Rubel from Jefferies."
285827,321233745,920878,"Lockheed Martin Corporation, Q4 2015 Earnings Call, Jan 26, 2016",2016-01-26,"Earnings Calls","Lockheed Martin Corporation","Analysts","Bruce, with all the moving parts, would it be possible for you to provide a little bit of a walk between 2015 and 2016? I mean, for example, you have a couple of restructuring items last -- this past year, you have a benefit of an R&D tax credit that was",83,"Bruce, with all the moving parts, would it be possible for you to provide a little bit of a walk between 2015 and 2016? I mean, for example, you have a couple of restructuring items last -- this past year, you have a benefit of an R&D tax credit that was offset and now in the upcoming year, it won't be offset. So you kind of have flat earnings, but the reality is there's some things that should improve as you go forward."
285827,321233745,920878,"Lockheed Martin Corporation, Q4 2015 Earnings Call, Jan 26, 2016",2016-01-26,"Earnings Calls","Lockheed Martin Corporation","Executives","Yes. Thanks for the question, Howard. So you hit that this is a very complicated quarter and a very complicated outlook for 2016 because of all of moving parts you just described. We did have a restructuring event at the end of the last year. You saw that",325,"Yes. Thanks for the question, Howard. So you hit that this is a very complicated quarter and a very complicated outlook for 2016 because of all of moving parts you just described. We did have a restructuring event at the end of the last year. You saw that. This is in our MST business. It amounts about $67 million. Think of this as sort of rightsizing that business post the integration of Sikorsky into MST. I also mentioned in the chart that shows the adjustments to Sikorsky that we're seeing some carryover what I would call restructuring charges from the actions that were taken that are Sikorsky in 2015 before our ownership that are somewhat carrying over into 2016. Those don't quite offset each other, but it's pretty close. As you said, we have the R&D tax credit that occurred at the end of 2015, which benefited us. It wasn't in our outlook until it literally happened in the month of December. So good news about that as that's now becoming permanent going forward. So because it is permanent, we also assumed that in our 2016 outlook. We had some deal closure costs that also had 2015. Think of that as about roughly $0.09 a share or so, I think about $45 million collectively for those sort of transaction cost. And then 2016 is where it gets complicated. We've got, as I said, a purchase accounting adjustments for Sikorsky, the integration in cost for Sikorsky. So just a lot of moving pieces there. It's also important to note that as a result of the debt deal that we did to acquire Sikorsky, interest expense is somewhere in the magnitude of about $230 million or thereabouts, higher than it was in 2015. So I'd hit -- I think, most of sort of things that are changing that are between the year, Howard, they're probably couple that are left out, but I think those are the drivers."
