"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
314842,321866785,935453,"Marathon Oil Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Marathon Oil Corporation","Operator","Welcome to the Marathon Oil Corporation 2015 Fourth Quarter Earnings Conference Call. My name is Katie, and I will be your operator for today's call. [Operator Instructions] Please note that this conference is being recorded. I'll now turn the call over",49,"Welcome to the Marathon Oil Corporation 2015 Fourth Quarter Earnings Conference Call. My name is Katie, and I will be your operator for today's call. [Operator Instructions] Please note that this conference is being recorded. 
I'll now turn the call over to Chris Phillips. Mr. Phillips, please go ahead."
314842,321866785,935453,"Marathon Oil Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Marathon Oil Corporation","Executives","Thank you, Katie. Good morning, and welcome to Marathon Oil Corporation's fourth quarter and full 2015 earnings and 2016 capital program conference call. I'm Chris Phillips, Director of Investor Relations. Also joining me on the call this morning are Lee",300,"Thank you, Katie. Good morning, and welcome to Marathon Oil Corporation's fourth quarter and full 2015 earnings and 2016 capital program conference call. I'm Chris Phillips, Director of Investor Relations. Also joining me on the call this morning are Lee Tillman, President and CEO; J.R. Sult, Executive Vice President and CFO; and Mitch Little, Vice President, Conventional; Lance Robertson, Vice President, Resource Plays; and Zach Dailey, Director of Investor Relations.
As has become our custom, we released prepared remarks last night in connection with the earnings release. You can find those remarks on the associated slides on our website at marathonoil.com. We will begin this morning with additional prepared remarks discussing our 2016 capital program. We issued a separate press release detailing our 2016 capital program last evening. We posted a second slide presentation earlier today for the company's this morning's prepared remarks that can also be found on our website.
After our remarks, the remainder of the call will be available for Q&A. As a reminder, today's call is being recorded. 
Slide 2 contains a discussion of forward-looking statements and other information included in this presentation. Our review will contain forward-looking statements subject to risks and uncertainties that could cause actual results to differ materially from those expressed or implied by such statements.
We have identified in our latest annual report on Form 10-K and other filings with the Securities and Exchange Commission a number of important factors that could cause future outcomes to differ materially from those set forth in those forward-looking statements.
Please refer to the quarterly investor packet on our website for reconciliations of the non-GAAP financial measures discussed in this presentation to their most recently comparable GAAP financial measures.
With that, I will turn the presentation over to Lee, who will begin on Slide 3."
314842,321866785,935453,"Marathon Oil Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Marathon Oil Corporation","Executives","Thanks, Chris. I'd like to extend my welcome to those listening. Last night, we announced a reduced capital program for 2016 that reflects the current challenging environment and our clear objective of balance sheet protection. Our $1.4 billion program in",678,"Thanks, Chris. I'd like to extend my welcome to those listening. Last night, we announced a reduced capital program for 2016 that reflects the current challenging environment and our clear objective of balance sheet protection. Our $1.4 billion program in 2016 is over 50% lower than last year's program and 75% lower than 2014.
As the chart illustrates, we have responded as oil prices have fallen dramatically, and are doing the same in 2016 with our capital program calibrated to a view of WTI in the upper 30s and assume success in our noncore asset sales program.
Our business planning and budgeting are not static but rather, decisions are being made in realtime, in large part facilitated by the optionality afforded by our short cycle investments. We have designed our 2016 programs to maximize capital allocation to the short cycle investments in our U.S. resource plays, complete long cycle projects that contribute production and minimize allocation to conventional exploration. Guided by these principles of the foundation of our plan, production volumes were, by design and outcome, not an objective, and we are forecasting a total company production decline of 6% to 8% year-over-year adjusted for divestitures.
This program provides us the optionality to further adjust our short cycle investments if needed based on commodity prices and the outcome of our noncore asset sales.
Last year, we achieved over $300 million of noncore asset sales toward our original goal of at least $500 million. When we set that original target, we were transparent that the noncore assets under consideration far exceeded $500 million. Based on the transactions announced today as well as progress on the remaining assets, we've increased our target to a range of $750 million to $1 billion. This year's capital allocation is designed to position the company for a sustained period of low commodity prices while maintaining the capability to be flexible in a dynamic environment.
Slide 4 illustrates the allocation of our 2016 program in a bit more detail. As I mentioned, the majority of our 2016 program, about 70% will be directed to the Eagle Ford, SCOOP STACK and Bakken. For each of our 3 core resource plays, we have set a specific objectives for our 2016 investment. Namely, maintaining the efficiencies our Eagle Ford team has worked so hard to capture, protecting our leasehold in the STACK while continuing to improve our understanding of the Oklahoma Resource Basin and focusing on our base business in the Bakken with operated D&C greatly reduce. All of this, of course, while continuing to focus on sustainable cost reduction that will be maintained through the commodity cycle. Across the remainder of the portfolio, we will be completing several long cycle projects in 2016. Most notably, our operated compression project in EG. This project will extend plateau production from the Alba Field by an additional 2 years and allow us to develop in excess of $130 million netball equivalent barrels of proven reserves.
In addition to the EG compression project, we expect first oil this year from investments in 2 outside operated projects, Gunflint in the Gulf of Mexico and Atrush in the Kurdistan Region of Iraq. We're forecasting about $40 million of sustaining CapEx toward our nonoperated working interest in the oil sands this year. We, along with the operator and other JV partner, are intensely focused on building upon the structural cost improvements and better uptime reliability achieved in 2015.
Finally, we've significantly reduced our conventional exploration CapEx this year to $30 million, down about 90% from last year, following the strategic decision we made last fall to scale back in this space. This year spend is largely limited to existing commitments in the Gulf of Mexico and Gabon, with no new exploration wells planned in 2016.
As we enter another year with reduced capital investment, we again look to our short cycle U.S. resource plays to continue providing the operational flexibility to adapt to changing market conditions.
With that, I'll turn it over to Lance to review the resource plays in a bit more detail."
314842,321866785,935453,"Marathon Oil Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Marathon Oil Corporation","Executives","Thanks, Lee. I'll continue with the broad overview of the 2016 program for U.S. resource plays on Slide 5. Consistent with our focus on prioritizing the balance sheet this year, our allocation to the resource plays is anticipated at $1 billion, down about",648,"Thanks, Lee. I'll continue with the broad overview of the 2016 program for U.S. resource plays on Slide 5. Consistent with our focus on prioritizing the balance sheet this year, our allocation to the resource plays is anticipated at $1 billion, down about 50% from 2015. As Lee said, the short cycle nature of these assets allows us to be flexible in a volatile commodity market. If needed, we have the option to reduce spending down further with substantially all of our acreage held by production in the Bakken, the Eagle Ford and in the SCOOP Woodford. We also have relatively few leases with continuing pulling obligations and no long-term rig commitments in these plays.
The pie charts on the slide depict our operated drilling and completions, our nonoperated drilling and completions and other spend across each basin. Through the budget planning process, our intent was to maximize the allocation to drilling and completions opportunities. The nonoperated drilling and completions component of the budget is our current best estimate of the spend based on recent engagement with partners. In the current commodity environment, we are closely scrutinizing each project proposal for costs and returns. When prudent, we will not consent discretionary projects that do not deliver adequate returns. Given the continuing decline in industry rig counts across our 3 basins, the expected bias in the non-operated estimates is lower. For reference, the other spend category broadly consist of diverse nondiscretionary items for direct support and development activity such as centralized facilities expansions, data gathering and other items not directly included in drilling and completions costs but essential parts of an operation.
Turning to the Eagle Ford, we are down to 7 rigs, and we'll be scaling down further to 5 rigs near the end of the first quarter. Additionally, we will be racing to a single Phrack crew for much of the year that will match drilling activity. Consistent with our past practices, we plan to maintain sufficient inventory to keep the completion crew operationally efficient. This activity level retains our execution capability and core competencies, allowing us to continue codeveloping the highest value, Austin Chalk, Upper and Lower Eagle Ford Horizons across our core acreage position. A continued focus on enhancing well productivity through stimulation design and technology application has recently yielded encouraging early results in our high GOR oil areas. As this activity matures, we anticipate sharing more details throughout the year. 
In the Oklahoma resource basins, our capital spend will focus on retaining term leases in the core of the STACK Meramec as we continue to delineate the rich condensate window and optimize stimulation designs. While maintaining leases will be our primary objective across Oklahoma this year, based on the success of our first operated Springer oil well in the fourth quarter in the SCOOP, we will also continue to progress limited Springer activity to delineate the down dip aerial extent of this play.
In the Bakken, we are focused on the base business where we will complete our ongoing water gathering system later this year to further reduce our largest single expense, water handling. Based on the current commodity price environment, we recently released our last operated rig in the Bakken, and plan to have intermittent development activity later in the year, primarily to address continuing drilling obligations. With this reduced level of activity and at recent reprising, we anticipate Bakken achieves cash flow neutrality and 2016.
The $75 million earmarked for outside operated activity in Bakken is our current best estimate of AFEs we expect to receive from partners this year, and each will be scrutinized closely given the current low commodity environment.
Despite reduced resource play activity, we continue to balance our current actions with the need to be responsive when more constructive pricing occurs.
With that, I'll turn the call over to Mitch to review capital activities outside the resource plays."
314842,321866785,935453,"Marathon Oil Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Marathon Oil Corporation","Executives","Thank you, Lance. Referring to Slide 6, I'll provide a brief overview of 2016 activities across our remaining portfolio, where we continue to moderate capital spend, while delivering profitable long cycle projects during the year. Starting with our OSM",444,"Thank you, Lance. Referring to Slide 6, I'll provide a brief overview of 2016 activities across our remaining portfolio, where we continue to moderate capital spend, while delivering profitable long cycle projects during the year. 
Starting with our OSM segment, we've achieved a step-change reduction in sustaining capital levels and our 2016 CapEx at about $40 million as well below historical averages. Along with the operator and our JV partner, our focus remains on maintaining the improved reliability, while lowering operating and sustaining capital costs to reposition the business for profitable operation within the current environment. Despite challenging pricing in the third and fourth quarters last year, OSM was cash flow positive, thanks to offering cost that averaged less than $30 per barrel of synthetic crude oil for the 2 consecutive quarters. But the more consistent operations, our 3 highest net production quarters in the history of the operation occurred last year, leading to 2015 annual production volumes net of royalty at an all-time high while unplanned downtime with an all-time low.
Outside of OSM, we expect to complete 3 long cycle projects in 2016, bringing incremental cash flow is starting in the second half of the year. Beginning with our operated business in EG, we completed a successful and incident free installation campaign of the combined 10,000 tons jacket and topsides for the album v3 Compression Project in mid-January. The project remains on budget and on schedule. Following hookup and commissioning activities, we expect a midyear startup of the new facility. The installation will have 72,000-horsepower of compression and associated processing equipment facilities, which allow us to significantly extend Alba Field life to beyond 2030 with minimal future capital requirements.
In the Gulf of Mexico, we expect startup of the outside operated Gunflint, 2 well subsea development also by midyear.
Finally, in the Kurdistan Region of Iraq, developments are progressing within the Atrush and Sarsang outside operated blocks. 
In the Atrush block, installations of the Phase I 30,000-barrel per day facility is progressing with first oil expected later this year. 4 existing wells will feed the facility and future development decisions will be evaluated following the assessment from well and reservoir performance.
In late 2015, a second well and wellsite production facility were brought online in the Sarsang block. 2016 activity is focused on bringing additional wells online to utilize existing facility capacity while further expansion will be evaluated in light of the current macro environment.
Across the portfolio, we continue to focus on cost management and delivering high operational availability in an effort to defend margins within the challenging commodity price environment.
With that brief summary, I'll pass it back to Lee."
314842,321866785,935453,"Marathon Oil Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Marathon Oil Corporation","Executives","All right. Well, thank you, Mitch. Capital discipline and balance sheet protection have driven the decision supporting our reduced 2016 capital program and slide 7 provides our production guidance. As I mentioned earlier, we're forecasting total company p",421,"All right. Well, thank you, Mitch. Capital discipline and balance sheet protection have driven the decision supporting our reduced 2016 capital program and slide 7 provides our production guidance. As I mentioned earlier, we're forecasting total company production in 2016 to decline 6% to 8% from 2015, adjusted for our divestitures in the Gulf of Mexico and East Texas, North Louisiana.
For the first quarter 2016, our total E&P guidance includes 2 extraordinary downtime events. First, we expect downtime in EG of approximately 20,000 net BOE per day associated with the installation of the jacket and topsides for the ALBA compression project as well as planned maintenance. Installation was completed in January and the ALBA field and on sure plants returned to a full production earlier this month.
Second, late December, the Brae off insulation experienced a pipe failure and first quarter totally E&P production guidance includes the impact of the approximately 7,000 net BOE per day of U.K. production that remains shut-in while repairs are underway. Resumption of full production is expected in the second quarter.
Wrapping up on slide 8. We anticipate 2016 will require a similar level of flexibility to adapt to the uncertain macro environment as is last year. In 2015, we lowered production in G&A expenses over $435 million, we reduced our workforce by over 20%, which will generate about $160 million of annualized net savings and we decreased our quarterly dividend as women increasing annual free cash flow on more than $425 million. We've became even more efficient operators in each of our basins, decreasing completed well costs everywhere through a combination of commercial savings and execution of efficiency.
2016 where a request same level of focus and discipline, and our $1.4 billion capital program is designed with balance sheet protection as our top priority. The plan continues to direct the lion's share of capital to our short cycle resource plays, which provide the most flexibility. The remainder of the portfolio includes completely long cycle projects that contribute production volumes to the company as well as keeping committed capital obligations to a minimal level.
We will continue lowering our cost structure, enhancing operational productivity and progressing toward our newly revised noncore asset sales target of $750 million to $1 billion.
Finally, our $4.2 billion in liquidity at year-end, which includes $1.2 billion in cash in end undrawn $3 billion revolving credit facility, positions us well for the reality of sustained low commodity prices.
That concludes our remarks, and I will now hand back to Chris."
314842,321866785,935453,"Marathon Oil Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Marathon Oil Corporation","Executives","Thanks, Lee. Before we open the call for questions, we would like to request that you ask no more than 2 questions with clarifications and you can repurpose as time permits. With that, Katie, we'll open the lines for questions.",40,"Thanks, Lee. Before we open the call for questions, we would like to request that you ask no more than 2 questions with clarifications and you can repurpose as time permits. With that, Katie, we'll open the lines for questions."
314842,321866785,935453,"Marathon Oil Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Marathon Oil Corporation","Operator","[Operator Instructions] And our first question comes from Doug Leggate from Bank of America Merrill Lynch.",16,"[Operator Instructions] And our first question comes from Doug Leggate from Bank of America Merrill Lynch."
314842,321866785,935453,"Marathon Oil Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Marathon Oil Corporation","Analysts","We, I'm afraid the topic this year is obviously balance sheet strength, credit metrics and obviously the credit agencies' somewhat onerous prices on target. What additional steps are you prepared to take to basically get market from balance sheet can be m",60,"We, I'm afraid the topic this year is obviously balance sheet strength, credit metrics and obviously the credit agencies' somewhat onerous prices on target. What additional steps are you prepared to take to basically get market from balance sheet can be managed this downturn underprepared to allow your credit rating to slide to some investment-grade? And I've got a follow-up."
314842,321866785,935453,"Marathon Oil Corporation, Q4 2015 Earnings Call, Feb 18, 2016",2016-02-18,"Earnings Calls","Marathon Oil Corporation","Executives","Okay. Let me kind of take the first part and then maybe let J.R. jump in a little bit on just our view from a credit metrics standpoint in the ratings agencies. But our plan, Doug, as we stated in our opening remarks, was really designed with the view of",241,"Okay. Let me kind of take the first part and then maybe let J.R. jump in a little bit on just our view from a credit metrics standpoint in the ratings agencies. But our plan, Doug, as we stated in our opening remarks, was really designed with the view of kind of a high $30 WTI, and assumes success in our noncore asset sales target. But we still have implicit, quite a bit of flexibility within our capital program to really adjust further as we see changes in price changes in the macro as well as we see the outcome from our noncore asset sales. I think we demonstrated last year our certainly, our willingness to use every label lever available to us to ensure that we do in fact protect the balance sheet. I think there are a few of those in my opening remarks, but the adjustment to the dividend, I think even the reduction in our capital budget last year of about $500 million, the strong steps that we took earlier in the cycle in both production expenses and G&A costs, including a basically a 700 reduction in our workforce, all of these, I think, are demonstrative of the action that we are prepared to take to ensure that we are putting balance sheet protection first and foremost. Maybe with respect to the credit agencies and the credit metrics. Perhaps I'll just let J.R. chime in on those."
