"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
31153,324407066,929466,"Martin Marietta Materials, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Martin Marietta Materials, Inc.","Operator","Good day, ladies and gentlemen, and welcome to the Martin Marietta Q4 2015 and Full Year Conference Call. [Operator Instructions] As a reminder, to this conference being recorded. I would now look to introduce your host for today's conference call, Mr. Wa",51,"Good day, ladies and gentlemen, and welcome to the Martin Marietta Q4 2015 and Full Year Conference Call. [Operator Instructions] As a reminder, to this conference being recorded. I would now look to introduce your host for today's conference call, Mr. Ward Nye, Chairman, President and CEO. You may begin, sir."
31153,324407066,929466,"Martin Marietta Materials, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Martin Marietta Materials, Inc.","Executives","Thanks for joining us for Martin Marietta's quarterly earnings call. With me today is Anne Lloyd, our Executive Vice President and Chief Financial Officer. To facilitate the discussion, we've made available during this webcast and on our website supplemen",2954,"Thanks for joining us for Martin Marietta's quarterly earnings call. With me today is Anne Lloyd, our Executive Vice President and Chief Financial Officer. To facilitate the discussion, we've made available during this webcast and on our website supplemental financial information, which we believe will be helpful. As detail specifically on Slide 2, please remember that today's teleconference may include forward-looking statements as defined by securities laws in connection with future events or future operating and financial performance. Like other businesses, we're subject to risks and uncertainties which could cause actual results to differ materially. Except as legally required, we undertake no obligation to publicly update or revise any forward-looking statements whether resulting from new information, future developments or otherwise. We refer you to the legal disclaimers contained in our fourth quarter and full year earnings release and other filings with the Securities and Exchange Commission, which are available on both our own and the SEC websites. Also as a reminder, any margin references in our discussion are based on net sales and exclude freight and delivery revenue. These, and other non-GAAP measures are also explained in our supplemental financial information as well as on our website and in our SEC filings. 
Upon leveraging the full year of [indiscernible] TXI operations with our heritage business, 2015 enters the books as a record year. Specifically, we achieved record safety results, record net sales and profitability, expanded consolidated gross profit margin, exceeded incremental margin targets for the consolidated heritage business, exceeded acquisition synergies targets in both dollars and time line, invested capital in our business, completed several bolt-on acquisitions and returned nearly $630 million [ph] to shareholders through dividends and share repurchases. These impressive results we achieved with both tailwinds and headwinds. 
The tailwinds. 2015 construction markets experienced continued growth in private activity led by housing as well as the emergence of enhanced public sector activity as best revealed by a 7% [ph] increase in highway construction. Nonetheless, we had a very significant headwind as 2015 saw unprecedented amounts of precipitation in our core states of Texas, North Carolina, Iowa, Georgia and Colorado, disproportionately impacting second and fourth quarter performance. By some estimates, and indeed our own calculation and internal plans, multiple sustained extraordinary weather events combined with the downturn in energy sector shale development likely cost us up to $200 million in sales for the year, masking the underlying strength of general construction. That underlying strength is revealed in the solid growth we see across our business with the market acceleration of the construction recovery in key Southeastern markets, fueled by steady employment growth, continued private sector activity and expanded Department of Transportation programs. We thus entered 2016 with what we believe are very favorable market and operating tailwinds, building upon our teams record 2015 results. This past results and future opportunities are tied to our strict and steadfast attention to cost discipline, further underscoring the positive result of years of improving our operating efficiency. We're also specifically very proud of our 2015 record safety performance, a core foundational pillar of our company. We concluded 2015 with incident rates better than what had been 2014's then record results. Notably, we continue to see dramatic improvement in the safety numbers of the former TXI operations, further underscoring our successful operational and cultural integration. Safety is first at Martin Marietta. In December, we completed construction of our state-of-the-art Medina Rock and rail quarry near San Antonio, Texas. Shipments from Medina now are expected to replace rail shipments from our Beckmann Quarry, as a transition from a distance rail and truck-serve quarrying to wholly focusing on the local San Antonio marketplace. The Medina job was on time and on budget. The construction of $160 million facility spanned 3 years is the largest and most complex capital project in the company's history and is now the largest quarry on the Union Pacific Railroad's fast network. Medina began operation in January 2016, and we expect to ship nearly 6 million tons of aggregates this year. 
As highlighted in today's press release, we continue to execute against our strategic objective of securing and solidifying [indiscernible] in Colorado Springs. These 2 bolt-on transactions complement our position in Metro Denver and Northern Colorado, a position we originally acquired in 2011 with our river for the Rockies asset exchange, and provide attractive in leading positions along the Front Range of the Rocky Mountains, home to over 80% of Colorado's population. Following these recent transactions, we've added an estimated 1 billion tons of aggregates reserves. Strategically, 4 years ago we've had no Front Range position whatsoever. Today, we are marketplace leader with nearly 100 years of high-quality construction aggregates in a region with near- and long-term favorable employment and demographic conditions. 
Turning to the fourth quarter performance. We established quarterly records for net sales and profitability driven by strong pricing, disciplined execution of our strategic plan and steady growth in construction activity. Importantly, all segments in the aggregates business delivered
[Audio Gap]
grew with a 630 basis point improvement, largely resulting from strong pricing and realized TXI synergies. As shown on Slide 7, through the end of 2015, we've realized approximately $100 million of our $120 million synergy target, reflected in both the acquired business and heritage West Group performance. We are on track to fully realize our $120 million synergy target by the end of this year. 
On a more granular basis, our 2015 record results were driven by strong pricing across our aggregates, aggregates-related and Cement businesses, shown on Slide 8. Notably, the heritage aggregates product line delivered an increase of more than 7% in average selling price, while heritage ready-mixed concrete prices increased nearly 10%. The acquired businesses, aggregates, ready-mixed concrete and cement, saw a price increases of 13%, nearly 11% and 10%, respectively, in line with our stated objectives. For the year, heritage aggregates product line volume increased 2% and total aggregates product line volume increased 7%. This is again despite record or near record occurring precipitation in 5 of our largest states. 
The Southeast and the Mid-America Groupies led volume growth on the strength of recovery in Georgia, Florida and the Carolinas. The West Group, which was most affected by the adverse weather conditions, reported an increase in aggregates volume of 1.2%, excluding TXI-related divestitures, which affect comparability with the prior year. Aggregates volume growth for the year was notable in North Texas, but was somewhat offset by declines in directional energy aggregate shipments in South Texas. 
Volumes grew across all product lines with the exception of asphalt, where our Texas divestiture in the fourth quarter affected year-over-year comparability. Of note, asphalt margins expanded to 28% or just over 1,000 basis points, clearly reflecting improved profitability in our core Colorado asphalt business. Consolidated gross profit margin was 22% and expanded by 260 basis points for the year, led by margin expansion in all construction materials related segments. Gross profit for the heritage aggregates business increased $130 million over the prior year, with margins expanding 480 basis points to 23.8% [ph] of net sales the incremental gross margin for the heritage aggregates business exceeded targeted objectives for both the fourth quarter and full year 2015. The incremental gross margin of 82% for the full year 2015 was led by growth in both the West Group and the Southeast Group, which achieved incremental gross margin of 100
[Audio Gap]
the acquired businesses gross profit margin also expanded 300 basis points in 2015, led by acquired aggregates product line gross profit margin of nearly 27%, up from 4.6% for the comparable prior year period, reflecting synergy realization and underlying strength in both volume and pricing. Due to the September 2015 sale of our California Cement business, quarterly results for the Cement segments are not comparable to the prior year period. And in fact, comparability will be affected throughout 2016. Quarterly details for the Cement business can be found on Slide 9 for elimination of the California results. However, for the remaining Cement business has benefited from Martin Marietta's significant pricing improvement in 2015. 
Average selling prices increased 10%, aided partly by the expiration of legacy TXI Cement contracts at below-market pricing and the divestiture of the California business. For the year, the business generated $368 million in net sales and delivered a 28% gross profit margin, a 310 basis point improvement over the prior year. 
EBITDA for the business was $101 million, a $30 million increase. 
The Magnesia Specialties business was negatively affected by a slowdown in the steel industry in 2015. Steel capacity utilization was down from approximately 78% in 2014 to 71% in 2015. Full year net sales were $228 million, a decline of $9 million or 4% compared to the prior year. The Magnesia Specialty's team diligently managed the cost profile of the business during the year and despite steel capacity utilization declines delivered an impressive 35% gross profit margin. 
On a consolidated basis, 2015 delivered record net sales of $3.3 billion, an increase of $589 million or 22%; record gross profit of $722 million, an increase of $199 million or 38%, record net earnings of $289 million, an increase of 86% and record adjusted EBITDA of $766.7 million, an increase of 30%. The significant improvement in net earnings coupled with the absence of TXI-related costs, further increase in operating cash flow in 2015 to $573 million compared with $382 million in 2014. Operating cash flow per share of $8.55 improved 8% [ph] when compared to adjusted 2014, which excludes the cash impact of TXI-related expenses. 
We invested $318 million of capital during the year, including $78 million related to the new Medina Rock quarry. For the year, we returned nearly $630 million to our shareholders through the combination of repurchasing 3.3 million shares of our common stock, together with our dividend. As a reminder, we have board authorization to repurchase up to 20 million shares. Finally, our ratio of consolidated net debt to consolidated EBITDA for the trailing 12 months ended December 2015 was 1.9x, in compliance with our leverage covenant and below our target leverage of 2x. 
In summary, 2015 was a remarkable year for Martin Marietta. And despite being tempered by extraordinary weather that cloaked our true earnings potential, our team is poised for an even stronger 2016. We are confident we have the foundation in place for improved growth, profitability and performance. 
We will now look to the future and discuss our 2016 outlook, which we highlight on Slides 11 through 13. Initially, you'll notice an improvement in our expected growth as compared to our very early thoughts provided in third quarter 2015. Our 2016 outlook now reflects growing underlying demand and strong pricing across our entire geographic footprint. National employment growth, a stimulus for construction activity, remained robust in 2015, surpassing the prerecession peak by nearly 5 million jobs. These job gains, in addition to contractor backlogs, which resulting from [indiscernible] 2015 rainfall, should fuel growth and further recovery of the U.S. construction industry in 2016 and beyond. Public sector growth is expected to drive mid-single-digit volume increases in our infrastructure business, which accounted for 41% of our aggregates demand in 2015. The growth reflects continued state-level funding initiatives that are positively impacting several of our key states, including Texas, North Carolina, Iowa, Georgia and Florida. For example, in Texas, nearly $10 billion through Department of Transportation lettings are planned, up from $6.1 billion in 2015. Dallas-Fort Worth alone is the beneficiary of 4 major design build projects aimed at mitigating areas congestion and improving traffic flow. There's also significant and continuing infrastructure work in and around Houston. Additional evidence of state-level infrastructure investment tailwinds is revealed by recent project scheduling changes announced by the North Carolina Department of Transportation or NCDOT. Specifically, after the passage last year of various new state funding initiatives, NCDOT announced an accelerated schedule for 90 [ph] Highway projects. This example is consistent with our [indiscernible] expectations around state construction project backlog. 
In addition to state-level initiatives, we now have the 5-year, $305 billion Fixing America's Surface Transportation Act or FAST Act. Enacted in December 2015 to provide states with the required funding certainty for the first time in nearly a decade to commit to a backlog of longer-term projects needed to improve and expand America's transportation network. We believe the FAST Act, along with state-level funding initiatives, will drive large, multiyear, aggregate-intensive construction projects. Further, it's also likely we will see meaningful projects in rural areas that had been infrastructure-starved during the last decade and will now be better able to develop new avenues for growth and commerce. 
Shipments to nonresidential construction projects, 32% of our 2015 demand, is expected to increase in both the heavy, industrial and light commercial sectors, leading to an increase in aggregates volume in the high single digits. The light nonresidential construction sector is primarily opposite retail, with demand generally tied to employment growth and residential activity. Notably, the Dodge momentum index is near its highest level since 2009, signaling continued growth. Further, core Martin Marietta's states account for 5 of the top 10 and 9 of the top 20 in state-level employment growth, including Florida, Texas, Georgia, North Carolina, Ohio, Indiana, South Carolina, Virginia and Colorado. All positive catalysts for construction activity. The heavy nonresidential construction sector is primarily industrial building as well as energy and energy-related activity. We are currently supplying several large energy-related industrial and infrastructure projects along the Gulf Coast and expect our project backlog to grow, thus largely offsetting the decline in direct shale exploration activity. We believe that direct shale activity will reach a maintenance level in the fourth quarter of 2015 and should sustain at that level throughout 2016. Of course, results for the first and second quarters of last year reflected higher than maintenance level consumption and are expected to affect our comparability to the first half 2016 results. The residential end-use market accounted for 17% of aggregate shipments in 2015 and increased 20% as compared to 2014. We expect a double-digit volume increase again in 2016, reflecting the continued steady recovery of residential investment as a result of positive employment gains, historically low mortgage rates, significant [indiscernible] absorption and higher multifamily rental rates. New housing permit activity was up 12% in 2015, indicating future gains in housing construction. Importantly, Texas, Florida, Colorado, Georgia and North Carolina each ranked in the top 10 states for housing starts. 
Finally, to conclude our discussion of 2015 end-use markets, the ChemRock rail market represented the remaining 10% of aggregates volume is expected to remain relatively flat to modestly down in 2016. 
We'll now focus on Texas, where we continue to be encouraged by the resilience of the broader marketplace. In short, we anticipate increasing overall demand driven by solid population and employment growth. Construction activity in our larger volume markets principally being the vibrant corridor of Dallas, San Antonio, Austin is expected to grow throughout 2016 and beyond led by multiyear infrastructure activity, a strong residential marketplace and solid nonresidential construction. South Texas, of course, has seen a decline in shale oilfield activity, thus reducing our direct shipments by
[Audio Gap]
In late 2016 or early 2017, we'll open a new aggregates facility on Martin Marietta-owned property at the Hunter Cement plant northeast of San Antonio. This undertaking will allow us to transition from our leased and nearly depleted new Brownfields quarry only 10 miles away to a permanent location with over 400 million tons of quality aggregate materials providing improved access to local markets. The Hunter aggregates quarry will be an additional synergy from the TXI acquisition that will benefit our company in 2017 and beyond. 
Our expectations for 2016 volume levels in Houston have moderated from 2015 [ph] levels where we saw an 11% increase in aggregate shipments. We now expect aggregate volume in that marketplace to be broadly flat with any potential upside being spurred by large infrastructure projects and any downside being driven by a sharper deterioration in the used in Houston economy. That said, it's important to remember that our principal Texas markets are located in North and Central Texas and not materially impacted by Houston market conditions. The Portland Cement Association or PCA forecast modest demand growth in Texas in 2016 followed by stronger growth in 2017. We currently expect 2016 cement volume to increase 8% to 11%. We previously announced a cement price increase to $12 per ton effective April 1, 2016. Based on the expected flow of shipments, we'll likely realize a year-over-year average selling price increase of approximately 9%. Both volume and price growth forecasts exclude the 2015 results of the divested California Cement business. Profitability is forecast to increase by an estimated $30 million in 2016. 
On a consolidated basis, 2016 is expected to deliver record-setting results, including net sales ranging from $3.5 billion to $3.7 billion expanded gross profit and expanded EBITDA. As we've consistently stated, our capital allocation priorities remain unchanged. They are investing in aggregates-led acquisitions, organic capital investment to ensure safe, environmentally-sound and highly-efficient operations and returning cash to shareholders in the form of a sustainable, meaningful dividend and share repurchases under our existing authority. 
To conclude, we're optimistic and excited about 2016. We entered the year with an enhanced foundation for further growth and outlook for improved business conditions across the vast majority of our markets, led by solid private sector construction activity and a newly reinvigorated public sector. Our team remains focused on the careful execution of our strategic plan, wholly committed to our core foundation of pillars and dedicated to delivering increased shareholder value. 
If the operator will now give the required instructions, we'll turn our attention to answering your questions."
31153,324407066,929466,"Martin Marietta Materials, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Martin Marietta Materials, Inc.","Operator","[Operator Instructions] Our first question comes from Kathryn Thompson with Thompson Research Group.",13,"[Operator Instructions] Our first question comes from Kathryn Thompson with Thompson Research Group."
31153,324407066,929466,"Martin Marietta Materials, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Martin Marietta Materials, Inc.","Analysts","The first is just on visibility, in general, particularly related to states that have passed new pieces of legislation that should we've already seen a significant increase in tax receipts for infrastructure. But the question I have for you, particularly",66,"The first is just on visibility, in general, particularly related to states that have passed new pieces of legislation that should we've already seen a significant increase in tax receipts for infrastructure. But the question I have for you, particularly for Georgia and North Carolina, and given the changes in 2015, have you seen volumes flow through from these legislative initiatives that were passed last year?"
31153,324407066,929466,"Martin Marietta Materials, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Martin Marietta Materials, Inc.","Executives","Kathryn, the short answer is we're going to see it. Think about North Carolina. They basically put in more money at the end of the last year. And to be specific, that was an additional $700 million over 2 years. The other thing that North Carolina has it'",346,"Kathryn, the short answer is we're going to see it. Think about North Carolina. They basically put in more money at the end of the last year. And to be specific, that was an additional $700 million over 2 years. The other thing that North Carolina has it's spending that we'll see voted on later on the year is a $2 billion building bond proposal as well. So I think to answer your question very specifically, when our legislature came out with the additional $700 million, we did see the state implementation plan move forward 90 projects in -- up into the year. So we do anticipate seeing that. So yes, we're seeing activity that we believe will take aggregates volume later in the year. And clearly, we're effectively doubling the Georgia budget, adding that additional $900 million to it. We will clearly see amped-up activity in Georgia. Remember, we were going to be benefited, too, by the [indiscernible] planning that was put in principally in South Georgia a couple of years ago. So now what we will see, I believe, is greater activity across the State of Georgia. But you're seeing the activity that we were seeing in South Georgia, increased activity in North Georgia, principally around Atlanta. And we know we'll see more activity in North Carolina as well. I think it's worth noting, Iowa did put in a $0.10 a gallon gas tax increase last year. Nebraska did as well. We're going to see the benefits of Prop 1 [ph] money in Texas, and we're seeing near-record lettings in Florida this year. So we're seeing new money in a number of states, and we think we see more money coming in a number of states, including states like Indiana, where Governor basically said he'd like to see another $1 billion worth of infrastructure in that state. And we've got 12 different states right now seriously considering gas tax increases in addition to what Georgia and Iowa have passed. So that gives you a little bit of a feel of across the patch, Kathryn."
31153,324407066,929466,"Martin Marietta Materials, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Martin Marietta Materials, Inc.","Analysts","And just to clarify, so if you look at all these initiatives in aggregate, we are -- are we in the early earnings, middle innings of seeing the dollars flow through? I would assume the early innings, but you're the one in the field seeing the volumes flow",49,"And just to clarify, so if you look at all these initiatives in aggregate, we are -- are we in the early earnings, middle innings of seeing the dollars flow through? I would assume the early innings, but you're the one in the field seeing the volumes flow through."
31153,324407066,929466,"Martin Marietta Materials, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Martin Marietta Materials, Inc.","Executives","No, Kathryn, we are in the early innings. And I think part of what you're seeing, too, it's not just early innings. It's early innings of different type of work. Think of it in these terms. For much of the last decade, we have really been living more on p",170,"No, Kathryn, we are in the early innings. And I think part of what you're seeing, too, it's not just early innings. It's early innings of different type of work. Think of it in these terms. For much of the last decade, we have really been living more on private work than public work. And private work is not as aggregate-intensive as public work is. And what we're seeing now is a transition away from repair and maintenance of public work to a very different type of public work that I do believe we're in the early innings of. And I think you and I have both the sense that the more that we're building new lanes, the more that we're building new highways or new roads, and the more of these rural parts of the state are looking to add capacity and open up new lanes and corridors for business, that's awfully powerful to our business and I think very, very much aggregate-intensive. So early, yes. More aggregate-intensive, yes."
31153,324407066,929466,"Martin Marietta Materials, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Martin Marietta Materials, Inc.","Analysts","Okay. And then next to questions. One, I appreciate your giving some clarification on the -- increasing your end market with projections from Q3. But could you frame the outlook of that account for the relatively large increase or improvement in the diffe",80,"Okay. And then next to questions. One, I appreciate your giving some clarification on the -- increasing your end market with projections from Q3. But could you frame the outlook of that account for the relatively large increase or improvement in the difference? And then the final question would be on cement margins. If you could just help us think about -- it does look to be a big jump and maybe help us understand the improvement in Cement margins."
31153,324407066,929466,"Martin Marietta Materials, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Martin Marietta Materials, Inc.","Executives","Sure, Kathryn. Let's talk about the first part of your question first. I think what we're seeing is increased contract backlogs across our entire footprint. We have also seen the awarding of several large energy-related industrial contracts, particularly",566,"Sure, Kathryn. Let's talk about the first part of your question first. I think what we're seeing is increased contract backlogs across our entire footprint. We have also seen the awarding of several large energy-related industrial contracts, particularly in -- along the Gulf Coast. I think what we're seeing in the fourth quarter, when it wasn't raining, the fourth quarter looked very powerful. I'll give you a sense of -- I've been in Texas 3 times over the last 1.5 months, and I was there for part of the holidays. And I'm talking to contractors in that marketplace, literally the weaker Christmas was dry, they were saying they were having really record days even at that time of year, which I'll tell you is unusual, but it gives me a sense of what's out there. And the other point I think goes back to the very beginning of the conversation that we had, and that's just simply more accelerated infrastructure activity in our key states. So we're looking at those $10.1 billion worth of activity, potentially in Texas, more in North Carolina, more in Iowa and more in Colorado. And remember what we said about Colorado. The primary thing that was keeping us from doing more in Colorado is we needed more business in Colorado. And now what we've been able to effectively do is extend our march down the Front Range into the southern part of that as well. So I think all of those together has put us in a position that we feel considerably good about the way 2016 is shaping up. I think as we go back to the second part of your question, that is relative to Cement, I think several things are going to happen. One, Cement was badly effected last year by the rain. I mean it's hard to run a cement business which is a 24/7, 365 business, if you need to take it down more than you would wish. And keep in mind, our aim was to be a price leader in that state. And our view was we would rather take those cones down rather than keep them going and do something that we felt that was going to be foolish relative to the selling price in that marketplace. In large part, we believe we can have greater efficiencies in Cement this year, but we also think we're going to see better pricing in Cement this year. We saw a little bit of share movement in our business since Cement. And the fact is, we were willing to see that share movement move because that was really driven by 2 distinct players in the marketplace. Holcim had brought on a cone again that they had idled for a while at Midlothian, and they were coming back into the marketplace. And our goes, as we discussed, was bringing in some material in South Texas. We believe as we go into the year that everybody is likely to be relatively full. We believe we're going to be efficient. We believe we're going to be successful on our price increases. And we think by the time we put all of that in place, we're looking at very nice improvement in the Cement business. And by the way, we're looking for a very nice improvement in the ready-mix business as well. I think those are your principal drivers in Texas."
31153,324407066,929466,"Martin Marietta Materials, Inc., Q4 2015 Earnings Call, Feb 09, 2016",2016-02-09,"Earnings Calls","Martin Marietta Materials, Inc.","Executives","Kathryn, the only thing I would add is that when you look at comparability between 2015 and 2016, you've got to remember the impact of the California operations, which were really still not at any kind of recovery trajectory.",39,"Kathryn, the only thing I would add is that when you look at comparability between 2015 and 2016, you've got to remember the impact of the California operations, which were really still not at any kind of recovery trajectory."
