"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
6477196,320074166,923584,"MasterCard Incorporated, Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","Mastercard Incorporated","Operator","Good morning. My name is Sean, I'll be your conference operator today. At this time, I'd like to welcome everyone to the MasterCard Fourth Quarter Full Year 2015 Earnings Conference Call. [Operator Instructions] Head of Investor Relations, Ms. Barbara Gas",45,"Good morning. My name is Sean, I'll be your conference operator today. At this time, I'd like to welcome everyone to the MasterCard Fourth Quarter Full Year 2015 Earnings Conference Call. [Operator Instructions] Head of Investor Relations, Ms. Barbara Gasper, you may begin your conference."
6477196,320074166,923584,"MasterCard Incorporated, Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","Mastercard Incorporated","Executives","Thank you, Sean. Good morning, everyone, and thank you for joining us for a discussion about our fourth quarter and full year 2015 financial results. With me on the call this morning are Ajay Banga, our President and Chief Executive Officer; and Martina H",253,"Thank you, Sean. Good morning, everyone, and thank you for joining us for a discussion about our fourth quarter and full year 2015 financial results. With me on the call this morning are Ajay Banga, our President and Chief Executive Officer; and Martina Hund-Mejean, our Chief Financial Officer.
Following comments from Ajay and Martina, the operator will announce your opportunity to get into the queue for the Q&A session. Up until then, no one is actually registered to ask a question. [Operator Instructions]
This morning's earnings release and the slide deck that will be referenced on this call can be found in the Investor Relations section of our website, mastercard.com. These documents include some reconciliations of non-GAAP measures to their GAAP equivalents so I'd like to call your attention to the several appendix slides at the end of the slide deck. The documents have also been attached to an 8-K that we filed with the SEC earlier this morning. A replay of this call will be posted on our website for 1 month. 
Finally, as set forth in more detail in today's earnings release, I need to remind everyone that today's call may include some forward-looking statements about MasterCard's future performance. Actual performance could differ materially from what is suggested by our comments today. Information about the factors that could affect future performance are summarized at the end of our press release as well as contained in our recent SEC filings.
And with that, I will now turn the call over to Ajay."
6477196,320074166,923584,"MasterCard Incorporated, Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","Mastercard Incorporated","Executives","Thank you, Barbara. Good morning, everybody. I'm very pleased to be able to deliver strong results for both our fourth quarter and the full year performance, even with the mixed global economy. For the fourth quarter, after we adjust for the Euro and th",1839,"Thank you, Barbara. Good morning, everybody. I'm very pleased to be able to deliver strong results for both our fourth quarter and the full year performance, even with the mixed global economy. 
For the fourth quarter, after we adjust for the Euro and the Brazilian Real [ph] translations, we report net revenue growth of 9% and EPS growth of 22%, driven by solid underlying metrics. And for the full year, we saw a net revenue growth of 8% and EPS growth of 18%, excluding special items. And most importantly, when you remove the impact of the functional currency translation of that I just said for the euro and the Brazil Real, but also for what we call local FX, which is the impact from other transactional currency pairs, our fourth quarter net revenue growth was 12%. And on that basis, for the full year, net revenue growth was almost 11%.
Moving on to the global economy, we continue to see challenges in many parts of the world. The U.S. economy seems the most resilient and saw good growth in both consumer spending and jobs. In Europe, growth is expected to increase at the fastest pace since 2011. Although this is at a lower level driven by stronger domestic demand and exports. However, several big emerging market economies, China and Brazil being examples, are experiencing either weak or slowing growth. And of course, oil prices have that impact on oil sensitive markets around the world, political instability, security concerns in some tourist destinations, given all concerns, that they're careful watching. We are globally connected as a company. And so what you've got to do is to work to successfully navigate through these challenges exactly as we have in the past.
So with that backdrop, let's get it to our business. Our business continues to grow and our fundamentals remain strong. We saw double digit volume and transaction growth across all regions except the U.S. We saw growth in the mid to high-single digits. And additionally, our services businesses provide a nice complement to our volume-based core business and continued to show good growth. So moving on to a few highlights of the year and some of our recent business activity.
Overall, I've said 2015 was a year that had economic challenges, and then we also have to deal from partnership volatility. And as I said earlier, not just in the Euro in the Brazil Real, which are functional currencies but in the other local transaction currencies stands as well. But despite all of that, I think we have navigated these circumstances well, and we put significant points in the board us a result of our investments in digital payments, in safety and security as well as in the financial inclusion.
And this year, we talked about winning some significant customer deals. I've called out many of those in previous calls but the top of the year, let me mention a few that were added in the fourth quarter. So this past quarter, we've renewed, and we expanded our relationships with a number of our larger customers, including, in this case, Citigroup's commercial card portfolios in Asia Pacific, in Europe and the United States. The HSBC Premier consumer credit business covering 28 markets around the world. In Italy, we signed a long-term debit agreement with Post Italian to migrate their Maestro cards to debit MasterCard but we also expanded our advisory services to help the drive financial inclusion and digital products for their customers.
In Russia, we TB is in the second largest bank and the card ensuring that countries is converting their debit card portfolio to MasterCard. In another example, we've signed a long-term renewal with Qatar National Bank, one of the larger banks in the Arab world for their debit card portfolio.
Turning to China. [indiscernible] I reported to the opening of the domestic market. There's still a work in process. But we are executing on certain elements that have already been in the draft regulations such as building out our technology on the ground. Meanwhile, we are continuing to work with our Chinese customers, as they themselves prepare for the next wave of payments growth as well as to expand into the digital space. So let me give you 2 or 3 examples to give you some color on what we're doing.
We worked closely with both Bank of China and ICBM. These are 2 of China's top 5 state-owned commercial banks. To launch their mobile payments in China, they're utilizing our tokenization and cloud-based technologies for that.
Already for the new regulation, some banks are beginning to issue single branded cards with international networks.  In 2015, we have launched 32 single-branded programs in China, including 1 this past quarter with the Bank of Communications for their first single-branded EMV credit card. They also utilized our card management products. No, what I mean, by single-branded is that we are the only network brand on that card. There is no China, UnionPay on that card. That's what single-branded means. 
Finally, we're also seeing more issuance of commercial card products. In the fourth quarter, we won new business of the Bank of Beijing and we the agriculture bank of China for their commercial card portfolios.
Now 2015 was a big year for us in the digital space. We're actually pleased with our progress with our MasterPass. We have launched in 13 new markets this year, in the fourth quarter, Japan, Sweden, Ireland, Slovakia, where the latest markets to go live. And that brings the total number of MasterPass markets to 29.
In 2015, we launched a total of 64 new MasterPass enabled wallets, with some of the more recent additions being Access Bank in India, Net Bank in South Africa and the first wallet in Japan with UC card.
We are busy expanding acceptance with premier margins, representing the largest volume opportunities in the marketplace and ahead of our Walmart and Sam's Club, Staples, [indiscernible] JetBlue, Barnes & Noble College [indiscernible] Barrel [ph] , et cetera, et cetera. All of whom are launching MasterPass in this coming year of 2016.
And on our third quarter earnings call, I've talked about the launch of the MasterCard commerce for every device program, to enable any consumer gadget, any accessory available wherever to pick up a payment device. And we also mentioned we were working with fashion designers, with automakers, with smart band developers and last quarter, we announced our partnership with General Motors to integrate our Digital Enablement System into their own store platform. We are actually continuing to build on that momentum because this month, earlier at the Consumer Electronic Show, along with Samsung, we announced Grocery by MasterCard. That's basically a new app that allows consumers to order groceries directly from their new family hub refrigerator.
We've also announced the partnership with Coin, that's the consumer electronics and financial software company that will help us bring MasterCard payments to a wide area of fitness brands like those from Atlas, [indiscernible] or Smart watches from [indiscernible] and other variable devices.
While none of this is expected to be bigger in their own, kind of demonstrates the breadth of the opportunity in digital payments and our engagement to that opportunity as every device over the next 2 years begins to enable commerce.
Another area of focus for us in 2015 was safety and security. There have been some big moves in the states, including significant progress in the U.S. EMV migration and even though the industry was slightly short of its forecast of 50% of issued credit and debit card being chip-enabled by the end of the year, they're pretty close. And volume from chip-enabled cards continues to grow. We still expect almost all U.S. Cards to be upgraded before the end of 2017 and merchants are continuing to enable new terminals and ATMs are being upgraded as well. So this is kind of a work in process but in the right direction. 
Looking beyond the U.S, we deployed a number of security solutions, from tokenization to self e-pay, to something called safety net. And safety net is our real-time fraud solution. What it does is it detects attacks upon threats globally across all products, all channels that's point of sales and AVn and is a great example of how we're leveraging the unique capability of our global network and analytical capability. It can identify, isolate and stop cyber attacks often before the bank is even aware of them. And as a result now, more than any personal device around the world are now using safety net as a service from us. That's an example of the kinds of products we have building in our services business, which is, as you know, advisers consulting in full, services but all the safety and security products and loyalty and reward are all a part of this services effort that we're putting into place. 
So last year, part of our financial inclusion efforts, we signed about 600 new government programs, including, I think some very innovative ones. The example of the Egyptian government comes to mind that we're going to extend financial services to more than 54 million Egyptians by linking their national digital ID, something the government is issuing, to a mobile wallet to receive government benefits, employee payroll as well as our P2P capabilities across all banks and all telco by the way. It's a countrywide effort.
And finally, we've worked through various regulatory challenges, including the first network to migrate domestic card transactions to the new Russian and estate card switch [ph], as well as implementing the new European payment regulations.
So that's 2015. Some business wins, something about what we're doing in digital and MasterPass, we're up to in services and safety common security and the work and financial inclusion, kind of the backdrop behind the revenue numbers I gave you. But looking forward, 2016, we expect this year to be similar than what we saw 2015, in terms of complex environment, I consider that currency will remain a challenge over the course of the year. The dollar is going to keep strengthening, but our plan is to stay focused on executing our strategy to the space cash, to play a defining role in digital and innovate for the future. And that means, expanding our services businesses as well. We've got to grow our processing capabilities so they can see more transactions, that then enable us to provide greater insights through analytics, as well as providing robust safety and security solutions so we can offer better predictions for our card holders, for merchants and for our issuing bank partners.
We're going to continue to pursue profitable market share while diversifying our revenues. At the same time, I think you'll find us continue to work hard to manage our expenses so we can allocate more resources to these growth areas. 
And with that, I'm going to turn it over to Martina for an update on our financial results and operational metrics. Martina?"
6477196,320074166,923584,"MasterCard Incorporated, Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","Mastercard Incorporated","Executives","Thanks, Ajay, and good morning, everyone. As suggested, through despite strong FX headwinds we closed out the quarter well. Let me give you some highlights on the fourth quarter starting with Page 3, where you can see the difference between as reported an",1787,"Thanks, Ajay, and good morning, everyone. As suggested, through despite strong FX headwinds we closed out the quarter well. Let me give you some highlights on the fourth quarter starting with Page 3, where you can see the difference between as reported and FX adjusted growth rates.
So EPS growth was 14% or 22% after adjusting for currency. Continued revenue momentum, good cost control, executing on our attack strategies and repurchasing shares all contributed to that performance. Acquisitions that we made in 2014 and 2015 drove $0.03 of EPS dilution in the quarter.
Included in our other income and expense line was $83 million of impairment charges, predominantly related to some of our very early investments in mobile. In number of these investments have performed well while others have not met our expectations.
Next, our tax rate of 13.1% in the quarter was more favorable than we expected due to the benefits that resulted from the impact of settlements with tax authorities related to the tax audits that I have mentioned as a possibility at our Investor Day last September. Share repurchases contributed $0.02 per share to our fourth quarter results. As of January 22, we have $4.2 billion remaining under our current authorization.
Lastly, cash flow from operations was $1 billion. We ended the current quarter with cash, cash equivalents and other liquid investments of about $6.7 billion.
So let me turn to Page 4 where you can see the operational metrics for the fourth quarter. Our worldwide gross dollar volume, or GDV, was up 12% on a local currency basis, down 1 ppt from last quarter. Overall, our U.S. GDV grew 8%, made up of credit and debit growth of 9% and 8%, respectively. Total U.S. GDV had a continued almost 2 ppt headwind from lower gas prices. 
Outside of the U.S, volume growth was 14% on a local currency basis, down 2 ppt versus last quarter with midteens growth in each region. And on cross quarter [ph] volume, we grew 12% on a local currency basis, lower than the 16% we saw in the third quarter, primarily driven by the political instability and economic conditions around the world, as well as the lapping of some recent wins in Europe and Canada.
Turning to Page 5, you can see global process transaction growth was 12%, the same as what we saw in the third quarter. We continue to see double-digit growth in all regions outside of the U.S. And globally, the number of cards grew 7%, with 2.3 billion MasterCard and Maestro branded cards issued.
Now let's turn to Page 6 for some highlights on a few of the revenue line items. Net revenue growth was 4%, as reported, or 9% FX adjusted given currency headwinds. Additionally, the impact of local currency exchange rates was higher than we expected, more than 3 ppt, driven by currencies such as the Venezuelan Bolivar and the Canadian Dollar.  After eliminating both currency impact, our underlying net revenue growth was about 12%.
We base an incentive was slightly higher than we expected due to the timing of some deal in the works and acquisitions contributed about 2 ppt to net revenue growth, up slightly from the 1 ppt we saw last quarter.
Looking quickly at the individual line items, revenue line items, on an FX adjusted basis. Domestic assessments grew 10%, while worldwide GDV grew 12%. This 2 ppt gap is primarily due to the impact of local currency somewhat offset by pricing.
Cross-border volume fees grew 13% while cross-border grew 12%. Of the 1 ppt GAAP, the majority's due to a higher mix of inter-Europe activity, some local currency impact and lower inbound U.S. cross-border volume, essentially offset by pricing.
Transaction processing fees grew 13%, primarily driven by the 12% growth in process transactions. Finally, other revenue grew 26%, driven primarily by advisers as well as our APT and TNS acquisition.
Moving on to Page 7, you can see that total operating expenses increased 1% in the quarter or 4% on an FX-adjusted basis. This growth was essentially are driven by M&A activities as we focus on integrating the acquisitions we made in 2014 and '15.
So you can see the underlying expense growth was essentially flat from last year. The non-recurrence of the significant severance charge in last year's fourth quarter was offset by several factors including: Additional personal expense as a result of our investment and strategic growth area; higher processing costs due to both more transactions across our network as well as the fees paid to NSB car [ph] for processing domestic [indiscernible] transaction; and lower foreign currency-related gains versus the prior year.
Let me turn to Slide 8. And here we can discuss what we've seen in January through the 21st. Most of our business drivers are a bit higher or similar to what we experienced in the fourth quarter. So here are the numbers through January 21.
Starting with process volume, we saw global growth of 14%, up 2 ppt from the fourth quarter. In the U.S, our process volume grew 13%, up almost 4 ppt from the fourth quarter with higher growth in both credit and debit. Gas had an 1 ppt negative impact on our January growth compared to the almost 2 ppt drag in the fourth quarter.
Process volume outside the U.S. grew 16%, the same as the fourth quarter, with double-digit growth in each region. Globally, process transaction growth was 13%, up slightly from the 12% we saw in the fourth quarter. And growth outside the U.S. slowed just a bit primarily due to the lapping of some business wins as well as the slowdown in Brazil.
U.S. growth was up 2 ppt, driven by improvements in both credit and debit. And with respect to cross-border, our volumes grew at 12% globally, that's the same that we saw in the fourth quarter.
Now let me start out talking about our long-term performance objectives, which as you know, exclude the translation impact of our Euro and Brazilian Riel functional currencies. On that basis, for the 2013 to 2015 period, net revenue growth was 10.5%, close to the low end of the range. Beyond the euro and the Brazilian riel, we experienced extremely strong foreign exchange headwinds from the other local currency pairs that Ajay just referenced, which resulted in about 2 ppt impact to our compound annual growth rate. Therefore, the underlying net revenue growth for this period was over 12%.
We achieved our margin commitments and delivered a 19.2% compound annual growth for EPS over the period, excluding the tax benefits we saw in the fourth quarter of 2015. Again, when I exclude the impact from those local currency peers, the EPS CAGR was over 20%.
Now let's move on to our 2016 to 2018 performance objectives, which are net revenue, CAGR of low double digits, operating margin of at least 50% and an EPS CAGR in the midteens.
Remember, these objectives are on a constant currency basis and exclude any new M&A activities. Going forward, you should be using a pro forma 2015 EPS figure of $3.12 as the starting point for the 3-year EPS CAGR calculation. This pro forma number is calculated based on a normalized 2015 tax rate of 30.4%, which adjusts for several one-time tax benefits. The largest of these is from the significantly favorable outcome of some tax audits that concluded late in 2015. And consistent with the methodology we have used in the past, it also excludes the impact of special items.
So as you've heard from Ajay, we expect 2016 to be a continuation of 2015. For the U.S. and European economies are showing signs of strength but the rest of the world remains challenged. In addition, foreign exchange volatility will continue to be with us into 2016. We have navigated through periods like this before, and we will continue to run the company for growth both on the top and bottom line as well as balancing our investments with us to expense management.
So as we look at full year 2016, our underlying business fundamentals remain strong. However, we expect to be at the low end of our 3-year performance objectives due to current FX level relative to where they were back in September when we first developed these objectives. These objectives already included some level of local FX headwinds. Though, they are no expected to be higher than what we assumed in September. And I know, as you model all your numbers on an as reported basis, you need to adjust for the impact of our euro and Brazilian riel functional translation. And at current rates, that results in a 2 ppt headwind on net revenue growth and a 3 ppt headwing to bottom line growth.
For 2016, let me call out a few additional items that you should also consider. For rebates and incentives, we expect to see slightly lower growth this year than the 20% as reported growth rate that we saw in 2015, which is much different than what we see in some of your current models.
On expenses, just a couple of comments. You just heard Ajay talk about putting money into our growth areas. Well, for 2015 that was focused on a number of acquisitions. With that integration process well underway, this year, we will accelerate our investments in digital, certain geographies such as China as well as in safety and security.
Also, in last year's first quarter, we had $40 million of FX gains in the G&A line associated with the events in Venezuela that are not expected to recur this year.
As a result, you should expect our total operating expense growth to increase in the high single-digit range. Now having said that, as you all know, we always plan our investments with a certain degree of flexibility depending on the market Provus role in economic environment. We already prepared with contingency plans to adjust expenses should then need to course correct be necessary.
In the other expense line, interest expense associated with the euro-denominated debt that we issued last November at roughly $10 million to our normal underlying run rate of roughly $15 million per year for the quarter. So this is $15 million per quarter.
You should assume a roughly similar tax rate for 2016 as the 30% normalized rate I just spoke about for 2015.
And finally, we realized that it's becoming more difficult for many of you to model our business as FX rates continue to move around. We're thinking about how to make this entire topic more transparent, so stay tuned on this.
Now let me turn the call back to Barbara to begin the Q&A session. Barbara?"
6477196,320074166,923584,"MasterCard Incorporated, Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","Mastercard Incorporated","Executives","Thanks, Martina. We're now ready to begin the question-and-answer period. [Operator Instructions] Sean?",13,"Thanks, Martina. We're now ready to begin the question-and-answer period. [Operator Instructions] Sean?"
6477196,320074166,923584,"MasterCard Incorporated, Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","Mastercard Incorporated","Operator","[Operator Instructions] Your first question comes from the line of Bill Carcache from Nomura.",14,"[Operator Instructions] Your first question comes from the line of Bill Carcache from Nomura."
6477196,320074166,923584,"MasterCard Incorporated, Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","Mastercard Incorporated","Analysts","Martina, I had a question on the 2015 base. There's some confusion since the 3-year guidance that you guys gave the Investor Day was at a constant currency basis. But it looks like the 312 that you guys are pointing to Appendix D, strips out some signific",82,"Martina, I had a question on the 2015 base. There's some confusion since the 3-year guidance that you guys gave the Investor Day was at a constant currency basis. But it looks like the 312 that you guys are pointing to Appendix D, strips out some significant items but doesn't add back FX headwinds. Yet, in Appendix C, you guys include the FX adjustment for the 2012 to '15 period. Can you just walk us through the thought process behind that, please?"
6477196,320074166,923584,"MasterCard Incorporated, Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","Mastercard Incorporated","Executives","Yes, so first of all, when you look at the objectives from 2013 to 2015, you have to start with the base in 2012. And the base in 2012 are basically actual numbers, adjusted for only one line item, which was the tax line item. And basically, our special t",342,"Yes, so first of all, when you look at the objectives from 2013 to 2015, you have to start with the base in 2012. And the base in 2012 are basically actual numbers, adjusted for only one line item, which was the tax line item. And basically, our special tax benefits that are not expected to be repeated. So that's the $2.14. When you walk to 2015, what we did do, is you have to adjust for foreign exchange for the euro and the B riel because that is -- we do our performance objective and FX adjusted basis, so you put basically back in $0.21 on top of the EPS that we print. So you start with an EPS of $3.35. You add in the special items of $0.08, which is $3.43. You add back the foreign exchange, which is $0.21. You're adding back the acquisition, and you're adding back these one-time tax items, all of which we call it out, which gets you to the $3.62. And when you do the differential between the $2.14 to the $3.62, you're getting actually that 19.2% compounded annual growth rate. So that is the history. Now let me focus on 2015 and going forward. So for the 2016 to 2018 financial objective. 2015, you're not starting with a $3.62 because that is an FX-adjusted number. Of course, we are going to have to start with a real number, with an actual number, right? So you start again with the $3.35, that's exactly our as reported number in the financials. You adjust for that for the special items, which is the $0.08. So you're going to $3.43. And then, you're putting in -- and then you're taking out the tax items, $0.31 of that. And that's how you get to $3.12. So your actual FX rates for this starting point, adjusted for the special item and you saw the adjusted for this special tax items. That's how you get to the $3.12, which is the basis upon which we calculate our future EPS performance."
6477196,320074166,923584,"MasterCard Incorporated, Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","Mastercard Incorporated","Operator","Your next question comes from the line of Sanjay Sakhrani from KBW.",12,"Your next question comes from the line of Sanjay Sakhrani from KBW."
6477196,320074166,923584,"MasterCard Incorporated, Q4 2015 Earnings Call, Jan 29, 2016",2016-01-29,"Earnings Calls","Mastercard Incorporated","Analysts","Martina, just following along your thought process line. So when we look ahead to 2016, what we would do is take that 312, grow it by the midteens and then account for the 3 percentage points headwind of local currencies?",40,"Martina, just following along your thought process line. So when we look ahead to 2016, what we would do is take that 312, grow it by the midteens and then account for the 3 percentage points headwind of local currencies?"
