"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
31500,322516638,926041,"Microchip Technology Inc., Q3 2016 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Microchip Technology Incorporated","Operator","Good day, everyone, and welcome to Microchip Technology Third Quarter Fiscal Year 2016 Financial Results Conference Call. As a reminder, today's call is being recorded. At this time, I would like to turn the call over to Microchip's Chairman and CEO, Stev",47,"Good day, everyone, and welcome to Microchip Technology Third Quarter Fiscal Year 2016 Financial Results Conference Call. As a reminder, today's call is being recorded. At this time, I would like to turn the call over to Microchip's Chairman and CEO, Steve Sanghi. Please go ahead, sir."
31500,322516638,926041,"Microchip Technology Inc., Q3 2016 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Microchip Technology Incorporated","Executives","Thank you, and good afternoon, everyone, and welcome to our fiscal third quarter 2016 earnings conference call. I would like to begin by saying how proud and pleased I'm to be promoting the Ganesh Moorthy to President and Chief Operating Officer. I'm no",85,"Thank you, and good afternoon, everyone, and welcome to our fiscal third quarter 2016 earnings conference call. I would like to begin by saying how proud and pleased I'm to be promoting the Ganesh Moorthy to President and Chief Operating Officer. 
I'm not going anywhere and I will remain as Chairman and Chief Executive Officer. I will say more about it later in my comments. But let me now first pass this call to Eric Bjornholt who will walk you through our financial results. Eric?"
31500,322516638,926041,"Microchip Technology Inc., Q3 2016 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Microchip Technology Incorporated","Executives","Good afternoon, everyone. During the course of this conference call, we will be making projections and other forward-looking statements regarding future events or the future financial performance of the company.We wish to caution you that such statement",1237,"Good afternoon, everyone. During the course of this conference call, we will be making projections and other forward-looking statements regarding future events or the future financial performance of the company.
We wish to caution you that such statements are predictions and that actual events or results may differ materially. We refer you to our press release as of today as well as our recent filings with the SEC that identify important risk factors that may impact Microchip's business and results of operations.
In attendance with me today are: Steve Sanghi, Microchip's Chairmen and CEO; and Ganesh Moorthy, Microchip's President and COO. I will comment on our third quarter fiscal 2016 financial performance and Steve and Ganesh will then give their comments on the results, discuss the current business environment as well as our guidance, provide an update on the integration activities associated with Micrel acquisition and provide some additional commentary on our announced acquisition of Atmel. We'll then be available to respond to specific investor and analyst questions.
I want to remind you that we are including information in our press release and this conference call on various GAAP and non-GAAP measures. We have posted a full GAAP to non-GAAP reconciliation on the Investor Relation page of our website at www.microchip.com, which we believe you will find useful when comparing GAAP and non-GAAP results.
I will now go through some of the operating results, including net sales, gross margin and operating expenses. I will be referring to these results on a non-GAAP basis prior to the effect of our acquisition activities and share-based compensation.
Non-GAAP net sales in the December quarter were above the midpoint of our guidance at $552 million, and were down 1.3% sequentially from net sales of $559.4 million in the immediately preceding quarter. 
Non-GAAP net sales were $11.7 million higher than GAAP net sales, as we're recording non-GAAP net sales on a full sell-through revenue recognition basis or GAAP does not recognize revenue on the sell-through products heading in the distribution channel on the date an acquisition occurs and when distributor contracts are changed to the standard Microchip format compared to the sell in revenue recognition contract that Micrel previously have for certain of their distributor partners.
We have posted a summary of our revenue by product line and geography on our website for your reference. On an non-GAAP basis, gross margin were 57.9% in the December quarter and at the high-end of our guidance. Non-GAAP operating expenses were 28.5% of sales below the of our guidance range and non-GAAP operating income was 29.5% of sales, which was above the high-end of our guidance. 
Non-GAAP net income was $138.4 million, resulting in earnings per diluted share of $0.64, which was higher than our preannounced results from January 19.
On a GAAP basis, net sales were $540.3 million and gross margins, including share-based compensation acquisition-related expenses, were 54.2% in the December quarter. GAAP gross margins include the impact of $2.3 million of share-based compensation, $6.9 million of gross margin impacts from the distributor revenue adjustments as I mentioned earlier, and $17.8 million in acquired inventory valuation cost and acquisition-related restructuring costs.
Total operating expenses were $216.6 million or 40.1% of sales and include acquisition intangible amortization of $48.3 million, share-based compensation of $14.7 million, $1.5 million of acquisition-related expenses and special income of $5 million.  GAAP net income was $61.2 million or $0.28 per diluted share. 
In the December quarter, the non-GAAP tax rate was 10%, and the GAAP tax benefit rate was 22%. The non-GAAP tax rate reflects the benefits in December quarter for the R&D tax credit reinstatement. But we're including the benefit from R&D tax credit for previous quarters that were reinstated only in the GAAP results to make future periods more comparable. We expect our longer-term forward-looking non-GAAP effective tax rate to be between 10% and 11%. 
Moving on to the balance sheet, consolidated inventory at December 31, 2015, was $319.5 million and includes $11 million of fair value markup on Micrel's inventory required by GAAP purchase accounting. Excluding purchase accounting adjustments, Microchip had 120 days of inventory at December 31, 2015, which is down by 5 days from the levels of the end of the September quarter. Excluding purchase accounting adjustments, inventory at our distributors was 34 days, which is down 1 day from September quarter levels. I want to remind you that historically, Microchip's distribution revenues throughout the world has been recognized on a sell-through basis.
Micrel has some distributors that historically recognize revenue on a selling basis. Microchip change substantially all the contractual relationships with these distributors during the December quarter, which has resulted in sell-through revenue recognition in the future. Our non-GAAP revenue guidance provided in our release today is based on sell-through revenue recognition for the Micrel distributors, for the entire March quarter in order to continue to provide investors with the view of the true end-market demand for our products.
There will be difference in GAAP revenue recognition as the inventories in the distribution channel at the end of the conversion to sell-through accounting will not be recognized as revenue for the GAAP accounting purposes.
The cash generation in the December quarter, excluding our acquisition activities, our dividend payment and changes in borrowing levels under our revolving line of credit was $172 million. As of December 31, the consolidated cash and total investment position was $2.398 billion, our borrowings under our revolving line of credit at December 31, were $1.008 billion, $288 million lower than it was on September 30, as we pay down portion of revolving line of credit, Excluding dividend payments, changes in borrowing levels and never acquisition activities, we expect our total cash and investment position to grow by approximately $140 million to $160 million in the March quarter.
Capital spending was approximately $17.9 million in the December quarter. We expect about $28 million in capital spending in the March quarter, and overall capital expenditures for fiscal year 2016 to be about $110 million. Well, below our previous guidance to The Street of $125 million. We're selectively adding capital to support the growth of our production capabilities for our fast growing new products and technologies and to bring in-house more of the SMB and test operations that are currently outsource. 
Depreciation expense in the December quarter was $26.7 million.
Over the past several years, Microchip's dividend paid to shareholders has been treated as a return of capital as Microchip did not have earnings and profits in the United States. As indicated in last quarter earnings call, due to the integration of Micrel and for Microchip global tax structure, Microchip will have earnings and profits in the United States in fiscal year 2016. For this transaction, Microchip brought back about $250 million of offshore cash to the U.S. and we don't anticipate paying any U.S. cash taxes on the amount as we'll use net operating losses to offset the income.
As a result, a portion of Microchip's calendar year 2015 dividends are taxable to shareholders versus the return of capital treatment from the last few years. We have posted a copy of Form 8937 on the Investor Relations page of our website, which indicate the split between taxable dividend and return of capital for is dividend payment made during calendar year 2015. 
I will now ask Ganesh to give his comments on the performance of the business in the December quarter. Ganesh?"
31500,322516638,926041,"Microchip Technology Inc., Q3 2016 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Microchip Technology Incorporated","Executives","Thank you, Erik, and good afternoon, everyone. Before I start my prepared remarks, I would like to take a moment to thank Steve, our Board of Directors, the Microchip executive team and the 10,000 employees of Microchip worldwide for the high honor and th",583,"Thank you, Erik, and good afternoon, everyone. Before I start my prepared remarks, I would like to take a moment to thank Steve, our Board of Directors, the Microchip executive team and the 10,000 employees of Microchip worldwide for the high honor and the distinct privilege they stood on me to be the next President of Microchip. There is being the journey of a life time to witness and contributed to the growth and success of Microchip and I look forward to continuing that journey with the Microchip team as we scale new heights and achieve new business milestones in the years to come.
Now let's take a closer look at the performance of each of our product lines starting with microcontrollers. Our microcontroller revenue was down 3.5% in the December quarter as compared to the September quarter. As we experienced, the same broad-based weakness that the industry experienced. In calendar year 2015, our microcontroller business was down 1.4% as compared to calendar year 2014. And, while we're not happy about the decline, we're confident that we're gaining market share in every microcontroller segment that we compete in what was the difficult year for the overall industry. The official microcontroller rankings, we expect will be available in time for our next earnings conference call.
We are continuing to deliver innovative new 8-bit, 16-bit and 32-bit microcontrollers, as well as software and developed control solutions to complement them, which we believe will enable us to grow faster than the market and gain for the market share. 
As we mentioned at our January 19 conference call, the addition of Atmel 8-bit AVR microcontroller family and 32-bit ARM microcontroller family, we expect will enhance Microchip's industry-leading 8-bit, 16-bit and 32-bit microcontroller offerings. Microcontrollers represent a 58.5% of Microchip's overall revenue in the December quarter. 
Moving to analog. Our analog business, which includes Micrel results was up 4.1% in the December quarter as compared to the September quarter and was up 3.6% compared to the year-ago quarter.
In calendar year 2015, our analog business was up 22.4% as compared to calendar year 2014. The strong growth and increase in Microchip in 2015 was the result of our organic efforts as well as Micrel acquisition. Analog business represented 31.2% Microchip's overall revenue in the December quarter, a highest percentage of our total revenue it has ever been. To put the size of our analog business in perspective, in the December quarter, Microchip's analog business alone was almost a same size as all of Microchip was in the March quarter of 2009. And at an almost $700 million annual revenue run rate, it is emerging as one of the larger analog franchises serving the embedded control market. We continue to develop and introduce a wide range of innovative and proprietary new products, if future growth of our analog business complemented by the products added to our portfolio through acquisition.
Now moving to the memory business. Our memory business, which is comprised serial squared memory products as well as our SuperFlash Memory products was down 8.3% in the December quarter as compared to the September quarter. We continue to run our memory business in a disciplined fashion that maintains consistently high profitability, enables our licensing business and serves our microcontroller customers to complete their solution. Our memory business represented 5% of Microchip's overall revenue in the December quarter. 
Now let me pass it to Steve for some general comments about our business as well as our guidance going forward. Steve?"
31500,322516638,926041,"Microchip Technology Inc., Q3 2016 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Microchip Technology Incorporated","Executives","Thank you, Ganesh. Today, I would like to first comment on the results of the fiscal third quarter of 2016 and then provide guidance for the fiscal fourth quarter of the 2016, including comments on the progress conference call about acquisition of Atmel.",2516,"Thank you, Ganesh. Today, I would like to first comment on the results of the fiscal third quarter of 2016 and then provide guidance for the fiscal fourth quarter of the 2016, including comments on the progress conference call about acquisition of Atmel. Our December quarter results were strong and a very turbulent, macro and semiconductor backdrop. The quarterly results in non-GAAP revenue, gross margin percentage, operating expense percentage and operating profit percentage were all better than the midpoint of our guidance. Additionally, our non-GAAP diluted earnings per share came in at $0.64, which is above the $0.62 to $0.63 upwardly revised guidance we provided and the announcement of our preliminary on January 19, 2016.
I will now provide guidance for the March 2016 quarter. We believe that our business has stabilized and that the majority of the inventory could behind us. The March quarter is impacted negatively by the Chinese New Year holidays in Asia, but it is also the strongest quarter of the year for Microchip in Europe. Based on our analysis of economic and semiconductor industry conditions, as well as our own business indicators, we're guiding the March quarter non-GAAP net sales to be between flat to up 3% sequentially. We expect non-GAAP gross margin to be between 57.9% and 58.1% of sales, we expect non-GAAP operating expenses to be between 27.3% and 27.9% of sales, and we expect the non-GAAP operating profit to be between 30% and 30.8% of sales. We expect non-GAAP earnings per share to be $0.65 to $0.69 per share.
Now let me provide you with an update on the integration of Micrel. The integration continues to progress as planned, there were 7 main elements of integration we had defined. 5 of them are complete, which are: number 1, financial and business systems consolidation; number 2, consolidation of Micrel wafer starts planning; number 3, integration of sales for, rep and distribution network; number 4, integration or product lines and R&D activities; and number 5, integration of human resources systems, equity plan 401(k), medical benefits, bonus plans, et cetera. The remaining 2 areas, which are progressing well, but are not complete yet are: number 1, the closure of Micrel fab, which is on schedule for August 2015; and number 2, the integration of back end operational systems, which also remain on schedule for August of 2016.
With this, let me now provide guidance for accretion from the acquisition of Micrel. Micrel acquisition was about $0.007 accretive in the September quarter and was $0.038 accretive in the December quarter to non-GAAP EPS.
This accretion will continue to increase and we now achieve $0.30 of EPS accretion run rate from Micrel by the end of fiscal year 2017. This is up from $0.25 accretion target that we provided in the prior conference calls. These numbers depend upon the speed of integration efforts and the health of the underlying economics in general.
Now, some update about at Atmel. I have visited Atmel headquarter location in San Jose and fab location in Colorado Springs and held all employee communication meetings and one-on-one meetings with the executive. Ganesh and I had headed to Europe in the mid February to visit Atmel European locations in France, Germany, Norway and the U.K. We completed the U.S. antitrust filing last week and the filings in Germany and Korea are scheduled for next week. We're also targeting the S-4 filing with the Securities and Exchange Commission in about a week. We continue to expect to close this transaction in the second calendar quarter of 2016.
Since the announcement of the Atmel transaction in our conference call on January 19, most of the feedback from investors and analysts has been very positive that the deal makes sense. However, there are also areas where either we will not sufficiently clear or investors have further question. We would like to provide more clarification regarding these concerns today. The general view that we have heard is that the current slow growth environment -- that in the current slow growth environment investors like the self-help story is that can continue to general growth despite the challenging macro environment. We have recently shared with investors Microchip's organic and total growth in the last 6 years. To repeat just 1 metric from calendar year 2009 to calendar year 2015, Microchip's organic compounded annual growth rate has been 8.3% per year and the total compounded annual growth including acquisitions had been 17.3% per year. 
Investors have commented that our management team has the best chance of turning around Atmel and making them successful. Now let us go into some of the concerns that investors and analysts have raised.
First is leverage. Investors have raised the concern that the Atmel acquisition increases Microchip's debt-to-EBITDA leverage quite a bit and understandably have questions about the cash question and potential risk to the dividend. We have said in the conference call that after the stock buyback, our senior debt-to-EBITDA leverage will be 2.7 and never total leverage will be 4.5. We would like to point out that these numbers are before synergies. Once you factor in synergies, consistent with what companies like and have done in their quoted leverage numbers, we expect our debt-to-EBITDA leverage to drop rapidly as follows: after the first year, the senior leverage will drop from 2.7 to 2.3 and the total leverage will drop from 4.5 to 4. After 2 years, the senior leverage drops to 1.9 and the total leverage drops to 3.4. And after 3 years, the senior leverage will drop to 1.7 and the total leverage will drop to 3.1. As you can see -- as you can clearly see, our debt-to-EBITDA leverage drops rapidly over the first 3 years after the close of the Atmel acquisition. Additionally, Microchip's management and the board is fully committed to the dividend and does not see any risks to the dividend.
The second question that has been raised is multiple architectures. We received this question at the last conference call also, but we have continued to receive follow-on question about this. The comment from investors had been that Microchip in the past has been dismissive on the ARM architecture so what has changed now? When Microchip was dismissive of the ARM architecture, it was in response to investors' question about replacing our PIC32 architecture, which is mixed base. In that regard, nothing has changed. We continued to hear from distributors and our customers that ARM has commoditized this market and Microchip's PIC32-based solutions are differentiated and superior products in the marketplace. Therefore, Microchip has no plans to share one or the other architecture. We'll be the only company that we have ARM architecture when the customer demands and ARM solution and we'll have PIC32 when we can sell a differentiator solution like we have been doing for several years.
By the way Atmel does not considered its ARM-based products to be commodity nor do any of the other suppliers who are also trying to differentiate their products using different peripheral. This is consistent with what we have been saying for years that it is not about the core, it's about the total solution. Atmel's ARM 32-bit-based products and Microchip's PIC32 products are both successful in their own right and we believe have strong ecosystems and market momentum to continue to be successful. As far as, AVR and PIC are concerned, at the 8-bit architecture level, these are both very mature solutions with fully developed product portfolios, development tools and ecosystems and they can continue to coexist. There are PIC head engineers who like PICs. and there are AVR freaks, a group on the web who like AVR. We cannot disappoint either and will continue to support both of these groups. But as we mentioned during our conference call, we do expect to find synergies by not having to duplicate the investment in IP building blocks that make up our microcontrollers. We believe that the investors are making the same mistake that they made when they believe that SMS is vertical product lines in automotive and personal consumer issue for us because we were based on horizontal market and sales. Investors have routinely underestimated Microchip's management's ability to transform the company's organization and resources to take on the challenge at hand.
The third question raised has been revenue synergies. Investors believe that not all of Atmel's product lines will meet Microchip's margin criteria and some segments will be exited or divested. Investors have pointed to our attempt to purchase Atmel in 2008 when we were going to divest a couple of segments to ARM semiconductors. 
Well, in 2008, Microchip was planning to sell the memory business and automotive business to on semiconductor. I must point out, that while the memory business was in lower margin business at that time, the primary reason for Microchip to divest those 2 businesses was affordability not the margin. 
On semiconductor was going to bring $1 billion at cash into the deal, without that Microchip could not afford to buy Atmel at the size Microchip was then. Since then, Microchip has grown tremendously and with a large market capitalization. Today, we can afford the entire Atmel business ourselves. Secondly, Atmel has divested many of the low margin businesses namely smart card, Serial Flash memory business, and some others. Today, we see only 5% of business that is in mobile consumer electronics, touch segment that is very low gross margin. We believe that there are significant positive synergies in this acquisition to easily overwrite any potential negative synergy out of these 5% business, which has declined very significantly already under Atmel clock.
Fourth question raised has been the synergy through multi-sourcing. There seems to be misconception that both Microchip and microcontrollers are designed into the same socket and therefore, there will be some synergy. We do not understand this concern due to different architectures, Microchip's and Atmel's microcontrollers are never designed into the same socket. There is also concern the distributors will not sell a broad portfolio. they don't understand that either. If that line of thinking was to be true, then distributors should give all of Texas instrument business to me as they have a much broader portfolio than we do. 
Microchip and Atmel combined will do approximately $2 billion for the distribution channel. The combined product lines of Microchip and Atmel will be one of the most sought-after broad-based product line with multiple opportunities for distribution for attaching analog, Wi-Fi, Bluetooth, memory, USB, Ethernet, timing products and others.
The fifth concern raised has been our target is $0.33 accretion in fiscal year '17 and then $0.90 in fiscal year '19. This bridge is somewhat misunderstood. So let me clarify that. Let me first remind you about that commission numbers again. That are $0.33 in fiscal year '17, $0.67 in fiscal year '18 and $0.90 in fiscal year '19. The accretion is coming from 3 factors: first, the operating expense reduction; second, the gross margin improvement and third, the revenue growth. The operating expense reduction is not a 1 year's job, because of the size of the transaction, we believe, it will be a continuous effort over a 3-year period to rationalize the R&D as well as SG&A expenses and bring them into Microchip's cost structure. The gross margin improvement is also gradual through for improvement of manufacturing efficiency as well as higher or lower emphasis on product lines based on the gross margin. And then, there will be revenue synergy both for contributing to the EPS synergy. Atmel's revenue has been declining for the last 5 years as they have restructured out of the very large touch business and they also sold the serial flash business to a company called . We're confident that Atmel's revenue will bottom in the first half of 2016 and then grow afterwards. We also see a significant opportunity to attach analog and other connectivity products to Atmel's microcontrollers like we have been successful with Microchip's microcontrollers. In fact, I see the analog attach opportunities with microcontrollers with Atmel's microcontroller-s to be a bonanza for our analog business. The combination of all these factors build the accretion from $0.33 in fiscal '17 to $0.67 in fiscal year '18 to $0.90 in fiscal year '19.
The final concern we have heard about is the size of the deal. The Microchip has been successful in smaller days can be duplicate that success with these larger deal. Now I must say that, we heard this concern when we bought SMSC also. SMSC was 4X larger than any deal we have done prior to that. Microchip today is at $2.2 billion company and is capable of taking on the larger acquisition compared to what we could do a few years ago. Atmel's business is also quite familiar to us, which was unlike the case with SSDS, SMSC, et cetera. 
As I said before, Microchip management is capable of transforming its organization, resources and strategies to meet the challenges at the given time. Just today, we announced the promotion of Ganesh Moorthy to President and COO. In addition to the Ganesh deserving of the promotion, it is also a recognition of the fact that we're taking on an acquisition that's about 47% of our own size and it will require Ganesh and I both to manage this enterprise with all of the involved worldwide. We're also adjusting the organizations below us to adapt to this new reality. Microchip is an incredible executive development machine. You may not know this, but Microchip has not hired a VP level person from outside the company for over 15 years. Although, we have gained some VPs through our acquisitions. 
Through training, mentoring and developing, we have groomed our own executives that have replaced some of the retirements that have taken place, as well as provided the leadership bandwidth required to effectively manage the growth that we have experienced. You cannot imagine the familiarity, understanding, cohesiveness, speed of execution and constancy of purpose that it builds in the organization. This culture has been one of the hallmarks of our success. We have been able to -- we have been able to extend this culture to our mini acquisitions and we believe that we'll be able to achieve the same with Atmel. I hope that it alleviates some of your concerns. In closing, I would like to say that the December quarter marks the bottom for us for this correction and we're expecting a low single-digit sequential growth in the March quarter. Beyond the March quarter, we get into 2 back-to-back seasonally stronger quarters for Microchip. These quarters beyond organic growth will also have incremental accretion from the restructuring of Micrel and these corridors will begin to have accretion from the closing of the Atmel transaction. This triple affect coming from organic growth, accretion from Micrel and accretion from Atmel will set up the earnings growth momentum that we expect will lead us to a 23% non-GAAP EPS growth from fiscal year 2016 to fiscal year 2017. With this operator, will you please call for questions?"
31500,322516638,926041,"Microchip Technology Inc., Q3 2016 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Microchip Technology Incorporated","Operator","[Operator Instructions] We will go first with",7,"[Operator Instructions] We will go first with"
31500,322516638,926041,"Microchip Technology Inc., Q3 2016 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Microchip Technology Incorporated","Analysts","Steve, you've mentioned March as seasonal, and I think you said, China down and I believe Europe and perhaps U.S. up given that you have exposure to such a large range of customers, what are you hearing from your customers just in terms of your specific d",70,"Steve, you've mentioned March as seasonal, and I think you said, China down and I believe Europe and perhaps U.S. up given that you have exposure to such a large range of customers, what are you hearing from your customers just in terms of your specific demand environment? Do you think it appears normal? Or do you think there are ways versus what you would have thought entering this year?"
31500,322516638,926041,"Microchip Technology Inc., Q3 2016 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Microchip Technology Incorporated","Executives","The demand environment in U.S. and Europe is about normal. The demand environment in China has been weaker than normal, but we were the first ones to call the weakness in China, which the industry has been experiencing for some time now. And we have model",68,"The demand environment in U.S. and Europe is about normal. The demand environment in China has been weaker than normal, but we were the first ones to call the weakness in China, which the industry has been experiencing for some time now. And we have modeled that weakness of China and especially also because of the Chinese New Year into our guidance that we have provided today."
31500,322516638,926041,"Microchip Technology Inc., Q3 2016 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Microchip Technology Incorporated","Analysts","Got it. If I can probably squeeze and just a quick follow up on just your microcontrollers segment growth in calender '15. I think you mentioned your gain share and I assume that there were likely tailwinds from IoT and autos and other area. But then how",92,"Got it. If I can probably squeeze and just a quick follow up on just your microcontrollers segment growth in calender '15. I think you mentioned your gain share and I assume that there were likely tailwinds from IoT and autos and other area. But then how do we explain the sales actually being down somewhat year-on-year? Was it an inventory issue? Was it geographic issue? Like one should have expected your sales to grow, if you're gaining share and you had tailwinds from a number of these new secular growth segments?"
31500,322516638,926041,"Microchip Technology Inc., Q3 2016 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","Microchip Technology Incorporated","Executives","Well, that depends on what the total number were for microcontrollers as we have monitored the numbers and earnings report coming out from various other companies, the microcontrollers have been down significantly. So I think once the data numbers come ou",123,"Well, that depends on what the total number were for microcontrollers as we have monitored the numbers and earnings report coming out from various other companies, the microcontrollers have been down significantly. So I think once the data numbers come out, data come out, you can see what has happened to the market share. We have tracked our performance against the FIA, which come out more routinely than we have shown it to you at certain conferences and the graph has looked up into the right where we have been gaining shares. Gaining share doesn't necessarily mean that, that the numbers are up for year-over-year, you could gain share with flat on 1 person down business if the industry shrunk more than that."
