"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
31900,315624280,925331,"National Oilwell Varco, Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","NOV Inc.","Operator","Good morning, and welcome to the National Oilwell Varco Earnings Call. My name is Kevin, and I'll be your operator for today's call. [Operator Instructions]  I will now turn the call over to Mr. Loren Singletary, Vice President, Investor and Industry Rela",47,"Good morning, and welcome to the National Oilwell Varco Earnings Call. My name is Kevin, and I'll be your operator for today's call. [Operator Instructions]  I will now turn the call over to Mr. Loren Singletary, Vice President, Investor and Industry Relations. Mr. Singletary, you may begin."
31900,315624280,925331,"National Oilwell Varco, Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","NOV Inc.","Executives","Thank you, Kevin, and welcome, everyone, to the National Oilwell Varco Fourth Quarter and Full Year 2015 Earnings Conference Call. With me today is Clay Williams, President, CEO and Chairman of National Oilwell Varco; and Jose Bayardo, Senior Vice Preside",229,"Thank you, Kevin, and welcome, everyone, to the National Oilwell Varco Fourth Quarter and Full Year 2015 Earnings Conference Call. With me today is Clay Williams, President, CEO and Chairman of National Oilwell Varco; and Jose Bayardo, Senior Vice President and Chief Financial Officer. 
Before we begin this discussion of National Oilwell Varco's financial results for its fourth quarter and fiscal year ended December 31, 2015, please note that some of the statements we make during this call may contain forecast, projections and estimates, including, but not limited to, comments about our outlook for the company's business. These are forward-looking statements within the meaning of the federal securities laws based on limited information as of today which is subject to change. They are subject to risks and uncertainties, and actual results may differ materially. No one should assume that these forward-looking statements remain valid later in the quarter or later in the year. I refer you to the latest forms 10-K and 10-Q National Oilwell Varco has on file with the Securities and Exchange Commission for more detailed discussions of the major risk factors affecting our business. Further information regarding these, as well as supplemental financial and operating information, may be found within our press release, on our website at www.nov.com, or in our filings with the SEC. [Operator Instructions] Now let me turn the call over to Clay."
31900,315624280,925331,"National Oilwell Varco, Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","NOV Inc.","Executives","Thank you, Loren. National Oilwell Varco faced deteriorating market conditions during the fourth quarter to cap off a very challenging year. The company reported fourth quarter net income of $85 million or $0.23 per fully diluted share, excluding other it",2552,"Thank you, Loren. National Oilwell Varco faced deteriorating market conditions during the fourth quarter to cap off a very challenging year. The company reported fourth quarter net income of $85 million or $0.23 per fully diluted share, excluding other items down from $0.61 per fully diluted share in the third quarter of 2015 on a comparable basis. Other items included pretax charges of $1.6 billion and goodwill and intangible asset impairments, $139 million in restructuring inventory write-downs, severance and facilities closures and $7 million in FX losses in Argentina. GAAP net loss for the quarter was $1.5 billion, or $4.06 per fully diluted share. Fourth quarter 2015 revenues were $2.7 billion, down 18% from the third quarter of 2015. Operating profit for the quarter was $141 million or 5.2% of sales, and EBITDA was $308 million or 11.3% of sales, excluding other items from both. Decremental operating leverage was 35% from the third quarter to the fourth. 
Our management teams across our business units are responding quickly to lower revenues which fell further than we expected in the fourth quarter. By reducing costs and accelerating restructuring plans, which enabled us to hold decremental leverage to 35% x charges despite the sharp volume decline and renewed intense pricing pressure we are seeing. As we have stated for the past few quarters, our focus is to manage what we can, namely cost, while continuing to advance our longer term strategic goals. It, nevertheless, remains a very challenging time for everyone in the oil and gas industry, and our visibility remains limited. 
For its full year 2015, National Oilwell Varco posted a GAAP loss of $1.99 per fully diluted share, including restructuring, asset impairments, facility closure costs and other charges at $2 billion pretax. Excluding these items, earnings were $2.80 per fully diluted share, down 54% from $6.07 per fully diluted share earned in 2014. Operating profit was $1.6 billion or 11.1% of revenue and EBITDA was $2.3 billion or 15.5% of revenue for the full year excluding charges. Decremental operating leverage was 32% from 2014 to 2015, excluding charges from both years, a commendable result in view of the severe downturn and pricing pressures we faced throughout the year. Cash flow from operations for 2015 totaled $1.3 billion, with $614 million of that coming in the fourth quarter, with improving capital liquidation. We continue to invest in our future closing 7 acquisitions through the year, which, among other benefits, enhanced our presence in Saudi Arabia, our wellsite services offering in Asia and brought in new composites technology. We continue developing new products with our new test rig which we spudded at the beginning of the year. We also continue investments in the world's most promising regions adding new facilities in Saudi Arabia,  Abu Dabhi, Russia and West Texas. We returned $2.9 billion to shareholders in 2015 through dividends and share purchases. 
With regards to costs, we were able to manage to good decremental operating leverage on our 31% decline in revenues x charges by close attention to costs and efficiency. We insourced tens of thousands of hours from outside suppliers to our own workforce to preserve our team wherever possible. Nevertheless, our global workforce, including contract labor, declined 21% through the year and we closed 75 facilities since mid 2014 to retrench to a smaller, more efficient footprint. We expect restructuring will continue to the first half of 2016, perhaps longer in view of the challenging market. 
A second major decline in oil prices last year deepened and intensified late during the fourth quarter and continued throughout January while oil traded into the high $20 range, levels not seen since 2003. This combined with hedges rolling off for EMPs and term contracts expiring for drilling contractors, ratcheted up financial stress on our customers and increased pricing pressure on NOV. We believe the present level of activity is insufficient to supply the longer-term demand for oil, and note that unlike the 3 most recent downturns through the past 20 years, OPEC has not curtailed production to defend pricing. This has made the present downturn far more severe, but will perhaps lead to a sharper, eventual recovery. With producers pumping furiously to maximize their cash flow, the relentless margin depletion, the deferral of 68 projects representing 3 million barrels of oil per day of planned future production and the unfolding of severe capital austerity will help bring supply and demand into balance, but we are not planning for a recovery in 2016. Instead, we will continue to manage costs to the reality of the market place in the short term. Even with a rebound in oil prices, it will take time for our customers to repair balance sheets, reactivate crews and to ramp up the activity that drives our business. Each day that passes means we are a day closer to the inevitable rebound. Our plan is to emerge with new products, new business models and new efficiencies. 
Our Completion & Production Solutions segment fell 7% sequentially in the fourth quarter and posted 56% sequential decremental operating leverage, excluding restructuring and other items. Orders declined from 99% book-to-bill in the third quarter to 59% in the fourth, which led backlog down to $969 million at year-end. Strong sequential improvements in our XL Systems conductor pipe connections unit in the fourth quarter capped off a solid year for this unit, with higher year-over-year margins. Fully offset sequential double-digit declines in our other products within the segment. In North America, customers delayed picking up well stimulation equipment previously ordered, and some are now buying frac spreads at distressed pricing to use for spare parts, which further reduced sales but will ultimately help erode the equipment overhang. In North America, sales of spares and consumables like coiled tubing declined with reduced activity, but the FX unit in the Middle East remain comparably strong. Sales of composite oilfield pipe declined as the costs of competing steel flowlines have plummeted 35% or more. And our sales into the Marine construction markets slowed. Our value proposition for the composite pipe that we manufacture is much lower lifetime cost due to its corrosion resistance but EMPs under duress are opting for the lowest investment option to bring on wells and their associated cash flow.  About 20% of the segment's mix is in production equipment. Pumps, separators and artificial lift, which also fell in the quarter as distributors slowed purchases. We have 6 major facility consolidations underway within this business unit, which will drive better efficiency going forward. 
Within our offshore production-related businesses, we saw rising pricing pressure on flexible pipe, but we're pleased to post 111% book-to-bill as we landed some significant orders for pre-salt applications in Brazil. Our floating production vessel unit continues to pioneer new business models we launched a few years ago that leverage NOV's unique vessel construction capabilities to improve construction costs and reduce risk. Our new vessel concepts, which seek to accelerate production from certain types of deepwater fields, are being met with high enthusiasm from our customers so far. We are encouraged by new designs that are steadily whittling costs, but operators remains slow to sanction major Deepwater projects. It is nevertheless, a promising target with 400 discoveries in the offshore. 
Our Wellbore Technologies segment revenues fell 9% sequentially in the fourth quarter and posted 69% sequential decremental operating leverage, which resulted in a negative 4.1% operating margin, excluding restructuring and other items. EBITDA margins were 9% for the segment x other items.  2/3 of the sequential decline in revenue came from North America where operators stacked major drilling programs, intensifying pricing pressures and reducing volumes. Rentals of solids control equipment, rig instrumentation and downhole equipment declined at high variable margins. Nevertheless, we were able to increase share in our bits business owing to new tectonic designs, which we are successfully packaging with our ERT drilling motors. In the FSU, we expect to begin production in our downhole tools facility at our new customer plant within a few weeks to supply the local market, which, along with Asia, posted higher sequential revenues in the fourth quarter. Latin America saw a significant decline for the segment across Brazil, Mexico and Argentina. 
Our Tuboscope pipe coating business held up well for the quarter on drill pipe strength in China but pipe mill inspection activity in North America declined, with 9 months of pacing on the ground, the highest level of inventory seen since the 1980s. Rising activity around tubing, pipeline and line pipe helped offset this somewhat, but we are even seeing workover activity fall in West Texas, which is unusual. Prior downturns have seen workover activity hold up better owing to quick paybacks. Drill pipe sales increased modestly from the third quarter into the fourth quarter, but still remain low and under price pressure. Growing operator interest in close loop automated drilling technology drove higher revenues for IntelliServ wire drill pipe unit in the fourth quarter to produce solid year-over-year improvements for the group. This innovative service grew sixfold in 2015 as compared to 2014, and we have lots of interest from EMPs, as well as drilling contractors eager to differentiate their rigs by enabling high-speed data transmission from the bottom of the hole through their drill pipe. 
Our Rig Aftermarket segment posted flat sequential revenues, but margins fell due to mix. A decline is spare parts sales was offset by higher repair revenues, which came in at lower margins partly due to rising discounts to win repair work. As rigs come down, particularly onshore, they are being cannibalized for parts, impacting our spares business for the quarter. 
SPS activity on offshore rigs rolled over in the fourth quarter, but remains active nonetheless. The Rig Aftermarket segment is actively working on about 40 projects either underway or on the bidding stage, but these are fluid as drilling contractors are curtailing scope or, in some instances, electing not to proceed with an SPS without a clear line of sight on a contract for the rig. Service and repair work in the U.S. Gulf of Mexico improved sequentially for rig aftermarket and BOP repair work in the Middle East remains strong. Rig Systems revenues fell 32% at 24% decrementals in the fourth quarter, driven by sharply lower shipments at a backlog. Customers are delaying acceptance of uncontracted new-builds to avoid stacking cost and to slow their CapEx as they face falling day rates and utilization as their contracts roll-off. Revenues from new offshore rig construction fell to about 20% of our consolidated revenue mix in the fourth quarter. We are working closely with our shipyard customers to navigate challenges and requests for delays and to improve our collections, but these situations remain fluid. At this point we expect revenues out of backlog for all of 2016 to total about $2.1 billion or $2.2 billion. Rig Systems saw a 76% decline in new orders in the fourth quarter which fell to $89 million and totaled $1 billion for the full year. Coating activity plummeted late in the year and while we still see interest for new land rigs for the Middle East and some other selected markets, we expect orders to again be very low for the first quarter. Importantly, we expect the land rig market to eventually resume its efforts to retool to more efficient AC technology, but the fourth quarter downturn and day rates for Tier 1 rigs will certainly delay that trend. 
As we disclosed in December, we reached a confidential settlement with one of our shipyard customers in Brazil to cancel 7 floating rigs being constructed there, which reduced our backlog by nearly $1.2 billion and led to a year end backlog of $6.1 billion for all of Rig Solutions segment. At year-end, that backlog includes $1.75 billion for the remaining 15 rigs across 3 shipyards in Brazil. I would stress that the situation in Brazil with regards to these remains uncertain and continues to evolve owing to the failure of our shipyard customers -- customer to secure long-term financing for these projects. We suspended work within 2 of these remaining 3 shipyards early last year, and we are in discussions with all 3 yards regarding the resolution of their programs. We recognize only $10 million in revenues for the remaining new-build rigs in Brazil during the fourth quarter of 2015. 
As we ramp up a challenging year in 2015, we recognize we are facing increasing headwinds in 2016, but we also recognize that extraordinary opportunities will arise as a result of the stress our industry is under. I am pleased with the execution of our experienced leaders who are cutting costs and improving efficiency, but also continuing to advance our long-term strategic initiatives by closed loop automated drilling opportunities which we expect to grow in 2016, new FPSO business models and designs to improve Deepwater economics and new products to improve drilling operations, completion techniques and more profitable production. Our EMP customers' business models simply don't work in this low oil price environment, and therein lies the opportunity for NOV to once again pioneer new, more efficient ways of extracting oil and gas to reduce their cost. 
Importantly, NOV represents a diverse portfolio of market leaders that participate in many major oilfield market around the world. We examine the major global sources of oil which make up the 90-plus million barrels of oil per day global industry. We see 10 million barrels of oil per day coming out of each of Saudi Arabia and Russia, both areas where we have invested heavily through the past few years, with our investments continuing to support relatively high levels of activity. Another 10 million barrels of oil per day comes from the Gulf states, where, again, we are expanding our presence and the oilfield remains comparatively busy. Nearly 10 million barrels per day has been achieved from Deepwater production, where we have benefited disproportionately from the Deepwater and offshore rigs we have built and expect to pioneer better methods of production in the future. Another 10 million barrels per day roughly comes from North America, which is dominated by shale production techniques. Each of these major productive areas has been enabled by NOV technology, and we continue to help our customers adapt to lower oil prices across them all. NOV remains well-positioned globally for when the eventual recovery comes, wherever it shows up first. Our leading market positions has been assembled through a combination of organic investments and acquisitions, and we're actively pursuing several targets now. It has been challenging and sometimes frustrating to reach agreement with potential sellers, but as the downturn lengthens, everybody in the space is becoming a lot more realistic. We remain patient and disciplined on values and realistic in our outlook, as the option value of our capital flexibility steadily rises. 
I am pleased that NOV has the balance sheet and financial resources to pursue these, but I am more pleased that we have tough, capable, experienced managers who can skillfully integrate acquisitions and execute our business plans. To all the NOV employees, I congratulate you for navigating such a challenging year in 2015, and I thank you for your contributions in building such a strong enterprise. We have a tough road ahead, but we are laying the groundwork for our future success. 
José?"
31900,315624280,925331,"National Oilwell Varco, Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","NOV Inc.","Executives","Thank you, Clay. I'll next provide some additional detail on our segment operating results for the fourth quarter and full year 2015 and provide some commentary on the near-term outlook. Our Rig Systems segment generated revenue of $1.0 billion, down 32%",2211,"Thank you, Clay. I'll next provide some additional detail on our segment operating results for the fourth quarter and full year 2015 and provide some commentary on the near-term outlook. Our Rig Systems segment generated revenue of $1.0 billion, down 32% from the $1.5 billion earned last quarter and down 60% from the $2.6 billion generated in the fourth quarter of 2014. For the fourth quarter, the split between offshore and land-related revenue was 73% and 27% respectively. Revenue out of backlog was $843 million, down 35% sequentially. As Clay indicated, slide delivery schedules and limited new order intake have contributed to the decline in revenue. You may recall that in the first quarter of 2015, we announced we were negotiating certain customer requested delivery delays for offshore new-build rigs. Although not our first choice, modifying delivery schedules allowed us to better manage our cost structure and level loading across our operations as we began sizing our business to support reduced levels of demand. The success of our cost management measures are seen in our decremental operating profit margins which were 23.9% on a 32% sequential revenue decline, and which were 22.7% on a 60% year-over-year revenue decline. Fourth quarter operating profit for the Rig Systems segment was $160 million [ph], yielding operating margins of 15.8% down 260 [ph] basis points from Q3. EBITDA was $184 million or 18.1% of sales, and EBITDA margins decreased 200 basis points compared to the third quarter of 2015. 
During the fourth quarter, we received $89 million in new orders resulting in a book-to-bill of 10%. Q4 bookings were composed entirely of discrete pieces of capital equipment as we receive known new rig orders in the quarter. Bookings included top drives and block preventers for international land rigs and cranes for offshore construction vessels. We ended the quarter with a backlog of $6.1 billion, down 24% sequentially of which approximately 89% is for the offshore market and 92% is destined for international markets. 
As Clay mentioned in his commentary, our customers are under increasing pressures related to falling day rates and utilization associated with a cyclical downturn. Our global portfolio of offshore rig equipment contracts typically incorporate significant down payment and progress payments, which minimize our working capital investments throughout the life of the agreement. While we do not expect meaningful charges from potential future breaches of contracts, cancellations or other similar issues, the impact would vary dependent upon the specific contract, timing of the event and other circumstances. 
For full year 2015, Rig Systems generated revenue of $7 billion, down 29% in comparison to 2014 as slowing project progress and declining orders drove revenue out of backlog down $2.6 billion from the $8.7 billion earned in 2014. With a resolute focus on execution and a commitment to continued cost reductions, Rig Systems generated $1.4 billion in full year EBITDA and maintained EBITDA margins just over 20% despite revenues declining almost 30% over the same period. Full year 2015 operating profit was $1.3 billion or 18.9% of revenue, down 140 basis points from the previous year, representing decremental leverage at 23.5%. 
As we move into the first quarter of 2016, at this point, we expect Rig Systems revenue to decline in the high single-digit percentage range and revenue out of backlog to decrease to around $775 million. But I'll stress that our visibility remains limited We plan to deliver on our current backlog while continuing to resize the business aggressively to meet a much lower level of demand. We're actively scaling facilities to single ships, consolidating locations and implementing other cost control initiatives. Despite these efforts, reduced volumes will work against us and we anticipate some margin erosion on lower activity levels and continued delays in the range of 2 to 300 basis points. 
Declining energy prices will negatively impact our order book for the foreseeable future, and we expect new orders for large equipment packages, both on and offshore to remain low. We continue to win in the marketplace due to our commitment to technology, capacity and operational service and support, but orders are scarce. As such, we do not expect this quarter's bookings to improve materially from the fourth quarter. 
Our Rig Aftermarket segment generated $569 million [ph] of revenue during the fourth quarter 2015, roughly flat sequentially and down 33% year-over-year from a record $850 million in the fourth quarter of 2014. Customers curtailed spending as regularization declined in both land and offshore markets. Land-related sales were approximately 21% of total segment revenue down slightly from 22% in Q3, but up on a percentage basis from 18% in the fourth quarter of 2014. EBITDA for the segment was $135 million or 23.7% of sales and operating profit was $127 million or 22.3% of sales, down 330 basis points from last quarter on higher portion of lower margin service and repair work, as well as incremental pricing pressure on repair and selected spare parts. 
Overall, 2015 results reflected an increasingly uncertain environment in which our drilling contractor customers reduced spending in effort to preserve liquidity. Throughout the year, our customers shows deplete existing spares inventories, rather than pursue new and did de minimis repair work and maintenance on the rig fleets, deferring more expansive work except where absolutely necessary.  For the full year, Rig Aftermarket generated revenue of $2.5 billion down 22% from a record at 2014. For full year, EBITDA was $647 million or 25.7% of revenue, down 250 basis points from 2014, and 2015 operating profit was $617 million or 24.5% of sales, down 290 basis points from the prior year. 
Looking into the first quarter of 2016 [ph] we expect Rig Aftermarket will see revenues decline in the mid- to upper teens percent range. Due to the seasonal nature of the aftermarket business, we typically expect lower activity with the better mix of spares to service and repair work in the first quarter than in the fourth. However, we anticipate a steeper than usual decline in Q1, reflecting current market conditions. Although reducing costs will be at the forefront of our response efforts, pricing pressure may push margins around 100 basis points lower in the first quarter.  Longer term, we believe our Rig Aftermarket segment will be a strong through early cycle beneficiary of the eventual recovery. We believe drillers will rush to return and suboptimally maintain stacked partially cannibalize rigs to proper operating condition, once they gain confidence that the market has reached a bottom and they see early indications of a recovery. 
For the fourth quarter of 2015, the Wellbore Technologies segment generated revenues of $757 million, down 9% sequentially from $834 million and down 50% from a record $1.5 billion in the fourth quarter of 2014. Reduced drilling activity negatively impacted all of our businesses within the segment. Average rig counts declined by 13% sequentially in the U.S., 9% in Canada and 2%, internationally. And segment revenue by geography closely mirrored the sequential fall in rig count. Pricing pressure continued into the fourth quarter across most all product lines. For the fourth quarter of 2015, EBITDA was $68 million or 9% of revenue, down 530 basis points from last quarter and the segment posted an operating loss of $31 million. For the full year 2015, Wellbore Technologies generated revenue of $3.7 billion, down 35% in comparison to 2014. Consistent with the year-over-year average decline in global rig count, 2015 EBITDA for the segment was $562 million or 15.1% of revenue down from 26% in 2014, and operating profit was $162 million for 2015 or 4.4% of sales, as the speed of activity and revenue declined outpaced our reduction efforts. 
Like our Rig Aftermarket business, we expect our Wellbore Technologies segment to be an early cycle beneficiary of the eventual recovery. However, near-term, we have limited visibility and the activity-driven nature of the business contributes to variability. Just 4 weeks into 2016, U.S. rig count is down 18% from the average in Q4 of 2015. So we expect revenues to fall 8% to 10% with decremental margins in the 40% range. We continue our efforts to optimize our Wellbore Technologies segment, resizing our business to meet lower level of demand, improving our manufacturing processes to become more efficient on a lower cost base and shortening our commercialization processes to bring new value-adding technologies to market. 
Our Completion & Production Solutions segment generated revenues of $746 million for the fourth quarter of 2015, down 7% sequentially and 44% compared to the fourth quarter of 2014. Businesses related to onshore completion and production were some of the most negatively impacted, with customers delaying receipt of finished orders as operators inventory of drilled but uncompleted wells rose in response to commodity price declines. EBITDA for the segment was $86 million or 11.5% of sales and operating profit for the segment was $34 million resulting in operating margins of 4.6%, down 330 basis points sequentially at 1,160 basis points year-over-year as a result of lower volumes and pricing pressure. 
During the quarter, Completion & Production Solutions received orders of $272 million, down $194 million or 42% sequentially as the substantial flexible pipe order won in the third quarter did not repeat. We recognized $460 million of revenue out of backlog, resulting in a book-to-bill of 59%. Segment ended the quarter with a backlog balance of $959 million, of which approximately 75% is offshore and 87% is destined for international markets. For the full year 2015, the segment generated revenue of $3.4 billion, down 28% in comparison to 2014 as revenue out of backlog declined $501 million or 20% and non-backlog revenue decreased 37% from 2014 to $1.3 billion. Full year EBITDA was $507 million or 15.1% of revenue, down 480 basis points from 2014. Operating profit was $286 million or 8.5% of revenue in comparison to $700 million and 15.1% in 2014, representing decremental leverage of 32.3%. Record or near record margin in some of our offshore production-related businesses including flexibles and large diameter XL Systems conductor pipe connections were overshadowed by lower year-over-year contributions from our higher-margin intervention and stimulation equipment businesses given reduced demand for hydraulic stimulations, coiled tubing and wireline capital equipment and consumables. 
With oil at 12-year lows, orders for new capital equipment will remain challenged as we move into the first quarter of 2016. Opportunities that do emerge will face continued pricing pressure. As a result, we anticipate revenues will decrease by approximately 15% and expect revenue out of backlog to fall to the $350 million to $370 million range. We anticipate  decremental operating leverage in the 30% to 35% range. 
Now let's discuss some additional detail regarding our consolidated financial results. Working down the consolidated statement of income for the fourth quarter of 2015, gross margin declined 210 basis points to 19.1%. SG&A increased $25 million or 7% sequentially due in large part to increases in bad debt and other year end related items, which more than offset overheads reductions. Despite the slight sequential increase, we reduced SG&A 28% year-over-year, which translates into an annualized cost savings of approximately $600 million. Other items for the quarter equaled $1.8 billion and resulted primarily from goodwill and indefinite live intangible asset write-downs of $1.6 billion and restructuring and other charges of $139 million. 
EBITDA was $308 million or 11.3% of sales. Net interest expense remained flat for the third quarter, and equity income was a loss of $3 million as demand for OCTGs or green tubing associated with our Alpine joint venture remains muted given the low demand for new drill pipe. Other expense for the quarter decreased $3 million sequentially to $17 million and the effective tax rate for the fourth quarter, excluding the impact of other items, was 18.7% affected by a taxable loss in the U.S. and taxable income and foreign jurisdictions and other things. Net income, excluding other items, was $85 million or $0.23 per fully diluted share. Working capital, excluding cash and debt, totaled $5.5 billion at December 31, 2015, down $422 million from the prior quarter. We generated a total of $614 million in cash flow from operations. After dividend, payments of $173 million, investments in our business of $136 million and FX impact on our cash balances and other items totaling $18 million, we were able to decrease our net debt position by $287 million during the quarter. 
We ended the quarter with a cash balance of $2.1 billion, $4 billion in debt and our net debt to capitalization was 11.2%. We also have $3.6 billion of undrawn capacity on our revolving credit facility. Overall, 2015 was a challenging year under the backdrop of market uncertainty, falling energy prices, declining drilling activity and reduced customer spending. In spite these conditions, NOV generated $1.3 billion cash flow from operations, bought back 2.2 billion in our shares, paid out cash dividends of $710 million to our shareholders, invested over $450 million in organic growth opportunities and completed 7 acquisitions for approximately $85 million, all while preserving a very strong balance sheet. 2016 will prove to be another challenging year. However, the actions we took during 2015 have positioned us well to weather the storm and capitalize on opportunities that we identified during the down cycle. 
Now let me turn it back to Clay."
31900,315624280,925331,"National Oilwell Varco, Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","NOV Inc.","Executives","Thank you, Jose. I think at this point, we're ready to open it up to questions, Kevin.",17,"Thank you, Jose. I think at this point, we're ready to open it up to questions, Kevin."
31900,315624280,925331,"National Oilwell Varco, Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","NOV Inc.","Operator","[Operator Instructions] Our first question comes from Marshall Adkins from Raymond James.",12,"[Operator Instructions] Our first question comes from Marshall Adkins from Raymond James."
31900,315624280,925331,"National Oilwell Varco, Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","NOV Inc.","Analysts","I we see the industry, these oil prices coming to a screeching halt. I'm curious, how do you balance the massive cost-cutting that you seem to be doing with the ability to meet a recovery market in '17 and '18? How much cutting is too much? I guess, the c",73,"I we see the industry, these oil prices coming to a screeching halt. I'm curious, how do you balance the massive cost-cutting that you seem to be doing with the ability to meet a recovery market in '17 and '18? How much cutting is too much? I guess, the corollary to that is I presume we should expect margins to continue to decrease through the year. What point in time do we stabilize?"
31900,315624280,925331,"National Oilwell Varco, Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","NOV Inc.","Executives","That's a great question, Marshall. We were hoping to find stability early 2016 and then it will hit down another $10 and all the EMPs are coming up with a sharply lower Capex forecast than we had been planning for. So things remain fluid. But to your orig",223,"That's a great question, Marshall. We were hoping to find stability early 2016 and then it will hit down another $10 and all the EMPs are coming up with a sharply lower Capex forecast than we had been planning for. So things remain fluid. But to your original question, what's the right balance, I got to tell you one of the really necessary skill sets in oilfield services for those of us that have been in it a while is the ability to flex up sharply when called upon and flex down sharply when called upon. And the good news for NOV is we have a very experienced management team running our business units around the globe. They know how to do this. We've been called on in the past to double and triple and quadruple production over a short period of time and we successfully navigated that very well and maximized profitability returns through that. This is the flip side of that. As orders fall away, as spending comes to a screeching halt, we have to cut costs in lockstep. So we have an abundance of confidence in the capabilities of this team to do both, to respond to this market that's slowing down dramatically, as well as speed up and flex upwards when we're eventually called upon to do that."
31900,315624280,925331,"National Oilwell Varco, Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","NOV Inc.","Analysts","Okay, one unrelated follow-up, obviously, M&A's focus here with things coming back, that's always been your strength. How is it that market looking? And what geographic areas  generically, i don't want you to give away anything, but where do you focus acq",42,"Okay, one unrelated follow-up, obviously, M&A's focus here with things coming back, that's always been your strength. How is it that market looking? And what geographic areas  generically, i don't want you to give away anything, but where do you focus acquisitions?"
31900,315624280,925331,"National Oilwell Varco, Inc., Q4 2015 Earnings Call, Feb 03, 2016",2016-02-03,"Earnings Calls","NOV Inc.","Executives","We're in an enviable position, I think, of going into such a short downturn with a very strong balance sheet to recap some of the liquidity items that Jose mentioned just a moment ago. $2.1 billion cash balance, $5.5 billion of working capital, which has",235,"We're in an enviable position, I think, of going into such a short downturn with a very strong balance sheet to recap some of the liquidity items that Jose mentioned just a moment ago. $2.1 billion cash balance, $5.5 billion of working capital, which has begun liquidating, a $3.6 billion revolving line of credit. So we have a lot of capital flexibility. We stepped up our efforts as we talked about in prior calls to be very vigorous in looking for opportunities to deploy capital, and what we see is becoming more of a buyers market. And so we're pretty, pretty excited about that and have a lot of flexibility to pursue those. As you know, we really fundamentally pursue competitive advantage and really fundamentally pursue evolving trends that we see in the oilfield as attractive areas to deploy capital. So specifically, I think my comments just a moment ago, I mentioned places like Saudi Arabia, which is committed to increasing activity. They want more local content. We talked a lot in the past about areas like the FSU where we've done more organic investment than acquisitions. But that's an area of interest. Argentina, the excitement around the shale which was down in Q4, but longer-term, we're pretty excited about the potential there. Those are the sorts of things that we look to, to be potentially interesting when it comes to potential M&A targets."
