"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
32052,324722178,935033,"NetApp, Inc., Q3 2016 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","NetApp, Inc.","Operator","Good day, ladies and gentlemen, and welcome to the NetApp Third Quarter Fiscal Year 2016 results conference call. [Operator Instructions] As a reminder, this call is being recorded. I would now like to turn the conference over to Kris Newton, Vice Preside",48,"Good day, ladies and gentlemen, and welcome to the NetApp Third Quarter Fiscal Year 2016 results conference call. [Operator Instructions] As a reminder, this call is being recorded. I would now like to turn the conference over to Kris Newton, Vice President of Investor Relations. Please go ahead."
32052,324722178,935033,"NetApp, Inc., Q3 2016 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","NetApp, Inc.","Executives","Hello, and thank you for joining us on our Q3 fiscal year 2016 earnings call. With me today are our CEO, George Kurian; and interim CFO, Jeff Bergmann. This call is being webcast live and will be available for replay on our website at netapp.com along wit",315,"Hello, and thank you for joining us on our Q3 fiscal year 2016 earnings call. With me today are our CEO, George Kurian; and interim CFO, Jeff Bergmann. This call is being webcast live and will be available for replay on our website at netapp.com along with the earnings release, our financial tables and guidance, a historical supplemental data table and the non-GAAP to GAAP reconciliation. 
As a reminder, during today's call, we will make forward-looking statements and projections with respect to our financial outlook and future prospects such as our guidance for the fourth quarter and fiscal year 2016 and for fiscal year 2017; our expectations regarding future revenue growth, improved profitability, cash flow, effective tax rate and shareholder returns; our expectations about our ability to drive operational and financial performance; and about the impact of the SolidFire acquisition and business, all of which involve risk and uncertainty. Such statements reflect our best judgment based on factors currently known to us and are being made as of today. We disclaim any obligation to update our forward-looking statements and projections. Actual results may differ materially from our statements and projections for a variety of reasons, including the macroeconomic environment; the overall growth rates for IT; our ability to successfully pivot to the growth areas of the market; our ability to expand our operating margin; our ability to reduce our cost structure within the planned time frame; and our ability to continue our capital allocation strategy and investment in strategic opportunities. Please also refer to the documents we file from time to time with SEC, specifically our most recent forms 10-Q, our Form 10-K for fiscal year 2015 and our current reports on Form 8-K, all of which can also be found on our website. 
During the call, all financial measures presented will be non-GAAP, unless otherwise indicated. 
I'll now turn the call over to George."
32052,324722178,935033,"NetApp, Inc., Q3 2016 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","NetApp, Inc.","Executives","Thanks, Kris. Good afternoon, everyone. Thank you for joining us. Our Q3 performance reflects our strong focus and operational execution as well as continued challenges from a number of headwinds. For the quarter, we achieved our margin and EPS targets, h",2254,"Thanks, Kris. Good afternoon, everyone. Thank you for joining us. Our Q3 performance reflects our strong focus and operational execution as well as continued challenges from a number of headwinds. For the quarter, we achieved our margin and EPS targets, however, we recorded lower-than-expected revenue. These mixed results reflect the impact of an uncertain and volatile macroeconomic environment, which is causing a slowdown in spending that became more evident in January. Additionally, overall growth rates for enterprise IT remain under pressure as customer shift some of their spending to the cloud. 
Despite these headwinds, we had a number of positives in the quarter. Our data fabric strategy and pivot towards the growth segments of the market, scale-out, software-defined, flash, converged and hybrid cloud, continue to yield positive results. Earlier this month, we closed the SolidFire acquisition, positioning us to lead the rapidly growing all-flash array market. 
Before I go into greater depth on the progress we've made in these areas, I want to spend time on the fundamental changes we are undertaking to return NetApp to revenue growth with improved profitability, cash flow and shareholder returns. On prior calls, I told you that I was driving a detailed inspection of the business. I have now concluded that formal review. Parts of our business are working well and growing, but we're managing through declines in other parts. We have many exciting, innovative, industry-leading products, strong relationships with customers and partners and a large, growing installed base. NetApp does not need to completely reinvent itself, but we do need to execute comprehensive and sustained transformation to deliver on our commitment to return to revenue growth and enhance profitability and shareholder returns. We will take significant steps to streamline the business and further advance our pivot to the growth areas of the market in order to capture the full potential of NetApp. 
To accomplish this, we've adopted a plan with several key priorities. First, we are focused on the strategic solutions that represent our pivot to the growth segments of the market and are the foundation of how we enable customer success in the date of powered digital era; second, we are substantially reducing cost and systematically streamlining the business, even while investing for the future; third, we will provide greater visibility into the business and our revenue mix to demonstrate why we are so confident in our ability to capitalize on our strategic solutions; and fourth, we remain committed to our capital allocation strategy, which includes a combination of share repurchases, dividends and investing for the long-term growth of the business. 
Let's start with our strategic solutions. As the baseline, our focus remains in enabling our customer success as they navigate through their own IT transformations, which leverage modern architectures and hybrid cloud solutions. Clustered ONTAP, Branded E-Series, all-flash arrays, hybrid cloud solutions and OnCommand Insight are the set of strategic solutions that are the basis of our pivot to the growth is severance of the market. The growth rate of our strategic solutions is strong, but as I've discussed, not yet sufficient to offset the headwinds from the mature areas of our business, OEM, ONTAP 7-Mode and add on. We expect that these headwinds will lessen as we progress through fiscal year 2017. As we emerge from FY '17, the transition to clustered ONTAP should be mostly behind us as well the downward pressure that the transition has put on our add-on storage business. As OEM and ONTAP 7-Mode become a smaller part of our mix, we anticipate that our pivot towards the growth areas of the market will return the company to revenue growth, albeit moderated. During this transition period, we will maintain a sharp focus in execution, reduce our cost base and take additional steps to manage the trends in the storage industry. We will make transformational moves to become more focused, efficient and effective, while fundamentally lowering the cost structure of the company, even as we invest in strategic opportunities. 
Which brings us to our second priority, cost control. We will utilize disciplined portfolio management to improve productivity and better align resources with opportunities, while simultaneously maximizing returns from the mature portions of our business. We must also streamline the business to increase our effectiveness and flexibility in responding to the rapidly changing market. All of this will expand our operating margin. We have launched a comprehensive program to reduce the cost base of our business by $400 million gross annually with run rate savings achieved by the end of fiscal year '17. We have already embarked on this initiative. We have made decisions that streamline our business, such as consolidating our hardware, engineering and manufacturing operations teams, implementing tighter controls on indirect spending and improving supply chain efficiency. These actions and lower variable compensation enabled us to lower our Q3 operating expenses by 8% sequentially. Today, we announced a restructuring and reduction in workforce of approximately 12% of total headcount. This action will generate annualized run rate savings of approximately $200 million against our growth target. We expect the majority of this workforce reduction to occur in fiscal Q4. 
As these cost efficiencies materialize, we are reinvesting some of these savings into strategic solutions like SolidFire and productivity improvements, which will allow us to be more effective at a lower cost structure, yielding a net run rate savings of roughly $130 million by the end the fiscal year '17. We are taking a thoughtful approach to the reductions, employing disciplined portfolio management and fundamentally changing the way we operate. Savings will be achieved through business transformation, including operational process redesign, organizational restructuring and realignment and further portfolio streamlining. We are also putting into place controls to ensure that the savings are sustained. These transformational moves will better align our resources against the strategic opportunity and our cost structure to the near-term growth trajectory of the business. 
While we've been working to make our model more efficient for some time now, this comprehensive and sustained transformation will enable us to realize the benefit of our pivot to the growth areas of the market at a faster pace. 
Looking past the streamlining and transformation phase into fiscal year '18 and beyond, we will continue our focus on productivity and the improvements in efficiency will more substantially materialize. Our non-GAAP operating margins will improve towards the high end of our target range, inclusive of SolidFire. By coupling the strength of our data fabric strategy and the benefits we deliver to customers with a more efficient and agile business, we can increase the value we generate for customers, partners, employees and shareholders. Over time, we believe that the investments we've made in innovation and streamlining will enable us to grow at an accelerating pace with improved operating margin and cash flow. 
Our third priority is transparency. The progress we've already made in our pivot towards the growth areas of the market has not been easy to measure from outside the company. To help provide visibility into this transition, we are providing greater clarity into the dynamics of our product revenue. In Q3, our strategic solutions, clustered ONTAP, Branded E-Series, all-flash arrays, hybrid cloud solutions and OnCommand Insight, made up almost 55% of product revenue and grew 26% year-over-year. By contrast, product revenue from our mature solutions, OEM, ONTAP 7-Mode and add-on, declined 40% year-over-year, predominantly from the declines in OEM and ONTAP 7-Mode. 
In Q2 FY '16, we reached a significant milestone when the revenue from strategic solutions exceeded that of the mature ones. In other words, the products with the higher aggregate growth profile are the bigger proportion of our product revenue. We are getting closer to a mix with our strategic solutions can drive a reacceleration of the business. This shift in the composition of our product revenue is a good indicator of the progress we've made in our pivot to the growth areas of the market. This, plus our strong software and hardware maintenance revenues create a solid foundation for NetApp. 
The tight alignment between our strategic solutions and our customers' IT imperatives underscores our confidence that we will generate continued growth from this area of the business. As part of their IT modernization efforts, customers want scale-out and software-defined storage functionality for the efficient management of data growth. Clustered ONTAP enables seamless data management across flash, disk and cloud footprints and across public and private clouds for enterprise applications, regardless of the underlying hardware. Clustered ONTAP was deployed in almost 80% of FAS systems shipped in Q3, up from roughly 40% a year ago. Unit shipments of clustered ONTAP systems saw strong continued customer demand, growing roughly 70% year-over-year. The clustered ONTAP transition acceleration program we put in place at the start of the year is speeding the migration of installed base customers, who are ready to upgrade both their systems and their software from ONTAP 7-Mode to clustered ONTAP. Our FAS install base is growing and clustered ONTAP now represents 24% of installed systems. The installed base mix will continue to shift the clustered ONTAP, but you should not expect a linear progression. These migrations of projects that must fit within the overall IT priorities and budgets of our customers, and we anticipate that the transition of the installed base will happen over the course of years. Both the total number of customers and new-to-NetApp customers who meet clustered ONTAP purchases in Q3 grew by approximately 60% from Q3 last year. Flash is becoming the de facto technology for primary workloads. Our EF all-flash arrays delivered the extreme performance for standalone applications that infrastructure buyers and application owners need. The All Flash FAS arrays have industry-leading data management services with a unified multiprotocol capability that appeals to infrastructure architects driving data center consolidation. Customer demand for our all-flash arrays continues to grow. Our existing all-flash array business, inclusive of EF and All Flash FAS products and services, has accelerated to an almost $600 million annual run rate. To this strong foundation, we are excited to add SolidFire's unique scale-out block storage architecture that is compelling for the cloud architect, masterminding the next generation data center. With this acquisition, NetApp is the clear technology leader in the all-flash array market with the broadest portfolio of all-flash arrays in the industry, addressing the diverse needs of enterprises and service providers, which cannot be adequately met by the one-size-fits-all compromise approach of our competitors. 
Our data fabric solutions are successfully positioning us to help customers with leading-edge cloud deployments. A leading software-as-a-service provider in the Asia-Pacific region created a next-generation service for its customers, utilizing NetApp Private Storage for cloud, AltaVault and OnCommand Insight, connected to multiple hyperscale clouds for compute services. They provide an outstanding customer experience, and in enterprise solution, built on a single modern platform with a consistent look and feel without the risk of a single cloud dependency. By storing data on NetApp Private Storage, they can make customer preference for a specific cloud provider as well as improve their ability to meet SLA guarantees by scaling over to other clouds when the primary cloud is unavailable. The mirror deficiency of NetApp Private Storage also allows them to improve their profitability by effectively storing less data on tiers of flash and creating rapid virtual copies for test and development during new customer acquisitions. Additionally, they can satisfy regulators by proving where data resides at all times for government, financial services and healthcare customers. This is a great example of what I've discussed in the past. Data is at the heart of the transformation our customers are going through to improve the efficiency of their businesses and better serve their customers. At the same time, they're reducing IT budgets, looking for simpler solutions and rethinking how they consume IT. This evaluation is diverting spend towards transformational projects and architectures like scale-out, software-defined, flash, converged and hybrid cloud, where our data fabric strategy gives us a compelling advantage. NetApp is the only company able to span flash to disk to cloud, and the only company delivering the ability to manage data across multiple clouds and on premises today. 
Finally, I want to briefly touch on capital allocation, our fourth priority. I'll let Jeff get into the details, but in short, we are fully committed to executing our capital allocation programs and creating value for shareholders. We expect to complete our current share buyback authorization by the end of May 2018 as planned and remain committed to our dividend program. I am more confident than ever in NetApp's potential. While we must manage through a dynamic IT market and declines in our mature solutions, we have a clear plan and a lot of positives. We have a large and growing installed base; our data fabric strategy uniquely enables us to assist customers in achieving their strategic IT imperatives; our strategic solutions our greater than 50% of product revenue and growing. We are making substantial progress in the transition to clustered ONTAP and we've just expanded our conference of all-flash array portfolio. We are keenly focused on our business model and managing our investments between our strategic and mature solutions. The changes we are making to stream line the business and reduce the cost structure will enable investment and strategic opportunities, while accelerating our ability to deliver shareholder value in the form of profitability and cash flow year. 
We look forward to updating you on our progress next quarter. I'll now turn it over to Jeff to take you through the numbers. Jeff?"
32052,324722178,935033,"NetApp, Inc., Q3 2016 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","NetApp, Inc.","Executives","Thank you, and good afternoon, everyone. I'd like to start by thanking George and the NetApp board for the opportunity to step in as interim CFO. It's an exciting time of transformation for NetApp as we streamline the business to become more focus and eff",1679,"Thank you, and good afternoon, everyone. I'd like to start by thanking George and the NetApp board for the opportunity to step in as interim CFO. It's an exciting time of transformation for NetApp as we streamline the business to become more focus and efficient, and at the same time, pivot the company toward growth areas of the market and take advantage of the opportunities in front of us. The team is energized to leverage the strength of our strategic solutions to bolster the company and ultimately drive growth. We have made good progress to date, and as you heard from George, are committed to providing you with greater visibility into the dynamics of our business. 
With that said, let's move to the financial results for the third quarter of fiscal 2016. I want to remind you that unless otherwise specified, I will be using non-GAAP metrics to discuss our financial results and guidance. 
Q3 net revenues of $1.39 billion were down about 4% sequentially and 11% year-over-year. While there were indicators of strength in our results, such as clustered ONTAP traction and rapid all-flash array adoption, which drove growth in our strategic solutions, our revenue performance fell short of our expectations. The shortfall was a result of a combination of the macroeconomic uncertainty George talked that created the lengthening of deal cycles, greater-than-anticipated rate of decline in our mature business, a mix shift to deferred revenue and FX headwinds of about 3 points year-over-year. When we reiterated guidance in early January, our sales volume was in line with our forecast, which assumed a back-end loaded quarter, consistent with historical performance and is typical in the industry. However, after moderate calendar year budget flush, the macroeconomic environment worsened and we saw an increase in the deferred mix of our business over the course of last 2 weeks of the quarter. 
Product revenue declined 8% sequentially and 19% year-over-year. We saw higher-than-expected volume of software and hardware maintenance contract renewals as some customers opted to delay equipment purchases. The combination of software maintenance and hardware maintenance and other services revenues was up 2% year-over-year. 
Now to provide some context and better visibility into our business model, I'd like to walk through how we think about the strategic solutions revenue in software and hardware maintenance revenues coming together to create a foundation from which we can build. Revenue from strategic solutions continues to show strong growth, and as George highlighted, is now more than 50% of our product revenue. The year-over-year decline in our mature solutions revenue is driving overall product revenue declines in the near term, but the size and growth of the strategic solutions revenue gives us confidence in our strategy to provide overall product revenue growth in the future. 
Looking at software and hardware maintenance revenues, I talked about the strength of our renewal business during the quarter, and as George said, 24% of our install base is running on clustered ONTAP. While the product revenue declines will ultimately pressure software and hardware maintenance revenues, the lengthening of product life cycles, growth of our installed base, rapidly increasing mix of clustered ONTAP the install base and high renewal volume creates support for future software and hardware maintenance revenues. Indirect revenue accounted for 78% of net revenues. Gross margin was 63.1% in the third quarter, above our previous guidance, reflecting favorable mix, partially offset by aggressive pricing. Product gross margin of 51.1% was down about 6 points year-over-year, reflecting about 2 points of FX and higher discounting. Software maintenance gross margin was roughly flat, while hardware, maintenance and other services gross margin was up about 2 points, largely reflecting higher contract renewal revenue as well as services infrastructure cost efficiencies. Operating expenses of $630 million decreased 12% year-over-year, reflecting 3 points of FX benefit, lower headcount and related compensation cost and the early work toward driving greater efficiency across the business, as George mentioned in his opening remarks. Operating margin of 17.6% was almost 1 point above our guidance. 
Our effective tax rate was 14.9% and lower than our previous guidance, which reflects a change in the geographic mix of profits and its cumulative year-to-date impact. We expect our effective tax rate for Q4 to be approximately 16%. Our weighted average diluted share count for the third quarter was 296 million shares. Earnings per share was $0.70, within our guidance range. 
Moving on to cash and balance sheet metrics. We ended the quarter with approximately $5 billion in cash and short-term investments, with approximately 12% held by our domestic entities. Deferred and financed under services revenue decreased $80 [ph] million sequentially and $16 million year-over-year. Inventory turns increased to 20 and DSO was at 38 days. 
We generated $315.5 [ph] million in cash flow from operations during the quarter, up 29% year-over-year. Free cash flow of $314 million was about 23% of net revenues, up 217% [ph] sequentially and 28% year-over-year. We expect free cash flow as a percentage of revenue for Q4 to reflect the above 20%. 
Now I'd like to discuss share repurchases for a moment. In Q3, we repurchased approximately $85 million of our stock. This was less than we would've liked to events such as the SolidFire transaction, which reduced the number of days we can be in the market. However, as George noted, we remain fully committed to completing our $2.5 billion share repurchase program by the end of May 2018, with $262 million that's remaining by the end of May 2016. Additionally, we paid $52 [ph] million in cash dividends in the third quarter. 
Today, we also announced next cash dividend of $0.18 per share with the company's common stock, which will be paid on April 27, 2016. Overall, we are confident in our allocation of capital between growth initiatives and shareholder returns as we continue to execute on our transformation strategy. 
Looking forward to guidance. Given the increasingly uncertain macroeconomic environment, continued shifts in enterprise IT spending and our own work in transforming the company, we are tempering our forecast. For the fourth quarter, we are forecasting a revenue range of $1.35 billion to $1.5 billion. Given the aggressive pricing environment, we expect gross margins to decline to approximately 61.5%, driven by higher discounting, which will be partially offset by cost savings initiatives. 
Looking in operating margin, we are transforming the company in order to streamline the business, improved efficiency, become more focused and enhance our ability to rapidly address the changing market. Our initiatives will fundamentally change the way we do business by centralizing similar activities across functions, optimizing geographic location and resources and consolidating suppliers. We are better positioning NetApp for near and long-term success, while reducing our cost structure across both cost of revenues and OpEx and ensuring that the changes we make are sustainable. To minimize disruption, the pace of these changes will be dictated by the company's preparedness for each transformative initiative. As George mentioned, we're driving to achieve a gross run rate savings of $400 million by the end of fiscal 2017, which would include the previously announced discontinuance of our FlashRay product line. We plan to use these cost savings to minimize erosion of margins in a price-competitive environment. We will reinvest some of the gross savings into strategic opportunities such as SolidFire and productivity improvements, building a net run rate savings of roughly $130 million by the end of fiscal 2017. While George touched upon several initiatives that are already underway, we will provide more specifics around additional initiatives as they executed. As a step towards the lower work our cost and rewiring the company, we will initiate a headcount reduction of approximately 12% during the fourth quarter. We expect to realize Q4 savings of just over $30 million, resulting in a Q4 operating margin of approximately's 15% and earnings per share target range of $0.55 to $0.60 for the fourth quarter, including the impact of the SolidFire acquisition. We expect a GAAP restructuring charge of approximately $60 million to $70 million in Q4 relating to this action. 
Finally, to help the 2 [ph] models, I'd like to provide some color around the impact of SolidFire on our outlook. As you know, the acquisition closed on February 2. We funded the transaction through a short term loan of $870 million. We intend to integrate SolidFire into our global operating structure and expect a retired acquisition that with our global earnings by the beginning of Q3 FY '17. In Q4, we expect SolidFire to reduce operating margin by about 3 points, resulting in an operating margin of approximately 15%. Looking forward to FY '17, we expect our strategic plan for SolidFire to contribute about 2 points of revenue growth and be dilutive to operating profit by about 2 points and earnings per share by $0.28 to $0.30. This is at the high end of the guidance range that we gave you on the acquisition call, as that range included benefit of a FlashRay discontinuance, which we are now reporting as part of the overall cost reduction plan. We anticipate that SolidFire will be accretive in FY '18. 
The IT environment is changing rapidly, and we provide a lot of additional content to give you more Insight into how it's impacting us and actions we're taking to adapt. Let me summarize the foreign things around this transformation that I want to ensure you take away from this call. First, underlying our top line results, there is a strong strategic business that is material and growing; second, we are significantly reducing the cost structure of our core NetApp business, aligning our resources to the market opportunity, which will expand operating margins; third, we are committed to providing greater transparency and the ability to our business; and fourth, we are committed to our capital allocation strategy of providing a meaningful dividend that grows over time and executing a robust share repurchase program while investing in the long-term growth of the business. 
With that, I'd like to hand it back to Kris to open the call for Q&A. Kris?"
32052,324722178,935033,"NetApp, Inc., Q3 2016 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","NetApp, Inc.","Executives","We'll now open the call for Q&A. [Operator Instructions] Operator?",11,"We'll now open the call for Q&A. [Operator Instructions] Operator?"
32052,324722178,935033,"NetApp, Inc., Q3 2016 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","NetApp, Inc.","Operator","[Operator Instructions] And our first question comes from the line of Steven Fox of Cross Research",16,"[Operator Instructions] And our first question comes from the line of Steven Fox of Cross Research"
32052,324722178,935033,"NetApp, Inc., Q3 2016 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","NetApp, Inc.","Analysts","George, just on the cost savings initiatives and the $400 million total. Can you sort of foot that versus what you just announced? In other words, how much of the $400 million was realized to date? And I assume that's a gross number, so if you get that ou",93,"George, just on the cost savings initiatives and the $400 million total. Can you sort of foot that versus what you just announced? In other words, how much of the $400 million was realized to date? And I assume that's a gross number, so if you get that out, what would be the savings? And then specifically, where were you getting them from? And along those lines, I guess, there's some product mix issues that are helping you as well. Can you address that in terms of just how your margins are benefiting?"
32052,324722178,935033,"NetApp, Inc., Q3 2016 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","NetApp, Inc.","Executives","Okay. The total program is the comprehensive of program that encompasses across the board, business process redesign, organizational restructuring and realignment and further streamlining of the portfolio. The total dollar savings that we are going after,",113,"Okay. The total program is the comprehensive of program that encompasses across the board, business process redesign, organizational restructuring and realignment and further streamlining of the portfolio. The total dollar savings that we are going after, the gross savings between the end of Q3 fiscal '17 -- fiscal '16, and the end of fiscal '17, is a gross number of $400 million in cost savings. The first step in that program is the restructuring actions that we are announcing today and which will be complete in Q4. Within Q4, we will be recording about $30 million of savings from the action itself, which, over a full-year annualized run rate, is about $200 million."
32052,324722178,935033,"NetApp, Inc., Q3 2016 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","NetApp, Inc.","Analysts","Just to be clear, that's without any kind of mix benefit, such as oil cost going forward? And the mix being separate?",22,"Just to be clear, that's without any kind of mix benefit, such as oil cost going forward? And the mix being separate?"
32052,324722178,935033,"NetApp, Inc., Q3 2016 Earnings Call, Feb 17, 2016",2016-02-17,"Earnings Calls","NetApp, Inc.","Executives","That's correct. That's right.",5,"That's correct. That's right."
