"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
112732,323433962,921857,"PayPal Holdings, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","PayPal Holdings, Inc.","Operator","Good day, ladies and gentlemen, and welcome to PayPal's Q4 2015 Earnings Call. [Operator Instructions] As a reminder, today's conference is being recorded. I would now like to introduce your host for today's conference, Mr. Tom Hudson, VP of Investor Re",45,"Good day, ladies and gentlemen, and welcome to PayPal's Q4 2015 Earnings Call. [Operator Instructions] As a reminder, today's conference is being recorded. 
I would now like to introduce your host for today's conference, Mr. Tom Hudson, VP of Investor Relations. Sir, please go ahead."
112732,323433962,921857,"PayPal Holdings, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","PayPal Holdings, Inc.","Executives","Good afternoon. Thank you for joining us, and welcome to PayPal Holdings earnings release conference call for the fourth quarter and full year 2015. Joining me today on the call are Dan Schulman, our President and CEO; and John Rainey, our Chief Financial",438,"Good afternoon. Thank you for joining us, and welcome to PayPal Holdings earnings release conference call for the fourth quarter and full year 2015. Joining me today on the call are Dan Schulman, our President and CEO; and John Rainey, our Chief Financial Officer. We're providing a slide presentation to accompany the commentary during the call. All growth rates mentioned in each prepared remarks represent year-over-year comparisons unless they clarify otherwise and all segments' results are adjusted for the effect of foreign currency exchange. In the discussion of year-over-year comparisons, including guidance growth rates for the first quarter and full year 2016, we have chosen to present non-GAAP pro forma metrics, which reflect items that are factually supportable directly attributable to the separation of the company from eBay Inc. on July 17, 2015, and expected to have a continuing impact on the company's results of operations, because we believe that these metrics provide investors a consistent basis for reviewing the company's performance across different periods. 
This conference call is also being broadcast on the Internet. And both the presentation and the call are available through the Investor Relations section of the PayPal website at investor.paypal-corp.com. You can visit our Investor Relations website for the latest company news and updates. In addition, an archive of the webcast will be accessible for 90 days through the same link. 
Before we begin, I'd like to remind you that during the course of this conference call, we will discuss some non-GAAP measures in talking about our company's performance, including the non-GAAP pro forma metrics mentioned above. You can find a reconciliation of those measures to the nearest comparable GAAP measures in the slide presentation accompanying this conference call. In addition, management will make forward-looking statements that are based on our current expectations, forecasts and assumptions and involve risks and uncertainties. These statements include, but are not limited to, future performance of PayPal, including expected financial results for the first quarter and full year 2016, our actual results may differ materially from those discussed in this call for a variety of reasons. You can find more information about risks, uncertainties and other factors that could affect our operating results in our Registration Statement on our Form 10, as amended, and in subsequent annual reports on Form 10-K and quarterly reports on Form 10-Q available at our IR site, investor.paypal-corp.com. You should not rely on any forward-looking statements. All information in this presentation is as of today's date, January 27, 2016, and we do not intend and undertake no duty to update the information. 
With that, let me turn the call over to Dan"
112732,323433962,921857,"PayPal Holdings, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","PayPal Holdings, Inc.","Executives","Thanks, Tom. Good afternoon, everyone, and thanks for joining our call. I'm pleased to report that PayPal had a very strong Q4 topping off a solid year. We delivered every one of our 2015 commitments to shareholders: driving payment volume, revenue growth",2162,"Thanks, Tom. Good afternoon, everyone, and thanks for joining our call. I'm pleased to report that PayPal had a very strong Q4 topping off a solid year. We delivered every one of our 2015 commitments to shareholders: driving payment volume, revenue growth, operating margin and free cash flow above or at the high-end of our guidance range, despite considerable pressure from foreign currency headwinds. And we exited the year with considerable momentum.
In Q4, we acquired more customers than in any other quarter in PayPal's history and further accelerated our payment volume and revenue growth rates. 
Payment volume increased 29% and revenue grew 21% on an FX-neutral basis. And our merchant services payment volume accelerated this 36% FX-neutral growth, substantially greater than the rate of e-commerce, leading to another quarter of increased market share gains.
For the full year, we delivered $282 billion in payment volume, up 27% and an FX-neutral revenue growth of 19%. We also continue to strengthen our lead in mobile payments. In 2015, almost 30% of the payments made in our platform were from a mobile device. 
We operate a complex global business. PayPal is a full services-technology platform where we acquire both consumers and merchants and perform all payments processing. This includes risk and fraud prevention, customer service and new products like international remittances across online, in-app and in-store environments.
Despite that complexity, our business model success can be reduced to 4 key metrics: our top line growth, our net active customer base, the engagement of that base and our ability to produce strong free cash flow. In 2015, in the face of a constant stream of competitive announcements, PayPal accelerated the strength of our business across every key metrics. We grew our top line, posting full year revenue of $9.24 billion. As I mentioned, this was up 19% on an FX-neutral basis, which was above the high end of the 15% to 18% full year guidance we communicated during our roadshow. And Q4 revenues accelerated to 21% to $2.56 billion. 
We expanded our customer base Q4 with a record-breaking 6.6 million new accounts, including 1.6 million from Xoom. As a result, we ended the year with 179 million active accounts, adding over 17 million net new accounts this year. Our continually expanding customer base strengthens our competitive position and makes our platform deeply relevant to merchants and partners around the world.
In addition to attracting more customers to our platform, we increased the level of customer engagement by significantly enhancing our consumer value proposition. We measure consumer or customer engagement by the number of transactions per account and I'm pleased with our progress on this front. We ended the year at over 27 transactions per account, driving nearly 5 billion transactions across our platform for the full year, and we continue to generate strong free cash flow.
In 2015, we generated $1.8 billion in cash and over $1 billion of that in the second half of the year alone. This cash flow provides us the flexibility to pursue multiple options and opportunities. Our accelerating performance, combined with our increasing ability to execute and innovate, provide us a high degree of confidence in our future. 
As a result today, we are announcing a $2 billion share buyback program which John Rainey will discuss in more detail.
There are 2 massive changes underway in the world: the digitization of cash and the mass adoption of mobile phones. This dynamic is creating a seismic shift that's transforming money and the very nature of commerce. PayPal is playing a leading role in this transformation, and we feel our assets are well suited to drive further differentiation. These trends present us with the opportunity to be at the center of people's daily financial lives and position PayPal to become the go-to platform for digital payments globally. 
We are in the lead because no other payments technology platform offers the combination of advantages that PayPal does. We benefit from our unmatched and growing global scale, our rapidly expanding customer base, our trusted brands, our unique 2-sided network, our open platform and technology-agnostic offerings, our risk management and our global customer service capabilities. All of these assets drive the success we witnessed in the quarter and throughout 2015.
While many others are attempting to play in this space, PayPal continues to gain market share quarter after quarter, attracting new customers and increasing the engagement of our existing base. It's becoming increasingly evident that payments is a hard business to crack. 
The combination of strong secular tailwinds and our increasing ability to execute across multiple fronts provides as a long runway for growth. And we are working hard to greatly expand the value of our technology platform, for consumers and merchants around the world.
For consumers, we're focused on using our technology platform to facilitate the movement and management of money. That means more than simply enabling commerce. It means we are reimagining what basic consumer financial transactions can be in a world dominated by mobile and software. We want to leverage our globally trusted brands and define digital money. This allows us to extend our platform to reach underserved markets and expand our value proposition to include international remittances, bill payment, person-to-person payments and charitable giving.
We made a significant step forward in the expansion of our platform with the close of our Xoom acquisition. Xoom is the latest example of PayPal adding new capabilities to acquire new customers and increase engagement. It is a mobile technology leader that enables customers in the United States to send money to and pay bills for family and friends in 41 countries around the world. The cross-border T-to-P opportunity is significant and Xoom will accelerate our growth in that market.
Of course, we continue to be a preferred way to enable consumers to shop online. This year, Cyber Monday was our biggest online shopping day in PayPal's history, with our platform processing almost 450 payments per second in our peak hour. However, the power of the PayPal platform is also demonstrated in other ways such as our ability to help consumers drive social impact. 
Throughout this year's holiday season, $857 million was raised globally for charity through our platform. This unprecedented level of year-end charitable giving was driven by the generosity of more than 7 million people from 183 countries we supported more than 1/4 million charities. These are amazing stats and they demonstrate the power of our platform in helping them make a real difference in the world.
The growth of Venmo clearly conveys our ability of our platform to connect people to each other by offering simple and engaging ways to move money. This past year, Venmo processed 7.5 billion in payments, up 213%, with 2.5 billion of this volume being processed in the fourth quarter alone. 
We made good progress in setting up the technical infrastructure to allow customers to pay online merchants with the Venmo app. This new feature became available to select merchants for pilot implementation in December, and we are now live with 2 merchants, Gametime and Munchery. We plan a robust rollout of pay with Venmo throughout 2016. And we will continue to introduce and expand features that will allow us to monetize our Venmo asset, providing our customers the ability to use Venmo to pay friends, shop and eventually access a host of other basic financial services.
We also made progress expanding the ability of consumers to use PayPal in-store, by making it easier for merchants to accept PayPal's tokenized payments. PayPal signed a strategic agreement with First Data to enable the acceptance of PayPal tokens in-store for First Data's acquiring clients and businesses. This is an important step-forward in driving availability of PayPal at the point-of-sale as First Data is the largest U.S. merchant processor. 
We believe the shift towards tokenization is an opportunity that will significantly help our business, enabling PayPal to expand and grow our ubiquity. PayPal was the first company to introduce tokenization and has always tokenized customer data to make payments safer for our customers and simpler for merchants to accept. PayPal's tokenization capabilities allow portability of tokens with greater safety and security than most solutions today.
We also handle more payment types than just credit cards. This means merchants don't have to process a different set of parameters for credit cards, PayPal or any other new payment method introduced, it can all be done with one token. And with more than 1 billion tokenized payment instruments and a 17-year head start to tokenization, we intend to leverage our expertise and scale to further enhance our growth across multiple channels. 
For our merchant customers, PayPal has evolved beyond being just a button on their website. We are slowly but surely being recognized as providing a full suite of payment solutions to help their businesses grow. And by doing so, we continue to further differentiate our value proposition from other competitors. This includes a robust set of APIs from our platform that allows a merchant to easily integrate across multiple payment types, as well as rewards and offers module into their own app. We are providing our merchant base the options they need to propel their business forward, to connect with their customers in new and powerful ways, that go well beyond substituting the tap of a mobile phone or a card swipe. We are providing the tools and platforms to help power new and engaging value propositions.
One Touch has been a driving force in helping merchants and consumers to interact in a frictionless manner. In just over 6 months, more than 15 million consumers have optioned [ph] in to use One Touch. And today, PayPal is processing millions of One Touch transactions each month, showing true innovation at scale. More than 50% of the Internet Retailer 500 and more than 1 million merchants in 23 countries have One Touch enabled to make it easier for their customers to check out, quickly and securely. And we expect that number to grow significantly throughout the year. We will roll out to an additional 100 countries in the next 6 months. Importantly, we continue to see a significant lift in conversion when One Touch is used and we see increased consumer engagement.
Braintree's v.zero platform, now fully integrated with PayPal's merchant and consumer technology stacks, continues to make substantial strides in the market. As we enter 2016, the backlog of merchants that are waiting to go live to site has never been stronger. To put that into perspective, the implementation pipeline is equal to 100% of the merchants that went live to site in 2015. 
We are also seeing strong growth in our PayPal Credit products. PayPal Credit is available at millions of online stores as a funding option to the PayPal wallet, giving consumers enhanced flexibility for how the pay, while often boosting basket sizes for merchants. In addition, we have tripled the originations for our PayPal Working Capital product and help to boost the Net Promoter Score for merchants who use PayPal Working Capital to almost 80%.
In the past few months, we have made great strides to broaden our universe of strategic partners, which now includes some of the world's leading social media networks, mobile carriers, commerce platforms and financial networks like First Data. In Q4, PayPal continued to expand our business relationship with Alibaba, launching a pilot program for select vendors who sell on wholesaler with B2B section of Alibaba's website to accept PayPal.
In December, PayPal announced Braintree is powering a commerce experience for Facebook's Messenger platform with Uber. With this new feature, users can request a ride from the car service without ever needing to leave a conversation or provide new payment information. The service uses Braintree's tokenization to process the payments regardless of whether the consumer has an Uber account. Increasingly we're enabling merchants and consumers to connect and transact on demand, virtually anywhere, anytime and within any context.
2015 was a foundational year for PayPal. We completed our separation from eBay. We are now largely complete with the re-platforming of our technology stack, allowing us to innovate and bring new experiences to the market with major product releases every 2 weeks. We established our vision and mission to redefine the new PayPal. And most importantly, we are aligned as one team and executing against our game plan and our results demonstrate that 
As much as we accomplished in 2015, I believe that 2016 will be the year in which our new value propositions and experiences begin to demonstrate how PayPal can widen its lead in a world rapidly moving towards digital and mobile payments. It will take us time to fully execute against our full potential, but I firmly believe we are strengthening our set of assets, capabilities and value proposition for both consumers and merchants, and we look forward to demonstrating that in the year ahead.
And with that, let me turn it over to John"
112732,323433962,921857,"PayPal Holdings, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","PayPal Holdings, Inc.","Executives","Thanks, Dan. I also want to thank all of PayPal's customers and our 17,000 employees worldwide for making 2015 a great year. We had a strong fourth quarter and exited the year with good momentum. Growth in active accounts, payment volume and revenue all a",1585,"Thanks, Dan. I also want to thank all of PayPal's customers and our 17,000 employees worldwide for making 2015 a great year. We had a strong fourth quarter and exited the year with good momentum. Growth in active accounts, payment volume and revenue all accelerated from the previous quarter. We grew faster than the market and gained market share. 
Total payment volume for the year was $282 billion, an increase of 27% on a currency-neutral basis, which accelerated 1 point over 2014. Our share gain demonstrates that our strategy is working, as we focus on being the customer champion and move from being a payment button to an end-to-end payment solution for merchants of all sizes.
In the quarter, we added 6.6 million new active accounts, including the acquisition of Xoom. This was our highest increase ever. Excluding the acquisition of Xoom, we added over 5 million new accounts in the quarter which was a high watermark for the year. At the end of the quarter, 56% of the total active accounts were outside of the U.S, demonstrating our global reach. 
By adding capabilities and services like credit and remittances, we are becoming more relevant in our customers' daily lives. As a result, the number of payment transactions per active account increased to 27, up 12% from a year ago.
We expanded our merchant footprint and simplified some checkout experience for our customers through the continued rollout of our One Touch product. We extended our reach in the quarter to 75 of the 100 largest North American Internet retailers and continue to add important retailers internationally like IKEA. We continue to drive the growth of mobile payments. During the year, we processed 1.4 billion mobile transactions and $66 billion of mobile payment volume, which was up 44%. 
Turning to our quarterly results. For the fourth quarter, PayPal generated $2.6 billion in revenue, up 21% on a currency-neutral basis. Xoom contributed approximately 1 point of growth or $26 million. Transaction revenue increased 20%, while other value-added services grew 31%. Transaction revenue benefited to ripened [ph] engagement as reflected by the increase in the number of payment transactions per active customer account. This increase reflects the growing relevancy of Braintree's unbranded products and the evolution from a payment button or a tender type to a payment partner where we capture all of the merchant's processing volumes. Other value-added services benefited from the growing penetration of PayPal Credit, as well as the amended contracts with Synchrony Financial in the previous quarter. The number of payment transactions in the quarter increased 25% year-over-year, driven by Braintree and growth in the media and travel verticals. Total payment volume was $82 billion in the quarter, up 29% on a currency-neutral basis. Of that, U.S. payment volume grew 29% while international growth was 28%.
We continue to demonstrate good control of our expenses. Total expenses were $2 billion, up 15%, less than the 17% growth in revenue. Our volume-based variable expenses, which are transaction expense and transaction and loan losses, were up 25%. However, we gained economies of scale on our other expenses which grew less than half of revenue growth. 
As we continue to execute on our strategy to expand our presence with large merchants, which increases our relevance with consumers, the revenue benefit we received from those such merchants is partially offset by a lower take rate due to volume-based pricing. We also experienced a higher mix of credit card payments by our fast growing Braintree platform, which increases our transactional expense. Because of this, our overall transaction volume for the quarter declined 250 basis points. While large merchants and Braintree contribute to a lower overall transaction margin, it dragged increased utilization of our PayPal-branded products and increased the overall bottom line. 
In the quarter, we expanded our operating margin 90 basis points from the same quarter a year ago. This demonstrates our ability to maintain and even grow our margins with the economies of scale that we have in our business, as well as this management team's discipline around controlling costs.
And as the mix of our business shifts, we will continue to achieve expense leverage. When looking at our full year results, total expenses per transaction declined 8%. However, our nonvolume related expenses declined 12%. With CapEx coming in at 6% of our revenue, free cash flow in the quarter was $564 million, representing $0.22 of free cash for every dollar of revenue. We ended the quarter with cash, cash equivalents and investments of $5.7 billion, including approximately $1.5 billion in the U.S. And now to guidance.
Our business is performing great and we are executing on our strategy and delivering on our commitments. Our strong performance in 2015 only reinforces our conviction in the opportunity that we have. Let me give you some context with how we're thinking about the business moving forward. We are investing to expand our footprint and grow relevancy. Areas of investment include product, brand, global reach, Xoom integration and security. We expect this to translate into an acceleration of volume growth in 2016. As I stated earlier, this will result in a decline in our take rates but not on operating margin. We expect that the lower take rate will be driven by our strategic initiatives as we look to gain market share and integrate Xoom.
In 2016, based on current exchange rates, we will experience less impact from currency than last year, net of hedging gains. We expect it to be at a 3-point headwind to revenue growth this year versus the 4-point headwind in 2015. We expect Xoom to contribute approximately $200 million in revenue, but it will be dilutive to operating margin as we integrate it to the platform. We will continue to gain economies of scale and achieve cost efficiencies and customer support, technology and other areas of our business. 
At the time of our spin, we provided guidance for 2016 and guidance over the medium term. We met or exceeded our guidance in every aspect for 2015, and our performance last year only increases our conviction in the medium-term guidance of mid-20s growth in payment volume, 15% constant currency revenue growth, stable to growing operating margins and free cash flow that grows in line with revenue.
For the full year 2016, we expect revenue between $10.5 billion to $10.7 billion, representing currency-neutral growth of 16% to 19%, with the currency translation impact on the full year revenue to be approximately 3 points, resulting in spot revenue growth of 14% to 16%. 
I'd like to provide a little color on the shape of revenue for the year ago. We expect our revenue growth to be very similar to the first half of 2016 versus the second half of 2016. For the first quarter of 2016, we expect revenue growth on a currency-neutral basis to be between 19% and 21%. However, we expect to have some lumpiness in our second quarter revenue growth as a result of the sale of our credit receivables and amended Synchrony agreement last year. Because of these items, we expect a 6-point decline in revenue growth from the first quarter to the second quarter. We expect to return to a more normalized growth rate in the third quarter, however.
We expect our full year 2016 non-GAAP EPS to be between $1.45 and $1.50 representing growth of 14% to 18%, and we expect full year free cash flow to grow faster than revenue growth for the year coming in above $2.1 billion. We expect our CapEx as a percent of revenue to decline 1 to 2 points from 2015 to approximately 6% to 7% of revenue, and the non-GAAP effective tax rate to be between 18% and 19%. 
For the first quarter, we expect non-GAAP EPS to be between $0.34 and $0.36, representing growth of 18% to 25% year-over-year. As I mentioned on our last earnings call, there are a few companies of our size with our balance sheet and growth rate that are generating the free cash flow of PayPal. We have a tremendous operating to increase shareholder value with the deployment of that cash flow. Today, we announced a $2 billion share repurchase program. I want to be clear about our cash flow priorities. They are in order: to invest in organic growth, grow through strategic acquisitions and then to return capital to shareholders. With our balance sheet and cash flow generation, we can address all 3 of these to maximize shareholder return. The share buyback program will enable us to offset dilution from stock-based compensation, which we expect to be 1% to 1.5% of our shares outstanding, but we will also be good capital allocators and have the flexibility to be more aggressive with repurchases when we see the opportunity to purchase our stock at a level that's well below its intrinsic value.
In closing, I'm very excited about the opportunity we have at PayPal to grow as the leading payments platform worldwide. Our trusted brand, global breadth and growing installed base of engaged customers are driving the digitization of payments and the transformation to a connected mobile world. We are laser focused on executing on our business plan. We have created a leading technology platform with a sustainable financial model that allows us to keep innovating and growing at scale. Our unparalleled combination of scale, growth and cash generation provides us with a tremendous opportunity to increase shareholder value.
With that, let me turn it back to the operator for questions."
112732,323433962,921857,"PayPal Holdings, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","PayPal Holdings, Inc.","Operator","[Operator Instructions] Our first question comes from the line of Sanjay Sakhrani with KBW.",14,"[Operator Instructions] Our first question comes from the line of Sanjay Sakhrani with KBW."
112732,323433962,921857,"PayPal Holdings, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","PayPal Holdings, Inc.","Analysts","I just wanted to make sure I understand kind of the trajectory. I guess back into your numbers, it doesn't look like there's a lot of margin expansion, but you did mention some dilution coming from Xoom. Could you just talk about kind of the trajectory --",62,"I just wanted to make sure I understand kind of the trajectory. I guess back into your numbers, it doesn't look like there's a lot of margin expansion, but you did mention some dilution coming from Xoom. Could you just talk about kind of the trajectory -- or the reconciliation into 2016 and then how you kind of expect it going forward?"
112732,323433962,921857,"PayPal Holdings, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","PayPal Holdings, Inc.","Executives","Sure, Sanjay, this is John. If you look at the last 3 years, we've demonstrated very consistent operating margin performance and we're very excited that we expanded that 90 basis points in the fourth quarter this year. From one quarter to the next, it's f",187,"Sure, Sanjay, this is John. If you look at the last 3 years, we've demonstrated very consistent operating margin performance and we're very excited that we expanded that 90 basis points in the fourth quarter this year. From one quarter to the next, it's fair to assume some lumpiness in the margin trajectory. And to your point, I think Xoom is a great example of that. As we continue to demonstrate the ability to achieve operating leverage in our business, we still are going to invest in areas of growth like Xoom and that's a great example. And at the time, we expect for 2016, we expect Xoom to be a little bit of a drag on our margin. But we're extremely excited about the capability that it provides and how it dovetails into the overall PayPal platforms and expect it to be accretive in the not-too-distant future. And of course, as with any management team, our hope is that we can continue to execute on all of the initiatives that we have and deliver the kind of performance where we can continue to expand those margins."
112732,323433962,921857,"PayPal Holdings, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","PayPal Holdings, Inc.","Operator","Our next question comes from the line of Tien-tsin Huang with JPMorgan.",13,"Our next question comes from the line of Tien-tsin Huang with JPMorgan."
112732,323433962,921857,"PayPal Holdings, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","PayPal Holdings, Inc.","Analysts","Just a follow-up on Sanjay's question, just to clarify. How about margins, I guess x the impact of Xoom? And then just on the -- I guess we want to follow through on your comments around just next year and your confidence that you'll -- your value proposi",83,"Just a follow-up on Sanjay's question, just to clarify. How about margins, I guess x the impact of Xoom? And then just on the -- I guess we want to follow through on your comments around just next year and your confidence that you'll -- your value proposition's going to drive bigger share gains. Should we see then maybe increase in transactions per account for example, as a way to measure, if that's going to be the case or not in '16?"
112732,323433962,921857,"PayPal Holdings, Inc., Q4 2015 Earnings Call, Jan 27, 2016",2016-01-27,"Earnings Calls","PayPal Holdings, Inc.","Executives","Yes. Hi, it's Dan. You had a couple of questions in there. First of all, I do expect the transactions per active account will continue to grow. It is a part of our value proposition. And honestly, as I look at the growth trajectory for the business, wheth",347,"Yes. Hi, it's Dan. You had a couple of questions in there. First of all, I do expect the transactions per active account will continue to grow. It is a part of our value proposition. And honestly, as I look at the growth trajectory for the business, whether it'd be more net new actives that we're bringing in, increasing the engagement of those actives, these things like One Touch in which we're seeing a lot more engagement in the growth of that, whether it'd be for new partners, new markets, new adjacencies like international remittances, just honestly secular tailwinds for the first time ever, Black Friday more people shopped online than in-store, you've got a tremendous amount of growth levers. And our value proposition is growing in both a sophistication and what we're able to offer both the merchants and consumers. And so I do expect the engagement per customer to continue to grow nicely. Second thing on the margin. We said this on our roadshow, I'll repeat it here. Margins in our business want to move up. That is kind of the tendency of the margin structure in our business. We just bought on $200 million of approximately -- of revenue from Xoom coming into this year that basically is dilutive to that. If you normalize for some of the one-time events that came in, you see margin continuing to grow this year like it did last year. And so you've got some one-time moving things coming through the income statement this year, but we are very confident in the medium-term guidance of flat to growing margins. And we have and are experiencing those economies of scale in the 50% of our cost base that's fixed, that we can affect on that. So we feel good about that medium-term guidance and you should understand kind of the one-time nature of some high revenue things, margin revenue that's leaving us that were onetime last year and Xoom. And we expect Xoom margins to grow over time and to be in line with our margin structure as well."
