"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
398549,323124229,932915,"Ventas, Inc., Q4 2015 Earnings Call, Feb 12, 2016",2016-02-12,"Earnings Calls","Ventas, Inc.","Operator","Good day, ladies and gentlemen, and welcome to the Fourth Quarter 2015 Ventas Earnings Conference Call. [Operator Instructions] I would now like to turn the call over to Ryan Shannon, Investor Relations.",32,"Good day, ladies and gentlemen, and welcome to the Fourth Quarter 2015 Ventas Earnings Conference Call. [Operator Instructions] I would now like to turn the call over to Ryan Shannon, Investor Relations."
398549,323124229,932915,"Ventas, Inc., Q4 2015 Earnings Call, Feb 12, 2016",2016-02-12,"Earnings Calls","Ventas, Inc.","Executives","Thanks, Lauren. Good morning, and welcome to the Ventas conference call to review the company's announcement today regarding its results for the year-end quarter ended December 31, 2015. As we start, let me express that all projections and predictions and",276,"Thanks, Lauren. Good morning, and welcome to the Ventas conference call to review the company's announcement today regarding its results for the year-end quarter ended December 31, 2015. As we start, let me express that all projections and predictions and certain other statements to be made during this conference call may be considered forward-looking statements within the meaning of the federal securities laws. These projections, predictions and statements are based on management's current beliefs as well as on a number of assumptions concerning future events. The forward-looking statements are subject to many risks, uncertainties, and contingencies and stockholders and others should recognize that actual results may differ materially from the company's expectations, whether expressed or implied. We refer you to the company's reports filed with the Securities and Exchange Commission, including the company's annual report on Form 10-K for the year ended December 31, 2014, and the company's other reports filed periodically with the SEC for a discussion of these forward-looking statements and other factors that could affect these forward-looking statements. Many of these factors are beyond the control of the company and its management. The information provided today is as of this date only, and Ventas expressly disclaims any obligation to release publicly any updates or revisions to any forward-looking statements to reflect any changes in expectations. 
Please note that quantitative reconciliations between each non-GAAP financial measure contained in this presentation and its most directly comparable GAAP measure as well as the company's supplemental disclosure schedule are available in the Investor Relations section of our website at www.ventasreit.com. 
I will now turn the call over to Debra A. Cafaro, Chairman and CEO of the company."
398549,323124229,932915,"Ventas, Inc., Q4 2015 Earnings Call, Feb 12, 2016",2016-02-12,"Earnings Calls","Ventas, Inc.","Executives","Thank you, Ryan. Good morning to all of our shareholders and other participants, and welcome to the Ventas year-end 2015 earnings call. I'm delighted to be joined this morning by my Ventas colleagues to discuss our exciting and productive year, highlight",1335,"Thank you, Ryan. Good morning to all of our shareholders and other participants, and welcome to the Ventas year-end 2015 earnings call. I'm delighted to be joined this morning by my Ventas colleagues to discuss our exciting and productive year, highlight the innovative and strategic transactions of 2015 and discuss our outlook for 2016. 
The Ventas advantage of superior properties, people and platforms has enabled us to consistently deliver outstanding results through multiple cycles for almost 2 decades. That is what distinguishes us. Over the years, we have demonstrated excellence through clear commitment to our shareholders, dedication to our customers and partners and engagement of our skilled interdisciplinary team. Ventas has a long track record of delivering superior FFO and dividend growth. We continued our outperformance in 2015 with 9% comparable normalized FFO per share growth and a 10% dividend increase, inclusive of CCP. Our excellent and diversified portfolio generated industry-leading same-store growth during the year, and we ended 2015 with a strong balance sheet and $2.2 billion of liquidity.
During my 17 years at Ventas, we have seen a lot of changes in our markets, and we've become the leading provider of capital to high-quality healthcare and senior housing companies. We've navigated successfully through multiple economic, capital markets and reimbursement cycles and have continued to grow with strength and integrity. We haven't gotten everything right, to be sure, but we've been consistently early and opportunistic relative to the 5 asset classes where we do business.
In 2015, we were once again at the forefront. Our experienced team really stepped up to complete several important and complex transactions that significantly improved Ventas and showed our continued ability to stay ahead of the curve in healthcare real estate, which we strongly believe is an attractive place to be for investors. Key accomplishments of the year included our strategic disposition of nearly $5 billion in assets, including over $4 billion of skilled nursing facilities through our innovative tax-efficient spinoff of Care Capital Properties, and completion of over $5 billion in accretive acquisitions, including our successful beachhead investment in the large attractive hospital space with Ardent, a top 10 provider of care. These successful transactions have reshaped our enterprise, provided additional channels for growth, improved the quality of our portfolio and enhanced the reliability of our cash flows.
[indiscernible] specifics, our balanced and diversified portfolio generates industry-leading 83% of our NOI from private pay sources, principally medical office buildings and senior housing communities. Our partners are the best in the business. Post spin, over 80% of our NOI comes from top operators in each sector who have scale, a sound capital structure and operational excellence. We have a nice balance in our portfolio among operating businesses and triple-net leases. And none of our tenants represents more than 10% of our NOI. 
Importantly, Ventas now generates only 4% of our NOI from our 53 owned skilled nursing assets. Most of our postacute facility rent comes from Kindred, our largest tenant. All of our postacute facilities produce excellent 2x property level cash flow to rent coverage, and our rents are guaranteed. Kindred has become the nation's leader in postacute care with a well-developed strategy, strong balance sheet and diversified business model. 
Our entry into the hospital space in 2015 was also a significant example of our ability to capitalize early on trends in healthcare and create high-quality platforms for future growth. We invested $1.3 billion in Ardent's extensive network of real estate sites in 3 key markets. As we demonstrated during our Investor Day, we think it's smart business to align with leading hospital providers who have always been at the top of the food chain in healthcare services and are increasingly influential in the delivery of care and the distribution of dollars in our rapidly evolving healthcare system. 
Ardent provides both inpatient and outpatient care throughout its most multiple access points in its market, and it just completed a strong year where same-store revenues, adjusted admissions and ER visits showed solid growth. Our investment in Ardent was expertly executed and structured with outstanding property EBITDARM to rent coverage and low leverage at the operating company. It was also very timely. We are seeing significant deal flow and actively working with our partners at EGI and Ardent to consolidate and grow. 
While the spinoff of CCP in our Ardent investment have rightly received a lot of attention, I also want to highlight our senior housing portfolio and our commitment to that important sector. Atria had another outstanding year, and we thank John Moore and his team for their significant contributions to Ventas' success. I'm really glad you had a chance to see Atria's excellence during our Investor Day. Senior living is an incredible space, its potential is only beginning to be realized. Despite the ebbs and flows of supply cycles, we own an outstanding portfolio of SHOP communities in advantage markets and high-quality triple-net lease assets. We believe deeply in the value proposition of senior housing. As an industry, we have tremendous opportunity to advocate the benefits of communal living to our residents and their families. Growth in the senior population will provide undeniable tailwinds and increasing demand for our communities. And a mere 1 percentage point increase in the seniors who choose to live in senior housing community would create powerful new incremental demand, enough to fill all the currently vacant senior housing units in the nation.
We continued to invest in our properties during 2015 to fuel future growth, through increased capital allocation to selective, high-quality, ground-up developments and redevelopments. We committed over $200 million to ground-up development projects, including a trophy medical office building in downtown San Francisco connected to Sutter Health newly constructed flagship $2 billion hospital as well as 2 luxury senior housing communities in Palm Beach County and San Francisco. On the redevelopment front, in 2015 we committed to approximately $150 million in SHOP and triple-net redevelopment projects. These investments should provide attractive risk-adjusted returns, improve the quality of our properties and help our customers maintain and expand their market share.
We also allocated a portion of our strong cash flow to our shareholders through our cash dividend, which has always been and will continue to be an important component of the value proposition we offer our shareholders. Ventas has one of the best dividend growth records in the REIT industry and, with the projected 70% FFO dividend payout ratio, we are well-positioned to continue growing our dividend into the future. 
That's a good segue to our 2016 outlook. Our expectations for the macro economic environment are tempered. We believe the U.S. economy will remain in a low growth, low interest rate and low inflation mode. Our segments should, once again, prove resilient because of the inelasticity of demand, the rapid aging of our population and the need-based nature of healthcare services. 
In that context, we are happy to provide 2016 normalized FFO guidance representing 3% to 5% growth per share on a comparable basis, which assumes the CCP spinoff occurred at 1/1 of '14. In 2016, we intend again to drive excellent consistent results by focusing on operational excellence and continued portfolio optimization in our senior housing operating and medical office building businesses, building on our advantage platforms, including hospitals and Atria, recycling capital through value-creating dispositions, making attractive accretive new investments, including improving our properties through development and redevelopment; providing innovative capital solutions to leading healthcare and senior housing providers in a dynamic market; and harnessing the potential empower of our outstanding and cohesive team at Ventas.
That Ventas team has delivered superior consistent results for investors and customers for almost 2 decades. We have the properties, the people and the platforms to continue leading our sector. I want to thank our investors for having continued faith and trust in us. You are in safe and sure hands. 
Now I'm happy to turn the call over to Bob Probst who is hosting his second year-end call as the CFO of Ventas. Bob?"
398549,323124229,932915,"Ventas, Inc., Q4 2015 Earnings Call, Feb 12, 2016",2016-02-12,"Earnings Calls","Ventas, Inc.","Executives","Think you, Debbie. I am pleased to report an outstanding year of growth for our portfolio of nearly 1,300 diversified senior housing, medical office, postacute and general acute care hospital properties. Our overall same-store cash NOI for the portfolio g",1971,"Think you, Debbie. I am pleased to report an outstanding year of growth for our portfolio of nearly 1,300 diversified senior housing, medical office, postacute and general acute care hospital properties. Our overall same-store cash NOI for the portfolio grew an impressive 3.8% for the year, right in line with our 3.5% to 4% full company same-store guidance range. Our triple-net business led all segments by growing same-store 5.8% in 2015, with SHOP full year results in line with our 2% to 3% guidance and MOBs up 2% year-over-year. 
For 2016, we expect our same-store cash NOI to grow in the range of 1.5% to 3% for the overall portfolio. 
Let me detail our 2015 performance and our 2016 outlook at a segment level, starting with SHOP. Our same-store SHOP portfolio increased 2.3% for the full year 2015 over 2014. For the fourth quarter of '15, SHOP same-store cash NOI increased 1.1%. These results were in line with our expectations for the fourth quarter. As expected, same store occupancy in Q4 trended modestly higher and strong rate growth held, together driving 3% revenue growth. Adjusting for approximately $1.7 million of nonrecurring items in the fourth quarter of 2014, same-store NOI for the fourth quarter 2015 grew 2.4% versus prior year.
As seen throughout 2015, our NOI performance in the fourth quarter was led by continued strong growth across many of our high barrier to entry infill locations. Key markets such as New York, Los Angeles and Boston grew organic NOI more than 6% in the quarter. Double-digit NOI growth in tertiary markets also continued in the quarter as a result of productive development and redevelopment activity. SHOP performance in Canada in the fourth quarter, the first quarter in which the 29 assets acquired from Holiday in 2014 are included in same-store, showed an expected modest decline. During the year, Atria accelerated the transition of these assets to its operating model in order to position them for future growth.
Q4 performance was affected by new supply coming online within our relevant trade area in a number of markets. Notably, Houston, Chicago and Sacramento saw NOI declines in the quarter driven principally by occupancy pressure. As a reminder, last quarter, we introduced a more refined supply methodology, which identifies new buildings under construction within the relevant 7-mile and 3-mile trade areas around our assets based on population density. On that basis, and using the fourth quarter NIC data, more than 70% of our SHOP portfolio NOI comes from markets that are in supply equilibrium or better. The 30% of the SHOP portfolio NOI that is exposed to a potential new supply surplus represents less than 10% of Ventas total NOI. Remember that our methodology assumes 3% absorption and is arguably conservative as it assumes that all new supply within the relevant trade area is competitive regardless of care model, price point, et cetera.
Using this methodology, construction as a percentage of inventory across our SHOP portfolio stands at 4.5% in Q4, a 40 basis point increase from Q3, principally driven by markets such as Atlanta, Sacramento and Denver. Against this backdrop, Ventas and our focus leading SHOP operators are working to drive operational excellence to gain share and grow even in the context of new supply. Our largest operator, Atria, continue to drive strong results in Q4 and for 2015 overall. These results are a testament to the operational excellence demonstrated at our Investor Day November at Atria's headquarters.
Now let's turn to our guidance and key assumptions for our SHOP business. In 2016, we project SHOP same-store NOI to grow in the range of 1% to 3%. This outlook assumes that our core engines of growth, namely the 70% of our SHOP portfolio insulated from supply, will continue to grow NOI at a mid-single-digit rate in 2016. This growth will be partially offset by assets in the markets where we anticipate increased supply challenges.
As we begin the year, we are pleased with the mid-single-digit annual rental rate increases that took effect January 1, 2016. These increases appear to be holding up well, thus demonstrating the value proposition of our communities and our operators. In fact our SHOP operators have some exciting plans in place in 2016 to compete and thrive in the market to retain their great teams and to deliver value to seniors and their families.
Next I'll cover our triple-net lease portfolio, which accounts for 44% of our NOI. The 507 same-store properties within this portfolio, comprised of senior housing and postacute assets, delivered accelerated growth, increasing 5.8% in 2015 versus 2014. As we mentioned in previous calls, triple-net's 2015 performance benefited from the $15 million rent increase for the Kindred assets, where we increased rent to market levels in October 2014, as well as other income items. Even after adjusting for these items, full year same-store NOI in the triple-net portfolio grew 3.2%, above historical trend, in confirmation of the positive growth impact of the CCP spin. In the fourth quarter, triple-net same-store cash NOI grew 2.9%, reflecting customer rent escalations as well as the cycling of the Kindred increase in Q4 of 2014. Trailing 12-month cash flow coverage in our same-store triple-net lease portfolio for the third quarter of 2015, the latest available information, was solid at 1.5x. As Debbie mentioned, our postacute coverage is a strong 2x. Although we had a 10 basis point compression due to the combination of the aforementioned Kindred rent increase and lower third quarter performance. Coverage in our triple-net senior housing portfolio remains solid at 1.3x. Occupancy is up 50 basis points sequentially and operator EBITDARM and rate are higher year-over-year.
For 2016, we expect our triple-net portfolio to grow in the range of 2% to 3%. Consistent with our practice, we have not included in our 2016 triple-net projections speculative fees, which have the effect of lowering the growth rate in our '16 outlook. 
Let me close out the segment review with our leading MOB business, which represents 20% of Ventas' overall NOI. Our Lillibridge business posted full year NOI in the total consolidated portfolio of 364 properties of $381 million in 2015, an increase of 33% over 2014. Performance was driven by the addition of 83 properties from the HCT acquisition in January. Occupancy in the total portfolio in 2015 was up 40 basis points to 92.3%, and margins increased by an exceptional 330 basis points, reflecting the quality of the properties we acquired as well as the cost synergy arising from leveraging the Lillibridge platform. In the 268 properties in the same-store portfolio, full year 2015 cash NOI grew a solid 2%. Occupancy declined modestly in 2015 versus 2014. Revenue grew slightly as a result of a roughly 2% increase in rental rate, and NOI margins improved 40 basis points on the heels of cost productivity initiatives. 
In the fourth quarter, MOB same-store cash NOI was stable versus 2014. Rate growth in the quarter remained solid at 2% versus prior year, while expense growth outpaced revenue growth due to unexpected R&M cost increases.
We forecast our MOB same-store segment to continue to provide steady growth in the 1% to 2% range in 2016. This guidance assumes modest occupancy in rate growth and continued cost productivity. In 2016, our MOB team is actively working on driving occupancy gains, enhancing our portfolio of quality further through asset disposition and commencing on significant potential redevelopment opportunities stemming from our well-located portfolio.
Turning now to our financial results for Ventas. As a quick note, I will frequently refer to our results on a comparable basis, which adjusts all current and prior periods for the effects of the spinoff as if the spinoff was completed January 1, 2014. This is best practice for spin situations and is intended to give investors a true like-for-like reflection of our performance. Please note that adjusting for the spinoff, comparable normalized FFO per share was $3.95 in 2015 and $3.64 in 2014. Details of both our reported and comparable FFO per share are set forth on Page 25 of our Q4 supplemental.
Turning to Ventas' outstanding financial results overall for the full year 2015. Full year 2015 normalized FFO on a reported basis totaled $4.47 per fully diluted share, topping our most recent full year FFO guidance range of $4.43 to $4.46 per share. On a comparable basis, full year 2015 normalized FFO per share of $3.95 represents 9% growth over 2014. This strong year-over-year growth was driven by outstanding same-store NOI growth of 3.8%, together with over $5 billion in new investments in the year, including our beachhead investment in the U.S. acute-care space with Ardent. We also invested $232 million in CapEx during 2015, inclusive of high-return redevelopments and development investments. 
To fund these investments, we recycled capital and enhanced our portfolio via over $700 million of asset sales and loan repayments, ahead of our original guidance of $600 million. We also issued and sold $7.2 million of shares of common stock for approximately $500 million under the ATM. Nearly 80% of this ATM's issuance was pre-spin at a gross price of $72.94, while the remaining 20% was issued post spin at an average gross price of $54.87. 
In 2015, we continued our track record of strong cash flow generation, delivering a record $1.4 billion in operating cash flow for the year. With our strong cash flow, we paid attractive cash dividends to shareholders totaling $3.04 per share, including a 10% increase when combined with CCP.
The company's liquidity profile was solid at year end, including exceptional fixed charge coverage of 4.5x, net debt to adjusted pro forma EBITDA of 6.1x, a weighted average maturity approximating 7 years and debt-to-total capitalization of 37%. 
In the fourth quarter, Ventas delivered normalized FFO of $346 million or $1.03 per fully diluted share. On a comparable basis, normalized FFO per share grew 7% in Q4 2015 over prior year. In the fourth quarter, the company acquired $93 million in high-quality MOBs. Ventas also committed to funding approximately $240 million in new development and redevelopment activity.
To fund investments, we raised $167 million under our ATM program during and after the fourth quarter, issuing 3 million shares at an average price of $55.42 per share before underwriter discount. We also continued to recycle capital via asset dispositions in senior housing and MOB assets, generating proceeds of $105 million in Q4 '15 and $61 million thus far in Q1 '16.
Before we take questions, I want to share a summary of our outlook for 2016. Our expectation as we begin the year is to deliver normalized FFO per share in the range of $4.07 to $4.15. This range represents a comparable normalized FFO per share growth rate of 3% to 5% over 2015. As highlighted earlier, we project total company same-store 2016 cash NOI growth to range from 1.5% to 3%. 
During 2016, we intend to continue to improve the company through intelligent value-creating dispositions and deliberate balance sheet strengthening. Our guidance assumes 2016 asset dispositions of approximately $500 million using a midyear estimate of completion. We intend to use the net proceeds to reinvest in about $350 million of new acquisitions, generating immediate cash returns, and to fund our accelerating development redevelopment program, which will generate growth and returns in future years.  
We have assumed no additional material acquisitions, dispositions or capital activity in our guidance. Through application of operating cash flow and asset sale proceeds to both new investments and debt reduction, we project the reduction in leverage in 2016 to below 6x net debt to EBITDA.
So in summary, the entire Ventas team is proud of the excellent results we delivered in 2015, and we are excited to sustain that excellence in 2016. With that, I will ask the operator to please open the line for questions."
398549,323124229,932915,"Ventas, Inc., Q4 2015 Earnings Call, Feb 12, 2016",2016-02-12,"Earnings Calls","Ventas, Inc.","Operator","[Operator Instructions] Our first question comes from Juan Sanabria from Bank of America.",13,"[Operator Instructions] Our first question comes from Juan Sanabria from Bank of America."
398549,323124229,932915,"Ventas, Inc., Q4 2015 Earnings Call, Feb 12, 2016",2016-02-12,"Earnings Calls","Ventas, Inc.","Analysts","On the postacute business, can you give us a sense of the facility level EBITDAR between your Kindred, SNF and LTAC businesses those 2 separate? And if you have any sense of how those are trending in the fourth quarter?",40,"On the postacute business, can you give us a sense of the facility level EBITDAR between your Kindred, SNF and LTAC businesses those 2 separate? And if you have any sense of how those are trending in the fourth quarter?"
398549,323124229,932915,"Ventas, Inc., Q4 2015 Earnings Call, Feb 12, 2016",2016-02-12,"Earnings Calls","Ventas, Inc.","Executives","Good. Juan, we have about equivalent strong coverage of 2x EBITDAR at the SNFs and LTACs and obviously combined in the whole postacute portfolio.",24,"Good. Juan, we have about equivalent strong coverage of 2x EBITDAR at the SNFs and LTACs and obviously combined in the whole postacute portfolio."
398549,323124229,932915,"Ventas, Inc., Q4 2015 Earnings Call, Feb 12, 2016",2016-02-12,"Earnings Calls","Ventas, Inc.","Analysts","And any sense of how that's trending in the fourth quarter given some of the news that's come out?",20,"And any sense of how that's trending in the fourth quarter given some of the news that's come out?"
398549,323124229,932915,"Ventas, Inc., Q4 2015 Earnings Call, Feb 12, 2016",2016-02-12,"Earnings Calls","Ventas, Inc.","Executives","Well, I would tell you this, most of that postacute rent is from Kindred, as I mentioned, and Kindred's guidance is for a better fourth quarter than its third. And so we believe that the really good operators are good in part because they provide quality",91,"Well, I would tell you this, most of that postacute rent is from Kindred, as I mentioned, and Kindred's guidance is for a better fourth quarter than its third. And so we believe that the really good operators are good in part because they provide quality care and also because they managed through constant changes in reimbursement. And so as we showed during our Investor Day, we feel very good about that. So we think Kindred will be managing through the reimbursement changes in the fourth and throughout 2016 relatively well."
398549,323124229,932915,"Ventas, Inc., Q4 2015 Earnings Call, Feb 12, 2016",2016-02-12,"Earnings Calls","Ventas, Inc.","Analysts","Okay. What do you guys assume for management fees again?",10,"Okay. What do you guys assume for management fees again?"
