"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
315117,322411137,926972,"WEC Energy Group, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","WEC Energy Group, Inc.","Executives","Good afternoon, ladies and gentlemen. Thank you for waiting, and welcome to WEC Energy Group's Conference Call to Review the 2015 Year End Results. This call is being recorded for rebroadcast. [Operator Instructions] Before the conference call begins, I w",217,"Good afternoon, ladies and gentlemen. Thank you for waiting, and welcome to WEC Energy Group's Conference Call to Review the 2015 Year End Results. This call is being recorded for rebroadcast. [Operator Instructions] Before the conference call begins, I will read the forward-looking language. All statements in this presentation other than historical facts are forward-looking statements that involve risks and uncertainties, which are subject to change at any time. Such statements are based on management's expectations at the time they are made. In addition to the assumptions and other factors referred to in connection with the statements, factors described in WEC Energy Group's and Integrys Holdings' latest Form 10-Ks and subsequent reports filed with the Securities and Exchange Commission could cause actual results to differ materially from those contemplated. During the discussion, referenced earnings per share will be based on diluted earnings per share, unless otherwise noted. After the presentation, the conference will be open to analysts for questions-and-answers. In conjunction with this call, WEC has posted on its website a package of detailed financial information at wecenergygroup.com. A replay of our remarks will be available approximately 2 hours after the conclusion of this call. 
And now it's my pleasure to introduce Mr. Gale Klappa, Chairman of the Board and Chief Executive Officer of WEC Energy Group."
315117,322411137,926972,"WEC Energy Group, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","WEC Energy Group, Inc.","Executives","Colleen, thank you. Good afternoon, everyone, and thank you for joining us today as we review our results for calendar year 2015. As you know, we formed WEC Energy Group on June 29 when we closed our acquisition of Integrys. So today's report reflects 2 f",2212,"Colleen, thank you. Good afternoon, everyone, and thank you for joining us today as we review our results for calendar year 2015. As you know, we formed WEC Energy Group on June 29 when we closed our acquisition of Integrys. So today's report reflects 2 full quarters as a combined company. I'll update our progress on a number of major initiatives in just a moment, but first, as always, I'd like to introduce the members of our management team who are here with me today. We have Allen Leverett, President of WEC Energy Group and CEO Elect; Pat Keyes, our Chief Financial Officer; Susan Martin, General Counsel; Bill Guc, Controller; Scott Lauber, Treasurer; and Beth Strackas, Senior Vice President of Corporate Communications and Investor Relations. 
Turning now to our 2015 performance, I'd like to Marjorie that we are focusing on legacy Wisconsin Energy, so our financial results have been adjusted to remove the impact of the acquisition. And as you saw from our news release this morning, we reported Wisconsin Energy adjusted stand-alone earnings of $2.73 a share for 2015. That compares with adjusted earnings of $2.65 a share for 2014. Looking back over the latest year, it was not only a transformational year for our company, but a year also of significant achievements. WE Energies was named the Most Reliable Utility in the Midwest for the fifth consecutive year, and international studies WE Energies ranked in the top quartile of the Midwest again for customer service and power quality, and in that top quartile nationally for customer service. In addition, Wisconsin Public Service in Green Bay was ranked #2 in the Midwest for overall customer satisfaction among midsized utilities. We also reached a milestone for employee safety at WE Energies, recording the safest year in more than 115 years of operation. We invested nearly $780 million in our legacy core business, with all major projects on time and on budget. And of course, we closed our acquisition of Integrys to form WEC Energy Group, a leading electric and natural gas utilities system in the Midwest, with now 4.4 million customers across the region. From a financial standpoint, we continued to deliver solid earnings growth. Through disciplined cost control and effective planning, we delivered record earnings in 2015 despite a very warm fourth quarter. In fact, Milwaukee experienced the warmest December in its history, surpassing the former record set way back in the day in 1877. 
Taking at look at the state's economy, Wisconsin's unemployment rate end-of-the-year at 4.3%, well below the national average. And the December statistics show that more Wisconites were employed than during any other month in history. The state's labor force participation rate also rose to 68%, which is more than 5 points better than the national rate. In addition, Wisconsin added 4,000 manufacturing jobs from November of '14 to November of 2015 despite some very challenging conditions for manufacturers. In light of these challenges, use of electricity by our large commercial and industrial customers moderated a bit. In 2015, our large customers, excluding the iron ore mines, consumed approximately 4/10 of 1% less electricity than they did in 2014. However, and this is an important point, we did see improvement in several significant sectors of the state's economy, including food processing, printing, paper production and plastics. In addition, we continue to see an uptick in customer growth across our system. WE Energies is serving approximately 6,500 more electric customers and more than 8,500 more customers on the gas side of our business today than we were a year ago. 
I'm also pleased with our post-acquisition work over the past several months as we begun to operationalize the new WEC Energy Group. As I've said before, we see tremendous opportunity in the framework of the new company. WEC Energy Group has the scale, scope, technical depth, geographic reach and financial resources to thrive in our consolidating industry. We're leveraging these strengths to deliver operational and financial benefits to all of our stakeholders, and with our proven leadership team, we're incorporating best practices across the organization to streamline our operations and to reduce costs. WEC Energy Group is now the eighth largest natural gas distribution company in the country, and one of the 15 largest investor-owned utility systems in the United States with real opportunity for growth. Bottom line, we have the same top management team but now with a new platform for growth. Our platform focused on the energy infrastructure needs of 4.4 million customers across the Midwest. And our plan calls for the combined company to grow earnings per share by 6% to 8% in 2016. 
Now, I'd like to spend a few minutes reviewing the impact of bonus depreciation, a subject I know you're very interested in. As you know, in December, Congress passed a tax law that extends and modifies bonus depreciation for property placed in service from 2015 to 2019. At this point, we estimate that we will receive approximately $1 billion of cash benefits from this extension of bonus depreciation, with most of the benefits coming in 2016 and in 2017. First, let me say though that we do not expect bonus depreciation to have any material impact on earnings this year. And over the longer term, we have significant flexibility to bring forward reliability projects that will clearly benefit customers. The additional cash benefits will allow us to fund a strong backlog of infrastructure investments, but the region needs for reliability and if the Clean Power Plan moves forward on the proposed timetable. Our incremental cash flows could well be needed to support additional investments in renewable energy or new natural gas generation for our fleet. Of course, we also have the option to further deleverage the holding company. So bottom line, for the longer term beyond 2016, we continue to see earnings per share growth of 5% to 7% a year. As a reminder, our current 10-year investment plan is primarily focused on modernizing our delivery networks. We expect that more than half of our capital investments, about $800 million a year roughly, will be dedicated to the gas delivery business, providing safer and more reliable infrastructure and extending our gas distribution lines to customers across the Midwest. We also plan to invest approximately $400 million a year to upgrade and harden our electric delivery networks. Now the primary risks associated with these core distribution projects are naturally more manageable given the smaller scale and scope of the work. But the work is no less important than the megaprojects we've completed over the years. Our focus now on renewing our distribution networks is essential to maintaining our status as one of the nation's most reliable utilities. We also expect the remaining investment, approximately $300 million a year, will be focused on our generating fleet and on what we call corporate infrastructure. To be clear, however, these projections do not include any capital that would be needed for compliance with the Clean Power Plan. 
Turning now to other developments, I'm pleased to report that the conversion of the Valley Power Plant near downtown Milwaukee from coal to natural gas was completed in the fourth quarter on time and on budget. The total investment was approximately $60 million, excluding allowance for funds used during construction. We are also making very good progress on the major construction work at our Twin Falls hydroelectric plant on the border of Wisconsin and Michigan's Upper Peninsula. After more than 100 years of operation, we're building a new powerhouse and adding spillway capacity to meet current federal standards. Overall, the Twin Falls project is on time and on budget, with approximately 82% of the construction now complete. We're targeting commercial operation for the summer of this year and we're forecasting a total investment of $60 million to $65 million, again, excluding allowance for funds used during construction.  Next, you may recall that we're working to add fuel flexibility at our Oak Creek expansion units. These units were initially permitted to burn bituminous coal, but given the current cost differential between bituminous coal and Powder River Basin coal, blending the 2 types of fuel could save customers anywhere between $25 million and $50 million a year depending upon the mix. Work is underway now to expand our coal storage capability at the Oak Creek site, the larger site should be ready by early next year. Also, the first capital investment inside the plant was made on one of the units during the planned outage this past fall. We also plan to upgrade the second unit during the first quarter of this year. Our share of these investments for the new Oak Creek units is targeted at approximately $80 million, again, excluding allowance for funds used during construction. 
We're also moving forward on the accelerated main replacement program at Peoples Gas in Chicago. As you'll recall, this is one of the largest natural gas infrastructure projects in the country. The program calls for the replacement of approximately 2,000 miles of Chicago's aging gas pipelines, and I'm pleased to report that over the past 6 months, we've taken significant steps to improve the management and performance of this project, which is now approximately 18% complete. We engaged a nationally recognize engineering firm to help us conduct an extensive independent review of the work plan and the long-term cost estimates. As part of our fresh start in Chicago, we filed a plan on November 30 that lays out our top priorities for the next 3 years. These components of the 3-year plan include removal and replacement of more than 250 miles of aging cast iron pipes in the neighborhoods most at risk; a projected investment of between $250 million and $280 million a year and regular updates to the Illinois Commerce Commission and other stakeholders to keep them fully informed of our progress. 
In assessing the plan that we filed on November 30, the Illinois Commerce Commission has scheduled a series of 6 workshops to be held by the end of March. Two of the workshops are already complete. While the engineering, field work and cost recovery continue, these workshops are bringing together all of the stakeholders to review the scope, the schedule and the long-term cost of the plan with a focus on safety and reliability. I'm confident that the steps we're taking will provide Chicagonians with the safe, modern natural gas delivery system that they deserve. 
Moving now to our transmission business, our electric transmission business, as you know, WEC is now a 60% owner of American Transmission Company. ATC's capital plan calls for investment of $3.7 billion to $4.5 billion between now and 2024 to bolster the reliability of the grid. As I've said in the past, we welcome the opportunity to increase our commitment to the transmission business. 
Turning now to our dividend policy, on January 21, as you may have read, our Board declared a quarterly cash dividend of $0.495 [ph] a share, an increase of 8.2% over the previous quarterly dividend. Our annual dividend rate is now $1.98 a share. Going forward, we are targeting a payout ratio of 65% to 70% of earnings, and we expect our dividend growth to be in line with growth in earnings per share. 
On a final note, as I mentioned, on one of our previous calls, we've been seeking a new owner for the Trillium Compressed Natural Gas business. You recall that this business came to us as part of the Integrys transaction. We sold part of the business in late November of last year, and very recently, we reached an agreement to sell substantially all of the remaining Trillium assets. This agreement is subject to Hart-Scott-Rodino review and we're projecting to reach financial flows by the end of the first quarter. In total, we expect at least $130 million of pretax cash proceeds from the combined sales of the Trillium assets. The fair value of Trillium was reflected in our purchase price allocation following the Integrys acquisition, and as you know, the earnings on the Trillium business were not significant to our company. 
So in summary, ladies and gentlemen, these are exciting times filled with opportunity and change for our company. And speaking of change, we recently announced that I'll be retiring as Chief Executive Officer effective May 1. After May 1, I'll continue to serve the company as a nonexecutive Chairman of the Board. And I'm delighted that Allen Leverett will succeed me as Chief Executive. He is also been appointed to our Board of Directors. As most of you know, Allen has been a very key contributor to our success since he joined Wisconsin Energy the same year I did back in 2003, first, as Chief Financial Officer, then as the leader of our Power Generation Group, and most recently as President of the parent firm in our Wisconsin, Minnesota and Michigan utilities. I've known and worked with Allen for more than 20 years. I have to tell you, he's not quite as fond of financial audits as I am, but the depth of his experience, his management scales and his focus on execution make him the ideal person to lead our company through the time of continuing change in the energy industry. Allen, my congratulations"
315117,322411137,926972,"WEC Energy Group, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","WEC Energy Group, Inc.","Executives","Thank you, Gale.",3,"Thank you, Gale."
315117,322411137,926972,"WEC Energy Group, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","WEC Energy Group, Inc.","Executives","And now, for more details on our 2015 performance and outlook for 2016, here's our Chief Financial Officer, Pat Keyes. Pat?",21,"And now, for more details on our 2015 performance and outlook for 2016, here's our Chief Financial Officer, Pat Keyes. Pat?"
315117,322411137,926972,"WEC Energy Group, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","WEC Energy Group, Inc.","Executives","Thank you, Gale.  As Gale mentioned, in 2015, our adjusted earnings grew to $2.73 a share compared with $2.65 a share for 2014. Our adjusted earnings exclude the Integrys Company's earnings and the impacts of the acquisitions. They are also adjusted for t",1284,"Thank you, Gale.  As Gale mentioned, in 2015, our adjusted earnings grew to $2.73 a share compared with $2.65 a share for 2014. Our adjusted earnings exclude the Integrys Company's earnings and the impacts of the acquisitions. They are also adjusted for the shares issued in connection with the merger. To facilitate comparisons with last year, my discussion of 2015 results will focus primarily on legacy Wisconsin Energy. The earnings packet placed on our website this morning includes the results of the Integrys Companies and has a full GAAP to adjusted reconciliation. First, I'll focus on the operating income for Wisconsin Energy and then discuss other income, interest expense and income taxes. Our consolidated operating income for the full year 2015 was $1,137,000,000 as compared with $1,125,000,000 in 2014. That's an increase of $12 million. Starting with the Utility Energy segment, operating income in 2015 totaled $767.7 million, an increase of $3.5 million over 2014. On the positive side, we had a $35 million increase in revenues due to the Wisconsin rate order. We also had $10.4 million of improved fuel recoveries and lower O&M cost in part driven by lower benefits costs and reduced maintenance expense in the fourth quarter, decreased expenses by $10.2 million. On the downside, we estimate that our electric and gas margins decreased by $35.3 million, driven by warmer fourth quarter weather. The fourth quarter of 2015 was the second warmest in the history of WE Energies. In addition, depreciation expense rose by $16.8 million with additional capital expenditures. Combining these and other factors, results in the $3.5 million increase in adjusted utility operating income in 2015 as compared with 2014. Our non-utility energy operating income was $373.4 million, which is $5.4 million higher than the prior year due to additional investment in our Oak Creek expansion units. Our corporate and other segment showed an operating loss of $4.5 billion [ph], essentially flat with the prior year. Taking the changes for these segments together, you would arrive at $12 million increase in adjusted operating income. During 2015, earnings from Wisconsin Energy's investment in American Transmission Company totaled $54.5 million, which was an $11.5 million decline from 2014. As we've previously mentioned, ATC has established reserves in light of recent appeals to the FERC regarding authorized returns from regional transmission organizations. ATC reevaluated those reserves in the fourth quarter and decided to increase them. 
Other income net increased by $24.3 million, driven in large part by second quarter asset sales. Higher AFUDC driven primarily by our gas expansion project in Western Wisconsin, also contributed. 2015 net interest expense increased by $2 million. This was driven by slightly higher long-term debt, offset somewhat by lower interest rates. Wisconsin Energy's standalone income tax expense rose by $2.7 million for 2015. Our higher taxable income was slightly offset by a lower effective tax rate. Looking forward, we expect WEC Energy Group's effective income tax rate to be between 37.5% and 38.5% for 2016. Combining all of these items brings you to adjusted net income of $620.9 million or $2.73 per share for 2015. 
Turning now to operating cash flows, we have provided information in the earnings packet for the consolidated WEC Energy Group on a GAAP basis, which includes 6 months of results from Integrys. We believe this will be a more accurate indicator of the cash position of the company. During 2015, WEC Energy Group's operating cash flows totaled $1,294,000,000, which is a $95 million improvement over 2014. A major driver of the improvement was the inclusion of the legacy Integrys Companies for 6 months which added both to depreciation and deferred income taxes. Legacy Wisconsin Energy's year-to-date operating cash flows in 2015 were about $41 million lower as compared to 2014. As previously discussed, we contributed $100 million to our pension plans in 2015. No such contributions were made during 2014. Our adjusted debt-to-capital ratio was 51.4% at the end of 2015. This ratio reflects the Integrys acquisition and treats half of WEC Energy Group's hybrid securities as common equity which is consistent with past presentations. We continue to use cash to satisfy any shares required for our 401(k) plan, options and other programs. Going forward, we do not expect to issue any additional shares. For comparison purposes, the annual sales information I'll discuss next reflect results for WE Energies only. Actual 2014 retail deliveries fell by 1.8%. Excluding the iron ore mines, retail deliveries fell by 8/10 [ph] of a percent. Weather normalized retail deliveries, again, excluding the iron ore mines, also fell by 8/10 [ph] of a percent compared to 2014. 
Looking at the individual customer segments now, we saw weather-normalized residential deliveries fall by 1.8%. Actual residential deliveries fell by 2%. Across our small commercial industrial group, weather normal deliveries rose by 2/10 of a percent. Actual deliveries fell by 1/10 of a percent. In the large commercial industrial segment, deliveries for 2015 fell by 3.1%. Excluding the iron ore mines, large commercial and industrial deliveries fell by 4/10 of a percent. Our 2015 weather normalized retail gas deliveries, excluding gas used for power generation, dropped 1.5% compared to 2014. Our actual gas deliveries, again, excluding gas used for power generation, were down 11% compared to the polar vortex driven gas sales in 2014. For 2016, we will forecast and discuss delivery results for the state of Wisconsin, our largest segment. Our Wisconsin segment includes the results of both WE Energies and Wisconsin Public Service. Note that with decoupling, gas deliveries in Illinois are not as tightly tied to financial results. So in Wisconsin, we're forecasting a modest increase of 3/10 of a percent in weather normalized retail electric deliveries, excluding the iron ore mines. That compares to 1/10 of a percent decline in 2015. We plan to meet our earnings targets without relying on any significant gains in energy usage by our customers. Looking at 2016 by individual customer segments, we expect residential deliveries to declined by 1/10 [ph] of a percent, impacted positively by continued modest growth in housing starts but offset by conservation. In the small commercial industrial segment, we are projecting sales to decline by 3/10 of a percent and in the large industrial -- commercial and industrial group, we are projecting an increase of 1.2%, excluding the mines. We project 2016 Wisconsin weather normalized retail gas deliveries, excluding gas used for power generation, to increase by 0.5%. 
Turning now to our capital forecast, as Gale mentioned, we expect to invest at least $1.5 billion per year in capital projects or $15 billion in the next decade. Correspondingly, we plan to invest $1.5 billion in 2016 primarily focused on modernizing our delivery networks. We will continue to evaluate both our short and long-term capital investment plans in light of bonus depreciation. 
Next, I'd like to remind you about earnings guidance for 2016. As previously mentioned, we expect earnings per share growth for WEC Energy Group to be in a range of 6% to 8% off a base of $2.72 a share. Therefore, our guidance for 2016 is in a range from $2.88 to $2.94 a share. This projection assumes normal weather and excludes any potential remaining acquisition-related costs. Again, our guidance for 2016 is $2.88 to $2.94 per share. 
Finally, let's look at first quarter guidance. Taking into account January weather and the timing of fuel recoveries, we project first quarter earnings to be in a range of $0.99 to $1.03 per share. That assumes normal weather for the rest of the quarter and excludes any remaining acquisition-related costs. Once again, first quarter guidance for the WEC Energy Group is $0.99 to $1.03 per share. 
And with that, I'll turn things back to Gale"
315117,322411137,926972,"WEC Energy Group, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","WEC Energy Group, Inc.","Executives","Thank you very much. Overall, we're all suddenly on track and focused on delivering value for our customers and our shareholders.",21,"Thank you very much. Overall, we're all suddenly on track and focused on delivering value for our customers and our shareholders."
315117,322411137,926972,"WEC Energy Group, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","WEC Energy Group, Inc.","Operator","[Operator Instructions] Your first question comes from the line of Julien Dumoulin-Smith with UBS.",14,"[Operator Instructions] Your first question comes from the line of Julien Dumoulin-Smith with UBS."
315117,322411137,926972,"WEC Energy Group, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","WEC Energy Group, Inc.","Analysts","Kicking it off here, curious, Peoples Gas just the earned ROEs and expectations in the 2016, looks like there could be a nice pick up there. But I'd be curious if you can elaborate kind of what you're thinking about in earned ROE embedded in that range? W",55,"Kicking it off here, curious, Peoples Gas just the earned ROEs and expectations in the 2016, looks like there could be a nice pick up there. But I'd be curious if you can elaborate kind of what you're thinking about in earned ROE embedded in that range? What should we be thinking about that segment?"
315117,322411137,926972,"WEC Energy Group, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","WEC Energy Group, Inc.","Executives","I'm really glad you asked, Julien. Let me first say that for calendar year 2015, the Illinois Utilities, Peoples Gas and Northshore earned their allowed rate of return, which is 9 05, and that's exactly what's embedded in our forecast for 2016 earnings gu",56,"I'm really glad you asked, Julien. Let me first say that for calendar year 2015, the Illinois Utilities, Peoples Gas and Northshore earned their allowed rate of return, which is 9 05, and that's exactly what's embedded in our forecast for 2016 earnings guidance. I know you have a sure whether we could achieve that."
315117,322411137,926972,"WEC Energy Group, Inc., Q4 2015 Earnings Call, Feb 04, 2016",2016-02-04,"Earnings Calls","WEC Energy Group, Inc.","Analysts","There we go. And then secondly, I'd just be curious in terms of the bonus depreciation, if you could elaborate a little bit further there, can you discuss a little bit more what the offsets were for '16, how you were able to entirely offset it? And then l",78,"There we go. And then secondly, I'd just be curious in terms of the bonus depreciation, if you could elaborate a little bit further there, can you discuss a little bit more what the offsets were for '16, how you were able to entirely offset it? And then looking forward a little bit more perspectively here, can you talk about what are the items adding up to in terms of added spend, et cetera, to make it up?"
