"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
99186,550072500,1378811,"Motorola Solutions, Inc., Q4 2017 Earnings Call, Feb 01, 2018",2018-02-01,"Earnings Calls","Motorola Solutions, Inc.","Operator","Good afternoon, and thank you for holding. Welcome to the Motorola Solutions Fourth Quarter 2017 Earnings Conference Call. Today's call is being recorded. If you have any objections, please disconnect at this time. The presentation material and additional",100,"Good afternoon, and thank you for holding. Welcome to the Motorola Solutions Fourth Quarter 2017 Earnings Conference Call. Today's call is being recorded. If you have any objections, please disconnect at this time. The presentation material and additional financial tables are currently posted on the Motorola Solutions Investor Relations website. In addition, a replay of this call will be available approximately 3 hours after the conclusion of this call over the Internet. The website address is www.motorolasolutions.com/investor. [Operator Instructions] I would now like to introduce Ms. Chris Kutsor, Vice President of Investor Relations. Mr. Kutsor, you may begin your conference."
99186,550072500,1378811,"Motorola Solutions, Inc., Q4 2017 Earnings Call, Feb 01, 2018",2018-02-01,"Earnings Calls","Motorola Solutions, Inc.","Executives","Thank you, and good afternoon. Welcome to our 2017 fourth quarter and full year earnings call. With me today are Greg Brown, Chairman and CEO; Gino Bonanotte, Executive Vice President and CFO; Bruce Brda, Executive Vice President, Products and Solutions;",223,"Thank you, and good afternoon. Welcome to our 2017 fourth quarter and full year earnings call. With me today are Greg Brown, Chairman and CEO; Gino Bonanotte, Executive Vice President and CFO; Bruce Brda, Executive Vice President, Products and Solutions; and Jack Molloy Executive Vice President, Worldwide Sales and Services. Greg and Gino will review our results along with commentary, and Bruce and Jack will join for the Q&A portion of the call. We've posted in earnings presentation and news release at motorolasolutions.com/investor. These materials include GAAP to non-GAAP reconciliations for your reference. 
During the call, we reference non-GAAP financial results including those in our outlook unless otherwise noted. A number of forward-looking statements will be made during this presentation and during the Q&A portion of the call. These statements are based on current expectations and assumptions that are subject to a variety of risks and uncertainties. Actual results could differ materially from these forward-looking statements. Information about factors that could cause such differences can be found in today's earnings or news release and the comments made during this conference call in the Risk Factors section of our 2016 annual report on Form 10-K and in our other reports and filings with the SEC. We do not undertake any duty to update any forward-looking statement. With that, I'll turn it over to Greg."
99186,550072500,1378811,"Motorola Solutions, Inc., Q4 2017 Earnings Call, Feb 01, 2018",2018-02-01,"Earnings Calls","Motorola Solutions, Inc.","Executives","Thanks, Chris. Good afternoon, and thanks for joining us today. I'd like to share a few thoughts about the overall business before Gino takes us through the results and the outlook. First, Q4 was an outstanding quarter, capping a very strong year. We gr",204,"Thanks, Chris. Good afternoon, and thanks for joining us today. I'd like to share a few thoughts about the overall business before Gino takes us through the results and the outlook. 
First, Q4 was an outstanding quarter, capping a very strong year. We grew Q4 revenue 4%, driving higher earnings and cash flow on the continued strength of our Land Mobile Radio solutions led by North America. We see continued demand across both our government and commercial customers around the world reflected in our recent results and our record backlog. 
Second, 2017 was a record year for sales, operating earnings, cash flow and backlog, demonstrating the earnings power of our land mobile radio platforms. In addition to growing the full year revenue 6% with growth in every region, we grew operating earnings 9%, grew EPS 11% and we grew operating cash flow 16%. 
Finally, I'm very pleased with our competitive position moving forward. I expect our LMR platform business to provide continued growth while also driving additional Managed Services expansion and further differentiating our command center software strategy. So now I would like to travel over to Gino to provide additional details on Q4 results and outlook before turning to provide some final thoughts."
99186,550072500,1378811,"Motorola Solutions, Inc., Q4 2017 Earnings Call, Feb 01, 2018",2018-02-01,"Earnings Calls","Motorola Solutions, Inc.","Executives","Thank you, Greg. Q4 results include revenue of $2 billion, up 4% from last year and organic revenue up 2%. GAAP operating earnings were $511 million, up $108 million from last year. Non-GAAP operating earnings were $576 million, up $35 million or 6% from",1322,"Thank you, Greg. Q4 results include revenue of $2 billion, up 4% from last year and organic revenue up 2%. GAAP operating earnings were $511 million, up $108 million from last year. Non-GAAP operating earnings were $576 million, up $35 million or 6% from the year ago quarter, and operating margins were 29.4% of sales, up 70 basis points from last year. 
GAAP earnings per share was a loss of $3.56 compared to an earnings of $1.43 in the year-ago quarter. The loss reflects onetime charges of $874 million related to recent U.S. tax reform. The charges are primarily 2 items: $471 million related to the valuation allowance on foreign tax credits; and $366 million related to the remeasurement of U.S. deferred tax assets at a lower rate. 
Non-GAAP EPS was $2.10, up 3% from last year. Ending backlog was $9.6 billion, up $1.2 billion from last year. Product segment backlog was up $382 million or 25% and services segment backlog was up $860 million or 13%. 
For the full year, revenue grew 6% with growth in every region and organic revenue grew 3%. Products segment revenue grew 3%, led by higher North America system sales and growth in commercial products. Services revenue grew 9% with Managed and Support Services growth in every region. Operating earnings were $1.6 billion, up $125 million or 9% compared to 2016. Earnings per share grew 11% to $5.46 and operating cash flow was $1.3 billion, up $181 million from last year. 
Moving to product segment results for Q4. Q4 product sales were $1.23 billion, up 1% versus the prior year, driven by growth in North America LMR systems and global commercial products. Q4 product operating income was $425 million or 34.5% of sales, up 130 basis points from last year, driven by higher sales and lower OpEx. Product backlog ended the quarter at $1.9 billion, up $382 million or 25% from last year. This is the 13th consecutive quarter of year-over-year growth. Sequentially, backlog was up $140 million or 8%. The year-over-year and sequential backlog growth was driven by North America and EMEA. 
Q4 services revenue was $724 million, up 10% from last year with growth in every region. Managed and Support Services grew 17% inclusive of $32 million from acquisitions. Services operating income was $151 million or 20.9% of revenue, up 50 basis points from last year on higher sales and mix to Managed and Support Services partially offset by FX from acquisitions. Services backlog ended at $7.7 billion, up $860 million from last year inclusive of a runoff. Sequentially, Services backlog is up $567 million or 8% on continued strong demand in North America, EMEA and Asia Pac. 
Total OpEx in Q4 was $397 million, down $11 million or 3% from the year ago quarter, inclusive of $15 million from acquisitions. For the full year, operating expenses were $1.49 billion, inclusive of $45 million of OpEx from acquisitions. Other income and expense in Q4 was $46 million compared to $41 million in the year-ago quarter. 
The Q4 effective tax rate was 32.8% compared to 30.7% in the year ago quarter, resulting in $11 million of higher tax expense. The full year 2017 effective tax rate was 31%. 
Q4 operating cash flow was $761 million, an increase of $248 million from last year, driven by higher operating earnings as well as improved working capital. Free cash flow was $740 million, up $287 million. We ended Q4 with $1.3 billion in cash, and during the quarter, we repurchased $125 million of stock at an average price of $91.95 and paid dividends of $76 million. 
Capital allocation in 2017 was $1.3 billion. This included $298 million of acquisitions, $370 million of dividends, $227 million of CapEx and $483 million of share repurchases at an average price of $85.32. In total, our share repurchase program has retired 53% of our shares at an average cost of $58.59. 
Finally, in Q1 of 2018, we are planning a debt funded $500 million pension contribution that takes advantage of the recent tax legislation. This funding pushes any further cash distribution to our U.S. pension plan until minimally 2024, likely beyond. In addition, this planned contribution drove the 2017 tax deduction at 35% versus 21%, providing an MPV of approximately $60 million. 
Turning to our outlook. We expect Q1 revenue growth of approximately 7% and organic growth of 5% including approximately $40 million from currency tailwinds. Non-GAAP EPS is expected to be between $0.83 and $0.88. This assumes current exchange rates and an average diluted share count of approximately 169 million shares. For the full year, we expect revenue growth of approximately 5% with organic growth of approximately 4.5% with currency tailwinds of approximately $130 million. 
Non-GAAP EPS is expected to be in the range of $6.50 to $6.65. The outlook does not include the pending Airbus PlantCML or Avigilon acquisitions. Airbus PlantCML is expected to close in Q1 and Avigilon is expected to close in Q2. 
Full year operating expenses are expected to be down again by approximately $20 million from 2017, inclusive of $20 million of OpEx from completed acquisitions and inclusive of $30 million in higher OpEx from currency headwinds. We expect the full year 2018 effective tax rate to be approximately 25% and our cash tax rate to remain at approximately 15% for 2018 and 2019. 2018 operating cash flow is expected to be approximately $1.4 billion excluding the $500 million debt-funded pension contribution previously mentioned. 
Moving to regional results. The Americas grew 6% in Q4 and 7% for the full year. This broad-based growth was driven by P25 systems, multi-year Managed and Support Services and commercial products. Backlog is up $915 million from last year with double-digit growth in both Products and Services year-over-year as customers continue to invest in their LMR solutions. 
EMEA declined 2% in Q4 on the completion of a large LTE implementation in the prior year. For 2017, EMEA was up 5% on growth in Products and Services and backlog is up $131 million versus last year. Asia Pac grew 1% for the quarter and 1% for the year, driven by growth in both Products and Services. Backlog is up $195 million primarily on services growth. 
I'd also like to share some brief segment highlights. First, in our product segment during Q4, we were awarded a $290 million contract for an LMR system in a Middle Eastern country that recently deployed a private public safety LTE system. The significant investment in LMR is the latest example of customers further validating that LTE and LMR are complementary technologies. We also won several large LMR deals in North America during the quarter, including a $76 million P25 order for the city of Dallas, a $53 million P25 order for the city of Los Angeles and a $39 million P25 order for the city of Toronto. 
In our services segment, we continued to see demand by our customers for multi-year support contracts for their LMR systems. A few notable Q4 awards include a $197 million 7-year managed Services contract extension for the Melbourne Metropolitan Radio Network in Australia; a $40 million 5-year Managed Services contract in Victoria Australia; and an $18 million 7-year Managed Services contract with Dow Chemical. 
I'd also like to mention a few full year operational highlights. During 2017, we launched 85 new products while reducing our device SKUs by 55%. We also launched new or expanded services offerings across devices, commercial infrastructure and LTE. We completed the acquisition of Kodiak Networks, adding a carrier integrated cellular push-to-talk solution for mobile operators around the world. We signed the FirstNet partnership agreement with AT&T to provide software applications, devices and services for public safety customers on the FirstNet network. And finally, we completed the acquisition of Interexport a provider of managed services for communications systems to public safety and commercial users in Chile. I'd now like to turn the call back over to Greg."
99186,550072500,1378811,"Motorola Solutions, Inc., Q4 2017 Earnings Call, Feb 01, 2018",2018-02-01,"Earnings Calls","Motorola Solutions, Inc.","Executives","And thanks, Gino. And let me just close with a few thoughts. First I'm very, very proud of the 2017 results we posted as a direct result of our employees' dedication and focus and efforts in delivering unmatched technology and unmatched service to our glo",186,"And thanks, Gino. And let me just close with a few thoughts. First I'm very, very proud of the 2017 results we posted as a direct result of our employees' dedication and focus and efforts in delivering unmatched technology and unmatched service to our global customers, many of whom put their lives on the line every single day. Second, I'm especially pleased with our momentum moving forward. Our record backlog reflects the continued strong demand for LMR, led by North America, and we're making continued progress in growing our software and services business as well. And finally, we announced today a definitive agreement to acquire Avigilon, a leader in advanced video surveillance and analytics. Adding Avigilon's end-to-end video capabilities and analytics for our commercial and public safety customers provide not only another key workflow stream to our solutions offering but also significantly expands the total addressable market that we serve today, paving the way for additional future growth. The management team here remains acutely focused on continuing to grow this firm profitably and for the long term. And now I'll turn it back over to Chris."
99186,550072500,1378811,"Motorola Solutions, Inc., Q4 2017 Earnings Call, Feb 01, 2018",2018-02-01,"Earnings Calls","Motorola Solutions, Inc.","Executives","Thanks, Greg. [Operator Instructions] Operator, would you like to please remind callers how to ask a question?",17,"Thanks, Greg. [Operator Instructions] Operator, would you like to please remind callers how to ask a question?"
99186,550072500,1378811,"Motorola Solutions, Inc., Q4 2017 Earnings Call, Feb 01, 2018",2018-02-01,"Earnings Calls","Motorola Solutions, Inc.","Operator","[Operator Instructions] Our first question is coming from George Notter with Jeffries.",12,"[Operator Instructions] Our first question is coming from George Notter with Jeffries."
99186,550072500,1378811,"Motorola Solutions, Inc., Q4 2017 Earnings Call, Feb 01, 2018",2018-02-01,"Earnings Calls","Motorola Solutions, Inc.","Analysts","I guess I was curious about the bigger spending environment around public safety LMR. I guess I'm thinking more about the United States. It seems like state and local tax receipts have to be very, very strong. I assume that's a good tailwind for your busi",90,"I guess I was curious about the bigger spending environment around public safety LMR. I guess I'm thinking more about the United States. It seems like state and local tax receipts have to be very, very strong. I assume that's a good tailwind for your business. I want to ask about federal tax receipts also. We've got tax reform. I guess I'm imagining the tax receipts will be lower going forward. But can you just talk about the environment and how it's changing the tax reform for your LMR business?"
99186,550072500,1378811,"Motorola Solutions, Inc., Q4 2017 Earnings Call, Feb 01, 2018",2018-02-01,"Earnings Calls","Motorola Solutions, Inc.","Executives","Hi, George. It's Jack. So I guess first of all, from a state and local perspective, you're spot on. I think what you've seen a referenced effect that North America grew in 2015, 2016 and '17 both in terms of revenue and backlog. I think that's testament t",176,"Hi, George. It's Jack. So I guess first of all, from a state and local perspective, you're spot on. I think what you've seen a referenced effect that North America grew in 2015, 2016 and '17 both in terms of revenue and backlog. I think that's testament to the strength of the demand drivers in public safety and state local. From a federal perspective, similar story. We had a great year in 2016, and frankly, we slightly beat that slightly in 2017. The demand drivers right now in the federal government are really twofold. We have a defense team. We're seeing continued spending in the defense around military base communications. That's been a strong story and then what we look at domestically here both from a law enforcement and a border patrol perspective, again, the demand and a lot of what the Trump administration is doing in terms of planning those things look to be beneficial for us as well. We enter 2018, frankly, in federal in a better backlog position than we did in 2017."
99186,550072500,1378811,"Motorola Solutions, Inc., Q4 2017 Earnings Call, Feb 01, 2018",2018-02-01,"Earnings Calls","Motorola Solutions, Inc.","Operator","Our next question comes from Tim Long with BMO Capital Markets.",11,"Our next question comes from Tim Long with BMO Capital Markets."
