"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
241782379,599276888,1660176,"Allegion plc, Q4 2018 Earnings Call, Feb 19, 2019",2019-02-19,"Earnings Calls","Allegion plc","Operator","Hello, and welcome to the Allegion Q4 Earnings Call. [Operator Instructions] Please note, this event is being recorded. I would now like to turn the conference over to Mike Wagnes, Vice President, Investor Relations and Treasurer. Please go ahead, sir.",40,"Hello, and welcome to the Allegion Q4 Earnings Call. [Operator Instructions] Please note, this event is being recorded. I would now like to turn the conference over to Mike Wagnes, Vice President, Investor Relations and Treasurer. Please go ahead, sir."
241782379,599276888,1660176,"Allegion plc, Q4 2018 Earnings Call, Feb 19, 2019",2019-02-19,"Earnings Calls","Allegion plc","Executives","Thank you, Keith. Good morning, everyone. Welcome, and thank you for joining us for Allegion's fourth Quarter And Full year 2018 Earnings Call. With me today are Dave Petratis, Chairman, President and Chief Executive Officer; and Patrick Shannon, Senior V",218,"Thank you, Keith. Good morning, everyone. Welcome, and thank you for joining us for Allegion's fourth Quarter And Full year 2018 Earnings Call. With me today are Dave Petratis, Chairman, President and Chief Executive Officer; and Patrick Shannon, Senior Vice President and Chief Financial Officer of Allegion. Our earnings release, which was issued earlier this morning and the presentation, whichrefer to today's call are available on our website at allegion.com. This call will be recorded and archived on our website.
Please go to Slides #2 and 3. Statements made in today's call that are not historical facts are considered forward-looking statements and are made pursuant to the safe harbor provisions of federal securities laws. 
Please see our most recent SEC filings for a description of some of the factors that may cause actual results to differ materially from our projections. The company assumes no obligation to update these forward-looking statements. Today's presentation and commentary include non-GAAP financial measures. Please refer to the reconciliation in the financial tables of our press release for further details. 
Dave and Patrick will now discuss our fourth quarter and full year 2018 results and provide an outlook for 2019, which will be followed by a Q&A session. [Operator Instructions] 
Please go to Slide 4, and I'll now turn the call over to Dave."
241782379,599276888,1660176,"Allegion plc, Q4 2018 Earnings Call, Feb 19, 2019",2019-02-19,"Earnings Calls","Allegion plc","Executives","Thanks, Mike. Good morning, and thank you for joining us today. Allegion saw another quarter of strong top line revenue growth with strength across all regions. The Americas saw strong volumes in the nonresidential business as end-market fundamentals co",762,"Thanks, Mike. Good morning, and thank you for joining us today. Allegion saw another quarter of strong top line revenue growth with strength across all regions. 
The Americas saw strong volumes in the nonresidential business as end-market fundamentals continue to be positive, particularly in institutional verticals. 
EMEIA and Asia Pacific saw organic growth rates in the mid-single digits. Acquisitions continue to be to contribute to the total company revenue growth. Our electronics growth moderated in the fourth quarter with the Americas seeing approximately 7% growth. 
Residential electronics performed well. However, the nonresidential electronics growth decelerated due to the timing of large orders. 
We had full year electronics growth of high-teens in the Americas with strength in both parts of the business. We see the electronics outlook continue to be a long-term positive trend as more and more products become connected for ease of access. 
As I stated earlier, nonresidential U.S. end markets remain healthy with particular strength in institutional verticals. We do see residential new construction softening that we expect us to be mitigated by electronics and channel initiatives to drive above-market growth. 
The quartersaw continued inflationary pressures, which we believe will ease in 2019. Commodities have leveled off, and we project have another solid year in the price realization with particular strength in our Americas nonresidential businesses. In the fourth quarter, we delivered nearly 10% adjusted EPS growth, bringing the full year expansion to approximately 14% as we drove a robust 37% increase in available cash flow, which totaled more than $400 million for the year.
Overall, I'm extremely pleased with the revenue performance in both the quarter and the full year. Additionally, while operating margins could have been better, I'm satisfied with the growth in EPS that we delivered in the quarter and the full year.
Please go to Slide 5, and I'll walk through the fourth quarter financial summary. 
In Q4, Allegion delivered strong top line revenue growth. Revenue for the fourth quarter was $702.4 million, an increase of 12.4%, inclusive of organic growth of 6.7%. Acquisitions also contributed to the top line revenue expansion, offsetting the slightly unfavorable currency impact.
All regions grew organically. Americas has led the way with organic growth of 7.6% in the quarter, driven by strength in our nonresidential business. The EMEIA region saw organic growth of 4.3%, driven by performance in the SimonsVoss and Interflex businesses. Asia Pacific had a nice quarter of organic growth coming in at 4.6% against the tough comparables.
Adjusted operating margin decreased by 130 basis points due to the dilution related to the acquisitions made in 2018. Excluding the impact of these acquisitions, the base operating margins were up 20 basis points. 
Inflationary headwinds continue to pressure margins and exceeded price and productivity in the quarter. The company is committed to driving price realization and productivity actions, such that for 2019, the price productivity inflation dynamic is expected to be positive, helping to drive margin expansion across all regions of the business.
Adjusted earnings per share of $1.22 increased $0.11 or nearly 10% versus the prior year. The increase was driven by higher operating income, along with a favorable year-over-year tax rate. Available cash flow for the year came in over $408 million, an increase of 31% over prior year. Increased earnings and the nonrecurring 2017 discretionary pension funding drove the increase. Please go to Slide 6.
Before I turn the call over to Patrick, I want to talk a little about some of the things we're doing in the Connected Home Space. In 2015, Schlage with the first Smart Locks to respond to open my watch. include is the with the key by Amazon have and ring devices without even WiFi. It's built right into the lock. With Schlage Encode, we took a different approach to development. Starting first with the connected home platform and developing the lock around the desired user experience. The user first approach is part of our strategic plan to develop and integrate with leaders in connected home platforms. 
In addition, we recently announced the Schlage Connect Z-Wave plus enhancement and its compatibility with the room and Schlage Connect Zigbee-certified locks with support home automation systems. 
Our deep experience in connected home security has made us go-to partner for a wide variety of platforms and home automation solutions, including Amazon, Ring, alarm.com, Google and Apple. We will continue to build relationships to benefit consumers and accelerate adoptions of Schlage Smart Locks. Patrick will now walk you through the financial results, and I'll be back to update you on our full year 2019 outlook."
241782379,599276888,1660176,"Allegion plc, Q4 2018 Earnings Call, Feb 19, 2019",2019-02-19,"Earnings Calls","Allegion plc","Executives","Thanks, Dave, and good morning, everyone. Thank you for joining the call this morning. If you would please go to Slide #7. This slide depicts the components of our revenue growth for the fourth quarter as well as the full year of 2018. Our focus on the to",1302,"Thanks, Dave, and good morning, everyone. Thank you for joining the call this morning. If you would please go to Slide #7. This slide depicts the components of our revenue growth for the fourth quarter as well as the full year of 2018. Our focus on the total Allegion results and cover the regions on their respective slides.
As indicated, we delivered 6.7% organic growth in the fourth quarter. This performance reflects another strong quarter in the Americas region, which delivered 7.6% organic growth, led by the nonresidential markets. 
EMEIA and Asia Pacific saw our continued momentum with mid-single digit organic growth. Pricing for Allegion in the quarter came in at 1.5%. The company will continue to take necessary pricing actions to help mitigate the impact of ongoing inflationary pressures and any additional tariff impacts. Also, during the fourth quarter, acquisitions contributed more than 7% growth, and foreign currency was a slight headwind in all 3 regions.
With the fourth quarter performance, you can see where we ended up for the full year on revenue growth. We delivered more than 13% total revenue growth with double-digit top line growth in all 3 regions. Organic growth came in at 6%, led by the Americas at nearly 7%. 
Please go to Slide #8.
Reported net revenues for the fourth quarter were $702.4 million. As stated earlier, this reflects an increase of 12.7% versus the prior year, up 6.7% on an organic basis. 
Our adjusted operating income of $145.2 million, increased nearly 6% over the same time frame from last year. 
Adjusted operating margin of 20.7% decreased 130 basis points with a decrease driven by dilution from acquisitions. Excluding the 2018 acquisitions, adjusted operating margin on the base business was up 20 basis points year-over-year.
Total inflation exceeded price plus productivity by approximately $2.5 million and was dilutive to our adjusted operating margins by 70 basis points. We are committed to driving the price, productivity, inflation dynamics positive in 2019 to the following actions: price realization, improved productivity and operational efficiencies, acquisition integration performance, and softening inflation during the year. 
Other headwinds to margin performance were incremental investments, which had a 40 basis points impact on adjusted operating margins. As discussed, these incremental investments accelerate top line growth.
Please go to Slide #9. This slide reflects our EPS reconciliation for the fourth quarter. For the fourth quarter of 2017, reported earnings per share was $0.10. Adjusting $1.01 for the prior year restructuring expenses, integration costs related acquisitions, charges related to U.S. Tax Reform and debt refinancing, the 2017 adjusted earnings per share was $1.11. 
Operational results increased earnings per share by $0.10 as variable price, operating leverage on incremental volume and productivity more than offset inflationary impact.
Favorable year-over-year tax rate drove another $0.07 with the variability driven primarily by lower tax rate associated with tax reform, along with favorable discrete items. 
Acquisitions were a $0.01 drag in the quarter reflecting anticipated performance associated with QMI acquisition in Europe. The impact of incremental investments in the quarter was a $0.02 reduction. These incremental investments for new product development, channel strategies and demand creation spending continue to drive above-market growth and are providing solid returns on our investment. The combination of interest expense other income and noncontrolling expenses decreased earnings per share by $0.03. These results in adjusted fourth quarter 2018 earnings per share of $1.22, an increase of $0.11 or nearly 10% compared to the prior year period.
Lastly, we have a $0.17 per share benefit, primarily driven by adjustments to the provisions related to the enactment of tax reform, which more than offset reductions for charges related to acquisition and restructuring. After giving effect to these onetime items, you arrive at fourth quarter 2018 reported earnings per share of $1.39.
Please go to Slide #10. Fourth quarter revenues for the Americas region were $492.7 million, up 13% on a reported basis, and 7.6% organically. The organic growth was driven by strong volume in the nonresidential business as well as continued pricing benefits. The net earnings growth for the quarter was approximately 7%. Residential Electronics in the quarter performed well. However, nonresidential electronics growth decelerated due to timing of large orders. For the full year, growth in electronics products were solid coming in at high-teens with the strength of both residential and nonresidential products. Price realization in the quarter was 1.5%. Pricing in the nonresidential business was strong, offset by residential promotional activities.
The nonresidential business grew low double digits excluding acquisitions. Residential growth was flat in the quarter with strength in electronics, offset by some cannibalization of the mechanical business. Acquisitions added nearly 6% to total revenue.
Americas adjusted operating income of $131.8 million increased 5.3% versus the prior year period and adjusted operating margin for the quarter decreased 190 basis points. The 2018 acquisitions continue to be dilutive as expected, and had a 120 basis point impact. Inflation incremental investments exceeded price plus productivity in the quarter. Strong volume leverage and positive earnings partially offset these impacts.
Pleased go to Slide #11. Fourth quarter revenues for the EMEIA region were $157.4 million, up 4.4% and up 4.3% on an organic basis. The organic growth was driven by solid pricing for the quarter and strength in electronics led by the SimonsVoss and Interflex businesses. The impact of acquisitions offset currency headwinds.
EMEIA adjusted operating income of $22.5 million decreased approximately 10% versus the prior year period. Adjusted operating margin for the quarter decreased 230 basis points, driven primarily by dilution from acquisitions. 
As stated earlier, the poor acquisition performance was driven by our QMI business, which experienced reduced revenues in a challenging market environment, a significant mix shift to lower-margin business, along with some operational inefficiencies.
We have identified areas of opportunity and have commenced plans to get the QMI business back to profitability. Operational performance improvement will gradually occur throughout the course of 2019. 
In addition, inflation and incremental investments slightly exceeded price plus productivity. Strong volume leverage offsets these some of these unfavorable impact. 
Please go to Slide #12.
Fourth quarter revenues for the Asia Pacific region were $52.3 million, up 44.9% versus the prior year. Organic revenue continue to rebound, growing nicely at 4.6% against a tough comparable. Total revenue growth was driven by the GWA door and access business acquisition. Foreign currency was a headwind for the quarter. 
Asia Pacific adjusted operating income for the quarter was $6.5 million, an increase of nearly $2 million with adjusted operating margins down 60 basis points versus the prior year period. Dilution from acquisitions drove the margin decline. The base business adjusted operating margins were up 120 basis points with price and productivity more than offsetting the unfavorable impacts from inflation, and incremental investments.
Good volume leverage was able to offset negative mix. Please go to Slide #13.
Available cash flow for 2018 came in at $408.7 million, which is an increase of $110.8 million compared to the prior year period. The increase was driven by higher net earnings, along with the nonrecurring $50 million discretionary pension funding payment that was made in the first quarter of 2017. 
Available cash flow continues to remain strong and exceeded prior estimates. Working capital as a percent of revenues increased slightly in fourth quarter 2018, when compared to the prior year period. The increase is primarily driven by working capital related to the recently acquired businesses. And while working capital as a percent of revenue saw slight increase, we did see a reduction in the cash conversion cycle. As always, we remain committed to an effective and efficient use of working capital, and we'll continue to evaluate opportunities to minimize investments in working capital and increase available cash flow. 
I will now hand the call back over to Dave for review our full year 2019 outlook."
241782379,599276888,1660176,"Allegion plc, Q4 2018 Earnings Call, Feb 19, 2019",2019-02-19,"Earnings Calls","Allegion plc","Executives","Thank you, Patrick. Please go to Slide #14. We continue to see favorable trends on our primary end markets in 2019. And as our expectation that the organic investments, combined with our ability to execute will, again, deliver better than market growth. W",727,"Thank you, Patrick. Please go to Slide #14. We continue to see favorable trends on our primary end markets in 2019. And as our expectation that the organic investments, combined with our ability to execute will, again, deliver better than market growth. We also believe the electronic portfolio will continue to outpace mechanical in all regions, and we're well positioned to continue to take advantage of this industry trend. In the Americas, we see continued positive fundamentals in our nonresidential verticals led by the institutional markets. We expect the general trend toward electronic products to continue, which help mitigate the softening that we are expecting in residential new construction. 
With these expectations, we project organic revenue growth in the Americas of 5% to 6%. We are projecting Americas total revenue expansion to also be 5% to 6% with any remaining impact from the 2018 acquisitions to be offset by currency headwinds.
For the EMEIA region, we expect strength in our electronics business to more than offset weaknesses in southern Europe and the United Kingdom. 
For the region, we project organic growth of 2.5% to 4.5%. Currency headwinds are expected to more than offset acquisition benefits, bringing expected total revenue in EMEIA region to flat to 2%. 
In Asia Pacific, we continued to see a healthy growth in China with softening markets in Australia and New Zealand. 
Organic growth in the region is estimated to be 4% to 6%, and total revenue growth is estimated to be 22% to 24%, reflecting the full year impact of the acquisition of Gainsborough Hardware and API. 
All in, we are projecting total growth of the company at 5% to 6% and our organic growth also of 5% to 6%. Please go to Slide 15.
Our 2019 outlook for adjusted earnings per share is $4.75 to $4.90, an increase of approximately 6% to 9%. 
As indicated, the earnings increase is driven by revenue growth and operational improvements as adjusted operating earnings are expected to increase 10% to 14%. 
Inflationary pressures will continue to be a headwind in the first half of the year, but we anticipate pricing and productivity actions to help drive margin expansion for 2019.
Incremental investments continue to be a headwind as we continue to focus on accelerating new product development and channel initiatives, which we believe, enable us to keep delivery above-market growth and allowing us to take advantage of the shifting customer preference is to electronic products.
Other expenses are expected to be a drag on EPS, primarily driven by pension expense. Our outlook assumes a full year effective tax rate of approximately 16%, an increase from 13.5% in 2018, an outstanding diluted shares of approximately 95.5 million. 
The outlook also includes a $0.15 per share impact from restructuring charges and acquisition-related cost during the year. 
As a result, reporting EPS is estimated to be $4.60 million to $4.70. We are projecting our available cash flow for 2019 to be in the $430 million to $450 million range. Please go to Slide 16.
We are very pleased with our 2018 top line growth delivered organic revenue expansion of 6%, driven by electronics which you see is a positive trend for us in the future. While operating margin could have been better, we did deliver full year adjusted EPS growth of nearly 14% in 2018, and we saw a robust 37% increase in available cash flow to more than $400 million.
As we look to 2019, we expect to drive continued organic growth of above market. We also expect to deliver solid growth in adjusted EPS and generate substantial available cash flow. We are well positioned for 2019 and are committed to make the world safer, securing the places where people thrive.
I want to finish by saying that 2018 also marks the Allegion's first 5 years as an independent company. 
From the beginning, we told customers, shareholders and employees we would deliver sustained profitable growth and greater value. We have delivered industry-leading organic growth at our 5-year CAGR of 5.6%. 
We had industry-leading margins. We have focused on the safety of our employees, health of our employees and employee engagement. We've invested in the business, especially in electronics and are positioned nicely for the future. Allegion is a company, our shareholders can be proud to own. Now Patrick, and I will be happy to take your questions."
241782379,599276888,1660176,"Allegion plc, Q4 2018 Earnings Call, Feb 19, 2019",2019-02-19,"Earnings Calls","Allegion plc","Operator","[Operator Instructions] The first question comes from Timothy Wojs from Brad.",11,"[Operator Instructions] The first question comes from Timothy Wojs from Brad."
241782379,599276888,1660176,"Allegion plc, Q4 2018 Earnings Call, Feb 19, 2019",2019-02-19,"Earnings Calls","Allegion plc","Analysts","This is Josh in for Tim. Just wanted to ask about the Americas segment, the pricing versus productivity and inflation comparison seems to be more challenging this quarter. I know you mentioned residential price dynamic, but just wondering what were some o",72,"This is Josh in for Tim. Just wanted to ask about the Americas segment, the pricing versus productivity and inflation comparison seems to be more challenging this quarter. I know you mentioned residential price dynamic, but just wondering what were some of the important drivers behind that. Did the higher raw material costs start to flow through the balance sheet, just kind of give us some color on that would be great."
241782379,599276888,1660176,"Allegion plc, Q4 2018 Earnings Call, Feb 19, 2019",2019-02-19,"Earnings Calls","Allegion plc","Executives","Yes, so Josh, I would characterize it as follows: we commented really good strength in pricing in the commercial area. Pricing and residential was lower than it's anticipated, primarily due to promotional activities and some rebates and those types of thi",199,"Yes, so Josh, I would characterize it as follows: we commented really good strength in pricing in the commercial area. Pricing and residential was lower than it's anticipated, primarily due to promotional activities and some rebates and those types of things, and that ebbs and flows during the course of the year occasionally. So a little bit lower pricing than anticipated in the residential slide. On the productivity, continue to get good productivity, particularly on materials. Inflation was more than anticipated, not so much on the raw materials, but more on the nonmaterial side. So inefficiencies associated with nonmaterials on manufacturing, those type of things. As we look forward to 2019, we believe, we have a very strong pipeline in terms of productivity, on both material and productivity projects from a manufacturing perspective. The dynamic will become positive in 2019, and it will continue to get better during the course of the year, particularly on the inflation side, where as you know, the commodities have kind of stabilized today relative to where they were in Q3. But it starts almost become deflation in the second half of the year. So that will benefit us as we progress throughout 2019."
241782379,599276888,1660176,"Allegion plc, Q4 2018 Earnings Call, Feb 19, 2019",2019-02-19,"Earnings Calls","Allegion plc","Analysts","Okay, great. And for my follow up, could I ask about the electronics growth? You mentioned a larger order within the commercial side. I guess, is it one large project in the prior year or some distributor dynamics, just some color on what drove that? And",58,"Okay, great. And for my follow up, could I ask about the electronics growth? You mentioned a larger order within the commercial side. I guess, is it one large project in the prior year or some distributor dynamics, just some color on what drove that? And how to think about electronics growth kind of going into next year?"
241782379,599276888,1660176,"Allegion plc, Q4 2018 Earnings Call, Feb 19, 2019",2019-02-19,"Earnings Calls","Allegion plc","Executives","Yes, so really good continued strong growth in resi electronics, it was more of a tough top relative to last year on the nonresi side. But as we look forward, again, to 2019, I don't see any reason why we can't sustain kind of mid-teens electronics growth",141,"Yes, so really good continued strong growth in resi electronics, it was more of a tough top relative to last year on the nonresi side. But as we look forward, again, to 2019, I don't see any reason why we can't sustain kind of mid-teens electronics growth across our portfolio. Feel really good, where we're positioned, particularly when we look at some of our new products that we've introduced earlier this year. We -- Dave talked about Encode and we think that's going to go well for us we've got some other things in the pipeline going forward. So we think we're well positioned to continue to take advantage of this trend. And as you know, it's still low penetration rates overall, from a residential adoption and new homes, and so. So we think that will continue to drive our performance."
