"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
173840,597009556,1641724,"Corning Incorporated, Q4 2018 Earnings Call, Jan 29, 2019",2019-01-29,"Earnings Calls","Corning Incorporated","Operator","Ladies and gentlemen, welcome to the Corning Incorporated Quarter 3 2018 Earnings Call. As a reminder, today's conference is being recorded. It is now my pleasure to turn the conference over to Ann Nicholson, Division Vice President of Investor Relations.",43,"Ladies and gentlemen, welcome to the Corning Incorporated Quarter 3 2018 Earnings Call. As a reminder, today's conference is being recorded. It is now my pleasure to turn the conference over to Ann Nicholson, Division Vice President of Investor Relations. Please go ahead."
173840,597009556,1641724,"Corning Incorporated, Q4 2018 Earnings Call, Jan 29, 2019",2019-01-29,"Earnings Calls","Corning Incorporated","Executives","Thank you, Tony, and good morning. Welcome to Corning's' Fourth Quarter 2018 Earnings Call. With me today are Wendell Weeks, Chairman and Chief Executive Officer; Tony Tripeny, Executive Vice President and Chief Financial Officer; and Jeff Evenson, Execut",206,"Thank you, Tony, and good morning. Welcome to Corning's' Fourth Quarter 2018 Earnings Call. With me today are Wendell Weeks, Chairman and Chief Executive Officer; Tony Tripeny, Executive Vice President and Chief Financial Officer; and Jeff Evenson, Executive Vice President and Chief Strategy Officer.
I'd like to remind you that today's remarks contain forward-looking statements that fall within the meaning of the Private Securities Litigation Reform Act of 1995. Those statements involve risks, uncertainties and other factors that could cause actual results to differ materially. These factors are detailed in the company's financial reports.
You should also note that we will be discussing our consolidated results using core performance measures, unless we specifically indicate our comments relate to GAAP data. Our core performance measures are non-GAAP measures used by management to analyze the business. A reconciliation of core results to the comparable GAAP value can be found in the Investor Relations section of our website at corning.com. You may also access core results on our website with downloadable financials in the interactive analyst center. Supporting slides are being shown live on our webcast. We encourage you to follow along. They're also available on our website for downloading.
And now I'll turn the call over to Wendell."
173840,597009556,1641724,"Corning Incorporated, Q4 2018 Earnings Call, Jan 29, 2019",2019-01-29,"Earnings Calls","Corning Incorporated","Executives","Thank you, Ann, and good morning, everyone.This morning, we reported a very strong finish to an excellent 2018. For the fourth quarter, sales were $3.1 billion, up 15% year-over-year. Net income was $539 million, up 18% year-over-year. And EPS was $0.59",2117,"Thank you, Ann, and good morning, everyone.
This morning, we reported a very strong finish to an excellent 2018. For the fourth quarter, sales were $3.1 billion, up 15% year-over-year. Net income was $539 million, up 18% year-over-year. And EPS was $0.59, up 28% year-over-year. For the full year, sales were $11.4 billion, and EPS was $1.78, both up 11% from 2017. We also delivered on our goal to improve gross margin to 42% in the second half, a significant increase over last year and the first half of 2018.
All of our businesses produced year-over-year sales growth in 2018. Highlights include: Optical Communications sales up 18% for the second consecutive year; Environmental sales up 17%, as the adoption of gasoline particulate filters accelerated; Specialty Materials sales up 5% following an exceptional 2017 growth of 25%; Display sales up 4% as we ramp our new Gen 10.5 facility, and annual price declines reached the important milestone of mid-single digits in the second half. And full year pricing was the best in more than a decade; Life Science sales up 8% as we continue to outpace market growth.
Through the past 3 years, we have invested for growth through our Strategy and Capital Allocation Framework. The significant benefits of these investments are evident in our financial performance. In 2018, we built the capacity, launched new products, grew sales by more than $1 billion and extended our leadership position in all businesses. We exited the year with strong execution, expanded margins and great momentum. We expect our momentum to continue into 2019 and beyond, strong year-over-year growth in the first half and additional growth in subsequent quarters. In total, we anticipate another strong year for Corning.
We also feel confident that we're well positioned for long-term growth. Important trends, such as 5G, smart cars, connected homes and augmented reality are converging around Corning's unique capabilities. These interconnected ecosystems require technology that have been our fundamental strengths for a decade. Our proprietary manufacturing processes and deep expertise in glass, ceramics and optical physics are more relevant than ever. Overall, we're excited about 2019 and our future opportunities, as Tony will describe in more detail in just a few minutes.
Now let's turn to the Strategy and Capital Allocation Framework. Under the framework, we target generating $26 billion to $30 billion in cash through 2019. We plan to return more than $12.5 billion to our shareholders through repurchases and dividends and to invest $10 billion to extend our leadership and deliver growth. As we've discussed in numerous times, we have continued to make great progress for the framework goals we announced in October 2015. As we enter the final year of our plan, we expect to meet our stated goals. Our cash generation is on target. And through the end of 2018, we have returned $11.8 billion to shareholders. We increased dividends per share by 50% since the framework began. Investments in RD&E, capital expenditures and acquisitions also remain on track to our 4-year plan totaling $8.2 billion to the end of 2018.
As outlined in our Framework, Corning is best in the world in 3 core technologies, 4 manufacturing and engineering platforms and 5 market access platforms. Our capabilities are interrelated and reinforcing. We focused 80% of our resources on opportunities that use capabilities in at least 2 of these 3 categories. This increases our probability of success, reduces the cost of innovation, creates stronger competitive advantages and most importantly, delights our customers.
Now I'll turn to progress in each of our market access platforms, starting with Optical Communications. Our performance in Optical Communications continues to be outstanding, and we expect to surpass our goal of $5 billion and 2020 sales with further growth beyond. We remain the world leader in passive optical solutions and the only true end-to-end supplier of integrated solutions. 2018 was an excellent year for our Optical Communications business. Recognition of the value created by our solution and co-innovation approach continues to grow. We secured additional multiyear contracts with industry leaders in the carrier and data center segments, which will add significant sales and profit in 2019 and beyond. This committed demand supports our additional investments in manufacturing capacity.
Another highlight of the year was completing the acquisition of 3M's Communications Markets Division. In addition to bringing us a talented group of employees, it extends our market reach and access to global customers, while expanding our portfolio in rapidly growing optical solutions markets.
Next, we achieved product milestones that demonstrate our long track record of innovation and industry expertise. Our connectorized, fiber to the home solution have passed more than 45 million homes around the world. We introduced products in 2018, such as extreme density cable tailored for next-generation hyperscale data center architectures as well as a fiber that offers significant advantages for high throughput transmission. Our products continue to reduce network costs and increase the speed of installations. And we are in an industry that operates in multiple customer segments, including data centers and access networks.
Interestingly, beyond the hardware solutions, we also developed software tools that speed up installation. For example, fiber glass helped accelerate typical installations from weeks to just days. Bruce Furlong, Bell's Vice President of Deployment and Access, described the benefits this way: ""The efficiency and accuracy of the fiber pass solution has contributed to the rapid expansion of Bell's broadband network and our fast-growing 5 TV and Internet services.""
Our investments in capacity clearly paid off in the second half of 2018, with strong sales growth and even greater growth and profitability. As we turn to 2019, committed demand support additional investments and will lead to additional growth. Overall, we expect to continue to grow more than twice as fast as the communication infrastructure market.
Now let's turn to Mobile Consumer Electronics, where we are the world leader in glass for smartphones, tablets and emerging categories in augmented reality devices. Our goal has been to double Mobile Consumer Electronics sales over the next several years despite a maturing smartphone market, and we've been making significant progress to that goal. Here's how. First, we're capturing more value per device. We extended our leadership in the fiberglass market with the launch of Gorilla Glass 6 in July. Leading OEMs are continuing to design our premium glasses into their devices. We expect more than 10 new models with Gorilla Glass 6 to launch throughout this year.
We're not only benefiting from adoption of our premium glasses but also from more glass on each phone. Glass back penetration on smartphones doubled, from 15% in 2017 to 30% in 2018. And we expect continued growth in 2019.
We're also significantly expanding our presence in the aftermarket. As announced this month, we will collaborate with OtterBox, the #1 selling smartphone case brand in the U.S. to introduce the Amplify line of glass screen protectors. This will offer extra protection for consumers and add a third piece of our glass to devices.
Second, we are winning in new and emerging device categories. We launched Corning Gorilla Glass DX and DX+ in July, which provide enhanced antireflective optics and scratch resistance for wearables. These new glass composites are continuing to gain traction in the wearable market, with several launches slated during the first half. We're also partnering with leading consumer electronics makers on augmented reality devices and precise 3D-sensing technology. For example, at CES, we announced an agreement with WaveOptics to help enable fleek augmented reality wearables. The ultra-flat, high-index class that Corning supplies, coupled with our proprietary laser process and characterization tools, enable optimizing this quality and fleek device factors. So overall, we're off to a great start to meet our goal: to double sales in Mobile Consumer Electronics.
A quick fun fact, since 2016, smartphone unit sales have been relatively flat. We, however, grew our sales in the space 30% due to our innovations. We'll continue to innovate for our customers, and you'll continue to see more Corning in your devices.
Turning to Automotive market access platforms. Our materials expertise is helping to propel the auto industry into a new era of cleaner with enhanced cockpit functionality, connectivity and design. Our objectives are to build on our base business with the gasoline particulate filter opportunity and to launch an automotive glass business. 2018 was an exciting year for both objectives. Our gasoline particulate filter technology makes cars significantly cleaner. We exceeded $50 million in GPF sales in 2018 as your opinion regulations took effect. And we expect more than $150 million in 2019 GPF sales. China will be the next to introduce GPFs, with initial filter sales this year as OEMs prepare for the first phase of China 6 regulations in mid-2020. We are ramping dedicated capacity in China to support a robust pipeline of business resulting from upcoming Chinese regulations.
Next, we experienced strong call for Gorilla Glass for automotive in 2018. We are capitalizing on long-term industry trends to the driving demand for technical glass. At CES, automakers confirmed the trend towards larger, longer, shaped and more integrated displays. We also saw strong call for Corning's industry first auto grade glass solutions for automotive interiors, launched exclusively with the customers at CES. These new solutions are making it easier and more affordable for automakers to bring curved and flat displays to market. In total, we have been awarded more than 55 platforms to-date globally, demand is materializing faster than we expected and we are accelerating our investments accordingly.
In our Life Sciences Vessels platform, we continue to make strong progress on the path to a new long-term multi-billion franchise. Valor Glass substantially reduces particle contamination breaks and cracks while significantly increasing throughput. Valor Glass protects patients and improve pharmaceutical manufacturing. Key customers are advancing towards the FDA certification required for the use of Valor. We continue to make progress with our development partners, Merck and Pfizer, and shipments are increasing to other major pharmaceutical manufacturers to support their individual drug regulatory filings. Total shipments of Valor Glass increased fourfold compared to 2017, indicating growing progress towards certification across more pharmaceutical companies.
In parallel, we're supporting customers by scaling up our production capabilities on case with market adoption. We brought new capacity online in 2018 and extended our range of products. We're also progressing with the construction of the new high-volume manufacturing facility in North Carolina that we announced in April.
Finally, industry poll remains favorable. Regulatory concerns about the need for approved glass packaging were highlighted in the lead story of the January PDA letter, reinforcing the need for new solution such as Valor Glass. In addition, Valor Glass was named one of the top 6 pharmaceutical and medical packaging developments in 2018 by Packaging Digest. We continue to believe Valor has the potential to power Corning's growth to the next decade and beyond. We remain closely engaged with the FDA and support its efforts to address this important public health issue. We look forward to being able to share additional updates soon.
In Display, we're delivering stable returns. During 2018, we extended our global leadership by successfully ramping the world's first Gen 10.5 glass point. This accomplishment allow us to grow volume faster than the overall market. Also, the Display glass pricing environment continues to improve. We reached the important milestone of mid-single-digit year-over-year price declines in the second half of 2018. In fact, 2018 was the best pricing environment in more than a decade. We expect the pricing environment to improve further in 2019 and reach mid-single-digit declines for the full year. We're off to a great start, with first quarter price declines expected to be significantly better within quarter 1 2018 and the best quarter 1 in a decade. Display will continue to execute its proven strategy to deliver stable returns.
So we continue to make significant progress across all our market access platforms. Ultimately, we remain on track to fully achieve our Strategy and Capital Allocation Framework goals. For 2018, we've leverage our investments to meet increased demand from our customers, growth sales and significantly improve profitability in the second half, just as we said we would. Looking ahead, we are confident in our ability to deliver sustained performance. We have multiple businesses driving our growth. Our capabilities are becoming increasingly vital to important trends. Our relationships with industry-leading customers are opening new opportunities. And our strategic investments are paying off. We're not only succeeding at building a bigger company. We're building a stronger, more resilient one. We look forward to outlining the next phase of our strategic framework in the coming months.
Now let me turn the call over to Tony for a review of our results and outlook."
173840,597009556,1641724,"Corning Incorporated, Q4 2018 Earnings Call, Jan 29, 2019",2019-01-29,"Earnings Calls","Corning Incorporated","Executives","Thank you, Wendell, and good morning. We had another outstanding quarter, and our portfolio results exceeded our expectations. In 2018, we get what we said we were going to do, which was to expand our manufacturing capacity in the first half and begin lev",2007,"Thank you, Wendell, and good morning. We had another outstanding quarter, and our portfolio results exceeded our expectations. In 2018, we get what we said we were going to do, which was to expand our manufacturing capacity in the first half and begin leveraging those growth investments in the second half. In 2019, we expect to build on this momentum and keep growing across all of our businesses.
Before I get into the details of our performance and results, I want to note that the primary difference between our GAAP and core results is, again, a noncash marked-to-market adjustment for our currency hedge contracts. As we discussed before, GAAP accounting requires earning translation hedge contracts settling in future periods to be marked-to-market and recorded in a card value at the end of each quarter even though those contracts will not be sold in the current quarter. For us, this resulted in an after-tax GAAP loss of $180 million for the fourth quarter. To be clear, this marked-to-market accounting has no impact on our cash flow. Our currency hedges protect us economically from foreign exchange rate fluctuations and provide higher certainty for our earnings and cash flow, our ability to invest for growth and our future shareholder distributions. Our non-GAAP, or core results, provide additional transparency into operations by using a constant currency rate aligned with the economics of our underlying transactions. We're very pleased with our hedging program and the economic certainty it provides. We have received $1.7 billion in cash under our hedge contracts since their inception slightly over 5 years ago.
Well, that brings me to our results and outlook. For the fourth quarter, sales were up 15% year-over-year to $3.1 billion, net income rose 18% to $539 million and EPS is $0.59, up 28%. For the full year, sales were $11.4 billion, and EPS was $1.78, both up 11%. As Wendell noted, this strong growth resulted from customers adopting our innovations and from us factoring the benefits of our capacity investments. As a reminder, our capacity expansion projects in 2018 supported strong committed customer demand across all businesses. These investments include capacity expansion for optical fiber and cable, Gen 10.5 Display glass, gasoline particulate filters and multiple development projects, such as Gorilla Glass for mobile devices and automotive. 2018 capital spending totaled $2.2 billion. As our new capacity ramp towards full production levels, our sales were runway climbed and our gross margin expanded at 42% in the second half of the year.
Turning to the balance sheet. We ended the quarter with $2.4 billion of cash. Adjusted operating cash flow for the year was $3.2 billion and on track for the accumulative target in the 4-year capital allocation plan.
Now let's look at the detailed segment results and outlook. In Display Technologies, we're delivering stable returns. Our full year sales were $3.3 billion, up 4% year-over-year. Fourth quarter performance was in line with our expectations. Sales were $899 million, and net income was $240 million. 2018 was the best pricing environment in more than a decade. As expected, fourth quarter price declines were very moderate, at a mid-single-digit percentage year-over-year, and even more moderate than Q3. With over 90% of our volume under contract, we expect our full year 2019 price declines to improve further through a mid-single-digit percentage and to be even better than they were in 2018. For the first quarter of 2019, we expect sequential price declines to be significantly better than the first quarter of 2018 and be the most favorable first quarter price change in over a decade. Now 3 factors continue to drive our view that this favorable pricing environment will continue: first, we expect glass supply to continue to be balanced or . Our new Gen 10.5 plant supports the expected growth of large-sized TVs. It is co-located with, and dedicated to, our customer BOE. We pay for the line capacity in tandem with BOE to ensure a Gen 10.5 glass supply is balanced with demand. The ramp is on schedule. We expect the glass supply-demand balance below Gen 10.5 to continue to be tight, as public information indicates there's low capacity growth planned in this segment; second, our competitors continue to face profitability challenges pricing levels. Therefore, we expect their price declines will slow further as they try to remain profitable; and third, display glass manufacturing requires ongoing investment in current capacity to maintain our operations. To generate settable returns on investments, glass pricing will need to improve even further. For Corning, we will only add capacity if we can get an attractive return for our shareholders.
In the fourth quarter, Display glass market volume grew low-single digits sequentially and our volume grew faster, as expected, due to the ramp of our Gen 10.5 plant. For the full year, the Display glass market volume increased mid-single digits as expected, driven by growth in TV screen size. We expect mid-single-digit growth again in 2019, also driven by growth in TV screen size. We also expect our volume to grow more than the market once again, resulting from the ramp of our Gen 10.5 plant during that 2018. In the first quarter of 2019, we expect the Display glass market to be at mid-single digits year-over-year and our volume to be up significantly more. Sequentially, we expect the market and our volume to decline by a mid-single-digit percentage, consistent with normal seasonality.
In summary, we remain very pleased with the current dynamics in our Display business, including our ability to cash the higher productivity and margin through fleet optimization and the Gen 10.5 ramp. And most importantly, the fact that we are now delivering stable returns.
Let's move to our fastest-growing segment, Optical Communications. Full year sales were $4.2 billion, up 18% for the second consecutive year. The business is on track to surpass its goal of $5 billion in 2020 sales. Net income was up 26% year-over-year. In the fourth quarter, sales exceeded $1 billion for the third consecutive quarter, and we were up 26% over 2017. Net income for the quarter, was up 60% year-over-year. Sales growth for the year and the quarter were driven by multiyear data center and carrier projects, availability of new manufacturing capacity as well as sales from the recently acquired 3M Communication Markets Division. As planned, we are leveraging our capacity investments to drive higher volume and earnings.
Our midyear acquisition of 3M's Communications Market Division contributed about $200 million to 2018 sales. We are pleased with our progress on integrating this acquisition and continue to expect it to be accretive to EPS in 2019. Looking forward, we expect first quarter sales to be up in the low-20% range year-over-year. We expect another year of growth, with full year 2019 sales up low teens. Key growth drivers to include customer projects and the full year of sales from the 3M acquisition. Our customers, the world's leading network and cloud operators, continue to deploy Corning's optical solutions to densify their 4G, 5G and data center networks. We continue to be very excited about the growth ahead of us.
Environmental Technologies 2018 sales were $1.3 billion, up 17% year-over-year, driven by growth in all product categories and accelerated by emerging sales of GPFs. Net income grew faster than sales at 26% year-over-year. 2018 GPF sales were more than $50 million, as demand ramp strongly in the second half of the year, primarily in Europe. We are now starting to sell into China with early adoption of China 6 regulations. Dedicated capacity and engineering investments support the ramp of this business. Fourth quarter Environmental sales grew 10% year-over-year. Looking to 2019, we expect [ first quarter ] growth of mid-single digits and full year sales to be up high-single digits year-over-year. We expect $150 million of GPF sales in 2019. And we continue to add capacity to meet the additional demand.
In Specialty Materials, 2018 results were strong after an exceptional year of 25% sales growth in 2017. Full year sales rose 5% as OEMs adopted our portfolio of premium glass products. And the use of glass backs double to about 30% of smartphones in 2018. Fourth quarter sales were $399 million, in line with our expectations, and up 2% versus a very strong fourth quarter in 2017, when customers built aggressively to support launch cycles. Overall, we are pleased with our performance in Specialty Materials. Our results demonstrate the value of our premium glasses, the strength of our innovation portfolio and the continued adoption of glass smartphones backs. For the first quarter, we expect sales to grow mid- to high-single digits year-over-year. We also expect to grow again for the full year despite a mature market. Exactly how much will depend on the adoption rate of our innovations.
In Life Sciences, 2018 sales were $946 million, up 8% year-over-year, with strong fourth quarter sales, as we continue to outpace market growth. Net income was up 23% year-over-year, driven by higher sales volume and manufacturing efficiencies. We expect sales growth to be a low- to mid-single-digit percentage year-over-year for the first quarter and full year.
In summary, 2018 was a terrific year. All of our businesses had strong momentum. And we expect another year of sales, gross margin, net income and EPS growth in 2019. We expect 2019 gross margin dollars, in percent, to expand due to the manufacturing capacity that came online in 2018, our improved utilization of that capacity and the strength of our sales growth. The percentage increase will be somewhat muted due to our continuing investments in 2019 to meet committed demand for Optical Communications, GPFs and automotive glass. We expect to see the sales and margin benefit that means additional investments starting Q2 and build throughout the remainder of the year. In the first quarter, we expect double-digit year-over-year sales, gross margin dollars and net income growth. We expect gross margin percent to improve slightly from Q1 2018. Sequentially, we expect Q1 gross margin dollars and percent to be down due to seasonality in Display and Specialty, as is typical. We expect both to improve in Q2 and to continue climbing throughout the year.
Annual operating expenses should remain consistent with last year as a percentage of sales. For the full year, SG&A is expected to be about 14% of sales, and RD&E between 8% and 8.5%. We expect other income, other operating expenses to be approximately $250 million for the year. Full year of gross equity earnings are expected to be approximately $210 million, predominantly from Hemlock Semiconductor, with the first quarter at approximately $20 million, consistent with typical seasonality. Fourth quarter 2018 gross equity earnings were $152 million.
Our tax rate should be between 21% and 22% for the year and for the quarter. The slide we posted gives you additional modeling details for the first quarter and the full year. In 2019, we expect to spend just over $2 billion of capital expenditures with programs in every market access platform. How much more will depend on how quickly we ramp some of our investments. We'll provide more detail as the year progresses.
Finally, I would like to make a couple of comments on the economic environment, in particular, China. First, as we said previously, we do not expect the material impact from the enacted tariffs. Second, we incorporated consecutive estimates for China end market demand for TVs and autos and our strong guidance and outlook for 2019. If Chinese demand is better, there's an opportunity for upside.
In closing, 2018 demonstrates that we are delivering on our priorities to grow and extend our leadership. Results were outstanding, with 11% sales growth and second half margin expansion. Our strong guidance reflects the rich set of opportunities ahead of us in 2019 and beyond as we continue to grow faster than the market across all of our businesses. We are also rewarding investors by returning more than $12.5 billion to shareholders, which compounds the benefit our future growth for long-term shareholders.
With that, let's move to Q&A. Ann?"
173840,597009556,1641724,"Corning Incorporated, Q4 2018 Earnings Call, Jan 29, 2019",2019-01-29,"Earnings Calls","Corning Incorporated","Executives","Yes. Operator, we're ready for the first question.",8,"Yes. Operator, we're ready for the first question."
173840,597009556,1641724,"Corning Incorporated, Q4 2018 Earnings Call, Jan 29, 2019",2019-01-29,"Earnings Calls","Corning Incorporated","Operator","Our first question comes from the line of Steven Fox with Cross Research.",13,"Our first question comes from the line of Steven Fox with Cross Research."
173840,597009556,1641724,"Corning Incorporated, Q4 2018 Earnings Call, Jan 29, 2019",2019-01-29,"Earnings Calls","Corning Incorporated","Analysts","Wendell, a little bit of an open-ended question for you on Optical. So you obviously are growing a lot faster than markets. I was just curious if you could maybe: one, talk about some of the key end markets you're serving, and what you're expecting in ter",69,"Wendell, a little bit of an open-ended question for you on Optical. So you obviously are growing a lot faster than markets. I was just curious if you could maybe: one, talk about some of the key end markets you're serving, and what you're expecting in terms of spending there? And then, what are the key innovations that are driving the outgrowth and the data center broadband and wireless?"
173840,597009556,1641724,"Corning Incorporated, Q4 2018 Earnings Call, Jan 29, 2019",2019-01-29,"Earnings Calls","Corning Incorporated","Executives","Thanks for the question, Steve. So the primary reason we're growing faster in the market really has 2 layers to it. First of all, you've just seen new networks being put in place that used to be fiber-poor and because of the requirement in our innovations",408,"Thanks for the question, Steve. So the primary reason we're growing faster in the market really has 2 layers to it. First of all, you've just seen new networks being put in place that used to be fiber-poor and because of the requirement in our innovations are going to be fiber-rich. So in a way, for us you can think about is it's not just more networks right but basically it's more us in the network. And that's why you're going to -- you start to see us begin to differentiate from the industry growth. Take something like wireless, as everybody's heard a lot about 4G densification or 5G. Wireless, today, is a relatively fiber lean architecture. As you move to the wireless of the future, you end up adding a lot of glass. So as they talk about wireless networks densifying, right, what that really means is they're glassifying. And so if you compare us to others who already in the wireless market, we were pretty small, but now we're getting pretty big because of our innovations and the requirements a unique fiberoptics expertise offers. You see a similar dynamic happening in data centers, with continued strong growth really at the percent of the load that's cloud-based, which then 10 allows do things like public cloud very large private clouds. You concentrate much more processing power, right, that is shared across many. What then makes it more economical, since you have all of that you have that bandwidth all in one place, to start using fiber where you used to use copper. So once again, a substitution of that. Now all of these things are further fiber dynamic we have a set of unique innovations in all of those areas it will give us an additional advantage versus other players. So that's why you tend to see the difference. Now that you asked another question just where do we expect to see the growth here in these coming years. We expect to see it being driven in access networks, especially with an accent on wireless densification. And then, we do expect to see a hyperscale data center business to continue to grow strongly and has now a new concept of sort of what adds compute and more EDGE cloud to that also opening up some opportunities for us. So sorry for the long answer. Stephen, does that get it at the core of what you're talking about?"
173840,597009556,1641724,"Corning Incorporated, Q4 2018 Earnings Call, Jan 29, 2019",2019-01-29,"Earnings Calls","Corning Incorporated","Analysts","Yes, it does. Just one other clarification. On the hyperscale build, can you just sort of talk about how that plays out? It tends to be lumpy in general. Do these contracts actually smooth out the business for you? And like what's involved in them? If you",51,"Yes, it does. Just one other clarification. On the hyperscale build, can you just sort of talk about how that plays out? It tends to be lumpy in general. Do these contracts actually smooth out the business for you? And like what's involved in them? If you can expand on that?"
173840,597009556,1641724,"Corning Incorporated, Q4 2018 Earnings Call, Jan 29, 2019",2019-01-29,"Earnings Calls","Corning Incorporated","Executives","That's a really good question. So you're right. They tend to be pretty good construction projects that are little like our access networks will that are also civil works projects, they can be kind of lumpy. I think what the new contracts do, it is not so",171,"That's a really good question. So you're right. They tend to be pretty good construction projects that are little like our access networks will that are also civil works projects, they can be kind of lumpy. I think what the new contracts do, it is not so much as changed. The civil works of reality is what putting in these large facilities. As it does is it increases both the size of our business and the number of different areas that we're doing. The number of different customers that were doing it with and the number of different locations we're building at. So by increasing the number of projects, in a way, it becomes a little smoother not because individual projects are lumpy, because they are, but they end up being in slightly different stages at different times. But I am quite sure, at some point, we'll hit a time where -- we'll hit a time where things will go a little lumpier because number of the projects were together."
