"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
252684,650360942,1900080,"Atmos Energy Corporation, Q1 2020 Earnings Call, Feb 05, 2020",2020-02-05,"Earnings Calls","Atmos Energy Corporation","Operator","Greetings and welcome to the Atmos Energy First Quarter 2020 Earnings Conference Call. [Operator Instructions]  As a reminder, this conference is being recorded. It's now my pleasure to introduce your host, Jennifer Hills, Vice President, Investor Relat",44,"Greetings and welcome to the Atmos Energy First Quarter 2020 Earnings Conference Call. [Operator Instructions]  
As a reminder, this conference is being recorded. It's now my pleasure to introduce your host, Jennifer Hills, Vice President, Investor Relations for Atmos Energy. Jennifer, please go ahead."
252684,650360942,1900080,"Atmos Energy Corporation, Q1 2020 Earnings Call, Feb 05, 2020",2020-02-05,"Earnings Calls","Atmos Energy Corporation","Executives","Thank you, Kevin, and good morning, everyone, and thank you for joining us. This call is being webcast live on the Internet. Our earnings release and conference call slide presentation, which we will reference in our prepared remarks, are available at atm",130,"Thank you, Kevin, and good morning, everyone, and thank you for joining us. This call is being webcast live on the Internet. Our earnings release and conference call slide presentation, which we will reference in our prepared remarks, are available at atmosenergy.com under the Investor Relations tab. 
As we review these financial results and discuss future expectations, please keep in mind that some of our discussion might contain forward-looking statements within the meaning of the Securities Act and the Securities Exchange Act. Our forward-looking statements and projections could differ materially from actual results. The factors that could cause such material differences are outlined on Slide 22 and are more fully described in our SEC filings. 
Our first speaker is Chris Forsythe, Senior Vice President and CFO of Atmos Energy. Chris?"
252684,650360942,1900080,"Atmos Energy Corporation, Q1 2020 Earnings Call, Feb 05, 2020",2020-02-05,"Earnings Calls","Atmos Energy Corporation","Executives","Thank you, Jennifer, and good morning, everyone. We appreciate you joining us and your interest in Atmos Energy. Our 2020 fiscal year is off to a solid start. Yesterday, we reported first quarter net income of $179 million or $1.47 per diluted share, in l",741,"Thank you, Jennifer, and good morning, everyone. We appreciate you joining us and your interest in Atmos Energy. Our 2020 fiscal year is off to a solid start. Yesterday, we reported first quarter net income of $179 million or $1.47 per diluted share, in line with our expectations. We reported growth in both our distribution and pipeline and storage businesses, driven by continued customer growth and distribution and rate recovery in both segments. 
Consolidated operating income rose 7% to $253 million in the first quarter. 
Slide 4 summarizes key performance drivers for each of our operating segments. Operating income for our distribution business rose 6.4% to $180 million. Rate increases, driven by increased safety and reliability capital spending provide an incremental $27 million, primarily in our Texas, Louisiana and Mississippi jurisdictions. 
Customer growth contributed an incremental $4 million as we have continued to benefit from the strong population growth in some of our service areas, most notably in the DFW Metroplex. 
For the 12 months ended December 31, we experienced 1.4% net customer growth in our West Texas distribution business and 1.2% net customer growth across our 8-state footprint. Consumption declined modestly due to colder weather last year before weather normalization mechanisms went into effect, and O&M expenses increased $8.6 million associated with the distribution integrity management work and higher employee-related costs. 
Operating income for the pipeline and storage business grew 8% to $73 million, primarily driven by a $13.7 million increase due to the implementation of new rates from our 2019 GRIP filing, partially offset by a $5 million increase in O&M related to the timing of well [indiscernible] work. 
Consolidated capital spending grew 27% [ to $529  ] million with 86% of our spending directed towards safety and reliability spending to modernize our system. We remain on track to invest between $1.85 billion and $1.95 billion this fiscal year. We have a well-established regulatory strategy focused on reducing lag. 
In fiscal 2020, we expect to begin earning a return on 90% of our spending within 6 months of the test period end. Year-to-date, we have implemented $59 million in annualized regulatory outcomes. And currently, we have about $21 million in progress. 
Slides 13 to 18 provide details for all of these filings. Slide 19 outlines our planned activities for the remainder of the fiscal year. Our ability to attract the necessary long-term financing to fund our capital expenditure program while maintaining the strength of our balance sheet is critical to the successful execution of our strategic plan. 
During the first quarter, we received $1.1 billion in net proceeds from long-term financing activities. In October, we issued $3 million of 10-year notes and $500 million of 30-year notes at an all-in effective rate of 3.15%. 
As a result, we were able to reduce our weighted average cost of debt to 4.32%. Our customers continue to benefit from these historically low rates. Additionally, we increased our weighted average maturities to 22 years and do not have a material maturity until 2027. 
From an equity perspective, we settled forward agreements on 2.7 million shares for approximately $259 million in net proceeds, and we executed new forward sales arrangements under our ATM for approximately 340,000 shares with an anticipated net proceeds of approximately $37 million. 
As of December 31, we had about $240 million remaining under equity forward arrangements that must be utilized by the end of our fiscal year. We continue to believe that we can satisfy our fiscal 2020 needs through our ATM program. As a result of this financing activity, our equity capitalization was 58.6% as of December 31, and we finished the quarter with approximately $2 billion of liquidity under our credit facilities and equity forward agreements. The strength of our balance sheet and our 5-year financial plan continues to be recognized by the credit rating agencies. 
In December, Moody's upgraded our long-term debt rating to A1 with a stable outlook, and S&P reaffirmed our A credit rating. Details of our financing activities and our financial profile can be found on Slide 7 through 10. 
Our first quarter performance leaves us well positioned to meet our 6% to 8% earnings per share growth target. As a result, yesterday, we reaffirmed the fiscal 2020 earnings per share guidance in the range of $4.58 and to $4.73 per diluted share. 
Thank you for your time this morning. I will now turn the call over to Kevin Akers for his closing remarks."
252684,650360942,1900080,"Atmos Energy Corporation, Q1 2020 Earnings Call, Feb 05, 2020",2020-02-05,"Earnings Calls","Atmos Energy Corporation","Executives","Thank you, Chris. As you can see from our fiscal first quarter results, we are off to a good start to the year as we remain on track to meet our capital spending goals and earnings growth targets. From an operational perspective, we remain focused on exec",590,"Thank you, Chris. As you can see from our fiscal first quarter results, we are off to a good start to the year as we remain on track to meet our capital spending goals and earnings growth targets. From an operational perspective, we remain focused on executing our proven investment strategy of operating safely and reliably, while we modernize our natural gas distribution transmission, storage systems as well. We are continuing our investments in people, process and technologies that will enable Atmos Energy to scale safely and efficiently while investing $10 billion to $11 billion over the next 5 years. I would like to highlight one of our larger investments, the Bethel Salt Dome project, which we began in fiscal 2019 and is estimated to be completed in 2025. As we've discussed previously, we plan to invest between $100 million and $120 million to develop a third Salt Dome cabin at our Bethel storage facility. This project will enable us to safely perform regulatory compliance work on our 2 existing caverns and meet the growing demand in the North Texas market. 
The construction of the power and leaching facilities have been completed, and we began the leaching process in mid-December. The leaching process is estimated to take between 25 and 30 months, and we anticipate finishing our required compliance work on all 3 caverns and have them in service by late 2025. Natural gas is an important driver of economic growth in this country, and we have seen our industrial business grow in our Kentucky mid states and Mississippi divisions, particularly in the automotive manufacturing sector and in the spirits industry. 
Over the last few quarters, clean, efficient and affordable natural gas lead transport has supported the expansion of existing facilities and fuel new industrial project development. Once these expansion projects fully come online over the next few years, we expect to deliver an additional 2 Bcf annually to these customers. Additionally, we continue to expand deliveries to CNG customers with the addition of a new customer in Colorado. As a result, our customer expects to replace nearly 90,000 gallons of diesel fuel annually. 
During the first quarter, we continued to enhance our sustainability reporting capabilities. In December, we launched a corporate responsibility section on our website to provide greater disclosure of our focus on safety and long-term sustainability and to highlight how we are working to meet the needs of our various stakeholders. 
We also published our second corporate responsibility and sustainability report as well as an updated methane emissions report, both of which can be found in the corporate responsibility section under reports. The continued modernization of our natural gas distribution, transmission and storage systems will help ensure all residential, commercial, public authority and industrial customers continue to have access to reliable, affordable, abundant and efficient natural gas. 
To support this effort, last week, we were pleased to announce that we've joined the One Future coalition, a voluntary alliance of leading companies across the natural gas supply chain focused on technology and policy to drive continued improvement in reduction of methane emissions. 
We look forward to working with One Future as we move toward achieving our target of a 50% reduction in methane emissions by 2035. 
In closing, I want to thank our [ 1,500  ] employees who are dedicated every day to safely operating our system, providing exceptional customer service and bring back to the communities where we live and work. We appreciate your time this morning, and now we will take any questions you may have."
252684,650360942,1900080,"Atmos Energy Corporation, Q1 2020 Earnings Call, Feb 05, 2020",2020-02-05,"Earnings Calls","Atmos Energy Corporation","Operator","[Operator Instructions] Our first question is coming from Richard Ciciarelli from Bank of America.",14,"[Operator Instructions] Our first question is coming from Richard Ciciarelli from Bank of America."
252684,650360942,1900080,"Atmos Energy Corporation, Q1 2020 Earnings Call, Feb 05, 2020",2020-02-05,"Earnings Calls","Atmos Energy Corporation","Analysts","Can you guys hear me okay? I just had a question on the O&M profile. It seems like it was a sizable uptick this year. And I appreciate some of that was for like the increased employees due to the faster growth. But just curious like how you intend to shap",68,"Can you guys hear me okay? I just had a question on the O&M profile. It seems like it was a sizable uptick this year. And I appreciate some of that was for like the increased employees due to the faster growth. But just curious like how you intend to shape the O&M curve through the outlook, given like the 2% to 3% growth that you're managing towards?"
252684,650360942,1900080,"Atmos Energy Corporation, Q1 2020 Earnings Call, Feb 05, 2020",2020-02-05,"Earnings Calls","Atmos Energy Corporation","Executives","Yes. Some of that -- a couple of things. We get 2% to 3% -- 2.5% to 3.5% that's baked into our 5-year plan through 2024. We had already -- and that's a CAGR over that 5-year period, so we had already anticipated. As you noted, an uptick in O&M this year,",141,"Yes. Some of that -- a couple of things. We get 2% to 3% -- 2.5% to 3.5% that's baked into our 5-year plan through 2024. We had already -- and that's a CAGR over that 5-year period, so we had already anticipated. As you noted, an uptick in O&M this year, as a result of the additional hiring that we had. Obviously, in the first quarter as you try to turn that out over 4 quarters, that can be a little bit difficult. We did have some timing, particularly in our pipeline and storage segment around some well integrity work that was kind of accelerated more into the first quarter. So when we look at the O&M guidance that we published for fiscal 2020, we feel like we are still on track to achieve that at this point in time."
252684,650360942,1900080,"Atmos Energy Corporation, Q1 2020 Earnings Call, Feb 05, 2020",2020-02-05,"Earnings Calls","Atmos Energy Corporation","Operator","Our next question is coming from Insoo Kim from Goldman Sachs.",11,"Our next question is coming from Insoo Kim from Goldman Sachs."
252684,650360942,1900080,"Atmos Energy Corporation, Q1 2020 Earnings Call, Feb 05, 2020",2020-02-05,"Earnings Calls","Atmos Energy Corporation","Analysts","My first question is that the pipeline segment. When you look at the year-over-year decrease in transportation volumes, how does that magnitude compare versus your expectations? I know you've expected some of that given the online of the Gulf Coast expres",72,"My first question is that the pipeline segment. When you look at the year-over-year decrease in transportation volumes, how does that magnitude compare versus your expectations? I know you've expected some of that given the online of the Gulf Coast express pipeline and whatnot. But how does that magnitude like fare versus your expectation? And how does that place you in terms of the expected growth of the segment for this year?"
252684,650360942,1900080,"Atmos Energy Corporation, Q1 2020 Earnings Call, Feb 05, 2020",2020-02-05,"Earnings Calls","Atmos Energy Corporation","Executives","Yes, it's pretty much in line with our expectations. I mean, honestly, we saw volumes pick up just a little bit versus what we expected, but pricing was a little bit down. So net-net, we were in line with expectations. And as we look forward, we'll contin",102,"Yes, it's pretty much in line with our expectations. I mean, honestly, we saw volumes pick up just a little bit versus what we expected, but pricing was a little bit down. So net-net, we were in line with expectations. And as we look forward, we'll continue to monitor the market conditions. You're very well aware of the supply and demand dynamics are ongoing in the Permian Basin, and we'll just keep an eye on that. But at this point, we still think that our net income as well as our guidance, that means that we have out there is still good."
