"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
285544,599266419,1923464,"L Brands, Inc., Q4 2020 Earnings Call, Feb 27, 2020",2020-02-27,"Earnings Calls","Bath & Body Works, Inc.","Operator","Good morning. My name is Amy, and I will be your conference operator today. At this time, I would like to welcome everyone to the L Brands Fourth Quarter 2019 Earnings Conference call. Please be advised that today's conference is being recorded. [Operator",65,"Good morning. My name is Amy, and I will be your conference operator today. At this time, I would like to welcome everyone to the L Brands Fourth Quarter 2019 Earnings Conference call. Please be advised that today's conference is being recorded. [Operator Instructions]
I will now turn the call over to Ms. Amie Preston, Chief Investor Relations Officer of L Brands. You may begin."
285544,599266419,1923464,"L Brands, Inc., Q4 2020 Earnings Call, Feb 27, 2020",2020-02-27,"Earnings Calls","Bath & Body Works, Inc.","Executives","Thanks, Amy. Good morning, everyone, and welcome to L Brands' Fourth Quarter Earnings Conference Call for the period ending Saturday, February 1, 2020. As a matter of formality, I need to remind you that any forward-looking statements we may make today",116,"Thanks, Amy. Good morning, everyone, and welcome to L Brands' Fourth Quarter Earnings Conference Call for the period ending Saturday, February 1, 2020. 
As a matter of formality, I need to remind you that any forward-looking statements we may make today are subject to our safe harbor statement found in our SEC filings and in our press releases. Our fourth quarter earnings release, additional commentary and earnings presentation are available on our website, lb.com. All of the results discussed in today's call are adjusted results and exclude the significant items described in our press release. 
Stuart Burgdoerfer, EVP and CFO, and I will handle the call today. Thanks. And now I'll turn the call to Stuart."
285544,599266419,1923464,"L Brands, Inc., Q4 2020 Earnings Call, Feb 27, 2020",2020-02-27,"Earnings Calls","Bath & Body Works, Inc.","Executives","Thanks, Amie, and good morning, everyone. I'd like to take a few minutes before we open up the call for your questions to highlight some key points related to the transformative transaction with Sycamore Partners that we announced last week. As you know",650,"Thanks, Amie, and good morning, everyone. I'd like to take a few minutes before we open up the call for your questions to highlight some key points related to the transformative transaction with Sycamore Partners that we announced last week. 
As you know, last Thursday, we announced the sale of 55% of the Victoria's Secret Lingerie, Victoria's Secret Beauty and PINK global businesses, collectively, Victoria's Secret to Sycamore Partners for proceeds of approximately $525 million. The transaction is the result of a comprehensive review of a broad range of options undertaken by the Board with input from outside financial advisers designed to best position our brands for long-term success and to drive shareholder value. We believe this transaction will highlight the value and performance of the stand-alone Bath & Body Works business, enhanced management focus and reduce structural complexity. 
Additionally, we believe that our private entity structure creates the best environment for a Victoria's Secret turnaround. While we recognize that Victoria's Secret's performance has deteriorated meaningfully over the last several years, the brand leads the lingerie category in North America and has high levels of global awareness. 
We believe that Sycamore, which has substantial experience in the retail industry, will bring a fresh perspective and greater focus to the business. We are pleased that by retaining a significant ownership stake, our shareholders will have the ability to meaningfully participate in the upside potential of this iconic brand. 
Andrew Meslow, former Chief Operating Officer of Bath & Body Works, has been promoted to Chief Executive Officer. He's been with the business for 15 years and has an exceptional understanding of the business and its customers. Nick Coe, previously Chief Executive Officer of Bath & Body Works, has been named Vice Chairman, a Bath & Body Works brand strategy and new ventures. In his new role, he will focus more intently on the strategic position of the business, the evolution of the brand, product development and new ventures and acquisitions. 
We are confident that this succession plan, which leverages the unique partnership established by Nick and Andrew to advance the long-term strategic direction of the brand, is the best arrangement for the business. 
Upon the close of the transaction, which is expected to occur in the second quarter, Les Wexner will step down as CEO and Chairman of L Brands to become Chairman Emeritus, remaining as a member of the Board. We intend to use the proceeds from the sale as well as approximately $500 million in excess balance sheet cash to reduce debt. There are also about $2.5 billion in balance sheet lease liabilities related to Victoria's Secret. After accounting for the expected debt and lease liability declines on an adjusted debt to EBITDAR basis, we expect that our overall leverage ratio will be close to its current level. 
We know that you have many questions about what the new stand-alone Bath & Body Works business will look like from a financial perspective. In the investor presentation, which we made available with the transaction announcement, we have allocated our international business and [ massed ] functions to Victoria's Secret and Bath & Body Works for the past 5 years. 
Over the next several months, we will be reviewing the functional and corporate support required for the stand-alone Bath & Body Works business with a view to simplifying our existing structure and recognizing that we will still be supporting the Victoria's Secret business through transition services agreements with various terms, which will minimize near-term dissynergies. 
The management team, in conjunction with our Board, we'll also be evaluating the capital structure and cash priorities for the stand-alone Bath & Body Works business. It is our intent, and we have greater clarity on the above, to conduct meetings with analysts and investors and provide the financial characteristics and growth plans for the stand-alone Bath & Body Works business. 
Thanks, and over to you, Amie."
285544,599266419,1923464,"L Brands, Inc., Q4 2020 Earnings Call, Feb 27, 2020",2020-02-27,"Earnings Calls","Bath & Body Works, Inc.","Executives","Thanks, Stuart. That concludes our prepared comments. At this time, we'd be happy to take any questions you might have. [Operator Instructions] And now I'll turn it back over to Amy.",31,"Thanks, Stuart. That concludes our prepared comments. At this time, we'd be happy to take any questions you might have. [Operator Instructions] And now I'll turn it back over to Amy."
285544,599266419,1923464,"L Brands, Inc., Q4 2020 Earnings Call, Feb 27, 2020",2020-02-27,"Earnings Calls","Bath & Body Works, Inc.","Operator","[Operator Instructions] Your first question comes from the line of Omar Saad with Evercore ISI.",15,"[Operator Instructions] Your first question comes from the line of Omar Saad with Evercore ISI."
285544,599266419,1923464,"L Brands, Inc., Q4 2020 Earnings Call, Feb 27, 2020",2020-02-27,"Earnings Calls","Bath & Body Works, Inc.","Analysts","I was wondering, Stuart, if you could talk a little bit more about the rationale behind the Victoria's Secret spinoff. Was there a lot of interest in the brand? It's such an iconic asset, and it's just been such a big part of the LB franchise. And any tho",106,"I was wondering, Stuart, if you could talk a little bit more about the rationale behind the Victoria's Secret spinoff. Was there a lot of interest in the brand? It's such an iconic asset, and it's just been such a big part of the LB franchise. And any thoughts -- maybe a little bit more detail or any further thoughts on how the structure of that brand could evolve in a private environment that could obviously [indiscernible] shareholders could still benefit from. Are there certain specific things you guys see in that business that will help it operate better in a more of a private environment?"
285544,599266419,1923464,"L Brands, Inc., Q4 2020 Earnings Call, Feb 27, 2020",2020-02-27,"Earnings Calls","Bath & Body Works, Inc.","Executives","Yes. Thanks for the question, Omar. So there was significant interest in the brand for the reasons I think that you are in and the capital markets and people generally understand. With that said, as you know, the results of the brand, including the financ",457,"Yes. Thanks for the question, Omar. So there was significant interest in the brand for the reasons I think that you are in and the capital markets and people generally understand. With that said, as you know, the results of the brand, including the financial results, have been challenged, and that pattern continued in 2019 and is projected to continue certainly for a portion of 2020. And so while an iconic brand with leading positions in key markets financially, as you know, has been reported financially, the business has gone through a very challenging period financially. And again, that continued and accelerated in some regards in the fourth quarter. 
And so management with advice from financial and legal advisers and heavy input from the Board as appropriate, a very substantial process was undertaken, and from that, got to the conclusions of a sale of a majority interest and certainly had interest from a number of parties, but through a process that you would understand would occur got to the deal that we've disclosed with Sycamore. 
With respect to the potential of the business and how we thought about it, we felt strongly about retain a stake. As you mentioned, this is an iconic brand with very strong positions. And with new leadership and new perspective coming from Sycamore who has a lot of experience in the retail sector, as you know, we believe that this business can be stabilized and turned around. And that significant value can be created and specifically for L Brands shareholders through that 45% retained stake. That's part of the sale of the majority interest. 
So a thorough process, thoughtful process, meaningful interest, retaining a stake to participate in upside. We have a history in our own past with respect to other transactions that we've entered into in the rationalization of our portfolio, whether it was alliance data systems or express or other businesses, the sourcing business for [ massed ], warrants that we had on [indiscernible] all kinds of different ways that we retained interest in businesses sold, majority interest sold. And in each of those cases, L Brands shareholders benefited from the value created monetized through that retained interest. So it's a terrific business. We will be providing significant support to the business, as mentioned, through these transition service arrangements doing so to try to minimize dissynergies that could otherwise occur if one rushed with respect to those things. 
So we think we've got a good form of transaction. We're energized about the future. We have some experience, importantly, with Sycamore, good experience with them as an organization. And so the combination of all those things, again, through a thorough process overseen by the Board has got us to this outcome."
285544,599266419,1923464,"L Brands, Inc., Q4 2020 Earnings Call, Feb 27, 2020",2020-02-27,"Earnings Calls","Bath & Body Works, Inc.","Operator","Your next question comes from the line of Oliver Chen with Cowen & Company.",13,"Your next question comes from the line of Oliver Chen with Cowen & Company."
285544,599266419,1923464,"L Brands, Inc., Q4 2020 Earnings Call, Feb 27, 2020",2020-02-27,"Earnings Calls","Bath & Body Works, Inc.","Analysts","Regarding VS strategy, you previously identified bras and marketing as big priorities. Has the transaction change the mindset or timing? And what are your thoughts with a strategy around that as well as digital as you contemplate the priorities?",39,"Regarding VS strategy, you previously identified bras and marketing as big priorities. Has the transaction change the mindset or timing? And what are your thoughts with a strategy around that as well as digital as you contemplate the priorities?"
285544,599266419,1923464,"L Brands, Inc., Q4 2020 Earnings Call, Feb 27, 2020",2020-02-27,"Earnings Calls","Bath & Body Works, Inc.","Executives","Thanks, Oliver. In many respects, many of the elements of the strategies that we've talked about and the opportunities that we've talked about, I would expect, Oliver will continue and things as fundamental as the opportunities around marketing or the gro",232,"Thanks, Oliver. In many respects, many of the elements of the strategies that we've talked about and the opportunities that we've talked about, I would expect, Oliver will continue and things as fundamental as the opportunities around marketing or the growth in the core category of bras for Victoria's Secret Lingerie, for that matter, PINK, those strategies will continue. I think in some respects, we might see differences in execution, if you will, in terms of how those opportunities are pursued. But as indicated, the transaction was signed. The definitive agreements, I should say, were signed a week ago at 3:15 in the morning, and I happen to know that. And the time between signing and closing will be roundly 3 months subject to regulatory approvals and other work. 
And so in terms of specifically, what will change, obviously, the transaction needs to close. And the current leadership of the business will engage appropriately, and some of that's already begun with Sycamore as to a relying of where the business is and what its best opportunities are. And from that, as we move through -- as the business, I should say, moves through 2020, a rearticulation of the strategy and changes that may come from new perspective will become apparent and evolve as the business moves through over the next 12 to 18 months. That would be my expectation -- our expectation."
