"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
972190,706143483,2239417,"Accenture plc, Q2 2021 Earnings Call, Mar 18, 2021",2021-03-18,"Earnings Calls","Accenture plc","Operator","Ladies and gentlemen, thank you for standing by. Welcome to Accenture's Second Quarter Fiscal 2021 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. I would now like to turn the conference over to your hos",52,"Ladies and gentlemen, thank you for standing by. Welcome to Accenture's Second Quarter Fiscal 2021 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. I would now like to turn the conference over to your host, Managing Director, Head of Investor Relations, Ms. Angie Park. Please go ahead."
972190,706143483,2239417,"Accenture plc, Q2 2021 Earnings Call, Mar 18, 2021",2021-03-18,"Earnings Calls","Accenture plc","Executives","Thank you, operator, and thanks, everyone, for joining us today on our second quarter fiscal 2021 earnings announcement. As the operator just mentioned, I'm Angie Park, Managing Director and Head of Investor Relations. On today's call, you will hear fro",301,"Thank you, operator, and thanks, everyone, for joining us today on our second quarter fiscal 2021 earnings announcement. As the operator just mentioned, I'm Angie Park, Managing Director and Head of Investor Relations. 
On today's call, you will hear from Julie Sweet, our Chief Executive Officer; and KC McClure, our Chief Financial Officer. 
We hope you've had an opportunity to review the news release we issued a short time ago. 
Let me quickly outline the agenda for today's call. Julie will begin with an overview of our results. KC will take you through the financial details, including the income statement and balance sheet, along with some key operational metrics for the second quarter. Julie will then provide a brief update on our market positioning, before KC provides our business outlook for the third quarter and full fiscal year 2021. We will then take your questions before Julie provides a wrap-up at the end of the call. 
Some of the matters we'll discuss on this call, including our business outlook, are forward-looking, and as such, are subject to known and unknown risks and uncertainties, including, but not limited to, those factors set forth in today's news release and discussed in our annual report on Form 10-K and quarterly reports on Form 10-Q and other SEC filings. These risks and uncertainties could cause actual results to differ materially from those expressed in this call. 
During our call today, we will reference certain non-GAAP financial metrics, which we believe provide useful information for investors. We include reconciliations of non-GAAP financial measures where appropriate to GAAP in our news release or in the Investor Relations section of our website at accenture.com. As always, Accenture assumes no obligation to update the information presented on this conference call. 
Now let me turn the call over to Julie."
972190,706143483,2239417,"Accenture plc, Q2 2021 Earnings Call, Mar 18, 2021",2021-03-18,"Earnings Calls","Accenture plc","Executives","Thank you, Angie, and thank you, everyone, for joining us. Today, we are proud to announce outstanding financial results for the second quarter of fiscal '21 and our return to pre-COVID level financial results a quarter earlier than we expected and with",492,"Thank you, Angie, and thank you, everyone, for joining us. 
Today, we are proud to announce outstanding financial results for the second quarter of fiscal '21 and our return to pre-COVID level financial results a quarter earlier than we expected and with a tough compare. 
Let's first go back 12 months ago, on March 19, only 8 days after the pandemic was declared, when we were all together to announce our outstanding fiscal year '20 Q2 financial results. Results you may not remember, because at the time, we were all focused on the go-forward potential impact of the pandemic. 
In Q2 of fiscal year '20, we had 8% revenue growth in local currency, our then highest bookings ever of $14.2 billion, and strong underlying profitability and free cash flow. We also announced that 18 clients that quarter had bookings over $100 million. 
With this backdrop of fiscal year '20 Q2, the significance of this Q2's results in fiscal year '21 becomes even more clear. We have delivered 5.4% revenue growth in local currency, which includes a reduction of 2 percentage points from a decline in revenue from reimbursable travel costs. Meaning, apples-to-apples, 5.4% is in the zone of fiscal year '20 Q2 revenue when you exclude the travel costs related revenue. 
We have delivered bookings of $16 billion, beating our previous record set in Q2 last year by $1.8 billion. And we have delivered strong profitability and free cash flow. This quarter, 18 clients had bookings over $100 million and we continued to take market share faster than pre-COVID. In H1, we have accelerated our investment in B&A, with approximately $1.1 billion of capital deployed. And we are increasing our programmatic D&A investment to at least $2 billion for FY '21, from the $1.7 billion we previously communicated. 
And for the last 12 months, we have remained consistent. We gave guidance every quarter, which we met or beat. We deliberately invested in our people and preserved our talent to continue to serve our clients as demand came back. And we continued to significantly invest in our business and our communities. And throughout, we have lived our core values, including maintaining without pause our commitment to make more progress on diversity and inclusion and sustainability. 
These financial results reflect these choices, the strength of our core values and the power of our laser focus on creating client value and being a trusted partner, as well as our incredibly talented people, strong ecosystem relationships, and the resilience of our growth strategy as well as the substantial investments we have made, year in and year out, since we set out to be the leader in digital cloud and security and continuous innovation. They also reflect the operational rigor and discipline that long has been a hallmark of our success. 
I want to thank our people for their hard work and continued dedication to our clients and for delivering on our commitments. 
KC, over to you."
972190,706143483,2239417,"Accenture plc, Q2 2021 Earnings Call, Mar 18, 2021",2021-03-18,"Earnings Calls","Accenture plc","Executives","Thank you, Julie, and thanks to all of you for taking the time to join us on today's call. We were very pleased with our overall results in the second quarter, which exceeded our expectations and reflects strong momentum across our business. We are part",1111,"Thank you, Julie, and thanks to all of you for taking the time to join us on today's call. 
We were very pleased with our overall results in the second quarter, which exceeded our expectations and reflects strong momentum across our business. We are particularly pleased with our record new bookings and strong revenue growth, which demonstrates our leading position in the market as a trusted partner to deliver value for our clients. 
Based on the strength of our second quarter results and the confidence in the second half of the fiscal year, we are increasing all elements of our full year outlook, which I will cover in more detail later in our call. 
Now let me begin by summarizing a few of the highlights for the quarter. 
Revenues grew 5.4% in local currency and continued to include a reduction of approximately 2 percentage points from a decline in revenues from reimbursable travel costs. Q2 revenues were nearly $140 million above our guided range, driven by broad-based over-delivery across all dimensions: markets, services and industries, as our business built back even faster than anticipated. We also continued to extend our leadership position, with growth significantly above the market. We saw a broad improvement in industry trends. Approximately 50% of our revenues came from 7 industries that were less impacted by the pandemic, which, in aggregate, accelerated this quarter to low double-digit growth. At the same time, we saw continued improvement from clients in highly impacted industries, which collectively represents over 20% of our revenues and declined mid-single digits. 
Operating margin was 13.7%, an increase of 30 basis points for the quarter and 40 basis points year-to-date, reflecting strong underlying profitability, as we continued to invest in our business and our people, including the onetime bonus we just announced. We continued to benefit from lower spend on travel, meetings and events. And we delivered very strong EPS of $2.03, up 10% over fiscal '20, after adjusting both years for gains on an investment. And finally, we generated significant free cash flow of $2.4 billion in the quarter and $4 billion year-to-date. 
We continue to execute on our strategic capital allocation objective, with roughly $3.1 billion returned to shareholders via dividends and share repurchases year-to-date. 
We've made investments of $1.1 billion in acquisitions, primarily attributed to 19 transactions in the first half of the year. And we expect to invest at least $2 billion in acquisitions this fiscal year. 
With that, let me turn to some of the details, starting with new bookings. 
New bookings were a record at $16 billion, representing a 13 billion -- a 13% growth in U.S. dollar over previous record in Q2 of last year. We had very strong overall book-to-bill of 1.3 in the quarter and 1.2 year-to-date. Consulting bookings were $8 billion, a record high, with a book-to-bill of 1.2. Outsourcing bookings were also a record at $8 billion, with a book-to-bill of 1.4. 
Similar to last quarter, our bookings were driven by both technology services and operations. We were pleased with the strength of our bookings in strategy and consulting, with a book-to-bill of 1.2. 
Turning now to revenues. 
Revenues for the quarter were $12.1 billion, an 8% increase in U.S. dollars and 5.4% in local currency, including a reduction of approximately 2% from a decline in revenues from reimbursable travel costs. Consolidated revenues for the quarter were $6.4 billion, up 4% in U.S. dollars and up 1% local currency, including a reduction of approximately 3% from a decline in revenues from reimbursable travel costs. Outsourcing revenues were $5.6 billion, up 14% in U.S. dollars and 11% in local currency. 
Taking a closer look at our service dimensions. Both operations and technology services grew double-digits. As expected, strategy and consulting services declined high single-digits. And we expect strategy and consulting to return to growth in Q3. 
Turning to our geographic markets. The industry dynamics that I mentioned earlier continued to play out in a similar manner across all 3 markets. 
In North America, revenue growth was 7% in local currency. In Europe, revenues grew 3% in local currency, driven by mid-single-digit growth in Italy and the U.K. In growth markets, we delivered 6% revenue growth in local currency, driven by double-digit growth in Japan. 
Moving down the income statement. Gross margin for the quarter was 29.7% compared with 30.2% for the same period last year. Sales and marketing expense for the quarter was 9.4% compared with 10.4% for the second quarter last year. General and administrative expenses was 7.6% compared to 6 point -- excuse me, 6.6% compared to 6.4% for the same quarter last year. Operating income was $1.7 billion in the second quarter, reflecting a 13.7% operating margin, up 30 basis points compared with Q2 last year. 
Before I continue, as a reminder, in Q2 last year, we recognized an investment gain, which impacted our tax rate and increased EPS by $0.07. This quarter, we again recognized an investment gain, which impacted our tax rate and increased EPS by $0.21. 
The following comparisons exclude these impacts and reflect adjusted results. Our adjusted effective tax rate for the quarter was 17.5% compared with the adjusted effective tax rate of 17.1% for the second quarter of last year. Adjusted diluted earnings per share were $2.03 compared with an adjusted EPS of $1.84 in the second quarter last year. This reflects a 10% year-over-year increase. Days service outstanding were 34 days compared to 38 days last quarter and 39 days in the second quarter of last year. 
Free cash flow for the quarter was $2.4 billion, resulting from cash generated by operating activities of $2.5 billion, net of property and equipment additions of $93 million. Our cash balance at February 28 was $9.2 billion compared with $8.4 billion at August 31. 
With regards to our ongoing objective to return cash to shareholders, in the second quarter, we repurchased or redeemed 4.6 million shares for $1.2 billion at an average price of $255.29 per share. As of February 28, we had approximately $5 billion of share repurchase authority remaining. Also in February, we paid a quarterly cash dividend of $0.88 per share for a total of $561 million. This represented a 10% increase over last year. And our Board of Directors declared a quarterly cash dividend of $0.88 per share, to be paid on May 14, a 10% increase over last year. 
So at the halfway point of fiscal '21, we feel really good about our results to date and our positioning for the remainder of the year, realizing that the pace of recovery is hard to accurately predict. 
Now let me turn it back to Julie."
972190,706143483,2239417,"Accenture plc, Q2 2021 Earnings Call, Mar 18, 2021",2021-03-18,"Earnings Calls","Accenture plc","Executives","Thank you, KC. Let me start with the environment. We continued to see compressed transformation, where companies have to simultaneously transform multiple parts of their enterprise and reskill their people in what previously would have been sequential p",1653,"Thank you, KC. 
Let me start with the environment. We continued to see compressed transformation, where companies have to simultaneously transform multiple parts of their enterprise and reskill their people in what previously would have been sequential programs. They're doing so to replatform their businesses in the cloud, address cost pressures, build resilience and security, adjust their operations and customer experiences, and find new sources of growth. 
COVID has hit a giant fast forward button to the future. And we believe the demand to innovate at unprecedented speed and scale with rapid adoption of cloud, AI and other disruptive technologies is accelerating. 
For digital leaders, we see them no longer strictly competing for market share, but to build their vision of the future faster than the competition. And for digital laggards, they are determined to not simply catch up, but to leapfrog. 
While COVID has accelerated the demand, the reality is that the extent of transformation ahead is enormous. The move from approximately 20% to 80% in the cloud alone is a huge undertaking. And it is just the start, as companies will then continue to invest to grow and innovate on their new cloud foundations, which leads me to the role we are playing. 
In Q2, our engines of growth across Accenture have lowered to the [ life ] to meet these needs of our clients, and we see strong momentum going into Q3. I will share some color and examples. 
We called the once in a digital era replatforming of businesses into the cloud in September 2020, when we created Accenture Cloud First to bring industry cloud and state-of-the-art change management and transformation together. We saw this quarter's strong double-digit growth in cloud overall as well as the subset of Accenture Cloud First, which growth was even higher. Intelligent platform services, which is essential to building the digital core of our clients, is back to high single-digit growth as companies resume this critical aspect of their transformation. Applied intelligence, with our data and AI solutions, and security, both sizable, but still in the early stages of the scale we expect long-term, both had strong double-digit growth in Q2. Operations grew double-digits as companies seek to digitize their enterprises, leveraging our deep industry and functional expertise in AI-driven SynOps platform. Interactive improved and grew high single-digits, as companies continue to shift to digital channels need cost efficiencies around sales and marketing to invest in new capabilities, seek more data-driven marketing campaigns, and compete for customers and employees on the experience they provide. 
Industry X, which is helping diversify our sources of revenue in the enterprise, grew strong double-digits, driven by the need for product and engineers to accelerate the time to market of smarter and more sustainable products, and the need to enhance the efficiency and flexibility of manufacturing facilities, and the ability to interconnect machines and operate remotely. 
These engines of growth are multi-service, bringing the best of Accenture's strategy in consulting, interactive technology and operation services together to create value. We are distinctive because no other competitor has our scale and breadth of services which allows us to seamlessly serve the different dimensions of compressed transformations. We also are able to give our clients speed and cost levers through our managed services to digitize using our assets and platforms and address cost pressures. 
Furthermore, our distinctive capabilities in industry, innovation and investment are clear differentiators. Our strong strategy and consulting practitioners bring deep industry expertise to all functions of the enterprise and help bring together our services to deliver to our clients, often informed by cross-industry insights, such as for payments and omnichannel engagement. 
Our ability and commitment to consistently invest in acquisitions, R&D and our people is unmatched in our industry. And our clients know that through our investment and focus on innovation, we will help future-proof them, such as our innovation in emerging technologies, like the Work Accenture Labs is doing, testing applications using neuromorphic computing, where circuits are modeled after systems in the human brain and nervous system to deliver new AI capabilities, and our 360-degree value strategy, which seeks to bring talent upskilling, diversity and inclusion, and sustainability to our work, is resonating with our clients as they seek to make progress as they transform. 
2 great examples of compressed transformation, strong leaders and our 360-degree value strategy are AIG and Shiseido. We are partnering with AIG, a leading global insurance organization, to help them drive their AIG 200 Program, which is designed to achieve underwriting excellence, modernize their operating infrastructure, enhance user and customer experience, and become a more unified company. This quarter, we acquired AIG's Shared Services operations, which we will transform to serve AIG to create a modern digital shared services platform with end-to-end processes that will improve the user experience using our SynOps platform. And consistent with our 360-degree value strategy, we are investing in upskilling our new employees. 
We have entered into a strategic partnership with Shiseido, a leading global beauty company headquartered in Japan. Shiseido has launched a fundamental business transformation aiming to become a global leader in premium skin beauty by 2030 under its new medium to long-term strategy, Win 2023 and Beyond. We are partnering with Shiseido to accelerate digital transformation and create personalized and seamless customer experiences, design, develop and implement a cloud-based system that will help it adopt processes that enable continuous financial reporting that are forecasting accuracy and more precise inventory management. We are helping them use AI, analytics and automation to create new business value and helping their employees gain high level digital skills. 
We are working with Spec Savers, the U.K. base leader in optometry, audiology and other health care services, to reimagine and transform their entire IT organization through our living systems approach. We are leveraging new ways of working in agile foundations to capture efficiencies and reduce costs, while positioning the company for growth and diversification to drive business resilient. 
With our managed security services, we are helping a central bank in Asia to strengthen their resilience against cyber threats and builds in the flexibility to securely grow their payment transactions from millions to billions at speed and scale. 
Our Industry X team is helping Formula One relaunch its F1 TV Grand Prix racing product. By using the cloud-based Accenture video solution, live streams from 20 trackside and onboard cameras and a growing range of connected devices, we are continuously innovating to embed intelligence in their platform to deliver the best possible viewer experience. 
Now let me turn to Accenture's greatest and undeniable competitive advantage, our nearly 537,000 people. They are at the heart of our outstanding results. 
Fundamental to our core values is to care deeply for our people, and we place significant importance on providing a meaningful employee experience. For almost every person around the world, living and working during the pandemic has been challenging. To help our people succeed both professionally and personally during this time, we have put in place many programs. For example, we are partnering with Bright Horizons in the U.S. through development of an innovative program for school aged children to receive proctoring for their virtual studies and homework. We have extended telemedicine to parents of our employees in India. And we are providing industry-leading mental wellness programs, including Thriving Mind, a holistic well-being program that teaches us about the science behind stress and how to recharge your brain's battery. We are proud that more than 160,000 of our people have completed the program with impressive results, including nearly 9 out of 10 participants reported feeling significantly better able to handle challenges in the workplace. 
Equally important is our focus on vibrant career paths. We have maintained pay increases, bonuses and promotions, both in our normal December time period as well as an added round of promotions in February, enabling us to promote in total at the same level as the prior year. Additionally, we will expand our regular midyear promotions this coming June to include managing directors, a first in our company's history, as one more way, we continue to create new opportunities for our people. 
And today, we are announcing a special onetime bonus for all of our people below managing director to recognize the contributions and dedication to our clients during this difficult year. 
Continuous learning also is a defining feature of Accenture. We continued to invest in our people and their market-leading skills, with a 28% increase in training hours and 25% increase in hours per person just this quarter. 
And coming back to our ability to attract talent. We know that people want to work for companies that not only create value, but also lead with values. We are proud this quarter to have been named for the 14th consecutive year on Ethisphere's World Plus Ethical Companies list and for the 19th consecutive year on Fortune's World's Most Admired Companies. 
Our strategic decision to preserve our talent last year, including our recorders -- recruiters, provided a strong base to meet the surge in demand we have experienced. Recruiting, hiring and managing supply and demand has always been a core competency. And we are confident in our ability to attract talent and continue to meet the increased demand. We increased hiring approximately 50% both year-over-year and since last quarter. And we've onboarded over 100,000 people virtually over the last 12 months, with new innovative approaches. 
I would like to recognize the extraordinary leadership and efforts of our Chief Leadership and Human Resources Officer, Ellen Schuck, and her out standing team around the globe for how they have helped care for our people throughout the pandemic, guided us through health and safety of COVID, are ensuring that we are continuously reskilling our people, and have helped us manage and realize the incredible expansion of our talent to meet the needs of our clients. 
Over to you, KC, for a look ahead."
972190,706143483,2239417,"Accenture plc, Q2 2021 Earnings Call, Mar 18, 2021",2021-03-18,"Earnings Calls","Accenture plc","Executives","Thanks, Julie. Let me now turn to our business outlook. For the third quarter of fiscal '21, we expect revenues to be in the range of $12.55 billion to $12.95 billion. This assumes the impact of FX will be about positive 4.5% compared to the third qua",389,"Thanks, Julie. 
Let me now turn to our business outlook. 
For the third quarter of fiscal '21, we expect revenues to be in the range of $12.55 billion to $12.95 billion. This assumes the impact of FX will be about positive 4.5% compared to the third quarter of fiscal '20 and reflects an estimated 10% to 13% growth in local currency. 
For the full fiscal year '21, based upon how the rates have been trending over the last few weeks, we continue to expect the impact of FX on our results in U.S. dollars will be approximately positive 3% compared to fiscal '20. 
For the full fiscal '21, we now expect our revenue to be in the range of 6.5% to 8.5% growth in local currency over fiscal '20, including approximately negative 1% from a decline in revenues from reimbursable travel, based on a 2% reduction in the first half of the year and no material impact in the second half of the year. 
For operating margin, we now expect fiscal year '21 to be 15% to 15.1%, a 30 to 40 basis point expansion of our fiscal '20 results. We continue to expect our annual adjusted effective tax rate to be in the range of 23% to 25%. This compares to an adjusted effective tax rate of 23.9% in fiscal '20. 
For earnings per share, we now expect full year diluted EPS for fiscal '21 to be in the range of $8.67 to $8.85. We now expect adjusted full year diluted EPS to be in the range of $8.32 to $8.50 or 12% to 14% growth over adjusted fiscal '20 results. 
For the full fiscal '21, we now expect operating cash flow to be in the range of $7.65 billion to $8.15 billion, property and equipment additions to be approximately $650 million, and free cash flow to be in the range of $7 billion to $7.5 billion. Our free cash flow guidance continues to reflect a very strong free cash flow to adjusted net income ratio of 1.3 to 1.4. 
Finally, we now expect to return at least $5.8 billion, an increase of $500 million, through dividends and share repurchases as we remain committed to returning a substantial portion of cash to our shareholders. 
With that, let's open it up so that we can take your questions. Angie?"
972190,706143483,2239417,"Accenture plc, Q2 2021 Earnings Call, Mar 18, 2021",2021-03-18,"Earnings Calls","Accenture plc","Executives","Thanks, KC. [Operator Instructions] Operator, would you provide instructions for those on the call?",14,"Thanks, KC. [Operator Instructions] Operator, would you provide instructions for those on the call?"
972190,706143483,2239417,"Accenture plc, Q2 2021 Earnings Call, Mar 18, 2021",2021-03-18,"Earnings Calls","Accenture plc","Operator","[Operator Instructions] Your first question comes from the line of Tien-Tsin Huang from JPMorgan.",14,"[Operator Instructions] Your first question comes from the line of Tien-Tsin Huang from JPMorgan."
972190,706143483,2239417,"Accenture plc, Q2 2021 Earnings Call, Mar 18, 2021",2021-03-18,"Earnings Calls","Accenture plc","Analysts","Terrific results here. I can't remember. I was thinking the last time you guys raised your margin outlook, especially against such strong bookings and investments like Cloud First, you talked about. Plus, this one-time bonus to employees, et cetera. So",130,"Terrific results here. I can't remember. I was thinking the last time you guys raised your margin outlook, especially against such strong bookings and investments like Cloud First, you talked about. Plus, this one-time bonus to employees, et cetera. 
So what's different this time to allow you to do that, to raise margins modestly against some good momentum here? And I'll ask my follow-up just together with this, which is, given the big bookings, thinking about contract execution, do you feel good about sort of the level of expectations you need to deliver here to keep this momentum going? Because I know you put a lot of hard work into driving up the bookings here, but I'm curious if there's anything different to consider here with contract execution looking ahead."
972190,706143483,2239417,"Accenture plc, Q2 2021 Earnings Call, Mar 18, 2021",2021-03-18,"Earnings Calls","Accenture plc","Executives","Okay. Thanks, Tien-Tsin. So in terms of operating margin, let me just cover with you what's the driver this year of our 30 to 40 basis points operating margin expansion. And you're right. It is unusual for us to expand our operating margin halfway through",413,"Okay. Thanks, Tien-Tsin. So in terms of operating margin, let me just cover with you what's the driver this year of our 30 to 40 basis points operating margin expansion. And you're right. It is unusual for us to expand our operating margin halfway through the year. And so implied in our guidance for the year, there's obviously continued healthy margin expansion in the back half. That's in addition, Tien-Tsin, to the 40 basis points that we've already done year-to-date. And then as I mentioned, which does include the impact of the onetime bonus that we're doing for employees below managing director. 
And I'll just maybe highlight a few things in terms of drivers for the expansion this year. I mean, as always, we first look to strong revenue growth. So -- and we have that again this year. And that's coming along with increased contract profitability. We do have increased contract profitability coming through in our gross margin in the first half of the year. And that's really the first lever that we always look at. 
Within this year uniquely is -- are a couple of things. One is utilization. So we are getting some additional margin expansion this year based on our higher utilization rate. We talked about that last quarter, that we're looking to bring that down to more normal levels. It did go up this quarter, and we're still working on that. But clearly, in the first half of the year and into the second half, there will be some benefit to operating margin expansion on that. 
And the second part is due to the lower travel events and meetings spend this year. So we are going to benefit from that overall for the full year. But that benefit really is in the first half of the year. As the baseline last year in the back half is, as you know, we really didn't travel or have meetings, so it's not a benefit that we'll have in the back half of the year. 
And so I think, overall, the key thing though in operating margin is that we always look to drive strong underlying profitability because we want to ensure that we're investing first in our business because we want to drive long-term shareholder value. And so that's really the critical part that we're able to continue to invest in our business and in our people and in acquisitions, but while at the same time expanding operating margin significantly."
