"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
114039,700824647,2206837,"DexCom, Inc., Q4 2020 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","DexCom, Inc.","Operator","welcome to the DexCom Fourth Quarter and Full Year 2020 Earnings Release Call. My name is Darryl, and I will be your operator for today's call. [Operator Instructions] Please note that this conference is being recorded. I will now turn the call over to Se",50,"welcome to the DexCom Fourth Quarter and Full Year 2020 Earnings Release Call. My name is Darryl, and I will be your operator for today's call. [Operator Instructions] Please note that this conference is being recorded. I will now turn the call over to Sean Christensen. Sean, you may begin."
114039,700824647,2206837,"DexCom, Inc., Q4 2020 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","DexCom, Inc.","Executives","Thank you, operator, and welcome to DexCom's Fourth Quarter and Full Year 2020 Earnings Call. Our agenda begins with Kevin Sayer, DexCom's Chairman, President and CEO, who will provide a summary of the quarter and full year 2020, followed by a financial r",371,"Thank you, operator, and welcome to DexCom's Fourth Quarter and Full Year 2020 Earnings Call. Our agenda begins with Kevin Sayer, DexCom's Chairman, President and CEO, who will provide a summary of the quarter and full year 2020, followed by a financial review and outlook from Quen Blackford, our COO and CFO, and then a strategic update from Steve Pacelli, our Executive Vice President of Strategy and Corporate Development. Following our prepared remarks, we will open the call up for your questions. [Operator Instructions] 
Please note that there are also slides available related to our fourth quarter performance on the DexCom Investor Relations website on the Events and Presentations page. With that, let's review our safe harbor statement. 
Some of the statements we will make in today's call may constitute forward-looking statements. These statements reflect management's intentions, beliefs and expectations about future events strategies, competition, products, operating plans and performance. All forward-looking statements included in this presentation are made as of the date hereof based on information currently available to DexCom, are subject to various risks and uncertainties, and actual results could differ materially from those anticipated in the forward-looking statements. 
The factors that could cause actual results to differ materially from those expressed or implied by any of these forward-looking statements, are detailed in DexCom's annual report on Form 10-K and other filings with the Securities and Exchange Commission. Except as required by law, we assume no obligation to update any such forward-looking statements after the date of this presentation or to conform these forward-looking statements to actual results. 
Additionally, during the call, we will discuss certain financial measures that have not been prepared in accordance with GAAP with respect to our non-GAAP and cash-based results. Unless otherwise noted, all references to financial metrics are presented on a non-GAAP basis. The presentation of this additional information should not be considered in isolation or as a substitute for results or superior to results prepared in accordance with GAAP. 
Please refer to the tables in our earnings release and the slides accompanying our fourth quarter and full year earnings presentation for a reconciliation of these measures to their most directly comparable GAAP financial measure. Now I will turn it over to Kevin."
114039,700824647,2206837,"DexCom, Inc., Q4 2020 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","DexCom, Inc.","Executives","Thank you, Sean, and thank you, everyone, for joining us today. Let me start by summarizing some of the themes that DexCom accomplished in 2020. Total revenue grew 31% over 2019, driven by a record number of new patient additions. This translates to more",890,"Thank you, Sean, and thank you, everyone, for joining us today. Let me start by summarizing some of the themes that DexCom accomplished in 2020. Total revenue grew 31% over 2019, driven by a record number of new patient additions. This translates to more than $415 million in absolute dollar growth, another high watermark for DexCom. We doubled G6 capacity in the first 6 months of the year. Our team has done a great job to meet the ambitious plans that we outlined nearly 2 years ago to scale G6 capacity, leaving the company in the best inventory position that we have been in since the launch of G6. The scale-up led to strong gross margin expansion in 2020, even as we increasingly shift our business to the pharmacy channel. We closed the full year 2020 with our highest gross margin since 2017. 
Our enhanced capacity puts us in position to aggressively pursue our growth initiatives. This includes the expansion of our sales force, which we announced in October and have nearly completed as well as our efforts around product sampling and direct-to-consumer advertising in the U.S. and international markets. 
Many of you have seen our most recent effort to drive category awareness as we kicked off a new campaign around one of our DexCom Warriors, Nick Jonas, including our ad during the Super Bowl. This bold effort should give you a sense for our belief about the market opportunity ahead of us. We've received great feedback from the campaign so far and look forward to joining forces with Nick and diabetes advocacy groups in the coming months to drive greater awareness of the benefits of CGM. 
At the height of the pandemic's first wave, we established a new effort in a matter of days to support hospitals needing to preserve personal protective equipment and utilize our remote monitoring technology. We've made significant progress in our work to bring DexCom CGM to people with type 2 diabetes, including both those on intensive insulin therapy and those who are not. We also announced several new initiatives in 2020 that we believe will position us to meet the kinds of patient growth that we expect over the next several years. 
Building on the success of our team in Manila, where we've strengthened our customer service metrics across the board, we announced a new global business services unit in Lithuania that will help serve our international operations. We also announced that we will be building our third manufacturing site and first international manufacturing site in Malaysia. This state-of-the-art facility will be key to scaling our G7 capacity and provide logistical advantages as we look to serve our growing international base. 
Speaking of G7, 2020 saw us initiate and complete the first G7 pivotal trial. We're very happy with these results and the feedback we've received from participants and clinicians involved in the trial has been outstanding. Our clinical work is continuing as we progress with the regulatory path in 2021 to support our goal to launch G7 in the second half of the year. 
In any given year, these are accomplishments that we would be proud of. But in 2020, our teams accomplished these goals during a global pandemic. I want to use this form again to say how proud I am of the DexCom employees who have embraced our mission to empower people to take control of diabetes in a year of very unique challenges. It is a privilege to both lead and learn from such a talented team. And rest assured, our team is focused on the growth opportunity ahead of us as we're now well on our way in 2021. 
This is shaping up to be another exciting year for the company, featuring our continued momentum as we look to bring G6 to many potential customers yet to use CGM, the ongoing manufacturing scale-up and launch of G7 and investing in several other key initiatives related to the growth pillars that we outlined at our recent Investor Day. We believe there is still a huge growth opportunity ahead, and we are investing to ensure that the company is positioned to deliver CGM as a mass market technology for greater health outcomes. 
The pandemic has contributed to structural changes in the way health care is delivered with DexCom CGM a valuable asset in the growing digital health and the remote monitoring health care ecosystems yet a majority of people with diabetes in the world continue to rely on fingerstick technology. It is because of these developing landscapes and our belief on what DexCom CGM offers that we are announcing the formation of DexCom Ventures today, which Steve Pacelli will lead. 
With this entrance into the venture capital space, we believe we will be able to accelerate development for innovative companies that share our commitment to empowering greater health outcomes for customers and their clinicians. This may include technologies with use cases that can be combined with our CGM system as well as independent technology platforms. 
To summarize, we are very proud of what we accomplished in 2020 and are moving forward with the same commitment to our users and the growth of DexCom well into the future. With that, I will turn it over to Quentin for a review of the fourth quarter financials and discussion of the 2021 outlook. Quen?"
114039,700824647,2206837,"DexCom, Inc., Q4 2020 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","DexCom, Inc.","Executives","Thank you, Kevin. As a reminder, unless otherwise noted, the financial metrics presented today will be discussed on a non-GAAP basis. Reconciliations to GAAP can be found in today's earnings release as well as on our IR website. We reported worldwide re",1253,"Thank you, Kevin. As a reminder, unless otherwise noted, the financial metrics presented today will be discussed on a non-GAAP basis. Reconciliations to GAAP can be found in today's earnings release as well as on our IR website. 
We reported worldwide revenue of $568.9 million for the fourth quarter compared to $462.8 million for the fourth quarter of 2019, representing growth of 23%. Our team did a great job maintaining momentum with new patient additions in the fourth quarter and accelerating our shift of the business into the pharmacy channel. Even with the increasing COVID lockdowns as the quarter progressed, new patients for the fourth quarter were in line with our original expectations for the year, a new record and a great achievement for our team. 
U.S. revenue grew 20% over the fourth quarter of 2019, totaling $451 million. We were able to drive more volume into the pharmacy channel than we originally expected, closing the year approaching 50% of our total U.S. commercial volume. This means that we are making excellent progress to position the company for long-term growth in the U.S. and an efficient operating model for the company. And while there is channel mix causing lower revenue per patient in the pharmacy channel, the underlying strength of the business saw fourth quarter unit volumes grow significantly more than our revenue growth rate in the U.S. 
Our international business reached a new high-water mark of $117 million in the fourth quarter of 2020, growing 35% over the fourth quarter of 2019. This growth includes strong performance in both our direct and distributor markets. We began an international DTC campaign in several of our markets in the fourth quarter and will continue to drive awareness of the benefits of our technology, knowing that CGM market penetration internationally remains even less than in the U.S. 
Our fourth quarter gross profit was $399.1 million or 70.2% of revenue compared to 66.8% of revenue in the fourth quarter of 2019. The 70.2% of revenue represents our highest gross margin quarter in the past 5 years. This is another demonstration of the ability of our team to navigate our strategic shift to the pharmacy channel while delivering strong profitability across the organization. As Kevin noted, our successful scale-up of G6 has been a key driver of this margin expansion while also placing us in our strongest inventory position to date, allowing us to more aggressively target new users as we continue in 2021. 
Operating expenses were $294.7 million for Q4 2020 compared to $205.7 million in Q4 2019. The  year-over-year expense growth in the fourth quarter consists of several key areas of strategic investment, which includes roughly $15 million of nonrecurring spend related to enhancing our software development efforts and automation of our production capabilities. We also increased spending related to our DTC programs, product sampling and the expansion of our U.S. sales force. Even with significant investments throughout 2020 to prepare DexCom for future growth and efficiency, total operating expense growth for the year totaled 26%, well below our 31% revenue growth for the year. 
Operating income was $104.4 million or 18.4% of revenue in the fourth quarter of 2020 compared to $103.6 million or 22.4% of revenue in the same quarter of 2019. For the year, we delivered more than 500 basis points of operating margin expansion, with full year 2020 operating margin of 16.6% exceeding our most recent guidance. 
Adjusted EBITDA was $159.2 million or 28% of revenue for the fourth quarter compared to $141.7 million or 30.6% of revenue for the fourth quarter of 2019. Our full year adjusted EBITDA margin of 26.3% also exceeded our most recent guidance and came in more than 300 basis points better than our original 2020 guidance. 
As our margin progress shows, the significant steps that we have taken over the past few years are having a great impact on our ability to translate revenue growth into profitability. We are confident that the trend will continue over the long-term as we move towards the 5-year targets that we laid out for you at our recent Investor Day by simultaneously taking opportunities that arise to invest in the growth ahead of us. 
Net income for the fourth quarter was $90.4 million or $0.91 per share. We significantly increased operating cash flow in 2020 and remain in a strong cash position, with greater than $2.7 billion of cash and cash equivalents on the balance sheet as we exit the year. This gives us the flexibility to pursue the strategic investments that we believe will allow us to maintain a leadership position in our field. These include some of the investments we discussed related to our fourth quarter activities. 
Turning to 2021 guidance. As we stated early last month, we anticipate full year revenues of $2.21 billion to $2.31 billion, representing growth of 15% to 20%. We expect new patient growth to continue to exceed our revenue growth rate again in 2021, with our team extending their efforts to drive U.S. commercial business into our preferred pharmacy channel. We've also contemplated potential benefits from our efforts to drive category awareness through our expanded sales force, DTC advertising, product sampling and integrated systems as well as general considerations around the competitive environment. 
Turning to margins. We have several considerations in 2021 as we position the business for efficient growth and long-term margin expansion, in line with what we outlined at our recent Investor Day. For 2021, we anticipate gross margins of approximately 65%, in line with our long-term expectations. This anticipates a slight shift from our 67% full year 2020 results, which we expect to be driven by the success of our pharmacy channel initiative as well as our 2021 investments in infrastructure related to our G7 scale up and OUS manufacturing facility in Malaysia. 
We expect operating margins of approximately 13%, reflecting our gross margin outlook as well as various investments we've contemplated in 2021. As you know, DexCom has advanced its profitability profile at a much faster pace than originally anticipated over the past few years, while at the same time, building the infrastructure to scale the business profitably. 
With the diabetes market still underpenetrated, we're going on the offense with these investments. We are continuing to invest in the growth of the business via DTC, sampling, new markets and the launch of new products that we mentioned at our Investor Day, including G7. We are also making a significant investment in the global sales force, including doubling the size of our U.S.-based commercial field team. We will also continue to work on advanced research and development, which is looking into future generations of products and sensing capability. 
We're making these investments to accelerate our ability to bring CGM to those in need. Additionally, we believe these investments will support the long-term profitability objectives that we set at Investor Day, while at the same time, yielding significant returns for our shareholders. However, in the near term, we want to be prudent about incurring these upfront costs in our guidance and let the benefits play out. We expect that adjusted EBITDA margins will be approximately 23% for 2021. 
Finally, with the release of the valuation allowance on income taxes in 2020. In 2021, we will start to have a tax rate that is applicable to earnings. We expect that rate, absent any changes in tax law, to be in the low to mid-20% range. With that, I will now turn the call over to Steve for a strategic update."
114039,700824647,2206837,"DexCom, Inc., Q4 2020 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","DexCom, Inc.","Executives","Thanks, Quentin. As Kevin mentioned, our team did a great job executing on our strategic priorities throughout 2020. We quickly adapted the changes brought about by COVID and ensured not only that our existing patients could rely on their DexCom supplies,",755,"Thanks, Quentin. As Kevin mentioned, our team did a great job executing on our strategic priorities throughout 2020. We quickly adapted the changes brought about by COVID and ensured not only that our existing patients could rely on their DexCom supplies, but the thousands of new patients could benefit from the use of G6. In fact, we closed the year with greater than 900,000 customers globally, up more than 38% over the end of 2019. 
We are excited by this growth, knowing the life-changing impact at CGM and the software tools that we provide with it can have on our patients. Just last month, we published 3 peer review studies in diabetes technology and therapeutics that showed a greater than 1 point A1c reduction for customers new to DexCom CGM in as little as 3 months. This study includes both type 1 and type 2 intensive insulin users, and the result validated the kind of outcomes we have seen before. 
But we took it 1 step further. We also saw a significant quality of life improvement for these patients as measured in terms of anxiety, emotional distress and burden of disease management, results that affirm our corporate mission to empower our users. We also demonstrated that the software tools we are building around our sensors are driving improved outcomes. 
Across our base, we see increased time in range for our users of real-time share and follow apps. We see increased time and range for users who engage with our Clarity software, and we see increased time and range for users who take advantage of our integration with Apple's Siri Virtual Assistant. In 2021, we will continue to work aggressively to expand our customer base so that more and more people can experience these improved outcomes with DexCom. As we outlined in our recent Investor Day and at the conference presentation last month, we prioritized 3 pillars of growth in the near term and look forward to progress on all 3 fronts in 2021, while we also lay the foundation for longer-term market expansion. 
In our core business, which we define as people with type 1 diabetes and type 2 diabetes on intensive insulin therapy, we have several initiatives underway. In the U.S., we are nearing completion of our sales force expansion, which will enhance our footprint across the country, including our reach into primary care offices. We'll continue our push to prioritize the pharmacy channel, which is the most efficient channel for our patients, clinicians and DexCom. And we'll continue our efforts to drive greater access on the awareness of the benefits that DexCom offers, including the DTC campaigns that we've been driving in both the U.S. and international markets. 
Outside the U.S., we continue to advocate for greater access in several key markets and look forward to broadening our reach in places where we have had little presence to date. This includes our expansion in France, building from a positive recent reimbursement decision as well as the launch of G6 in Japan with Terumo as our distribution partner. 
For our third pillar, expanding the use of CGM in non-intensive type 2 diabetes, we are extending our efforts with level 2 and kicking off commercial pilots with multiple partners on the digital health side. Our work with other providers continues as well as we make the case for the clinical value of DexCom CGM in the broader type 2 population. 
Recently, Everside Health, one of the nation's largest providers of on-site health clinics, announced that their Healthstat unit will make DexCom CGM available to their members with type 2 diabetes. This is a nice extension of our previous work with Healthstat following up on our pilot efforts that utilize CGM in an on-site health screening program. We remain increasingly confident in the market opportunity ahead for DexCom. 
And on this basis, today, we announced the formation of DexCom Ventures. We have a chance to identify and accelerate the development of amazing technologies, technologies that can truly make an impact to global health outcomes via innovation. I could not be more excited to lead this effort. I believe we are well positioned to advance our strategies and build connections that will make DexCom stronger in the years ahead. Look for much more from us on this front over the next several years. And in the meantime, I couldn't be more pleased to pass the torch on our day-to-day strategy and corporate development efforts to Quentin and his team. 
With that, I'll turn it back to Kevin."
114039,700824647,2206837,"DexCom, Inc., Q4 2020 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","DexCom, Inc.","Executives","Thank you, Steve. I think we've all grown tired of the 2020 superlative, so I'll keep this one brief. We're proud of what we accomplished in 2020, and we are pressing forward with excitement for the year ahead in 2021. Much of the discussion this week is",173,"Thank you, Steve. I think we've all grown tired of the 2020 superlative, so I'll keep this one brief. We're proud of what we accomplished in 2020, and we are pressing forward with excitement for the year ahead in 2021. Much of the discussion this week is centered around our recent Super Bowl ad. We were incredibly pleased by the public response, which drove 11x greater search volume compared to the average 2021 Super Bowl commercial, the highest of any brand that advertised this year. This is why we did the ad, to drive awareness and ultimately bring CGM to more and more people who stand to benefit from this technology. 
There may be more people talking about diabetes this week than any other time in recent memory, a conversation that includes health care providers, insurance providers and people with diabetes themselves. We welcome these conversations and look forward to advancing these discussions for greater access for all people with diabetes. I would now like to open up the call for Q&A. Sean?"
114039,700824647,2206837,"DexCom, Inc., Q4 2020 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","DexCom, Inc.","Executives","Thank you, Kevin. [Operator Instructions] Operator, please provide the Q&A instructions.",11,"Thank you, Kevin. [Operator Instructions] Operator, please provide the Q&A instructions."
114039,700824647,2206837,"DexCom, Inc., Q4 2020 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","DexCom, Inc.","Operator","[Operator Instructions] And our first question comes from Robbie Marcus from JPMorgan.",12,"[Operator Instructions] And our first question comes from Robbie Marcus from JPMorgan."
114039,700824647,2206837,"DexCom, Inc., Q4 2020 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","DexCom, Inc.","Analysts","Great. So I'm going to use my one, Quentin, the guidance came in a little lower on the margin side for 2021. Can you walk us through what's the delta on gross margin and those expenses? I realize the long-term guide is 65, but I think people were thinking",112,"Great. So I'm going to use my one, Quentin, the guidance came in a little lower on the margin side for 2021. Can you walk us through what's the delta on gross margin and those expenses? I realize the long-term guide is 65, but I think people were thinking a little bit higher in 2021 here. And then it seems like to get to 13%, you're going to need a pretty big step-up in SG&A, so maybe just help us walk through SG&A and R&D and what you're expecting in terms of investment, how much DTC will be 2021 versus 2020? And any other notable expenses that we should be thinking about?"
114039,700824647,2206837,"DexCom, Inc., Q4 2020 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","DexCom, Inc.","Executives","Sure. Thanks, Robbie. Look, I think the first thing I would mention is we've made incredible progress from a profitability perspective over the last couple of years. If you think back to our original Analyst Day, we set an expectation to be at a 25% EBITD",617,"Sure. Thanks, Robbie. Look, I think the first thing I would mention is we've made incredible progress from a profitability perspective over the last couple of years. If you think back to our original Analyst Day, we set an expectation to be at a 25% EBITDA margin by the year 2023, and we delivered 26% EBITDA margin in the year 2020. So we've made incredible progress. And I would say progress even accelerated or went beyond what our original expectations were. But we've always known there are investments we've got to make in this business to open up some of these incredible market opportunities that sit in front of us. And I think more than anything, the fact that we're making these investments ought to be a testament to the fact that we now believe in, and we're seeing that these are going to be real opportunities for us. So we're excited about making that investment. 
On the gross margin side, there's a few things to point out this year that makes 2021 a little bit unique. One, we will continue to drive the normal efficiencies and leverage through the gross margin that we have in the last several years. And I would expect there's a couple of hundred basis points of efficiencies to continue to take out of it over the course of '21. But there's 2 headwinds that we have to navigate through. One continues to be the move to the pharmacy channel. We expect that we'll see a significant move over the course of this year. We've seen that pick up in terms of its momentum in the back part of last year. The other one is we're making significant investment in standing up our first international manufacturing capability in Malaysia. We broke ground there. We have teams there as we speak starting to build out that capability, which is going to take -- it is tens of millions of units of production capacity and turns it into hundreds of millions of units of production capacity for us, which we believe is going to be necessary as we open up these markets and begin to really see results from them. So that's what's going to play out on the gross margin side, that results in a couple of hundred basis points of headwind from the 67% back to 65%. 
On the OpEx side, I think it's important. G&A is going to continue to lever nicely for us. Where the investment is going is purely in the sales expense and into R&D, and there's really a few drivers that drive it. There's the doubling of the U.S. commercial field force that we've talked about. That's pretty much done as we sit here today. Those resources are going to be in place and able to start to contribute over the course of the year, but they obviously bring with it an expense load. We're also turning up the DTC efforts. We've never been better positioned from an inventory perspective to really turn the dials on DTC and sampling and giving our commercial team the tools they need to be as effective as possible. So we're excited to be able to do that. 
And then finally, I'll just remind you, over the course of this year, we've got all the G7 expenses that are going on. We got the trial expenses, we got the filing expenses, and then we got the commercial launch behind that as well. So all those, things together drive the incremental investment from an OpEx perspective. But that's all going to show up in R&D and selling expense, you will see leverage in G&A. So I hope that answers the question for you."
