"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
9830660,701618547,2183672,"Dow Inc., Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Dow Inc.","Operator","Good day, and welcome to the Dow Fourth Quarter 2020 Earnings Call. [Operator Instructions] Also, today's call is being recorded. I would now like to turn the call over to Colleen Kay. Please go ahead, ma'am.",36,"Good day, and welcome to the Dow Fourth Quarter 2020 Earnings Call. [Operator Instructions] Also, today's call is being recorded. I would now like to turn the call over to Colleen Kay. Please go ahead, ma'am."
9830660,701618547,2183672,"Dow Inc., Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Dow Inc.","Executives","Good morning, everyone. Thank you for joining us to discuss the fourth quarter financial results for Dow. We're making this call available via webcast and we have prepared slides to supplement our comments during this conference call. They are posted on t",314,"Good morning, everyone. Thank you for joining us to discuss the fourth quarter financial results for Dow. We're making this call available via webcast and we have prepared slides to supplement our comments during this conference call. They are posted on the Investor Relations section of Dow's website and through the link to our webcast. 
I'm Colleen Kay, Investor Relations Vice President for Dow. And joining me on the call today are Jim Fitterling, Dow's Chairman and Chief Executive Officer; and Howard Ungerleider, President and Chief Financial Officer. Please read the forward-looking statement disclaimer contained in the earnings news release and slides. 
During our call, we will make forward-looking statements regarding our expectations or predictions about the future. Because these statements are based on current assumptions and factors that involve risks and uncertainties, our actual performance and results may differ materially from our forward-looking statements. Dow's Forms 10-Q and 10-K include detailed discussions of principal risks and uncertainties, which may cause such differences. Unless otherwise specified, all financials, where applicable, exclude significant items. We'll also refer to non-GAAP measures. A reconciliation to the most directly comparable GAAP financial measure and other associated disclosures is contained in the Dow earnings release, in the slides that supplement our comments today, and on the Dow website. 
On Slide 2, you'll see our agenda for the call. Jim will begin with the fourth quarter and full year highlights and will discuss the company's operating segment performance. Howard will share an update on Sadara and then provide our market outlook and modeling guidance. He will also outline Dow's digitalization acceleration plans. Finally, Jim will provide an update on our sustainability initiatives and market growth opportunities that are helping to further advance our competitive advantage in 2021 and beyond as the economic recovery progresses. Following that, we will take your questions. 
With that, I'll turn the call over to Jim."
9830660,701618547,2183672,"Dow Inc., Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Dow Inc.","Executives","Thank you, Colleen, and thanks to everyone for joining us. We hope that you, your families are healthy and safe. Starting on Slide 3. In the fourth quarter, the Dow team delivered results that exceeded expectations with sales and EBIT growth year-over-y",1138,"Thank you, Colleen, and thanks to everyone for joining us. We hope that you, your families are healthy and safe. 
Starting on Slide 3. In the fourth quarter, the Dow team delivered results that exceeded expectations with sales and EBIT growth year-over-year and a sequential net sales increase of 10%. And as the global economy and market fundamentals continue to improve, demand drove volumes above or in line with pre-COVID levels across all operating segments. We captured strong durable goods and construction demand, we grew volumes and do-it-yourself architectural coatings and home care sectors, and we continue to benefit from solid demand and pricing momentum in packaging applications, supporting a sequential net sales increase of 12% in our Packaging & Specialty Plastics segment. This volume increase, combined with improved pricing and margins, particularly in polyethylene and polyurethane applications, delivered 5% revenue growth and higher operating EBIT year-over-year. We supported these strong top line results with a cash flow conversion of 93% in the quarter, driving our full year rate up 30% versus 2019. Cash from continuing operations was $1.7 billion in the quarter, and free cash flow was $1.4 billion. Working capital was a $236 million source of cash, even with increased sales. 
We completed the sale of select U.S. Gulf Coast marine and terminal operations and assets, delivering another strategic nonoperational cash lever. And improved financial and operational performance at Sadara was a key contributor in delivering positive year-over-year equity earnings. We also maintained our disciplined approach to capital allocation, completing additional deleveraging as we reduced net debt by $837 million in the quarter. And we continue to reward our shareholders through our industry leading dividend. Overall, our fourth quarter performance was a strong finish to a year where team Dow successfully overcame significant macroeconomic and other external challenges. 
On Slide 4 is a brief recap of our full year achievements. We adapted quickly to the global pandemic and our agile approach to managing volatility in the markets, combined with our prudent adjustments to capital expenditures, proactive cost reductions, working capital interventions, plus delivery of unique cash levers supported demand growth year-over-year in packaging applications, a nearly $500 million structural improvement in working capital, a strong uplift in cash flow from operations, free cash flow of $5 billion and more than $2.6 billion in net debt reduction and continued cash returns to shareholders through our industry leading dividend. We achieved all this, while also making significant progress toward our ambition to be the most innovative customer-centric, inclusive and sustainable materials science company in the world. We found new ways to serve customers in a virtual world, we launched Dow's mobility science platform to better serve an attractive market vertical, we reinforced Dow's commitment to inclusion and diversity through a bold framework to address systemic racism and inequality and followed through with actions aligned to that framework, and we launched new aggressive targets to help eliminate plastic waste and reduce carbon emissions. I am incredibly proud of how the Dow team delivered solid performance and showed tremendous leadership on critical issues throughout 2020. 
Moving to our segment performance on Slide 5. As I mentioned earlier, ongoing improvements in the macroenvironment drove sequential sales gains across all segments and geographies, allowing us to reach year-over-year revenue growth during the quarter for the first time since the start of the pandemic. 
In the Packaging & Specialty Plastics segment, operating EBIT was $780 million, up more than $130 million versus the same quarter last year and sequentially. Resilient demand, tight market supply, low inventory levels and disciplined price volume management enabled strong polyethylene pricing momentum and margin expansion. Notably, operating EBIT margins expanded 180 basis points year-over-year and 100 basis points sequentially. Compared to the prior quarter, net sales increased 12%. Price gains continued across all regions and most applications, particularly in consumer packaging, and the business delivered higher volumes with broad-based demand growth. The Packaging & Specialty Plastics business continued to see strong momentum through the end of the year. Sales were up year-over-year, primarily driven by steady volumes and improved polyethylene pricing, particularly in Food & Specialty Packaging as well as health and hygiene applications. Compared to the prior quarter, the business delivered local price gains in all regions, including double-digit gains in the U.S., Canada and Latin America. 
Moving to the Industrial Intermediates & Infrastructure segment. Operating EBIT was $296 million, up $75 million year-over-year and up $192 million versus the prior quarter. Supply and demand fundamentals in polyurethanes and construction chemicals as well as higher equity earnings from improved performance at Sadara drove this result. On a sequential basis, significant improvement in margin over raw materials drove operating EBIT margins up more than 500 basis points, more than offsetting typical seasonality. The polyurethane and construction and chemicals business reported a double-digit increase in net sales year-over-year and sequentially. The year-over-year increase was primarily due to higher local prices with gains in all regions, except Latin America. Compared to prior quarter, sales growth was driven by strong local pricing and furniture, bedding and appliance end markets. 
The Industrial Solutions business reported flat net sales versus the prior year period. Currency tailwinds and higher volumes in solvents for coatings, industrial fluids, electronics and pharma applications were offset by pricing in industrial manufacturing applications. Compared to the prior quarter, net sales were up double digits due to sequential improvement in price and volume as industrial markets continued to recover and consumer end markets remained strong. 
And finally, the Performance Materials and Coatings segment reported operating EBITDA of $50 million, down year-over-year. Volume growth in downstream silicones and coatings applications was more than offset by price and volume declines in siloxanes. On a sequential basis, operating EBIT was down $25 million as margin expansion in silicon applications was overcome by seasonality in coatings end markets. 
The Consumer Solutions business reported a decline in net sales. The business captured solid demand growth in home care, consumer and electronics and high-performance building applications. These gains were more than offset by continued weak volumes in upstream siloxanes and in high-end personal care applications, such as cosmetics, as a result of paused social and workplace activities. On a sequential basis, volumes improved on recovery in mobility and transportation as well as consumer and electronics and markets. 
The Coatings and Performance Monomers business achieved higher net sales year-over-year, with volumes up double digits. The seasonality impact was moderate, and the business captured resilient demand for architectural coatings as consumers continue to focus on do-it-yourself projects at home. Sequentially, the business also experienced positive pricing momentum, particularly in acrylates, which was more than offset by seasonal weather-related declines for coatings applications in the Northern Hemisphere. 
And now, I'll turn it over to Howard for an update on Sadara, our financial outlook and our plans for digital acceleration."
9830660,701618547,2183672,"Dow Inc., Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Dow Inc.","Executives","Thank you, Jim, and good morning, everyone. Turning to Slide 6. The strong supply and demand trends that continue to benefit our packaging and polyurethanes businesses this quarter also benefited Sadara. The joint venture again delivered improved financia",1224,"Thank you, Jim, and good morning, everyone. Turning to Slide 6. The strong supply and demand trends that continue to benefit our packaging and polyurethanes businesses this quarter also benefited Sadara. The joint venture again delivered improved financial and operational results, driving equity earnings higher by more than $130 million year-over-year. We expect solid market fundamentals and an improving economy to continue to benefit the joint venture in 2021, supported by Sadara's feedstock flexibility and enhanced global cost curve position. We are also very pleased to report that Sadara declared project completion in the fourth quarter, removing Dow's $4 billion share of the guarantees that supported the joint venture's debt. In addition, in January of this year, Dow, Saudi Aramco and Sadara reached an agreement in principle with the remaining lenders and Sukuk investors on key terms for its debt reprofiling with formal agreements expected to be completed within the first quarter. As a result, Sadara is expected to be cash flow self-sufficient going forward. 
Key provisions of the reprofiling include an extension of the contractual debt maturity from 2029 to 2038; a modified repayment schedule aligned with Sadara's projected cash generation profile, including a grace period until June 2026, during which interest-only payments are required; no upfront payments of principal; and limited support in the form of much lower sponsor guarantees of Sadara's reprofiled debt, in proportion of the sponsor's ownership interest. The impact to Dow's commitments are expected to include the following, which are in proportion to Dow's 35% ownership interest in Sadara. Dow will provide guarantees for $1.3 billion of Sadara's debt, effectively replacing approximately $4 billion of prior guarantees. Dow will provide guarantees for its portion of Sadara interest payments due during the grace period. Our pro rata share of any potential shortfall, which based on Sadara's current performance we do not expect, will be funded by a new $500 million revolving facility in Sadara, guaranteed by Dow. This is expected to be established in the first quarter of 2021. 
And finally, Dow's existing $220 million letter of credit related to the guarantee of one future Sadara debt service payment will also be canceled. As a result of these actions, the company does not expect to provide any further shareholder loans or equity contributions to Sadara. 
Let's now turn to our modeling guidance for first quarter on Slide 7. We exited the fourth quarter with increasing strength, which is carried over into the first quarter. The ISM manufacturing new orders index is trending at its highest level in 10 years. In addition, low interest rates are supporting a resilient housing market and deurbanization trends are driving U.S. housing starts to their highest point since 2006. We expect sequentially higher business results in the first quarter with total sales in the range of $10.7 billion to $11.2 billion, driven by ongoing strength in our polyethylene and polyurethane value chains, improvement in our silicones franchise and supported by our U.S. Gulf Coast ethane advantage. We will see some headwinds sequentially with higher turnaround costs and the reversal of approximately $50 million in onetime benefits from the prior quarter. 
In the Packaging & Specialty Plastics segment, we entered the year with good pricing momentum, continued solid demand and elevated breakeven points for high cost naphtha producers as a result of increasing oil prices. We expect these dynamics to be sustained through the quarter. 
The Industrial Intermediates & Infrastructure segment will continue to benefit from strong consumer durables demand, supported by automotive and housing sectors and improvement in industrial end markets. These trends, combined with industry supply limitations and low inventories, should support pricing uplift, although we do see some cost increases from rising propylene pricing as well. 
And finally, for Performance Materials and Coatings, we expect silicones to benefit from ongoing demand expansion in consumer end markets, particularly in electronics, home care and mobility, where our innovation advantages will continue to allow us to capture additional growth opportunities. In Coatings, we expect DIY demand to remain elevated through the first quarter as consumer home improvement trends continue. There will be some turnaround headwinds in the quarter, including completion of a turnaround at our siloxane plant in China that we shortened in the first half of 2020 due to COVID-related labor and supply issues. 
Turning to Slide 8. Looking at the full year, we see strong market fundamentals in many of our key value chains continuing to drive improved operating performance year-over-year. And although we expect the pace of recovery to moderate, it is still likely to be uneven quarter-to-quarter as the vaccine distribution and new strains evolve. As usual, we're providing you with our best full year estimates of several income statement and cash flow items, which are noted on the slide. 
Consistent with our capital allocation priorities, and based on our improved forward outlook versus 2020, we're increasing our capital expenditure target year-over-year to $1.6 billion, and we're targeting an additional $1 billion in deleveraging. Sadara, as previously mentioned, will be a $350 million tailwind for the year with no planned cash contributions. We expect equity earnings to be flat year-over-year as the margin resiliency we see across the portfolio is offset by higher planned JV turnaround expenses. Total turnaround spending will be up versus the prior year as we continue to ensure the reliability of our facilities. And as mentioned last year, we expect our $300 million EBITDA restructuring program to be substantially complete by year-end. We're also providing a share count estimate for the year. However, assuming a sustained EBITDA improvement, we will look at reinstituting our share buyback program later in the year for the purpose of covering dilution. And finally, we expect a full year tax rate in the 23% to 27% range. 
Moving to Slide 9. The events of 2020 provided an opportunity for us to rapidly accelerate our focus on the value of digitalization. Through our digital advances and capabilities, we were able to continue innovating, improving the customer experience, and optimizing our operations. It has become clear that the escalation of digital interactions and transactions driven by COVID-19 will only help us accelerate the delivery of our ambition and be an important part of our customer experience in the future. So building on this solid foundation, today, we're announcing plans to further advance our digitalization efforts by investing in 3 key areas: First, expanding digital tools like machine learning and advanced digital modeling to accelerate material science innovation and put innovation capabilities directly in the hands of our customers; second, further enhancing our e-commerce buying and fulfillment experience for our customers; and third, adopting additional real-time digital manufacturing insights, operational data intelligence and demand sensing, all to enhance the productivity and reliability of our operations. We expect these actions to deliver more than $300 million in incremental annual run rate EBITDA generation by year-end 2025 with an additional onetime $100 million improvement in structural working capital efficiencies. To realize these gains, we will spend approximately $400 million over the next 2 years with an attractive risk-adjusted return on investment exceeding our internal hurdle rate and an expected payback of less than 3 years. 
Our goal is clear, our digital acceleration will help us continue to transform how we work, and importantly, how we engage with our customers. 
With that, I'll turn it back to Jim."
9830660,701618547,2183672,"Dow Inc., Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Dow Inc.","Executives","Thank you, Howard, and please turn with me to Slide 10. For more than 3 decades, sustainability has been an imperative to our business. And last year, we announced new brake targets focused on reducing our carbon footprint and addressing plastic waste. We",978,"Thank you, Howard, and please turn with me to Slide 10. For more than 3 decades, sustainability has been an imperative to our business. And last year, we announced new brake targets focused on reducing our carbon footprint and addressing plastic waste. We see these targets as a catalyst for growth and innovation. We've discussed with you our progress on key initiatives to advance the circular economy for plastics. And today, we want to provide visibility on our comprehensive approach to reducing carbon emissions. 
Over the past 15 years, Dow has reduced our overall emissions by 15%, while growing our business. And we see a viable pathway to reduce our net annual carbon emissions by another 15% by 2030. This pathway begins with targeting further efficiencies and optimization at our sites, sourcing renewable energy and clean power, and implementing new emission management technologies. We're working with utilities and regulators to supply clean purchase power to a majority of Dow sites by 2030. We're making good progress. Last year, we increased our agreements to purchase cost competitive renewable energy in Kentucky, Texas, Brazil and Spain, and we're preparing for the full transition of our Terneuzen operations. We're also working to optimize the energy efficiency of our sites by lowering our energy use and developing breakthrough technologies, such as electric, ethylene steam crackers, carbon capture and sequestration, and the potential use of blue hydrogen, now to be among the first in the industry to do so by 2030. We recognize that achieving these goals will also require partnerships with governments, regulatory agencies and other external groups to support the economics of these technologies and evolve regulatory frameworks to focus on emissions reduction. 
Widespread support for decarbonizing emissions is driving demand across the value chain, and Dow is well placed to continue to lead and benefit from this evolution. Many Dow products lower our customers' emissions more than the carbon emissions used to produce them, like enabling lighter, safer and more fuel-efficient automobiles; more energy-efficient buildings; and food that stay safe and fresh longer, all critical for a world set to add 2 billion people by 2050. Ultimately, Dow wins by making our cost to implement this transition lower than our competitors and the value of our products higher. Our objective is to establish a resilient portfolio of lower carbon footprint products to meet rising demand, capture market share and grow value, while reducing emissions for Dow, our customers, and the planet. 
Moving to Slide 11. As we look to 2021 and beyond, we are well positioned to capture additional value growth. Throughout the pandemic, new consumer behaviors emerge that have driven strong demand for our products, and we expect these trends to continue benefiting Dow's consumer-led portfolio even as the pandemic diminishes. Consumers have become accustomed to new ways of purchasing and interacting, increased in-home delivery and takeout dining, paired with heightened awareness of food hygiene and security will sustain demand strength for food and consumer packaging. The resilient housing market is creating higher demand for durable goods, such as furniture and appliances, and more time at home also leads to consumer spending on home improvement, including do-it-yourself coatings. Ongoing public caution about COVID-19, even after widespread vaccine distribution, will support continued demand for health and hygiene applications. We also believe that as vaccination rates increase and we turn the corner on the pandemic, there will be improving demand as travel, entertainment, sports and construction industries and other social activities return to normal. 
Market indicators are showing above GDP growth across several sectors, and as a result, we're beginning to see economic recovery broaden across our portfolio and in many of the end markets that we serve, which is benefiting our higher-margin consumer solutions business. Similarly, this increased confidence is also improving demand in our functional polymers portfolio, which serves mobility, infrastructure, and construction sectors. 
Finally, as we look ahead, Dow's unmatched materials science portfolio is uniquely positioned to address global megatrends and shifting post-COVID trends, providing additional higher-margin growth opportunities for Dow. 
Dow solutions meet increasing consumer needs for new sustainable innovations, such as post-consumer recycled plastics and renewable energy made polyethylene. In 2020, we tripled sales of product made with renewable bio-based feedstocks. As the need for renewable energy increases globally, so will demand for Dow solutions that enable wind power and solar production facilities. Our heat transfer fluids are used in more than 40 large-scale concentrated solar power plants around the world. And through our DowAksa joint venture, we provide polyurethane, carbon fiber systems that deliver a stronger and lighter composite material for wind blades. Electric vehicle sales are on the rise with 2021 growth projections exceeding 2020 records. And our mobility science platform focuses on delivering innovative products to enhance automobile connectivity, lightweighting, comfort, safety and sustainability. Lastly, we see meaningful opportunities to support the rollout of 5G broadband networks. For example, last year, we launched new high-performance thermal gel that promotes both environmental sustainability and efficient assembly of essential 5G infrastructure. 
Underpinning these tailwinds are the global foundational advantages and discipline that set Dow apart. Our unmatched portfolio, global scale, low-cost structure and industry-leading feedstock flexibility give us a competitive edge. Further, the actions that we took in 2020 to bolster our financial position, including the execution of our restructuring program and our disciplined focus on cash generation provides the financial strength and flexibility to support our growth trajectory in line with our financial and operating playbook. 
To close, 2020 was a challenging year for our world. But I could not be more proud of team Dow's performance nor could I be more confident in our future. Dow's competitive advantages are clear, we have significant growth opportunities ahead of us and the actions that we've taken position us to outperform our peers. 
With that, I'll turn it back to Colleen to open up the Q&A."
9830660,701618547,2183672,"Dow Inc., Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Dow Inc.","Executives","Thank you, Jim. Now let's move on to your questions. I would like to remind you that our forward-looking statements apply to both our prepared remarks and the following Q&A. Operator, please provide the Q&A instructions.",36,"Thank you, Jim. Now let's move on to your questions. I would like to remind you that our forward-looking statements apply to both our prepared remarks and the following Q&A. Operator, please provide the Q&A instructions."
9830660,701618547,2183672,"Dow Inc., Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Dow Inc.","Operator","[Operator Instructions] And our first question, we'll hear from Bob Koort with Goldman Sachs.",14,"[Operator Instructions] And our first question, we'll hear from Bob Koort with Goldman Sachs."
9830660,701618547,2183672,"Dow Inc., Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Dow Inc.","Analysts","Jim, I was hoping maybe you could give us your appraisal of what's going on, particularly in the polyethylene markets. 2020 was certainly a surprise. The resilience of demand is quite good. And I guess, the fear of the wave of capacity over looming the in",62,"Jim, I was hoping maybe you could give us your appraisal of what's going on, particularly in the polyethylene markets. 2020 was certainly a surprise. The resilience of demand is quite good. And I guess, the fear of the wave of capacity over looming the industry didn't materialize. But how do you sort of see the supply demand setup looming in '21?"
9830660,701618547,2183672,"Dow Inc., Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Dow Inc.","Executives","Yes, Bob, I think as the year progressed, we saw continued strong demand in polyethylene. And toward the end of the year, we saw ethylene start to tighten up and ethylene margins improve. And so that led to some pretty sharp increases in the fourth quarte",249,"Yes, Bob, I think as the year progressed, we saw continued strong demand in polyethylene. And toward the end of the year, we saw ethylene start to tighten up and ethylene margins improve. And so that led to some pretty sharp increases in the fourth quarter. You saw PE margins were up in the fourth quarter, about $0.07 a pound in the U.S., about $0.13 in Europe, and up about $0.10 in Asia. 
I think the other thing that happened was as those ethylene margins increased here, you had some wintertime activities that drove some of the cost to manufacture up in China. So you saw competing technologies like cold olefins, where coal prices were up $200 -- to $200 a ton, mainly because of a polar vortex and the fact that they were having some squabbles with the Australians about coal imports. So they weren't able to get it. We also saw LNG exports and LNG demand up sharply throughout Europe and also into Asia. And so that helped. Demand strength on top of the fact that you had these rising prices and inventory levels were low, really all came together to drive that. 
And by the way, demand still continues to look good in the first quarter, inventory levels are still low, operating rates are good. In the U.S. Gulf Coast, our operating rates were in the mid-90s in the fourth quarter. So we're going to continue to see, I think, good margins in the PE business."
9830660,701618547,2183672,"Dow Inc., Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Dow Inc.","Operator","And next, we'll move to P.J. Juvekar with Citi.",9,"And next, we'll move to P.J. Juvekar with Citi."
