"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
268799,700851589,2212472,"Ecolab Inc., Q4 2020 Earnings Call, Feb 16, 2021",2021-02-16,"Earnings Calls","Ecolab Inc.","Operator","Greetings, and welcome to the Ecolab Fourth Quarter 2020 Earnings Release Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. It is now my pleasure to introduce your host, Mike Monahan, Senior Vice President, Externa",44,"Greetings, and welcome to the Ecolab Fourth Quarter 2020 Earnings Release Conference Call. [Operator Instructions] As a reminder, this conference is being recorded. It is now my pleasure to introduce your host, Mike Monahan, Senior Vice President, External Relations. Mr. Monahan, you may begin."
268799,700851589,2212472,"Ecolab Inc., Q4 2020 Earnings Call, Feb 16, 2021",2021-02-16,"Earnings Calls","Ecolab Inc.","Executives","Thank you. Hello, everyone, and welcome to Ecolab's fourth quarter conference call. With me today are Christophe Beck, Ecolab's CEO; and Dan Schmechel, our CFO. A discussion of our results, along with our earnings release and the slides referencing the",518,"Thank you. Hello, everyone, and welcome to Ecolab's fourth quarter conference call. With me today are Christophe Beck, Ecolab's CEO; and Dan Schmechel, our CFO. 
A discussion of our results, along with our earnings release and the slides referencing the quarter's results are available on Ecolab's website at ecolab.com/investor. Please take a moment to read the cautionary statements in these materials, which state that this teleconference and the associated supplemental materials include estimates of future performance. These are forward-looking statements, and actual results could differ materially from those projected. Factors that could cause actual results to differ are described under the Risk Factors section in our Form 10-Q for the period ended September 20, 2020 -- pardon me, September 30, 2020, and in our posted materials. We also refer you to the supplemental diluted earnings per share information in the release. 
Starting with a brief overview, fourth quarter earnings continued to show sequential improvement despite the negative impact of a greater-than-expected second COVID wave. As earnings per share decline narrowed once again, we -- as we leveraged our new business wins, increased customer penetration and digital technology, along with lower costs to show the sequentially better results. As before, roughly 80% of our aggregated business showed good sales and strong income growth. 
Our Institutional division, which is roughly 20% of our current sales, remain the most impacted, reflecting the effects of COVID-driven restrictions on global restaurants and hotels. But we also note that Institutional is a business that could benefit the most over the coming years as long-term hygiene standards continue to rise. 
In 2020, we took a number of actions and made targeted investments for post-COVID success. We believe we emerged from 2020 better positioned as our business wins, new product development, digital platform and our improved field sales force effectiveness should lead to a more effective and profitable Ecolab business. 
Looking ahead, we expect global efforts to reduce COVID spread and the expanded rollout of vaccines will lead to further global economic improvement in 2021. We believe our strengthened business will deliver full year 2021 earnings above 2019 results from continuing operations. For the first quarter, year-on-year percentage decline showing modest sequential improvement from the fourth quarter and the remaining quarters of 2021, showing strong year-on-year growth. 
In a world challenged by COVID, we saw the value of Ecolab's premium product and service expertise was, once again, underscored through strong new business growth as well as our strengthened existing customer relationships despite the difficult market conditions. Our position as leader in food safety, clean water and healthy environments has become even more important. We believe that this position, along with our long-term growth opportunities remain robust driven by our huge remaining market opportunity, our leading global market position, our focus on providing our strong customer base with improved results while lowering their water, energy and other operating costs and our strong financial position with resilient free cash flow. We believe these sustainable long-term business drivers will continue to lead superior long-term performance for Ecolab and our investors. 
And now here is Christophe Beck with his comments."
268799,700851589,2212472,"Ecolab Inc., Q4 2020 Earnings Call, Feb 16, 2021",2021-02-16,"Earnings Calls","Ecolab Inc.","Executives","Thank you so much, Mike, and good afternoon, everyone. It's a pleasure for me to lead my first quarterly conference call as CEO to share with you our results and our expectations for the future. It's no understatement to say that these are exciting time",946,"Thank you so much, Mike, and good afternoon, everyone. It's a pleasure for me to lead my first quarterly conference call as CEO to share with you our results and our expectations for the future. 
It's no understatement to say that these are exciting times to lead this great company and what we do. And most importantly, the way we do it matters more than ever. Ecolab is an exceptional company built on solid foundations and strong values. I had the chance to be part of shaping where we are today and where we're going tomorrow. So do not expect any sharp turns as I will keep building on what made us strong, resilient, predictable and successful. 
The challenges the world faces today are ultimately also long-term opportunities for Ecolab, and I believe that the best is still yet to come. So I look forward to sharing with you our progress and ambition in this and other forums. 
Now on to our results. Our performance continued to improve in the fourth quarter in spite of the short-term reversal of global market trends, unlike what we and most actually thought coming out of the third quarter earnings call. COVID cases went up. Lockdowns expanded, and restrictions got tighter in most places. For instance, right after our Q3 call, Germany moved from 40% of restaurants being close to 100%, and 1/3 of the U.S. states tightened restrictions. 
Nonetheless, our adjusted EPS continued to improve and narrowed its decline, decreasing 15% in Q4 versus the minus 24 in Q3. We could have easily delivered more in Q4, but we decided instead to keep increasing our growth investments in innovation, digital technology, sales capabilities and backbone infrastructure in the quarter to be ready for the rebound and the opportunities post-COVID. 
Our consolidated sales trend held stable versus the third quarter, which is a good indication as well that our investment strategy is working. And importantly, our cash flow remains strong, and fourth quarter free cash flow improved versus the prior year. 
Excluding the Institutional division, 80% of our aggregated business grew sales 2%, and operating income increased a strong 17%. Healthcare & Life Sciences posted 22% top line growth and a very strong 65% operating income growth. 
And our largest segment, Industrial, delivered a robust 18% operating income growth with a modest sales decline of 3%. So while we will keep improving the performance of all our businesses, Institutional will remain our primary near-term focus. And here, too, progress is being made. 
While temporary closures and on-premise traffic both got worse in the fourth quarter versus the third quarter in the U.S., our Institutional sales trends remain unchanged, and our margins continue to recover. In 2020, as COVID hit, I believe we responded really well to unique situation in a global restaurant and hotel industry that's historically been highly consistent and predictable. We protected our team and our business to make sure we were ready to capture the growth when the market reopened. 
We took great care of our key customers and enjoyed one of our strongest years of both retention and new business wins. We immediately provided all of our customers with world-class scientific expertise and comprehensive programs like the new no-rinse range of premium sanitizers. It's a program that kills the COVID-19 virus in 15 seconds, we believe, faster than anything else in the world. 
And we help our customers protect their business while we are assuring their guests with Ecolab Science Certified, a new program that has quickly established itself as a leading certification program in the U.S. We've also accelerated the work started a few years ago to continuously augment our critical field sales and service capabilities. We used 2020 to accelerate implementation of our latest digital field technology. And we expect this technology to further improve our field service effectiveness, customer experience and operational performance. 
At the same time, we finalized the fine-tuning of our field sales organization started 18 months ago, so pre-COVID. And we expect this to further increase sales fire power and drive units and penetration share gains as we've mentioned over the past few calls. With all of this, I believe Institutional is well positioned to benefit from the markets reopening and from the rise of global hygiene standards. 
Now more broadly, we entered 21 in a position of real strength. While we expect COVID-19 will continue to have a significant effect on the economy and our end markets, especially in the early part of the year, we expect to see the beginning of the COVID-19 recovery for our global markets to start in the second quarter. It will then take a few quarters to fully realize the new normal. However, we believe that our strong new business wins, product and service innovation, investment in new hygiene and digital technologies and successful sales and profit initiative will deliver full year 2021 earnings above 2019 results from continuing operations. 
We expect the first quarter to show a modest improvement in year-on-year percentage decline versus the fourth quarter while the remaining quarters of 2021 will show very strong year-on-year. In other words, 2021 should be a strong rebound for Ecolab. 
With hygiene standards that are rising fast, we're ready to respond to these new trends with breakthrough solutions and a brand that inspires trust. With water and climate challenges that have just gotten tougher, we're uniquely positioned to help our customers reach the sustainability ambition at a high financial return. And with an unbeatable global team, supported by state-of-the-art digital technology, we look into the future with a great deal of confidence. I look forward to your questions. 
Mike, floor's back to you."
268799,700851589,2212472,"Ecolab Inc., Q4 2020 Earnings Call, Feb 16, 2021",2021-02-16,"Earnings Calls","Ecolab Inc.","Executives","Thanks, Christophe. That concludes our formal remarks. Operator, would you please begin the question-and-answer period?",15,"Thanks, Christophe. That concludes our formal remarks. Operator, would you please begin the question-and-answer period?"
268799,700851589,2212472,"Ecolab Inc., Q4 2020 Earnings Call, Feb 16, 2021",2021-02-16,"Earnings Calls","Ecolab Inc.","Operator","[Operator Instructions] And our first question will be coming from the line of Tim Mulrooney of William Blair.",18,"[Operator Instructions] And our first question will be coming from the line of Tim Mulrooney of William Blair."
268799,700851589,2212472,"Ecolab Inc., Q4 2020 Earnings Call, Feb 16, 2021",2021-02-16,"Earnings Calls","Ecolab Inc.","Analysts","I really only have one question, one thing I want to talk about, which is this. You mentioned improvements in your field services organization implemented over the last 18 months. I think that's part of your institutional advancement program. And I'm not",79,"I really only have one question, one thing I want to talk about, which is this. You mentioned improvements in your field services organization implemented over the last 18 months. I think that's part of your institutional advancement program. And I'm not asking you to give away any competitive secrets here, but can you talk about what those improvements were? Specifically, I think you mentioned improving sales firepower, which should drive both new unit sales and market share gains."
268799,700851589,2212472,"Ecolab Inc., Q4 2020 Earnings Call, Feb 16, 2021",2021-02-16,"Earnings Calls","Ecolab Inc.","Executives","We'd love to. Thank you, Tim. Great question. So as you mentioned and I've mentioned in my intro as well, those are developments that we have started a few years ago. And we've made those developments as well by working together with our teams and our tec",396,"We'd love to. Thank you, Tim. Great question. So as you mentioned and I've mentioned in my intro as well, those are developments that we have started a few years ago. And we've made those developments as well by working together with our teams and our technology partners as well. We've tested that as well at numerous occasions, really making sure that everything is working really well because it's so important for our team. 
And we were really aiming at 2 objectives that we've accelerated during the past few quarters because we had a unique opportunity during COVID to get it done faster. We could train our people as well during times that they had as well available. 
And the 2 things are first, it's really to help the service delivery. What does that mean for our teams is ultimately that these digital tools are helping them get their daily program that's being optimized by the system. If they get an emergency call as well that's coming within the daily program, well, it's rerouted and making sure they can do that with the minimum time and the minimum mileage as well to get there. They get all the customer information in real-time when they go and visit as well as the customer. They get tools as well to sell better any new solution, and they have training tools as well that they can share with the customers in order to make sure that those programs are being used really the best way. 
So this first objective is really about improving the customer experience. It's improving the work performance of our teams and ultimately, so for them, having more time to spend with the customer. 
The second objective, and I'll conclude on that, is really on the sales side of our team. It's to help them sell more. We've shared many times our ambition to increase penetration. Well, those systems are helping do that because they give you real-time customer information. Our teams know how the customer is performing, the products they're using, the new products that we could be adding as well to them. And they can merchandise as well the results that have been accomplished. So at the end of the day, it's easier for our team. It's better for the customer, and it costs less as a whole as well for the company."
268799,700851589,2212472,"Ecolab Inc., Q4 2020 Earnings Call, Feb 16, 2021",2021-02-16,"Earnings Calls","Ecolab Inc.","Operator","Our next question is from the line of Manav Patnaik with Barclays.",12,"Our next question is from the line of Manav Patnaik with Barclays."
268799,700851589,2212472,"Ecolab Inc., Q4 2020 Earnings Call, Feb 16, 2021",2021-02-16,"Earnings Calls","Ecolab Inc.","Analysts","I had a question on -- around breakout areas. So you have Life Sciences, has become a very nice growth area for you guys. I think at your last Investor Day, you talked about several new ones. And I was just wondering if you could give us some color there",62,"I had a question on -- around breakout areas. So you have Life Sciences, has become a very nice growth area for you guys. I think at your last Investor Day, you talked about several new ones. And I was just wondering if you could give us some color there and if anything else has popped up during the past year clearly?"
268799,700851589,2212472,"Ecolab Inc., Q4 2020 Earnings Call, Feb 16, 2021",2021-02-16,"Earnings Calls","Ecolab Inc.","Executives","Thank you, Manav. Well, expanding our TAM has always been so part of the Ecolab strategy. So finding new growth avenues, new growth markets and lining up resources behind them has been part of the way the company has been growing. You're mentioning Life",362,"Thank you, Manav. Well, expanding our TAM has always been so part of the Ecolab strategy. So finding new growth avenues, new growth markets and lining up resources behind them has been part of the way the company has been growing. 
You're mentioning Life Science. We started this business a few years ago. It's turned into an exceptional performance. It's been obviously helped by COVID as well at the same time because the need of our pharma customers have grown so much. It's driven as well great innovation as well as for them in order to make sure they could produce vaccines, for instance, in the safest and most profitable way at the same time. 
But interestingly enough, that way of approaching things, Manav, has helped us as well, opening new markets like data centers. We've started that 2 years ago when we saw that companies were ultimately outsourcing all their IT to larger companies like Amazon, Microsoft, Google and so on. And we were dealing with them, providing them with some solutions because those computers generate a lot of energy and need to be cooled down while we are providing solutions for them as many other customers. And ultimately, we've said, ""Well, that's a critical market for the future."" It's going to keep growing. We're going to create a division as well behind it, which is exactly what we did. That was before COVID, then COVID happened. Everyone used the cloud, and it's a market that's been booming as well since then. It's been a good play. 
And the last one I'll mention, Manav, here is animal health, where we knew as well that antibiotic is something that consumers, that you and I don't want to have in our food, ultimately. So how do we help animals staying healthy in the food chain at the very beginning, and that's how we've created as well a division. We've made a big acquisition as well early last year with [ Sedline ], which is creating that critical mass for that new market opportunity and which is leading to double-digit growth since we've done that as well. So just a few examples like that."
