"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
108544,700611246,2182833,"Hologic, Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","Hologic, Inc.","Operator","Good afternoon, and welcome to Hologic's First Quarter Fiscal 2021 Earnings Conference Call. My name is Eduardo, and I am your operator for today's call. Today's conference call is being recorded. [Operator Instructions] I'd now like to introduce Mike Wat",52,"Good afternoon, and welcome to Hologic's First Quarter Fiscal 2021 Earnings Conference Call. My name is Eduardo, and I am your operator for today's call. Today's conference call is being recorded. [Operator Instructions] I'd now like to introduce Mike Watts, Vice President of Investor Relations and Corporate Communications, to begin the call."
108544,700611246,2182833,"Hologic, Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","Hologic, Inc.","Executives","Thank you, Eduardo. Good afternoon, and thanks for joining us for Hologic's First Quarter Fiscal 2021 Earnings Call. With me today are Steve MacMillan, the company's Chairman, President and CEO; and Karleen Oberton, our Chief Financial Officer. Steve and",252,"Thank you, Eduardo. Good afternoon, and thanks for joining us for Hologic's First Quarter Fiscal 2021 Earnings Call. With me today are Steve MacMillan, the company's Chairman, President and CEO; and Karleen Oberton, our Chief Financial Officer. Steve and Karleen both have some prepared remarks, then we'll have a question-and-answer session today. 
Our first quarter press release is available now on the Investors section of our website. We also will post our prepared remarks to our website shortly after we deliver them. Finally, a replay of this call will be archived through February 26. 
Before we begin, I'd like to inform you that certain statements we make during this call will be forward-looking. These statements involve known and unknown risks and uncertainties and that may cause actual results to differ materially from those expressed or implied. Such factors include those referenced in the safe harbor statement that's included in our earnings release and in our filings with the SEC. Also during this call, we will be discussing certain non-GAAP financial measures. A reconciliation to GAAP can be found in our earnings release. One of these non-GAAP measures is organic revenue, and we define organic revenue as constant currency revenue, excluding the divested Blood Screening and Cynosure businesses as well as the acquired Acessa business. Finally, any percentage changes we discuss will be on a year-over-year basis, and revenue growth rates will be expressed in constant currency unless otherwise noted. Now I'd like to turn the call over to Steve MacMillan, Hologic's CEO."
108544,700611246,2182833,"Hologic, Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","Hologic, Inc.","Executives","Thank you, Mike, and good afternoon, everyone. We're pleased to discuss our financial results for the first quarter of fiscal 2021. We are off to a very strong start to the year across all our businesses and major geographies. Once again, our Diagnostics",2049,"Thank you, Mike, and good afternoon, everyone. We're pleased to discuss our financial results for the first quarter of fiscal 2021. We are off to a very strong start to the year across all our businesses and major geographies. Once again, our Diagnostics division delivered incredible performance by making a massive impact against COVID-19. And our Breast Health and Surgical businesses continue to strengthen, with each returning to growth in the United States, Europe and Asia Pacific. So our performance was strong and broad-based across both divisions and geographies. As a result, our financial results were exceptional in the first quarter. Let's provide a quick overview. 
Total revenue was $1.61 billion with non-GAAP earnings per share of $2.86. Organic revenue more than doubled, up 104% while EPS increased more than fourfold as higher production volumes and diagnostics enabled us to leverage our fixed cost base. Both revenue and EPS came in well ahead of our expectations at the beginning of the quarter. 
With that introduction, I'd like to cover 3 main topics in my remarks today, which will echo some of the themes from our presentation at the JPMorgan conference earlier this month. First, how our purpose-driven culture is contributing to, and we believe, driving our excellent financial results. Second, how we're making a huge difference in the fight against COVID-19. And third, why we'll be a stronger company on the other side of the pandemic. 
To begin, many of you will recall that Larry Fink, the CEO of BlackRock, wrote in early 2018 that companies, both public and private, should serve a social purpose. 3 years later, we would argue that Hologic is the epitome of such a company. We are an incredibly purpose-driven, highly engaged team that is waking up every day wanting to make a positive difference in the world. And we believe this culture is contributing to differentiated financial performance, both in terms of our COVID response and the faster than expected return to growth in our Breast Health and Surgical divisions. Our employees understand that the bigger our collective impact on the world, the more they and our shareholders benefit. 
What makes us tick is our strong purpose of enabling healthier lives everywhere, every day. Within this, we have a special passion, to champion women's health. But we don't just help women. If, for example, you're 1 one the tens of millions of people who have had a Hologic COVID test in the last year, you can rest assured that you're getting a high-quality, highly accurate result. That's the promise we make to our customers, which we call the science of sure. 
Our purpose, passion and promise have shown up in countless ways since the pandemic began. Some are visible externally, like extraordinarily rapid EUAs or massive increases in production capacity. But many are behind the scenes from how we rewarded our frontline employees for their heroic efforts during the pandemic, to how our Board and management team found safe ways to meet in person, to how we always try to under-promise and over-deliver on the COVID test commitments we made to customers and governments around the world. 
We talk about many of these topics in our second annual sustainability report titled, The Power of Purpose, which we just published on our website last week. I'd encourage all our investors, but especially those interested in ESG issues, to take a look. 
Now let us give you an update on our COVID testing efforts. As you can probably tell from our financial results, we continue to make good progress on our plans to expand manufacturing capacity for our 2 COVID assays out of our plants in San Diego and Manchester U.K. Total output increased sequentially compared to the September quarter, which enabled us to provide about 30 million COVID assays to customers, generating revenue of about $745 million. As we have said, we are now selling more COVID tests each quarter than we had ever produced of all of our molecular tests before the pandemic. And we are on track to meet our goal to produce at least $75 million total molecular diagnostic tests a quarter globally by January of 2022. This would represent more than 3.5x our total capacity pre COVID, a tremendous accomplishment, thanks to our employees, our suppliers and the U.S. government, which is providing financial support. 
In the first quarter, about 1/3 of our COVID test revenue came outside the United States, mainly from Europe. COVID testing continues to strengthen our international business, our relationships with customers, our future prospects in diagnostics and even market access for our other franchises. These COVID sales contributed to total international revenue of $472 million in the quarter, which represented tremendous growth of 145% on an organic basis. 
At the same time, we are also encouraged that demand for new Panther instruments remains very strong. You might recall that last fiscal year, we placed more than 500 new Panther systems worldwide, more than double our usual run rate. And we are off to an excellent start in fiscal '21 with another 150 shipments in the first quarter alone. We still have a long waiting list for instruments, which we believe reflects the longevity of COVID testing that our customers anticipate. Overall, our global installed base now stands at roughly 2,400 instruments, giving us a robust platform for future growth as more customers come to appreciate our systems' best-in-class capabilities. 
Now let us shift gears to our third major topic, why we believe our business will be much stronger on the other side of the pandemic. First, it's never been more clear to us that demand for highly accurate molecular COVID testing will remain robust for a while, while we may have become a little numb to infection rates that remain staggeringly high in the United States and globally. But as a reminder, the almost 2 million molecular tests that are being performed daily in the United States today would annualize to a market that's about 17x bigger than the single largest molecular market before COVID. So while demand will inevitably decline as vaccines roll out, nucleic acid testing is likely to have a long, meaningful tail that extends into fiscal '22 and beyond. With COVID likely remaining our biggest molecular product, for years to come. 
As we have seen, it will take time to manufacture and administer vaccines broadly, and many people will choose not to be vaccinated. The societal need for and focus on COVID testing far exceeds anything we have ever seen before. And the pandemic's emotional toll will last much longer, driving future demand. 
As public concern around COVID persists, the combination of our huge Panther installed base at facilities close to the patient and our gold standard assay performance have us uniquely positioned to pursue many use cases that will be around for the long term. These include testing before hospital admissions, asymptomatic screening for various purposes and even confirmatory testing of other less accurate modalities. Studies have shown that these other tests can miss 2/3 of asymptomatic cases, and these false negative results can contribute to super spreader events. Even as the market matures and our production capacity increases, we believe our combination of robust chemistry, innovative engineering on Panther and differentiated labeling from FDA will help us gain market share. 
Moving on, the second reason Hologic will be stronger in the future is the significant non-COVID business we are gaining on our rapidly growing installed base of Panther instruments. I don't think it's an exaggeration to say that in the United States, Europe and Asia, every single Panther that our commercial teams have placed has been with an eye toward the future. They are doing a fantastic job of extending and broadening commercial contracts, winning key strategic accounts and fueling our Razor/Razorblade business model. 
As an indicator of this, last quarter, we discussed tests of record, or TORs, which represent contracted year 1 revenue from new assay customers. We said that we had achieved a new record in TORs in fiscal 2020 with non-COVID business totaling $35 million in the United States, about 50% more than we had ever done before. This positive trend is actually accelerated in early 2021, with more than $20 million of additional TORs in the first quarter alone. 
That's one reason that momentum in our Molecular business, which was already good before COVID, is improving further today, especially in Europe. For example, when we removed COVID assay sales from our Molecular number as well as instruments and ancillaries, core assay sales grew roughly 10% globally in the first quarter, more than double the rate 1 quarter ago. 
The third reason we believe we will be stronger post COVID is that thanks to the tremendous success of our Diagnostics business, we have been able to use the last several quarters to further bolster our Breast and Surgical franchises for the future. In Breast, we have continued to expand on our strategy to diversify the business across the patient continuum of care. Rather than just placing capital equipment, we are now selling a full portfolio of hardware and software upgrades, interventional tools and service. While the world has been understandably focused on COVID, we have increased our direct presence with breast health customers and developed and launched products such as Brevera, which is off to a very good start in its relaunch. And most recently, we acquired for $64 million, the German company, SOMATEX, a long-time partner of ours, to strengthen our portfolio of breast cancer markers, enhance our commercial presence in Europe and improve our profitability. 
In Surgical, both our R&D and business development pipelines have been productive, broadening the portfolio of products that we sell through a high-performing, highly engaged sales force. New products such as our fluent fluid management system and new hysteroscopes are complementing our market-leading MyoSure and NovaSure devices. And helped that division return to growth in the first quarter, well ahead of schedule. 
On the business development front. In August, we spent approximately $80 million plus future contingent earnouts to buy Acessa Health. Acessa's Proview is a laparoscopic RF product that is used to treat fibroids that MyoSure can't reach so it's very complementary to our Surgical business and a nice fit for our sales force. And so far, early feedback from our customers has been good. 
The acquisition of Acessa and SOMATEX demonstrate the final reason we will be stronger after the pandemic. The ability to use the healthy cash flow that COVID tests are generating to step up our business development activities. The pending $230 million acquisition of Biotheranostics, which we announced earlier this month, is another good example of this strategy. Biotheranostics, a leader in molecular tests for breast and metastatic cancers, enables us to expand into the adjacent growth market of oncology. More specifically, Biotheranostics has done a great job of developing a strong clinical and reimbursement foundation for their flagship breast cancer index test, which plays an important role in a large but underpenetrated breast cancer market that we know a lot about. In addition, Biotheranostics provides us clinical lab capabilities that we can use to develop markets for novel content down the road. From a financial perspective, Biotheranostics brings more than $30 million of annual revenue, growth rates in excess of 20% and strong gross margins. 
We're excited that since we announced the deal, Biotheranostics has received some very good news that will benefit women with early-stage hormone receptor positive breast cancer. The National Comprehensive Cancer Network, or NCCN, included the breast cancer index test in its guidelines to predict the benefit of extended treatment with various endocrine therapies. This should help establish the test as the standard of care for this important clinical question and contribute to increased patient access. 
Before turning the call over to Karleen, let me conclude by saying that we are off to an excellent start in fiscal 2021. Our purpose-driven culture is driving excellent execution and performance, both in terms of our COVID tests and the recovery of our other businesses. And we are working hard to ensure that the financial success we are experiencing now will translate into a stronger company down the road. We are confident it will. Now we'll turn the call over to Karleen."
108544,700611246,2182833,"Hologic, Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","Hologic, Inc.","Executives","Thank you, Steve, and good afternoon, everyone. In my remarks today, I'm going to provide an overview of our divisional sales results, walk through our income statement, briefly touch on a few other key financial metrics and finish with our guidance for t",1491,"Thank you, Steve, and good afternoon, everyone. In my remarks today, I'm going to provide an overview of our divisional sales results, walk through our income statement, briefly touch on a few other key financial metrics and finish with our guidance for the second quarter fiscal '21. 
As Steve said, we are very pleased with our first quarter results as revenue and EPS significantly exceeded our guidance. Reported revenue of $1.61 billion increased 87%. Organically, revenue grew 104%, driven by strong COVID sales and the continued improvement of our base business across all major geographies. Given the incredible demand for our COVID test and the strong results in our base business, we were able to significantly improve profit, margins and cash flow. As a result, EPS of $2.86 in the first quarter increased 369%, well ahead of our expectations. Further, operating cash flow has continued to be extremely strong, which I'll discuss in a minute. 
Before I do that, let me provide some detail on our divisional revenue results. In Diagnostics, our largest division, global revenue of $1.128 billion grew 256% in the first quarter, driven by Molecular, where sales increased 449%. In response to the unprecedented demand for COVID testing, we shipped about 30 million COVID test to customers, generating revenue of $745 million globally. And excluding COVID, our base molecular business accelerated sequentially as customers continue to see the benefit of our assay menu and the strength of Panther's high throughput automation. 
Rounding out Diagnostics, the cytology and perinatal businesses grew by 1% in the quarter, driven in part by a catch-up in cytology procedures at calendar year-end. 
In Breast Health, global revenue of $332.7 million was down slightly overall. However, performance improved compared to the fourth quarter and the business returned to slight growth in all geographies except for Latin America. The division's performance was driven by the interventional businesses, which grew 15% in the quarter and was helped by the relaunch of our Brevera biopsy system. 
Although we are encouraged by sequential improvement in the capital environment and by healthy equipment sales at calendar year-end, overall spending remains challenged because of COVID. However, our intentional diversification to service and consumables as well as several recent acquisitions have helped mitigate pressure on capital. As an example, Breast Health service revenue, which is larger than capital sales, grew by mid-single digits in the quarter. 
In Surgical, sales of $124 million grew 3.3%, a great result given headwinds on elective procedures from recently increasing COVID cases in some parts of the country. This result shows the strength and commitment of our surgical sales force as well as the benefit of several new products. 
Overall, in terms of geography, domestic sales of $1.14 billion increased 80% on a reported basis. On an organic basis, U.S. revenue was up 91%. Outside the United States, sales of $472 million increased 106% in constant currency. Organically, sales outside the U.S. grew 145%, a stellar result that reflects our growing international strength. 
Now let's move on to the rest of the P&L for the first quarter. Gross margins of 77.2% increased 1,560 basis points, driven by sales of high-margin COVID tests and the divestiture of the low-margin Cynosure business. Total operating expenses of $274.5 million decreased 5.1% in the first quarter. However, expenses actually increased when normalized for the Cynosure sale and about $6.5 million of credits from BARDA associated with the development of our COVID assays. These increases were driven by investments in R&D and marketing for future growth. In addition, expenses associated with our deferred compensation plan increased as a result of equity market gains. As a reminder, while this liability is mark-to-market, most of the expense is offset by a benefit we realized in other income in the quarter. 
In addition, our non-GAAP tax rate in the quarter was 21.75%, slightly lower than previously forecasted driven by a favorable geographic mix of income, primarily from sales of COVID-19 assays outside the United States. Putting all this together, operating margins increased 3,270 basis points to 60.2%, and net margins increased 2,730 basis points to 46.6%. As a result, non-GAAP net income finished at $749.6 million and non-GAAP earnings per share were $2.86, well ahead of expectations. 
Before we cover our 2021 second quarter guidance, I'll quickly touch on a few other financial metrics. Driven by demand for our COVID tests, cash flow from operations was $650 million in the first quarter. A very strong result. In fact, this was about the same as our total cash flow from operations for all of fiscal 2019. Looked at another way, in just the last 2 quarters, we have generated about $1.1 billion in operating cash flow, which gives us tremendous financial and strategic flexibility. For example, we repurchased nearly 1.5 million shares of stock for $101 million in the first quarter. And our Board recently approved a new $1 billion authorization, highlighting our commitment to capital deployment. And we were also able to strengthen our balance sheet by repaying our outstanding revolver balance of $250 million. As a reminder, we had borrowed against the revolver as a precautionary measure very early in the pandemic. 
Overall, we had $869 million of cash at the end of the first quarter. And with more than $1 billion of EBITDA for the quarter, our leverage ratio fell to 0.8x. While we remain comfortable with leverage ratio between 2 and 3 over the longer term, we also have no problem with a lower ratio in the short term. As you know, we are actively pursuing a number of division-led tuck-in acquisitions and hope to use our cash to complete more deals this year in addition to buying back our stock. Finally, ROIC was 26.7% on a trailing 12-month basis, a significant increase of 1,440 basis points. 
Before we open the call for questions, let me discuss our expectations for the second quarter of fiscal '21. We anticipate that fiscal '21 will be an excellent year for Hologic overall. But our business environment remains fluid due to the ongoing effects of the pandemic. Therefore, we are only providing a single quarter of guidance today. Let me also point out that our guidance does not include the impact of the pending Biotheranostics acquisition, which has not yet closed. 
In the second quarter of fiscal '21, we expect excellent financial results again, with total revenue in the range of $1.5 billion to $1.56 billion. This represents an approximate doubling of organic revenue growth to roughly 96% to 104%. Underlying this, we expect similar sales of our COVID test to drive exceptional diagnostics growth. As a reminder, most of our new molecular production capacity is expected to come online in the second half of our fiscal year. 
Blood Screening revenue, which we backed out of our organic calculations, expected to be about $10 million in the quarter. 
In our other businesses, let me remind you that our March quarter sales are typically down sequentially compared to the December period for our Breast, Surgical and base Diagnostics businesses as capital sales in semi-elective procedures tend to be seasonally stronger at the end of the calendar year. In addition, our guidance incorporates headwinds related to customer spending constraints and restrictions on procedure volumes given rising COVID cases. While our customers are much better prepared than they were last spring to manage through local increases in COVID prevalence, we have seen a recent slowdown in some elective surgeries. 
On the bottom line, we expect EPS of $2.56 to $2.68 in the second quarter, with extraordinary growth rate that significantly outpaced revenue even as we increase investments for future growth. To put this in perspective, we expect to earn more in the second quarter alone than we did in the full year of 2019. The second quarter guidance is based on a tax rate of 21.75% and diluted shares outstanding of $262 million to $263 million for the quarter. I'd also like to point out that we expect other expenses net to increase to close to $25 million in the second quarter as we don't forecast gains or losses related to certain hedging activities like we saw in the first quarter. 
As you update your forecast, let me remind you that macro uncertainty has increased in recent weeks due to the pandemic. While our visibility has improved compared to several months ago, we would still encourage you to model at the middle of our ranges, which incorporates both potential upsides and downsides. 
Before we open the call for questions, let me wrap up by saying that Hologic's financial performance in the first quarter was terrific. We continue to make a huge impact fighting the COVID-19 pandemic and on women's health globally. Further, I am confident that we have positioned ourselves to deliver exceptional long-term performance. With that, I will ask the operator to open the call for questions. [Operator Instructions] Operator, we are ready for the first question."
108544,700611246,2182833,"Hologic, Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","Hologic, Inc.","Operator","[Operator Instructions] We'll now take our first question from Dan Leonard at Wells Fargo.",14,"[Operator Instructions] We'll now take our first question from Dan Leonard at Wells Fargo."
108544,700611246,2182833,"Hologic, Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","Hologic, Inc.","Analysts","So first question, if you made a comment that your  success of COVID testing outside of the U.S. has actually helped to strengthen your other franchises. Could you elaborate a bit on that?",33,"So first question, if you made a comment that your  success of COVID testing outside of the U.S. has actually helped to strengthen your other franchises. Could you elaborate a bit on that?"
108544,700611246,2182833,"Hologic, Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","Hologic, Inc.","Executives","Yes, Dan, thank you. First off, it's funny how things go in full circle. As you know, over the last few years, we've acquired a number of our dealers in Europe on the Breast Health side, and that gave us much more of a direct presence in a lot of the key",213,"Yes, Dan, thank you. First off, it's funny how things go in full circle. As you know, over the last few years, we've acquired a number of our dealers in Europe on the Breast Health side, and that gave us much more of a direct presence in a lot of the key countries, the U.K., Germany. Spain, Portugal, just to name now. And it's really helped us strengthen our whole team in Europe. So we've been building relationships at a higher level. As COVID is hit, it's given us incredible access to a lot of the major governments. We've got contracts with just about every major government in Europe. And in so doing, we're now on their radar screen that they really -- a lot of them didn't know about the Diagnostics business and how much of a leader we are in the sexually transmitted infections and other stuff. So we've been able, as we've been selling in COVID and giving them Panthers to really be booking new business that will come online as the Panthers go down and really just being able to talk more about our cytology business, our HPV business. And really just a different level of relationship that we think is going to strengthen us significantly down the road."
108544,700611246,2182833,"Hologic, Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","Hologic, Inc.","Analysts","Okay. That's helpful. And then an unrelated follow-up. How would you characterize the M&A environment right now? I mean, during pandemic in diagnostics, specifically, do you think it be -- is it feasible to do something in your core infectious disease tes",69,"Okay. That's helpful. And then an unrelated follow-up. How would you characterize the M&A environment right now? I mean, during pandemic in diagnostics, specifically, do you think it be -- is it feasible to do something in your core infectious disease testing space? Or do you think this is an environment where you really got to wait for the pandemic to subside before those types of assets become available?"
108544,700611246,2182833,"Hologic, Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","Hologic, Inc.","Executives","Great question, Dan. I think we've probably put it in a couple of different perspectives. First and foremost, I would say, is as -- while we're obviously generating a ton of cash right now, we also have the luxury of being in an enormous position of stren",342,"Great question, Dan. I think we've probably put it in a couple of different perspectives. First and foremost, I would say, is as -- while we're obviously generating a ton of cash right now, we also have the luxury of being in an enormous position of strength in that our base businesses are performing. And I think the best way that you can be very disciplined on deals is when it's easy to walk away from anything because you don't need anything. And you feel good about your underlying business. So then if we look at the market specifically, it's been fascinating to watch over the last 8 months, right? First, everybody hunkered down back March, April, May, including ourselves. We had pushed things like the Acessa deal. We'd even pushed out a few months, and we'd had a relationship with Biotheranostics and kind of just wanted to see where our own cash flow was at that point in time. So now, obviously, there's a lot of companies that are fairly flushed with cash. They're it's -- there's also a fairly healthy IPO market right now. So there's a bit of froth out there, I think, and we want to be disciplined. So I would tell you as excited as the deals we've done, I'm probably more proud of some deals we've gone pretty deep on over the last 3, 4 months that we walked away from, really over valuation or other issues in diligence. And that's, I think, the maturing of our team here and the fundamental strength. So I think we're in a position where if we can get the right assets at the right price with good ROICs, hey, that's great. And if we need to wait some things out or even miss some things, we're not going to get caught into bidding wars and overpay. So I do think it's it's a pretty vibrant market right now. We've had every banker beating our door down trying to sell these things as you can imagine, but staying very disciplined."
108544,700611246,2182833,"Hologic, Inc., Q1 2021 Earnings Call, Jan 27, 2021",2021-01-27,"Earnings Calls","Hologic, Inc.","Operator","We'll now take our next question from Patrick Donley at Citi.",12,"We'll now take our next question from Patrick Donley at Citi."
