"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
282225,700980182,2190342,"KLA Corporation, Q2 2021 Earnings Call, Feb 03, 2021",2021-02-03,"Earnings Calls","KLA Corporation","Operator","Good day. My name is Priscilla, and I will be your conference operator today. At this time, I would like to welcome everyone to the KLA Corporation December Quarter 2020 Earnings Conference Call and Webcast. [Operator Instructions] I will now turn the",55,"Good day. My name is Priscilla, and I will be your conference operator today. At this time, I would like to welcome everyone to the KLA Corporation December Quarter 2020 Earnings Conference Call and Webcast. 
[Operator Instructions] 
I will now turn the call over to Kevin Kessel, Vice President of Investor Relations. Please go ahead."
282225,700980182,2190342,"KLA Corporation, Q2 2021 Earnings Call, Feb 03, 2021",2021-02-03,"Earnings Calls","KLA Corporation","Executives","Thank you, and welcome to KLA's fiscal Q2 2021 quarterly earnings call to discuss the results of the December quarter and the outlook for the March quarter. With me today is Rick Wallace, our Chief Executive Officer; and Bren Higgins, our Chief Financial",313,"Thank you, and welcome to KLA's fiscal Q2 2021 quarterly earnings call to discuss the results of the December quarter and the outlook for the March quarter. With me today is Rick Wallace, our Chief Executive Officer; and Bren Higgins, our Chief Financial Officer. During today's call, we will discuss quarterly results for the period ended December 31, 2020, that we released today after the market closed in the form of a press release shareholder letter and slide deck. All are available on the KLA IR section of our website. 
Today's discussion is presented on a non-GAAP financial basis, unless otherwise specified, a detailed reconciliation of GAAP to non-GAAP results is in today's earnings material posted on our website. Today's call also represents the end of the calendar year. We will make references to both 2020 and 2021. Please note all references are for the calendar year. Our IR website also contains future virtual investor conferences as well as presentations, corporate governance information and links to our SEC filings, including our most recent annual report and quarterly reports on Forms 10-K and 10-Q. 
Our comments today are subject to risks and uncertainties reflected in the risk factor disclosure in our SEC filings. Any forward-looking statements, including those we make on the call today, are subject to those risks, and KLA cannot guarantee those forward-looking statements will come true. Our actual results may differ significantly from those projected in our forward-looking statements. 
As many of you now know, we changed the format of our earnings 2 quarters ago to include prepublishing a detailed shareholder letter that provides updates on our business performance. The prepublishing allows this call to be efficient by providing more streamlined comments while also freeing up more time for your questions and answers. With that, I'd like to turn the call over to our President and Chief Executive Officer, Rick Wallace."
282225,700980182,2190342,"KLA Corporation, Q2 2021 Earnings Call, Feb 03, 2021",2021-02-03,"Earnings Calls","KLA Corporation","Executives","Thanks, Kevin, and thank you for joining us today and for your interest in KLA. As we reflect on the accomplishments of 2020, it's important for me to first appreciate and acknowledge the global KLA team. Your perseverance, drive to be better, and determi",1421,"Thanks, Kevin, and thank you for joining us today and for your interest in KLA. As we reflect on the accomplishments of 2020, it's important for me to first appreciate and acknowledge the global KLA team. Your perseverance, drive to be better, and determination enabled KLA to rise to the challenge and deliver for our customers. 2020 was like no other year we have seen. And while our teams have not been physically together for the most part, our company continues to demonstrate the great KLA culture of collaboration and innovation and is emerging stronger than ever. 
In the process, we delivered exceptionally strong financial results in the December quarter, closing a strong year for the company. In our shareholder letter published today, we articulate how KLA's record results are driven by success on multiple fronts including the resourcefulness of our global workforce, the resiliency of our business model and our commitment to returning value to our shareholders. 
As most of you have already seen from our results, 2020 was an impressive year for KLA on multiple fronts. We delivered strong growth, profitability and free cash flow while continuously adjusting to the changing work environments driven by COVID. Through it all, we remain focused on meeting customer demand and delivering strong return to shareholders in the rapidly growing semiconductor market. Bren will have much more to highlight on the financials for both the quarter and the year, but I'd like to hit on a few of the annual milestones. 
For the year, KLA revenue grew 15% to $6.1 billion, marking the fifth consecutive year of growth. We also delivered notable profitability growth with non-GAAP operating profit and non-GAAP earnings per share, increasing 28% and 32%, respectively, year-over-year. Our free cash flow grew 44% to $1.8 billion and we returned $1.2 billion to shareholders through share repurchases and dividends. 
In the December quarter, we saw diversified strength across each of our segments. Semiconductor Process Control revenue was once again above plan. The Electronics, Packaging and Components group met its target, and our Services business continued and delivered another quarter of growth and strong operating leverage. We ended the year with strong backlog, setting the stage for double-digit growth in 2021 as we continue to execute at a high level. We're operating from a position of strength in our marketplace. And given the accelerated growth of our served markets, we remain solidly on track to meet, and likely exceed, our 2023 financial targets. 
All this reflects the dedication global teams and the enabling role KLA plays in our customers' technology road maps and enhancing their return on capital investment. Moving to today's demand environment, which continues to demonstrate accelerated adoption of several semiconductor and electronics industry growth drivers that we've been highlighting for the past few years, technology continues to transform how we live and work. And the data-driven economy is fundamentally changing how businesses operate and deliver value. 
This digital transformation is enabling secular demand drivers such as high-performance computing, artificial intelligence and rapid growth in new automotive electronics and 5G communications markets. Each of these secular trends are driving investment and innovation and advanced memory and logic semiconductor devices as well as new and increasingly more complex advanced packaging and PCB technologies. 
With our market leadership in Process Control, and growth and expansion to new markets like specialty semiconductor process equipment, PCB and finished die inspection in our EPC group, KLA is essential to enabling our increasingly digital world. As much as things have changed over the past year, one thing that's remained constant is our KLA operating model. 
KLA operating model is the enduring framework that we rely on to guide the execution of our long-term strategic objectives. We deploy the KLA operating model to align the company on a consistent strategy, tie accountability to results, drive product development execution, respond to changing market conditions and facilitate continuous improvement, while ensuring the company operates with strong fiscal discipline as we pursue our long-term performance and profitability objectives. 
Let's turn now to 5 top highlights for our -- and our results for the quarter and for 2020. First, we saw continued strength and breadth in foundry/logic demand in the quarter. As expected, memory demand also grew as memory customers plan for growth and equipment investment in 2021 to meet improving end demand. We expect higher business levels across a broader set of customers in the March quarter, with demand momentum continuing throughout 2021 across our major end markets. 
The strength in demand we're seeing reflects KLA's essential role in supporting our customers' drive to innovate and continue to invest in future technology nodes. Second, we're seeing strong momentum in the marketplace for new products, driving market growth and share opportunities in both the semiconductor Process Control and EPC groups. Fueled by expanded customer investment in EUV lithography, the Semiconductor Process Control business is driving adoption with new applications in optical inspection portfolio, such as EUV print check for Gen 5. 
And expanding our share in new markets for KLA, including the eSL10, e-beam inspection platform and the nascent use of x-ray technologies for metrology applications. Third, our services revenue grew to $1.56 billion or 25% of total sales in 2020. This is driven by growth in our installed base, higher utilization rate and increasing expansion of service opportunities in the trailing edge and in the EPC group. 
The strong results delivered in 2020 show how the Services team continues to do a fantastic job leveraging the KLA operating model to deliver at a high level. Working in close collaboration with customers and partners, the Services business innovated and drove new initiatives against the unprecedented challenges of COVID. Not only did our Services business receive praise from our customers but also grew share of wallet. 
And we've seen our contact penetration steadily increase in 2020 from 70% to 75% plus, which fuels recurring revenue streams and generate strong operating leverage and cash flows. Fourth, this was a very encouraging year for the newly established EPC group, demonstrating success in KLA's growth strategies and highlighting how execution of the KLA operating model drives market leadership and improved operating leverage in acquired businesses. Revenue growth was strong, and we believe that on a net basis will exceed our $50 million annual acquisition cost synergy target by at least another additional $30 million. 
With EPC, KLA is now providing a more comprehensive and broader product portfolio and addressing fast-growing new markets in the electronics value chain, such as RF, automotive, 5G wireless connectivity and display. Relative to the adoption of 5G, KLA has exposure to many key components in the electronics value chain as well. The EPC group ended the year with record backlog, setting the stage for double-digit growth in 2021 and for incremental operating margins on that growth in line with the total company model. 
Finally, in keeping with our commitment to deliver strong and predictable capital returns to our shareholders. In the December quarter, we repurchased $177 million of common stock and paid $140 million in dividends. Back in July, KLA's Board of Directors authorized the 11th consecutive annual dividend increase to a yearly run rate of $3.60 per share. Since inception in 2006, KLA's dividend payout has grown at a CAGR of approximately 15%. In 2020, KLA returned $1.23 billion to shareholders or 70% of free cash flow. 
Before Bren gets into the greater detail of our financial highlights, let me briefly summarize despite the disruption and unforeseen challenges that persisted throughout the year associated with COVID, KLA has benefited from the resourcefulness of global workforce. We've adapted well and we end 2020 in a position of strength while delivering record results and set the stage for the sixth consecutive year of growth. KLA is exceptionally well positioned at the forefront of technology innovation with a comprehensive portfolio of products to meet the demanding customer requirements, which balance sensitivity and throughput. 
The semiconductor and electronics landscape is constantly changing, and we're seeing broadening customer interest which is being applied to more technology innovation than ever before at leading edge. We believe the secular factors driving industry demand that we identified at our last Investor Day, are even more relevant now than they were then. And this will help us to meet and likely exceed our 2023 financial targets. 
At the same time, our strategy of driving diversified growth with strong long-term operating leverage should provide consistent capital returns to our shareholders. And with that, I'll pass the call over to Bren."
282225,700980182,2190342,"KLA Corporation, Q2 2021 Earnings Call, Feb 03, 2021",2021-02-03,"Earnings Calls","KLA Corporation","Executives","Thanks, Rick, and good afternoon, everyone. KLA's December quarter and 2020 results highlight the soundness and strength of our ongoing strategy. We continue to demonstrate our ability to meet customer needs and expand our market leadership, while growing",1257,"Thanks, Rick, and good afternoon, everyone. KLA's December quarter and 2020 results highlight the soundness and strength of our ongoing strategy. We continue to demonstrate our ability to meet customer needs and expand our market leadership, while growing operating profits, generating record free cash flow, and maintaining our long-term strategy of productive capital allocation. 
2020 was a year of strong growth and profitability across multiple areas of our business. All of this was accomplished while simultaneously continuing to return high levels of capital to shareholders. Total revenue in the December quarter was $1.65 billion, the very top of the guided range for the quarter of $1.51 to $1.66 billion. Non-GAAP gross margin was 61.8%, slightly below the midpoint of the guided range for the quarter of 61% to 63%. 
Non-GAAP EPS was $3.24, solidly above the midpoint of the guided range of $2.82 to $3.46. GAAP EPS was $2.94. At the guided tax rate of 13%, non-GAAP EPS would have been $0.03 higher or $3.27. Total operating expenses were above the guided range of $393 million including $228 million of R&D expense and $165 million of SG&A. Non-GAAP operating income as a percent of revenue was strong at 38% and in line with expectations. 
The higher operating expenses in the quarter were due in part to adjustments in variable compensation programs as well as the timing of prototype material purchases for product development programs. Based on revenue expectations for 2021, and product development requirements, particularly in programs supporting next-generation reticle inspection capabilities, and the regionalization of additional customer engagement resources, we expect operating expenses to be approximately $400 million in the March quarter. 
And we are budgeting quarterly operating expenses roughly within the range of $400 million to $405 million over the near-term horizon. Given top line expectations for 2021, and we expect that the business will continue to outperform its target operating model in terms of overall profitability and operating margin leverage. Other interest and expense in the December quarter was $43 million, and the effective tax rate was 13.8%. 
Though we always have some variability in our tax rate, given the timing and impact of discrete items and the geographic distribution of revenue and profit, we believe it is prudent to adjust our long-term tax planning rate up slightly to 13.5% going forward. Of course, we are monitoring the corporate tax discussions in the United States. And we'll provide updates on how those will affect or would affect KLA as appropriate in the future. 
Non-GAAP net income was $504 million. GAAP net income was $457 million. Cash flow from operations was $561 million, and free cash flow was a record at $502 million. This resulted in a free cash flow conversion of nearly 100% and a very healthy free cash flow margin of just over 30%. Our segment revenue was strong in the quarter, driven by growth in our semiconductor process control business. The EPC group delivered results in line with our model heading into the quarter. 
Revenue for the Semiconductor Process Control segment, including its associated Service business, was $1.38 billion, a sequential quarterly increase of 9% and up 15% for 2020. Approximate customer segment mix is as follows: Foundry was strong as expected at 49%, logic was 10%, and memory grew to 41% from 32% in the December quarter. Within memory, the business was roughly 60% NAND and 40% DRAM. 
Going forward, we will be combining the foundry and logic segments into one category to remove some of the noise as to whether a customer is in one category or another, given the various markets they serve, and to better align with industry reporting practices. Revenue for the Specialty Semiconductor Process segment in December was $91 million, up 2% sequentially and up 24% in 2020. Demand in this segment was driven by growth in RF, MEMS, and advanced packaging. PCB, display and component inspection revenue was $179 million, down 1% sequentially, but up 12% for 2020 as strength in PCB and component inspection offset a weaker business environment in the display business. 
In terms of balance sheet highlights, KLA ended the quarter with $2.3 billion in total cash, total debt of $3.46 billion and a flexible and attractive bond maturity profile supported by investment-grade ratings from all 3 agencies. From a cash flow and capital returns perspective, during the December quarter, we repurchased $177 million of common stock and paid $140 million in dividends. In 2020, KLA returned $1.2 billion to shareholders or 70% of free cash flow, including $547 million in dividends paid and $681 million in share repurchases. 
We believe our track record for delivering strong capital returns is a key component of the KLA investment thesis and offers predictable and compelling value creation for our shareholders. As it relates to guidance, as we begin the new year, our view is that the wafer fab equipment or WFE market will grow in the mid-teens, plus or minus a couple of percentage points, in 2021 off a baseline of $59 billion to $60 billion. 2021 is expected to be a year of strong demand and growth across our major end markets, with the strongest percentage growth coming in memory, led by DRAM investment and with foundry logic, delivering another year of solid growth. 
Looking ahead, based on our current backlog, sales funnel visibility over the next couple of quarters and product lead times, we are encouraged by the sustainability of our current demand profile for the year. As a result, we would expect the company revenue to be roughly consistent quarter-to-quarter across the year. Our March quarter guidance is as follows: total revenue is expected to be in a range of $1.74 billion, plus or minus $75 million. 
Foundry/logic is forecasted to be about 68% of Semi Process Control Systems revenue. Memory is expected to be approximately 32%. We forecast non-GAAP gross margin to be in a range of 61.25% to 63.25% as we expect a richer product mix continued service leverage and higher volume lead to improved gross margins compared to the December quarter. 
Based on revenue and product mix expectations for 2021, we are modeling gross margins between 61.5% and 62% in 2021. Given the structural trends in our business in both cost and product positioning, my bias today is to the high end of this range. Other model assumptions include operating expense of approximately $400 million, interest and other expense of approximately $43 million and an effective tax rate of approximately 13.5%. 
Finally, GAAP diluted EPS is expected to be in the range of $2.98 to $3.66 and non-GAAP diluted EPS in a range of $3.23 to $3.91. The EPS guidance is based on a fully diluted share count of approximately 155 million shares. In closing, the end market dynamics driving semiconductors and investments in WFE remain compelling with solid demand across end markets and at multiple technology nodes. 
2021 is setting up to be a second consecutive year of double-digit growth for both WFE and KLA. KLA is executing well with continued confidence that we are on track to meet and likely exceed our 2023 financial targets. The KLA operating model positions us well to outperform and also guides our strategic objectives. These objectives fuel our growth, operational excellence and differentiation across an increasingly more diverse product and service offering. They also underpin our sustained technology leadership, deep competitive moat and strong track record of free cash flow generation and capital returns to shareholders. With that, I'll turn the call over to Kevin to begin the Q&A. Kevin?"
282225,700980182,2190342,"KLA Corporation, Q2 2021 Earnings Call, Feb 03, 2021",2021-02-03,"Earnings Calls","KLA Corporation","Executives","Thanks, Bren. Priscilla, if you could provide the instructions for Q&A?",11,"Thanks, Bren. Priscilla, if you could provide the instructions for Q&A?"
282225,700980182,2190342,"KLA Corporation, Q2 2021 Earnings Call, Feb 03, 2021",2021-02-03,"Earnings Calls","KLA Corporation","Operator","[Operator Instructions] We'll now take our first question from Patrick Ho with Stifel.",13,"[Operator Instructions] 
We'll now take our first question from Patrick Ho with Stifel."
282225,700980182,2190342,"KLA Corporation, Q2 2021 Earnings Call, Feb 03, 2021",2021-02-03,"Earnings Calls","KLA Corporation","Analysts","And a belated Happy New Year. Congrats to you guys. Rick, maybe first off, in terms of process control intensity, we've seen foundry/logic continue to grow as we go through these node migrations. And NAND flash has obviously seen intensity rise with the i",98,"And a belated Happy New Year. Congrats to you guys. Rick, maybe first off, in terms of process control intensity, we've seen foundry/logic continue to grow as we go through these node migrations. And NAND flash has obviously seen intensity rise with the increasing layer cost. As we look at DRAM and the projected pickup that you mentioned in your prepared remarks, what types of process control intensity increases are you seeing in that marketplace? Maybe excluding some of the EUV options that are out there, what other types of process control intensity trends are increasing in DRAM?"
282225,700980182,2190342,"KLA Corporation, Q2 2021 Earnings Call, Feb 03, 2021",2021-02-03,"Earnings Calls","KLA Corporation","Executives","Sure. I think that there -- if you think about DRAM, what they've really been pushing on, and it's very difficult, as you know, to do it, is to continue scaling. And we do think that there's going to be some EUV that comes in. But there's no question that",170,"Sure. I think that there -- if you think about DRAM, what they've really been pushing on, and it's very difficult, as you know, to do it, is to continue scaling. And we do think that there's going to be some EUV that comes in. But there's no question that there's scaling happening. And of course, that drives more process control intensity. The other thing that's pretty clear in DRAM is the overlay requirements continue to get more and more challenging. So we're seeing increased -- trying to understand of how to squeeze more capability out of the lithography sets that they've got. 
And then we do see some, as I say, EUV adoption. So we think there'll be incrementally more focus our more advanced optical inspection tools to be able to support that. So that's what we're seeing as a trend. It's not necessarily, obviously, it's EUV heavy as what we'd see in foundry/Logic, but there is some element of EUV in there. Does that answer your question, Patrick?"
282225,700980182,2190342,"KLA Corporation, Q2 2021 Earnings Call, Feb 03, 2021",2021-02-03,"Earnings Calls","KLA Corporation","Analysts","It does, rick. Bren, as a follow-up to that question, you guys, as you're seeing demand pickup and revenues grow, working capital metrics have actually also improved. What changes have you made, particularly given that you've added Orbotech over the last",63,"It does, rick. Bren, as a follow-up to that question, you guys, as you're seeing demand pickup and revenues grow, working capital metrics have actually also improved. What changes have you made, particularly given that you've added Orbotech over the last 2 years, but you see the inventory turns actually improving even as demand picks up, what are some of the dynamics there?"
282225,700980182,2190342,"KLA Corporation, Q2 2021 Earnings Call, Feb 03, 2021",2021-02-03,"Earnings Calls","KLA Corporation","Executives","Patrick, it's a great question. And certainly, adding Orbotech in, and I think we've done a pretty good job of improving the overall asset velocity that business so far. I think there's room for us to improve it going forward. But on the KLA side, one of",272,"Patrick, it's a great question. And certainly, adding Orbotech in, and I think we've done a pretty good job of improving the overall asset velocity that business so far. I think there's room for us to improve it going forward. But on the KLA side, one of the areas where you could argue that we -- I think we do something in our business to support, and I think we get paid for in terms of our profitability, but to support our model, both in terms of the component differentiation we have that drives our differentiation of our products, but also that enables our business. So we've always tended to carry a lot of inventory because we're supporting these tools that last a long time in the field. 
And we also have very exclusive relationships in a lot of our key supplier relationships that help us, as I said, protect differentiation. So as a result of all that, it does drive higher inventory commitments, and we carry that risk, if you will, although we never get stuck with extra systems and given the strength service business, we tend to move the part. So we think it's a good sacrifice to make. We think we get paid for it in terms of the profitability and structure of our business. 
And the volume we've seen has allowed us to improve it a little bit. This is not a turns business for the most part, so I think there's probably an upper limit to it. But we have -- we do focus on, and I think we have improved it a little bit over time."
