"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
318049,700598904,2194374,"Linde plc, Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Linde plc","Operator","Ladies and gentlemen, thank you for standing by, and welcome to the Fourth Quarter 2020 Linde Earnings Call. [Operator Instructions] Please be advised that today's conference may be recorded. [Operator Instructions] I would now like to hand the conferen",55,"Ladies and gentlemen, thank you for standing by, and welcome to the Fourth Quarter 2020 Linde Earnings Call. [Operator Instructions] Please be advised that today's conference may be recorded. [Operator Instructions] 
I would now like to hand the conference over to your speaker today, Mr. Juan Pelaez, Head of Investor Relations. Sir, you may begin."
318049,700598904,2194374,"Linde plc, Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Linde plc","Executives","Crystal, thank you, and good morning, everyone, and appreciate attending our 2020 fourth quarter earnings call and webcast. I'm Juan Pelaez, Head of Investor Relations, and I'm joined this morning by Steve Angel, Chief Executive Officer; Matt White, Chief",121,"Crystal, thank you, and good morning, everyone, and appreciate attending our 2020 fourth quarter earnings call and webcast. I'm Juan Pelaez, Head of Investor Relations, and I'm joined this morning by Steve Angel, Chief Executive Officer; Matt White, Chief Financial Officer; and Sanjiv Lamba, Chief Operating Officer. 
Today's presentation materials are available on our website at linde.com in the Investors section. Please read the forward-looking statement disclosure on Page 2 of the slides and note that it applies to all statements made during this teleconference. The reconciliations of the adjusted numbers are in the appendix of this presentation. Steve, Sanjiv and Matt will now give an update on Linde's fourth quarter performance and will then be available to answer questions. Steve?"
318049,700598904,2194374,"Linde plc, Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Linde plc","Executives","Thank you, Juan. The entire team responded exceptionally well in a year dominated by COVID. Our front-line workers, in particular, deserve special recognition for what they accomplished and what they continue to do for our customers, our patients and our",667,"Thank you, Juan. The entire team responded exceptionally well in a year dominated by COVID. Our front-line workers, in particular, deserve special recognition for what they accomplished and what they continue to do for our customers, our patients and our communities. Despite the challenges of COVID, our key safety metrics continue to trend positively. We always say safety first here at Linde, and our people certainly walk the talk in 2020. We ramped up our health care capabilities around the world. We developed new protocols to treat COVID patients in their homes, freeing up needed capacity and overburdened hospitals. Since March, we have treated 90,000 COVID home care patients. And unfortunately, that number continues to grow. And we did that while caring for our existing base of some 1.6 million home care patients. We kept our plants running reliably and maintained service to our customers. We started up new plants in challenging circumstances with minimal delays. With the help of virtual tools, we transitioned from central to distributed operations almost flawlessly. In light of the inequalities in our society exposed by COVID-19, we contributed an additional $1.5 million to our communities beyond our normal level of giving. We demonstrated the resiliency of our business model. We quickly adjusted cost structures in line with local market conditions. We utilized our strong commercial term conditions to shield us from volume disruptions. We capitalized on more resilient growth opportunities in health care, electronics and food freezing. We delivered strong financial performance for the full year. Matt will provide more detail on the financials, but let me share a few highlights. Ex FX, we delivered 13% earnings per share growth on minus 2% sales. Our EBIT percent rose 260 basis points to 21.3%. Gross operating cash flow grew 21% to $7.4 billion. And the single most important metric to me, return on capital grew 180 basis points to 13.4%. 
We won significant projects serving new semiconductor fabs. The largest of which is yet to be announced, and is not yet included in the $3.6 billion sale of gas backlog number you see in the presentation. We won 36 small on-site projects in growing markets such as pulp and paper, lithium-ion batteries and precious metals. We advanced our sustainability initiative. We are the only chemical company in the world who has been recognized in the World Dow Jones Sustainability index for 18 consecutive years. And MSCI recently upgraded our ESG rating to an A rating. This time last year, we announced a new greenhouse gas emission intensity reduction goal of 35% by 2028. At this point, we're nearly halfway to achieving this goal. And we continue to develop applications that enable our customers to address their environmental challenges. We're currently working on several carbon capture utilization and sequestration projects that we expect to come to fruition in the coming months. We've made progress on our clean hydrogen initiative. We ramped up our JV with ITM to build PEM, proton exchange membrane, electrolysis plants, we formed a dozen partnerships with fuel cell electric vehicle manufacturers, energy companies and renewable power producers. We closed several important projects in China, South Korea and Germany. We made significant progress on our diversity goals for women globally and minorities in the U.S. We conducted our second employee engagement survey, and the results were very positive and improved year-over-year. We maintained a strong compliance program, establishing a strong culture of compliance is a fundamental responsibility of every leader in our company. We didn't ring a bell or anything, but the merger integration is over, thanks to the outstanding work of many people from both legacy companies. In short, we accomplished a great deal in 2020 and performed at an exceptional level, especially when considering the environment. 
Now I've just made a lot of we statements, and now I have one more. We are well positioned for another outstanding year in 2021. Now I'll turn it over to Sanjiv to provide more details on the business trends and outlook."
318049,700598904,2194374,"Linde plc, Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Linde plc","Executives","Thank you, Steve, and good morning, everyone. As Steve mentioned, we had a strong finish to a challenging year. However, not all end markets have recovered at growth rates have been quite varied. Given the current uncertainty around the shape and speed of",1722,"Thank you, Steve, and good morning, everyone. As Steve mentioned, we had a strong finish to a challenging year. However, not all end markets have recovered at growth rates have been quite varied. Given the current uncertainty around the shape and speed of the economic recovery, I'd like to walk through the current business conditions, the key trends by end markets that you can find on the next slide, Slide 4. 
This slide represents our global end key market sales, excluding engineering source for the last quarter. And the first point I'd like to make to you over here is that our sales are well balanced, with 40% in resilient markets like health care, electronics, food and beverage. And the other 60% in cyclical end markets, such as metals, manufacturing, chemicals and refining. Clearly, the resilient end markets provided both stability and earnings accretion throughout the year. These growth rates are more aligned with demographic and consumer trends. And of course, incremental application technology. This is especially true for our merchant and packaged supply modes. In fact, our strategic focus towards developing an integrated supply network across all 3 supply modes of on site, merchant and packaged enables us to efficiently serve all these customers. 
In health care, which is about 20% of our sales, we continue to make considerable investments around the world to serve patients in both hospitals and homes. We have expanded our medical-grade oxygen capacity. We've introduced an inhaled nitric oxide alternative in the United States and Canada, provided specialty gases for research and drug discovery and, of course, increased CO2 supply for dry eye production for the storage and transportation of vaccines. Furthermore, we've been better prepared our home care organization to safely and reliably care for millions of high-risk patients right through this pandemic. It is, of course, difficult to say how much longer we'll face these challenges, but I can say with some confidence that we will continue to do our part to support and care for our customers. 
Moving on to food and beverage, which comprises 10% of global sales. This end market includes production and distribution for both pulp products and retail. Growth trends have been more prominent in bulk food freezing, dry for transport and specific trends like oxygen for aquaculture, CO2 for greenhouses. I anticipate these trends will continue based on the rise of food delivery services, concentration of food production itself and, of course, a growing demand for high-quality ready-to-eat meals. Now although the beverage market has been negatively impacted, particularly by the closure of restaurants, especially in North America and the U.K., that business has partially recovered through diner takeout trends that we see along with increased bottler demand. Overall, we see this as a stable market with some upside when there is return to restaurant dining. 
Moving on to electronics, which is 10% of our sales. We also consider this a resilient market since it tracks closely to consumer trends rather than industrial cycle and also because we supply critical products such as high-purity nitrogen and specialty gases and complex mixtures. Now these products enable our customers to make smaller and increasingly more powerful electronic devices, irrespective of their technology platforms. This is, of course, one of our fastest-growing markets both in the Americas and Asia Pacific as more investments are made into these integrated circuitry, memory, display and solar panels. Some recent examples of on-site project wins include the recently announced Samsung win in South Korea. And there are other Tier 1 fabs in Taiwan, China and Singapore as well. In fact, this is a market where I expect that most project backlog opportunities in 2021, and as we are, of course, pursuing actively in large number of projects, that should result in an additional win or wins being announced this year itself. Overall, the resilient end markets provide a healthy foundation for future growth, while offering downside protection as evidenced by our financial performance during 2020. 
Let me move on to the bottom half of the slide, Slide 4. That shows the cyclical markets. Some you can see are denoted in yellow since they were negatively affected by the economic downturn, especially in Americas and EMEA. While many of these markets are underpinned by fixed fee payments, such as on-site contracts and metals and chemicals or cylinder rental payments and manufacturing. Gas volumes are, however, exposed to industrial growth trends. Of course, this is also the part of our portfolio that will see the most leverage to recovery in the economy. Metals and glass represents about 13% of our sales. Carbon steel production has been increasing in China, but of course, a lot more volatile in developed markets like Europe and the U.S., especially when those mills are linked to auto production. However, quarter 4 saw some of the highest in 2020 due to catch-up demand after pandemic production shutdowns and, of course, the depletion of inventory in steel mills as well as end customers. We're also seeing some recent trends in this space, including the efforts to decarbonize steel production such as the use of oxy fuel combustion to reduce emissions and improve energy efficiency. We also see recovery in flat steel from a rebound in auto production. Of course, if we see any significant infrastructure stimulus spending, the metals industry will definitely benefit. We, of course, continue to have confidence in our portfolio of high-quality customer assets which have successfully navigated economic headwinds for many decades. 
Moving on to chemicals and refining that represents 19% of our sales global and is well balanced across the different segments. Now similar to metals, we have focused efforts on partnering with high-quality assets. And therefore, our customers are some of the lowest-cost producers in the world. Production activity for 2020 ended below pre pandemic levels. But so far this year, we've seen refining capacity utilization trend up to low 80s in the U.S. The Gulf Coast refining system is a well integrated and still has some of the lowest cost feedstock in the world. Our current chemicals and refining backlog of projects are with leading global companies and protected with strong contractual terms. We recently announced and we signed a new project with in Hungary and, of course, continue to explore new opportunities as our customers work to reduce their carbon footprint. A good example of this is the increasing trend in biofuel production, requiring additional hydrogen for hydrotreating and hydroprocessing. So while 2020 represented a challenging year for these customers, we see upside potential heading into 2021. 
Let me move on to manufacturing, which at 19% contains a variety of end markets, including aviation, automotive, pulp and paper and general manufacturing, but also some growth markets like commercial space flight. Now overall trends have been down due to weaker general manufacturing as many small to medium-sized manufacturing customers have to shut down operations for extended periods. And while aviation has decreased with overall travel industry, we continue to see strong growth in commercial space flight, albeit off a very small base. In addition, we've seen pulp and paper customers add more capacity to serve consumer retail demand, which has enabled more small on-site oxygen plant wins, especially true in Latin America and Northern Europe. But for most parts, manufacturing end markets correlates with industrial production and thus would be expected to move up or down with those trends. 
For the overall gases business, we have a good balance of both resilient and cyclical end markets. 2020 has already demonstrated the downside protection and stability in our business. And while we remain somewhat cautious in our outlook, we are well positioned to leverage any recovery in 2021. 
Let me move on to engineering. Our engineering segment represents approximately 10% of our consolidated sales. It's a longer cycle business, so quarterly trends don't quite provide the full story. The last year was a culmination of a multiyear growth trend for order intake. Most of that primarily related to gas processing and petrochemical expansions. So for 2021, we estimate a net decrease in the sale of equipment backlog from a lower capital cycle spend. However, as clean energy projects continue to develop, I expect these to steadily become a larger part of the engineering portfolio. Irrespective of the near-term outlook, we have a high degree of confidence in the sustainability of long-term margins and cash generation in this business, driven by captive sale of gas opportunities, unrivaled technology portfolio and focus on higher-quality engineering and services. 
So let me wrap up by sharing some of my priorities for 2021. On safety and compliance, which is always first in Linde, we must maintain a best-in-class performance and a culture with continuous improvement across all our KPIs. For sustainability, we must further progress on the goals we set last year. In particular, our focus will be on the reduction of our greenhouse gas emissions intensity and, of course, increasing gender diversity. Price and cost management is a hallmark of Linde. We will build upon the current best practices on pricing and productivity, while also remaining laser-focused on cash management. We will also remain quite nimble, adjusting each local business to its environment for optimal results, yet, always remaining prepared to capture any growth opportunities that fit our investment criteria. I'm sure you've heard Steve say in the past, ROC is a truth serum for any capital-intensive industry. And I truly believe that. We've instilled a culture Linde where capital isn't free, where we have to be good stewards of shareholder capital. And to do so, we need to continuously optimize our base CapEx, while also pursuing all good investment opportunities. That means projects, acquisitions and decaps as well. Our approach to growth remains disciplined. We will pursue all growth opportunities that meet our investment criteria, double-digit, unlevered, after-tax IRR with reputable customers who have competitive assets and in regions where we have confidence we can enforce our contracts. For such opportunities that we target, I'm confident we will win more than our fair share. Thus we continue to improve the numerator, the after-tax operating profit and maintain a long-term and disciplined approach to investing, I expect to see our ROC continue to grow. 
With that, I'll now hand over to Matt will take you through the financial results and guidance. Matt?"
318049,700598904,2194374,"Linde plc, Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Linde plc","Executives","Thanks, Sanjiv. Please turn to Slide 5 for an overview of fourth quarter results. Sales of $7.3 billion were 3% above last year and 6% higher sequentially. Year-over-year, gas volume trends have started to stabilize, with an increase of 1% from 2019. This",1260,"Thanks, Sanjiv. Please turn to Slide 5 for an overview of fourth quarter results. Sales of $7.3 billion were 3% above last year and 6% higher sequentially. Year-over-year, gas volume trends have started to stabilize, with an increase of 1% from 2019. This is driven by contribution from the project backlog as most of our customers have started up as anticipated. Organic volumes were stable with prior year as increases from electronics and health care were mostly offset by slight declines in manufacturing and refining. Sequentially, volumes increased across all geographic segments and most end markets. The engineering business drove a 1% decrease in sales from prior year. As you know, this is a longer cycle business so quarterly trends are less indicative of overall conditions. Currently, projects are being completed faster than order intake, thus resulting in a slightly lower backlog of $4.7 billion, which is about 1.5 to 2x annualized sales. Despite the lower fourth quarter sales, the team improved EBIT margin 110 basis points and ended the full year with margins above 15%. Looking ahead, we expect engineering EBIT margins to average low double-digit percent throughout the cycle. Pricing remains healthy at 2%, as most business units are keeping up with local inflation. Proper contract management is an integral part of our operating model, and therefore, provides long-term confidence in the ability to maintain positive pricing in any environment. Foreign currency was a 2% tailwind as the U.S. dollar weakened against most currencies in APAC and EMEA, although the Americas still has a headwind due to weaker Latin American currencies. The combination of stable volumes, higher pricing and strong productivity and cost management, resulted in operating profit of $1.6 billion, which is 20% above last year. The 22.2% margin is 320 basis points above 2019, and represents our 6th consecutive quarter of expanding operating margins more than 200 basis points. Earnings per share of $2.3 increased 22% from prior year and 7% sequentially. The incremental growth rate versus operating profit is primarily due to the lower share count. Operating cash flow of $2.4 billion was our highest quarter yet, ending at 12% above last year and 29% above the third quarter. In fact, it represents another quarter where the operating cash flow to EBITDA ratio exceeded 100%. We had a strong finish in working capital, especially in the engineering segment, but I'll speak more to that on the next slide. CapEx of $1 billion was 1% above last year and 30% higher sequentially. As a reminder, project CapEx represents opportunities over $5 million in spend with returns supported by long-term contracts. These projects often take 3 or more years to build. So spending patterns fluctuate from construction and delivery timing. Therefore, a better indicator is the sale of gas project backlog, which stands at $3.6 billion, similar to the third quarter. Base CapEx has increased from both periods, primarily due to quality growth investments that meet our return criteria, but not all requirements to be included in the project backlog. Example investments include small on site, specialty gas plants, hydrogen mobility and expanding medical gas capacity. Ultimately, all capital decisions roll up to ROC, which continues to trend in the right direction with Q4 ending at 13.4%. You can see a continual improvement from substantial earnings growth on a stable capital base. As Sanjiv mentioned, we, as management, are stewards of shareholder capital, so this metric is the best way to define long-term success in deploying that capital. To build off that, I'd like to spend some time reviewing the full year 2020 capital management on Slide 6. 
As you can see on the left side, full year operating cash increased 21%. This was driven by a combination of higher earnings, lower merger costs and better working capital management. Cash from operations grew steadily over the 2-year period despite the challenges related to the pandemic, including the second and third quarters of 2020. The right side represents how that capital was deployed. Linde has a stable and predictable cash allocation approach, irrespective of any short-term disruptions around the world. The underlying mandate is an A credit rating with a growing dividend each year. In fact, just 2 weeks ago, we announced a 10% dividend increase for 2021 to mark our 28th consecutive year of increasing dividends. Our capital priority is to invest back into the business. It can be for projects, decaps or acquisitions. We view them equally under our consistent investment criteria. All growth must meet a proper risk/reward balance because mistakes in this industry can result in long-term losses that exceed the initial investment. During 2020, $3.5 billion met our investment standards and I expect this number to increase over time. 
Finally, any excess cash left over after dividends and investments is used for stock repurchases. And you can see that number was $2.4 billion for 2020. We recently approved a new $5 billion stock repurchase program, which further validates our confidence in the ability to generate significant excess cash flow. The path to long-term compound value generation requires annual growth of earnings and cash flow with a consistent, disciplined capital deployment model for both a good and challenging years. Furthermore, building local density in diverse end markets provides Linde downside protection with significant leverage to growth cycles. 2020 validated the resilience of this model in a tough year. And we look forward to demonstrating how we can perform in a recovery. 
I'll now wrap up with guidance, which you can find on Slide 7. Initial EPS outlook for full year 2021 is $9.1 to $9.3. This represents an 11% to 13% growth rate with an estimated 1% FX tailwind. Excluding FX, the 10% to 12% range assumes minimal economic benefit at the bottom end and a low single-digit economic growth at the top end. In other words, and consistent with prior statements, we have confidence we can grow EPS double-digit percent with minimal help from the economy. And while we don't provide revenue guidance, I do want to mention for modeling purposes, that effective January 1, we have deconsolidated a 50% joint venture in the APAC segment. Our ownership and economic interest remain the same. However, we had some incremental shareholder rights that expired in December, which both parties agreed not to renew. The effect of this deconsolidation will be shown as a divestiture and will reduce annualized sales approximately $600 million at average op margins. Note, this change will not affect EPS, due to the proportional increase in equity income. Stated simply, this is merely an accounting change that will not impact our economic benefits. 
Turning to the first quarter. We are providing EPS guidance of $2.20 to $2.25 or 16% to 19% growth rate including an assumed 2% FX tailwind. This range assumes a normal seasonal decline from the fourth quarter, including Chinese New Year and Brazilian Carnival. At this point, we are not assuming any meaningful improvement in sequential volumes from Q4. And while we started 2021 with a stronger January than anticipated, we're not in a position to update guidance at this time. Consistent with prior quarters, we believe it's prudent to remain cautious on the outlook as the pandemic evolves. But rest assured, if there is any economic upside, we will capture more than our fair share as demonstrated by the second half of 2020. And if the economy does improve more than our baseline assumptions, we will likely be at the upper end or above this guidance range. I'd now like to turn the call over to Q&A."
318049,700598904,2194374,"Linde plc, Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Linde plc","Operator","[Operator Instructions] Our first question comes from Bob Koort from Goldman Sachs.",12,"[Operator Instructions] Our first question comes from Bob Koort from Goldman Sachs."
318049,700598904,2194374,"Linde plc, Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Linde plc","Analysts","I wanted to ask a bit about the forward-looking to 2021 in context of, obviously, you did a tremendous job in '20 and a cost basis. I think your operating profits climbed over $500 million and your sales are actually down almost $1 billion. So you had --",123,"I wanted to ask a bit about the forward-looking to 2021 in context of, obviously, you did a tremendous job in '20 and a cost basis. I think your operating profits climbed over $500 million and your sales are actually down almost $1 billion. So you had -- you broke the calculator on the incremental margins. How should we think about it going into '21? What might underlie that earnings output that you guided us towards in terms of a sales evolution relative to an EBIT evolution in -- or operating profit? And do you see some of the expenses that maybe were diminished in '20 rolling back in, in '21 as the world moves towards a more normal business operating condition?"
318049,700598904,2194374,"Linde plc, Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Linde plc","Executives","Okay. Thanks, Bob. This is Steve. Thanks for the question. First of all, I had to give a shout out to my daughter today, it's her 30th birthday. So happy birthday, Logan. She only cares about the share price, by the way, she won't be listening in. So Bob,",227,"Okay. Thanks, Bob. This is Steve. Thanks for the question. First of all, I had to give a shout out to my daughter today, it's her 30th birthday. So happy birthday, Logan. She only cares about the share price, by the way, she won't be listening in. So Bob, as we think about continuing to expand margins, obviously, that's in our sites that's built into our plans. We're giving clear guidance on double-digit earnings growth. And as Matt described, even at the low end, there's no real volume expectation. And at the higher end, there's low single-digit volume expectations. So obviously, we're going to lever up the EBIT quite a bit off of a pretty small volume assumption, and then we'll lever that further through share buybacks, and I didn't really go back and calculate the number, but clearly, it's going to be another significant move. That's the plan in terms of EBIT margin expansion. And I think, as Matt probably said a couple of times, we don't really know what's going to happen this year. I mean we are looking at January, obviously, and the results are pretty encouraging. 1 month doesn't make a quarter and 1 month certainly doesn't make a year. So we certainly have to be a little more cautious in terms of what could happen in the second half of the year."
318049,700598904,2194374,"Linde plc, Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Linde plc","Executives","Yes. And Bob, this is Matt. I'll just add 1 thing to that as well. I mean, long range, we look at the equation of price productivity cost inflation to be an accretive component to how we think about our earnings and our margins on a go-forward basis. So t",170,"Yes. And Bob, this is Matt. I'll just add 1 thing to that as well. I mean, long range, we look at the equation of price productivity cost inflation to be an accretive component to how we think about our earnings and our margins on a go-forward basis. So this is beyond the merger. This is beyond anything like that. We don't anticipate temporary cost savings that pop back or anything to that extent, as we've discussed in prior calls. So we see this as a compound value opportunity, as Steve mentioned, and this doesn't assume much volume help at all at this stage on the organic. Obviously, we'll have our backlog volume and then we'll just have to see what happens to the economy. We'll take it quarter-by-quarter, and we'll keep giving updates as they occur. But January was better than what we expected, and we'll just have to see how it plays out in the next 2 months, and we'll give you another update, come our next call."
318049,700598904,2194374,"Linde plc, Q4 2020 Earnings Call, Feb 05, 2021",2021-02-05,"Earnings Calls","Linde plc","Analysts","And can I ask a hydrogen question? You're building the PAM electrolyzer in And I assume some of that gets shoved into your pipeline network. How do you distinguish sales prices for green versus mingled hydrogen through that pipeline and to your customer b",44,"And can I ask a hydrogen question? You're building the PAM electrolyzer in And I assume some of that gets shoved into your pipeline network. How do you distinguish sales prices for green versus mingled hydrogen through that pipeline and to your customer base?"
