"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
22247,706348860,2234790,"Oracle Corporation, Q3 2021 Earnings Call, Mar 10, 2021",2021-03-10,"Earnings Calls","Oracle Corporation","Operator","Welcome to Oracle's Third Quarter 2021 Earnings Conference Call. Now I'd like to turn the call over to Ken Bond, Senior Vice President.",24,"Welcome to Oracle's Third Quarter 2021 Earnings Conference Call. Now I'd like to turn the call over to Ken Bond, Senior Vice President."
22247,706348860,2234790,"Oracle Corporation, Q3 2021 Earnings Call, Mar 10, 2021",2021-03-10,"Earnings Calls","Oracle Corporation","Executives","Thank you, Erica. Good afternoon, everyone, and welcome to Oracle's Third Quarter Fiscal Year 2021 Earnings Conference Call. A copy of the press release and financial tables, which includes a GAAP to non-GAAP reconciliation and other supplemental financia",260,"Thank you, Erica. Good afternoon, everyone, and welcome to Oracle's Third Quarter Fiscal Year 2021 Earnings Conference Call. A copy of the press release and financial tables, which includes a GAAP to non-GAAP reconciliation and other supplemental financial information, can be viewed and downloaded from our Investor Relations website. Additionally, a list of customers mentioned on this customer conference call as well as many others, which have purchased Oracle Cloud services or went live on Oracle Cloud recently, will be also available from the Investor Relations website. On the call today are Chairman and Chief Technology Officer, Larry Ellison; and CEO, Safra Catz. 
As a reminder, today's discussion will include forward-looking statements, including predictions, expectations, estimates or other information that might be considered forward-looking. Throughout today's discussion, we will present some important factors relating to our business, which may potentially affect these forward-looking statements. Forward-looking statements are subject to risks and uncertainties that may cause actual results to differ materially statements being made today. 
As a result, we caution you against placing undue reliance on these forward-looking statements. And we encourage you to review our most recent reports, including our 10-K and 10-Q and any applicable amendments for a complete discussion of these factors and other risks that may affect our future results or the market price of our stock. And finally, we are not obligating ourselves to revise our results or these forward-looking statements in light of new information or future events. 
We'll begin with a few prepared remarks, and then I'll turn the call over to Safra. Safra?"
22247,706348860,2234790,"Oracle Corporation, Q3 2021 Earnings Call, Mar 10, 2021",2021-03-10,"Earnings Calls","Oracle Corporation","Executives","Thanks, Ken, and good afternoon, everyone. We are again reporting earnings 10 days after the end of the fiscal quarter, faster than any other company in the S&P 500. Fusion Cloud ERP enables us to understand our business performance sooner and with greate",1014,"Thanks, Ken, and good afternoon, everyone. We are again reporting earnings 10 days after the end of the fiscal quarter, faster than any other company in the S&P 500. Fusion Cloud ERP enables us to understand our business performance sooner and with greater insight, which is an advantage our customers are rapidly beginning to appreciate. 
As you can see, we had a great quarter and executed well against our growth plan. Revenue was in line with our USD guidance, while EPS beat the midpoint of guidance by $0.05. 
Our total cloud services and license support revenue for the quarter was $7.3 billion, up 5% in U.S. dollars, 2% in constant currency, driven by Fusion, Autonomous Database and our Gen2 OCI cloud. Recurring revenue as a percentage of total revenue now represents 72% of total company revenue, and we anticipate this trend to continue as cloud services grow. Applications subscription revenues were $3 billion, up 5% in U.S. dollars, 3% in constant currency. Our strategic back office cloud applications now have annualized revenue of $4 billion and grew 24% this quarter, including Fusion ERP up 27%, NetSuite ERP up 22%, and Fusion HCM up 21%. 
Infrastructure subscription revenues were $4.3 billion, up 4% in U.S. dollars, up 2% in constant currency. Infrastructure cloud services now have an annualized revenue of more than $2 billion, including OCI consumption revenue which was up 123%. 
Autonomous Database was up 55%. Cloud customer consumption revenue was up over 200%, but on small numbers. Database subscription revenues, including database support and database cloud services, were up 6% in U.S. dollars and up 3% in constant currency. 
License revenues were $1.3 billion, up 4% in U.S. dollars and unchanged in constant currency. So all in, total revenues for the quarter were $10.1 billion, up 3% in U.S. dollars, up slightly in constant currency. 
Operating expenses were down this quarter. And non-GAAP operating income was $4.8 billion, up 6% from last year. Q3 operating margin was 47% in USD, up 300 basis points from 44% last year and our best Q3 results in more than 10 years. 
The non-GAAP tax rate for the quarter was 16.7%, slightly below our base tax rate as a result of some discrete items. EPS was $1.16 in U.S. dollars, up 20% in U.S. dollars, up 16% in constant currency. GAAP EPS was $1.68 in USD, up 113% and up 104% in constant currency. 
In the quarter, the GAAP income statement was impacted by a onetime net tax benefit of approximately $2.3 billion related to the transfer of certain assets between subsidiaries. To facilitate comparison across periods, we have excluded the effect of this event from our non-GAAP calculation. 
Operating cash flow over the last 4 quarters was $14.7 billion, with capital expenditures of $1.9 billion and free cash flow in excess of $12.8 billion over the same period. For the quarter, operating cash flow was $3.7 billion, up 23%. And free cash flow was $3.3 billion, up 26% from last year. We now have nearly $36 billion in cash and marketable securities. 
The short-term deferred revenue balance was down in constant currency at $8.1 billion, while the short-term gross deferred revenue was up 4% in constant currency. As you know, the difference between the 2 growth rates is due entirely to timing differences in customer payments. 
The remaining performance obligation, or RPO, balance is $35.3 billion, up 2% in constant currency versus last year. Approximately 61% is expected to be recognized as revenue over the next 12 months, up from 60% a year ago. 
As we've said before, we're committed to returning value to our shareholders through technical innovation, strategic acquisitions, stock repurchases, prudent use of debt and a dividend. And this quarter, we repurchased more than 64 million shares for a total of $4 billion.
In addition, the Board of Directors increased the quarterly dividend 33% from $0.24 to $0.32 per share. The Board of Directors also authorized an additional $20 billion. For the repurchase of Oracle shares. 
As I mentioned last quarter, we experienced capacity constraints for OCI cloud services as customer workloads expanded dramatically. In addition, we continue to land many new customers, including ISVs. And we have some very large users coming online shortly that will require significant amounts of capacity. 
As a result, we're investing aggressively this quarter, this Q4, both OpEx and CapEx, to prepare for this increase in cloud consumption and associated revenue in FY '22. As such, we are going to target a 49% operating margin for Q4. This will enable us to continue to deliver double-digit earnings growth once again in FY '22 for the fifth year in a row. 
Now to the guidance. Again, my guidance today is on a non-GAAP basis and assumes current exchange rates remain the same as they are now, which is a 4% positive effect on total revenue and $0.07 positive effect on EPS in Q4. It will look -- it may look like a positive effect of $0.08 to EPS due to rounding, but it's $0.07. However, actual currency impact could be different, so here it goes. 
Total revenues are expected to grow from 5% to 7% in U.S. dollars and are expected to grow 1% to 3% in constant currency. Cloud service and license support will grow faster than in Q3 as well as strategic back office cloud applications. 
As a result of the increased investment in the quarter, non-GAAP EPS in USD is expected to grow 7% to 11% and be between $1.28 and $1.32 in USD. Non-GAAP EPS in constant currency is expected to be flat to up 4% and be between $1.20 and $1.24 in constant currency. 
CapEx for Q4 on is expected to be $1 billion. My EPS guidance for Q4 assumes a base rate of 19%. However, onetime tax events could cause actual tax rates for any given quarter to vary. But I expect that in the normalizing for these onetime tax events, our tax rate will average around 19% or so. 
And with that, I'll turn it over to Larry for his comments."
22247,706348860,2234790,"Oracle Corporation, Q3 2021 Earnings Call, Mar 10, 2021",2021-03-10,"Earnings Calls","Oracle Corporation","Executives","Thank you, Safra. 3 months ago, Bob Evans posted an article on the Cloud Wars website in which he quotes SAP's CFO, Luka Mucic, making the following statement at an Investors conference. And I quote, ""I have checked, and we have not lost a single ERP cu",2129,"Thank you, Safra. 
3 months ago, Bob Evans posted an article on the Cloud Wars website in which he quotes SAP's CFO, Luka Mucic, making the following statement at an Investors conference. And I quote, ""I have checked, and we have not lost a single ERP customer to Oracle."" In other words after personally checking, SAP's Chief Financial Officer could not find a single example of an SAP ERP customer moving to Oracle Fusion ERP. Not one. Perhaps he should have checked a little bit more carefully. 
In Q3 alone, we signed contracts totaling hundreds of millions of dollars to migrate several very large SAP ERP customers to Oracle Fusion ERP. But this was not just a recent Q3 event. This has been going on for a couple of years. I'm now going to go and present a list here of over 100 companies and government agencies that have already moved from SAP ERP to Fusion ERP or are currently in the process of doing so. I've divided the list of SAP customers who are moving to Oracle Fusion ERP into 2 distinct groups. I want to be very precise here. 
The first group is moving their entire company to the Fusion ERP suite, including core financials. It's Oracle wall to wall. The second group has started deploying Fusion ERP applications, but has not yet put in the entire suite and may still be running SAP financials in some places. They've begun the migration, but they're not committed to doing the entire suite as yet, or they're not in the process of doing the entire suites yet. 
Okay, so let me go to start the list. TPX Company, an industrial manufacturer of railcars in North America, replaced out all of the SAP ERP with Oracle Fusion, including financial accounting, procurement -- let's see, enterprise performance management, supply chain, HCM, everything to the Fusion cloud; complete replacement of SAP ERP to Fusion ERP. G4S plc, a security services firm, and that's the world's largest security company by revenue; complete replacement of SAP R3 with Oracle ERP and Oracle HCM. 
First Solar North America is the only remaining maker of solar panels in the United States. Replaced SAP's S4 HANA, Ariba, Concur, third-party apps, all of SAP ERP with Oracle Fusion ERP, Oracle Fusion EPM, Oracle Fusion HCM and supply chain management. 
Transit Wireless, a North American telco, completely replaced out SAP R3 with Oracle Fusion ERP and Oracle Fusion HCM. 
West Soffit County Council, complete SAP replacement with Oracle ERP, Oracle HCM and Oracle EPM. ERP and HCM, EPM is enterprise performance management. Complete wall to wall Oracle in West Soffit County Council. No more SAP. 
Cemex, a concrete company in Mexico, completely replaced SAP with Oracle ERP and supply chain. 
Niagara Bottling, a North American beverage manufacturer private label bottled water, replaced SAP with Oracle ERP, supply chain and transportation management, et cetera. 
New Zealand and Inland Revenue, complete SAP R3 replacement with Oracle ERP and Oracle HCM. 
University of the Andes in Latin America, the #1 University in Colombia, complete replacement of -- had SAP for 10 years, replaced it with Oracle ERP, HCM, EPM, supply chain, sales, everything. 
Beep and Drive, a travel and transportation company in EMEA, electronic toll payment provider for the railways in Spain, again replaced -- was offered a free S/4HANA upgrade, instead chose Oracle Fusion Cloud. 
GE Grid Software, industrial manufacturer software for utilities and power transmissions, complete SAP replacement with Oracle ERP Fusion Cloud. 
[Postcon], let's say the second largest mail carrier in Germany. SAP complete replacement of ERP, replaced them with Oracle Fusion ERP and the cloud plus supply chain management. 
Birmingham City Council, complete SAP replacement using Oracle ERP, Oracle HCM. They're the biggest city council in the U.K. 
Metro Pacific Tollways Corporation, a toll road developer in Asia, SAP replacement -- got rid of SAP and replaced it with Oracle ERP and Oracle EPM. 
Africa World Airways, replaced SAP with Oracle ERP, EPM, HCM, sales, service and marketing. 
[The telco], that's the Bahrain telephone company. They have been running SAP for a decade, and they moved to Fusion Cloud ERP, EPM and SCM. 
The -- let's see, a European logistics and applied engineering group, actually the name, they don't want their name specifically mentioned. They're the largest private company in Belgium. And they completely replaced SAP R3. And they thought the cost of moving to S/4HANA in the cloud was much too high. And they instead went with Oracle Fusion ERP. 
Tital Logistica, a logistics company in Latin America, had a -- had SAP replaced it with Oracle ERP, SCM and sales. 
Fedex had SAP ERP in some places and Oracle ERP in some places. They've replaced out all of the -- they're in the process of replacing out all of the SAP ERP and standardizing on Oracle, Fusion ERP and supply chain management. 
Grupo Bimbo had SAP in some divisions then Oracle in other divisions. They're replacing out all of the SAP and standardizing on Oracle Fusion ERP and supply chain management. 
Western Digital, complete replacement, they had SAP -- Western Digital had SAP at Sandisk. They had SAP at HGST. Replaced all of that out and have standardized on Oracle Fusion ERP in the cloud -- Fusion ERP in the cloud. 
DP World, they had SAP S/4HANA, SAP HR R3. They eliminated all of that. By the way, they're an EMEA marine terminal operator. They're located in EMEA. They're global. They replaced out all of their SAP and standardized on Oracle Fusion ERP in the cloud. 
[Cohu], they are semiconductor test and handling equipment company in North America. They had a combination of Oracle ERP and SAP ERP, replaced out all of the SAP ERP and are standardized on Oracle. 
This one is interesting. They don't want their name mentioned. They're a huge European -- a North American and European manufacturer of ATMs. And they've replaced out all of SAP in the German subsidiary -- well actually throughout the world. And they standardized on Fusion ERP, SCM and HCM, and they've added Oracle performance management, Fusion performance management.
Let's see, another company whose name doesn't want to be mentioned. Let's see, they're a high tech manufacturer in North America. They replaced out SAP R3 ERP, HCM; and standardized on Oracle Fusion Fusion in the cloud. 
[ Art Gallery ] Group, they are a manufacturer of photo products in the U.K. They're replacing SAP with, guess what, Fusion ERP. 
Consol Energy, utilities company in Pittsburgh, replaced out SAP with Oracle Fusion in the cloud. 
Enbridge. Enbridge is an oil and gas multinational based in Calgary, Canada. Replaced all of -- replaced out or all of SAP with Oracle Fusion ERP. 
Gemini Industries. Gemini Energy. They're an [lab]. They're an energy transmission system, the largest in Brazil with substations all across Brazil. Replaced SAP with Fusion ERP. 
[Good Storage] in Latin America, a self-storage company in Brazil, again got rid of SAP, put Fusion ERP. 
Grupo Globo, they are a media entertainment, Latin America's largest media and entertainment company. Replaced SAP with Oracle ERP and HCM, standardized on Oracle ERP and HCM. 
IQVIA had a complete SAP replacement. They are manufacturing for a pharmaceutical company in North America. They've moved away from SAP and standardizing on Fusion in the cloud. 
Corian, a health care company in EMEA, long-term care nursing homes, 300,000 senior citizens across Western Europe. Replaced SAP with Oracle Fusion. 
NatWest Group. NatWest Group includes NatWest, ABN AMRO, Royal Bank of Scotland, Ulster Bank and more. They had a combination of Oracle ERP and SAP ERP. They're replacing out all of the SAP ERP and standardizing on Oracle Fusion in the cloud. 
Windtree. Windtree is a telecommunications company, the largest mobile operator in Italy. Again, completely replacing out SAP with Oracle, Fusion ERP, SEM and EPM. 
Okay, now I'm going to go into the second group of companies. And these are companies that have started putting in Oracle Fusion modules but have yet -- they have not replaced core financials as yet. So they're buying our supply chain. They're buying our procurement. They're buying our transportation management. They're buying our global trade management. But they have not yet bought Oracle Financials, so I want to be very specific. But they are buying lots and lots of Fusion products. 
GN Airlines, Apollo Tires, Akamai, an adhesive solutions company in the U.K. Arju's Commune, they're a municipality in central Denmark. 
Caesars Enterprise Services, to give you an idea, they bought procurement and supply chain, big hospitality company obviously in North America. 
[Danaher], a product -- they bought product life cycle management. They're a health care company. 
Department of Education and Training in Australia bought procurement. 
DHL was an SAP replacement in some countries. So some countries are still running SAP, but the new implementations that are going in are in other countries, not in Germany as yet. And other countries are Oracle Fusion ERP. 
Dow bought supply chain management and transportation management. 
FEMSA bought -- replaced all of SAP in some of their subsidiaries and bought supply chain warehouse medicine, supply chain planning, ERP again. And in some subsidiaries, all of ERP including accounting, procurement, all of that. 
Fujitsu Services, a manufacturer in Japan, again the parent is running SAP Financials but [ decided ] all over the world are moving to Oracle Fusion ERP. 
Keurig Dr. Pepper, again bought supply chain. Guardian bought all of -- a financial services company in North America bought all of ERP. 
Honda bought -- still  runs SAP financials, but just recently bought Fusion supply chain, Fusion on transportation management and is moving to -- from on-premise to the cloud. 
Indotech, a North American company again. Perot still running SAP financials, but the subs are running Oracle Fusion. 
Jackson Life, Latchme Cement. I'm not going to -- I'm going to read this faster now. Juniper Networks, Lloyd's Bank, move Incorporated, Munich Re. The largest food company in the world, but just bought Oracle performance management. News America Marketing, Olam International, PG&E, Portenos, Republic Services, SAC Wireless, and Nokia Company, Samsonite, Puma, Santander Bank [indiscernible] Therma Tru Doors. 
Okay. I'm going to stop right there. Or I'll take up all of the time, you won't be able to ask Larry questions. Okay. I don't want to do that. 
Okay. All right. So again, the list is actually longer than the 100-plus companies. I did read over 100 companies, as I'm sure you painfully are aware of. The list is actually longer than the 100 companies that I've just read. 
Some of our most important wins at are very largest companies in regulated industries such as banking and utilities, who are currently in the process of migrating from SAP ERP to Fusion ERP, prefer not to be publicly named on this call for obvious reasons. They don't want -- even though they are often a reference for us, private reference where people are considering the same move, they don't want to be on their name on this call because they want to maintain the best possible relations with SAP as they -- even though they are in the process of transitioning away from SAP. 
All right. So I'd like to make one last point and then turn it back over to Safra. We specifically try to answer one key question. How come so many customers are moving from SAP ERP to Fusion ERP? This has never happened before, a major migration between ERP vendors.
Well, if you want to know the answer, read the Gartner report comparing Oracle ERP to SAP ERP. Please don't take my word for it. Read the report. It's very short, and it's to the point. Gartner ranks Oracle Fusion ERP far in front. I mean , you can't find a magic project where there's more a bigger gap between #1 and #2. And so Gartner ranks Oracle Fusion ERP far in front of all the other cloud ERP systems. 
But what's surprising is SAP isn't #2. SAP isn't #3. SAP isn't listed among the leaders. SAP is listed among the laggards. Gartner, if you read the text, Gartner points out, and I quote, ""SAP's own reference customers scored SAP in the lower half of cloud ERP vendors."" I'm going to read that again. ""SAP's own reference customers scored SAP in the lower half of cloud ERP vendors,"" quote unquote. 
SAP, the once dominant on-premise ERP market leader, is currently not competitive in the cloud ERP market. How could that have happened? Because SAP never rewrote their ERP system for the cloud. It's that same 30-year-old code. They never rewrote their ERP system for the cloud. Too late for them to start now. I'll turn it back over to Safra."
22247,706348860,2234790,"Oracle Corporation, Q3 2021 Earnings Call, Mar 10, 2021",2021-03-10,"Earnings Calls","Oracle Corporation","Executives","Thank you, Larry. Erica, if you could please poll the audience for questions?",13,"Thank you, Larry. Erica, if you could please poll the audience for questions?"
22247,706348860,2234790,"Oracle Corporation, Q3 2021 Earnings Call, Mar 10, 2021",2021-03-10,"Earnings Calls","Oracle Corporation","Operator","[Operator Instructions] Our first question comes from Michael Turits with KeyBanc Capital.",12,"[Operator Instructions] Our first question comes from Michael Turits with KeyBanc Capital."
22247,706348860,2234790,"Oracle Corporation, Q3 2021 Earnings Call, Mar 10, 2021",2021-03-10,"Earnings Calls","Oracle Corporation","Analysts","Great. Larry, thanks for all the color on ERP. I'd like to switch over to your database. You've made meaningful improvements in both cloud customer and OCI 2, which were both 1 of the 2 required for ADB. So are those improvements enough that we're now sta",72,"Great. Larry, thanks for all the color on ERP. I'd like to switch over to your database. You've made meaningful improvements in both cloud customer and OCI 2, which were both 1 of the 2 required for ADB. So are those improvements enough that we're now starting to see the upgrades to ADB? And are you able to monetize those upgrades to the point where we'll start to see database growth acceleration?"
22247,706348860,2234790,"Oracle Corporation, Q3 2021 Earnings Call, Mar 10, 2021",2021-03-10,"Earnings Calls","Oracle Corporation","Executives","The answer is I think there's no question, you're going to see a lot of database growth -- a lot of database acceleration starting next year, which we're a quarter away from. But we'll be fine in Q4. Again, autonomous database is growing pretty rapidly.",94,"The answer is I think there's no question, you're going to see a lot of database growth -- a lot of database acceleration starting next year, which we're a quarter away from. But we'll be fine in Q4. 
Again, autonomous database is growing pretty rapidly. But we expect it really to explode next year, and I really do mean very, very rapid growth next year. I'm not really ready to disclose our plans as to why I think it's going to suddenly spike, but we expect very, very rapid database growth next year."
22247,706348860,2234790,"Oracle Corporation, Q3 2021 Earnings Call, Mar 10, 2021",2021-03-10,"Earnings Calls","Oracle Corporation","Operator","Our next question comes from Mark Murphy with JPMorgan.",9,"Our next question comes from Mark Murphy with JPMorgan."
22247,706348860,2234790,"Oracle Corporation, Q3 2021 Earnings Call, Mar 10, 2021",2021-03-10,"Earnings Calls","Oracle Corporation","Analysts","This SAP replacement wave, it feels like kind of a historic moment because that kind of activity, it's usually so rare. And these, the logos are pretty large that you're mentioning. So when we see...",35,"This SAP replacement wave, it feels like kind of a historic moment because that kind of activity, it's usually so rare. And these, the logos are pretty large that you're mentioning. So when we see..."
