"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
187662,700850087,2178180,"SVB Financial Group, Q4 2020 Earnings Call, Jan 21, 2021",2021-01-21,"Earnings Calls","SVB Financial Group","Operator","Ladies and gentlemen, thank you for standing by, and welcome to the SVB Financial Group Fourth Quarter 2020 Earnings Call. [Operator Instructions]I now would like to hand the conference over to your speaker today, Ms. Meghan O'Leary, SVP, Head of Invest",46,"Ladies and gentlemen, thank you for standing by, and welcome to the SVB Financial Group Fourth Quarter 2020 Earnings Call. [Operator Instructions]
I now would like to hand the conference over to your speaker today, Ms. Meghan O'Leary, SVP, Head of Investor Relations. Please go ahead."
187662,700850087,2178180,"SVB Financial Group, Q4 2020 Earnings Call, Jan 21, 2021",2021-01-21,"Earnings Calls","SVB Financial Group","Executives","Thank you, Gabriel, and thank you, everyone, for joining us today. Our President and CEO, Greg Becker; and our CFO, Dan Beck, are here to talk about our fourth quarter and full-year 2021 financial results and will be joined by other members of our managem",162,"Thank you, Gabriel, and thank you, everyone, for joining us today. Our President and CEO, Greg Becker; and our CFO, Dan Beck, are here to talk about our fourth quarter and full-year 2021 financial results and will be joined by other members of our management team for the Q&A.
Our current earnings release, earnings highlight slides and CEO letter have been filed and are available on the Investor Relations section of our website at svb.com.
We'll be making forward-looking statements during this call and actual results may differ materially. We encourage you to review the disclaimer in our earnings release dealing with forward-looking information, which applies equally to statements made in this call.
In addition, some of our discussion may include references to non-GAAP financial measures. Information about those measures, including reconciliation to GAAP measures, may be found in our SEC filings and in our earnings release. And now I will turn the call over to our President and CEO, Greg Becker."
187662,700850087,2178180,"SVB Financial Group, Q4 2020 Earnings Call, Jan 21, 2021",2021-01-21,"Earnings Calls","SVB Financial Group","Executives","Thanks, Megan, and thank all of you for joining us today. You can see from the materials we followed -- filed earlier today that we had another outstanding quarter with continued balance sheet growth driven by robust client liquidity, net interest income",111,"Thanks, Megan, and thank all of you for joining us today. You can see from the materials we followed -- filed earlier today that we had another outstanding quarter with continued balance sheet growth driven by robust client liquidity, net interest income above our guidance despite pressure from low rates, strong core fee income, outsized warrant and investment gains, strong investment banking revenue and continued stable credit. It was an outstanding finish to an outstanding year. We are pleased with the continued resilience and health of our clients and the broader innovation economy.
Now we'd like to move right into Q&A. So we'll ask the operator to open up the lines."
187662,700850087,2178180,"SVB Financial Group, Q4 2020 Earnings Call, Jan 21, 2021",2021-01-21,"Earnings Calls","SVB Financial Group","Operator","Absolutely. [Operator Instructions] Your first question will come from Ibrahim Punawala of Bank of America.",15,"Absolutely. [Operator Instructions] Your first question will come from Ibrahim Punawala of Bank of America."
187662,700850087,2178180,"SVB Financial Group, Q4 2020 Earnings Call, Jan 21, 2021",2021-01-21,"Earnings Calls","SVB Financial Group","Analysts","I guess just wanted to start with capital. I know, Greg, you adjust that a little bit in your letter as well. But looking at sort of the leverage ratios both at the bank and holdco level, why not raise some common equity, given where the stock is trading",114,"I guess just wanted to start with capital. I know, Greg, you adjust that a little bit in your letter as well. But looking at sort of the leverage ratios both at the bank and holdco level, why not raise some common equity, given where the stock is trading at, given what looks like a pretty strong growth outlook? Just give us a sense of like, why not do it when -- who know markets can be volatile, so why not take advantage of the currency to raise some capital today. And if then, you can remind us in terms of the capacity at the holdco to downstream capital to the bank if needed?"
187662,700850087,2178180,"SVB Financial Group, Q4 2020 Earnings Call, Jan 21, 2021",2021-01-21,"Earnings Calls","SVB Financial Group","Executives","Yes, Ibrahim, I'll start, and Greg might want to follow-on. As we look at capital, then we look at where the growth in balances have created at least some reduction in the capital levels, it's in the Tier 1 leverage.And if we look at the cheapest way to",201,"Yes, Ibrahim, I'll start, and Greg might want to follow-on. As we look at capital, then we look at where the growth in balances have created at least some reduction in the capital levels, it's in the Tier 1 leverage.
And if we look at the cheapest way to be able to fund that Tier 1 leverage, and at the same time, the way that we've done it in the recent past is really through preferred issuance that we downstream to the bank as well as senior debt.
We have a recent history of doing that, and we've got the flexibility to be able to do it. So I think that allows, especially as we look at the Tier 1 leverage ratio, the flexibility for us to be able to manage that.
In terms of the capacity at the holding company, if we look at the amount of liquidity that remains there, we're sitting right now roughly $700 million. And that's after downstreaming, close to $700 million to the bank in order to support the Tier 1 leverage ratio.
So we believe that we've got the flexibility to manage through preferred, through senior debt to that 7% to 8% leverage ratio."
187662,700850087,2178180,"SVB Financial Group, Q4 2020 Earnings Call, Jan 21, 2021",2021-01-21,"Earnings Calls","SVB Financial Group","Analysts","Got it. And I guess, just moving in terms of the expense outlook. I know normally, we give you a hard time as expense growth is stronger. But just given how strong your revenue growth outlook is, I'm looking at the low single-digit expense growth.Are yo",96,"Got it. And I guess, just moving in terms of the expense outlook. I know normally, we give you a hard time as expense growth is stronger. But just given how strong your revenue growth outlook is, I'm looking at the low single-digit expense growth.
Are you kind of pulling back on investments that you would make in a perfect world? Or is -- are you kind of matching out all investment opportunities? I'm just wondering why not make more investments right now and use this momentum to build the business and grow it even faster?"
187662,700850087,2178180,"SVB Financial Group, Q4 2020 Earnings Call, Jan 21, 2021",2021-01-21,"Earnings Calls","SVB Financial Group","Executives","This is Greg. I'll start. And Dan will walk through the positives and negatives in how we think about it. There's a couple of things that drove higher expenses at the end of the year with SVB Leerink being one of those components, clearly, their incredibl",245,"This is Greg. I'll start. And Dan will walk through the positives and negatives in how we think about it. There's a couple of things that drove higher expenses at the end of the year with SVB Leerink being one of those components, clearly, their incredible results in 2020 and just a higher payout ratio.
So you look at that and say, that's a big number. So if you pull back a little bit on the revenue forecast, that will have an impact on expenses. We had a real estate write-down on some leases that we looked at. And the other, the fees that we're donating for PPP. So you add up all those things, but actually is a pretty big number.
So if you normalize all that, we actually do have nice growth built in for '21. And so we are investing in the same places that were -- have been in the past. We're actually increasing the investments we're making and have been making infrastructure.
And the one thing I would say, if you look at the last part is if the performance of the bank or if SVB learning outperforms those expenses will be on the higher end. So we do have capacity in there to invest in the business, and we're investing more than we did last year. And so we feel good about the level that you have in there. But Dan, do you want to give any additional color?"
187662,700850087,2178180,"SVB Financial Group, Q4 2020 Earnings Call, Jan 21, 2021",2021-01-21,"Earnings Calls","SVB Financial Group","Executives","Yes. Greg, the only additional color would be just numbers wise, we had $20 million of incremental expenses in the fourth quarter just for the PPP donation. Real estate was another $30 million. And if you look at just the performance in the year in the fo",116,"Yes. Greg, the only additional color would be just numbers wise, we had $20 million of incremental expenses in the fourth quarter just for the PPP donation. Real estate was another $30 million. And if you look at just the performance in the year in the fourth quarter, that was over $85 million of incremental expense.
So yes, the year-over-year guide looks low. But to Greg's point, when you strip all of that out, the investment levels much more along the lines of our traditional high single digits investment pace from an operating expense perspective on a much bigger number. And I think that's really the key. We are clearly investing heavily in opportunity. It's there."
187662,700850087,2178180,"SVB Financial Group, Q4 2020 Earnings Call, Jan 21, 2021",2021-01-21,"Earnings Calls","SVB Financial Group","Analysts","Yes.                 but",2,"Yes.                 but"
