"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
98873,700489027,2191684,"The Hershey Company, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","The Hershey Company","Operator","Greetings, and welcome to the Hershey Company fourth quarter 2020 question-and-answer session. [Operator Instructions]. As a reminder, this conference is being recorded. I'd now like to turn the call over to your host, Ms. Melissa Poole, Vice President of",50,"Greetings, and welcome to the Hershey Company fourth quarter 2020 question-and-answer session. [Operator Instructions]. As a reminder, this conference is being recorded. I'd now like to turn the call over to your host, Ms. Melissa Poole, Vice President of Investor Relations for the Hershey Company. Thank you. You may begin."
98873,700489027,2191684,"The Hershey Company, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","The Hershey Company","Executives","Thank you. Good morning, everyone. Thank you for joining us today for the Hershey company's fourth quarter 2020 earnings Q&A session. I hope everyone has had the chance to read our press release and listen to our pre reported management presentation, both",272,"Thank you. Good morning, everyone. Thank you for joining us today for the Hershey company's fourth quarter 2020 earnings Q&A session. I hope everyone has had the chance to read our press release and listen to our pre reported management presentation, both of which are available on our website. In addition, we have posted a transcript of the pre reported remarks. At the conclusion of today's live Q&A session, we will also post a transcript and audio replay of this call. Please note that during today's Q&A session, we may make forward-looking statements that are subject to various risks and uncertainties. These statements include expectations and assumptions regarding the company's future operations and financial performance including expectations and assumptions related to the impact of the COVID-19 pandemic. Actual results could differ materially from those projected as a result of the COVID-19 pandemic as well as other factors. The company undertakes no obligation to update these statements based on subsequent events. A detailed listing of such risks and uncertainties can be found in today's press release and the company's SEC filings. Finally, please note that we may refer to certain non-GAAP financial measures that we believe will provide useful information for investors. The presentation of this information is not intended to be considered in isolation or as a substitute for the financial information presented in accordance with GAAP reconciliations to the GAAP results are included in this morning's press release. Joining me today are Hershey's Chairman and CEO, Michele Buck; and Hershey's Senior Vice President and CFO, Steve Voskull. With that, I will turn it over to the operator for the first question."
98873,700489027,2191684,"The Hershey Company, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","The Hershey Company","Operator","Thank you. Our first question is from Nik Modi with RBC Capital Markets.",13,"Thank you. Our first question is from Nik Modi with RBC Capital Markets."
98873,700489027,2191684,"The Hershey Company, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","The Hershey Company","Analysts","Everyone happy New Year. A couple of questions. First on just trade spend. And just thinking about, obviously, things have been pulled back quite dramatically in 2020. And as we think about 2021, I'm just curious in terms of your discussions with retailer",130,"Everyone happy New Year. A couple of questions. First on just trade spend. And just thinking about, obviously, things have been pulled back quite dramatically in 2020. And as we think about 2021, I'm just curious in terms of your discussions with retailers, how you're talking about trade spending, one of the things that we've been looking at is kind of this reset of price sensitivity, given that no promotions have effectively been in the market for the past 9 to 10 months. So I just wanted to get your thoughts on that. And then the other question is just you can give us a kind of a roundup of the innovation program that has already been announced just so we can get a sense for the program in 2021?"
98873,700489027,2191684,"The Hershey Company, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","The Hershey Company","Executives","Sure. So relative to trade spending and promotion, we didn't have any meaningful shifts in promotion activity. Our levels for the year were pretty consistent with prior year. So we were basically flat. The IRI data will support that. So I think there's a",217,"Sure. So relative to trade spending and promotion, we didn't have any meaningful shifts in promotion activity. Our levels for the year were pretty consistent with prior year. So we were basically flat. The IRI data will support that. So I think there's a little bit of a disconnect in the Nielsen data. So we don't really expect any material changes as we go into next year as well. And then as you look at innovation, certainly, I think some of the bigger items we have, Kit-Kat flavor, which has done exceptionally well for Kit Kat on a global basis, we have the stuff Reis's products and our re-innovation tends to also always be quite strong for us. We have a permissible line of products to really address that benefit of better-for-you that we are underdeveloped in across our portfolio, and that will include kit Kat in which is in addition to what has been an already launch of a successful platform with REIT spin. We are also relaunching our sugar-free line to zero sugar, really focusing on Hershey and Reef and launching Hershey and Reese organic product. So those are the highlights for the year. And I would say, overall, if you looked at our innovation, the level of innovation is about comparable to prior year."
98873,700489027,2191684,"The Hershey Company, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","The Hershey Company","Operator","The next question is from the line of Ken Goldman with Jpmorgan.",12,"The next question is from the line of Ken Goldman with Jpmorgan."
98873,700489027,2191684,"The Hershey Company, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","The Hershey Company","Analysts","2 for me, if I can. First, I wanted to think or ask about the early holiday shipment that benefited 4Q. Obviously, I think over the 4Q, 1Q, '21 period, it's overall a big benefit to you. So I don't think of it as early shipments. But I am curious, how do",97,"2 for me, if I can. First, I wanted to think or ask about the early holiday shipment that benefited 4Q. Obviously, I think over the 4Q, 1Q, '21 period, it's overall a big benefit to you. So I don't think of it as early shipments. But I am curious, how do we look at the potential for a difficult comparison in 4Q '21, right? Should we expect maybe some of these additional orders that you received this year to kind of revert to normal if your competitors are maybe better able to fill demand going forward?"
98873,700489027,2191684,"The Hershey Company, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","The Hershey Company","Executives","So Ken, if you think about the Easter that we'll be shipping for in Q4, that 2022 Easter happens to be 1 of those incredibly long easters. And so typically, we tend to ship a bit more in the Q4 prior to a long Easter. So we don't expect that there's going",64,"So Ken, if you think about the Easter that we'll be shipping for in Q4, that 2022 Easter happens to be 1 of those incredibly long easters. And so typically, we tend to ship a bit more in the Q4 prior to a long Easter. So we don't expect that there's going to be a material difference from a year-to-year basis because of that."
98873,700489027,2191684,"The Hershey Company, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","The Hershey Company","Analysts","And then just for my follow-up, your commentary on cocoa butter costs was, I think, more constructive than some observers may be expected, which is great. But I'm hoping you can expand on that a bit, and maybe this is for Steve. Just how do we think about",57,"And then just for my follow-up, your commentary on cocoa butter costs was, I think, more constructive than some observers may be expected, which is great. But I'm hoping you can expand on that a bit, and maybe this is for Steve. Just how do we think about your all-in COGS inflation this year versus 2020?"
98873,700489027,2191684,"The Hershey Company, Q4 2020 Earnings Call, Feb 04, 2021",2021-02-04,"Earnings Calls","The Hershey Company","Executives","Sure. Yes, I'm happy to take that one. Yes, clearly, facing, on an all in basis, facing more installation this year than last year. As you know, we've got a hedging program, which mutes some of the cocoa impact as the Lindt flows through. And we have some",162,"Sure. Yes, I'm happy to take that one. Yes, clearly, facing, on an all in basis, facing more installation this year than last year. As you know, we've got a hedging program, which mutes some of the cocoa impact as the Lindt flows through. And we have some longer-term contracts on things like freight and warehousing. But that said, neither hedging or contracting is going to fully cover the exposure that we have in inflation. And I think if I take freight as an example, we look at things like demand planning and how important that is. And to the extent our plans deviate from the way volume comes in and having to go to the spot market, for example, where we have less cover. There's some risk there. So net-net, more inflation. We've got a pretty good level of cover, and that's included inside of our guidance, but we're not fully covered either on the commodity side or outside the commodities."
