"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
191564,700385068,2206784,"The Walt Disney Company, Q1 2021 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","The Walt Disney Company","Operator","Ladies and gentlemen, thank you for standing by, and welcome to The Walt Disney Company's First Quarter 2021 Financial Results Conference Call. [Operator Instructions] Please be advised that today's conference may be recorded. I'd now like to hand the con",56,"Ladies and gentlemen, thank you for standing by, and welcome to The Walt Disney Company's First Quarter 2021 Financial Results Conference Call. [Operator Instructions] Please be advised that today's conference may be recorded. I'd now like to hand the conference over to your host today, Lowell Singer, Senior Vice President of Investor Relations. Please go ahead."
191564,700385068,2206784,"The Walt Disney Company, Q1 2021 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","The Walt Disney Company","Executives","Good afternoon, and welcome to the Walt Disney Company's First Quarter 2021 Earnings Call. Our press release was issued about 25 minutes ago and is available on our website at www.disney.com/investors. Today's call is also being webcast, and a transcript",122,"Good afternoon, and welcome to the Walt Disney Company's First Quarter 2021 Earnings Call. Our press release was issued about 25 minutes ago and is available on our website at www.disney.com/investors. Today's call is also being webcast, and a transcript will also be posted to our website. We realize most of you are still joining us today from your homes, and we are once again hosting today's call remotely. So joining me from their homes are Bob Chapek, Disney's Chief Executive Officer; and Christine McCarthy, Senior Executive Vice President and Chief Financial Officer. Following comments from Bob and Christine will be happy to take some of your questions. So with that, let me turn the call over to Bob to get started."
191564,700385068,2206784,"The Walt Disney Company, Q1 2021 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","The Walt Disney Company","Executives","Thanks, Lowell, and hello, everyone. I hope you're all doing well and staying safe. Unfortunately, as you know, the COVID pandemic continues to present significant hurdles for businesses and communities across the U.S. and globally, and most important, it",1429,"Thanks, Lowell, and hello, everyone. I hope you're all doing well and staying safe. Unfortunately, as you know, the COVID pandemic continues to present significant hurdles for businesses and communities across the U.S. and globally, and most important, it has taken a tragic toll on way too many lives. 
Fortunately, there have been some encouraging developments, particularly with the availability of the vaccine. And we're pleased to be doing our part by providing space at Disneyland for one of Southern California's major vaccine distribution sites. To date, more than 100,000 doses have been administered at our location. It's hard to believe nearly a year has passed since the start of the pandemic, which continues to negatively impact the operations of our company. 
For the first quarter, adjusted EPS in the quarter was $0.32 a share compared to $1.53 a share last year. Christine will talk more in-depth about our results for the quarter. During this difficult time, we have made significant changes while finding new and innovative ways to conduct our businesses. But at the same time, we have chartered a course for an even more deliberate and aggressive DTC push for Disney+, ESPN Plus, Hulu and Star. 
I'm really proud of how well our team has performed in the face of a multitude of ongoing challenges, both creatively and across our parks and experiences and legacy and DTC distribution platforms. We've been especially pleased with the success of our direct-to-consumer business. And our recent strategic reorganization has enabled us to accelerate the company's pivot towards a DTC first business model and further grow our streaming services. 
Disney+ has exceeded even our highest expectations in just over a year since its launch, with 94.9 million subscribers as of the end of the first fiscal quarter. ESPN+ and Hulu have also performed well with 12.1 million and 39.4 million subscriptions, respectively. And on February 23, and we will be launching our new international general entertainment offering, Star across Europe, Canada, Australia, New Zealand and Singapore. Star will offer thousands of hours of movies on television from the company's multiple studios, including content from our acquisition of 21st Century Fox along with Star branded exclusive originals and local programming tailored to specific markets. Star will be integrated into Disney+ as a distinct sixth brand tile. And will offer easy to use parental controls to manage access to the content available on star. We're less than 2 weeks away from launch, and we're seeing tremendous excitement amongst consumers. 
As you saw during our Investor Day presentation, we've got an amazing robust pipeline of original content in development and production for our full portfolio of streaming services. We have some of the best creative fees in the business, and that's reflected in the tremendous appeal of our unparalleled programming. In just the last 2 months, Disney+ has delivered a string of hit programs, including Marvel's incredibly original Wandavision; season 2 of the Mandalorian, which ended with the surprise reveal that fan favorite gold effect will have his own Disney+ series starting this December; and Pixar's artistic triumph, Soul, which debuted on the service and in theaters on Christmas Day to create a claim and has since taken in nearly $100 million at the global box office. 
The wealth of IP from our unrivaled collection of brands and franchises provides us with an incredible breadth and depth of storylines and characters to mine for Disney+ and our other streaming services. We have the ability to interconnect these storylines and characters in unprecedented ways, as we saw with the Mandalorian and Wandavision tying into the broader Star Wars and Marvel franchises. We're excited to continue exploring the endless possibilities that this unique ecosystem provides. 
The fan response was overwhelming when we announced last week, that Ryan Kugler, whose hard at work on Black Panther 2 will be developing a Black Panther inspired series based in the Kingdom of Wakanda for Disney+ We're also thrilled to be expanding the scope and reach of ESPNs the undefeated by creating a destination on Hulu devoted to black entertainment and culture, another example of our continuing commitment and investment and diversity and inclusion, and we can't wait for the award-winning and critically acclaim film, Nomad Land to be released in theaters and on Hulu on February 19. And on March 5, Disney animation Studios, Ryan and the last Dragon, an artistically beautiful film celebrating e-mail empowerment will arrive in theaters and on Disney+ by a premier axis. As we've said, our goal is to increasingly put the consumer in charge and let them decide when and how they want to enjoy our one of a kind entertainment offerings. 
Turning to other parts of the company. We've made a number of changes in how we manage and operate our theme parks and consumer products businesses in light of the disruptions caused by the pandemic. And we believe these and other adjustments will continue to make will best position us to operate more effectively now and in a post COVID environment. 
Where we have been able to reopen our theme parks with limited capacity, guests have consistently demonstrated a willingness and a desire to visit, which we believe is a testament to the fact that they feel confident in the health and safety protocols we put in place. Average daily attendance at Walt Disney World grew significantly from Q4 into Q1, helped in part by the increased capacity we've been able to achieve as a result of our successful protocols. 
It's clear that people want to reconnect with love ones and spend time together doing things they enjoy. And given the demand we're seeing now, we're confident we'll only grow once the pandemic is behind us. Even under difficult circumstances, we've been able to continue expanding our parks. At Walt Disney World Resort, we're hard at work on 2 brand-new attractions at Epcot: Remy's ratio adventure and the highly anticipated Marvel theme rollercoaster, Guardians of the Galaxy, cosmic REWIND. Work is also well underway on the all-new spectacular night time show, Harmonious. This is all part of a much larger reimagining of epcot to make it more Disney, more family friendly, more timeless and more magical. And I'm especially excited about the progress that's been made on the new Star Wars Galactic Star Cruiser hotel at Walt Disney world. People are going to be blown away by the experience it is truly unlike anything we've done before. 
At Disneyland resort the exciting new Marvel Theme Land Avengers campus is currently scheduled to open later this year at Disney California Adventure. And crews are hard at work on the highly anticipated state-of-the-art attraction, Mickey and Mini's runaway railway coming to Disneyland in 2023. We're also moving forward on a number of new projects at our international parks. At Shanghai Disneyland, work continues on the first-ever Zootopia themed land. This fully immersive area will seamlessly blend Disney storytelling with advanced technologies, creating a one of a kind experience for our guests. 
Throughout this challenging period, we've consistently demonstrated our ability to deliver world-class programming on all of our platforms, digital and linear. On ABC, we continue to have the #1 returning drop in the key demo of adults 18 to 49 with Grey's Anatomy as well as the top new drama of the fall, Big Sky. Both Gray and Big Sky also hold the top broadcast drama spots on Hulu. 
Also of note, ESPN's first ever NFL wild card mega cast featured 6 networks, including ABC, ESPN+ and ESPN Deportes. It was the most extensive multichannel offering to date for an NFL playoff game. In the following day, the team at ESPN pulled off an equally impressive seat with a mega cast of the college football playoff national championship game with 14 different presentations on multiple platforms. 
During an extraordinarily difficult year, our amazing local and national ABC News teams have been doing an absolutely outstanding job. And Good Morning America and World News tonight with David Mer, continue to hold the top spot as the #1 morning show in evening Newscast. While these remain challenging times, we are more confident than ever that we will emerge from this crisis in a strong position we're proud of all that we've accomplished, especially as it relates to our top priority, our DTC business, and we believe that the strategic actions we're taking to transform our company will enable us to enhance the consumer and guest experience, grow and expand our businesses and increase shareholder value. 
With that, I'll now turn it over to Christine."
191564,700385068,2206784,"The Walt Disney Company, Q1 2021 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","The Walt Disney Company","Executives","Thanks, Bob, and good afternoon, everyone. Excluding certain items, diluted earnings per share for the fiscal first quarter were $0.32. In spite of the challenging circumstances we have faced with COVID over the past year, these results reflect the streng",1577,"Thanks, Bob, and good afternoon, everyone. Excluding certain items, diluted earnings per share for the fiscal first quarter were $0.32. In spite of the challenging circumstances we have faced with COVID over the past year, these results reflect the strength of our brands and experiences as well as our ongoing commitment to operate our businesses efficiently. 
This is the first quarter in which we are reporting under our new organizational structure. We filed an 8-K last week with summary recast segment financial information for fiscal 2020. And today's discussion of our financial results will be organized by 2 segments: Disney Media and Entertainment Distribution or DMED, and Disney Parks, Experiences and Products or DPP. 
I'll start with our newest segment, DMED, where operating income increased modestly in the first quarter versus the prior year. Our financial reporting structure for DMED includes 3 lines of business. Linear networks, direct-to-consumer and content sales, licensing and other. Operating income at linear networks, which now includes both domestic and international channels decreased versus the prior year quarter due to declines, both domestically and internationally. 
At our domestic channels, the decline in operating income was due to lower results at our cable business, partially offset by an increase in our broadcasting business. The decrease at cable was largely driven by ESPN, where results in the first quarter were significantly impacted by higher rights costs. This was largely due to timing of college football playoff games relative to our fiscal periods as well as higher MDA programming costs. The first quarter included 6 ball games compared to 3 in the prior year quarter. 4 NBA finals games were played in the first quarter due to COVID related timing shifts whereas these games would have typically occurred in the prior fiscal year. ESPN domestic advertising revenue decreased 4% in the quarter due to lower average viewership and the cancellation of certain college sporting events, partially offset by an increase in rates. 
Ad revenue at ESPN is currently pacing down quarter-to-date due in part to the timing of key events. At broadcasting, higher political advertising revenue at our owned television stations drove an increase in operating results versus the prior year. Partially offset by a decrease at the ABC television network. Total domestic affiliate revenue increased 3% in the quarter. This was driven by a benefit of 8 points of growth from higher rates, offset by a 5-point decline due to a decrease in subscribers. 
At our international channels, lower results in the quarter were driven by higher programming and production costs and lower affiliate revenue, partially offset by advertising revenue growth and a reduction in nonprogramming costs. Higher programming costs and higher advertising revenue reflected a shift in the timing of Indian premier lean cricket matches due to COVID. And the decrease in affiliate revenue was primarily due to channel closures. However, our international channels results this past quarter were better than the guidance we gave in our last earnings call, primarily due to stronger-than-expected advertising revenue, COVID-related timing shifts of non-Cricket programming and sports rights costs and expense savings. 
Moving on to direct-to-consumer. Improved results at all 3 of our streaming services drove an improvement in direct-to-consumer operating results of nearly $650 million versus the prior year. Last quarter, we guided to direct-to-consumer operating income declining by $100 million versus the prior year under our former segment structure. Our reported results are $750 million higher than that guidance. While some of the outperformance reflects better-than-expected results from Hulu and Disney+, the majority of the variance relates to the elimination of intersegment pricing markups under our new financial reporting structure. 
At Hulu, the improvement in the first quarter versus the prior year was due to both subscriber and advertising revenue growth, partially offset by higher programming and production costs. Hulu ended the first quarter with 39.4 million paid subscribers, including 4 million Hulu live digital MVPD subscribers. 
Turning to Disney+, a lower loss in the first quarter compared to the prior year was driven by subscriber growth, partially offset by higher costs due to the launch and expansion of Disney. With 94.9 million paid subscribers at the end of Q1, Disney+'s global net additions were $21.2 million versus Q4. Disney+ Hotstar subscriber additions continued their strong growth trend, with Disney+ Hotstar subscribers, making up approximately 30% of our global subscriber base. We also saw strong additions to our subscriber base from our November launch in Latin America. 
Disney+ overall ARPU this quarter was $4.03. However, excluding Disney+ Hotstar, it was $5.37. Higher results at ESPN+ were driven by subscriber growth, partially offset by higher sports programming costs driven by soccer rights. ESPN+ ended the quarter with 12.1 million paid subscribers. Given that we are past the launch year of Disney Plus, we no longer intend to update our DTC subscriber numbers as of our earnings dates. But we will continue to provide you with quarter end subs. We may choose to make additional disclosures when we hit certain milestones. 
Content sales, licensing and other operating income at DMED decreased in the first quarter versus the prior year due to lower theatrical, TV SVOD and home entertainment results, all consistent with our prior guidance. The decrease in theatrical results reflects no significant worldwide releases in the quarter compared to Frozen 2 in the prior year quarter. 
Lower TV SVOD distribution results were the result of a shift from licensing to third parties to exhibiting our content on our DTC services. A decrease in home entertainment results was driven by the absence of significant title releases in the quarter compared to the performance of Toy Story 4, the Lion King and Aladdin in the prior year quarter. 
I'll now turn to our Parks, Experiences and Products segment. We continue to see significant impacts from the COVID-19 pandemic across many of our businesses. While some operations have resumed, our Parks Experiences and products segment has undoubtedly been hard hit by COVID. 
In the first fiscal quarter, we estimate the pandemic adversely impacted DPEP operating income by approximately $2.6 billion due to revenues lost as a result of closures and reduced operating capacities. Operating income at Parks, Experiences and Products declined significantly versus the prior year to an operating loss of $119 million. 
As a reminder, Walt Disney World Resort and Shanghai Disney Resort were open for all of the first quarter. Disneyland Resort was closed, and our cruise business was suspended for the full quarter. Disneyland Paris was opened until the end of October or for about 1/3 of the quarter, and Hong Kong Disneyland was open until the beginning of December or for about 2/3 of the quarter. 
Our parks and resorts that were opened during the quarter, all operated at significantly reduced capacities yet all achieved a net incremental positive contribution for the periods during which they were open, meaning that revenue exceeded the variable costs associated with opening. 
At Walt Disney World, as Bob mentioned earlier, average daily attendance grew significantly from Q4 into Q1, benefiting from typical seasonality factors as well as solid underlying demand trends. At the same time, our operations team found innovative ways to responsibly increase capacity while still maintaining rigorous COVID protocols. 
Per caps were also up double digits year-over-year. We continue to be pleased with the rate of reservation bookings we are seeing in the current quarter. And consumer sentiment around visiting our domestic theme parks over a longer period of time remains strong.
At our consumer Products business, we saw an increase in  operating income in the first quarter driven by an increase in games licensing revenue, which reflects the successful release of Marvel's latest licensed Spider-Man game. As we look ahead, despite continued limited visibility due to the challenges of the pandemic, we would like to give you some context around certain items that may impact our second quarter or full year results. 
First, at our domestic linear networks, we expect ESPN will benefit in the second quarter from the timing of college football and other sporting events, with lower rights costs being partially offset by lower advertising revenue. In Q2, we had only 1 CFP game, which was the National Championship game. This compares to 4 games in the prior year, 3 CFP Bowl games and the National Championship game. Our broadcasting business will be negatively impacted in the second quarter due to lower political advertising versus the prior year. In addition to the shift of the Academy awards to the third quarter. We expect direct-to-consumer operating results in the second quarter to improve modestly versus the prior year quarter. As improvement at Hulu and ESPN+ will be partially offset by increased content investment to support the expansion of Disney we expect that Walt Disney world attendance in the second quarter will be impacted by typical seasonality headwinds in addition to continued COVID-related headwinds and capacity constraints. 
Our current expectation is that Disneyland and Disneyland Paris will be closed for the entirety of the second quarter, but we are hopeful we will be able to reopen Hong Kong Disneyland during the quarter. We have refined our capital spending expectations, and we now expect CapEx in fiscal year 2021 to be roughly comparable to fiscal 2020 spending. Compared to 2020, we still expect to see increased investment at DMED, in corporate and reduced spending at DPP. 
And with that, I'll now hand the call over to Lowell, and we will be happy to take your questions."
191564,700385068,2206784,"The Walt Disney Company, Q1 2021 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","The Walt Disney Company","Executives","Okay. Christine, thank you. And we are ready to transition to the Q&A. And as we do that, let me note that since we are once again not physically together this afternoon, I will do my best to moderate the call by directing your questions to the appropriat",59,"Okay. Christine, thank you. And we are ready to transition to the Q&A. And as we do that, let me note that since we are once again not physically together this afternoon, I will do my best to moderate the call by directing your questions to the appropriate executive. So with that, Liz, we're ready for the first question."
191564,700385068,2206784,"The Walt Disney Company, Q1 2021 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","The Walt Disney Company","Operator","Our first question comes from Ben Swinburne with Morgan Stanley.",10,"Our first question comes from Ben Swinburne with Morgan Stanley."
191564,700385068,2206784,"The Walt Disney Company, Q1 2021 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","The Walt Disney Company","Analysts","Bob, can you -- I know visibility is limited, but can you tell us how you think about the parks through the rest of this year, in particular, Christine mentioned strong underlying demand. But do you expect to be able to increase capacity limits and fulfil",144,"Bob, can you -- I know visibility is limited, but can you tell us how you think about the parks through the rest of this year, in particular, Christine mentioned strong underlying demand. But do you expect to be able to increase capacity limits and fulfill that demand? And as you do, are there things that you've done on the technology or cost side that can help us think about the ramp back to breakeven? 
And then I was just wondering, Christine, is there any way for you to help us think about the sports rights in fiscal '21 versus fiscal '20, there's been so much movement in a number of games between the 2 years. And obviously, these are big dollars for the company. I'm just wondering if there's any way you can help us think about that maybe on an annual basis."
191564,700385068,2206784,"The Walt Disney Company, Q1 2021 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","The Walt Disney Company","Executives","Okay, Ben. Thank you. So Bob, why don't you take the first question about parks, and then we'll go to Christine on [indiscernible]",23,"Okay, Ben. Thank you. So Bob, why don't you take the first question about parks, and then we'll go to Christine on [indiscernible]"
191564,700385068,2206784,"The Walt Disney Company, Q1 2021 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","The Walt Disney Company","Executives","Okay. In terms of the outlook for the parks for the rest of the year and the capacity, it's really going to be determined by the rate of vaccination of the public. That to us seems like the biggest lever that we can have in order to either take the parks",397,"Okay. In terms of the outlook for the parks for the rest of the year and the capacity, it's really going to be determined by the rate of vaccination of the public. That to us seems like the biggest lever that we can have in order to either take the parks that are currently under limited capacity and increase it or open up parks that are currently closed. So that is sort of the gating factor, if you will. As Christine suggested, we have ample demand for our parks. Despite everything that's happening with that pandemic, I think we've made a pretty big impression on our consumer base and prospective guests in terms of the safety measures that we've undertaken at our parks to give assurances to people that they should come in and bring their families. And we're very, very pleased with what we're seeing in terms of future bookings. In terms of the cost savings and the technical side of things, not only has our industrial engineering team at Walt Disney world and some of our parks like Shanghai across the world figured out ways to have increased capacity with the same safety measures that we've had in place, which has enabled us to increase our -- or if you will, our attendance. But we have been able to substantially manage our cost side at the same time to rightsize, if you will, are not only our fixed cost base, but also our variable cost base to match what's happening. And I think that's evidenced by what Christine said that all of our parks regardless of what conditions they're operating under, assuming they are operating are in positive net contribution aside. I would also add, you didn't mention this, but I think it's important to add that given those per caps that Christine referenced in terms of the double-digit increase in per caps, this is sort of the ultimate situation where demand has exceeded supply. We've had that been fortunate enough to have that situation for the last couple of years, and we've learned how to yield this business. And I think this is the ultimate situation where we've got supply greater than demand. So not only working on the cost side, but we're also working on the revenue side. And I think you see some of those results at play at Walt Disney World."
191564,700385068,2206784,"The Walt Disney Company, Q1 2021 Earnings Call, Feb 11, 2021",2021-02-11,"Earnings Calls","The Walt Disney Company","Analysts","Got it.",2,"Got it."
