"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
329501,700932342,2183975,"Tractor Supply Company, Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Tractor Supply Company","Operator","Good morning, ladies and gentlemen, and welcome to Tractor Supply Company's conference call to discuss fourth quarter and fiscal year 2020 results. [Operator Instructions] Please be advised that reproduction of this call in whole or in part is not permitt",91,"Good morning, ladies and gentlemen, and welcome to Tractor Supply Company's conference call to discuss fourth quarter and fiscal year 2020 results. [Operator Instructions] Please be advised that reproduction of this call in whole or in part is not permitted without written authorization of Tractor Supply company. And as a reminder, this call is being recorded. 
I would now like to introduce your host for today's call, Ms. Mary Winn Pilkington, Senior Vice President of Investor Relations of Investor and Public Relations for Tractor Supply company. Mary Winn, please go ahead."
329501,700932342,2183975,"Tractor Supply Company, Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Tractor Supply Company","Executives","Thank you, operator. Good morning, everyone. Thanks for taking the time to join us today. And I do hope you're all staying safe and well. On the call today are Hal Lawton, our CEO; and Kurt Barton, our CFO. After our prepared remarks, we will open the c",336,"Thank you, operator. Good morning, everyone. Thanks for taking the time to join us today. And I do hope you're all staying safe and well. 
On the call today are Hal Lawton, our CEO; and Kurt Barton, our CFO. After our prepared remarks, we will open the call up for your questions. Seth Estep, our EVP and Chief Merchandising Officer, will join us for the question-and-answer session. Please note that we've made a supplemental slide presentation available on our website to accompany today's earnings release. 
Now let me reference the safe harbor provisions under the Private Securities Litigation Reform Act of 1995. This call may contain certain forward-looking statements that are subject to significant risks and uncertainties. Including the future operating and financial performance of the company. In many cases, these risks and uncertainties are beyond our control. Although the company believes the expectations reflected in its forward-looking statements are reasonable, it can give no assurance that such expectations or any of its forward-looking statements will prove to be correct, and actual results may differ materially from expectations. Important risk factors that could cause actual results to differ materially from those reflected in the forward-looking statements are included at the end of the press release issued today and the company's filings with the Securities and Exchange Commission. The information contained in this call is accurate only as of the date discussed. Investors should not assume that statements will remain offered at a later time. 
Tractor Supply undertakes no obligation to update any information discussed in this call. Additionally, we will be discussing certain non-GAAP financial measures. A reconciliation of these items to U.S. GAAP are included in today's press release and presentation, which are posted on our Investor Relations website. [Operator Instructions] We will be available after the call for follow-up. Thank you for your time and attention this morning. 
Before we get started, may I ask you to please turn your attention to our year-end review video that can be seen on our webcast. 
[Presentation]"
329501,700932342,2183975,"Tractor Supply Company, Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Tractor Supply Company","Executives","Good morning, and thank you, everyone, for joining us today. I hope you enjoy the opening video. We will all always remember 2020. And while we'll never recall the year with anything close to fondness, at Tractor Supply, 2020 will be remembered with a sma",1210,"Good morning, and thank you, everyone, for joining us today. I hope you enjoy the opening video. We will all always remember 2020. And while we'll never recall the year with anything close to fondness, at Tractor Supply, 2020 will be remembered with a small measure of pride as we reflect on our efforts to take care of our fellow team members, support our customers and invest in the future. 
None of these results would have been possible without the hard work and dedication of our team, and I want to express my sincere appreciation and gratitude to the more than 42,000 Tractor Supply team members for how they have lived our mission values and work together to take care of each other and our customers. My thanks also go out to our supply chain and vendor partners, who've done an excellent job supporting our business. The environment continues to be uncertain and challenging. Vaccines are on the rise, but our country is still very much in the midst of a pandemic. Given the pace of the vaccine rollout, it will be at least fall before we're back to some form of normality. Throughout the pandemic, our utmost priority has been to take care of the health and safety and well-being of our team members and customers. We spent tens of millions of dollars on cleaning and mask, plexiglass and sanitizer. We provided almost 700,000 hours of COVID sick pay. We have conducted nearly 20,000 COVID tests. And we rolled out company-wide a contact tracing wearable devices for all team members to use. We will continue to spare no expense in this area in 2021. In addition to rolling out industry-leading safety protocols, we've also shown our commitment to our team members through appreciation bonuses, increased wages and broader benefits offerings. 
At Tractor Supply, we are committed to being a part of the solution for our team members, our customers and our communities, and we remain steadfast in that commitment going forward. As we talk now shifting and talking about 2021, we believe there is as much uncertainty this year as there was in 2020. How fast will vaccines roll out? How are the derivatives of COVID impact transmission rates and antibody effectiveness? Will there be another stimulus? How will consumer spending evolve through the year? 
Given these questions and there are all the other elements of uncertainty, we're planning for fiscal 2021 based on a range of potential outcomes. The initial guidance we're providing today is consistent with our long-term algorithm, that we shared with you at our enhanced earnings event in October. Importantly, our 2021 outlook reflects the strategic initiatives that are foundational to our life out here strategy. With the actions we're taking, we are committed to emerging from the pandemic stronger than before. 
Now let's shift to the business review section for the fourth quarter of 2020 in the fiscal year. We delivered another strong quarter that exceeded our expectations. In the fourth quarter, we had strong net sales gains of 31.3%, with comparable store sales up 27.3%. We continue to gain market share and benefited from customer shopping with us with larger baskets. All customer segments and all value segments experienced growth. For the fiscal year, we added over $2 billion in revenue, and we reached over $10 billion in sales for the year, a significant milestone for the company. Once again, our quarterly results were remarkably consistent across all periods of the quarter across all product categories, across all geographic regions of the country. Also, both our transactions and ticket growth we're seeing and were very balanced. For the third quarter, e-commerce saw strong triple-digit growth and increased significantly as a percentage of our overall sales. 
The work we did this year to improve our omnichannel capabilities has certainly resonated with our customers as we've seen several years of digital adoption accelerate in just a matter of months. For the year, about 75% of our omnichannel sales were picked up at a Tractor Supply store, further reinforcing the importance of our stores to our customers. As we have experienced in the last several quarters, we continue to have strong performance and market share gains in our consumable, usable and edible categories, with growth exceeding 20% for the quarter. 
In 2020, we had more customers shop with us than ever before, with increased sales across our existing customer groups, new customers and reacquired customers. Now shifting to talk about a few other operational highlights for 2020. We added more than 10,000 team members to support the growth of our business. These new team members were critical in our ability to service our customers at these elevated levels and also flow volumes through our supply chain. We pivoted our marketing spending for more traditional print media, digital and national TV. We launched our first national advertising campaign in over a decade. Our research indicates that Tractor Supply has become more top of mind with consumers as our unaided brand awareness increased over 800 basis points. We expanded our in-store and digital capabilities to make it easier and safer to shop at Tractor Supply. We were nimble and agile in offering curbside pickup and same-day next-day delivery. We also relaunched our website, and we rolled out a new mobile app, which already has over 1 million downloads. We celebrated the opening of our 1,900 store in Oakhurst, California and announced plans for a new distribution center in Navara, Ohio, that is expected to be operational by the fall of 2022. We reinforced our long-standing commitment to ESG through improved disclosure and transparency. We also surpassed our original target of a 25% reduction in carbon emissions, 5 years ahead of plan. We just step back, overall, 2020 really highlighted the resiliency of the Tractor Supply team and illuminated the potential for the business. We participate in a large, attractive market. We have momentum. We're investing in our business through our life out here strategy. We have the opportunity to create and define our future and extend our leadership for years to come. 
Before I hand the call over to Kurt, I'd like to address the impairment charge we took for the Petsense business. We recently completed a strategic review of Petsense. Although Petsense had solid sales performance in 2020, we reached the conclusion to reduce the number of new store openings planned over the long-term and identified some underperforming stores to close. We expect to close 10 to 15 stores in 2021. Combined, this resulted in a pretax charge of about $74.1 million or $0.49 per diluted share after tax. Petsense offers a differentiated shopping experience to the suburban and rural pet owner. As mentioned, the business is currently doing well overall. We remain committed to growing and investing Petsense. Earlier this week, we named Matthew Ruben as SVP and General Manager for Petsense. Matthew brings a strong retail background, and I'm confident that he'll be an immediate asset to the business. I look forward to sharing more about our plans with you over time. 
Now Kurt will walk you through greater details of the quarter and the year, along with our 2021 outlook before I return to give you an update on our life out her strategy."
329501,700932342,2183975,"Tractor Supply Company, Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Tractor Supply Company","Executives","Thank you, Hal. And hello to everyone on the call. This year was like no other in the history of Tractor Supply as we delivered record sales and financial performance for the year. The fourth quarter continued to benefit from the macro trends that have wo",1582,"Thank you, Hal. And hello to everyone on the call. This year was like no other in the history of Tractor Supply as we delivered record sales and financial performance for the year. The fourth quarter continued to benefit from the macro trends that have worked to our favor. As we rank order our comparable store sales performance, the trends that I shared with you in the second and third quarter continue to play out in our sales performance. The largest driver continued to be our customers' desire for product categories that support their out here lifestyle as they shifted spending away from travel, entertainment and dining to creating their own experiences. 
For Tractor Supply, this included purchases such as outdoor recreation and living, like UTVs and outdoor Fire pits along with all those indoor projects and winterizing their homes and equipment. This trend also includes living a more self reliant lifestyle. The adoption of new hobbies like backyard poultry, hunting, gardening and bird had continued. And we believe these hobbies and trends are becoming more ingrained in our customers' behavior. The strong brand awareness and new customer performance that Hal discussed was the second largest driver of our comparable store sales performance. This was then followed by tailwinds such as emergency response related demand due to the hurricane activity and various strategic initiatives, such as our investments in digital and the omnichannel experience same-day delivery and our private label credit card. 
Exclusive of the modest hurricane activity benefit, the weather impact was generally neutral compared to the prior year. We had robust performance in our big ticket categories, which exceeded our overall comp sales growth. This was driven by broad-based strength. With safe, recreational vehicles, utility vehicles, trailers and generators representing the top 5 product categories. Fourth quarter gross profit exceeded our expectations due to higher demand for our products and a reduction in promotional and clearance activities. These factors were partially offset by higher transportation costs as a percentage of net sales. The result was that gross margin as a percentage of sales was 34.6% in the fourth quarter, an increase of 75 basis points. 
Moving on to SG&A. The 46 basis point increase in adjusted SG&A as a percent of net sales was attributable to 3 primary factors: first, incremental costs related to the COVID-19 pandemic; second, increased incentive compensation due to record sales and profit performance in the quarter; and then third, investments in our strategic initiatives. The additional costs incurred due to the COVID-19 pandemic included appreciation bonuses to team members across stores and distribution centers as well as additional labor hours and supply cost dedicated to cleaning and sanitation to enhance the health and safety of team members and our customers. COVID-19 related incremental costs were approximately $33 million in the quarter, and that compares to our estimate of $15 million to $20 million going into the quarter, which resulted from an unexpected resurgence of COVID-19 cases late in the year. 
For the quarter, adjusted operating profit increased nearly 36% with operating profit margin of 9%, an improvement of 29 basis points. Adjusted net income was $193.2 million, an increase of 34%. Adjusted diluted EPS was $1.64, an increase of nearly 36%. For the year, we reached an adjusted operating profit margin of 10.1% and had strong growth in adjusted diluted EPS of 47.4%. 
Turning now to our balance sheet, which remains strong, merchandise inventories were $1.8 billion at the end of the fourth quarter, representing an increase of 5.6% in average inventory per store. This level of inventory is still a bit lighter than we would like. Given the momentum of the business, and we are working with our suppliers and vendors to build our stock to support this momentum. During the quarter, we issued our first ever public offering of debt, and we received investment-grade ratings from both MOODY'S and S&P given our strong credit metrics. We issued $650 million in 10-year notes at a coupon rate of 1.75%. The proceeds from the debt issues were used for refinancing and repayment of term loans as we plan to maintain a leverage ratio below 2.5x. 
Fiscal 2020 was a year of strong cash flow from operations, which totaled $1.39 billion, an increase of $582 million or 72%. For the full year, we returned a total of $518 million in capital to our shareholders through the combination of share repurchases and cash dividends. We currently have approximately $1.1 billion remaining on our authorization for share repurchases. Today, our Board reconfirmed our commitment to returning cash to shareholders through a 30% increase in our quarterly dividend, which puts our dividend payments in line with our target of at least a 30% payout ratio. 
Moving now to our guidance for 2021 that is detailed on Page 11 of the supplemental deck. The impact that the COVID-19 pandemic will have on the broader economy, the consumer and our fiscal 2021 results remains uncertain. Given that backdrop, we are planning our for fiscal 2021 based on a range of potential outcomes. To date, while still very early in the first quarter, we continue to see strong sales momentum in the business. For fiscal 2021, we expect net sales in the range of $10.7 billion to $11 billion. Comp store sales are anticipated to be in the range of down 2% to up 1%. 
For the year, we anticipate operating profit margin to be in the range of 9.3% to 9.6%, a significant step-up when compared to our baseline 2019 performance. In fiscal 2020, approximately 90% of the operating margin year-over-year gain was driven by gross margin improvement. For fiscal 2021, we anticipate some giveback in gross margin and SG&A to slightly increase as a percentage of sales compared to fiscal 2020 on an adjusted basis. 
Now let's go into a little more detail on each of these areas. Our expectation is for modest gross margin contraction in 2021 as we anticipate incremental promotional activity, along with higher freight costs. Partially offsetting these pressures are an expected benefit from vendor funding for our field activity support team program while the fast program expenses will be reported in SG&A with a year-over-year impact of about 40 basis points on each. 
Breaking down SG&A. The leverage from reduced COVID-19 costs and more normalized incentive compensation is expected to be offset by ongoing wage pressures, investments in our supply chain and digital space and higher depreciation and amortization expense. And as a reminder, the FAST program costs are reported in SG&A. As a result, we are forecasting SG&A as a percent of sales to slightly deleverage. Adjusted for normalization of the FAST program costs, SG&A is expected to remain relatively flat as a percent of sales. As always, we would encourage you to think about our business between the first half of the year and the second half as this is in line with how we manage the business. 
As you model 2021, I want to point out a few items that will impact comparability. Appreciation bonuses impact the second and fourth quarters of 2020, while wage increases of about $13 million per quarter took effect in the third quarter of 2020. Costs related to the COVID-19 pandemic remain an uncertainty for us in 2020 as our utmost priority remains the health and safety of our team members and our customers. For the first quarter, we anticipate costs related to the pandemic will continue at elevated levels. Additionally, as you think about the cadence of 2021, our business performance is expected to be stronger in the first quarter, as our comparisons step up starting in the second quarter. The first quarter of 2021 is forecast to have the highest comp performance of the year and correspondingly the highest operating profit growth rate. The second quarter is likely to be our most difficult earnings comparison of the year due to a couple of factors. Please recall the second quarter of 2020 experienced the strongest gross margin performance, driven by the least sales promotional activity. 
In addition, we expect incremental cost in Q2 of this year as we support the launch of an upgrade to our Neighbor's Club loyalty program. Moving to below the line. We expect total interest expense for 2021 to be approximately $27 million while our effective tax rate is anticipated to be in the range of 22.5% to 22.8%. Our capital spending is anticipated to range from $450 million to $550 million with more than 80% of that spending going towards growth initiatives. The vast majority of the capital spending increase is attributable to new in-store initiatives and supporting technology for our Life Out Here strategy. Depreciation expense is estimated to increase approximately $50 million. This is above our recent run rate as we accelerate our investments in the business. 
For the year, we expect share repurchases to reduce our diluted weighted average shares outstanding by about 1% to 2%. For modeling purposes, we've assumed weighted average shares outstanding of about 116 million shares in 2021. Net income is forecast in the range of $750 million to $800 million or $6.50 to $6.90 per diluted share. With our strong performance in 2020 and the critical momentum in our business, the team at Tractor Supply is excited about the Life Out Here strategy. Our clear focus enables us to continue to be the innovation leader in our channel and emerge from the pandemic stronger than before. 
Now I'll turn it back to Hal."
329501,700932342,2183975,"Tractor Supply Company, Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Tractor Supply Company","Executives","Thanks, Kurt. So now let's shift into 2021. As Kurt said, we're laser focused, and we're focused on continuing to gain market share. We're going to do this in 3 different ways. One is capitalizing on our numerous macro trends benefiting us. Second is nurt",1146,"Thanks, Kurt. So now let's shift into 2021. As Kurt said, we're laser focused, and we're focused on continuing to gain market share. We're going to do this in 3 different ways. One is capitalizing on our numerous macro trends benefiting us. Second is nurturing our existing new and reengaged customers and the third is executing our Life Out Here strategy. So let's talk about each one of those in a little more detail. 
We believe that many of the consumer behaviors that we've seen over the last 9 months will continue through most or all of 2021. These trends we've mentioned before, but they include rural revitalization, trip consolidation, omnichannel adoption, self reliant lifestyle movement, consumer spending that's shifting from travel and entertainment to home and land and an all-time high pet ownership. We exited the year with nearly 19 million Neighbor's Club members. For the full year, over 11 million new identified customers and more than 6 million reactivated customers shop with us at Tractor Supply. We're seeing strong retention with these customers, and we have plans in place to engage them with new capabilities, marketing and product offerings. 
The third way we're going to be focused on gaining share this year is our Life Out Here strategy, and it really positions us to strengthen and transform the company. As we shared last quarter, there are 5 pillars to our Life Out Here strategy. The first is the liver legendary customer service, second is advance our ONETractor capabilities, the third is to operate the tractor way, the fourth is go to country model for our team, and lastly, it's generate healthy shareholder return. 
So let me highlight some of our planned efforts that we have this year in support of our strategy. In 2021, we plan to open 80 new tractor supply stores and 10 Petsense stores. Additionally, we plan to remodel 150 to 200 stores with Project Fusion, and to execute Project Side Lot in 150 to 200 of our stores. That brings our total construction activity for the year to 400 to 500 projects. This is a significant step-up in the team's workload and also is being executed in the midst of COVID. Our Project Fusion remodel program is designed to drive space productivity and to enhance the customer experience in our mature store base. It is a combination of both changes in the store layout and imagery that creates a greater lifestyle impression and drive space allocation for product assortment. Fusion stores help create a more welcoming destination and offer compelling showcase for our brands. Our Side Lot program is a full transformation of the space from primarily a storage location for agriculture equipment to a state of the art outside garden feed and farm shopping center. That also provides for greater convenience through the expansion of buy online pick up at store. 
While still very early with both of these projects, we continue to be very excited about the sales trends we're seeing from the first tranche of fusion remodels and side lot transformation projects. And importantly, the customer feedback has been overwhelmingly positive. Given the size of the store -- of our store base, these initiatives represent a multiyear opportunity to continually refresh our store base and drive further comp sales. Another initiative we have is our fast team. And they are already having a significant impact on the business. Since their implementation in August, they've taken on execution programs like executing merchandising programs like Center Court, End Caps, planogram resets, seasonal programs and sales driving initiatives. And what this is doing is it's really allowing our store teams to focus more on customer service and improve their in-store execution and then really ultimately allow us to focus more on the customer and driving comparable sales. And we're very pleased with the fast rollout. We're also committed to ensuring our digital capabilities stay ahead of our customer expectations. 
We did this in 2020, and we'll continue to do this in 2021 and beyond. Big areas of focus for us in the first half are shipped from store, search engine optimization, payment options like Apple Pay and Google Pay, subscriptions, both online and in-store and also the recent launch of our Pet Rx platform. As Kurt mentioned, we have plans in place for an upgrade in our Neighbor's club loyalty program by midyear. And we anticipate that this new program will really drive incremental customer retention and also provides strong incentive to allow us to grow our share of wallet with our customers. As we get closer to the launch of our new Neighbor's club program, I look forward to sharing more of the details about the changes with you. 
Now just stepping back, we're excited about spring. We believe our customers will continue to be focused on their homes as their oasis and creating their own experiences whether that's through things like gardening, grilling or home setting with their family and friends and neighbors. Spring chick days create great retail theater and support existing and new customers who want to expand their flocks. This was a big category for us last year, and we expect it to be so this year. And we will have a broader selection than we have historically of chicken coops. Tractor Supply is the clear destination for this on trend category. Given the strong trends we're seeing in our companion animal categories and the recent growth in pet ownership, we're focused on being a more complete resource for pet parents. In store, this includes relevant product assortment and brands, expansion of self-serve pet wash locations across 150 to 200 stores and the build-out of 50 to 75 additional pet wellness centers. Currently, about 1,600 stores have vet services in-store through our mobile vet clinics. Starting this quarter, pet prescriptions can be fulfilled online at Tractor Supply, as I mentioned earlier. In our app, we're now offering on demand veterinary advice from a team of experienced veterinary professionals. Our customers can call, chat or e-mail a team of veterinary professionals to get all their pet health questions answered. These expanded and new services allow tractor supply to offer a complete solution to care for our customers, pets, whether in-store or online. 
Our stores will be ready for the change of seasons as we move into spring. In closing, we have a unique opportunity. We compete in an attractive and fragmented market. We have a track record of success and outperformance in our business. We see a unique opportunity to capitalize on the powerful customer trends we are benefiting from and to emerge from the pandemic, stronger transform company. Our goal is to make strategic investments that enable us to create greater competitive advantage, capture the opportunity we've discussed and generate shareholder value. 
With that, operator, we would now like to open the lines for questions."
329501,700932342,2183975,"Tractor Supply Company, Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Tractor Supply Company","Operator","[Operator Instructions] Your first question comes from Scot Ciccarelli from RBC Capital Markets.",13,"[Operator Instructions] Your first question comes from Scot Ciccarelli from RBC Capital Markets."
329501,700932342,2183975,"Tractor Supply Company, Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Tractor Supply Company","Analysts","Scot Ciccarelli. I hope everyone is well and healthy, first of all. Second, I do appreciate you guys providing guidance, obviously not easy given the amount of uncertainty in the environment. But with that being said, I was hoping you guys could help us b",66,"Scot Ciccarelli. I hope everyone is well and healthy, first of all. Second, I do appreciate you guys providing guidance, obviously not easy given the amount of uncertainty in the environment. But with that being said, I was hoping you guys could help us better understand how you went about constructing your top line expectations and maybe outline a couple of your key inputs or assumptions?"
329501,700932342,2183975,"Tractor Supply Company, Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Tractor Supply Company","Executives","Scot, it's Harry Lawton, and good to speak with you this morning. I think the guidance that we provided is very consistent with the commentary that we had at the end of the third quarter. And I think aligned with the spirit of the dialogue in our opening",252,"Scot, it's Harry Lawton, and good to speak with you this morning. I think the guidance that we provided is very consistent with the commentary that we had at the end of the third quarter. And I think aligned with the spirit of the dialogue in our opening remarks, which is that we expect COVID to remain a large kind of consumer driving force for the foreseeable future, certainly into the fall, if not for the balance of the year. And as a consequence of that, many of the macro trends, which have benefited us will continue. We also think a number of these macro trends are sticky irregardless of COVID. And so we kind of see those 2 coming together in a way that shapes the year as follows. The first quarter we're in now, we expect momentum in this quarter and our results in this quarter will be much like what we saw in Q2 and Q3 and Q4 with elevated sales levels. And then as we start to comp on top of those in Q2 and Q3 and Q4 this year, we do expect that the comps will start to turn to more normal levels. And the collectiveness of that will kind of compile guided between minus 2% and plus 1%. So it is a heavily weighted in the first quarter with kind of Q2, Q3, Q4, recognizing it will be comping on top of last year's elevated levels. But with still likely strong underlying momentum supporting those quarters."
329501,700932342,2183975,"Tractor Supply Company, Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Tractor Supply Company","Analysts","I appreciate that, Hal. And how much -- obviously, the macro trends, we actually agree with that assessment. But how much of your expectation is from some of the company-specific initiatives, the side lots some of the store remodels? Or is it just kind of",53,"I appreciate that, Hal. And how much -- obviously, the macro trends, we actually agree with that assessment. But how much of your expectation is from some of the company-specific initiatives, the side lots some of the store remodels? Or is it just kind of all thrown together in a mixing goal there?"
329501,700932342,2183975,"Tractor Supply Company, Q4 2020 Earnings Call, Jan 28, 2021",2021-01-28,"Earnings Calls","Tractor Supply Company","Executives","Yes. We're certainly looking to piece apart our various initiatives, and we have some pretty sophisticated analytics tools that allow us to do that at these more elevated volume levels, it is a little bit harder to see than what you might see in a normal",510,"Yes. We're certainly looking to piece apart our various initiatives, and we have some pretty sophisticated analytics tools that allow us to do that at these more elevated volume levels, it is a little bit harder to see than what you might see in a normal mid single-digit comp environment. But I will say that we're -- it's our view that we are gaining share and winning in all the categories that we participate in. And that's really consistent across the board, whether you're looking at industry level data or we're talking with vendors. And so that would lead us to believe that not only are we benefiting from the macro trends, but the work that we're doing to support the business is also helping with that. And I'll call out a few things that kind of give us that give us that sense. 
First off, I'll point to kind of some data sets around our customer. Our unaided brand awareness due -- in part, due to our national television campaign that we launched last March is up 8 points in the year. That's a very significant improvement in unaided brand awareness. And then the benefit that we've seen of that is a -- the most customers that we've ever had shop our store in 1 year last year, including 11 million new customers and 6 million reacquired customers. And those customers are shopping with us at repeat rates that are at kind of all-time highs. And those repeat shopping rates are for the new customers are holding -- have held through the year. So whether it was a new customer we saw in March or April or May, or a new customer that we saw in October, November, December, all those repeat shopping rates are holding at all-time highs. And then last thing I'll talk about is, if you look at our team members and you look like our customer SAT scores, our -- if you look at the customers' perception of safety and health and well-being in our stores, customers seem to be voting with their wallets and shopping and Tractor Supply, indicative of both our strong transactions, but also our strong ticket. And I think that would speak to the fact that customers are certainly aggregating their ticket. You're hearing that from other retailers, more units per basket driving basket up, but a lot of these retailers are talking about negative comp transactions. With us, it's very balanced with about half coming from comp transactions and about half coming from average ticket. So we're seeing that stock up, but we're also seeing more transactions in the store. So it's hard to kind of piece it together, but we do think the initiatives we're taking, the support we've given the business on inventory and adding staffing, our focus on cleanliness, plus our digital efforts and our early efforts around fusion and sidelight and fast are adding to the share -- creating -- helping us drive share gains and kind of add it to the macro trends we're seeing."
