"companyid","keydevid","transcriptid","headline","mostimportantdateutc","keydeveventtypename","companyname","speakertypename","componenttextpreview","word_count","componenttext"
36235,702044327,2187366,"Vertex Pharmaceuticals Incorporated, Q4 2020 Earnings Call, Feb 01, 2021",2021-02-01,"Earnings Calls","Vertex Pharmaceuticals Incorporated","Executives","[Audio Gap]Relations for Vertex.Making prepared remarks on the call tonight, we have Dr. Reshma Kewalramani, Vertex's CEO and President; Stuart Arbuckle, Chief Commercial Officer; and Charlie Wagner, Chief Financial Officer. Dr. Dr. David Altshuler, C",187,"[Audio Gap]
Relations for Vertex.
Making prepared remarks on the call tonight, we have Dr. Reshma Kewalramani, Vertex's CEO and President; Stuart Arbuckle, Chief Commercial Officer; and Charlie Wagner, Chief Financial Officer. Dr. Dr. David Altshuler, Chief Scientific Officer; and Dr. Bastiano Sanna, Chief of Cell and Genetic Therapies, will join the Q&A portion of the call following the prepared remarks. 
We recommend that you access the webcast slides on our website as you listen to this call. This conference call is being recorded, and a replay will be available on our website. We will make forward-looking statements on this call that are subject to the risks and uncertainties discussed in detail in today's press release and our filings with the Securities and Exchange Commission. These statements, including, without limitation, those regarding Vertex's marketed CF medicines, our pipeline and Vertex's future financial performance, are based on management's current assumptions. Actual outcomes and events could differ materially. 
I would also note that select financial results and guidance we will review on the call this evening are non-GAAP. 
I will now turn the call over to Dr. Reshma Kewalramani."
36235,702044327,2187366,"Vertex Pharmaceuticals Incorporated, Q4 2020 Earnings Call, Feb 01, 2021",2021-02-01,"Earnings Calls","Vertex Pharmaceuticals Incorporated","Executives","I'll begin this evening's call with comments on our 2020 performance and then turn to the pipeline, including an overview of a number of our R&D programs and upcoming milestones. 2020 was an unprecedented year for governments, businesses and people around",1243,"I'll begin this evening's call with comments on our 2020 performance and then turn to the pipeline, including an overview of a number of our R&D programs and upcoming milestones. 2020 was an unprecedented year for governments, businesses and people around the globe. It was also a remarkable year for Vertex. Despite the challenges we all faced against the backdrop of the pandemic, Vertex delivered extraordinary commercial performance generating $6.2 billion in product revenues, representing more than 50% growth compared to 2019. We also meaningfully advanced the pipeline and significantly strengthened our financial position. 
Vertex has discovered and developed medicines that have transformed the treatment of cystic fibrosis. And the latest of these, TRIKAFTA, or Kaftrio, as it's known in the EU, has the potential to treat up to 90% of patients with cystic fibrosis. In 2020, the first full year after TRIKAFTA approval in the U.S., the number of patients with CF treated with our medicines increased substantially. And by the end of the year, the vast majority of eligible patients 12 years and older in the U.S. were on TRIKAFTA. 
In Q3, we received early approval for Kaftrio in the EU and also secured reimbursement in England. By the end of the year, with direct access at marketing authorization in Germany, portfolio agreements in Ireland and Denmark and the reimbursement deal in the U.K., thousands of patients across the EU gained access to Kaftrio. In terms of next steps in CF, we have line of sight to continued significant growth as we expand access to the triple combination to more patients in the EU, to cure approvals in new geographies as well as extend treatment to patients with rare mutations and younger populations, starting with the 6 to 11 year olds in the U.S. We're also advancing additional small molecule combination regimen and other approaches that will further define our long-term leadership in CF. Our goal remains to bring transformative therapies to all people with this disease. 
2020 was also an important year for our pipeline. We delivered proof-of-concept in 2 disease areas and advanced several clinical programs, spanning multiple modalities and we are now poised to move the VX-880 program into the clinic for type 1 diabetes, our seventh disease area in clinical development and our first cell-based therapy. 
Turning to our financial position, which continues to strengthen. As we treat more patients, our revenues and profitability are growing, and we finished the year with $6.7 billion in cash. We are steadfast in our belief that the best way to drive continued growth and create long-term value is to reinvest this capital in innovation, both internal and external. With respect to external innovation, our strategy remains the same. Invest in assets that complement our internal CF pipeline, seek assets that fit our R&D strategy and identify tools to add to our toolkit. What has changed is our position in CF and our growing financial firepower. Given where we are with TRIKAFTA and Kaftrio, plus line of sight to novel regimens and treatment for the last 10% and given our balance sheet, we are now in a position to focus on assets that fit our R&D strategy and consider assets in mid and late stage. 
Moving on to an update on the pipeline. I'll focus on our R&D portfolio outside of CF and provide additional detail, including upcoming milestones on a number of programs. In total, we are active in clinical development in 7 disease areas, spanning multiple modalities, including small molecule, gene editing and cell therapy with each program holding the potential to transform the course of the targeted disease. 
I'll start with CTX001, our most clinically derisked program outside of CF, which we are developing with our partner, CRISPR Therapeutics. In December, groundbreaking clinical data in sickle cell disease and transfusion-dependent beta-thalassemia were published in the New England Journal of Medicine and presented in a plenary session at the American Society of Hematology Annual Meeting. These data demonstrated proof-of-concept and showed that CTX001 has the potential to be a onetime functional cure for people living with these diseases. 
We're also pleased to share that the first patient treated in the thalassemia study recently completed 2 years of follow-up and has enrolled in the long-term follow-up study. We are advancing through clinical development with urgency, and our goal is to be able to bring this therapy to patients as soon as possible. 
Over the course of 2021, there are 3 key milestones that will mark our progress with CTX001. First, the presentation of additional clinical data for more patients and for a longer duration of follow-up that will further define the efficacy and durability of this therapy, the completion of enrollment of our 2 ongoing studies of CTX001 and third, the progression of our discussions with regulators about the data needed for a filing package for approval of CTX001. 
In our alpha-1 antitrypsin deficiency, or AATD program, we're focused on the development of small molecule correctors to address the Z-AAT protein folding defect, the underlying cause of this disease. And thereby, treat both lung and liver manifestations of the disease. Our most advanced molecules, VX-864, which is progressing through a dose-ranging Phase II proof-of-concept study. The goal of the study is to assess safety, PK and levels of functional AAT protein. The study continues to enroll in dose patients, and we expect to have the results in the first half of this year. Consistent with our portfolio approach, that is to say our strategy of advancing multiple molecules simultaneously through early clinical development for each target across our disease areas, we are also on track to advance an additional small molecule AAT corrector into the clinic in 2021. 
Our lead molecule in the APOL1-mediated FSGS, VX-147, is also currently being studied in a Phase II proof-of-concept study, evaluating the safety, PK and reduction of proteinuria over 13 weeks. We expect to have results from this study in 2021. We also have a second molecule for APOL1-mediated kidney disease that is now completing Phase I. 
In our pain program, we have a molecule that continues to progress through Phase I, and we have at least 1 additional NaV1.8 inhibitor that we expect to enter the clinic this year. 
Lastly, we submitted the IND for VX-880, our first cell therapy for type 1 diabetes towards the end of last year, and we are very pleased that the FDA recently cleared the IND. This allogeneic cell transplant program has the potential to transform the treatment of type 1 diabetes. In type 1 diabetes, insulin producing islet cells are destroyed. Our approach is to replace these cells with fully differentiated stem cell-derived pancreatic islet cells. This approach follows the well-established precedent of cadaveric islet cell transplants, which have proven clinical benefit. Advancement of VX-880 is a significant achievement. It is Vertex's first cell-based therapy to enter the clinic, and it is the only fully differentiated pancreatic islet cell program in development. We expect to initiate the Phase I/II clinical trial, which is a single-arm study of people with severe, difficult to control type 1 diabetes in the coming months. 
The goal of this study is to assess safety and measures of glycemic control. We are focused on quickly getting the clinical trial up and running, and we look forward to updating you as we make more progress over the course of this year. 
With that overview, I'll now hand it off to Stuart."
36235,702044327,2187366,"Vertex Pharmaceuticals Incorporated, Q4 2020 Earnings Call, Feb 01, 2021",2021-02-01,"Earnings Calls","Vertex Pharmaceuticals Incorporated","Executives","Thank you, Reshma. I am pleased to review with you our continued strong commercial performance. Our Q4 global revenues were $1.6 billion, with full year revenues of $6.2 billion. This reflects significant growth over 2019 as we launched TRIKAFTA and Kaftr",657,"Thank you, Reshma. I am pleased to review with you our continued strong commercial performance. Our Q4 global revenues were $1.6 billion, with full year revenues of $6.2 billion. This reflects significant growth over 2019 as we launched TRIKAFTA and Kaftrio in the U.S. and EU, respectively. As expected, in addition to considerable continued U.S. demand for our medicines, we saw a significant increase in revenues from outside the U.S. in the fourth quarter, following the approval and launch of Kaftrio. 
Starting in the U.S. It is now well over a year since the launch of TRIKAFTA, and we have made tremendous progress in bringing TRIKAFTA to nearly all eligible patients, 12 and older, as reflected in our Q4 revenues. In 2021, our commercial focus now turns to maintaining the very high rates of persistence and compliance that we have seen to date, and we anticipate that these rates will normalize over the coming months. We expect the majority of near-term growth of TRIKAFTA in the U.S. to come from approvals in rare mutations and younger age groups. TRIKAFTA was recently approved for patients 12 and older with rare mutations. And the FDA recently accepted the sNDA for 6 to 11 year olds and granted it priority review. We expect an approval around midyear. 
In Europe, enthusiasm and interest in Kaftrio amongst the CF community is high. Our fourth quarter revenues reflect substantial uptake of Kaftrio across all countries where patients have access. Most notably in the larger markets of Germany and England, where the majority of eligible patients have already been initiated. We are seeing similar uptake in other countries where we have secured reimbursement agreements, including Ireland, Scotland, Wales and Denmark. We remain focused on continuing the launch in these countries as well as completing new reimbursement agreements to provide all eligible patients across the EU with access to our medicines. We have high confidence that as was the case in the U.S., ultimately the vast majority of CF patients in the EU will be treated with Kaftrio. 
However, while the destination is the same, the journey to get there will be different. In addition to the time and work required to secure new reimbursement agreements, the COVID-19 pandemic also presents significant uncertainties around the rate of uptake for our medicines. We are conducting fully virtual launches in the EU amidst evolving country level COVID lockdowns. The ability of patients to attend in person consultations with their physicians as the pandemic continues is a dynamic we are monitoring closely. 
I will now outline what's next for Vertex's CF franchise and how to think about future growth. We recently shared with you an updated and expanded view of the CF market opportunity based on an accumulation of new data from registries and other sources around the world. We now estimate that there are 83,000 patients living with CF in the U.S., Europe, Canada and Australia. Today, we are treating around half of these patients. Notably, this leaves more than 30,000 additional patients in these regions who could benefit from our medicines and who are not treated today. Approximately 2/3 are 12 and older, and we expect to reach these patients through the continued launch, uptake and reimbursement of Kaftrio in the EU and through approvals and reimbursement agreements in other countries, such as Australia and Canada. The remaining 1/3 of patients are in the lower age groups or have other mutations, and we are making progress towards reaching these patients through label expansions. 
Finally, I'd like to take a moment to recognize the CF teams at Vertex, both in the U.S. and internationally, for their unwavering dedication despite the unprecedented global challenges of the past year. And I would also like to thank the CF community for their partnership as we work together to bring transformative medicines to patients around the world. 
Charlie will now review our fourth quarter and full year results and financial guidance."
36235,702044327,2187366,"Vertex Pharmaceuticals Incorporated, Q4 2020 Earnings Call, Feb 01, 2021",2021-02-01,"Earnings Calls","Vertex Pharmaceuticals Incorporated","Executives","Thanks, Stuart. In the fourth quarter of 2020, we continued our exceptionally strong financial performance. And of note, Q4 was our first quarter with more than $1 billion of sales for the triple combination, a significant accomplishment for the commercia",661,"Thanks, Stuart. In the fourth quarter of 2020, we continued our exceptionally strong financial performance. And of note, Q4 was our first quarter with more than $1 billion of sales for the triple combination, a significant accomplishment for the commercial team. 
Fourth quarter total product revenues were $1.6 billion, a 29% increase compared to 2019, bringing our full year revenues to $6.2 billion, an increase of more than 50% compared to 2019 revenues of $4 billion. Our fourth quarter revenues included $1.21 billion in the U.S. and $421 million in revenues outside the U.S. Our ex-U.S. revenues for the quarter grew 70% over the prior year, driven by the uptake of Kaftrio and our other medicines following the completion of several reimbursement agreements over the last year. 
Our fourth quarter 2020 combined R&D and SG&A expenses were $539 million compared to $496 million for the fourth quarter of 2019. And our full year expenses were $1.98 billion compared to $1.69 billion in 2019. Our full year expenses reflected increased cost to support the rapid global expansion of our CF business as well as targeted investment in expanding our pipeline into new disease areas and progressing our high priority clinical programs. 
Our remarkable growth in revenues, combined with disciplined spending, resulted in a 2020 operating margin of 56% and operating income of $3.49 billion, an increase of 95% compared to 2019. Net income was $2.72 billion compared to $1.39 billion for 2019. With continued substantial revenue growth and profitability, we finished the year with $6.7 billion in cash. Consistent with our corporate strategy, our top priority for capital deployment is reinvestment in innovation, both internally in our R&D programs and externally through business development aligned with our R&D strategy. 
For example, in 2020, we executed important collaboration agreements with Affinia, Skyhawk Therapeutics and Moderna. Additionally, we also used over $500 million of cash to acquire Vertex shares through our ongoing share repurchase program. The primary purpose of this program is to offset dilution and approved very effective with nearly 2.5 million shares repurchased. 
Now to guidance. Our 2020 performance reflected considerable TRIKAFTA uptake as we achieved nearly full penetration of eligible patients in the U.S. as well as strong uptake of Kaftrio in key EU countries where patients have access. For 2021, we project that we will achieve total product revenues of $6.7 billion to $6.9 billion, reflecting 10% growth at the midpoint. This guidance reflects our expectations for currently approved products in regions where we are reimbursed, plus an expectation of TRIKAFTA approval for the 6- to 11-year old population in the U.S. in mid-2021. 
In our 2021 revenue guidance, there are fewer significant variables compared to 2020. However, an important continuing factor is rates of patient persistence and compliance. We saw high rates of persistence and compliance with TRIKAFTA maintained in the U.S. throughout 2020, and we expect these levels to normalize throughout 2021. This dynamic is factored into our guidance as is uncertainty related to the ongoing pandemic. 
As Stuart mentioned, moving forward, we expect to see further contribution to international revenues with subsequent waves of reimbursement agreements and launches in the EU as well as other ex-U.S. geographies. However, the timing of these agreements is not predictable and they are, therefore, not included in our 2021 guidance. 
For non-GAAP OpEx, we are guiding to a range of $2.25 billion to $2.3 billion. We expect to continue allocating greater than 70% of OpEx to R&D with year-over-year growth, largely driven by investment in our pipeline programs in order to advance key programs further into the clinic and generate important proof-of-concept data in 2021. Our non-GAAP tax rate for 2020 was 21%, and we are guiding to a range of 21% to 22% this year. 
In closing, 2020 was a tremendously successful year for Vertex and our business, and we look forward to continuing our growth and significant profitability in 2021. 
Now back to Reshma for a few closing remarks."
36235,702044327,2187366,"Vertex Pharmaceuticals Incorporated, Q4 2020 Earnings Call, Feb 01, 2021",2021-02-01,"Earnings Calls","Vertex Pharmaceuticals Incorporated","Executives","Thanks, Charlie. 2020 was an unprecedented and grueling year for the entire world. And while these challenges have not yet subsided, I have confidence that science will lead the way out of the pandemic and we look forward with optimism. Throughout the pas",113,"Thanks, Charlie. 2020 was an unprecedented and grueling year for the entire world. And while these challenges have not yet subsided, I have confidence that science will lead the way out of the pandemic and we look forward with optimism. Throughout the past year, Vertex has demonstrated our resilience in the face of these challenges, and this was reflected in our business performance and pipeline progress. 
Vertex has a proven track record of creating breakthrough medicines and transforming lives. We have an ambition to transform many more diseases, and our pipeline of small molecules, cell and genetic therapies are poised to do just that. 
Thanks, and we'll now open the call to questions."
36235,702044327,2187366,"Vertex Pharmaceuticals Incorporated, Q4 2020 Earnings Call, Feb 01, 2021",2021-02-01,"Earnings Calls","Vertex Pharmaceuticals Incorporated","Operator","[Operator Instructions] Our first question comes from the line of Cory Kasimov with JPMorgan.",14,"[Operator Instructions] Our first question comes from the line of Cory Kasimov with JPMorgan."
36235,702044327,2187366,"Vertex Pharmaceuticals Incorporated, Q4 2020 Earnings Call, Feb 01, 2021",2021-02-01,"Earnings Calls","Vertex Pharmaceuticals Incorporated","Analysts","Two of them for you. For -- on the AAT program, has the IDMC been taking regular looks at the 864 safety database and would you characterize this as a situation where no news is good news on the safety front? Or is that still premature where you are in en",91,"Two of them for you. For -- on the AAT program, has the IDMC been taking regular looks at the 864 safety database and would you characterize this as a situation where no news is good news on the safety front? Or is that still premature where you are in enrollment? And then also on this program, what's the -- in terms of relative levels of functional serum AAT, what would give you conviction that you're on to something here and provide added confidence going into the next stage of development?"
36235,702044327,2187366,"Vertex Pharmaceuticals Incorporated, Q4 2020 Earnings Call, Feb 01, 2021",2021-02-01,"Earnings Calls","Vertex Pharmaceuticals Incorporated","Executives","Corey, this is Reshma. Let me take both of those questions for you. The AATD program is indeed followed very carefully, as we do all of our programs, honestly, from a safety perspective, and that is just part of what we do. So that is ongoing. With rega",244,"Corey, this is Reshma. Let me take both of those questions for you. The AATD program is indeed followed very carefully, as we do all of our programs, honestly, from a safety perspective, and that is just part of what we do. So that is ongoing. 
With regard to levels and maybe broadly speaking, what are we really looking for from this VX-864 Phase II proof-of-concept study, really 3 things. The first is safety. This is the first time that VX-864 is going to patients with AATD. The second is PK and exposure. And the third is increases in functional AAT levels. I'm also going to be looking to see if there's a dose effect relationship. The key here, remember, is that this is our first time to close the loop on cracking the biology. That's to say, if we see levels of functional AAT increase in this study, we see a dose effect. What that tells us is that the mechanism that we projected to be the mechanism that could target both lung and liver raise AAT levels, we got it. 
And as I always say, we divide drug development at Vertex into 2 parts: cracking the biology, pouring on the chemistry. Pouring on the chemistry is the easier. It is not easy, but it's the easier of the 2 parts. And so that's what we're really looking for is assessment of safety, PK and we're looking for elevations of functional AAT levels."
36235,702044327,2187366,"Vertex Pharmaceuticals Incorporated, Q4 2020 Earnings Call, Feb 01, 2021",2021-02-01,"Earnings Calls","Vertex Pharmaceuticals Incorporated","Operator","Our next question comes from the line of Salveen Richter with Goldman Sachs.",13,"Our next question comes from the line of Salveen Richter with Goldman Sachs."
36235,702044327,2187366,"Vertex Pharmaceuticals Incorporated, Q4 2020 Earnings Call, Feb 01, 2021",2021-02-01,"Earnings Calls","Vertex Pharmaceuticals Incorporated","Analysts","So one question here on the CF guidance. Could you just comment on how you're accounting for uncertainty related to the pandemic and what reimbursement agreements or approvals could be expected this year that are not accounted for? And then secondly, you",100,"So one question here on the CF guidance. Could you just comment on how you're accounting for uncertainty related to the pandemic and what reimbursement agreements or approvals could be expected this year that are not accounted for? And then secondly, you made a comment about your BD strategy, and I recognize while it's aligned with R&D. But at the same time, is there any clarity you can give us with regard to areas of focus, size of deals? And how much of an interest do you have in technologies as you look to kind of fill your toolbox there?"
