ugvkey,permno,ulinktype,ulinkprim,ulinkdt,ulinkenddt
001000,,NU,C,1961-01-01,1970-09-29
001000,,NU,P,1970-09-30,1970-11-12
001000,25881.0,LU,P,1970-11-13,1978-06-30
001001,,NU,C,1978-01-01,1983-09-19
001001,10015.0,LU,P,1983-09-20,1986-07-31
001002,,NR,C,1960-01-01,1970-09-29
001002,,NR,C,1970-09-30,1972-12-13
001002,10023.0,LC,C,1972-12-14,1973-06-05
001002,,NR,C,1973-06-06,1973-08-31
001003,,NU,C,1980-01-01,1983-12-06
001003,10031.0,LU,C,1983-12-07,1989-08-16
001003,,NU,C,1989-08-17,
001004,,NU,C,1965-06-01,1968-04-29
001004,,NU,P,1968-04-30,1972-04-23
001004,54594.0,LU,P,1972-04-24,
001005,,NU,C,1972-11-01,1973-01-30
001005,61903.0,LU,C,1973-01-31,1983-01-31
001007,10058.0,LU,C,1973-10-01,1979-01-30
001007,10058.0,LU,P,1979-01-31,1984-09-28
001007,,NU,C,1984-09-29,1986-06-30
001008,,NR,C,1983-06-01,1983-08-24
001008,10066.0,LC,P,1983-08-25,1987-02-26
001008,,NR,P,1987-02-27,1987-10-30
001009,,NR,C,1980-11-01,1981-01-29
001009,,NR,C,1981-01-30,1982-01-17
001009,10074.0,LC,C,1982-01-18,1996-03-13
001009,,NR,C,1996-03-14,2007-02-28
001010,10006.0,LU,C,1950-05-01,1962-01-30
001010,10006.0,LU,P,1962-01-31,1984-06-28
001010,,NU,C,1984-06-29,
001011,,NR,C,1982-01-01,1983-03-20
001011,10082.0,LC,P,1983-03-21,1995-09-28
001011,,NR,P,1995-09-29,1995-10-31
001012,,NU,C,1973-11-01,1978-01-30
001012,10103.0,LU,P,1978-01-31,1989-12-29
001012,,NU,C,1989-12-30,1990-03-30
001013,,NU,C,1973-11-01,1979-03-15
001013,50906.0,LU,P,1979-03-16,2010-12-31
001015,,NU,C,1977-08-01,1982-01-28
001015,66405.0,LU,P,1982-01-29,1986-10-31
001015,,NU,C,1986-11-01,1988-04-29
001016,10146.0,LC,C,1973-11-01,1977-11-29
001016,10146.0,LC,P,1977-11-30,1988-04-26
001016,,NR,P,1988-04-27,1988-05-31
001017,,NR,C,1959-12-01,1970-09-29
001017,,NR,P,1970-09-30,1972-12-13
001017,10154.0,LC,P,1972-12-14,1996-02-29
001018,10162.0,LU,C,1973-07-01,1979-01-30
001018,10162.0,LU,C,1979-01-31,1981-03-04
001018,,NU,C,1981-03-05,1987-01-30
001018,,NU,C,1987-01-31,1988-03-31
001019,,NR,C,1970-01-01,1970-01-29
001019,,NR,C,1970-01-30,1972-12-13
001019,10189.0,LC,C,1972-12-14,1988-02-09
